#,ExpToNext,MpModifier,BaseSpeed,LevelModifier,HuntingLogExpReward,MonsterNoteSeals,ScaledQuestXP,HpModifier,ItemLevelSync,ProperDungeon,ProperGuildOrder,CraftingLevel,AdditionalActions,ApplyAction,QuestExpModifier
38,133000,10000,229,229,0,0,235,360,38,12,10011,38,7,7,20
39,142000,10000,236,236,0,0,240,384,39,12,10011,39,7,7,21
40,155000,10000,244,244,40000,0,245,419,40,12,10013,40,8,8,22
41,163000,10000,253,253,0,0,250,441,41,11,10013,41,8,8,22
42,171000,10000,263,263,0,0,255,462,42,11,10013,42,8,8,22
43,179000,10000,272,272,0,0,260,484,43,11,10013,43,8,8,22
44,187000,10000,283,283,0,0,265,505,44,13,10013,44,8,9,22
45,195000,10000,292,292,0,0,270,527,45,13,10013,45,9,9,22
46,214000,10000,302,302,0,0,275,578,46,13,10013,46,9,9,23
47,229000,10000,311,311,0,0,280,619,47,5,10013,47,9,9,23
48,244000,10000,322,322,0,0,285,659,48,5,10013,48,9,10,24
49,259000,10000,331,331,0,0,290,700,49,5,10013,49,9,10,24
50,421000,10000,341,341,0,0,300,927,130,10,10013,50,10,10,39
51,500000,10000,342,366,0,0,305,1050,130,36,10013,120,10,10,39
52,580000,10000,344,392,0,0,310,1160,130,36,10013,125,10,10,39
53,663000,10000,345,418,0,0,315,1260,130,37,10013,130,10,10,39
54,749000,10000,346,444,0,0,320,1386,133,37,10013,133,10,10,39
55,837000,10000,347,470,0,0,325,1507,136,39,10013,136,10,10,39
56,927000,10000,349,496,0,0,330,1623,139,39,10013,139,10,10,39
57,1019000,10000,350,522,0,0,335,1733,142,34,10013,142,10,10,39
58,1114000,10000,351,548,0,0,340,1740,145,34,10013,145,10,10,39
59,1211000,10000,352,574,0,0,345,1756,148,31,10013,148,10,10,39
60,1387000,10000,354,600,0,0,500,1767,270,33,10013,150,10,10,50
61,1456000,10000,355,630,0,0,505,1863,270,52,10013,260,10,10,50
62,1534000,10000,356,660,0,0,510,1956,270,52,10013,265,10,10,50
63,1621000,10000,357,690,0,0,515,2057,270,50,10013,270,10,10,50
64,1720000,10000,358,720,0,0,520,2191,273,50,10013,273,10,10,50
65,1834000,10000,359,750,0,0,525,2217,276,53,10013,276,10,10,50
66,1968000,10000,360,780,0,0,530,2224,279,53,10013,279,10,10,50
67,2126000,10000,361,810,0,0,535,2230,282,54,10013,282,10,10,50
68,2317000,10000,362,840,0,0,540,2247,285,54,10013,285,10,10,50
69,2550000,10000,363,870,0,0,545,2251,288,55,10013,288,10,10,50
70,2923000,10000,364,900,0,0,750,2275,400,51,10013,290,10,10,72
71,3018000,10000,365,940,0,0,755,2275,400,72,10013,390,10,10,72
72,3153000,10000,366,980,0,0,760,2336,400,72,10013,395,10,10,72
73,3324000,10000,367,1020,0,0,765,2419,400,65,10013,400,10,10,72
74,3532000,10000,368,1060,0,0,770,2596,403,65,10013,403,10,10,72
75,3770600,10000,370,1100,0,0,775,2770,406,66,10013,406,10,10,72
76,4066000,10000,372,1140,0,0,780,2974,409,66,10013,409,10,10,72
77,4377000,10000,374,1180,0,0,785,3200,412,69,10013,412,10,10,72
78,4777000,10000,376,1220,0,0,790,3452,415,69,10013,415,10,10,72
79,5256000,10000,378,1260,0,0,795,3733,418,70,10013,418,10,10,72
80,5992000,10000,380,1300,0,0,1020,3121,530,71,10013,420,10,10,110
81,6171000,10000,382,1360,0,0,1035,3175,530,78,10013,520,10,10,110
82,6942000,10000,384,1420,0,0,1050,3229,530,78,10013,525,10,10,110
83,7205000,10000,386,1480,0,0,1065,3283,530,80,10013,530,10,10,110
84,7948000,10000,388,1540,0,0,1080,3337,533,80,10013,533,10,10,110
85,8287000,10000,390,1600,0,0,1095,3391,536,83,10013,536,10,10,110
86,9231000,10000,392,1660,0,0,1110,3445,539,83,10013,539,10,10,110
87,9529000,10000,394,1720,0,0,1125,3499,542,82,10013,542,10,10,110
88,10459000,10000,396,1780,0,0,1140,3553,545,82,10013,545,10,10,110
89,10838000,10000,398,1840,0,0,1155,3607,548,81,10013,548,10,10,110
90,13278000,10000,400,1900,0,0,1480,3661,660,85,10013,550,10,10,168
91,13659000,10000,402,1988,0,0,1500,3716,660,94,10013,650,10,10,168
92,15348000,10000,404,2076,0,0,1520,3770,660,94,10013,655,10,10,168
93,15912000,10000,406,2164,0,0,1540,3824,660,92,10013,660,10,10,168
94,17534000,10000,408,2252,0,0,1560,3879,663,92,10013,663,10,10,168
95,18263000,10000,410,2340,0,0,1580,3933,666,96,10013,666,10,10,168
96,20322000,10000,412,2428,0,0,1600,3987,669,96,10013,669,10,10,168
97,20957000,10000,414,2516,0,0,1620,4042,672,97,10013,672,10,10,168
98,22979000,10000,416,2604,0,0,1640,4096,675,97,10013,675,10,10,168
99,23789000,10000,418,2692,0,0,1660,4150,678,93,10013,678,10,10,168
100,29023000,10000,420,2780,0,0,1680,4205,690,93,10013,680,10,10,168
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,100,100,100,0,0,0,0,0,0,0,0,0,0,1
