#,GatheringType,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],GatheringLevel
52,2,10004,10003,0,0,0,0,0,0,5
53,2,10005,0,0,0,0,0,0,0,5
54,2,10006,0,0,0,0,0,0,0,5
55,2,10008,10007,0,0,0,0,0,0,10
56,2,10010,10009,0,0,0,0,0,0,10
57,2,10011,0,0,0,0,0,0,0,10
58,2,10012,0,0,0,0,0,0,0,10
59,2,10014,10013,0,0,0,0,0,0,15
60,2,10016,10015,0,0,0,0,0,0,15
61,2,10017,0,0,0,0,0,0,0,15
62,2,10019,10018,0,0,0,0,0,0,15
63,3,10021,10020,0,0,0,0,0,0,20
64,2,10022,0,0,0,0,0,0,0,20
65,2,10023,0,0,0,0,0,0,0,20
66,2,10027,10026,0,0,0,0,0,0,20
67,3,10025,10024,0,0,0,0,0,0,20
68,2,10029,10028,0,0,0,0,0,0,25
69,3,10030,0,0,0,0,0,0,0,25
70,2,10031,0,0,0,0,0,0,0,25
71,2,10032,0,0,0,0,0,0,0,25
72,2,10034,10033,0,0,0,0,0,0,30
73,3,10036,10035,0,0,0,0,0,0,30
74,3,10037,0,0,0,0,0,0,0,30
75,2,10038,0,0,0,0,0,0,0,30
76,2,10039,0,0,0,0,0,0,0,30
77,2,10040,10041,0,0,0,0,0,0,35
78,3,10042,0,0,0,0,0,0,0,35
79,3,10043,0,0,0,0,0,0,0,35
80,2,10044,0,0,0,0,0,0,0,35
81,3,10045,10046,0,0,0,0,0,0,40
82,2,10047,0,0,0,0,0,0,0,40
83,3,10048,0,0,0,0,0,0,0,40
84,2,10049,10050,0,0,0,0,0,0,40
85,2,10051,10052,0,0,0,0,0,0,45
86,2,10053,0,0,0,0,0,0,0,45
87,2,10054,0,0,0,0,0,0,0,45
88,2,10055,10056,0,0,0,0,0,0,45
89,3,10057,10058,0,0,0,0,0,0,50
90,2,10059,0,0,0,0,0,0,0,50
91,3,10060,0,0,0,0,0,0,0,50
92,2,10061,10062,0,0,0,0,0,0,50
93,0,10063,10064,0,0,0,0,0,0,5
94,0,10065,10066,0,0,0,0,0,0,5
95,0,10067,0,0,0,0,0,0,0,5
96,0,10068,0,0,0,0,0,0,0,5
97,0,10069,10070,0,0,0,0,0,0,10
98,0,10071,10072,0,0,0,0,0,0,10
99,0,10073,0,0,0,0,0,0,0,10
100,0,10074,0,0,0,0,0,0,0,10
101,0,10075,10076,0,0,0,0,0,0,15
102,0,10077,10078,0,0,0,0,0,0,15
103,0,10079,0,0,0,0,0,0,0,15
104,0,10080,10081,0,0,0,0,0,0,15
105,0,10082,10083,0,0,0,0,0,0,20
106,0,10084,0,0,0,0,0,0,0,20
107,0,10085,0,0,0,0,0,0,0,20
108,0,10086,10087,0,0,0,0,0,0,20
109,0,10088,10089,0,0,0,0,0,0,25
110,1,10090,0,0,0,0,0,0,0,25
111,1,10091,0,0,0,0,0,0,0,25
112,0,10092,0,0,0,0,0,0,0,25
113,0,10093,10094,0,0,0,0,0,0,30
114,0,10095,0,0,0,0,0,0,0,30
115,0,10096,0,0,0,0,0,0,0,30
116,0,10097,0,0,0,0,0,0,0,30
117,0,10098,10099,0,0,0,0,0,0,35
118,0,10100,0,0,0,0,0,0,0,35
119,0,10101,0,0,0,0,0,0,0,35
120,0,10102,0,0,0,0,0,0,0,35
121,0,10103,10104,0,0,0,0,0,0,40
122,0,10105,0,0,0,0,0,0,0,40
123,0,10106,0,0,0,0,0,0,0,40
124,0,10107,10108,0,0,0,0,0,0,40
125,0,10109,10110,0,0,0,0,0,0,45
126,0,10111,0,0,0,0,0,0,0,45
127,0,10112,0,0,0,0,0,0,0,45
128,0,10113,10114,0,0,0,0,0,0,45
129,0,10115,10116,0,0,0,0,0,0,50
130,0,10117,0,0,0,0,0,0,0,50
131,1,10118,0,0,0,0,0,0,0,50
132,0,10119,10120,0,0,0,0,0,0,50
133,3,144,207,166,221,0,0,0,5,35
134,3,194,192,203,167,0,0,0,6,35
135,2,0,0,0,0,0,0,0,3,40
136,2,0,0,0,0,0,0,0,2,40
137,2,102,130,125,101,0,0,0,6,40
138,2,0,0,0,0,29,0,0,6,30
139,2,0,0,0,0,30,0,7,1,30
140,3,164,184,0,0,0,0,0,2,40
141,3,191,142,160,0,0,0,0,6,40
142,2,119,131,0,0,0,0,0,2,45
143,3,155,181,208,163,0,0,0,4,45
144,2,0,0,0,0,0,0,0,1,50
145,2,0,0,0,0,0,0,0,0,40
146,2,0,0,0,0,0,0,0,6,50
147,2,140,139,0,0,0,0,0,3,50
148,2,116,115,0,0,0,0,0,5,10
149,3,156,199,222,0,0,0,0,5,50
150,1,0,0,0,0,0,0,10,4,50
151,1,0,0,0,0,0,0,0,6,50
152,0,61,217,0,0,0,0,0,4,10
153,0,75,73,0,0,0,0,3,5,5
154,0,75,73,0,0,0,0,1,6,5
155,0,71,67,63,0,0,0,0,5,10
156,0,71,67,63,68,0,0,0,6,10
157,0,69,0,0,0,0,0,3,5,5
158,0,0,0,74,0,0,0,0,6,15
159,1,92,95,82,0,0,0,0,6,15
160,0,58,55,38,0,0,0,0,1,20
161,0,51,70,0,0,0,0,0,2,20
162,1,0,0,0,0,29,0,0,6,30
163,1,0,0,0,0,34,0,0,3,30
164,1,0,0,0,0,24,0,0,1,20
165,2,0,0,0,0,32,0,8,2,30
166,1,93,218,0,0,0,0,0,2,20
167,1,86,98,90,0,0,0,0,4,25
168,0,76,297,0,0,0,0,0,1,30
169,1,84,88,0,0,0,0,0,5,30
170,2,0,0,0,0,0,0,10136,2,5
171,2,0,0,0,33,31,0,10,4,30
172,1,0,0,0,0,30,0,0,1,30
173,2,0,0,0,0,34,0,9,3,30
174,1,0,0,0,0,35,0,0,5,30
175,2,0,0,0,0,35,0,11,5,30
176,1,99,83,0,0,0,0,0,4,30
177,0,56,77,0,0,0,0,0,5,35
178,0,57,37,219,0,0,0,0,3,35
179,0,36,41,43,0,0,0,0,6,35
180,0,46,45,0,0,0,0,0,2,40
181,0,0,0,0,0,0,0,10126,4,5
182,1,0,0,0,0,0,0,0,0,40
183,1,0,0,0,33,31,0,0,4,30
184,2,0,0,0,0,29,0,12,6,30
185,0,39,62,0,0,0,0,0,1,45
186,0,50,72,0,0,0,0,0,4,45
187,0,44,0,0,0,0,0,0,4,10
188,2,0,0,0,0,0,0,9,3,40
189,0,65,40,64,53,0,0,0,3,50
190,0,48,0,0,0,0,0,0,4,20
191,1,0,0,0,0,0,0,0,3,50
192,1,0,0,0,0,0,0,0,2,50
193,1,0,0,0,0,0,0,0,4,50
194,1,87,89,216,0,0,0,0,5,15
195,2,0,0,0,0,0,0,8,2,40
196,2,0,0,0,0,0,0,0,0,40
197,2,0,0,0,0,0,0,7,1,50
198,2,0,0,0,0,0,0,12,6,50
199,2,0,0,0,0,0,0,11,5,50
200,1,0,0,0,0,34,0,9,3,30
201,1,0,0,0,0,30,0,7,1,30
202,1,0,0,0,0,35,0,11,5,30
203,1,0,0,0,33,31,0,10,4,30
204,1,0,0,0,0,29,0,12,6,30
205,1,0,0,0,0,32,0,8,2,30
206,0,0,0,0,0,0,0,10128,5,5
207,1,0,0,0,0,0,0,0,0,40
208,0,0,0,0,0,0,0,10130,2,5
209,1,0,0,0,0,0,0,9,3,50
210,1,0,0,0,0,0,0,8,2,50
211,2,120,0,0,0,0,0,0,0,50
212,2,107,0,0,0,0,0,0,0,50
213,2,129,0,0,0,0,0,0,0,50
214,2,173,245,0,0,0,0,0,0,50
215,2,13,14,15,16,0,17,18,0,50
216,3,212,296,0,0,0,0,0,0,50
217,3,168,296,0,0,0,0,0,0,50
218,3,169,195,296,0,0,0,0,0,50
219,3,177,244,0,0,0,0,0,0,50
220,3,174,235,0,0,0,0,0,0,50
221,3,182,296,0,0,0,0,0,0,50
222,0,60,294,0,0,0,0,0,0,50
223,0,42,59,294,0,0,0,0,0,50
224,1,85,0,0,0,0,0,0,0,50
225,1,91,0,0,0,0,0,0,0,50
226,1,79,0,0,0,0,0,0,0,50
227,1,13,14,15,16,0,17,18,0,50
228,2,0,0,0,0,0,0,0,0,50
229,1,0,0,0,0,0,0,0,0,50
230,2,270,0,0,0,0,0,0,0,50
231,2,272,0,0,0,0,0,0,0,50
232,2,275,283,0,0,0,0,0,0,50
233,3,271,296,0,0,0,0,0,0,50
234,3,273,296,284,0,0,0,0,0,50
235,3,274,296,0,0,0,0,0,0,50
236,0,266,280,279,294,0,0,0,0,50
237,0,267,277,278,294,0,0,0,0,50
238,0,268,281,294,0,0,0,0,0,50
239,1,258,13,0,0,0,0,0,0,50
240,1,261,265,0,0,0,0,0,0,50
241,1,264,18,0,0,0,0,0,0,50
242,2,269,0,0,0,0,0,0,0,50
243,2,0,0,0,0,0,0,10132,4,5
244,2,0,0,0,0,0,0,10134,5,5
245,2,282,0,0,0,0,0,0,0,50
246,1,276,0,0,0,0,0,0,0,50
247,0,285,294,0,0,0,0,0,0,50
248,2,286,0,0,0,0,0,0,0,50
249,2,288,0,0,0,0,0,0,0,50
250,1,287,0,0,0,0,0,0,0,50
251,3,291,296,0,0,0,0,0,0,50
252,0,290,294,0,0,0,0,0,0,50
253,3,10141,10142,0,0,0,0,0,0,55
254,3,10143,0,0,0,0,0,0,0,55
255,2,10144,10145,0,0,0,0,0,0,55
256,3,10146,10147,0,0,0,0,0,0,55
257,3,10148,0,0,0,0,0,0,0,55
258,2,10149,0,0,0,0,0,0,0,55
259,3,10150,10151,0,0,0,0,0,0,55
260,3,10152,0,0,0,0,0,0,0,55
261,3,10153,10154,0,0,0,0,0,0,55
262,2,10155,0,0,0,0,0,0,0,60
263,3,10156,0,0,0,0,0,0,0,60
264,3,10157,10158,0,0,0,0,0,0,60
265,2,10159,10160,0,0,0,0,0,0,60
266,3,10161,0,0,0,0,0,0,0,60
267,2,10162,10163,0,0,0,0,0,0,60
268,0,10164,10165,0,0,0,0,0,0,55
269,0,10166,0,0,0,0,0,0,0,55
270,0,10167,10168,0,0,0,0,0,0,55
271,0,10169,10170,0,0,0,0,0,0,55
272,0,10171,0,0,0,0,0,0,0,55
273,0,10172,0,0,0,0,0,0,0,55
274,0,10173,10174,0,0,0,0,0,0,55
275,1,10175,0,0,0,0,0,0,0,55
276,0,10176,10177,0,0,0,0,0,0,55
277,0,10178,0,0,0,0,0,0,0,60
278,1,10179,0,0,0,0,0,0,0,60
279,0,10180,10181,0,0,0,0,0,0,60
280,0,10182,10183,0,0,0,0,0,0,60
281,0,10184,0,0,0,0,0,0,0,60
282,0,10185,10186,0,0,0,0,0,0,60
283,0,0,0,0,0,0,0,0,0,0
284,0,298,320,0,0,0,0,0,8,50
285,0,300,316,0,0,0,0,0,8,55
286,0,306,305,321,323,0,0,0,7,55
287,0,303,302,304,324,0,0,0,7,55
288,1,299,322,325,0,0,0,0,8,55
289,0,420,0,0,0,0,0,0,0,60
290,1,422,0,0,0,0,0,0,0,60
291,0,421,0,0,0,0,0,0,0,60
292,2,416,0,0,0,0,0,0,0,60
293,3,417,0,0,0,0,0,0,0,60
294,2,343,342,0,0,0,0,0,8,50
295,2,349,350,0,0,0,0,0,7,55
296,3,344,346,0,0,0,0,0,8,55
297,3,345,348,0,0,0,0,0,7,55
298,3,353,0,0,0,0,0,0,10,55
299,2,418,0,0,0,0,0,0,0,60
300,3,359,360,398,424,0,0,0,8,60
301,3,419,0,0,0,0,0,0,0,60
302,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0
304,3,356,363,0,0,0,0,0,9,60
305,1,328,0,0,0,409,341,333,11,60
306,0,10598,10599,10600,0,0,0,0,0,55
307,1,327,0,0,0,409,340,332,7,60
308,0,10601,10602,0,0,0,0,0,0,60
309,1,327,0,0,0,409,340,332,7,60
310,0,10603,10605,0,0,0,0,0,0,65
311,1,327,0,0,0,409,340,332,7,60
312,0,10604,0,0,0,0,0,0,0,65
313,1,328,0,0,0,409,341,333,11,60
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,1,10789,10792,10798,10803,0,0,0,9,80
317,1,10793,10796,10800,0,0,0,0,9,80
318,1,326,330,0,0,0,0,0,0,60
319,1,10795,10797,10807,0,0,0,0,9,80
320,0,318,0,0,0,0,0,0,0,60
321,1,337,338,0,0,0,0,0,0,60
322,0,10799,10802,10805,0,0,0,0,9,80
323,0,334,402,0,0,0,0,0,0,60
324,1,335,0,0,0,0,0,0,0,60
325,1,339,0,0,0,0,0,0,0,60
326,0,336,0,0,0,0,0,0,0,60
327,3,373,630,378,631,386,632,408,0,60
328,0,10606,10607,0,0,0,0,0,0,70
329,3,373,630,378,631,386,632,408,0,60
330,0,10608,10610,0,0,0,0,0,0,75
331,3,385,629,372,377,408,0,0,10,60
332,0,10609,0,0,0,0,0,0,0,75
333,3,385,629,372,377,408,0,0,10,60
334,0,10611,10613,0,0,0,0,0,0,80
335,3,373,630,378,631,386,632,408,0,60
336,0,10801,10804,10806,0,0,0,0,9,80
337,3,385,629,372,377,408,0,0,10,60
338,1,706,719,0,0,0,0,0,0,90
339,3,367,368,370,395,396,0,0,0,55
340,3,365,394,0,0,0,0,0,0,50
341,2,366,369,0,0,0,0,0,0,55
342,2,371,374,0,0,0,0,0,0,60
343,2,375,376,0,0,0,0,0,0,60
344,3,364,0,0,0,0,0,0,0,60
345,3,382,383,397,0,0,0,0,0,60
346,0,707,721,0,0,0,0,0,0,90
347,3,379,0,0,0,0,0,0,0,60
348,2,381,0,0,0,0,0,0,0,60
349,3,384,0,0,0,0,0,0,0,60
350,2,380,0,0,0,0,0,0,0,60
351,0,311,389,424,0,0,0,0,8,60
352,0,308,317,389,405,427,0,0,7,60
353,0,312,319,389,423,329,331,0,9,60
354,0,310,315,389,426,0,0,11,12,60
355,1,309,314,388,390,403,425,0,10,60
356,2,358,362,392,393,0,0,0,12,60
357,0,0,0,0,0,0,0,0,0,0
358,3,354,391,427,0,0,0,0,7,60
359,3,361,391,425,0,0,0,0,10,60
360,3,355,391,426,0,0,0,0,11,60
361,3,356,363,391,423,0,0,0,9,60
362,2,10208,358,362,357,0,0,0,10,60
363,2,10208,358,362,357,0,0,0,10,60
364,3,10209,347,352,0,0,0,0,10,60
365,3,10209,347,352,0,0,0,0,10,60
366,2,10208,358,362,357,0,0,0,9,60
367,2,10208,358,362,357,0,0,0,9,60
368,3,10209,347,352,0,0,0,0,9,60
369,3,10209,347,352,0,0,0,0,9,60
370,2,10208,358,362,357,0,0,0,12,60
371,2,10208,358,362,357,0,0,0,12,60
372,3,10209,347,352,0,0,0,0,12,60
373,3,10209,347,352,0,0,0,0,12,60
374,2,10208,358,362,357,0,0,0,11,60
375,2,10208,358,362,357,0,0,0,11,60
376,3,10209,347,352,0,0,0,0,11,60
377,3,10209,347,352,0,0,0,0,11,60
378,0,10207,307,313,301,0,0,0,7,60
379,0,10207,307,313,301,0,0,0,7,60
380,0,10207,307,313,301,0,0,0,7,60
381,0,10207,307,313,301,0,0,0,8,60
382,0,10207,307,313,301,0,0,0,8,60
383,0,10207,307,313,301,0,0,0,8,60
384,0,10207,307,313,301,0,0,0,11,60
385,0,10207,307,313,301,0,0,0,11,60
386,0,10207,307,313,301,0,0,0,11,60
387,0,10207,307,313,301,0,0,0,10,60
388,0,10207,307,313,301,0,0,0,10,60
389,0,10207,307,313,301,0,0,0,10,60
390,0,0,0,0,0,0,0,0,0,0
391,2,399,400,0,0,0,0,0,10,60
392,3,385,629,372,377,408,0,0,10,60
393,3,10813,10816,10822,10827,0,0,0,12,80
394,3,10817,10820,10824,0,0,0,0,12,80
395,2,401,407,0,0,0,0,0,0,60
396,3,10819,10821,10831,0,0,0,0,12,80
397,0,404,406,0,0,0,0,0,0,60
398,2,10823,10826,10829,0,0,0,0,12,80
399,3,10825,10828,10830,0,0,0,0,12,80
400,1,708,731,0,0,0,0,0,0,90
401,2,10208,272,0,0,0,0,3,9,60
402,2,10208,120,173,0,0,0,4,10,60
403,2,10208,288,270,0,0,0,6,12,60
404,2,10208,286,0,0,0,0,3,9,60
405,2,10208,272,0,0,0,0,4,10,60
406,2,10208,120,173,0,0,0,6,12,60
407,3,10212,10209,274,0,0,0,3,9,60
408,3,10212,10209,168,0,0,0,4,10,60
409,3,10212,10209,291,0,0,0,6,12,60
410,3,10212,10209,274,0,0,0,3,9,60
411,3,10212,10209,168,0,0,0,4,10,60
412,3,364,10213,10212,10209,368,15,16,18,60
413,3,364,10213,10212,10209,365,15,16,18,60
414,3,364,10213,10212,10209,368,15,16,18,60
415,0,10211,301,10207,307,313,266,5,11,60
416,0,10211,301,10207,307,313,267,1,7,60
417,0,10211,301,10207,307,313,285,2,8,60
418,0,10211,301,10207,307,313,60,5,11,60
419,0,10211,301,10207,307,313,266,1,7,60
420,0,10211,301,10207,307,313,267,2,8,60
421,0,318,331,10211,10207,0,17,13,14,60
422,0,318,331,10211,10207,0,17,13,14,60
423,0,318,331,10211,10207,0,17,13,14,60
424,2,10208,272,286,0,0,0,3,9,60
425,2,10208,120,173,0,0,0,4,10,60
426,2,10208,288,270,0,0,0,6,12,60
427,3,10212,10209,274,0,0,0,3,9,60
428,3,10212,10209,168,0,0,0,4,10,60
429,3,10212,10209,291,0,0,0,6,12,60
430,0,10211,10207,301,266,0,0,5,11,60
431,0,10211,10207,313,267,0,0,1,7,60
432,0,10211,10207,307,285,60,0,2,8,60
433,2,10214,10215,0,0,0,0,0,0,65
434,2,10216,0,0,0,0,0,0,0,65
435,2,10217,10218,0,0,0,0,0,0,65
436,2,10219,10220,0,0,0,0,0,0,65
437,2,10221,0,0,0,0,0,0,0,65
438,3,10222,0,0,0,0,0,0,0,65
439,2,10223,10224,0,0,0,0,0,0,65
440,2,10225,0,0,0,0,0,0,0,65
441,3,10226,10227,0,0,0,0,0,0,65
442,2,10228,0,0,0,0,0,0,0,70
443,3,10229,0,0,0,0,0,0,0,70
444,3,10230,10231,0,0,0,0,0,0,70
445,2,10232,10233,0,0,0,0,0,0,70
446,3,10234,0,0,0,0,0,0,0,70
447,3,10235,10236,0,0,0,0,0,0,70
448,0,10237,10238,0,0,0,0,0,0,65
449,0,10239,0,0,0,0,0,0,0,65
450,0,10240,10241,0,0,0,0,0,0,65
451,0,10242,10243,0,0,0,0,0,0,65
452,1,10244,0,0,0,0,0,0,0,65
453,1,10245,0,0,0,0,0,0,0,65
454,1,10246,10247,0,0,0,0,0,0,65
455,0,10248,0,0,0,0,0,0,0,65
456,1,10249,10250,0,0,0,0,0,0,65
457,1,10251,0,0,0,0,0,0,0,70
458,1,10252,0,0,0,0,0,0,0,70
459,1,10253,10254,0,0,0,0,0,0,70
460,0,10255,10256,0,0,0,0,0,0,70
461,1,10257,0,0,0,0,0,0,0,70
462,1,10258,10259,0,0,0,0,0,0,70
463,2,709,723,0,0,0,0,0,0,90
464,5,20000,20001,20010,20018,20019,20027,0,0,65
465,5,20000,20002,20011,20020,20028,20035,0,0,65
466,5,20003,20011,20012,20021,20029,20036,0,0,65
467,5,20003,20001,20013,20022,20030,20037,0,0,65
468,5,20004,20014,20012,20023,20031,20038,0,0,65
469,5,20005,20006,20015,20032,20039,20040,0,0,65
470,5,20007,20008,20016,20024,20025,20033,0,0,65
471,5,20009,20007,20017,20026,20041,20034,0,0,65
472,5,20042,20054,20055,20065,20073,20082,20097,0,70
473,5,20043,20044,20056,20067,20074,20084,0,0,70
474,5,20045,20046,20057,20068,20075,20085,0,0,70
475,5,20047,20048,20058,20069,20077,20087,0,0,70
476,5,20049,20059,20060,20069,20088,20078,0,0,70
477,5,20050,20051,20061,20070,20079,20091,0,0,70
478,5,20052,20051,20062,20071,20080,20092,0,0,70
479,5,20053,20063,20064,20072,20081,20093,0,0,70
480,5,20030,20035,20065,20073,20066,20083,20096,0,70
481,5,20067,20068,20075,20084,20076,20086,0,0,70
482,5,20077,20078,20088,20087,20089,20090,0,0,70
483,5,20070,20080,20079,20081,20094,20095,0,0,70
484,0,0,0,0,0,0,0,0,0,0
485,0,428,501,503,0,0,0,0,9,60
486,0,430,431,10262,517,0,0,0,9,65
487,0,432,10263,526,10780,0,0,0,12,65
488,0,433,435,527,0,0,0,0,7,65
489,1,445,446,447,516,0,0,0,10,65
490,1,448,519,0,0,0,0,0,12,65
491,0,438,10264,530,0,0,0,0,7,70
492,1,450,634,514,0,0,0,0,7,70
493,0,440,529,0,0,0,0,0,8,70
494,0,444,635,514,0,0,0,0,8,70
495,1,449,451,452,528,0,0,0,11,70
496,0,437,514,0,0,0,0,0,11,70
497,0,429,0,0,0,0,0,0,0,60
498,0,434,0,0,0,0,0,0,0,65
499,0,441,10265,0,0,0,0,0,0,70
500,0,439,0,0,0,0,0,0,0,70
501,0,436,0,0,0,0,0,0,0,70
502,1,453,0,0,0,0,0,0,0,70
503,0,443,506,0,0,0,0,0,0,70
504,0,442,0,0,0,0,0,0,0,70
505,3,470,469,501,503,0,0,0,7,60
506,2,456,455,454,0,0,0,0,7,65
507,2,457,461,526,10780,0,0,0,12,65
508,2,458,459,527,0,0,0,0,9,65
509,3,474,482,480,10266,517,0,0,7,65
510,3,478,481,10267,0,0,0,0,12,65
511,3,473,475,479,519,0,0,0,12,65
512,3,472,471,477,476,516,0,0,11,65
513,2,462,464,463,530,0,0,0,7,70
514,2,465,529,0,0,0,0,0,8,70
515,2,468,515,0,0,0,0,0,8,70
516,3,484,493,498,0,0,0,0,11,70
517,3,483,494,492,497,0,0,0,9,70
518,3,488,633,515,0,0,0,0,9,70
519,3,486,487,496,495,528,0,0,10,70
520,3,489,515,0,0,0,0,0,10,70
521,0,0,0,0,0,0,0,0,0,0
522,2,460,0,0,0,0,0,0,0,65
523,2,466,0,0,0,0,0,0,0,70
524,3,499,0,0,0,0,0,0,0,70
525,3,485,0,0,0,0,0,0,0,70
526,3,491,10269,0,0,0,0,0,0,70
527,2,467,0,0,0,0,0,0,0,70
528,3,500,507,0,0,0,0,0,0,70
529,3,490,10268,0,0,0,0,0,12,70
530,5,20021,20030,20027,20065,20082,20098,0,0,70
531,0,504,505,0,0,0,0,0,10,60
532,3,504,505,0,0,0,0,0,11,60
533,0,502,0,0,0,0,0,0,12,60
534,3,502,0,0,0,0,0,0,12,60
535,0,508,512,0,0,0,0,0,0,70
536,0,509,521,0,0,0,0,0,0,70
537,2,510,513,0,0,0,0,0,0,70
538,3,511,0,0,0,0,0,0,0,70
539,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,1,10279,10280,10281,10297,10272,0,0,11,60
542,1,10282,10285,10294,10296,10274,10324,0,11,60
543,1,10283,10286,10290,10292,10295,10275,0,11,60
544,1,10278,10284,10288,10289,10273,0,0,11,60
545,3,10305,10306,10307,10323,10298,0,0,11,60
546,3,10308,10311,10320,10322,10300,10325,0,11,60
547,3,10309,10312,10316,10318,10321,10301,0,11,60
548,3,10304,10310,10314,10315,10299,0,0,11,60
549,1,10277,10287,10291,10293,10276,0,0,11,60
550,3,10303,10313,10317,10319,10302,0,0,11,60
551,0,518,0,0,0,0,0,0,8,65
552,3,518,0,0,0,0,0,0,8,65
553,1,520,0,0,0,0,0,0,10,65
554,3,520,0,0,0,0,0,0,10,65
555,0,522,0,0,0,0,0,0,0,70
556,0,523,0,0,0,0,0,0,0,70
557,2,524,0,0,0,0,0,0,0,70
558,3,525,0,0,0,0,0,0,0,70
559,3,10326,10327,0,0,0,0,0,0,75
560,3,10328,0,0,0,0,0,0,0,75
561,2,10329,10330,0,0,0,0,0,0,75
562,2,10331,10332,0,0,0,0,0,0,75
563,2,10333,0,0,0,0,0,0,0,75
564,3,10334,0,0,0,0,0,0,0,75
565,3,10335,10336,0,0,0,0,0,0,75
566,3,10337,0,0,0,0,0,0,0,75
567,2,10338,10339,0,0,0,0,0,0,75
568,2,10340,0,0,0,0,0,0,0,80
569,3,10341,0,0,0,0,0,0,0,80
570,3,10342,10343,0,0,0,0,0,0,80
571,2,10344,10345,0,0,0,0,0,0,80
572,3,10346,0,0,0,0,0,0,0,80
573,3,10347,10348,0,0,0,0,0,0,80
574,0,10349,10350,0,0,0,0,0,0,75
575,1,10351,0,0,0,0,0,0,0,75
576,0,10352,10353,0,0,0,0,0,0,75
577,0,10354,10355,0,0,0,0,0,0,75
578,0,10356,0,0,0,0,0,0,0,75
579,0,10357,0,0,0,0,0,0,0,75
580,1,10358,10359,0,0,0,0,0,0,75
581,0,10360,0,0,0,0,0,0,0,75
582,1,10361,10362,0,0,0,0,0,0,75
583,1,10363,0,0,0,0,0,0,0,80
584,0,10364,0,0,0,0,0,0,0,80
585,0,10365,10366,0,0,0,0,0,0,80
586,0,10367,10368,0,0,0,0,0,0,80
587,0,10369,0,0,0,0,0,0,0,80
588,0,10370,10371,0,0,0,0,0,0,80
589,0,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0,0
591,1,597,548,549,0,0,602,604,9,70
592,0,534,599,10372,0,0,533,0,12,75
593,0,598,0,0,0,0,536,0,11,75
594,1,0,551,550,0,0,0,0,7,75
595,1,0,552,0,0,0,0,0,12,75
596,0,537,600,0,0,0,0,0,12,80
597,0,0,0,0,0,0,540,621,12,80
598,0,542,0,0,0,0,539,544,11,80
599,0,0,0,0,0,541,0,621,11,80
600,1,10373,0,553,0,0,0,0,7,80
601,1,0,0,0,0,0,621,556,7,80
602,1,0,554,555,0,0,0,0,9,80
603,0,0,0,0,0,0,0,0,531,70
