#,Model,NpcYell,Unknown0,Unknown1,ResidentMotionType
37.1,78,0,0,5,0
37.2,2089,480,0,3,0
37.3,2090,305,0,3,0
37.4,1864,9,0,3,0
37.5,1865,9,0,3,0
37.6,2092,305,0,3,0
37.7,2095,480,0,3,0
37.8,2098,305,0,3,0
37.9,2802,0,0,1,0
37.10,2803,0,0,1,0
37.11,2804,0,0,1,0
37.12,2806,0,0,1,0
37.13,2807,0,0,1,0
37.14,2808,0,0,1,0
37.15,2810,0,0,1,0
38.0,941,640,0,3,0
38.1,1903,653,0,3,0
38.2,1898,646,0,3,0
38.3,1884,333,0,3,0
38.4,1886,648,0,3,0
38.5,1891,649,0,3,0
38.6,1893,333,0,3,0
38.7,1894,333,0,3,0
38.8,1895,333,0,3,0
38.9,0,0,0,0,0
39.0,2756,0,0,1,0
39.1,1949,655,0,3,0
39.2,1953,480,0,3,0
40.0,1963,16,0,3,0
40.1,1973,16,0,3,0
41.0,46,0,0,2,0
41.1,2172,480,0,3,0
41.2,2173,480,0,3,0
42.0,2743,0,0,1,0
42.1,2750,0,0,1,0
42.2,2751,0,0,1,0
42.3,2752,0,0,1,0
42.4,2753,0,0,1,0
42.5,45,0,0,2,0
42.6,41,0,0,2,0
42.7,42,0,0,2,0
42.8,43,0,0,2,0
42.9,2008,647,0,3,0
42.10,2009,647,0,3,0
42.11,2010,647,0,3,0
42.12,2011,647,0,3,0
42.13,2020,480,0,3,0
42.14,2021,480,0,3,0
42.15,2025,666,0,3,0
42.16,2025,667,0,3,0
42.17,2026,629,0,3,0
42.18,2027,668,0,3,0
42.19,2032,661,0,3,0
42.20,2034,480,0,3,0
42.21,2035,480,0,3,0
42.22,2036,480,0,3,0
42.23,2042,659,0,3,0
42.24,2047,664,0,3,0
42.25,2048,403,0,3,0
42.26,2049,662,0,3,0
42.27,2012,647,0,3,0
42.28,2014,647,0,3,0
43.0,2791,0,0,1,0
43.1,2793,0,0,1,0
43.2,2796,0,0,1,0
43.3,2798,0,0,1,0
43.4,2799,0,0,1,0
43.5,1921,6,0,3,0
43.6,2182,6,0,3,0
43.7,1940,673,0,3,0
43.8,2177,673,0,3,0
43.9,1932,641,0,3,0
43.10,1923,480,0,3,0
43.11,2140,480,0,3,0
43.12,0,0,0,0,0
44.0,2823,0,0,1,0
44.1,2824,0,0,1,0
44.2,2825,0,0,1,0
44.3,2109,636,0,3,0
44.4,2111,636,0,3,0
44.5,2159,636,0,3,0
44.6,2119,670,0,3,0
45.0,3000,0,0,1,0
45.1,2978,0,0,1,0
45.2,2984,0,0,1,0
45.3,2985,0,0,1,0
45.4,2294,731,0,3,0
45.5,2295,731,0,3,0
45.6,2296,739,0,3,0
45.7,2297,739,0,3,0
45.8,2302,480,0,3,0
45.9,2310,730,0,3,0
45.10,2311,730,0,3,0
45.11,2313,730,0,3,0
45.12,2314,730,0,3,0
45.13,2336,732,0,3,0
45.14,0,0,0,0,0
46.0,3136,0,0,1,0
46.1,2493,655,0,3,0
46.2,2499,480,0,3,0
47.0,2510,16,0,3,0
47.1,2520,16,0,3,0
48.0,46,0,0,2,0
48.1,2544,480,0,3,0
48.2,2545,480,0,3,0
49.0,3148,0,0,1,0
49.1,3154,0,0,1,0
49.2,3155,0,0,1,0
49.3,3156,0,0,1,0
49.4,3157,0,0,1,0
49.5,45,0,0,2,0
49.6,41,0,0,2,0
49.7,42,0,0,2,0
49.8,43,0,0,2,0
49.9,2558,647,0,3,0
49.10,2559,647,0,3,0
49.11,2570,480,0,3,0
49.12,2571,480,0,3,0
49.13,2575,666,0,3,0
49.14,2575,667,0,3,0
49.15,2576,629,0,3,0
49.16,2577,668,0,3,0
49.17,2582,661,0,3,0
49.18,2584,480,0,3,0
49.19,2585,480,0,3,0
49.20,2586,480,0,3,0
49.21,2592,659,0,3,0
49.22,2597,664,0,3,0
49.23,2598,403,0,3,0
49.24,2599,662,0,3,0
49.25,2560,647,0,3,0
49.26,2562,647,0,3,0
49.27,0,0,0,0,0
50.0,2206,735,0,3,0
50.1,2239,32,0,3,0
50.2,2228,239,0,3,0
50.3,2229,239,0,3,0
50.4,2230,480,0,3,0
50.5,2234,480,0,3,0
50.6,2235,239,0,3,0
50.7,2236,480,0,3,0
50.8,2210,725,0,3,0
50.9,2212,329,0,3,0
50.10,2213,480,0,3,0
50.11,2220,736,0,3,0
50.12,2218,726,0,3,0
50.13,2968,0,0,1,0
50.14,2994,0,0,1,0
50.15,2995,0,0,1,0
50.16,2971,0,0,1,0
50.17,2972,0,0,1,0
51.0,3016,0,0,1,0
51.1,3017,0,0,1,0
51.2,3018,0,0,1,0
51.3,3019,0,0,1,0
51.4,3020,0,0,1,0
51.5,2332,770,0,3,0
51.6,2333,772,0,3,0
51.7,2334,772,0,3,0
51.8,2335,772,0,3,0
51.9,446,229,0,3,0
51.10,2375,229,0,3,0
52.0,3009,0,0,1,0
52.1,3012,0,0,1,0
52.2,3013,0,0,1,0
52.3,3014,0,0,1,0
52.4,3010,0,0,1,0
52.5,51,0,0,2,0
52.6,2317,348,0,3,0
52.7,2326,348,0,3,0
52.8,2327,480,0,3,0
52.9,2328,480,0,3,0
52.10,2324,785,0,3,0
52.11,2321,348,0,3,0
52.12,2329,348,0,3,0
52.13,2322,783,0,3,0
52.14,2323,784,0,3,0
52.15,2324,785,0,3,0
52.16,2330,768,0,3,0
52.17,2331,768,0,3,0
52.18,2319,348,0,3,0
52.19,2333,772,0,3,0
52.20,2334,772,0,3,0
52.21,2335,772,0,3,0
52.22,2332,770,0,3,0
53.0,3021,0,0,1,0
53.1,3022,0,0,1,0
53.2,3023,0,0,1,0
53.3,3024,0,0,1,0
53.4,3030,0,0,1,0
53.5,1875,776,0,3,0
53.6,969,776,0,3,0
53.7,1725,780,0,3,0
53.8,2337,780,0,3,0
53.9,558,230,0,3,0
53.10,2338,230,0,3,0
53.11,564,230,0,3,0
53.12,2339,701,0,3,0
53.13,2340,701,0,3,0
53.14,966,701,0,3,0
53.15,900,701,0,3,0
53.16,969,701,0,3,0
54.0,3031,0,0,1,0
54.1,3032,0,0,1,0
54.2,3033,0,0,1,0
54.3,3034,0,0,1,0
54.4,3078,0,0,1,0
54.5,57,0,0,2,0
54.6,56,0,0,2,0
54.7,2351,347,0,3,0
54.8,2345,347,0,3,0
54.9,2348,480,0,3,0
54.10,2353,347,0,3,0
54.11,2346,347,0,3,0
54.12,2408,347,0,3,0
54.13,1236,380,0,3,0
54.14,1237,380,0,3,0
54.15,2344,480,0,3,0
54.16,2349,347,0,3,0
55.0,3025,0,0,1,0
55.1,3026,0,0,1,0
55.2,3027,0,0,1,0
55.3,3028,0,0,1,0
55.4,3029,0,0,1,0
55.5,2342,664,0,3,0
55.6,2343,664,0,3,0
55.7,564,660,0,3,0
55.8,2341,660,0,3,0
55.9,618,778,0,3,0
55.10,612,778,0,3,0
55.11,2447,781,0,3,0
55.12,2448,773,0,3,0
55.13,0,0,0,0,0
56.0,3040,0,0,1,0
56.1,3042,0,0,1,0
56.2,3043,0,0,1,0
56.3,3047,0,0,1,0
56.4,3046,0,0,1,0
56.5,53,0,0,2,0
56.6,2441,251,0,3,0
56.7,2379,251,0,3,0
56.8,2380,251,0,3,0
56.9,2382,251,0,3,0
56.10,2383,251,0,3,0
56.11,2384,480,0,3,0
56.12,2377,251,0,3,0
56.13,2378,480,0,3,0
56.14,2371,786,0,3,0
56.15,2374,292,0,3,0
56.16,2372,293,0,3,0
56.17,2373,294,0,3,0
56.18,2385,251,0,3,0
56.19,2386,251,0,3,0
56.20,2440,480,0,3,0
56.21,2443,738,0,3,0
56.22,0,0,0,0,0
57.0,3035,0,0,1,0
57.1,3036,0,0,1,0
57.2,3037,0,0,1,0
57.3,3039,0,0,1,0
57.4,2361,349,0,3,0
57.5,2365,791,0,3,0
57.6,2366,791,0,3,0
57.7,2367,480,0,3,0
57.8,2356,349,0,3,0
57.9,2357,480,0,3,0
57.10,2354,349,0,3,0
57.11,2355,349,0,3,0
57.12,2358,349,0,3,0
57.13,2363,819,0,3,0
57.14,2364,769,0,3,0
57.15,2359,349,0,3,0
58.0,29069,1860,0,3,1
58.1,29083,1860,0,3,3
58.2,29097,1860,0,3,8
58.3,29130,1860,0,3,41
58.4,29131,1860,0,3,41
58.5,29485,1860,0,3,2
58.6,29497,1860,0,3,4
58.7,29498,1860,0,3,4
58.8,29515,1860,0,3,6
58.9,29516,1860,0,3,6
58.10,29537,1860,0,3,39
58.11,29553,1860,0,3,46
58.12,39190,1860,0,3,50
58.13,29401,1860,0,3,5
58.14,29415,1860,0,3,7
58.15,29432,1860,0,3,42
58.16,29662,1860,0,3,11
58.17,29673,1860,0,3,12
58.18,29678,1860,0,3,12
58.19,41498,1860,0,3,40
58.20,39215,1860,0,3,51
58.21,29230,1860,0,3,10
58.22,41502,1860,0,3,12
58.23,29255,1860,0,3,9
58.24,29266,1860,0,3,47
58.25,29267,1860,0,3,47
58.26,29092,1860,0,3,8
58.27,29123,1860,0,3,41
58.28,29229,1860,0,3,10
58.29,29532,1860,0,3,39
58.30,41506,1860,0,3,9
58.31,41507,1860,0,3,9
58.32,3096,0,0,1,0
58.33,3097,0,0,1,0
58.34,18365,0,0,1,0
58.35,18366,0,0,1,0
58.36,2616,4447,0,3,0
58.37,42933,4447,0,3,0
58.38,42934,480,0,3,0
58.39,42935,480,0,3,0
58.40,42936,480,0,3,0
58.41,42937,480,0,3,0
58.42,42938,480,0,3,0
58.43,43158,4447,0,3,0
58.44,43159,4447,0,3,0
58.45,42939,316,0,3,0
58.46,42940,480,0,3,0
58.47,42941,480,0,3,0
58.48,2617,766,0,3,0
58.49,2618,766,0,3,0
58.50,62,0,0,6,0
58.51,197,0,0,6,0
58.52,46739,4031,0,3,0
58.53,46740,4031,0,3,0
58.54,46741,480,0,3,0
58.55,46742,480,0,3,0
58.56,46743,480,0,3,0
58.57,46744,480,0,3,0
58.58,19293,0,0,1,0
58.59,730,0,0,2,0
58.60,0,0,0,0,0
59.0,3381,0,0,1,0
59.1,3382,0,0,1,0
59.2,3383,0,0,1,0
59.3,3141,705,0,3,0
59.4,3142,705,0,3,0
59.5,3143,705,0,3,0
59.6,3144,705,0,3,0
59.7,3145,705,0,3,0
59.8,3146,705,0,3,0
59.9,3147,705,0,3,0
59.10,3148,480,0,3,0
59.11,3149,705,0,3,0
59.12,3150,480,0,3,0
59.13,3151,705,0,3,0
59.14,3152,538,0,3,0
59.15,3153,538,0,3,0
59.16,3154,705,0,3,0
59.17,3155,705,0,3,0
60.0,2903,833,0,3,0
60.1,2908,480,0,3,0
60.2,2911,833,0,3,0
60.3,2912,480,0,3,0
60.4,2913,833,0,3,0
60.5,2914,480,0,3,0
60.6,2917,846,0,3,0
60.7,2917,847,0,3,0
60.8,30,0,0,6,0
60.9,31,0,0,6,0
60.10,0,0,0,0,0
61.0,3290,0,0,1,0
61.1,60,0,0,2,0
61.2,61,0,0,2,0
61.3,61,0,0,2,0
61.4,25,0,0,2,0
61.5,2924,822,0,3,0
61.6,2925,822,0,3,0
61.7,2926,822,0,3,0
61.8,2930,822,0,3,0
61.9,2932,822,0,3,0
61.10,2933,822,0,3,0
61.11,2941,766,0,3,0
61.12,2942,766,0,3,0
61.13,17,0,0,6,0
61.14,36,0,0,6,0
61.15,37,0,0,6,0
61.16,0,0,0,0,0
62.0,3296,0,0,1,0
62.1,3299,0,0,1,0
62.2,3300,0,0,1,0
62.3,3301,0,0,1,0
62.4,3302,0,0,1,0
62.5,62,0,0,2,0
62.6,63,0,0,2,0
62.7,2956,337,0,3,0
62.8,2962,480,0,3,0
62.9,2976,854,0,3,0
62.10,2979,480,0,3,0
62.11,32,0,0,6,0
62.12,33,0,0,6,0
62.13,34,0,0,6,0
62.14,35,0,0,6,0
62.15,0,0,0,0,0
63.0,3305,0,0,1,0
63.1,3525,0,0,1,0
63.2,3526,0,0,1,0
63.3,64,0,0,2,0
63.4,65,0,0,2,0
63.5,2993,480,0,3,0
63.6,2995,480,0,3,0
63.7,2998,480,0,3,0
63.8,2999,480,0,3,0
63.9,3000,480,0,3,0
63.10,3008,336,0,3,0
63.11,3016,226,0,3,0
63.12,39,0,0,6,0
63.13,40,0,0,6,0
63.14,41,0,0,6,0
63.15,42,0,0,6,0
63.16,22,0,0,6,0
63.17,25,0,0,6,0
64.0,3397,0,0,1,0
64.1,3338,0,0,1,0
64.2,3335,0,0,1,0
64.3,3342,0,0,1,0
64.4,3344,0,0,1,0
64.5,3095,764,0,3,0
64.6,3160,764,0,3,0
64.7,0,0,0,0,0
65.0,58,0,0,2,0
65.1,59,0,0,2,0
65.2,2451,312,0,3,0
65.3,2453,312,0,3,0
65.4,2454,312,0,3,0
65.5,2455,312,0,3,0
65.6,2456,480,0,3,0
65.7,2457,312,0,3,0
65.8,2462,480,0,3,0
65.9,2465,312,0,3,0
65.10,2468,312,0,3,0
65.11,3100,0,0,1,0
65.12,3103,0,0,1,0
65.13,3104,0,0,1,0
65.14,29,0,0,6,0
65.15,602,701,0,4,0
65.16,2442,312,0,3,0
65.17,2466,312,0,3,0
65.18,3094,480,0,3,0
65.19,140,312,0,4,0
65.20,141,312,0,4,0
66.0,58,0,0,2,0
66.1,59,0,0,2,0
66.2,2451,312,0,3,0
66.3,2453,312,0,3,0
66.4,3037,312,0,3,0
66.5,3041,312,0,3,0
66.6,2455,312,0,3,0
66.7,3042,480,0,3,0
66.8,3043,312,0,3,0
66.9,3051,480,0,3,0
66.10,3049,312,0,3,0
66.11,3052,312,0,3,0
66.12,3039,312,0,3,0
66.13,3040,312,0,3,0
66.14,3329,0,0,1,0
66.15,3330,0,0,1,0
66.16,3331,0,0,1,0
66.17,29,0,0,6,0
66.18,26,0,0,6,0
66.19,602,701,0,4,0
66.20,2442,312,0,3,0
66.21,2466,312,0,3,0
66.22,3094,480,0,3,0
66.23,140,312,0,4,0
66.24,141,312,0,4,0
67.0,3284,0,0,1,0
67.1,3324,0,0,1,0
67.2,3386,0,0,1,0
67.3,3347,0,0,1,0
67.4,3284,0,0,1,0
67.5,3107,873,0,3,0
67.6,3105,873,0,3,0
67.7,3106,873,0,3,0
67.8,3107,873,0,3,0
67.9,3108,876,0,3,0
67.10,3109,876,0,3,0
67.11,3110,876,0,3,0
67.12,3116,876,0,3,0
67.13,3161,876,0,3,0
67.14,3112,875,0,3,0
67.15,3104,874,0,3,0
67.16,2897,909,0,3,0
67.17,2898,909,0,3,0
67.18,2899,909,0,3,0
67.19,0,0,0,0,0
68.0,3117,261,0,3,0
68.1,3118,261,0,3,0
68.2,3119,261,0,3,0
68.3,3120,480,0,3,0
68.4,3121,480,0,3,0
68.5,3122,261,0,3,0
68.6,3123,480,0,3,0
68.7,3125,261,0,3,0
68.8,3126,261,0,3,0
68.9,3127,261,0,3,0
68.10,3128,261,0,3,0
68.11,3129,261,0,3,0
68.12,3130,354,0,3,0
68.13,3131,908,0,3,0
68.14,3132,354,0,3,0
68.15,3133,354,0,3,0
68.16,3134,354,0,3,0
68.17,3135,354,0,3,0
68.18,3136,871,0,3,0
68.19,3137,871,0,3,0
68.20,3138,354,0,3,0
68.21,3159,261,0,3,0
68.22,3709,871,0,4,0
68.23,3710,871,0,4,0
68.24,3366,0,0,1,0
68.25,3367,0,0,1,0
68.26,3370,0,0,1,0
68.27,3373,0,0,1,0
68.28,3371,0,0,1,0
68.29,43,0,0,6,0
69.0,3258,0,0,1,0
69.1,3259,0,0,1,0
69.2,3264,0,0,1,0
69.3,3265,0,0,1,0
69.4,3266,0,0,1,0
69.5,3069,329,0,3,0
69.6,3070,329,0,3,0
69.7,1099,709,0,3,18
69.8,1299,709,0,3,0
69.9,0,0,0,0,0
70.0,3484,0,0,1,0
70.1,3485,0,0,1,0
70.2,3486,0,0,1,0
70.3,3487,0,0,1,0
70.4,3340,968,0,3,0
70.5,3341,968,0,3,0
70.6,3342,968,0,3,0
70.7,3343,968,0,3,0
70.8,3344,968,0,3,0
70.9,682,1005,0,3,0
70.10,3345,1005,0,3,0
70.11,3346,1005,0,3,0
70.12,3347,1005,0,3,0
70.13,3348,1005,0,3,0
70.14,3410,480,0,3,0
70.15,0,0,0,0,0
71.0,3584,0,0,1,0
71.1,3585,0,0,1,0
71.2,3661,0,0,1,0
71.3,3662,0,0,1,0
71.4,3272,351,0,3,0
71.5,3273,480,0,3,0
71.6,3274,480,0,3,0
71.7,3275,351,0,3,0
71.8,3276,480,0,3,0
71.9,3277,351,0,3,0
71.10,3278,480,0,3,0
71.11,3279,774,0,3,0
