#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
10,Sicherung der Handelsstraßen,Wegelagerer bedrohen die Sicherheit der Handelsrouten im östlichen La Noscea. Der Befehl lautet: Die wichtigsten Handelsstraßen sichern und die fahrenden Kaufleute beschützen!,0,425,285,160,0,20,20,20,20,0,140,450,280,0,20,20,20,20,0,280,155,435,0,20,20,20,20,0,425,160,285,0,20,20,20,20,0,280,450,140,0,20,20,20,20,0,155,280,435,0,20,20,20,20,19500,1000,12,0,25,20,0,2
11,Störaktion in einem feindlichen Lager,"Das Flotten­kommando fürchtet einen bevorstehenden Angriff der Kobolde. Der Befehl lautet: In die Koboldgrube eindringen, die feindlichen Operationen stören und strategische Informationen sammeln!",0,170,295,450,0,20,20,20,20,0,440,300,175,0,20,20,20,20,0,440,175,300,0,20,20,20,20,0,295,465,155,0,20,20,20,20,0,155,465,295,0,20,20,20,20,0,295,170,450,0,20,20,20,20,22500,1000,12,0,30,20,0,2
12,Rettung einer verbündeten Einheit,Die Einheit eines verbündeten Stadt­staates ist im äußeren La Noscea verschollen gegangen. Unmittelbare Feindeinwirkung ist nicht auszuschließen. Der Befehl lautet: Die befreundete Einheit finden und retten!,0,310,480,170,0,20,20,20,20,0,185,310,465,0,20,20,20,20,0,455,315,190,0,20,20,20,20,0,170,480,310,0,20,20,20,20,0,310,185,465,0,20,20,20,20,0,455,190,315,0,20,20,20,20,25500,1000,12,0,35,20,0,2
13,Gemeinsame Manöverübung,Die Eorzäische Allianz hält eine gemeinsame Truppenübung ab. Der Befehl lautet: Als Vertreter des Mahlstroms an der Übung teilnehmen und unserem Stadt­staat zur Ehre gereichen!,14945,455,190,315,1,20,20,20,20,14945,310,480,170,1,20,20,20,20,14945,170,480,310,1,20,20,20,20,14945,310,185,465,1,20,20,20,20,14945,185,310,465,1,20,20,20,20,14945,455,315,190,1,20,20,20,20,27000,1000,12,0,35,20,0,2
14,★ Sicherstellung von Kristallvorräten,Der Feind plant eine weitere Beschwörung von Titan. Unsere Truppen werden in die Koboldgrube eindringen und die gehorteten Kristalle sichern. Der Befehl lautet: Bei der Erbeutung der Kristalle assistieren!,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,13,15,40,0,0,2
15,★ Sicherstellung von Kristallvorräten,Der Feind plant eine weitere Beschwörung von Titan. Unsere Truppen werden in die Koboldgrube eindringen und die gehorteten Kristalle sichern. Der Befehl lautet: Bei der Erbeutung der Kristalle assistieren!,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,16,17,40,0,0,2
16,Festnahme eines Kommandanten,Das Flotten­kommando will eines feindlichen Ober­kommandanten habhaft werden und plant einen Überfall auf die U'Ghamaro-Minen. Der Befehl lautet: Zu den Angriffstruppen stoßen und den Vorstoß decken!,14946,530,385,275,5,20,20,20,20,14946,530,275,385,5,20,20,20,20,14946,385,560,245,5,20,20,20,20,14946,245,560,385,5,20,20,20,20,14946,385,265,540,5,20,20,20,20,14946,265,385,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
17,Festnahme eines Waffenhändlers,"Unsere Spitzel haben illegale Waffengeschäfte innerhalb unseres Hoheitsgebiets ausgekund- schaftet. Der Befehl lautet: Den Waffenhändler fassen, tot oder lebendig!",14947,385,560,245,5,20,20,20,20,14947,245,560,385,5,20,20,20,20,14947,385,265,540,5,20,20,20,20,14947,265,385,540,5,20,20,20,20,14947,530,385,275,5,20,20,20,20,14947,530,275,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
18,Bespitzelung eines Castrums,Vorgerückte Späher der Eorzäischen Allianz haben verdächtige Aktivitäten nahe Castrum Occidens ausgemacht. Der Befehl lautet: Dem Castrum nähern und Informationen über die Truppen- bewegungen sammeln!,14948,385,265,540,5,20,20,20,20,14948,265,385,540,5,20,20,20,20,14948,530,385,275,5,20,20,20,20,14948,530,275,385,5,20,20,20,20,14948,385,560,245,5,20,20,20,20,14948,245,560,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
19,Festnahme garleischer Deserteure,Im östlichen La Noscea wurden garleische Deserteure gesichtet. Der Befehl lautet: Die Überläufer aufstöbern und festnehmen!,14949,530,275,385,5,20,20,20,20,14949,385,560,245,5,20,20,20,20,14949,245,560,385,5,20,20,20,20,14949,385,265,540,5,20,20,20,20,14949,265,385,540,5,20,20,20,20,14949,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
20,Scharmützel mit den Garlear,Die Eorzäische Allianz will in Mor Dhona mehr Präsenz zeigen und das Garleische Kaiserreich in Scharmützel verwickeln. Der Befehl lautet: An der Operation teilnehmen und siegreich zurückkehren!,14950,245,560,385,5,20,20,20,20,14950,385,265,540,5,20,20,20,20,14950,265,385,540,5,20,20,20,20,14950,530,385,275,5,20,20,20,20,14950,530,275,385,5,20,20,20,20,14950,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
21,Störung der Versorgungslinien,"Das Flotten­kommando treibt einen Angriffsplan voran, um die Versorgungslinien der Sahagin im westlichen La Noscea zu schwächen. Der Befehl lautet: Den Vormarsch der Truppen flankieren!",14951,265,385,540,5,20,20,20,20,14951,530,385,275,5,20,20,20,20,14951,530,275,385,5,20,20,20,20,14951,385,560,245,5,20,20,20,20,14951,245,560,385,5,20,20,20,20,14951,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
22,Festnahme einer Verbrecherin,Agenten der Legion haben eine steckbrieflich gesuchte Verbrecherin in La Noscea aufgespürt. Der Befehl lautet: Den Sonderermittlern bei der Festnahme der Verbrecherin assistieren!,14952,530,275,385,5,20,20,20,20,14952,530,385,275,5,20,20,20,20,14952,245,560,385,5,20,20,20,20,14952,385,560,245,5,20,20,20,20,14952,265,385,540,5,20,20,20,20,14952,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
23,Überfall auf eine garleische Einheit,"Unsere Späher melden, dass sich eine frische Reserveeinheit auf dem Weg nach Castrum Occidens befindet. Der Befehl lautet: Einen Hinterhalt legen und die garleische Einheit auslöschen!",14953,245,560,385,5,20,20,20,20,14953,385,560,245,5,20,20,20,20,14953,265,385,540,5,20,20,20,20,14953,385,265,540,5,20,20,20,20,14953,530,275,385,5,20,20,20,20,14953,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
24,Beseitigung einer Chimäre,Spielende Kinder haben den gigantischen Minotaurus in unserem Hoheitsgebiet entdeckt. Der Befehl lautet: Die widerliche Bestie aufspüren und ohne Rücksicht beseitigen!,14954,265,385,540,5,20,20,20,20,14954,385,265,540,5,20,20,20,20,14954,530,275,385,5,20,20,20,20,14954,530,385,275,5,20,20,20,20,14954,245,560,385,5,20,20,20,20,14954,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
25,Überfall auf die Wilden,"Es mehren sich Beweise, dass die Kobolde eine neue Primae-Beschwörung vorbereiten. Der Befehl lautet: Slafswys vor Ort treffen und nach Kräften unterstützen!",14946,295,430,600,10,20,20,20,20,14946,430,295,600,10,20,20,20,20,14946,590,305,430,10,20,20,20,20,14946,590,430,305,10,20,20,20,20,14946,275,620,430,10,20,20,20,20,14946,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
26,Garleische Waffenübung,Das Flotten­kommando will eine Übung mit einer erbeuteten garleischen Kampfmaschine abhalten. Der Befehl lautet: An der Übung teilnehmen!,14947,275,620,430,10,20,20,20,20,14947,430,620,275,10,20,20,20,20,14947,295,430,600,10,20,20,20,20,14947,430,295,600,10,20,20,20,20,14947,590,305,430,10,20,20,20,20,14947,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
27,Befreiung der entführten Bürger,"Die von den Ixal gesteuerte Piratenbande der Plündernden Schlangen verschleppt wehrlose Bürger! Es wird vermutet, dass die armen Seelen einem Primae geopfert werden sollen. Der Befehl lautet: Das feindliche Lager stürmen und die Entführten befreien!",14948,590,305,430,10,20,20,20,20,14948,590,430,305,10,20,20,20,20,14948,275,620,430,10,20,20,20,20,14948,430,620,275,10,20,20,20,20,14948,295,430,600,10,20,20,20,20,14948,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
28,Eliminierung der Waffendiebe,Eine Splittergruppe der Mamool Ja überfällt unsere Waffentransporte. Der Befehl lautet: Die Waffendiebe vor Ort eliminieren!,14949,295,430,600,10,20,20,20,20,14949,590,430,305,10,20,20,20,20,14949,590,305,430,10,20,20,20,20,14949,430,620,275,10,20,20,20,20,14949,275,620,430,10,20,20,20,20,14949,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
29,Vertreibung der Kultisten,Die Jünger Dalamuds sind in illegale Aktivitäten verwickelt und verbreiten die Kunde von ihrem hasserfüllten Kult. Der Befehl lautet: Als Zivilisten verkleidet in Limsa Lominsa patrouillieren und die Kultisten vertreiben!,14950,275,620,430,10,20,20,20,20,14950,430,295,600,10,20,20,20,20,14950,295,430,600,10,20,20,20,20,14950,590,430,305,10,20,20,20,20,14950,590,305,430,10,20,20,20,20,14950,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
30,Verfolgung eines Nichtsgesandten,In unserem Einflussbereich wurde ein tobender Nichts­gesand­ter gesichtet. Der Befehl lautet: Den Sukkubus aufstöbern und beseitigen!,14951,590,305,430,10,20,20,20,20,14951,430,620,275,10,20,20,20,20,14951,275,620,430,10,20,20,20,20,14951,430,295,600,10,20,20,20,20,14951,295,430,600,10,20,20,20,20,14951,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
31,Ausschaltung von Kampfmaschinen,Zurückgelassene garleische Kampf­maschinen haben in einen automatischen Berzerker-Modus geschaltet und bedrohen wehrlose Reisende. Der Befehl lautet: Einen Mechaniker unserer Ge­sell­schaft treffen und die Kampf­maschinen ausschalten!,14952,430,295,600,10,20,20,20,20,14952,295,430,600,10,20,20,20,20,14952,590,430,305,10,20,20,20,20,14952,590,305,430,10,20,20,20,20,14952,430,620,275,10,20,20,20,20,14952,275,620,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
32,Unterbindung illegaler Versuche,Eine Teilgruppe der Indigo-Hand führt auf unserem Gebiet nicht authorisierte Versuche mit Gob­stampfern aus. Der Befehl lautet: Die Versuche unterbinden und die Ver­ant­wort­li­chen dingfest machen!,14953,430,620,275,10,20,20,20,20,14953,275,620,430,10,20,20,20,20,14953,430,295,600,10,20,20,20,20,14953,295,430,600,10,20,20,20,20,14953,590,430,305,10,20,20,20,20,14953,590,305,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
33,Beruhigung eines Aggressors,"Ein aggressives Individuum namens „Der gridanische Schlangenjünger“ belästigt redliche Händler und Handwerker. Der Befehl lautet: Den Störenfried zur Räson bringen, notfalls mit Gewalt!",14954,590,430,305,10,20,20,20,20,14954,590,305,430,10,20,20,20,20,14954,430,620,275,10,20,20,20,20,14954,275,620,430,10,20,20,20,20,14954,430,295,600,10,20,20,20,20,14954,295,430,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
34,★ Eliminierung einer Eliteeinheit,"Spione berichten, dass sich eine garleische Eliteeinheit im östlichen La Noscea eingegraben hat und Störaktionen vorbereitet. Der Befehl lautet: Schalte die garleische Eliteeinheit aus - schnell!",0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,40000,5000,17,19,50,0,0,2
