#,Name,WKSMissionText,ClassJobCategory[0],ClassJobCategory[1],MissionTime,MissionReward,SilverStarRequirement,GoldStarRequirement,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSFunction,LevelGroup,Unknown0,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest,Unknown1,Unknown2
40,Verpackungsmaterialien I,2300,3000,31,9,0,100,1200,40,182,0,0,0,89,41,0,1200,3,4,0,1,0,False,False
41,EX: Verpackungsmaterialien II,2500,3000,31,9,0,100,1200,41,183,0,0,40,90,42,0,1100,3,5,1,0,0,False,False
42,EX+: Verpackungsmaterialien (Vehikel),2700,3000,31,9,0,100,270,42,184,0,0,41,91,43,0,1000,3,6,2,0,0,False,False
43,EX+: Biotreibstoff I,980,1080,32,9,0,100,600,43,185,0,0,0,92,44,0,1000,3,6,1,7,0,False,False
44,EX+: Biotreibstoff II,980,1080,32,9,0,100,600,44,186,0,0,43,93,45,0,1000,3,6,1,0,0,False,False
45,EX+: Biotreibstoff III,1000,1080,32,9,0,100,420,45,187,0,0,44,94,46,0,1000,0,6,1,0,0,False,False
46, Projektplatten,1200,2400,1,10,0,100,0,46,188,0,0,0,95,47,0,0,0,1,0,0,1,False,False
47, Ersatzteile (Raumschiff),1200,2400,14,10,0,100,0,47,189,0,0,0,96,48,0,0,0,1,0,0,1,False,False
48, Legierungsinspektion,1200,2400,2,10,0,100,0,48,190,0,0,0,97,49,0,0,0,1,0,0,1,False,False
49, Anpassungskomponenten (Qualitätsklasse I),1200,2400,15,10,0,100,0,49,191,0,0,0,98,50,0,0,0,1,0,0,1,False,False
50, Metallteile,1200,2400,3,10,0,100,0,50,192,0,0,0,99,51,0,0,0,1,0,0,1,False,False
51, Massenproduktion für Bedarfsartikel,1200,2400,3,10,0,100,0,51,193,0,0,0,100,52,0,0,0,1,0,0,1,False,False
52, Dicke Projektplatten,1200,2400,1,10,0,100,0,52,194,0,0,0,101,53,0,0,0,2,0,0,1,False,False
53, Triebachse (Raumschiff),1200,2400,14,10,0,100,0,53,195,0,0,0,102,54,0,0,0,2,0,0,1,False,False
54, Arbeiter-Brechwerkzeuge,1300,3000,4,10,0,100,0,54,196,0,0,0,103,55,0,0,3,2,0,0,1,False,False
55, Standard-Legierungsnieten,700,1500,3,10,0,100,0,55,197,0,0,0,104,56,0,0,3,2,0,0,1,False,False
56, Arbeiter-Zimmererwerkzeuge,1100,2500,4,10,0,100,0,56,198,0,0,0,105,57,0,0,3,2,0,0,1,False,False
57, Anpassungskomponenten (Qualitätsklasse II),1200,2250,15,10,0,100,0,57,199,0,0,0,106,58,0,0,3,2,0,0,1,False,False
58, Isolierungsvorrichtungen,700,1500,9,10,0,100,0,58,200,0,0,0,107,59,0,0,3,2,0,0,1,False,False
59, Übertragungsachse (Vehikel),1600,2400,3,10,0,100,0,59,201,0,0,0,108,60,0,0,0,3,0,0,1,False,False
60, Dünne Projektplatten,1600,2400,1,10,0,100,0,60,202,0,0,0,109,61,0,0,0,3,0,0,1,False,False
61, Arbeiter-Metallurgenwerkzeuge,1700,2000,4,10,0,100,0,61,203,0,0,0,110,62,0,0,3,3,0,0,1,False,False
62, Badezimmer-Einrichtung,2700,3000,6,10,0,100,0,62,204,0,0,0,111,63,0,0,3,3,0,0,1,False,False
63, Beweglicher Erdseim-Herd,1600,2400,9,10,0,100,0,63,205,0,0,0,112,64,0,0,0,3,0,0,1,False,False
64, Habitationsmodul-Beleuchtungen,2700,3000,12,10,0,100,0,64,206,0,0,0,113,65,0,0,3,3,0,0,1,False,False
65, Veredlung von Mondwerkzeugen,1000,1300,4,10,0,100,0,65,207,0,0,0,114,66,0,0,0,3,0,0,1,False,False
66, Veredlung von Mondgüterbauteilen,1000,1300,7,10,0,100,0,66,208,0,0,0,115,67,0,0,0,3,0,0,1,False,False
67,Stationsstruktur-Projektplatten,1800,2400,1,10,0,100,1200,67,209,0,0,0,116,68,0,2200,0,4,0,0,0,False,False
68,Seltene Materialien,2300,3000,2,10,0,100,1200,68,210,0,0,0,117,69,0,2200,3,4,0,0,0,False,False
69,Einrichtungsbau-Bedarfsartikel,700,1000,3,10,0,100,0,69,211,0,0,0,118,70,0,2200,3,4,0,0,0,False,False
70,Arbeiter-Blechwerkzeuge,700,1000,4,10,0,100,1200,70,212,0,0,0,119,71,0,2200,3,4,0,0,0,False,False
71,Meteoreisen-Inspektion,2600,3000,5,10,0,100,1200,71,213,0,0,0,120,72,0,2200,3,4,0,0,0,False,False
72,EX: Nachbau fernöstlicher Einrichtung,2500,3000,6,10,0,100,1200,72,214,0,0,0,121,73,0,2100,3,5,0,0,0,False,False
73,EX: Präzise Materialien,840,1000,7,10,0,100,1200,73,215,0,0,0,122,74,0,2100,3,5,0,0,0,False,False
74,EX: Mondtor-Station-Ersatzausstattung,840,1000,8,10,0,100,1200,74,216,0,0,0,123,75,0,2100,3,5,2,0,0,False,False
75,EX: Arbeitsunterstützungsvorrichtungen,2800,3000,9,10,0,100,1200,75,217,0,0,0,124,76,0,2100,3,5,1,14,0,False,False
76,EX+: Erhöhung der Materialbelastung,560,880,10,10,0,100,420,76,218,0,0,0,125,77,0,2000,0,6,0,13,0,False,False
77,EX+: Erhöhung der Material-Schockresistenz,560,880,11,10,0,100,330,77,219,0,0,0,126,78,0,2000,0,6,0,14,0,False,False
78,Station-Möbelstücke I,2300,3000,12,10,0,100,1200,78,220,0,0,0,127,79,0,2200,3,4,0,0,0,False,False
79,EX: Station-Möbelstücke II,2500,3000,12,10,0,100,1200,79,221,0,0,78,128,80,0,2100,3,5,0,0,0,False,False
80,Verfeinerungsmaterialien I,1000,1600,13,10,0,100,1200,80,222,0,0,0,129,81,0,2200,0,4,0,0,0,False,False
81,EX: Verfeinerungsmaterialien II,1000,1600,13,10,0,100,1200,81,223,0,0,80,130,82,0,2100,0,5,0,0,0,False,False
82,EX+: Großer Forschungs-Wasserspeicher,1000,1600,13,10,0,100,300,82,224,0,0,81,131,83,0,2000,0,6,0,0,0,False,False
83,EX: Raumschiff-Materialien,850,1000,14,10,0,100,1200,83,225,0,0,0,132,84,0,2100,3,5,0,0,0,False,False
84,EX+: Raumschiff-Materialien-Veredelung,900,1000,14,10,0,100,240,84,226,0,0,83,133,85,0,2000,3,6,2,0,0,False,False
85,Hochfunktionsdrohnen-Materialien I,2300,3000,15,10,0,100,1200,85,227,0,0,0,134,86,0,2200,3,4,0,3,0,False,False
86,EX: Hochfunktionsdrohnen-Materialien II,2500,3000,15,10,0,100,1200,86,228,0,0,85,135,87,0,2100,3,5,1,0,0,False,False
87,EX+: Hochfunktionsdrohnen,2700,3000,15,10,0,100,270,87,229,0,0,86,136,88,0,2000,3,6,2,0,0,False,False
88,EX+: Spezialausrüstungs-Materialien I,980,1080,16,10,0,100,600,88,230,0,0,0,137,89,0,2000,3,6,1,9,0,False,False
89,EX+: Spezialausrüstungs-Materialien II,980,1080,16,10,0,100,600,89,231,0,0,88,138,90,0,2000,3,6,1,0,0,False,False
90,EX+: Spezialausrüstung (Feinschliff),1000,1080,16,10,0,100,420,90,232,0,0,89,139,91,0,2000,0,6,1,0,0,False,False
91, Projektplatten,1200,2400,1,11,0,100,0,91,233,0,0,0,140,92,0,0,0,1,0,0,1,False,False
92, Ersatzteile (Raumschiff),1200,2400,14,11,0,100,0,92,234,0,0,0,141,93,0,0,0,1,0,0,1,False,False
93, Legierungsinspektion,1200,2400,2,11,0,100,0,93,235,0,0,0,142,94,0,0,0,1,0,0,1,False,False
94, Anpassungsteile (Klasse I),1200,2400,15,11,0,100,0,94,236,0,0,0,143,95,0,0,0,1,0,0,1,False,False
95, Metallteile,1200,2400,3,11,0,100,0,95,237,0,0,0,144,96,0,0,0,1,0,0,1,False,False
96, Bedarfsartikel-Massenproduktion,1200,2400,3,11,0,100,0,96,238,0,0,0,145,97,0,0,0,1,0,0,1,False,False
97, Dicke Projektplatten,1200,2400,1,11,0,100,0,97,239,0,0,0,146,98,0,0,0,2,0,0,1,False,False
98, Triebachsen (Raumschiff),1200,2400,14,11,0,100,0,98,240,0,0,0,147,99,0,0,0,2,0,0,1,False,False
99, Arbeiter-Gourmetzeug I,1300,3000,4,11,0,100,0,99,241,0,0,0,148,100,0,0,3,2,0,0,1,False,False
100, Ringplatten,700,1500,3,11,0,100,0,100,242,0,0,0,149,101,0,0,3,2,0,0,1,False,False
101, Staubfeste Ausrüstung,1100,2500,4,11,0,100,0,101,243,0,0,0,150,102,0,0,3,2,0,0,1,False,False
102, Anpassungsteile (Klasse II),1200,2250,15,11,0,100,0,102,244,0,0,0,151,103,0,0,3,2,0,0,1,False,False
103, Isolierungsvorrichtungen,700,1500,9,11,0,100,0,103,245,0,0,0,152,104,0,0,3,2,0,0,1,False,False
104, Einzelteile (Vehikel),1600,2400,3,11,0,100,0,104,246,0,0,0,153,105,0,0,0,3,0,0,1,False,False
105, Dünne Projektplatten,1600,2400,1,11,0,100,0,105,247,0,0,0,154,106,0,0,0,3,0,0,1,False,False
106, Arbeiter-Gourmetzeug II,1700,2000,4,11,0,100,0,106,248,0,0,0,155,107,0,0,3,3,0,0,1,False,False
107, Café-Einrichtung,2700,3000,6,11,0,100,0,107,249,0,0,0,156,108,0,0,3,3,0,0,1,False,False
108, Außenfeuerstelle,1600,2400,9,11,0,100,0,108,250,0,0,0,157,109,0,0,0,3,0,0,1,False,False
109, Habitationsmodul-Schuppen,2700,3000,12,11,0,100,0,109,251,0,0,0,158,110,0,0,3,3,0,0,1,False,False
110, Veredlung von Mondwerkzeugen,1000,1300,4,11,0,100,0,110,252,0,0,0,159,111,0,0,0,3,0,0,1,False,False
111, Veredlung von Mondgüterbauteilen,1000,1300,7,11,0,100,0,111,253,0,0,0,160,112,0,0,0,3,0,0,1,False,False
112,Stationsstruktur-Projektplatten,1800,2400,1,11,0,100,1200,112,254,0,0,0,161,113,0,3200,0,4,0,0,0,False,False
113,Seltene Materialien,2300,3000,2,11,0,100,1200,113,255,0,0,0,162,114,0,3200,3,4,0,0,0,False,False
114,Ersatz für Einrichtungsbauartikel,700,1000,3,11,0,100,0,114,256,0,0,0,163,115,0,3200,3,4,0,0,0,False,False
115,Hyperleiter-Gourmetzeug,700,1000,4,11,0,100,1200,115,257,0,0,0,164,116,0,3200,3,4,0,0,0,False,False
116,Meteoreisen-Inspektion,2600,3000,5,11,0,100,1200,116,258,0,0,0,165,117,0,3200,3,4,0,0,0,False,False
117,EX: Räuchergefäß-Nachbau,2500,3000,6,11,0,100,1200,117,259,0,0,0,166,118,0,3100,3,5,0,0,0,False,False
118,EX: Präzise Materialien,840,1000,7,11,0,100,1200,118,260,0,0,0,167,119,0,3100,3,5,0,0,0,False,False
119,EX: Mondtor-Station-Ersatzausstattung,840,1000,8,11,0,100,1200,119,261,0,0,0,168,120,0,3100,3,5,2,0,0,False,False
120,EX: Arbeitsbeleuchtung-Sicherstellung,2800,3000,9,11,0,100,1200,120,262,0,0,0,169,121,0,3100,3,5,1,13,0,False,False
121,EX+: Erhöhung der Materialbelastung,560,880,10,11,0,100,420,121,263,0,0,0,170,122,0,3000,0,6,0,13,0,False,False
122,EX+: Erhöhung der Material-Schockresistenz,560,880,11,11,0,100,330,122,264,0,0,0,171,123,0,3000,0,6,0,14,0,False,False
123,Station-Möbelstücke I,2300,3000,12,11,0,100,1200,123,265,0,0,0,172,124,0,3200,3,4,0,0,0,False,False
124,EX: Station-Möbelstücke II,2500,3000,12,11,0,100,1200,124,266,0,0,123,173,125,0,3100,3,5,0,0,0,False,False
125,Verfeinerungsmaterialien I,1000,1600,13,11,0,100,1200,125,267,0,0,0,174,126,0,3200,0,4,0,0,0,False,False
126,EX: Verfeinerungsmaterialien II,1000,1600,13,11,0,100,1200,126,268,0,0,125,175,127,0,3100,0,5,0,0,0,False,False
127,EX+: Probenspeicher,1000,1600,13,11,0,100,300,127,269,0,0,126,176,128,0,3000,0,6,0,0,0,False,False
128,EX: Raumschiff-Materialien,850,1000,14,11,0,100,1200,128,270,0,0,0,177,129,0,3100,3,5,0,0,0,False,False
129,EX+: Raumschiff-Materialien-Veredelung,900,1000,14,11,0,100,240,129,271,0,0,128,178,130,0,3000,3,6,2,0,0,False,False
130,Hochfunktionsdrohnen-Materialien I,2300,3000,15,11,0,100,1200,130,272,0,0,0,179,131,0,3200,3,4,0,5,0,False,False
131,EX: Hochfunktionsdrohnen-Materialien II,2500,3000,15,11,0,100,1200,131,273,0,0,130,180,132,0,3100,3,5,1,0,0,False,False
132,EX+: Hochfunktionsdrohnen,2700,3000,15,11,0,100,270,132,274,0,0,131,181,133,0,3000,3,6,2,0,0,False,False
133,EX+: Spezialausrüstungs-Materialien I,980,1080,16,11,0,100,600,133,275,0,0,0,182,134,0,3000,3,6,1,11,0,False,False
134,EX+: Spezialausrüstungs-Materialien II,980,1080,16,11,0,100,600,134,276,0,0,133,183,135,0,3000,3,6,1,0,0,False,False
135,EX+: Spezialausrüstung (Feinschliff),1000,1080,16,11,0,100,420,135,277,0,0,134,184,136,0,3000,0,6,1,0,0,False,False
136, Projektplatten,1200,2400,1,12,0,100,0,136,278,0,0,0,185,137,0,0,0,1,0,0,1,False,False
137, Ersatzteile (Raumschiff),1200,2400,14,12,0,100,0,137,279,0,0,0,186,138,0,0,0,1,0,0,1,False,False
138, Legierungsinspektion,1200,2400,2,12,0,100,0,138,280,0,0,0,187,139,0,0,0,1,0,0,1,False,False
139, Anpassungsteile (Klasse I),1200,2400,15,12,0,100,0,139,281,0,0,0,188,140,0,0,0,1,0,0,1,False,False
140, Metallteile,1200,2400,3,12,0,100,0,140,282,0,0,0,189,141,0,0,0,1,0,0,1,False,False
141, Bedarfsartikel-Massenproduktion,1200,2400,3,12,0,100,0,141,283,0,0,0,190,142,0,0,0,1,0,0,1,False,False
142, Dicke Projektplatten,1200,2400,1,12,0,100,0,142,284,0,0,0,191,143,0,0,0,2,0,0,1,False,False
143, Triebachsen (Raumschiff),1200,2400,14,12,0,100,0,143,285,0,0,0,192,144,0,0,0,2,0,0,1,False,False
144, Arbeiter-Schleifwerkzeug,1300,3000,4,12,0,100,0,144,286,0,0,0,193,145,0,0,3,2,0,0,1,False,False
145, Ketten,700,1500,3,12,0,100,0,145,287,0,0,0,194,146,0,0,3,2,0,0,1,False,False
146, Augenschutz-Ausrüstung,1100,2500,4,12,0,100,0,146,288,0,0,0,195,147,0,0,3,2,0,0,1,False,False
147, Anpassungsteile (Klasse II),1200,2250,15,12,0,100,0,147,289,0,0,0,196,148,0,0,3,2,0,0,1,False,False
148, Abwärmevorrichtungen,700,1500,9,12,0,100,0,148,290,0,0,0,197,149,0,0,3,2,0,0,1,False,False
149, Einzelteile (Vehikel),1600,2400,3,12,0,100,0,149,291,0,0,0,198,150,0,0,0,3,0,0,1,False,False
150, Dünne Projektplatten,1600,2400,1,12,0,100,0,150,292,0,0,0,199,151,0,0,0,3,0,0,1,False,False
151, Arbeiter-Nähwerkzeug,1700,2000,4,12,0,100,0,151,293,0,0,0,200,152,0,0,3,3,0,0,1,False,False
152, Observations-Einrichtung,2700,3000,6,12,0,100,0,152,294,0,0,0,201,153,0,0,3,3,0,0,1,False,False
153, Innenfeuerstelle,1600,2400,9,12,0,100,0,153,295,0,0,0,202,154,0,0,0,3,0,0,1,False,False
154, Habitationsmodul-Schminkspiegel,2700,3000,12,12,0,100,0,154,296,0,0,0,203,155,0,0,3,3,0,0,1,False,False
155, Veredlung von Mondwerkzeugen,1000,1300,4,12,0,100,0,155,297,0,0,0,204,156,0,0,0,3,0,0,1,False,False
156, Veredlung von Mondgüterbauteilen,1000,1300,7,12,0,100,0,156,298,0,0,0,205,157,0,0,0,3,0,0,1,False,False
157,Stationsstruktur-Projektplatten,1800,2400,1,12,0,100,1200,157,299,0,0,0,206,158,0,4200,0,4,0,0,0,False,False
158,Seltene Materialien,2300,3000,2,12,0,100,1200,158,300,0,0,0,207,159,0,4200,3,4,0,0,0,False,False
159,Einrichtungsbauartikel,700,1000,3,12,0,100,0,159,301,0,0,0,208,160,0,4200,3,4,0,0,0,False,False
160,Präzise Messer,700,1000,4,12,0,100,1200,160,302,0,0,0,209,161,0,4200,3,4,0,0,0,False,False
161,Meteoreisenveredelungs-Inspektion,2600,3000,5,12,0,100,1200,161,303,0,0,0,210,162,0,4200,3,4,0,0,0,False,False
162,EX: Badeeinrichtungs-Nachbau,2500,3000,6,12,0,100,1200,162,304,0,0,0,211,163,0,4100,3,5,0,0,0,False,False
163,EX: Präzise Materialien,840,1000,7,12,0,100,1200,163,305,0,0,0,212,164,0,4100,3,5,0,0,0,False,False
164,EX: Mondtor-Station-Ersatzausstattung,840,1000,8,12,0,100,1200,164,306,0,0,0,213,165,0,4100,3,5,2,0,0,False,False
165,EX: Arbeitsunterstützung-Arm,2800,3000,9,12,0,100,1200,165,307,0,0,0,214,166,0,4100,3,5,1,14,0,False,False
166,EX+: Erhöhung der Materialbelastung,560,880,10,12,0,100,420,166,308,0,0,0,215,167,0,4000,0,6,0,13,0,False,False
167,EX+: Erhöhung der Material-Schockresistenz,560,880,11,12,0,100,330,167,309,0,0,0,216,168,0,4000,0,6,0,14,0,False,False
168,Station-Möbelstücke I,2300,3000,12,12,0,100,1200,168,310,0,0,0,217,169,0,4200,3,4,0,0,0,False,False
169,EX: Station-Möbelstücke II,2500,3000,12,12,0,100,1200,169,311,0,0,168,218,170,0,4100,3,5,0,0,0,False,False
170,Verfeinerungsmaterialien I,1000,1600,13,12,0,100,1200,170,312,0,0,0,219,171,0,4200,0,4,0,0,0,False,False
171,EX: Verfeinerungsmaterialien II,1000,1600,13,12,0,100,1200,171,313,0,0,170,220,172,0,4100,0,5,0,0,0,False,False
172,EX+: Automaten,1000,1600,13,12,0,100,300,172,314,0,0,171,221,173,0,4000,0,6,0,0,0,False,False
173,EX: Raumschiff-Materialien,850,1000,14,12,0,100,1200,173,315,0,0,0,222,174,0,4100,3,5,0,0,0,False,False
174,EX+: Raumschiff-Materialien-Veredelung,900,1000,14,12,0,100,240,174,316,0,0,173,223,175,0,4000,3,6,2,0,0,False,False
175,Hochfunktionsdrohnen-Materialien I,2300,3000,15,12,0,100,1200,175,317,0,0,0,224,176,0,4200,3,4,0,7,0,False,False
176,EX: Hochfunktionsdrohnen-Materialien II,2500,3000,15,12,0,100,1200,176,318,0,0,175,225,177,0,4100,3,5,1,0,0,False,False
177,EX+: Hochfunktionsdrohnen,2700,3000,15,12,0,100,270,177,319,0,0,176,226,178,0,4000,3,6,2,0,0,False,False
178,EX+: Spezialausrüstungs-Materialien I,980,1080,16,12,0,100,600,178,320,0,0,0,227,179,0,4000,3,6,1,1,0,False,False
179,EX+: Spezialausrüstungs-Materialien II,980,1080,16,12,0,100,600,179,321,0,0,178,228,180,0,4000,3,6,1,0,0,False,False
180,EX+: Spezialausrüstung (Feinschliff),1000,1080,16,12,0,100,420,180,322,0,0,179,229,181,0,4000,0,6,1,0,0,False,False
181, Lederriemen,1200,2400,17,13,0,100,0,181,323,0,0,0,230,182,0,0,0,1,0,0,1,False,False
182, Notfall-Ledertücher,1200,2400,20,13,0,100,0,182,324,0,0,0,231,183,0,0,0,1,0,0,1,False,False
183, Sammler-Handschutz,1200,2400,22,13,0,100,0,183,325,0,0,0,232,184,0,0,0,1,0,0,1,False,False
184, Forschungsmaterialien,1200,2400,29,13,0,100,0,184,326,0,0,0,233,185,0,0,0,1,0,0,1,False,False
185, Arbeiter-Beutel,1200,2400,20,13,0,100,0,185,327,0,0,0,234,186,0,0,0,1,0,0,1,False,False
186, Leder-Hausschuhe,1200,2400,19,13,0,100,0,186,328,0,0,0,235,187,0,0,0,1,0,0,1,False,False
187, Hitzebeständige Lederriemen,1200,2400,17,13,0,100,0,187,329,0,0,0,236,188,0,0,0,2,0,0,1,False,False
188, Große Arbeiter-Taschen,1200,2400,20,13,0,100,0,188,330,0,0,0,237,189,0,0,0,2,0,0,1,False,False
189, Arbeiter-Gürtel,1300,3000,26,13,0,100,0,189,331,0,0,0,238,190,0,0,3,2,0,0,1,False,False
190, Hochwertiges Papier,700,1500,18,13,0,100,0,190,332,0,0,0,239,191,0,0,3,2,0,0,1,False,False
191, Schafs-Unterlagen,1100,2500,19,13,0,100,0,191,333,0,0,0,240,192,0,0,3,2,0,0,1,False,False
192, Kosmozapper-Rohmaterialien,1200,2250,28,13,0,100,0,192,334,0,0,0,241,193,0,0,3,2,0,0,1,False,False
193, Prototyp-Jacken,700,1500,22,13,0,100,0,193,335,0,0,0,242,194,0,0,3,2,0,0,1,False,False
194, Notfall-Lederbeutel,1600,2400,20,13,0,100,0,194,336,0,0,0,243,195,0,0,0,3,0,0,1,False,False
195, Antibakterielle Lederriemen,1600,2400,17,13,0,100,0,195,337,0,0,0,244,196,0,0,0,3,0,0,1,False,False
196, Hochwertige Unterlage,1700,2000,19,13,0,100,0,196,338,0,0,0,245,197,0,0,3,3,0,0,1,False,False
197, Transport-Leder,2700,3000,31,13,0,100,0,197,339,0,0,0,246,198,0,0,3,3,0,0,1,False,False
198, Papier zur Langzeitlagerung,1600,2400,18,13,0,100,0,198,340,0,0,0,247,199,0,0,0,3,0,0,1,False,False
199, Hochwertiger Pausen-Stuhl,2700,3000,30,13,0,100,0,199,341,0,0,0,248,200,0,0,3,3,0,0,1,False,False
200, Experimentelle Handschuhe,1000,1300,22,13,0,100,0,200,342,0,0,0,249,201,0,0,0,3,0,0,1,False,False
201, Hochwertiger Pausen-Sessel,1000,1300,24,13,0,100,0,201,343,0,0,0,250,202,0,0,0,3,0,0,1,False,False
202,Hochbelastbare Lederriemen,1800,2400,17,13,0,100,1200,202,344,0,0,0,251,203,0,5200,0,4,0,0,0,False,False
203,Premium-Papier,2300,3000,18,13,0,100,1200,203,345,0,0,0,252,204,0,5200,3,4,0,0,0,False,False
204,Forschungs-Pflanzenteppiche,700,1000,19,13,0,100,0,204,346,0,0,0,253,205,0,5200,3,4,0,0,0,False,False
205,Wärmespeichernde Ledertücher,700,1000,20,13,0,100,1200,205,347,0,0,0,254,206,0,5200,3,4,0,0,0,False,False
