#,SourceMap,Level,TargetMap,Unknown0,Unknown1
26.3,783,9387018,782,255,False
26.4,784,9392036,782,255,False
26.5,786,9387184,784,255,False
26.6,790,9422761,786,255,False
27.0,695,9318209,788,255,True
27.1,788,1079,0,255,False
27.2,834,9830192,788,255,False
28.0,695,9318209,788,255,True
28.1,788,9827343,834,255,False
28.2,834,1158,0,255,False
29.0,695,9318209,788,255,True
29.1,788,9827342,837,255,False
29.2,837,1147,0,255,False
30.0,695,9318209,788,255,True
30.1,788,9827343,0,2,False
30.2,834,9830191,0,3,False
30.3,834,1149,0,255,False
31.0,695,9318209,788,255,True
31.1,788,9827343,834,255,False
31.2,834,10070739,839,255,False
31.3,839,1151,0,255,False
32.0,695,9318209,788,255,True
32.1,788,9827343,834,255,False
32.2,834,10070739,835,255,False
32.3,835,1153,0,255,False
33.0,24,9168823,103,255,True
33.1,103,1053,0,255,False
34.0,24,4374400,103,255,True
34.1,103,1044,0,255,False
35.0,699,9020329,718,255,True
35.1,718,986,0,255,False
36.0,696,8951468,740,255,True
36.1,740,970,0,255,False
37.0,696,8945944,703,255,True
37.1,703,952,0,255,False
38.0,700,8962246,715,255,True
38.1,715,974,0,255,False
39.0,698,9016593,708,255,True
39.1,708,976,0,255,False
40.0,696,9160008,754,255,True
40.1,754,1050,0,255,False
41.0,697,9553503,824,255,True
41.1,824,1097,0,255,False
42.0,492,7945917,496,255,True
42.1,496,818,0,255,False
42.2,595,9930420,496,255,False
43.0,24,9168823,103,255,True
43.1,103,9168841,764,255,False
43.2,764,1048,0,255,False
44.0,24,9168823,764,255,True
44.1,764,1053,0,255,False
45.0,25,4498853,136,255,True
45.1,136,351,0,255,False
45.2,619,8373587,136,255,False
46.0,497,8049587,547,255,True
46.1,547,8370933,136,255,False
46.2,136,351,0,255,False
47.0,25,4498853,136,255,True
47.1,136,8373582,619,255,False
47.2,619,351,0,255,False
48.0,699,8961297,0,1,True
48.1,678,8962534,0,2,False
48.2,678,997,0,255,False
49.0,213,5822037,253,255,True
49.1,253,463,0,255,False
50.0,218,5820725,744,255,True
50.1,744,1001,0,255,False
51.0,693,8929654,742,255,True
51.1,742,987,0,255,False
52.0,2,9906629,136,255,True
52.1,136,351,0,255,False
53.0,699,9906640,136,255,True
53.1,746,9961485,136,255,False
53.2,136,351,0,255,False
54.0,492,8143257,575,255,True
54.1,575,895,0,255,False
54.2,614,8380783,575,255,False
54.3,578,8144723,575,255,False
54.4,580,8149913,578,255,False
54.5,581,8197241,580,255,False
55.0,492,8143257,575,255,True
55.1,575,8378557,614,255,False
55.2,614,895,0,255,False
55.3,578,8144723,575,255,False
55.4,580,8149913,578,255,False
55.5,581,8197241,580,255,False
56.0,492,8143257,575,255,True
56.1,575,8143275,578,255,False
56.2,614,8380783,575,255,False
56.3,578,896,0,255,False
56.4,580,8149913,578,255,False
56.5,581,8197241,580,255,False
57.0,492,8143257,575,255,True
57.1,575,8143275,578,255,False
57.2,614,8380783,575,255,False
57.3,578,8149911,580,255,False
57.4,580,896,0,255,False
57.5,581,8197241,580,255,False
58.0,492,8143257,575,255,True
58.1,575,8143275,578,255,False
58.2,614,8380783,575,255,False
58.3,578,8149911,580,255,False
58.4,580,8197240,581,255,False
58.5,581,896,0,255,False
59.0,492,8380445,623,255,True
59.1,623,928,0,255,False
59.2,624,8406264,623,255,False
59.3,626,8499222,623,255,False
60.0,492,8380445,623,255,True
60.1,623,8461296,624,255,False
60.2,624,928,0,255,False
60.3,626,8499222,623,255,False
61.0,492,8380445,623,255,True
61.1,623,8461296,624,255,False
61.2,624,8461387,626,255,False
61.3,626,928,0,255,False
62.0,492,8143257,575,255,True
62.1,575,8143263,572,255,False
62.2,572,882,0,255,False
63.0,25,7928696,545,255,True
63.1,545,7928422,491,255,False
63.2,491,877,0,255,False
64.0,697,8951690,727,255,True
64.1,727,969,0,255,False
65.0,493,7932474,565,255,True
65.1,565,878,0,255,False
65.2,564,7932475,565,255,False
66.0,493,7932474,565,255,True
66.1,565,7945837,564,255,False
66.2,564,857,0,255,False
67.0,493,7932474,565,255,True
67.1,565,7932058,564,255,False
67.2,564,857,0,255,False
68.0,493,7932474,565,255,True
68.1,565,7931716,559,255,False
68.2,559,849,0,255,False
69.0,493,7932474,565,255,True
69.1,565,7945837,564,255,False
69.2,564,7932712,560,255,False
69.3,560,850,0,255,False
70.0,493,7932474,565,255,True
70.1,565,7945837,564,255,False
70.2,564,7932712,561,255,False
70.3,561,851,0,255,False
71.0,493,7932474,565,255,True
71.1,565,7945837,564,255,False
71.2,564,7932712,562,255,False
71.3,562,852,0,255,False
72.0,493,7932474,565,255,True
72.1,565,7945837,564,255,False
72.2,564,7932712,589,255,False
72.3,589,902,0,255,False
73.0,493,7932474,565,255,True
73.1,565,7945837,564,255,False
73.2,564,7932712,590,255,False
73.3,590,903,0,255,False
74.0,493,7932474,565,255,True
74.1,565,7945837,564,255,False
74.2,564,7932712,591,255,False
74.3,591,904,0,255,False
75.0,493,7932474,565,255,True
75.1,565,7945837,564,255,False
75.2,564,7932712,599,255,False
75.3,599,905,0,255,False
76.0,493,7932474,565,255,True
76.1,565,7945837,564,255,False
76.2,564,7932712,631,255,False
76.3,631,942,0,255,False
77.0,493,7932474,565,255,True
77.1,565,7945837,637,255,False
77.2,637,943,0,255,False
78.0,493,7932474,565,255,True
78.1,565,7945837,564,255,False
78.2,564,7932712,656,255,False
78.3,656,944,0,255,False
79.0,493,7932474,565,255,True
79.1,565,7945837,564,255,False
79.2,564,7932712,636,255,False
79.3,636,945,0,255,False
80.0,697,9024249,747,255,True
80.1,747,1024,0,255,False
81.0,369,8367460,617,255,True
81.1,617,919,0,255,False
81.2,671,8657891,617,255,False
82.0,369,8367460,617,255,True
82.1,617,9803509,671,255,False
82.2,671,991,0,255,False
83.0,25,7928696,545,255,True
83.1,545,842,0,255,False
84.0,697,9024250,747,255,True
84.1,747,1024,0,255,False
85.0,697,9024250,747,255,True
85.1,747,9021091,698,255,False
85.2,698,959,0,255,False
86.0,497,8049587,547,255,True
86.1,547,844,0,255,False
87.0,497,7788932,547,255,True
87.1,547,844,0,255,False
88.0,497,8370829,547,255,True
88.1,547,844,0,255,False
89.0,492,8378882,611,255,True
89.1,611,917,0,255,False
90.0,492,8380445,623,255,True
90.1,663,966,0,255,False
90.2,623,8759645,663,255,False
90.3,624,8406264,623,255,False
90.4,626,8499222,623,255,False
91.0,698,9021114,747,255,True
91.1,747,1024,0,255,False
92.0,497,8049587,547,255,True
92.1,547,8960040,749,255,False
92.2,749,1031,0,255,False
93.0,497,8049587,547,255,True
93.1,547,9021138,700,255,False
93.2,700,961,0,255,False
94.0,492,8260765,595,255,True
94.1,595,918,0,255,False
95.0,492,8370955,595,255,True
95.1,595,918,0,255,False
96.0,369,7722044,518,255,True
96.1,518,7738716,583,255,False
96.2,583,897,0,255,False
97.0,20,8537278,638,255,True
97.1,638,934,0,255,False
98.0,369,8657917,671,255,True
98.1,617,8657702,671,255,False
98.2,671,8730240,670,255,False
98.3,670,950,0,255,False
99.0,20,8537279,657,255,True
99.1,657,967,0,255,False
100.0,369,8657917,671,255,True
100.1,617,8657702,671,255,False
100.2,671,991,0,255,False
101.0,492,8260764,595,255,True
101.1,595,898,0,255,False
102.0,369,7722044,518,255,True
102.1,518,829,0,255,False
103.0,369,8510943,617,255,True
103.1,617,919,0,255,False
104.0,369,8510943,617,255,True
104.1,518,8466018,617,255,False
104.2,617,919,0,255,False
105.0,497,8049587,749,255,True
105.1,749,1031,0,255,False
106.0,700,8962251,547,255,True
106.1,547,844,0,255,False
107.0,25,9164090,766,255,True
107.1,766,9172237,757,255,False
107.2,757,1054,0,255,False
108.0,25,9164090,766,255,True
108.1,766,9551164,814,255,False
108.2,814,1118,0,255,False
109.0,491,7929698,544,255,True
109.1,544,837,0,255,False
110.0,494,7929754,529,255,True
110.1,529,821,0,255,False
111.0,495,7928698,511,255,True
111.1,511,823,0,255,False
112.0,497,8035289,531,255,True
112.1,531,840,0,255,False
113.0,496,8010618,539,255,True
113.1,539,841,0,255,False
114.0,493,7980323,542,255,True
114.1,542,836,0,255,False
115.0,492,7952706,537,255,True
115.1,537,822,0,255,False
116.0,496,7952767,533,255,True
116.1,533,838,0,255,False
117.0,491,8132066,567,255,True
117.1,567,884,0,255,False
118.0,555,8371144,594,255,True
118.1,594,916,0,255,False
119.0,213,8538323,627,255,True
119.1,627,933,0,255,False
120.0,70,8680737,667,255,True
120.1,667,938,0,255,False
121.0,696,8866699,825,255,True
121.1,825,9618770,823,255,False
121.2,823,1095,0,255,False
122.0,494,7935424,556,255,True
122.1,556,845,0,255,False
123.0,492,7936242,552,255,True
123.1,552,7955846,557,255,False
123.2,557,846,0,255,False
124.0,492,7936242,552,255,True
124.1,552,880,0,255,False
125.0,496,7952764,0,1,True
125.1,558,7955914,0,2,False
125.2,558,847,0,255,False
126.0,369,8367460,617,255,True
126.1,617,919,0,255,False
127.0,369,7722044,518,255,True
127.1,518,7739239,218,255,False
127.2,218,418,0,255,False
128.0,369,7722044,517,255,True
128.1,518,7741493,517,255,False
128.2,517,829,0,255,False
129.0,369,7739195,518,255,True
129.1,518,829,0,255,False
130.0,492,7936242,557,255,True
130.1,557,880,0,255,False
131.0,496,7952764,558,255,True
131.1,558,881,0,255,False
132.0,496,7952764,558,255,True
132.1,558,9943125,547,255,False
132.2,547,844,0,255,False
133.0,12,4054953,75,255,True
133.1,75,198,0,255,False
134.0,3,3854439,69,255,True
134.1,69,205,0,255,False
135.0,369,7074874,417,255,True
135.1,417,737,0,255,False
136.0,370,6843417,377,255,True
136.1,377,639,0,255,False
137.0,370,6874049,377,255,True
137.1,377,639,0,255,False
138.0,497,8370818,612,255,True
138.1,612,931,0,255,False
139.0,497,8370818,0,1,True
139.1,612,8386694,0,2,False
139.2,612,922,0,255,False
140.0,695,8957163,677,255,True
140.1,677,1030,0,255,False
141.0,695,8957163,0,1,True
141.1,677,8994535,0,2,False
141.2,677,995,0,255,False
142.0,695,8957150,721,255,True
142.1,721,978,0,255,False
143.0,699,9064209,751,255,True
143.1,751,1027,0,255,False
144.0,699,8961296,738,255,True
144.1,738,973,0,255,False
145.0,699,8961298,746,255,True
145.1,746,1026,0,255,False
146.0,699,8961297,678,255,True
146.1,678,1029,0,255,False
147.0,494,8141641,576,255,True
147.1,576,889,0,255,False
148.0,494,8141641,0,2,True
148.1,576,8141934,0,2,False
148.2,576,890,0,255,False
149.0,494,8141648,0,2,True
149.1,576,8141953,0,2,False
149.2,576,891,0,255,False
150.0,494,8141649,582,255,True
150.1,582,892,0,255,False
151.0,494,8141641,582,255,True
151.1,582,892,0,255,False
152.0,25,7928696,545,255,True
152.1,545,7928422,491,255,False
152.2,491,7931881,497,255,False
152.3,497,819,0,255,False
153.0,494,8141647,576,255,True
153.1,576,890,0,255,False
154.0,25,7928696,545,255,True
154.1,545,7928422,491,255,False
154.2,491,9964285,497,255,False
154.3,497,819,0,255,False
155.0,25,7928696,545,255,True
155.1,545,7928416,491,255,False
155.2,491,877,0,255,False
156.0,698,8952008,0,1,True
156.1,676,8981081,0,2,False
156.2,676,992,0,255,False
157.0,696,9406061,785,255,True
157.1,785,9387140,782,255,False
157.2,782,9392033,784,255,False
157.3,783,9387004,784,255,False
157.4,784,9386973,786,255,False
157.5,786,9331459,790,255,False
157.6,790,9331574,802,255,False
157.7,802,1071,0,255,False
158.0,497,8049587,547,255,True
158.1,547,8960040,749,255,False
158.2,749,8981096,700,255,False
158.3,700,961,0,255,False
159.0,354,7182490,463,255,True
159.1,463,8276299,603,255,False
159.2,603,915,0,255,False
160.0,354,7182490,463,255,True
160.1,463,8276299,603,255,False
160.2,603,8560949,655,255,False
160.3,655,964,0,255,False
161.0,354,7182490,463,255,True
161.1,463,8276299,603,255,False
161.2,603,8368386,643,255,False
161.3,655,8560862,643,255,False
161.4,643,936,0,255,False
162.0,354,7182490,463,255,True
162.1,463,8276299,603,255,False
162.2,603,8368386,606,255,False
162.3,606,920,0,255,False
163.0,354,7182490,463,255,True
163.1,463,8276299,603,255,False
163.2,603,8368386,665,255,False
163.3,665,975,0,255,False
164.0,354,7182490,463,255,True
164.1,463,8276299,603,255,False
164.2,603,8368386,606,255,False
164.3,606,10052418,616,255,False
164.4,616,920,0,255,False
165.0,215,6256552,305,255,True
165.1,305,567,0,255,False
165.2,306,6258636,305,255,False
166.0,215,6256552,305,255,True
166.1,305,6255547,306,255,False
166.2,306,568,0,255,False
167.0,215,6147433,272,255,True
167.1,272,508,0,255,False
168.0,215,6256552,305,255,True
168.1,305,6265604,303,255,False
168.2,303,556,0,255,False
168.3,306,6258636,305,255,False
169.0,215,6256552,305,255,True
169.1,305,6265604,345,255,False
169.2,345,627,0,255,False
169.3,306,6258636,305,255,False
170.0,354,7182490,463,255,True
170.1,463,8276299,603,255,False
170.2,603,8368386,665,255,False
170.3,665,10075422,675,255,False
170.4,675,975,0,255,False
171.0,14,8777001,741,255,True
171.1,741,971,0,255,False
172.0,211,9994251,741,255,True
172.1,741,971,0,255,False
173.0,493,7932474,565,255,True
173.1,565,8407560,564,255,False
173.2,564,857,0,255,False
174.0,694,9332113,840,255,True
174.1,840,1161,0,255,False
175.0,693,9837804,833,255,True
175.1,833,1126,0,255,False
176.0,698,9879481,842,255,True
176.1,842,1162,0,255,False
177.0,697,9899261,841,255,True
177.1,841,1160,0,255,False
178.0,12,6844573,376,255,True
178.1,376,6957931,359,255,False
178.2,359,1142,0,255,False
179.0,372,6864823,375,255,True
179.1,375,1143,0,255,False
180.0,354,6851132,396,255,True
180.1,396,1144,0,255,False
181.0,368,6865505,397,255,True
181.1,397,1145,0,255,False
182.0,369,6998816,374,255,True
182.1,374,1146,0,255,False
183.0,698,9879481,842,255,True
183.1,842,9906321,0,2,False
183.2,830,9906958,0,3,False
183.3,830,1140,0,255,False
184.0,698,959,0,255,True
184.1,830,10034925,698,255,False
184.2,842,9906321,698,255,False
185.0,700,8953655,748,255,True
185.1,748,8980338,709,255,False
185.2,709,1002,0,255,False
186.0,700,8953655,748,255,True
186.1,748,8980390,730,255,False
186.2,730,1004,0,255,False
187.0,700,8953655,748,255,True
187.1,748,8980390,722,255,False
187.2,722,1006,0,255,False
188.0,700,8953655,748,255,True
188.1,748,8980390,731,255,False
188.2,731,1008,0,255,False
189.0,700,8953655,748,255,True
189.1,748,8980390,807,255,False
189.2,807,1081,0,255,False
190.0,700,8953655,748,255,True
190.1,748,8980390,771,255,False
190.2,771,1083,0,255,False
191.0,700,8953655,748,255,True
191.1,748,8980390,792,255,False
191.2,792,1085,0,255,False
192.0,700,8953655,748,255,True
192.1,748,8980390,808,255,False
192.2,808,1087,0,255,False
193.0,369,6998817,383,255,True
193.1,383,727,0,255,False
194.0,369,6998817,383,255,True
194.1,383,6954770,406,255,False
194.2,406,679,0,255,False
195.0,20,4148333,80,255,True
195.1,80,212,0,255,False
196.0,12,5013509,548,255,True
196.1,548,129,0,255,False
197.0,17,5327234,549,255,True
197.1,549,137,0,255,False
198.0,219,5583544,220,255,True
198.1,220,427,0,255,False
199.0,219,6211095,220,255,True
199.1,220,427,0,255,False
200.0,53,5036028,179,255,True
200.1,179,395,0,255,False
201.0,53,5419594,179,255,True
201.1,179,395,0,255,False
202.0,218,5820725,221,255,True
202.1,221,428,0,255,False
203.0,53,4636414,0,1,True
203.1,53,368,0,255,False
204.0,22,4374426,46,255,True
204.1,46,369,0,255,False
205.0,6,4374468,85,255,True
205.1,85,167,0,255,False
206.0,23,4374410,401,255,True
206.1,401,292,0,255,False
207.0,30,4374449,403,255,True
207.1,403,293,0,255,False
208.0,53,4374466,39,255,True
208.1,39,294,0,255,False
209.0,25,4298768,0,1,True
209.1,25,335,0,255,False
210.0,354,7343497,479,255,True
210.1,479,786,0,255,False
211.0,354,6874235,378,255,True
211.1,378,681,0,255,False
212.0,73,4094111,78,255,True
212.1,78,210,0,255,False
213.0,369,7074683,419,255,True
213.1,419,738,0,255,False
214.0,212,5856632,226,255,True
214.1,226,462,0,255,False
215.0,212,5857218,226,255,True
215.1,226,462,0,255,False
216.0,2,3861082,68,255,True
216.1,68,204,0,255,False
217.0,53,5036032,174,255,True
217.1,174,1062,0,255,False
218.0,53,5036032,173,255,True
218.1,173,377,0,255,False
219.0,53,5036032,173,255,True
219.1,173,378,0,255,False
220.0,22,4154838,93,255,True
220.1,93,146,0,255,False
221.0,22,4154838,93,255,True
221.1,93,4374408,35,255,False
221.2,35,1045,0,255,False
222.0,370,7075586,420,255,True
222.1,420,735,0,255,False
222.2,421,7077714,420,255,False
223.0,370,7075586,420,255,True
223.1,420,7077633,421,255,False
223.2,421,736,0,255,False
223.3,483,7447313,421,255,False
224.0,370,7075586,420,255,True
224.1,420,7077633,421,255,False
224.2,421,7460235,483,255,False
224.3,483,787,0,255,False
225.0,370,7075586,420,255,True
225.1,420,7077633,421,255,False
225.2,421,7078948,424,255,False
225.3,424,734,0,255,False
226.0,370,7075586,420,255,True
226.1,420,7077633,421,255,False
226.2,421,7078948,473,255,False
226.3,473,776,0,255,False
227.0,370,7075586,420,255,True
227.1,420,7077633,421,255,False
227.2,421,7078948,519,255,False
227.3,519,826,0,255,False
228.0,219,5583546,222,255,True
228.1,222,433,0,255,False
229.0,216,5963443,261,255,True
229.1,261,507,0,255,False
230.0,216,10234299,261,255,True
230.1,261,5941509,236,255,False
230.2,236,437,0,255,False
231.0,216,10145852,222,255,True
231.1,261,10145700,222,255,False
231.2,222,433,0,255,False
232.0,216,5868100,254,255,True
232.1,254,1110,0,255,False
233.0,354,7182490,463,255,True
233.1,463,7226675,461,255,False
233.2,461,744,0,255,False
234.0,354,7182490,463,255,True
234.1,463,7295572,461,255,False
234.2,461,744,0,255,False
235.0,18,4374460,31,255,True
235.1,31,1036,0,255,False
236.0,18,4374460,169,255,True
236.1,169,387,0,255,False
237.0,23,4374417,182,255,True
237.1,182,367,0,255,False
238.0,22,4374426,195,255,True
238.1,195,142,0,255,False
239.0,25,5581972,203,255,True
239.1,203,1063,0,255,False
240.0,6,4374468,191,255,True
240.1,191,189,0,255,False
241.0,19,4374458,188,255,True
241.1,188,188,0,255,False
242.0,6,4374468,210,255,True
242.1,210,396,0,255,False
243.0,6,4374467,9,255,True
243.1,9,1039,0,255,False
244.0,20,4374438,41,255,True
244.1,41,1038,0,255,False
245.0,4,4374469,8,255,True
245.1,8,1037,0,255,False
246.0,4,4374470,54,255,True
246.1,54,1040,0,255,False
247.0,17,4374461,45,255,True
247.1,45,1041,0,255,False
248.0,53,4374465,37,255,True
248.1,37,1042,0,255,False
249.0,53,4374464,86,255,True
249.1,86,1330,0,255,False
250.0,53,4374463,38,255,True
250.1,38,1331,0,255,False
251.0,53,4627181,144,255,True
251.1,144,366,0,255,False
252.0,4,4374469,165,255,True
252.1,165,373,0,255,False
253.0,16,4797571,168,255,True
253.1,168,361,0,255,False
254.0,24,4374399,47,255,True
254.1,47,1043,0,255,False
255.0,25,4498853,136,255,True
255.1,136,5580876,207,255,False
255.2,207,426,0,255,False
256.0,6,5584700,187,255,True
256.1,187,394,0,255,False
257.0,23,4374410,401,255,True
257.1,401,295,0,255,False
258.0,30,4374449,403,255,True
258.1,403,296,0,255,False
259.0,53,4374466,39,255,True
259.1,39,297,0,255,False
260.0,16,4629203,147,255,True
260.1,147,281,0,255,False
261.0,5,4841612,166,255,True
261.1,166,375,0,255,False
262.0,5,4841612,166,255,True
262.1,166,374,0,255,False
263.0,5,4516241,36,255,True
263.1,36,1067,0,255,False
264.0,24,4374400,143,255,True
264.1,143,348,0,255,False
265.0,2,10167982,98,255,True
265.1,98,4374462,39,255,False
265.2,39,1047,0,255,False
266.0,371,7238875,462,255,True
266.1,462,764,0,255,False
267.0,371,7238873,462,255,True
267.1,462,764,0,255,False
268.0,371,7371153,462,255,True
268.1,462,764,0,255,False
269.0,354,6851265,379,255,True
269.1,379,682,0,255,False
270.0,218,5582170,224,255,True
270.1,224,439,0,255,False
271.0,25,6493836,355,255,True
271.1,355,636,0,255,False
272.0,2,6930931,355,255,True
272.1,355,636,0,255,False
273.0,367,7002709,395,255,True
273.1,395,724,0,255,False
274.0,367,7002709,395,255,True
274.1,395,6941518,390,255,False
274.2,390,691,0,255,False
275.0,367,7002709,395,255,True
275.1,395,6941518,391,255,False
275.2,391,692,0,255,False
276.0,367,7002709,395,255,True
276.1,395,6941518,392,255,False
276.2,392,693,0,255,False
277.0,367,7002709,395,255,True
277.1,395,6941518,394,255,False
277.2,394,694,0,255,False
278.0,367,7002709,444,255,True
278.1,444,756,0,255,False
279.0,367,7002709,444,255,True
279.1,444,7236697,446,255,False
279.2,446,748,0,255,False
280.0,367,7002709,444,255,True
280.1,444,7236697,447,255,False
280.2,447,749,0,255,False
281.0,367,7002709,444,255,True
281.1,444,7236697,448,255,False
281.2,448,750,0,255,False
282.0,367,7002709,444,255,True
282.1,444,7236697,449,255,False
282.2,449,751,0,255,False
283.0,698,9932000,842,255,True
283.1,842,1162,0,255,False
284.0,698,10160207,842,255,True
284.1,842,1162,0,255,False
285.0,367,6878928,508,255,True
285.1,508,807,0,255,False
286.0,367,7002709,508,255,True
286.1,508,807,0,255,False
287.0,367,7002709,508,255,True
287.1,508,812,0,255,False
288.0,367,7002709,508,255,True
288.1,508,7630220,485,255,False
288.2,485,798,0,255,False
289.0,367,7002709,508,255,True
289.1,508,7630220,501,255,False
289.2,501,799,0,255,False
290.0,367,7002709,508,255,True
290.1,508,7630255,486,255,False
290.2,486,800,0,255,False
291.0,367,7002709,509,255,True
291.1,509,7630873,502,255,False
291.2,502,801,0,255,False
292.0,367,7002709,509,255,True
292.1,509,808,0,255,False
293.0,12,6844573,376,255,True
293.1,376,680,0,255,False
294.0,12,6844573,376,255,True
294.1,376,6957924,370,255,False
294.2,370,628,0,255,False
295.0,12,6844573,370,255,True
295.1,370,628,0,255,False
296.0,367,6853918,381,255,True
296.1,381,683,0,255,False
297.0,367,6853918,381,255,True
297.1,381,6854480,399,255,False
297.2,399,719,0,255,False
298.0,696,10108673,0,1,True
298.1,838,10136667,0,2,False
298.2,838,1136,0,255,False
299.0,2,7725082,98,255,True
299.1,98,833,0,255,False
300.0,218,8141157,574,255,True
300.1,574,886,0,255,False
301.0,70,4077455,196,255,True
301.1,196,144,0,255,False
301.2,197,5584191,196,255,False
301.3,891,10215753,196,255,False
302.0,70,4077455,196,255,True
302.1,196,5581118,197,255,False
302.2,197,388,0,255,False
302.3,891,10215753,196,255,False
303.0,696,10108673,838,255,True
303.1,838,1183,0,255,False
304.0,2,4265780,98,255,True
304.1,98,331,0,255,False
305.0,19,4374457,33,255,True
305.1,33,1046,0,255,False
306.0,17,4374461,146,255,True
306.1,146,362,0,255,False
307.0,22,4374426,145,255,True
307.1,145,360,0,255,False
308.0,4,4374470,139,255,True
308.1,139,350,0,255,False
309.0,6,4621850,152,255,True
309.1,152,363,0,255,False
310.0,19,4374458,32,255,True
310.1,32,159,0,255,False
311.0,20,4374438,142,255,True
311.1,142,349,0,255,False
312.0,53,4374465,157,255,True
312.1,157,365,0,255,False
313.0,18,4526234,134,255,True
313.1,134,160,0,255,False
314.0,25,4264514,105,255,True
314.1,105,156,0,255,False
315.0,25,4509040,184,255,True
315.1,184,151,0,255,False
316.0,25,4509040,135,255,True
316.1,135,174,0,255,False
317.0,25,4509040,164,255,True
317.1,164,372,0,255,False
318.0,212,5857900,229,255,True
318.1,229,1064,0,255,False
319.0,212,5811168,214,255,True
319.1,214,400,0,255,False
320.0,219,5864780,251,255,True
320.1,251,1066,0,255,False
321.0,213,5860265,241,255,True
321.1,241,1109,0,255,False
322.0,211,5937936,243,255,True
322.1,243,434,0,255,False
323.0,215,5937939,230,255,True
323.1,230,420,0,255,False
324.0,216,5937404,247,255,True
324.1,247,430,0,255,False
325.0,74,6082569,266,255,True
325.1,266,510,0,255,False
326.0,213,6082734,273,255,True
326.1,273,511,0,255,False
327.0,213,5822037,253,255,True
327.1,253,6184381,279,255,False
327.2,279,1111,0,255,False
328.0,371,7238876,439,255,True
328.1,439,742,0,255,False
329.0,354,7350635,466,255,True
329.1,466,768,0,255,False
330.0,354,7240193,450,255,True
330.1,450,746,0,255,False
331.0,371,7238875,462,255,True
331.1,462,7578734,503,255,False
331.2,503,810,0,255,False
332.0,371,7637686,516,255,True
332.1,516,824,0,255,False
333.0,372,6864823,468,255,True
333.1,468,761,0,255,False
334.0,214,6275905,294,255,True
334.1,294,1112,0,255,False
335.0,16,4797571,297,255,True
335.1,297,557,0,255,False
336.0,6,4621850,282,255,True
