#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
40,Mal überlegen. Ich seeehe ... ein paar gigantische Zylinder und jede Menge Rohrleitungen.,"Oh, wenn man durch das kleine Fenster dadrunter schaut, versteckt sich da noch ein dickes Rohr, was zu den Tanks hochführt.","So ein Aufbau ist ganz typisch für Maschinen, die Verunreinigungen aus dem Wasser filtern! Liege ich richtig?",20,61,1
41,"Diesmal weiß ich sofort, was das ist! Hinter dem Rohr läuft nämlich ein Wasserrad, das haben meine Lauscher schon von Weitem gehört!","Wenn Rohr und Rad miteinander verbunden sind, dann wette ich bei allen Glückskarotten auf dem Mond, dass in dem Rohr eine Spirale steckt!","Dann muss das Rad der Antrieb sein, der das Wasser durchs Rohr in die Anlage pumpt!",20,61,1
42,"He, so ein Dings hab ich doch schon mal irgendwo ... Ja, genau, es sieht fast so aus wie die Bäume im schönsten Wald! Dann ist es eine Art Superbaum?!","Daneben ...? Hmmm. Oben kugelrund und breit, nach unten hin wie ein Trichter ...","Jetzt weiß ich's! Bestimmt wird die Kuppel voll Wasser gepumpt, sodass der riesige Druck es von oben in die Leitungen presst! Eine Verteilungsvorrichtung also!",20,61,1
43,Auf dem Gesims hüpft ein Ambystoma auf und ab!,Es hier vorzufinden kann nur eines bedeuten: das Konzept der Ambystomas in Elpis wurde angenommen und die kleinen Kreaturen in die Freiheit entlassen. Bei seinem Anblick spürst du unweigerlich die tiefe Verbindung von Ver­gangen­heit und Gegenwart.,,0,57,7
44,"Örks! Mousse-Glibber?
Ist das dein Ernst? Ich geb auf! Ich geb auf!!",,,21,61,1
45,Du hast den falschen Vogel erwischt.,,,0,57,7
46,"Die prächtige wie beeindruckende Statue vor dir stellt den Schutzgott Sharlayans, Thaliak, dar. Er ist einer der zwölf Götter Eorzeas und gilt als Gott der Flüsse und der Weisheit.",Wir Sharlayaner sind Anhänger der direkten Demokratie. Viele wichtige Entscheidungen werden von unseren direkt gewählten Vertretern in unserem Bürgerparlament getroffen. Und auch die Wahl unserer Schutzgottheit wurde durch einen Volksentscheid bestimmt.,"Sie fiel jedoch nicht aus lauter Frömmigkeit auf Thaliak, sondern es war vielmehr eine logische Entscheidung. Keine Gottheit verkörpert unsere Philosophie, möglichst viel Wissen zu akkumulieren, so sehr, wie Thaliak es tut.  ",23,61,1
47,"Der Legende nach trug Thaliak einen gewaltigen Krug auf seiner Schulter, aus dem er das Wasser der Weisheit über die Welt ergoss.","Die Statue wurde dieser Legende nachempfunden. So wie das Wasser der Weisheit ewig aus seinem Krug in das Meer fließt, so soll auch das Wissen aus Sharlayan in die Welt fließen.","Aber diese Vision zu realisieren, erforderte gewaltige Anstrengungen. In unserer Zentralbibliothek, dem Noumenon, sind noch die Auf­zeich­nun­gen der Steinmetze und Architekten aus jener Zeit verwahrt. Eine spannende Lektüre, kann ich dir versichern!",23,61,1
48,Bei der sechsten Katastrophe brachen un­beschreib­liche Fluten über unsere Welt herein. In der Geschichte Eorzeas sind die zwölf Weisen für ihren heldenhaften Einsatz zur Rettung zahlloser Leben vor diesen Urgewalten weithin bekannt.,"Einer dieser zwölf Helden war der Weise „Nyunkrepf“. Gemeinsam mit jenen, die er gerettet hatte, gründete er unsere Nation - Sharlayan.","Der Küstenabschnitt, auf dem der Sockel der Statue steht, markiert genau die Stelle, an der unsere Vorfahren vor etwa 1600 Jahren das erste Mal Fuß auf diese Insel setzten.",23,61,1
49,,,,0,0,0
50,,,,0,0,0
51,Der Omikron rührt sich nicht von seinem zugewiesenen Standort.,,,0,57,7
52,Der Omikron hält sich neben einem Apparat in Bereitschaft.,,,0,57,7
53,Der Omikron spricht mit Alphinaud. Ansonsten verhält er sich unauffällig.,,,0,57,7
54,"Das ist kein Omikron, sondern ein Ambystoma!",Vielleicht hat es sich an Bord der *Ragnarök* geschlichen? Das Leben im Weltraum scheint ihm zu gefallen.,,0,57,7
55,Der Omikron bewegt sich ohne erkennbares Ziel von hier nach da. Was treibt er?,,,0,57,7
56,"Strenge Züge und ein penibel gestutzter Bart! Auf den ersten Blick ein Mann, der keine Kompromisse eingeht. Aber du weißt ja, welch sensibler Gentleman sich unter der harten Schale verbirgt.","Davon einmal abgesehen stellst du fest, dass Hildibrands Atmung völlig normal zu sein scheint.",,0,57,7
57,"Muskulöse Arme, die Bäume ausreißen könnten. Natürlich tut ein Gentleman wie Hildibrand keiner Fliege was zu Leide.","Selbst wenn er es wollte, denn seine Arme sind kalt und wie zu Stein erstarrt ...",,0,57,7
58,Das elegante Schuhwerk eines wahren Gentlemans. Sicher eine Sonderanfertigung aus dem Hause Manderville. Wie viel die wohl gekostet haben?,,,0,57,7
59,Nashu döst vor sich hin. Wenigstens ein paar Dinge im Leben ändern sich nie ...,,,0,57,7
60,"Parigha sucht etwas im Regal. Erstaunlich, wie geschickt er mit seinen großen Händen ist!",,,0,57,7
61,"Das hat jemand mitgebracht, der angeblich ein UFO gesehen hat. Besser, man ignoriert das.",,,0,57,7
62,Nashu schäkert mit Argos. Was für ein niedlicher Anblick!,,,0,57,7
63,Delion sucht verbissen nach dem UFO und sieht dabei sehr fachmännisch aus.,,,0,57,7
64,"Das hier ... sollen wohl Augen darstellen. Aber nur in eines davon ist ein Edelstein eingelassen, der zweite scheint zu fehlen.",,,25,61,1
65,"Die Tragestange ist ja zerbrochen. So wird man die Sänfte nur schwer hochheben können, und das bei dieser Größe!",,,19,61,1
66,"Die Schwanzfedern sind komplett zerfranst und abgenutzt. Als ich die Sänfte das letzte Mal sah, waren sie viel strahlender und prächtiger!",,,24,61,1
67,"Er muss schlimm schwitzen, so nah, wie er an seiner Schmiede sitzt, und in dieser Werkstatt weht auch kaum ein frisches Lüftchen. Ich könnte hier auch schlecht arbeiten.",,,24,61,1
68,"Das Werkzeug sieht älter aus als ich, meinst du nicht? Er braucht dringend was Neues.",,,24,61,1
69,Er hat ja gar nichts gegessen! Und kalt schmeckt das nun wirklich nicht mehr.,,,24,61,1
70,"Die Waffe wurde von dem Soldaten im Gefecht benutzt. Es scheint sich um eine Art Gewehr zu handeln, jedoch anders als alle dir bekannten.",,,0,57,7
71,Du kannst nirgendwo Augen oder Mund ausmachen. Stattdessen ist dort ein leuchtendes Muster.,,,0,57,7
72,"Was von Weitem wie eine Art Rüstung wirkte, entpuppt sich bei näherer Betrachtung als komplexe Maschinerie.","Das Material, aus der sie gefertigt ist, kommt dir jedoch nicht bekannt vor. Und weder Erdseim noch ein anderer Antriebsstoff scheint benötigt zu werden.",,0,57,7
73,"Jetzt lass doch die Albernheiten ... Nicht ich, sondern der mechanische Soldat erfordert deine Aufmerksamkeit!",,,19,61,1
74,"Die Erdseim-Pumpe verrichtet derzeit planmäßig ihre Arbeit, aber wird vermutlich in ein paar Jahren repariert werden müssen.",,,0,57,7
75,In regelmäßigen Intervallen wird überschüssiges Gas ausgestoßen. Die Anlage funktioniert wie erwartet.,,,0,57,7
76,"Für den Transport des Erdseims werden große Holzfässer verwendet. Diese sind zwar sicher, aber könnten durch ihre Größe und ihr Gewicht Probleme bereiten.",,,0,57,7
77,"Du entdeckst einen am Boden liegenden Soldaten des Himmelsheeres! Sieh am besten schnell nach, ob er Hilfe braucht.",,,0,57,7
78,"Jemand hat hier eine Fußspur hinterlassen. Sie ist groß genug, dass sie vom Soldaten des Himmelsheers oder dem Weltverbesserer stammen könnte ...",,,0,57,7
79,"Diesem Wesen hat jemand den Garaus gemacht. Ist dies etwa die Bedrohung, von welcher der Weltverbesserer gesprochen hatte?",,,0,57,7
80,"Mit so viel Material kann man sich doch ordentlich austoben! Daran dürfte es also nicht liegen, oder?",,,24,61,1
81,"Der Kopf auf der linken Seite steht für die Hoobigo. Der entschlossene Ge­sichts­aus­druck unterstreicht die Stärke des mutigen Kriegers, der ein sonniges, fruchtbares Land für sein Volk beansprucht.",,,26,61,1
82,"Der Kopf auf der rechten Seite steht für die Boonewa. Man spürt förmlich die Weisheit und Ausgeglichenheit, die von ihm ausgeht. Der geborene Beschützer des Waldes! ",,,26,61,1
83,"Jedes Mal, wenn ein Zwillingskopf geboren wird, hängen wir eine neue Flagge auf, um dieses Ereignis zu feiern. Und gleichzeitig hoffen wir, dass bereits ein neuer Zwillingskopf geboren wird, noch bevor sie verwittert.",,,26,61,1
84,"Ach, der Sockel interessiert dich auch? Dort erkennt man, wenn auch etwas abstrakt dargestellt, die Fauna und Flora Mamooks.",,,26,61,1
85,"Das große Haus, meinst du? Dort wird der neue Klansführer wohnen.","Um Klansführer zu werden, muss man übrigens Vater eines Zwillingskopfs sein. Aber das wird sich wohl auch in Zukunft ändern.",,26,61,1
86,Du hast den ertrinkenden Badegast erspäht!,,,0,57,7
87,"Da scheint jemand förmlich eins mit den Wogen zu sein.
Rettung ist hier fehl am Platz.",,,0,57,7
88,"Der Badegast weiß sich an der spritzigen Aussicht zu erfreuen.
Rettung ist hier fehl am Platz.",,,0,57,7
