#,Quest,RequiredQuest,RequiredLevel,RequiredExpansion,Unknown0,Unknown1
9.12,65838,0,50,0,False,False
9.13,67543,65964,50,1,False,False
9.14,67544,0,53,1,False,False
9.15,67545,0,55,1,False,False
9.16,67546,0,58,1,False,False
9.17,67547,0,60,1,False,False
9.18,68129,67895,60,2,False,False
9.19,68152,0,63,2,False,False
9.20,68153,0,65,2,False,False
9.21,68154,0,68,2,False,False
9.22,68155,0,70,2,False,False
9.23,0,0,0,0,False,False
10.0,65722,0,1,0,False,True
10.1,65809,0,1,0,False,False
10.2,65810,0,1,0,False,False
10.3,65811,0,5,0,False,False
10.4,65812,0,10,0,False,False
10.5,65813,0,15,0,False,False
10.6,65814,0,20,0,False,False
10.7,65815,0,25,0,False,False
10.8,65816,0,30,0,False,False
10.9,65817,0,35,0,False,False
10.10,65818,0,40,0,False,False
10.11,65819,0,45,0,False,False
10.12,65820,0,50,0,False,False
10.13,67574,65964,50,1,False,False
10.14,67575,0,53,1,False,False
10.15,67576,0,55,1,False,False
10.16,67577,0,58,1,False,False
10.17,67578,0,60,1,False,False
10.18,68130,67895,60,2,False,False
10.19,68131,0,63,2,False,False
10.20,68132,0,65,2,False,False
10.21,68133,0,68,2,False,False
10.22,68134,0,70,2,False,False
10.23,0,0,0,0,False,False
11.0,65723,0,1,0,False,True
11.1,66144,0,1,0,False,False
11.2,66146,0,1,0,False,False
11.3,66147,0,5,0,False,False
11.4,66149,0,10,0,False,False
11.5,66150,0,15,0,False,False
11.6,66151,0,20,0,False,False
11.7,66152,0,25,0,False,False
11.8,66153,0,30,0,False,False
11.9,66191,0,35,0,False,False
11.10,66192,0,40,0,False,False
11.11,66193,0,45,0,False,False
11.12,66194,0,50,0,False,False
11.13,67606,65964,50,1,False,False
11.14,67607,0,53,1,False,False
11.15,67608,0,55,1,False,False
11.16,67609,0,58,1,False,False
11.17,67610,0,60,1,False,False
11.18,68135,67895,60,2,False,False
11.19,68136,0,63,2,False,False
11.20,68137,0,65,2,False,False
11.21,68138,0,68,2,False,False
11.22,68139,0,70,2,False,False
11.23,0,0,0,0,False,False
12.0,65724,0,1,0,False,True
12.1,65641,0,1,0,False,False
12.2,65745,0,1,0,False,False
12.3,65642,0,5,0,False,False
12.4,65671,0,10,0,False,False
12.5,65672,0,15,0,False,False
12.6,65673,0,20,0,False,False
12.7,65587,0,25,0,False,False
12.8,65597,0,30,0,False,False
12.9,65599,0,35,0,False,False
12.10,65600,0,40,0,False,False
12.11,65601,0,45,0,False,False
12.12,65602,0,50,0,False,False
12.13,67611,65964,50,1,False,False
12.14,67612,0,53,1,False,False
12.15,67613,0,55,1,False,False
12.16,67614,0,58,1,False,False
12.17,67615,0,60,1,False,False
12.18,68145,67895,60,2,False,False
12.19,68146,0,63,2,False,False
12.20,68147,0,65,2,False,False
12.21,68150,0,68,2,False,False
12.22,68151,0,70,2,False,False
12.23,0,0,0,0,False,False
13.0,65725,0,1,0,False,True
13.1,66070,0,1,0,False,False
13.2,66071,0,1,0,False,False
13.3,66123,0,5,0,False,False
13.4,66125,0,10,0,False,False
13.5,66126,0,15,0,False,False
13.6,66127,0,20,0,False,False
13.7,66128,0,25,0,False,False
13.8,66129,0,30,0,False,False
13.9,66187,0,35,0,False,False
13.10,66188,0,40,0,False,False
13.11,66189,0,45,0,False,False
13.12,66190,0,50,0,False,False
13.13,67538,65964,50,1,False,False
13.14,67539,0,53,1,False,False
13.15,67540,0,55,1,False,False
13.16,67541,0,58,1,False,False
13.17,67542,0,60,1,False,False
13.18,67967,67895,60,2,False,False
13.19,67968,0,63,2,False,False
13.20,67969,0,65,2,False,False
13.21,67970,0,68,2,False,False
13.22,67971,0,70,2,False,False
13.23,0,0,0,0,False,False
14.0,65726,0,1,0,False,True
14.1,66111,0,1,0,False,False
14.2,66113,0,1,0,False,False
14.3,66114,0,5,0,False,False
14.4,66116,0,10,0,False,False
14.5,66117,0,15,0,False,False
14.6,66118,0,20,0,False,False
14.7,66119,0,25,0,False,False
14.8,66120,0,30,0,False,False
14.9,66183,0,35,0,False,False
14.10,66184,0,40,0,False,False
14.11,66185,0,45,0,False,False
14.12,66186,0,50,0,False,False
14.13,67601,65964,50,1,False,False
14.14,67602,0,53,1,False,False
14.15,67603,0,55,1,False,False
14.16,67604,0,58,1,False,False
14.17,67605,0,60,1,False,False
14.18,67972,67895,60,2,False,False
14.19,67973,0,63,2,False,False
14.20,67974,0,65,2,False,False
14.21,67975,0,68,2,False,False
14.22,67976,0,70,2,False,False
14.23,0,0,0,0,False,False
15.0,65727,0,1,0,False,True
15.1,65807,0,1,0,False,False
15.2,65790,0,1,0,False,False
15.3,65791,0,5,0,False,False
15.4,65793,0,10,0,False,False
15.5,65794,0,15,0,False,False
15.6,65795,0,20,0,False,False
15.7,65796,0,25,0,False,False
15.8,65802,0,30,0,False,False
15.9,65803,0,35,0,False,False
15.10,65804,0,40,0,False,False
15.11,65805,0,45,0,False,False
15.12,65806,0,50,0,False,False
15.13,67579,65964,50,1,False,False
15.14,67580,0,53,1,False,False
15.15,67581,0,55,1,False,False
15.16,67582,0,58,1,False,False
15.17,67583,0,60,1,False,False
15.18,68140,67895,60,2,False,False
15.19,68141,0,63,2,False,False
15.20,68142,0,65,2,False,False
15.21,68143,0,68,2,False,False
15.22,68144,0,70,2,False,False
15.23,0,0,0,0,False,False
16.0,65728,0,1,0,False,True
16.1,66133,0,1,0,False,False
16.2,66135,0,1,0,False,False
16.3,66136,0,5,0,False,False
16.4,66138,0,10,0,False,False
16.5,66139,0,15,0,False,False
16.6,66140,0,20,0,False,False
16.7,66141,0,25,0,False,False
16.8,66142,0,30,0,False,False
16.9,66179,0,35,0,False,False
16.10,66180,0,40,0,False,False
16.11,66181,0,45,0,False,False
16.12,66182,0,50,0,False,False
16.13,67616,65964,50,1,False,False
16.14,67617,0,53,1,False,False
16.15,67618,0,55,1,False,False
16.16,67619,0,58,1,False,False
16.17,67620,0,60,1,False,False
16.18,68090,67895,60,2,False,False
16.19,68091,0,63,2,False,False
16.20,68092,0,65,2,False,False
16.21,68093,0,68,2,False,False
16.22,68094,0,70,2,False,False
16.23,0,0,0,0,False,False
17.0,65729,0,1,0,False,True
17.1,65539,0,1,0,False,False
17.2,65744,0,1,0,False,False
17.3,65540,0,5,0,False,False
17.4,65541,0,10,0,False,False
17.5,65542,0,15,0,False,False
17.6,65543,0,20,0,False,False
17.7,65544,0,25,0,False,False
17.8,65545,0,30,0,False,False
17.9,65546,0,35,0,False,False
17.10,65547,0,40,0,False,False
17.11,65548,0,45,0,False,False
17.12,65549,0,50,0,False,False
17.13,67584,65964,50,1,False,False
17.14,67585,0,53,1,False,False
17.15,67586,0,55,1,False,False
17.16,67587,0,58,1,False,False
17.17,67588,0,60,1,False,False
17.18,68156,67895,60,2,False,False
17.19,68157,0,63,2,False,False
17.20,68158,0,65,2,False,False
17.21,68159,0,68,2,False,False
17.22,68160,0,70,2,False,False
17.23,0,0,0,0,False,False
18.0,66670,0,1,0,False,True
18.1,66643,0,1,0,False,False
18.2,66644,0,1,0,False,False
18.3,66645,0,5,0,False,False
18.4,66646,0,10,0,False,False
18.5,66647,0,15,0,False,False
18.6,66648,0,20,0,False,False
18.7,66649,0,25,0,False,False
18.8,66650,0,30,0,False,False
18.9,66651,0,35,0,False,False
18.10,66652,0,40,0,False,False
18.11,66653,0,45,0,False,False
18.12,66654,0,50,0,False,False
18.13,67621,65964,50,1,False,False
18.14,67622,0,53,1,False,False
18.15,67623,0,55,1,False,False
18.16,67624,0,58,1,False,False
18.17,67625,0,60,1,False,False
18.18,68431,67895,60,2,False,False
18.19,68432,0,63,2,False,False
18.20,68433,0,65,2,False,False
18.21,68434,0,68,2,False,False
18.22,68435,0,70,2,False,False
18.23,0,0,0,0,False,False
19.0,66591,0,30,0,False,False
19.1,66592,0,35,0,False,False
19.2,66593,0,40,0,False,False
19.3,66594,0,45,0,False,False
19.4,66595,0,45,0,False,False
19.5,66596,0,50,0,False,False
19.6,67568,65964,50,1,False,False
19.7,67569,0,52,1,False,False
19.8,67570,0,54,1,False,False
19.9,67571,0,56,1,False,False
19.10,67572,0,58,1,False,False
19.11,67573,0,60,1,False,False
19.12,68107,67895,60,2,False,False
19.13,68108,0,63,2,False,False
19.14,68109,0,65,2,False,False
19.15,68110,0,68,2,False,False
19.16,68111,0,70,2,False,False
19.17,0,0,0,0,False,False
20.0,66597,0,30,0,False,False
20.1,66598,0,35,0,False,False
20.2,66599,0,40,0,False,False
20.3,66600,0,45,0,False,False
20.4,66601,0,45,0,False,False
20.5,66602,0,50,0,False,False
20.6,67562,65964,50,1,False,False
20.7,67563,0,52,1,False,False
20.8,67564,0,54,1,False,False
20.9,67565,0,56,1,False,False
20.10,67566,0,58,1,False,False
20.11,67567,0,60,1,False,False
20.12,67962,67895,60,2,False,False
20.13,67963,0,63,2,False,False
20.14,67964,0,65,2,False,False
20.15,67965,0,68,2,False,False
20.16,67966,0,70,2,False,False
20.17,0,0,0,0,False,False
21.0,66585,0,30,0,False,False
21.1,66586,0,35,0,False,False
21.2,66587,0,40,0,False,False
21.3,66588,0,45,0,False,False
21.4,66589,0,45,0,False,False
21.5,66590,0,50,0,False,False
21.6,66121,65964,50,1,False,False
21.7,66122,0,52,1,False,False
21.8,66124,0,54,1,False,False
21.9,66132,0,56,1,False,False
21.10,67213,0,56,1,False,False
21.11,66134,0,58,1,False,False
21.12,66137,0,60,1,False,False
21.13,68436,67895,60,2,False,False
21.14,68437,0,63,2,False,False
21.15,68438,0,65,2,False,False
21.16,68439,0,68,2,False,False
21.17,68440,0,70,2,False,False
21.18,0,0,0,0,False,False
22.0,66603,0,30,0,False,False
22.1,66604,0,35,0,False,False
22.2,66605,0,40,0,False,False
22.3,66606,0,45,0,False,False
22.4,66607,0,45,0,False,False
22.5,66608,0,50,0,False,False
22.6,67225,65964,50,1,False,False
22.7,67226,0,52,1,False,False
22.8,67227,0,52,1,False,False
22.9,67228,0,54,1,False,False
22.10,67229,0,56,1,False,False
22.11,67230,0,58,1,False,False
22.12,67231,0,60,1,False,False
22.13,68446,67895,60,2,False,False
22.14,68447,0,63,2,False,False
22.15,68448,0,65,2,False,False
22.16,68449,0,68,2,False,False
22.17,68450,0,70,2,False,False
22.18,0,0,0,0,False,False
23.0,66621,0,30,0,False,False
23.1,66622,0,35,0,False,False
23.2,66623,0,40,0,False,False
23.3,66624,0,45,0,False,False
23.4,66625,0,45,0,False,False
23.5,66626,0,50,0,False,False
23.6,67249,65964,50,1,False,False
23.7,67250,0,52,1,False,False
23.8,67251,0,54,1,False,False
23.9,67252,0,56,1,False,False
23.10,67253,0,58,1,False,False
23.11,67254,0,60,1,False,False
23.12,68426,67895,60,2,False,False
23.13,68427,0,63,2,False,False
23.14,68428,0,65,2,False,False
23.15,68429,0,68,2,False,False
23.16,68430,0,70,2,False,False
23.17,0,0,0,0,False,False
24.0,66615,0,30,0,False,False
24.1,66616,0,35,0,False,False
24.2,66617,0,40,0,False,False
24.3,66618,0,45,0,False,False
24.4,66619,0,45,0,False,False
24.5,66620,0,50,0,False,False
24.6,67255,65964,50,1,False,False
24.7,67256,0,52,1,False,False
24.8,67257,0,54,1,False,False
24.9,67258,0,56,1,False,False
24.10,67259,0,58,1,False,False
24.11,67260,0,58,1,False,False
24.12,67261,0,60,1,False,False
24.13,67950,67895,60,2,False,False
24.14,67951,0,63,2,False,False
24.15,67952,0,65,2,False,False
24.16,67953,0,68,2,False,False
24.17,67954,0,70,2,False,False
24.18,0,0,0,0,False,False
25.0,66609,0,30,0,False,False
25.1,66610,0,35,0,False,False
25.2,66611,0,40,0,False,False
25.3,66612,0,45,0,False,False
25.4,66613,0,45,0,False,False
25.5,66614,0,50,0,False,False
25.6,67214,65964,50,1,False,False
25.7,67215,0,52,1,False,False
25.8,67216,0,54,1,False,False
25.9,67217,0,56,1,False,False
25.10,67218,0,58,1,False,False
25.11,67219,0,60,1,False,False
25.12,68124,67895,60,2,False,False
25.13,68125,0,63,2,False,False
25.14,68126,0,65,2,False,False
25.15,68127,0,68,2,False,False
25.16,68128,0,70,2,False,False
25.17,0,0,0,0,False,False
26.0,65988,0,1,0,False,True
26.1,65989,0,1,0,True,False
26.2,65990,0,1,0,False,True
26.3,65991,0,5,0,False,False
26.4,65992,0,10,0,True,False
26.5,65993,0,10,0,False,True
26.6,66639,0,15,0,False,False
26.7,65994,0,15,0,False,False
26.8,65995,0,20,0,False,False
26.9,65996,0,25,0,False,False
26.10,65997,0,30,0,False,False
26.11,66627,66049,30,0,False,False
26.12,66633,66049,30,0,False,False
26.13,0,0,0,0,False,False
27.0,66627,0,30,0,False,False
27.1,66628,0,35,0,False,False
27.2,66629,0,40,0,False,False
27.3,66630,0,45,0,False,False
27.4,66631,0,45,0,False,False
27.5,66632,0,50,0,False,False
27.6,67636,65964,50,1,False,False
27.7,67637,0,52,1,False,False
27.8,67638,0,54,1,False,False
27.9,67639,0,56,1,False,False
27.10,67640,0,58,1,False,False
27.11,67641,0,60,1,False,False
27.12,68161,67895,60,2,False,False
27.13,68162,0,63,2,False,False
27.14,68163,0,65,2,False,False
27.15,68164,0,68,2,False,False
27.16,68165,0,70,2,False,False
27.17,0,0,0,0,False,False
28.0,66633,0,30,0,False,False
28.1,66634,0,35,0,False,False
28.2,66635,0,40,0,False,False
28.3,66636,0,45,0,False,False
28.4,66637,0,45,0,False,False
28.5,66638,0,50,0,False,False
28.6,67207,65964,50,1,False,False
28.7,67208,0,52,1,False,False
28.8,67209,0,54,1,False,False
28.9,67210,0,56,1,False,False
28.10,67211,0,58,1,False,False
28.11,67212,0,60,1,False,False
28.12,68459,67895,60,2,False,False
28.13,68460,0,63,2,False,False
28.14,68461,0,65,2,False,False
28.15,68462,0,68,2,False,False
28.16,68463,0,70,2,False,False
28.17,0,0,0,0,False,False
29.0,65638,0,1,0,False,False
29.1,65640,0,1,0,False,False
29.2,65646,0,5,0,False,False
29.3,65662,0,10,0,False,False
29.4,65680,0,15,0,False,False
29.5,65681,0,15,0,False,False
29.6,65682,0,20,0,False,False
29.7,65684,0,25,0,False,False
29.8,65690,0,30,0,False,False
29.9,65691,0,30,0,False,False
29.10,65748,66049,30,0,False,False
29.11,0,0,0,0,False,False
30.0,65748,0,30,0,False,False
30.1,65749,0,30,0,False,False
30.2,65750,0,35,0,False,False
30.3,65751,0,35,0,False,False
30.4,65752,0,40,0,False,False
30.5,65753,0,40,0,False,False
30.6,65768,0,45,0,False,False
30.7,65769,0,45,0,False,False
30.8,65770,0,50,0,False,False
30.9,65771,65964,50,1,False,False
30.10,67220,0,52,1,False,False
30.11,67221,0,54,1,False,False
30.12,67222,0,56,1,False,False
30.13,67223,0,58,1,False,False
30.14,67224,0,60,1,False,False
30.15,68484,67895,60,2,False,False
30.16,68485,0,63,2,False,False
30.17,68486,0,65,2,False,False
30.18,68487,0,68,2,False,False
30.19,68488,0,70,2,False,False
30.20,0,0,0,0,False,False
31.0,67232,0,30,1,False,False
31.1,67233,0,30,1,False,False
31.2,67234,0,35,1,False,False
31.3,67235,0,40,1,False,False
31.4,67236,0,40,1,False,False
31.5,67237,0,45,1,False,False
31.6,67238,0,45,1,False,False
31.7,67239,0,50,1,False,False
31.8,67240,0,50,1,False,False
31.9,67241,0,50,1,False,False
31.10,67242,0,52,1,False,False
31.11,67243,0,54,1,False,False
31.12,67244,0,56,1,False,False
31.13,67246,0,58,1,False,False
31.14,67247,0,58,1,False,False
31.15,67248,0,60,1,False,False
31.16,68441,67895,60,2,False,False
31.17,68442,0,63,2,False,False
31.18,68443,0,65,2,False,False
31.19,68444,0,68,2,False,False
31.20,68445,0,70,2,False,False
31.21,0,0,0,0,False,False
32.0,67589,0,30,1,False,False
32.1,67590,0,30,1,False,False
32.2,67591,0,35,1,False,False
32.3,67592,0,40,1,False,False
32.4,67593,0,45,1,False,False
32.5,67594,0,50,1,False,False
32.6,67595,0,50,1,False,False
32.7,67596,0,52,1,False,False
32.8,67597,0,54,1,False,False
32.9,67598,0,56,1,False,False
32.10,67599,0,58,1,False,False
32.11,67600,0,60,1,False,False
32.12,68451,67895,60,2,False,False
32.13,68452,0,63,2,False,False
32.14,68453,0,65,2,False,False
32.15,68454,0,68,2,False,False
32.16,68455,0,70,2,False,False
32.17,0,0,0,0,False,False
33.0,67548,0,30,1,False,False
33.1,67549,0,30,1,False,False
33.2,67550,0,35,1,False,False
33.3,67551,0,40,1,False,False
33.4,67552,0,40,1,False,False
33.5,67553,0,45,1,False,False
33.6,67554,0,50,1,False,False
33.7,67555,0,50,1,False,False
33.8,67556,0,50,1,False,False
33.9,67557,0,52,1,False,False
33.10,67558,0,54,1,False,False
33.11,67559,0,56,1,False,False
33.12,67560,0,58,1,False,False
33.13,67561,0,60,1,False,False
33.14,67945,67895,60,2,False,False
33.15,67946,0,63,2,False,False
33.16,67947,0,65,2,False,False
33.17,67948,0,68,2,False,False
33.18,67949,0,70,2,False,False
33.19,0,0,0,0,False,False
34.0,68095,0,50,2,False,False
34.1,68096,0,50,2,False,False
34.2,68097,0,52,2,False,False
34.3,68098,0,54,2,False,False
34.4,68099,0,56,2,False,False
34.5,68100,0,58,2,False,False
34.6,68101,0,60,2,False,False
34.7,68102,67895,60,2,False,False
34.8,68103,0,63,2,False,False
34.9,68104,0,65,2,False,False
34.10,68105,0,68,2,False,False
34.11,68106,0,70,2,False,False
34.12,0,0,0,0,False,False
35.0,68112,0,50,2,False,False
35.1,68113,0,50,2,False,False
35.2,68114,0,52,2,False,False
35.3,68115,0,54,2,False,False
35.4,68116,0,56,2,False,False
35.5,68117,0,58,2,False,False
35.6,68118,0,60,2,False,False
35.7,68119,67895,60,2,False,False
35.8,68120,0,63,2,False,False
35.9,68121,0,65,2,False,False
35.10,68122,0,68,2,False,False
35.11,68123,0,70,2,False,False
35.12,0,0,0,0,False,False
36.0,0,0,0,0,False,False
37.0,68797,0,60,3,False,False
37.1,68798,0,60,3,False,False
37.2,68799,0,63,3,False,False
37.3,68800,0,65,3,False,False
37.4,68801,0,68,3,False,False
37.5,68802,0,70,3,False,False
37.6,0,0,0,0,False,False
38.0,68785,0,60,3,False,False
38.1,68786,0,60,3,False,False
38.2,68787,0,63,3,False,False
38.3,68788,0,65,3,False,False
38.4,68789,0,68,3,False,False
38.5,68790,0,70,3,False,False
38.6,0,0,0,0,False,False
39.0,69609,0,70,4,False,False
39.1,69610,0,70,4,False,False
39.2,69611,0,73,4,False,False
39.3,69612,0,75,4,False,False
39.4,69613,0,78,4,False,False
39.5,69614,0,80,4,False,False
39.6,0,0,0,0,False,False
40.0,69603,0,70,4,False,False
40.1,69604,0,70,4,False,False
40.2,69605,0,73,4,False,False
40.3,69606,0,75,4,False,False
40.4,69607,0,78,4,False,False
40.5,69608,0,80,4,False,False
40.6,0,0,0,0,False,False
41.0,70384,0,80,5,False,False
41.1,70385,0,80,5,False,False
41.2,70386,0,83,5,False,False
41.3,70387,0,85,5,False,False
41.4,70388,0,88,5,False,False
41.5,70389,0,90,5,False,False
41.6,0,0,0,0,False,False
42.0,70390,0,80,5,False,False
42.1,70391,0,80,5,False,False
42.2,70392,0,83,5,False,False
42.3,70393,0,85,5,False,False
42.4,70394,0,88,5,False,False
42.5,70395,0,90,5,False,False
42.6,0,0,0,0,False,False
