#,Acquisition,Location,Quest,Unknown0,SaleValue,Order,Top,Bottom,Left,Right,TripleTriadCardRarity,TripleTriadCardType,SortKey,UIPriority,AcquisitionType,Unknown1
99,39,0,67170,98,1500,86,10,3,8,7,5,0,46,0,3,True
100,1372,0,65973,99,0,87,3,10,7,8,5,0,47,0,11,True
101,1013710,5900081,67434,100,100,88,1,7,2,3,1,0,1,0,6,True
102,1012180,5840614,67406,101,300,89,5,6,5,4,2,0,7,0,6,True
103,1011952,5811436,67186,102,300,90,4,3,6,6,2,0,7,0,6,True
104,1011952,5811436,67186,103,300,91,6,3,5,5,2,0,7,0,6,True
105,1011931,5802670,67152,104,300,92,6,3,4,6,2,0,7,0,6,True
106,1013747,5937783,67630,105,300,93,7,3,2,7,2,0,7,0,6,True
107,1013747,5937783,67630,106,300,94,6,7,3,3,2,0,7,0,6,True
108,13380,0,65973,107,500,95,8,7,4,2,3,0,17,0,8,True
109,13380,0,65973,108,500,96,5,5,8,5,3,0,18,0,8,True
110,40,0,67737,109,500,97,6,3,6,6,3,0,20,0,3,True
111,41,0,67738,110,500,98,3,3,7,7,3,0,20,0,3,True
112,120,0,67741,111,500,99,6,7,4,4,3,0,23,0,3,True
113,13380,0,65973,112,500,100,6,6,6,5,3,0,30,0,8,True
114,1010478,5581330,65973,113,500,101,6,5,7,6,3,0,30,0,10,True
115,1012085,5814720,67376,114,500,102,8,4,5,5,3,3,24,0,6,True
116,34,0,67176,115,500,103,7,4,3,8,3,0,31,0,3,True
117,1013747,5937783,67630,116,500,104,2,8,8,2,3,3,24,0,6,True
118,1010478,5581330,65973,117,800,105,9,7,6,5,4,0,39,0,10,True
119,17702,0,65973,118,1500,106,8,6,8,8,5,4,43,0,8,True
120,91,0,67205,119,1500,107,7,10,9,1,5,0,47,0,3,True
121,1012337,5874750,67205,120,300,108,7,7,2,2,2,0,16,0,6,True
122,10130,0,65973,121,300,109,2,2,7,7,2,2,12,0,8,True
123,13380,0,65973,122,500,110,8,5,4,4,3,0,18,0,8,True
124,870,400,67153,123,500,111,2,4,7,8,3,0,17,0,5,True
125,27,0,65611,124,500,112,7,6,4,3,3,0,18,0,3,True
126,28,0,65630,125,500,113,3,6,6,6,3,0,18,0,3,True
127,1002279,3642535,65973,126,500,114,7,7,5,1,3,0,18,0,6,True
128,1005249,4273866,65973,127,500,115,3,2,8,7,3,3,24,0,6,True
129,10129,0,65973,128,500,116,4,8,4,6,3,0,18,0,8,True
130,141,0,67768,129,500,117,6,6,3,6,3,0,20,0,3,True
131,1000282,1143516,65973,130,500,118,8,2,7,3,3,0,20,0,6,True
132,92,0,66738,131,500,119,1,6,7,7,3,0,22,0,3,True
133,1012337,5874750,67205,132,500,120,4,3,7,7,3,0,29,0,6,True
134,1012337,5874750,67205,133,500,121,7,7,3,4,3,0,29,0,6,True
135,102,0,67010,134,800,122,9,6,7,4,4,0,33,0,3,True
136,139,0,67788,135,800,123,7,7,7,7,4,0,32,0,3,True
137,134,0,67766,136,800,124,6,8,6,8,4,1,35,0,3,True
138,1010478,5581330,65973,137,800,125,9,3,7,7,4,2,37,0,10,True
139,1488,0,65973,138,0,126,8,8,6,6,4,0,39,0,11,True
140,111,0,66030,139,1500,127,7,7,6,10,5,0,41,0,3,True
141,1001285,2360548,65973,140,300,128,4,7,3,3,2,0,13,0,6,True
142,1012180,5840614,67406,141,300,129,2,3,6,6,2,0,15,0,6,True
143,1012060,5814139,67132,142,300,130,7,3,3,6,2,0,16,0,6,True
144,1000919,1904988,67784,143,300,131,5,4,6,6,2,0,14,0,6,True
145,1000916,4097322,67784,144,300,132,2,7,2,7,2,0,14,0,6,True
146,1017320,6323298,67863,145,500,133,1,4,8,8,3,0,30,0,6,True
147,10128,0,65973,146,500,134,1,7,7,6,3,0,19,0,8,True
148,1015021,5927813,67199,147,500,135,4,4,7,6,3,0,19,0,6,True
149,172,0,67784,148,500,136,5,7,6,6,3,0,28,0,3,True
150,1006550,4272594,66031,149,800,137,6,6,8,8,4,0,38,0,6,True
151,1015021,5927813,67199,150,800,138,9,5,6,6,4,0,39,0,6,True
152,168,0,67821,151,800,139,5,7,8,8,4,0,33,0,2,True
153,10077,0,65973,152,1500,140,7,10,6,7,5,0,46,0,8,True
154,1016297,6502536,65973,153,100,141,3,4,1,4,1,0,1,0,6,True
155,1016300,6502539,65973,154,100,142,6,4,1,1,1,0,1,0,6,True
156,10128,0,65973,155,100,143,4,2,3,3,1,4,4,0,8,True
157,10128,0,65973,156,300,144,4,6,6,3,2,0,8,0,8,True
158,1016298,6502537,65973,157,300,145,7,4,5,3,2,0,8,0,6,True
159,10128,0,65973,158,300,146,5,6,3,5,2,3,10,0,8,True
160,1016295,6502534,65973,159,300,147,6,6,3,3,2,4,11,0,6,True
161,196,0,67922,160,500,148,5,1,7,7,3,0,20,0,3,True
162,10128,0,65973,161,500,149,7,6,2,6,3,3,24,0,8,True
163,189,0,67874,162,500,150,7,2,8,3,3,1,25,0,3,True
164,1016299,6502538,65973,163,500,151,4,6,5,7,3,0,31,0,6,True
165,1631,0,65973,164,0,152,8,7,9,1,4,2,37,0,11,True
166,1632,0,65973,165,0,153,9,2,5,9,4,2,37,0,11,True
167,1016300,6502539,65973,166,800,154,3,3,9,9,4,4,36,0,6,True
168,183,0,67868,167,1500,155,10,5,6,8,5,1,42,0,3,True
169,1010478,5581330,65973,168,100,156,1,2,6,4,1,0,1,0,10,True
170,1010478,5581330,65973,169,300,157,5,4,4,7,2,0,8,0,10,True
171,17702,0,65973,170,300,158,3,4,7,5,2,4,11,0,8,True
172,17702,0,65973,171,300,159,3,5,5,5,2,4,11,0,8,True
173,1010478,5581330,65973,172,300,167,4,1,6,7,2,0,16,0,10,True
174,221,0,67938,173,500,160,3,5,5,8,3,0,20,0,3,True
175,17702,0,65973,174,500,161,5,4,5,7,3,4,26,0,8,True
176,17702,0,65973,175,500,162,6,6,7,2,3,4,26,0,8,True
177,219,0,67890,176,500,163,8,4,1,8,3,0,31,0,3,True
178,1010478,5581330,65973,177,500,168,2,8,3,7,3,0,31,0,10,True
179,220,0,67909,178,800,164,4,8,9,4,4,0,33,0,2,True
180,17702,0,65973,179,800,165,3,9,7,5,4,4,36,0,8,True
181,1010478,5581330,65973,180,800,169,6,4,7,8,4,0,39,0,10,True
182,223,0,67930,181,1500,166,3,8,10,7,5,1,42,0,3,True
183,1019301,6844084,68281,182,100,170,1,1,5,6,1,3,3,0,6,True
184,1019184,6848289,68227,183,300,171,4,5,4,5,2,3,10,0,6,True
185,1020818,6794369,68353,184,300,172,3,5,2,7,2,3,10,0,6,True
186,1019465,6955049,67985,185,300,173,4,4,7,1,2,0,16,0,6,True
187,1019002,6654205,68008,186,300,174,5,2,6,6,2,0,16,0,6,True
188,1267,622,68036,187,500,175,6,8,3,3,3,0,20,0,5,True
189,1277,621,68084,188,500,176,8,3,1,8,3,0,20,0,5,True
190,243,0,68025,189,500,177,2,3,8,8,3,1,25,0,3,True
191,263,0,68068,190,500,178,3,7,5,7,3,1,25,0,3,True
192,241,0,68060,191,500,179,7,7,4,4,3,4,26,0,3,True
193,1021519,6861929,68216,192,500,180,4,8,2,7,3,0,31,0,6,True
194,1019387,6826254,68308,193,500,181,3,6,8,5,3,0,31,0,6,True
195,1019421,6940301,68311,194,500,182,6,4,4,7,3,0,31,0,6,True
196,1019323,6841559,68048,195,500,183,6,7,4,6,3,0,31,0,6,True
197,239,0,68089,196,800,184,7,8,2,8,4,1,35,0,3,True
198,1023053,6955577,68089,197,800,185,9,8,6,2,4,4,36,0,6,True
199,1908,0,65973,198,0,186,2,8,7,8,4,2,37,0,11,True
200,1909,0,65973,199,0,187,6,1,8,9,4,2,37,0,11,True
201,247,0,68089,200,1500,188,6,7,10,6,5,4,43,0,3,True
202,1024797,7182307,68061,201,1500,189,2,5,10,10,5,0,47,0,6,True
203,1010478,5581330,67982,202,100,190,5,5,1,2,1,0,1,0,10,True
204,1010478,5581330,67991,203,300,191,7,2,6,2,2,0,8,0,10,True
205,1020818,6794369,68353,204,300,192,1,7,5,5,2,3,10,0,6,True
206,279,0,68500,205,500,193,2,6,7,7,3,0,20,0,3,True
207,1023053,6955577,68089,206,500,194,5,6,3,8,3,0,31,0,6,True
208,281,0,68539,207,500,195,4,1,8,7,3,0,23,0,2,True
209,281,0,68539,208,800,196,9,5,8,2,4,0,33,0,2,True
210,1010478,5581330,68508,209,1500,197,1,10,6,10,5,0,47,0,10,True
211,1019259,6829259,68268,210,100,198,3,1,6,2,1,0,1,0,6,True
212,1019219,6904392,68243,211,300,199,4,7,4,2,2,0,8,0,6,True
213,285,0,68613,212,300,200,6,4,4,4,2,0,16,0,3,True
214,1019168,6846334,68014,213,300,201,6,3,7,2,2,0,16,0,6,True
215,284,0,68551,214,500,202,7,1,7,7,3,0,20,0,3,True
216,290,0,68551,215,500,203,7,7,7,1,3,0,20,0,3,True
217,1025327,7261358,68508,216,500,204,8,8,2,4,3,2,27,0,6,True
218,1019259,6829259,68268,217,500,205,3,8,7,3,3,3,24,0,6,True
219,1019049,6782550,68008,218,800,206,8,1,7,9,4,0,39,0,6,True
220,1019219,6904392,68243,219,1500,207,10,7,9,2,5,0,47,0,6,True
221,23223,0,68667,220,100,212,6,1,5,1,1,0,1,0,9,True
222,23223,0,68667,221,300,213,2,5,6,7,2,0,8,0,9,True
223,1351,581,68478,222,300,215,3,3,5,7,2,0,8,0,4,True
224,536,0,68552,223,500,208,3,4,8,8,3,0,20,0,3,True
225,23224,0,68667,224,500,214,4,5,7,7,3,0,20,0,9,True
226,581,0,68478,225,500,216,3,7,3,8,3,0,20,0,12,True
227,1364,581,68478,226,500,217,5,2,7,8,3,0,20,0,4,True
228,537,0,68610,227,800,209,2,7,8,7,4,1,35,0,3,True
229,550,0,68628,228,1500,210,7,10,7,6,5,0,41,0,2,True
230,2078,0,65973,229,0,211,10,10,2,5,5,0,47,0,11,True
231,1019031,6782523,68687,230,100,224,7,1,4,1,1,0,1,0,6,True
232,1010478,5581330,68070,231,300,218,3,1,7,7,2,0,8,0,10,True
233,584,0,68678,232,500,219,2,6,7,6,3,0,20,0,3,True
234,585,0,68680,233,500,220,5,5,5,8,3,0,20,0,3,True
235,596,0,68688,234,500,221,1,7,7,7,3,0,20,0,3,True
236,1329,283,68614,235,500,225,4,4,7,8,3,0,20,0,4,True
237,1404,598,68148,236,500,226,7,8,5,2,3,0,20,0,4,True
238,1026600,7668953,68610,237,500,222,8,1,8,4,3,4,26,0,6,True
239,1019031,6782523,68687,238,1500,227,10,1,8,8,5,0,47,0,6,True
240,590,0,68693,239,1500,223,6,3,10,9,5,0,47,0,3,True
241,1010478,5581330,68089,240,100,228,1,1,7,4,1,2,5,0,10,True
242,1418,639,68149,241,300,235,4,3,7,5,2,0,8,0,4,True
243,1027211,7785754,68149,242,300,236,7,1,7,1,2,0,16,0,6,True
244,611,0,68719,243,500,229,6,8,3,5,3,4,26,0,3,True
245,1423,639,68149,244,500,237,7,4,8,4,3,0,20,0,4,True
246,637,0,68701,245,500,230,7,7,1,7,3,0,20,0,3,True
247,1027210,7785699,68693,246,500,231,6,6,6,6,3,0,21,0,6,True
248,1019301,6844084,68281,247,800,232,6,6,7,9,4,3,34,0,6,True
249,595,0,68703,248,800,238,9,8,4,4,4,0,39,0,3,True
250,636,0,68725,249,1500,233,6,7,7,10,5,0,41,0,2,True
251,1027209,7852555,68685,250,1500,234,6,8,8,8,5,2,44,0,6,True
252,1010478,5581330,65973,251,1500,14,7,9,1,10,5,0,48,5,10,True
253,1027322,7828240,68837,252,100,239,1,2,3,7,1,0,1,0,6,True
254,1027925,7810904,69154,253,100,240,7,2,2,2,1,0,1,0,6,True
255,1028318,8017134,69177,254,100,241,5,6,1,1,1,0,6,0,6,True
256,1027925,7810904,69154,255,300,242,7,4,4,4,2,0,8,0,6,True
257,1031206,8017105,68856,256,300,243,7,5,1,5,2,3,10,0,6,True
258,1031303,8018200,68877,257,300,244,6,7,1,4,2,0,16,0,6,True
259,1027761,7823477,69187,258,300,245,1,7,7,3,2,0,16,0,6,True
260,676,0,68836,259,500,246,2,8,6,6,3,0,20,0,3,True
261,657,0,68856,260,500,247,8,6,2,6,3,0,20,0,3,True
262,651,0,68876,261,500,248,6,6,8,2,3,0,20,0,3,True
263,656,0,69157,262,500,249,6,2,6,8,3,0,20,0,3,True
264,1027497,7796824,69173,263,500,250,8,5,5,5,3,0,20,0,10,True
265,1027344,7790159,69180,264,500,251,1,8,3,8,3,0,31,0,6,True
266,1031130,8017280,69190,265,500,252,4,7,6,4,3,0,31,0,6,True
267,666,0,69179,266,800,253,8,8,8,3,4,0,32,0,3,True
268,1031303,8018200,68877,267,800,254,2,5,9,9,4,2,37,0,6,True
269,2368,0,65973,268,0,255,9,5,9,2,4,2,37,0,11,True
270,1031130,8017280,69190,269,800,256,1,9,5,9,4,0,39,0,6,True
271,687,0,69190,270,1500,257,8,6,10,6,5,0,47,0,3,True
272,2369,0,65973,271,0,258,1,9,9,9,5,0,47,0,11,True
273,28652,0,69190,272,100,259,2,2,2,7,1,0,1,0,8,True
274,1028783,8153080,69219,273,100,260,1,6,4,2,1,0,1,0,6,True
275,28652,0,69190,274,300,261,3,6,5,5,2,0,8,0,8,True
276,1028783,8153080,69219,275,300,262,7,2,4,6,2,3,10,0,6,True
277,28652,0,69190,276,300,263,7,6,2,4,2,3,10,0,8,True
278,28652,0,69190,277,500,264,8,2,4,7,3,0,20,0,8,True
279,692,0,69210,278,500,265,4,6,8,6,3,0,20,0,3,True
280,28652,0,69190,279,800,266,7,9,4,7,4,0,39,0,8,True
281,28652,0,69190,280,1500,267,10,7,1,9,5,0,40,0,8,True
282,700,0,69254,281,1500,268,4,6,10,8,5,0,41,0,2,True
283,1027665,7967619,68842,282,100,269,2,2,7,2,1,0,1,0,10,True
284,1027744,7821202,69330,283,100,270,4,2,2,6,1,3,3,0,6,True
285,1027385,7791237,68836,284,300,271,2,7,6,4,2,0,8,0,10,True
286,1031680,8104544,69208,285,300,278,5,6,4,5,2,0,16,0,10,True
287,1027744,7821202,69330,286,500,272,6,8,6,2,3,0,20,0,6,True
288,1027497,7796824,69179,287,500,273,8,1,6,7,3,0,20,0,10,True
289,1027709,7819198,69301,288,500,274,7,8,2,5,3,0,20,0,10,True
290,714,0,69305,289,500,275,5,3,8,6,3,0,20,0,3,True
291,717,0,69319,290,800,276,8,1,9,7,4,4,36,0,3,True
292,1027766,7823514,69190,291,1500,277,9,2,9,9,5,0,40,0,10,True
293,725,0,69372,292,1500,279,10,4,1,10,5,4,43,0,3,True
294,1034888,8426091,69437,293,100,280,2,6,2,4,1,3,3,0,6,True
295,1031680,8104544,69427,294,300,288,1,1,7,7,2,0,16,0,10,True
296,1034888,8426091,69437,295,300,281,6,2,6,4,2,0,8,0,6,True
297,1010478,5581330,69313,296,500,282,5,7,7,4,3,0,20,0,10,True
298,1034206,8426144,69487,297,500,289,8,6,6,4,3,4,26,0,6,True
299,1034206,8426144,69487,298,500,290,6,7,8,1,3,0,20,0,6,True
300,1010478,5581330,69314,299,800,283,8,9,4,4,4,0,39,0,10,True
301,2643,0,65973,300,0,284,7,8,1,9,4,2,37,0,11,True
302,1033652,8378786,69319,301,800,285,1,8,7,9,4,4,36,0,6,True
303,736,0,69489,302,1500,286,4,10,6,8,5,0,41,0,2,True
304,738,0,69314,303,1500,287,2,10,5,10,5,1,42,0,3,True
305,1032254,8157292,69272,304,100,297,4,1,1,7,1,0,6,0,10,True
306,746,0,69547,305,300,291,3,7,6,3,2,0,8,0,3,True
307,1034202,8395975,69562,306,500,298,6,8,7,1,3,0,20,0,10,True
308,1034202,8395975,69562,307,500,299,8,6,1,7,3,0,20,0,10,True
309,1035181,8612500,69273,308,500,300,4,6,6,8,3,0,20,0,6,True
310,1035181,8612500,69273,309,500,301,6,4,8,6,3,0,20,0,6,True
311,1032254,8157292,69530,310,500,302,8,4,6,6,3,0,20,0,10,True
312,762,0,69516,311,800,292,7,9,8,1,4,4,36,0,3,True
313,1035180,8610547,69515,312,800,293,7,7,1,9,4,0,39,0,6,True
314,1035180,8610547,69515,313,800,294,5,1,9,9,4,0,39,0,6,True
315,758,0,69514,314,1500,295,10,8,6,5,5,0,40,0,3,True
316,2799,0,65973,315,0,296,5,6,9,9,5,1,42,0,11,True
317,1027665,7967619,68842,316,300,303,5,4,7,4,2,0,8,0,10,True
318,777,0,69598,317,500,304,8,8,4,2,3,1,25,0,3,True
319,1010478,5581330,69568,318,500,305,7,8,3,5,3,4,26,0,10,True
320,1010478,5581330,69602,319,500,309,8,4,7,3,3,1,25,0,10,True
321,1035621,8766864,69624,320,500,310,1,7,8,6,3,0,20,0,6,True
322,1035621,8766864,69624,321,500,311,8,7,6,1,3,0,20,0,6,True
323,1033259,8332210,69568,322,800,306,9,7,8,1,4,0,32,0,10,True
324,781,0,69567,323,800,307,9,7,1,8,4,4,36,0,3,True
325,1034202,8395975,69624,324,800,312,4,9,9,4,4,0,32,0,10,True
326,779,0,69571,325,1500,308,6,4,8,10,5,0,41,0,2,True
327,1041090,8994014,69898,326,100,313,4,3,4,4,1,0,1,0,6,True
328,1041091,8994064,69910,327,100,314,3,4,4,4,1,0,1,0,6,True
329,1038004,8865563,69995,328,100,315,5,1,4,4,1,0,1,0,10,True
330,1037381,8862069,69805,329,300,316,4,7,4,4,2,3,10,0,6,True
331,1041093,8994119,69985,330,300,317,4,6,4,6,2,0,16,0,6,True
332,1041093,8994119,69985,331,300,318,7,7,1,3,2,0,16,0,6,True
333,787,0,69973,332,500,319,6,7,1,8,3,0,20,0,3,True
334,786,0,69985,333,500,320,8,3,3,7,3,0,20,0,3,True
335,808,0,70012,334,500,332,5,5,6,8,3,0,20,0,3,True
336,783,0,69913,335,500,321,4,8,8,1,3,1,25,0,3,True
337,796,0,70000,336,500,322,7,8,6,1,3,0,31,0,3,True
338,1041082,8994122,70000,337,500,323,7,3,7,7,3,0,31,0,6,True
339,785,0,69931,338,800,324,5,9,9,1,4,1,35,0,3,True
340,1041092,8994088,69929,339,800,325,9,6,8,3,4,4,36,0,6,True
341,1041082,8994122,70000,340,800,326,4,9,3,9,4,2,37,0,6,True
342,1037909,8865525,69973,341,800,327,7,6,6,9,4,0,39,0,10,True
343,3021,0,70000,342,0,328,9,7,7,3,4,0,39,0,11,True
344,802,0,69934,343,1500,329,5,3,10,10,5,1,42,0,3,True
345,790,0,69985,344,1500,330,10,10,5,3,5,1,42,0,3,True
346,3020,0,70000,345,0,331,6,9,9,6,5,4,43,0,11,True
347,844,0,70065,346,100,333,1,5,1,6,1,0,1,0,3,True
348,1042729,9173588,70085,347,100,341,1,7,4,1,1,0,6,0,6,True
349,1042424,9160432,70083,348,300,342,4,4,4,7,2,3,10,0,10,True
350,1042266,9230548,70075,349,500,334,6,1,7,8,3,0,23,0,6,True
351,1042266,9230548,70075,350,500,335,7,1,8,6,3,0,23,0,6,True
352,866,0,70073,351,500,336,8,6,7,1,3,0,23,0,2,True
353,1010478,5581330,70073,352,500,337,6,8,1,7,3,0,23,0,10,True
354,1038004,8865563,70000,353,800,338,8,9,7,1,4,0,32,0,10,True
355,1037635,8865409,70000,354,800,339,7,1,9,8,4,1,35,0,10,True
356,1010478,5581330,70000,355,1500,340,7,2,9,10,5,0,40,0,10,True
357,1043418,9308277,70138,356,100,349,1,1,6,5,1,0,6,0,10,True
358,1044127,9405323,70182,357,300,350,2,6,6,4,2,0,8,0,6,True
359,868,0,70182,358,300,351,7,5,5,2,2,0,8,0,2,True
360,868,0,70182,359,300,352,4,2,6,7,2,0,8,0,2,True
361,869,0,70128,360,500,343,6,7,4,7,3,0,20,0,3,True
362,1010478,5581330,70073,361,500,344,1,8,7,6,3,0,23,0,10,True
363,868,0,70182,362,500,353,2,8,2,8,3,3,24,0,2,True
364,1010478,5581330,70130,363,800,345,7,8,7,6,4,0,32,0,10,True
365,870,0,70133,364,800,346,6,7,8,7,4,0,32,0,3,True
366,1037909,8865525,70176,365,800,347,5,5,8,9,4,0,39,0,10,True
367,883,0,70175,366,1500,348,9,10,5,4,5,0,40,0,3,True
368,1005244,4270098,65973,367,100,354,6,1,3,3,1,0,1,0,10,True
369,1044415,9675073,70222,368,100,360,2,5,2,5,1,0,6,0,6,True
