#,Description,DescriptionEnhanced,Tooltip
0,,,
19,"Besteig deinen kampfstarken Drakon, den die Bruderschaft der Asche herangezogen hat.","Einen Reit-Drakon abzurichten ist ein langer und mühseliger Prozess, der schon kurz nach dem Schlüpfen des Jungtieres beginnt. Er bekommt seine Mutter nie zu Gesicht und wird von einem Drakon-Flüsterer aufgezogen, um sicherzustellen, dass er sowohl unterwürfig als auch tödlich ist.","Drakons schubsen ihre Jungen in einen Abgrund,
aus dem sie aus eigener Kraft emporklettern müssen.
Genau so ist es auch bei den Amalj'aa.
*Hamujj Gah*"
20,"Klettere auf deine hünenhafte Waldkreatur, die dir die Sylphen anvertraut haben.","Nachdem ihr das Moos und die Blumen vom Kopf entfernt wurden, nahmen die Sylphen von der Sylphen-Zuflucht diese sanftmütige Goobbue bei sich auf und fertigten für sie einen beeindruckenden Lorbeerkranz an, um ihre Narben zu kaschieren.","Die Goobbueige der Meinigen riecht wie
eine alte Milchwurzel, hihi. So süß!
*Nyxia*"
21,Ruf deine antimagisch beschichtete Magitek-Kampfmaschine (Typ C) herbei.,"Nach nur wenigen Gefechten mit den alliierten Stadt­staaten musste Garlemand feststellen, dass die Zauber der Magier des Reiches selbst die dickste Magitek-Rüstung durchdrangen. Daraufhin wurde eine spezielle Bronzelegierung erfunden, um elementaren Angriffen besser standhalten zu können.","Was ist das? Ein verbesserter Typ von Magitek-Kampfmaschine?
*Biggs*"
22,Ruf dein freundliches Pferd Albtraum herbei.,"Es ist kein Geheimnis, dass es die Ascians waren, die die Wilden Stämme mit Albträumen versorgten, aber die Gründe dafür sind nach wie vor unklar. Die wilden Bestien gelten als unzähmbar und einzig der schrille Ton einer magischen Pfeife vermag sie zu beruhigen.","Ich hörte die eindringlichen Stimmen der Gebieter in ungewohnter
Klarheit rufen: „Der Albtraum ist erwacht!“ So viel Schrecken
schwang in ihren Worten mit, wie ich es nie zuvor erlebt habe.
*A-Ruhn-Senna*"
23,,,
24,,,
25,Ruf deinen Chocomoppel herbei. Obwohl ihm frisches Futter eigentlich mehr bedeutet als deine Beförderung.,"Dieser gefräßige Gourmet wird kaum eine Feder schwingen, solange nicht ein Bündel Gizar-Blätter vor seinem Schnabel baumelt. Dann jedoch kennt er kein Halten mehr und es gibt nichts, was ihn stoppen könnte.","<keuch> K...weh... <keuch>
*Choco-Fettwanst*"
26,"Ruf deinen Kavallerie-Elbst herbei, der aus einem Ei von Pahh von Novvs Sippe stammt.","Damit seine Elbste mit den flinken Chocobos mithalten können, stutzt Pahh von Novvs Sippe ihre Schwimmhäute schon in jungen Jahren. Auch wenn sie dadurch schneller laufen, büßen sie doch einen Teil ihrer Schwimmfähigkeit ein.","Auf dem Rücken dieser stolzen Tiere meisterst du
selbst das stürmischste aller Meere! Sssssh ...
*Novv*"
27,Ruf einen Schwarm von explosiven Sänftenträgern für dich herbei. Angenehme Reise!,"Als er erfuhr, dass seine Schöpfungen nicht die Fähigkeit besaßen, sich selbst zu entflammen, tat Ba Go, was jeder gute Sprengmeister tun würde - er brachte die Bomber an den Ecken eines bestickten Seidenkissens an und erschuf eine schwebende Kutsche.","Hihihi, Bomber zur Explosion geboren. Für einen
kurzen Moment sie leben. In einem Augenblick
des Glanzes sie vergehen.
*Ba Go, Akolyth des 789. Ordens*"
28,"Ruf das legendäre Ross Aithon herbei, welches dem Primae Ifrit zugerechnet wird. Sein Atem ist so heiß wie die Sieben Höllen zusammen.","Der Legende nach schuf der Herr des Infernos, Ifrit, dieses magische Ross aus einem Albtraum, der von den Amalj'aa geopfert wurde.","Ich frage mich, wer wohl schneller galoppieren kann: Chocobos
oder Pferde? Bestimmt Pferde, die haben schließlich doppelt so
viele Beine!
*Yozan*"
29,"Ruf das legendäre Ross Xanthos herbei, welches dem Primae Garuda zugerechnet wird. In vollem Galopp ist es so schnell wie der Wind.","Der Legende nach schuf die Herrin der Winde, Garuda, dieses magische Ross aus einem Albtraum, der von den Ixal geopfert wurde.","Ich frage mich, wer wohl schneller galoppieren kann: Chocobos
oder Pferde? Bestimmt Pferde, die haben schließlich doppelt so
viele Beine!
*Yozan*"
30,"Ruf das legendäre Ross Gullfaxi herbei, welches dem Primae Titan zugerechnet wird. Das Stampfen seiner kräftigen Beine ruft Erschütterungen hervor, die noch malmenweit weg spürbar sind.","Der Legende nach schuf der Herr der Felsen, Titan, dieses magische Ross aus einem Albtraum, der von den Kobolden geopfert wurde.","Ich frage mich, wer wohl schneller galoppieren kann: Chocobos
oder Pferde? Bestimmt Pferde, die haben schließlich doppelt so
viele Beine!
*Yozan*"
31,"Ruf das legendäre Ross Enbarr herbei, welches dem Primae Leviathan zugerechnet wird. Die tosenden Wellen selbst sollen es an Land geworfen haben.","Der Legende nach schuf der Herr der Wogen, Leviathan, dieses magische Ross aus einem Albtraum, der von den Sahagin geopfert wurde.","Ich frage mich, wer wohl schneller galoppieren kann: Chocobos
oder Pferde? Bestimmt Pferde, die haben schließlich doppelt so
viele Beine!
*Yozan*"
32,"Ruf deinen furchtlosen Kriegslöwen herbei, der über das Schlachtfeld herrschen wird wie über das Reich der Tiere.","In der Sechsten Ära des Lichts wurden Löwen aus dem Nahen Osten nach Ul'dah gebracht, um dort als Kampfreittiere der Palastwache zu dienen. Man hielt sie jedoch für unzähmbar, und so wurden die Tiere, die man nicht für Tierhetzen ans Kolosseum verkaufte, in den Wüsten von Thanalan wieder ausgesetzt.","Ich soll mich auf diesen abgemagerten Löwen setzen? Hat
der heute überhaupt schon etwas zu futtern bekommen?
*Furchtsame Palastwache*"
33,"Ruf deinen furchtlosen Kriegsbären herbei, der schon Tausende Schlachten geschlagen hat. Sein Anblick wird deine Gegner erzittern lassen.","Krieger vergangener Generationen reisten auf der Suche nach Ruhm und Ehre zuweilen in die Wildnis von Abalathia, um einen der riesigen Grizzlybären aufzuspüren. Sie versuchten dann, ihn niederzuringen und voller Stolz den Ritt auf ihm zurück in die Zivilisation anzutreten. Oder sie kamen bei dem Versuch ums Leben.","Haben Sie keine Angst, der will nur spielen.
*Urgh, Bärentrainer von Halatali*"
34,"Rufe deinen Tandem-Chocobo herbei. Ein gewaltiger Vogel, der stark genug ist, um zwei Reiter zu tragen.","Diese bisher unbekannte Rasse wurde angeblich von Chocobo-Jägern auf der Suche nach dem legendären Chocobo-Wald entdeckt. Seine enorme Größe würde ihn zu einem idealen Last-Chocobo machen, aber sein Temperament führt häufig zu Verletzungen bei unvorsichtigen Reitern.","Das war vielleicht ein Kaventsmann, von doppeltem Umfang
wie ein Roegadyn würd ich sagen, und tatsächlich trug er auch
gleich zwei davon auf seinem Rücken, als wären es Küken.
*Kommandeur Ribald*"
35,"Rufe deinen tödlichen Düsterwolf herbei. Einer von fünf Welpen, die man im tiefen Schnee an den Körper ihrer erschlagenen Mutter geschmiegt auffand.","Während der Sechsten Ära des Lichts führten Massenkeulungen dieser Bestien dazu, dass Naturforscher die Spezies für ausgestorben hielten. Sie wurden jedoch widerlegt, als Aufklärer der Ixal auf ein Rudel in den dünn besiedelten Bergen von Xelphatol stießen.","Zwei gute Ritter habe ich an diese Wölfe verloren.
*Ritter Corentiaux aus dem Haus Fortemps*"
36,"Rufe dein vom Mahlstrom ausgegebenes Schlachtross herbei und versuche den Gedanken zu verdrängen, dass dein Chocobo nun ganz allein und hungrig irgendwo herumsitzt.","Nachdem sie beeindruckenden Demonstrationen beiwohnten, wie ein Schlachtross das Blatt auf dem Schlachtfeld wenden kann, ließen sich die Staatlichen Ge­sell­schaften von Eorzea nicht lumpen und zahlten der Pferdeministerin ordentliche Summen, um sich an der Carteneauer Front einen Vorteil zu verschaffen.","Hm? Ob ich Pferde schön finde? Bist du jetzt völlig übergeschnappt?
*Anonymer Chocobo-Züchter*"
37,"Rufe dein von der Bruderschaft ausgegebenes Schlachtross herbei und versuche den Gedanken zu verdrängen, dass dein Chocobo nun ganz allein und hungrig irgendwo herumsitzt.","Nachdem sie beeindruckenden Demonstrationen beiwohnten, wie ein Schlachtross das Blatt auf dem Schlachtfeld wenden kann, ließen sich die Staatlichen Ge­sell­schaften von Eorzea nicht lumpen und zahlten der Pferdeministerin ordentliche Summen, um sich an der Carteneauer Front einen Vorteil zu verschaffen.","Hm? Ob ich Pferde schön finde? Bist du jetzt völlig übergeschnappt?
*Anonymer Chocobo-Züchter*"
38,"Rufe dein von der Legion ausgegebenes Schlachtross herbei und versuche den Gedanken zu verdrängen, dass dein Chocobo nun ganz allein und hungrig irgendwo herumsitzt.","Nachdem sie beeindruckenden Demonstrationen beiwohnten, wie ein Schlachtross das Blatt auf dem Schlachtfeld wenden kann, ließen sich die Staatlichen Ge­sell­schaften von Eorzea nicht lumpen und zahlten der Pferdeministerin ordentliche Summen, um sich an der Carteneauer Front einen Vorteil zu verschaffen.","Hm? Ob ich Pferde schön finde? Bist du jetzt völlig übergeschnappt?
*Anonymer Chocobo-Züchter*"
39,,,
40,"Ruf das legendäre Ross Markab herbei, welches dem Primae Ramuh zugerechnet wird. Es soll durch einen einzelnen Blitz zum Leben erweckt worden sein.","Der Legende nach schuf der Herr der Blitze, Ramuh, dieses magische Ross aus einem Albtraum, der von den Sylphen geopfert wurde.","Ich frage mich, wer wohl schneller galoppieren kann: Chocobos
oder Pferde? Bestimmt Pferde, die haben schließlich doppelt so
viele Beine!
*Yozan*"
41,Ruf deinen prachtvoll mit reinem Weiß geschmückten Chocobo herbei. Das passende Reittier für einen ganz besonderen Anlass.,"Ein Chocobo mit von Natur aus schneeweißem Gefieder, der in Ishgard gezüchtet wurde. Tiere dieser Rasse sind außer­ge­wöhn­lich sanft und gelehrig und dulden auch zwei Reiter auf ihrem Rücken.","Hübsch? Sicher. Aber wenn dir einer im Schnee ausbüxt, wünsche ich viel Spaß bei der Suche.
*Ishgarder Züchter*"
42,"Rufe das legendäre Ross Sleipnir herbei, welches dem Primae Odin als Reittier dient. Seine glühend roten Augen stechen aus der nachtschwarzen Mähne hervor.","Gesegnet von Odin höchstselbst, ist Sleipnir denen auf ewig treu ergeben, die sich seiner als würdig erwiesen haben. Das schwarze Ross ist nicht nur furchtlos im Kampf, sondern kann seine Größe auch der des Reiters anpassen.","Da steht ein
Pferd in Rankenflur.
*Erik*"
43,"Rufe das legendäre Ross Boreas herbei, welches dem Primae Shiva als Reittier dient. Sein Atem soll Schneestürme entfachen.","Legenden erzählen davon, dass Shiva Boreas aus einem Einhorn schuf, das ihr ihre Anhänger opferten.","Du gibst dich als Pferd
aus, um die Vorzüge der
Pferde anzupreisen?
Haha, was für ein Blödsinn!
*Ul'dahner*"
44,"Rufe deinen Parade-Chocobo herbei, der - seinem Aussehen nach zu urteilen - noch nicht in vielen Paraden mitmarschiert ist.","Ursprünglich von der Aben­teurer­gilde erworben, um ihn in Paraden einzusetzen, verspielte dieser stämmige Chocobo alle Sympathien, als er gleich bei der ersten Fütterung eine ganze Mondration Gizar-Blätter verschlang. Danach marschierte er direkt aufs Abstellgleis.","Psst! Lust auf 'ne Parade?
*Windiger Gaukler*"
45,Rufe deinen schwarzen Flug-Chocobo herbei.,Dieser schwarzgefiederte Chocobo wurde dir von Haurchefant als Zeichen seiner Freund­schaft übergeben.,"Dann schnappst du dir besser einen schwarzen Chocobo, dann bist du im Nu dort.
*Redwald*"
46,"Rufe deine Reit-Taimai herbei. Keine Sorge, sie ist schneller, als sie aussieht.","Die auf der nah-östlichen Insel Thavnair heimische Riesenschildkröte wurde lange Zeit für unzähmbar gehalten, doch gelang es ul'dhischen Zoologen, eine kleine Anzahl von ihnen als Reittiere abzurichten. Die Thaumaturgen-Gilde vollbrachte es zudem, die unbeweglichen Riesen mithilfe uralter Rituale mit Flugfähigkeiten auszustatten.","Man bringe mir einen
geräucherten Wellwick-
Wurm, ein weichgekochtes
Adaman-Taimai-Ei und ein
Goblinkäse-Soufflé. Aber
dalli dalli!
*Gegeruju*"
47,"Rufe dein Kirin herbei, den unumschränkten König der Tiere im Fernen Osten. ","Wen man in Othard auch nach der mächtigsten Kreatur fragt, die Antwort ist immer dieselbe: Kirin. Es heißt, das löwenartige Wesen streife schon über tausend Jahre durch den Fernen Osten und erkenne nur einen wahren Helden als seinen Herrn an.","Wenn ich Ferner Osten sage,
dann mein ich übrigens auch fern.
*Gerolt*"
48,Rufe dein allagisches Logistiksystem herbei. Zu deiner Sicherheit und der von Passanten wurden alle Waffensysteme deaktiviert.,"Eine der automatisierten Drohnen, die die Allager zum Schutz ihrer Festung einsetzten. Nachdem sie von den Forschern der Sankt Coinach-Stiftung gefunden wurde, modifizierte Nero tol Scaeva sie zu seinem persönlichen Transportmittel.","Bescheidenheit war den
Allagern anscheinend fremd.
*G'raha Tia*"
49,"Rufe einen reinrassigen abalathischen Höllenhund herbei, der nach seinem legendären Rudelführer benannt ist.",Zu Ishgards Hochzeiten waren die Hochebenen von Coerthas so gut wie befreit von den gefährlichen Höllenhunden. Doch die Klimaänderungen der Katastrophe haben die legendären Raubtiere erneut aus ihren Höhlen in besiedelte Gebiete getrieben.,"Alle hundertausend
heulende Höllenhunde!
*Unbekannter Seefahrer*"
50,"Rufe Midgardsormr herbei - maßstabsgetreu, aber nicht in Originalgröße.","Nachdem du dich in zahllosen Abenteuern behauptet hast, gestattet der Urvater aller Drachen dir, auf seinem Rücken Platz zu nehmen.","Doch sagt, glaubt Ihr wirklich,
Midgardsormr könnte wiederauferstehen?
*Alphinaud*"
51,,,
52,"Rufe einen bernsteinfarbenen Riesen-Chocobo herbei. Stark genug, um zwei Reiter zu tragen.","Rot-glänzender Bernstein ist den Ishgardern ein Symbol der Liebe und Loyalität. Für in der Natur lebende Chocobos bedeutet ein rotes Federkleid, dass sich bald eine Schar Jäger blicken lässt.","Nanu?! Was macht denn dieser
süße Chocoboige hier?
*Diluxio*"
53,"Rufe eine Sanuwa herbei, die von dem Händler Luna Vanu mit viel Hingabe trainiert worden ist.","Luna Vanu hängt sehr an seiner Sanuwa, die er mit viel Liebe und Hingabe trainiert hat. Er hatte sich geschworen, sie nur an einen würdigen Helden zu verkaufen, der auf ihr wie ein Sturmwind durch die Lüfte rasen sollte.","Sanuwa wird Na-Vanu-eeh tragen
geschwind wie Sausewind.
*Luna Vanu*"
54,"Rufe deinen Greifen herbei. Halb Adler, halb Löwe, aber ganz schön wild.",Die auf den unerklimmbaren Gipfeln von Abalathias Rückgrat nestenden Greifen dienten einst den un­er­schro­cke­nen Soldaten Ala Mhigos als kampfwütige Reittiere.,"So hoch wie nie jemand zuvor!
*Slogan der Highwind-Fluggesellschaft*"
55,"Rufe deinen Manaschnitter herbei, das einsitzige Luftschiff der Gar­lond-Me­tall­wer­ke.",Dieser Einsitzer ist eine Gemeinschaftsarbeit der Chef-Ingenieure Biggs und Wedge und trägt den ersten Motor auf Basis denaturierter Kristalle unter der Haube.,"Mit unserer neuesten Erfindung haben
wir uns mal wieder selbst übertroffen!
*Wedge*"
56,"Rufe deinen Kriegspanther herbei. Dieser lautlose Killer ist darauf abgerichtet, alles und jeden zu zerfleischen - außer dich, versteht sich.","Die schwarzen Raubkatzen sind wesentlich schwieriger abzurichten als ihre nahen Verwandten, die Coeurl, doch verschaffen ihre angeborenen magischen Fä­hig­kei­ten dem Reiter einen erheblichen kämpferischen Vorteil.","Ein Jäger ohne Krallen ist nichts weiter als wehrlose Beute.
*Pawah Mujuuk*"
57,,,
58,"Rufe deinen Stampfer herbei, eine dampfbetriebene Kriegsmaschine der berüchtigten Indigohand.","Dieses Modell ist wesentlich zuverlässiger als die ersten Prototypen, die häufig außer Kontrolle gerieten und dabei ganze Werkstätten verwüsteten.","Macht Vielebumm. Muzzu gucken!
*Unbekannter Goblin-Tüftler*"
59,"Rufe Twintania herbei, ein legendärer Wyvern, der insgeheim davon träumt, frei zu sein ... und dich zu verschlingen.",Dank einer allagischen Gedankenfessel ist dir dieser uralte Wyvern aus dem südlichen Kontinent Meracydia ein treuer Diener - solange die Gedankenfessel hält.,"Da sind Wyvern. Überall Wyvern.
*Vath-Drohne*"
60,,,
61,,,
62,"Rufe den Hexenbesen herbei, um durch die Lüfte zu fegen.","Der große Kürbiskopf soll dem einst gewöhnlichen Haushaltsbesen Zauberkräfte verliehen haben. Obwohl er das Fliegen bevorzugt, ist er sich dennoch nicht zu schade dafür, schmutzige Böden zu fegen.","Die Besen, sie fegen und sie sprechen und sind sehr fleißig, ja.
*Toro Roggo*"
63,,,
64,,,
65,,,
66,,,
67,"Rufe einen Pegasus herbei, ein sagenumwobenes Pferdewesen, dessen Existenz lange Zeit angezweifelt wurde.","Über viele Jahrhunderte hinweg galten Pegasus als Fabelwesen, doch seit zahlreiche Luftschiffe jeden Winkel des Wolkenmeeres erforschen, werden ab und zu einzelne Exemplare gesichtet. Es gibt sogar Gerüchte, in Not geratene Luftpiraten wären von Pegasus gerettet worden.","Ich will aber einen Pegasus
zum Geburtstag!
*Mädchen aus Ishgard*"
68,"Rufe die Magitek-Kampfmaschine vom Typ „Weißer Teufel“ herbei, die eigens für Livia sas Junius entwickelt und gebaut worden ist.","Die Magitek-Kampfmaschine vom Typ „Weißer Teufel“ wurde speziell für Livia sas Junius, Tribunus der XIV. Legion des Garleischen Kaiserreichs, gebaut. Die Effektivität ihres Lieblings hat die Hexe von Dalmasca eindrucksvoll bei der Eroberung der nördlichen Territorien Ilsabards unter Beweis gestellt.","Die Hexe von Dalmasca
bringt Tod und Zerstörung!
*Kriegsflüchtling*"
69,"Rufe die Magitek-Kampfmaschine vom Typ „Roter Baron“ herbei, die eigens für Nero tol Scaeva entwickelt und gebaut worden ist.","Die Magitek-Kampfmaschine vom Typ „Roter Baron“ wurde speziell für Nero tol Scaeva, Tribunus der XIV. Legion des Garleischen Kaiserreichs, gebaut. Als versierter Maschinist hat Nero persönlich an der Optimierung des Erdseim-Antriebs mitgewirkt und im laufenden Betrieb ständig die Mechanik verbessert.","Dieser mechanische Koloss
ist ein Wunderwerk der Technik!
*Cid*"
70,"Rufe einen Wyvern herbei, der dir treu ergeben ist und mit dir zusammen Monster jagen möchte.","Vor vielen Jahren schloss dieser Wyvern einen Pakt mit einem Ritter und diente ihm als treues Reittier bei der Jagd auf Monster. Der Ritter ist lange verstorben, doch der Wyvern hält seinen Schwur und widersteht dem Ruf seiner Artgenossen, im Drachenkrieg gegen Ishgard zu kämpfen.","Trau keinem Wyvern!
*Saintrelmaux*"
71,"Rufe die SKD-Fenrir herbei, ein zweirädriges Kampfgefährt, das wirkt, als stamme es aus einer weit entfernten Welt.","Der Name dieses gepanzerten Kampfgefährts kommt nicht von ungefähr. Schon im unteren Drehzahl-
bereich faucht der Motor wie ein waschechter Drache. Die Abkürzung SKD steht übrigens für „Strife Kurierdienst“.","Unglück ist keine Ausrede
für eine verpasste Lieferung!
*Hildeyard*"
72,"Rufe einen Kongamato herbei, der von einem Vath-Krämer großgezogen wurde. Ein Muschelpuster ist aus Sicherheitsgründen nicht montiert.","Kongamato-Weibchen legen ihre Eier an Flusssäumen ab, und die geschlüpften Larven verbringen ihren ersten Lebensabschnitt überwiegend im Wasser. Erst mit einsetzender Geschlechtsreife öffnen sie ihre Flügel und erheben sich in die Lüfte.","Du willst den Kongamato besteigen?
Sei ohne Furcht. Das zornige Schnauben
bedeutet nicht, dass er dich nicht mag.
*Flohflüsterer*"
73,Rufe einen Montisaurus herbei. Seine schweren Schwingen haben ihn aus dem Nahen Osten hierher getragen.,"Dieser gewaltige Vogel fängt seine Beute mit einem sägeartigen Schnabel und tötet sie mit schnellen, ruckhaften Bewegungen seines Halses, bevor er sie in einem Stück verschlingt.","Die Montisaurier werden immer trauriger.
*Sigan*"
74,Rufe einen legendären Bennu herbei.,"Dieser Vogel trank vom Äther, der dem unsterblichen Phönix entstieg, als er während der sechsten Katastrophe über Carteneau gesichtet wurde. Von vielen wird er als heilig verehrt, und sein Name bedeutet „glänzendes Flügelwesen in blendendem Glanz“.","Ich wurde zur Verkörperung des Phönix,
des uralten Symbols der Auferstehung.
*Louisoix Leveilleur*"
75,Rufe den Weißlanner herbei. Er steht unter dem Schutz von Bismarck selbst und herrscht über die Lüfte.,"Dieser Vogel steht unter Bismarcks persönlichem Schutz und ist in wirbelnde Wolken gehüllt. Mutige Krieger der Vanu Vanu, die auf eine Audienz beim Herrscher der Wolken hoffen, sitzen auf sie auf und lassen sich einem ungewissen Schicksal entgegen-
tragen.","In der Legende ist Bismarck also ein guter Gott,
der das Wolkenmeer frei von Krieg und Streit
geschaffen hat?
*Alphinaud*"
76,Rufe den Rotlanner herbei. Er steht unter dem Schutz von Ravana selbst und durchschneidet die Luft wie die Chandraha-Klingen.,Diese Vögel stehen unter Ravanas persönlichem Schutz und ihre bloße Anwesenheit kann auch hartgesottenen Kriegern das Blut in den Adern gefrieren lassen. Ihre Schwingen durchschneiden die Luft wie die mächtigen Chandraha-Klingen des Herrn des Krieges.,"Oh, großer Eroberer! Die Kolonie benötigt
deinen göttlichen Beistand!
*Gnath-Priester*"
77,Rufe den Rundlanner herbei. Er steht unter dem Schutz von König Thordan selbst und dient ergeben seinen Rittern.,"Diese Vögel, die unter dem Schutz von König Thordan stehen, sind würdevolle Geschöpfe. Ishgards Ritter, die sich in Falkenhorst und anderswo der Falknerei widmeten, machten sich vor langer Zeit auch diese scharfsichtigen Flugtiere zu nutze.","Für König Thordan!
*Zephirin*"
78,"Rufe den Kriegslanner herbei. Er steht unter dem Schutz von Sephirot selbst und trägt den Samen der Eiche in sich, die als Sternenbild am Firmament prangt.","Diese Vögel stehen unter Sephirots Schutz und sind in eine majestätische Aura gehüllt. Uralte Legenden besagen, dass die Baumwesen, die einst Meracydia bevölkerten, die Saat der Himmelseiche über die Meere trugen und die prächtigen Wälder Eorzeas pflanzten.","Nophica, die Göttin der Erde, pflanzte die Eiche;
Althyk, der Gott der Zeit, ließ sie gedeihen;
nun glüht sie in alle Zeiten überdauernder Kraft
hoch am Nachthimmel.
*Mace*"
79,,,
80,Rufe ein schnittiges Luftschiff der Gloria-Klasse herbei. Dieser Einsitzer macht bei Männern und Frauen gleichermaßen Eindruck.,Tataramu ließ sich in einem Traum von seinem Großvater Tatanora zum Bau dieser verkleinerten Ausführung eines Luftschiffs inspirieren. Seinen Namen hat es von einer Gestalt aus einer der weniger bekannten Legenden des Landes.,"Nanu? Ein Luftschiff ...?
*Tataramu*"
81,"Rufe den fliegenden Kumulus herbei. Es ist nicht genau überliefert, ob der Erschaffer ein Junge mit einem Affenschwanz war oder ein Affe mit einem Jungengesicht.","Ein mächtiger Zaubergelehrter, der zurückgezogen in den Bergen von Doma lebte, erschuf diese magische Wolke, indem er viele kleine Wolken miteinander verknüpfte.","Freust du dich nicht auch auf den
Valentiontag? Er hüllt die gaaanze Welt
in eine rosarote Wolke des Glücks und
der Liiiebe!
*Lisette von Valention*"
82,Rufe einen Original-Chocomoppel herbei. Nur echt mit 52 Zähnen.,"Der Original-Chocomoppel stellt in Sachen Gefräßigkeit sogar noch seinen Namensvetter in den Schatten. Sein weißes Federkleid gibt ihn als Chocobo der ersten Stunde zu erkennen, doch trägt es häufig Spuren der letzten Mahlzeiten.","Wie?! Das ist nicht das Original? Aber er
sieht absolut identisch aus.
*Severian*"
