#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
31,Du hast die Anwendung von „“ beendet.,4,0,1,4,9
32,Du hast das Kommando „“ entfernt.,4,0,1,4,9
33,Das Kürzel der Ge­sell­schaft wurde zu „“ geändert.,0,3,0,3,4
34,Der Name der Ge­sell­schaft wurde zu „“ geändert.,0,2,0,3,4
35,"Du hast den Namen des Gebäudes , UNKNOWN. Bezirk - UNKNOWN in „“ geändert.",4,9,0,5,11
36,Du hast das Grußwort von „“ geändert.,4,8,0,5,11
37,"Du hast ein Grundstück , UNKNOWN. Bezirk - UNKNOWN erworben.",4,7,0,5,11
38,"Du hast das Grundstück , UNKNOWN. Bezirk - UNKNOWN aufgegeben.",4,7,0,5,11
39,"Das Grundstück , UNKNOWN. Bezirk - UNKNOWN wurde automatisch zurückgegeben.",0,7,0,5,11
40,"Du hast auf dem Grundstück , UNKNOWN. Bezirk - UNKNOWN ein Gebäude vom Typ „“ errichtet.",4,7,1,5,11
41,Du hast „“ entfernt.,4,8,0,5,11
42,Du hast die Außenelemente von „“ geändert.,4,8,0,5,11
43,Du hast die Innenelemente von „“ geändert.,4,8,0,5,11
44,Du hast die Zimmerausstattung von „“ umgestellt.,4,8,0,5,11
45,Du hast die Gartenausstattung von „“ umgestellt.,4,8,0,5,11
46,Du hast eine Nachricht aus dem Diarium von „“ gelöscht.,4,8,0,5,11
47,Du hast ein Beitrittsgesuch gestellt.,4,0,0,2,12
48,Du hast das Beitrittsgesuch zurückgezogen.,4,0,0,2,12
49,Der Charakter „du“ wurde gelöscht.,4,0,0,2,12
50,Die Aufnahme von dir wurde abgelehnt.,4,0,0,2,12
51,Die maximale Anzahl von Beitrittsgesuchen ist erreicht.,0,0,0,2,12
52,"Du hast in ,  ausgesät.",4,10,1,6,13
53,"Du hast die Pflanze in , mit  versorgt.",4,10,1,6,13
54,"Du hast die Pflanze in , gepflegt.",4,10,0,6,13
55,"Du hast in ,  geerntet.",4,11,1,6,13
56,Außerdem konnte durch erfolgreiche Kreuzung  geerntet werden.,0,11,1,6,13
57,"Da du nicht anwesend bist, wurden die Rechte als  weitergegeben.",4,5,0,2,3
58,"Du hast die Pflanze in , vernichtet.",4,10,0,6,13
59,Du hast das Gebäude um Zimmer Nr. UNKNOWN erweitert.,4,0,1,5,11
60,Du hast Zimmer Nr. UNKNOWN geräumt.,4,0,1,5,11
61,Du hast den Chocobo-Stall gesäubert.,4,0,0,7,11
62,Du hast dich trainiert.,4,12,0,7,11
63,Du hast  in Einschub UNKNOWN des Ätherrad-Ständers angebracht.,16,14,1,5,11
64,Du hast  aus Einschub UNKNOWN des Ätherrad-Ständers entfernt.,16,14,1,5,11
65,Du hast  aus Einschub UNKNOWN des Ätherrad-Ständers an dich genommen.,16,14,1,5,11
66,"Du hast die Energie  verwendet, um das Ge­sell­schaftskommando „“ bereitzumachen.",16,14,1,4,9
67,Du hast eine Werkstätte eingerichtet.,16,0,0,8,15
68,Du hast die Werkstätte entfernt.,16,0,0,8,15
69,Du hast die Herstellung  eingerichtet.,16,14,0,8,15
70,Alle Materialien für die Herstellung  wurden bereitgestellt.,0,14,0,8,15
71,Die Arbeit an  ist fortgeschritten.,0,14,1,8,15
72, wurde erfolgreich hergestellt!,0,14,1,8,15
73,Du hast  aus der Produktion der Ge­sell­schaftswerkstätte entgegengenommen.,16,14,0,8,15
74,Du hast das momentane Projekt der Ge­sell­schaftswerkstätte abgebrochen.,16,0,0,8,15
75,Du hast einen  erstellt.,16,0,1,8,15
76,Du hast Luftschiff Nr. UNKNOWN mit dem Namen ** registriert.,16,15,1,9,14
77,Du hast den Namen von Luftschiff Nr. UNKNOWN zu ** geändert.,16,15,1,9,14
78,Du hast Luftschiff Nr. UNKNOWN mit Namen ** demontiert.,16,15,1,9,14
79,Du hast das Luftschiff ** auf Erkundungsreise geschickt.,16,15,0,9,14
80,Du hast die Erkundungsreise des Luftschiffs ** abgebrochen.,16,15,0,9,14
81,Du hast den Abschluss der Erkundungsreise des Luftschiffs ** bestätigt.,16,15,0,9,14
82,Der Rang des Luftschiffs ** ist auf UNKNOWN gestiegen!,16,15,1,9,14
83,Ein zusätzliches Luftschiff kann nun registriert werden!,16,15,1,9,14
84,Du hast  für 0 Staatstaler erworben.,16,22,1,1,0
85,Du hast mehr als 60 % der für die Herstellung  nötigen Menge an  geliefert.,16,22,1,8,15
86,Du hast eine Route zum Diadem (schwer) gefunden!,16,0,0,9,14
87,"Das Grundstück  UNKNOWN - UNKNOWN wurde automatisch zurückgegeben, weil es zu lange nicht genutzt wurde. Ein Teil der Ausstattung ist beim Unterkunftsbeamten hinterlegt.",0,7,0,5,11
88,Du hast die Unterkunft betreten und damit die automatische Rückgabe des Grundstücks verhindert.,16,0,0,5,11
89,Die Ausstattung des automatisch entfernten Grundstücks  UNKNOWN - UNKNOWN wurde zu lange nicht abgeholt und daher vernichtet.,0,7,0,5,11
90,Du hast in einem Blumentopf  ausgesät.,16,14,0,6,13
91,Du hast eine Pflanze in einem Blumentopf gepflegt.,16,0,0,6,13
92,Du hast  aus einem Blumentopf geerntet.,16,14,1,6,13
93,Du hast eine Pflanze in einem Blumentopf vernichtet.,16,0,0,6,13
94,"Du hast die Unterkunft verlegt. Die neue Adresse lautet: , UNKNOWN. Bezirk, Hausnummer UNKNOWN.",4,7,0,5,11
95,Du hast Tauchboot Nr. UNKNOWN mit dem Namen ** registriert.,16,15,1,9,14
96,Du hast den Namen von Tauchboot Nr. UNKNOWN zu ** geändert.,16,15,1,9,14
97,Du hast Tauchboot Nr. UNKNOWN mit dem Namen ** demontiert.,16,15,1,9,14
98,Du hast das Tauchboot ** auf Erkundungsreise geschickt.,16,15,0,9,14
99,Du hast die Erkundungsreise des Tauchboots ** abgebrochen.,16,15,0,9,14
100,Du hast den Abschluss der Erkundungsreise des Tauchboots ** bestätigt.,16,15,0,9,14
101,Der Rang des Tauchboots ** ist auf UNKNOWN gestiegen!,16,15,1,9,14
102,Ein zusätzliches Tauchboot kann nun registriert werden!,16,15,1,9,14
103,Du hast den Eintrag von  gelöscht.,16,23,0,5,11
104,Du hast die Diarium-Einstellungen geändert.,16,0,0,5,11
105,Du hast ein Stichwort für den Zweck der Unterkunft eingestellt.,16,0,0,5,11
106,Du hast den Innenraum von „“ renoviert.,16,15,0,5,11
107,,0,0,0,0,0
