#,StartupText,RunningText,Unknown0
23,Im Südosten der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Energisierungswerke: Bauunterstützung“ hat begonnen. Teilnehmer gesucht!,2011
24,Im Südosten der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Hydrofizierungswerke: Bauunterstützung“ hat begonnen. Teilnehmer gesucht!,2012
25,Im Nordwesten der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Sternenhangar: Erweiterung I“ hat begonnen. Teilnehmer gesucht!,2013
26,"Fertigstellung des Kosmozappers im Flachland
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
27,Im Südosten des Millefiori-Hügels beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Applike-Kräne: Bauunterstützung I“ hat begonnen. Teilnehmer gesucht!,2014
28,Im Nordosten des Kapselgrundes beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Applike-Kräne: Bauunterstützung II“ hat begonnen. Teilnehmer gesucht!,2015
29,"Fertigstellung des Kosmozappers im Kapselgrund
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
30,"In der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Das Gemeinschaftsprojekt „Glasbläser-Basis: Erweiterung II“ hat begonnen. Teilnehmer gesucht!,2016
31,Im Nordwesten der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Sternenhangar: Erweiterung II“ hat begonnen. Teilnehmer gesucht!,2017
32,Im Südwesten der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Kosmoport: Renovierung“ hat begonnen. Teilnehmer gesucht!,2018
33,Im Nordwesten der Opal-Kreuzung beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Energiespeicheranlage: Bauunterstützung I“ hat begonnen. Teilnehmer gesucht!,2019
34,Im Nordwesten des Millefiori-Hügels beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Energiespeicheranlage: Bauunterstützung II“ hat begonnen. Teilnehmer gesucht!,2020
35,Im Süden der Glassteinküste beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Kühldrohnenstation: Bauunterstützung“ hat begonnen. Teilnehmer gesucht!,2021
36,"Im Fusingway-Schlund beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Das Gemeinschaftsprojekt „Magmaglaskühlung: Phase I“ hat begonnen. Teilnehmer gesucht!,2022
37,"Im Fusingway-Schlund beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Das Gemeinschaftsprojekt „Magmaglaskühlung: Phase II“ hat begonnen. Teilnehmer gesucht!,2023
38,"Fertigstellung des Kosmozappers im Fusingway-Schlund
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
39,"In der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Das Gemeinschaftsprojekt „Expansion der Basisstrukturen“ hat begonnen. Teilnehmer gesucht!,2024
40,"Im Norden von Terra Firma beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!","Im Norden von Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2046
41,"Fertigstellung von Stationsstruktur im Bodenradius.
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
42,Im Westen von Terra Firma beginnt schon bald das Erste einer Reihe von Gemeinschaftsprojekten. Teilnehmer gesucht!,"Im Westen von Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2047
43,Im Westen von Terra Firma beginnt schon bald das Zweite einer Reihe von Gemeinschaftsprojekten. Teilnehmer gesucht!,"Im Westen von Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2048
44,"Am Losen Anker beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!","Am Losen Anker hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2049
45,"Fertigstellung von Stationsstruktur auf der Schattenflotte.
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
46,"In Terra Firma beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!","In Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2050
47,"In Terra Firma beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!","In Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2051
48,"Im Norden von Terra Firma beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!","Im Norden von Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2052
49,Im Tiefgrünen Echo beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Tiefgrünen Echo hat ein Gemeinschaftsprojekt begonnen. Teilnehmer gesucht!,2053
50,Im Tiefgrünen Echo beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Tiefgrünen Echo hat ein Gemeinschaftsprojekt begonnen. Teilnehmer gesucht!,2054
51,Im Ruineninneren des Tiefgrünen Echos beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Ruineninneren des Tiefgrünen Echos hat ein Gemeinschaftsprojekt begonnen. Teilnehmer gesucht!,2055
52,Im Ruineninneren des Tiefgrünen Echos beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Ruineninneren des Tiefgrünen Echos hat ein Gemeinschaftsprojekt begonnen. Teilnehmer gesucht!,2056
53,"Fertigstellung von Stationsstruktur im Ruineninneren.
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
54,"In Terra Firma beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!","In Terra Firma hat ein Gemeinschaftsprojekt begonnen.
Teilnehmer gesucht!",2057
55,"Auf dem Dach Terra Firmas beginnt schon bald ein Gemeinschaftsprojekt.
Kann mit dem Aufzug erreicht werden!","Auf dem Dach Terra Firmas hat ein Gemeinschaftsprojekt begonnen.
Kann mit dem Aufzug erreicht werden!",2058
