#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
28,Kontaktkreis,Zeigt alle Mitglieder all deiner Kontaktkreise an. Du kannst deinen derzeit aktiven Kontaktkreis einstellen.,11,7,6,59,4
29,Fischer-Notizbuch,Hier können Fischer ihren Fang und die Angelstellen einer Region einsehen.,24,5,3,36,2
30,Tutorial-Hilfstexte,Zeigt eine Liste der bisher gesehenen Hilfstexte an.,33,4,7,70,-1
31,Empfehlungen,"Zeigt eine Liste empfohlener Aufträge, FATEs und anderer Inhalte in der Umgebung an.",25,1,2,19,-3
32,Kundendienst / Infos,Zeigt Neuigkeiten und Informationen des Kundendienstes an. Außerdem kannst du den Kundendienst kontaktieren und Probleme melden.,13,1,7,67,-4
33,Inhaltssuche,"Zeigt eine Übersicht über zugängliche Spielinhalte wie Dungeons und Gildengeheiße, jeweils mit einer kurzen Beschreibung und den Teilnahmebedingungen. An den Inhalten kannst du direkt aus der Inhaltssuche heraus teilnehmen, entweder mit einer bestehenden oder einer zufällig zu­sammen­gestellten Gruppe.",46,5,2,23,1
34,Charakter­konfiguration,"Hier kannst du umfangreiche Einstellungen vornehmen, die deinen Charakter betreffen (z. B. Steuerung, Kommandomenü und Chatlog).",48,5,7,71,0
35,Teleport,"Zeigt eine Liste der Ätheryten an, die du bereits besucht hast. Gegen eine Gebühr kannst du dich und deine Grup­pen­mit­glieder dorthin teleportieren lassen.",0,0,4,44,1
36,Rückführung,"Teleportiert dich kostenlos zu dem zuvor festgelegten Heimatpunkt (oder in einem Dungeon zum Startpunkt). Einmal benutzt, kannst du diese Funktion 15 Minuten lang (Erdenzeit) nicht ausführen.",0,0,4,45,2
37,Lizenz,Zeigt die Lizenzvereinbarung von FINAL FANTASY XIV an.,0,0,7,76,6
38,Notizbücher,（ヘルプ無し）,0,0,0,0,0
39,Kontakte,（ヘルプ無し）,0,0,0,0,0
40,System,（ヘルプ無し）,0,0,0,0,0
41,Fischverzeichnis,Zeigt eine umfangreiche Übersicht über angelbare Beutetiere für Fischer.,50,6,3,37,3
42,Mitstreiter,"Zeigt Informationen über deinen Mitstreiter wie die Kommandos und Kunststücke, die er beherrscht.",49,10,1,10,4
43,Inhalte,（ヘルプ無し）,0,0,0,0,0
44,Unterkünfte,Öffnet das Menü für Unterkünfte.,52,5,6,57,2
45,Anzeige,"Einstellungen für den Bildschirm, z. B. Bildschirmmodus und Gammakorrektur.",35,0,0,0,0
46,Sound,"Einstellungen für den Sound, z. B. Lautstärke.",36,0,0,0,0
47,Grafik,"Detaillierte Einstellungen für die Grafik, angepasst an die Benutzerumgebung.",37,0,0,0,0
48,Maus,Einstellungen für die Maussteuerung.,38,0,0,0,0
49,Controller,"Einstellungen für den Controller, z. B. Vibration.",39,0,0,0,0
50,Anderes,"Weitere Einstellungen, z. B. Sprachauswahl und Speicherort für Screenshots.",51,0,0,0,0
51,Steuerung,"Einstellungen für die Steuerung, z. B. Kamera und Zielen.",41,0,0,0,0
52,UI,"Einstellungen für das User-Interface, z. B. HUD-Layout.",42,0,0,0,0
53,Namensanzeige,"Einstellungen für den Namen und andere Informationen, die über der Spielfigur angezeigt werden.",43,0,0,0,0
54,Kommandomenü,Einstellungen für das Kommandomenü.,44,0,0,0,0
55,Chatlog,"Einstellungen für das Chatlog, z. B. Schriftgröße und Filter.",45,0,0,0,0
56,PvP-Profil,Zeigt deine PvP-Erfolge an und lässt dich PvP-Kommandos einrichten.,53,16,1,16,10
57,Gruppen­suche,Führt eine Suche nach Gruppen entsprechend deinen Zielen oder der gewünschten Rolle durch.,54,2,5,47,1
58,Geländemarkierung,"Setzt Markierungen im Gelände, die nur für Gruppen- und Allianzmitglieder sichtbar sind.",55,4,5,49,3
59,Bereitschaftsanfrage,"Fragt automatisch alle Gruppen-/Allianzmitglieder, ob sie bereit sind.",56,7,5,51,6
60,Aktuelle Agenda,Zeigt eine Liste von momentan dringend zu erledigenden Heraus­forde­rungen und die Vergütung dafür an. Der bereits erreichte Fortschritt wird jeden Dienstag um 17:00 Uhr (Erdenzeit) zurückgesetzt.,57,8,3,39,5
61,Reittier-Verzeichnis,Zeigt eine Liste deiner Reittiere an. Du kannst sie von hier aus auch herbeirufen.,58,11,1,11,5
62,Begleiter-Verzeichnis,Zeigt eine Liste deiner Begleiter an. Du kannst sie von hier aus auch herbeirufen.,59,12,1,12,6
63,Barrierefreiheit,Einstellungen zur Erleichterung der Benutzung wie etwa Visualisierung von Tönen.,60,0,0,0,0
64,Eorzea Incognita,"Zeigt dein Reisetagebuch mit einer Liste von Orten an, die man unbedingt gesehen haben muss.",61,2,3,33,-1
65,Gold Saucer,"Zeigt Informationen zum Gold Saucer an, unter anderem MGP in deinem Besitz, Glückskaktor-Ziehungen, Triple Triad-Turnierstände, Kartendecks, Trabanten-Kommandomenü und Status deines Renn-Chocobos.",62,17,1,17,11
66,Vermögen,Zeigt deinen momentanen Besitz an Gil und anderen Währungen an.,63,5,1,5,-1
67,Windätherquellen,Zeigt Informationen zur Harmonisierung mit Windätherquellen an.,64,1,4,40,-3
68,Spielanleitung,"Öffnet ein Menü, um die Spielanleitung auf der offiziellen Spielerwebsite, dem Lodestone, in deinem Browser anzuzeigen.",65,3,7,69,-2
69,Orchestrion-Liste,"Zeigt die Liste mit Musikstücken an, die du zum Beispiel in Gästezimmern abspielen kannst. Mit jeder Notenrolle, die du erhältst, kommt ein neuer Titel hinzu.",67,7,3,38,4
70,Anfänger-Arena,"Hier kannst du als Magier oder Krieger in speziellen Übungen die grundlegenden Kampfstrategien als Verteidiger, Angreifer und Heiler lernen.",66,12,2,30,8
71,Gegenstände und Inventar,"Öffnet ein Menü, in dem du Einstellungen für Inventar und Gegenstände vornehmen kannst.",68,0,0,0,0
72,Raid-Suche,Hier kannst du an den neuesten Raids hoher Schwierigkeit teilnehmen. Auch unter der erforderlichen Gruppengröße kannst du automatisch in eine Gruppe mit gleichgesinnten Spielern gebracht werden.,69,6,2,24,2
73,Countdown,"Hier kannst du einen Countdown starten, der deinen Gruppen- oder Allianzmitgliedern den Kampfbeginn signalisiert.",70,8,5,52,7
74,Gruppenverlauf,"Zeigt eine Liste der Charaktere an, mit denen du in letzter Zeit in einer Gruppe gespielt hast. Du kannst diese Charaktere auf deine Freundesliste setzen.",71,11,6,63,8
75,Reit­tier­geschwindig­keit,Zeigt für jede Region die Laufgeschwindigkeit von Reittieren an.,72,2,4,41,-2
76,Inhaltsrückblende,Spiele aufgezeichnete Rückblenden ab und schalte die Datenaufzeichnung ein oder aus.,73,10,2,28,6
77,Chocobo-Satteltasche,Öffnet das Chocobo-Inventar. Du kannst Gegenstände aus deinem Inventar oder aus dem Gehilfeninventar in die Satteltasche legen. (Kann nicht in instanziierten Inhalten verwendet werden.),74,9,1,9,3
78,PvP-Team,Zeigt Informationen zu deinem PvP-Team an.,75,6,6,58,3
79,Bereitschaftsanfrage (Rückblende),"Fragt alle Gruppen-/Allianzmitglieder, ob sie bereit sind. Diese Bereitschaftsanfrage wird benutzt, wenn ein Inhalt für Rückblenden aufgenommen werden soll.",76,6,5,50,5
80,Welten-Kontaktkreis,"Zeigt Informationen über einen Welten-Kontaktkreis an, dem du angehörst. Du kannst auch einen eigenen Welten-Kontaktkreis erstellen und verwalten.",77,8,6,60,5
81,Zauberbuch der Blaumagie,Zeigt alle Zauber an und wie man sie lernen kann. Erlernte Zauber können zu den aktiven Kommandos hinzugefügt und wieder entfernt werden.,78,15,1,15,9
82,Seite an Seite,Betritt instanziierte Inhalte mit den Abbildern verbündeter NPCs.,79,9,2,27,5
83,Farbschema,Ändert das Farbschema von Dialogfenstern.,80,0,0,0,0
84,FATE-Fortschritt,"Zeigt Informationen über bestimmte FATEs an, z. B. die bisher erreichten Bewertungen.",81,3,4,42,-1
85,Meine Zirkel,"Hier kannst du neue Zirkel gründen oder aus der Liste einen Zirkel auswählen, in dem du Mitglied bist.",82,9,6,61,6
86,Zirkelsuche,"Zeigt eine Liste aller Zirkel an, die zur Zeit Mitglieder anwerben. Über die Liste in der Zirkelsuche kannst du diesen Zirkeln auch beitreten.",83,2,6,54,-1
87,Kuriositäten,"Zeigt einer Liste besonderer Gegenstände an, die du im Laufe deiner Abenteuer gesammelt hast.",85,2,2,20,-2
88,Neues Spiel+,Hier kannst du bereits gemeisterte Aufträge erneut spielen!,84,11,2,29,7
89,Modeaccessoires,Zeigt eine Liste aller verfügbaren Modeaccessoires. Von hier aus kannst du deine Modeaccessoires betrachten und bei Bedarf aktivieren.,86,14,1,14,8
90,Offizielle Webseiten,Zeigt eine Liste aller offiziellen FINAL FANTASY XIV-Seiten.,87,2,7,68,-3
91,Inhaltshelfer,"Hier kannst du eine Gruppe befreundeter NPCs zu­sammen­stellen, um mit ihnen instanziierte Inhalte zu bestreiten.",89,8,2,26,4
92,Portraits,"Erstelle und gestalte Portraits für deinen Abenteurerpass und andere Inhalte, für jedes deiner Rüstungssets.",88,4,1,3,-2
93,Abenteurerpass,"Erstelle und gestalte dein persönliches Profil, um dich anderen vorzustellen.",90,3,1,4,-3
94,Gewölbesuche,"Hier kannst du unsteten und kuriosen Gewölben beitreten sowie Dungeon-Einstellungen anpassen. Du kannst dir auch Einträge zu der Geschichte ansehen, die du bei der Erkundung unsteter Gewölbe enthüllst.",91,7,2,25,3
95,Gesichtsaccessoires,Ändere die Form und Farbe von Brillen oder ähnlichen Gesichtsaccessoires.,92,13,1,13,7
96,Stumme Liste,"Zeigt eine Liste aller Charaktere, die auf stumm geschaltet worden sind. Nachrichten von stummgeschalteten Charakteren werden nicht angezeigt.",93,13,6,65,10
97,Wortfilter,Zeigt eine Liste aller gefilterten Wörter. Hier können neue Wörter hinzugefügt und bestehende Wörter bearbeitet oder gelöscht werden.,94,14,6,66,11
98,Strategiebretter,"Erstelle und betrachte Strategiebretter, um auf jeden Inhalt bestens vorbereitet zu sein.",95,5,5,79,4
99,,,0,0,0,0,0
