#,Masculine,Feminine,IsPrefix,Order
50,Söldnerveteran,Söldnerveteranin,True,351
51,Meister seiner Zunft,Meisterin ihrer Zunft,True,352
52,Bewahrer des Friedens,Bewahrerin des Friedens,True,353
53,Verbissener Verfolger,Verbissene Verfolgerin,True,354
54,das Schwert von La Noscea,das Schwert von La Noscea,False,355
55,das Schwert des Finsterwalds,das Schwert des Finsterwalds,False,356
56,das Schwert von Thanalan,das Schwert von Thanalan,False,357
57,das Schwert Eorzeas,das Schwert Eorzeas,False,358
58,der Schild von La Noscea,der Schild von La Noscea,False,359
59,der Schild des Finsterwalds,der Schild des Finsterwalds,False,360
60,der Schild von Thanalan,der Schild von Thanalan,False,361
61,der Schild Eorzeas,der Schild Eorzeas,False,362
62,der Klingenbrecher,die Klingenbrecherin,False,363
63,das Ass Azeymas,das Ass Azeymas,False,364
64,der Ruhmreiche,die Ruhmreiche,False,365
65,die Härte des Gesetzes,die Härte des Gesetzes,False,366
66,Der Profi,Der Profi,True,400
67,Inquisitor,Inquisitor,True,450
68,Göttlicher Scharfrichter,Göttlicher Scharfrichter,True,451
69,Steinspalter,Steinspalter,True,452
70,des Kobolds schlimmster Albtraum,des Kobolds schlimmster Albtraum,False,453
71,des Ixals schlimmster Albtraum,des Ixals schlimmster Albtraum,False,454
72,des Amalj'aas schlimmster Albtraum,des Amalj'aas schlimmster Albtraum,False,455
73,der Wächter des Bierhafens,die Wächterin des Bierhafens,False,456
74,der Wächter des Mühlenhains,die Wächterin des Mühlenhains,False,457
75,der Wächter des Goldbasars,die Wächterin des Goldbasars,False,458
76,der frische Wind des Bierhafens,der frische Wind des Bierhafens,False,459
77,der frische Wind des Mühlenhains,der frische Wind des Mühlenhains,False,460
78,der frische Wind des Goldbasars,der frische Wind des Goldbasars,False,461
79,die helfende Hand des Bierhafens,die helfende Hand des Bierhafens,False,462
80,die helfende Hand des Mühlenhains,die helfende Hand des Mühlenhains,False,463
81,die helfende Hand des Goldbasars,die helfende Hand des Goldbasars,False,464
82,Schneemann,Schneefrau,True,500
83,Winterdrache,Winterdrache,True,501
84,Herzensbrecher,Herzensbrecher,True,502
85,Königlicher Seneschall,Königlicher Seneschall,True,503
86,Eiertänzer,Eiertänzerin,True,504
87,Honorabler Kaskadeur,Honorabler Kaskadeur,True,505
88,Träger des Kristalls,Trägerin des Kristalls,True,506
89,Sturmfürst,Sturmfürstin,True,550
90,Schlangenfürst,Schlangenfürstin,True,551
91,Phönixfürst,Phönixfürstin,True,552
92,der Rückhalt Limsas,der Rückhalt Limsas,False,553
93,der Rückhalt Gridanias,der Rückhalt Gridanias,False,554
94,der Rückhalt Ul'dahs,der Rückhalt Ul'dahs,False,555
95,Merlwybs Bote,Merlwybs Botin,True,556
96,Kan-E-Sennas Bote,Kan-E-Sennas Botin,True,557
97,Raubahns Bote,Raubahns Botin,True,558
98,der Versorger Limsas,die Versorgerin Limsas,False,559
99,der Versorger Gridanias,die Versorgerin Gridanias,False,560
100,der Versorger Ul'dahs,die Versorgerin Ul'dahs,False,561
101,Expresszusteller,Expresszustellerin,True,600
102,Eskorteur,Eskorteurin,True,601
103,Geölter Blitz,Geölter Blitz,True,602
104,Chocobo-Ritter,Chocobo-Ritter,True,603
105,Des Wanderers Schatten,Des Wanderers Schatten,True,604
106,Grünauge,Grünauge,True,605
107,der Stratege,die Strategin,False,606
108,der Schnitter,die Schnitterin,False,607
109,der Dungeon-Entdecker,die Dungeon-Entdeckerin,False,608
110,der Schicksalsversucher,die Schicksalsversucherin,False,609
111,Elite-Kaskadeur,Elite-Kaskadeurin,True,610
112,Mahlstrom-Welpe,Mahlstrom-Welpe,True,650
113,Mahlstrom-Winsler,Mahlstrom-Winslerin,True,651
114,Mahlstrom-Knurrer,Mahlstrom-Knurrerin,True,652
115,Mahlstrom-Heuler,Mahlstrom-Heulerin,True,653
116,Mahlstrom-Pirscher,Mahlstrom-Pirscherin,True,654
117,Mahlstrom-Hetzer,Mahlstrom-Hetzerin,True,655
118,M'naagos Freund,M'naagos Freundin,True,1448
119,M'naagos bester Freund,M'naagos beste Freundin,True,1449
120,Stahlschwinge,Stahlschwinge,True,1450
121,Feuerschwinge,Feuerschwinge,True,1451
122,Ordens-Welpe,Ordens-Welpe,True,660
123,Ordens-Winsler,Ordens-Winslerin,True,661
124,Ordens-Knurrer,Ordens-Knurrerin,True,662
125,Ordens-Heuler,Ordens-Heulerin,True,663
126,Ordens-Pirscher,Ordens-Pirscherin,True,664
127,Ordens-Hetzer,Ordens-Hetzerin,True,665
128,Kanal-Alpharatte,Kanal-Alpharatte,True,1452
129,Erkunder der tiefen Kanäle,Erkunderin der tiefen Kanäle,True,1453
130,Oberster Glückspilz,Oberster Glückspilz,True,1454
131,Stürmischer Entdecker,Stürmische Entdeckerin,True,1455
132,Legions-Welpe,Legions-Welpe,True,670
133,Legions-Winsler,Legions-Winslerin,True,671
134,Legions-Knurrer,Legions-Knurrerin,True,672
135,Legions-Heuler,Legions-Heulerin,True,673
136,Legions-Pirscher,Legions-Pirscherin,True,674
137,Legions-Hetzer,Legions-Hetzerin,True,675
138,die Legende,die Legende,False,1456
139,Raubahns linker Arm,Raubahns linker Arm,True,1457
140,vom Zirkel der Blaupanzer,vom Zirkel der Blaupanzer,False,1458
141,Trendsetter,Trendsetterin,True,1459
142,der Große Böse Wolf,die Große Böse Wölfin,False,700
143,der Alpha-Wolf,die Alpha-Wölfin,False,701
144,die Seele des Rudels,die Seele des Rudels,False,750
145,Bruder der Asche,Schwester der Asche,True,751
146,Sylphen-Freund,Sylphen-Freundin,True,752
147,Schatzjäger,Schatzjägerin,True,753
148,Vorzeigekobold des 789. Ordens,Vorzeigekobold des 789. Ordens,True,754
149,Novvs Laichwächter,Novvs Laichwächterin,True,755
150,der ambitionierte Angler,die ambitionierte Anglerin,False,756
151,der lebende Schild,der lebende Schild,False,757
152,die lebende Axt,die lebende Axt,False,758
153,der tapfere Schild,der tapfere Schild,False,759
154,die tapfere Axt,die tapfere Axt,False,760
155,Frontkämpfer,Frontkämpferin,True,761
156,Mahlstrom-Frontkämpfer,Mahlstrom-Frontkämpferin,True,762
157,Legion-Frontkämpfer,Legion-Frontkämpferin,True,764
158,Bruderschaft-Frontkämpfer,Bruderschaft-Frontkämpferin,True,763
159,Drohnenjäger,Drohnenjägerin,True,765
160,der Held des Heliodroms,die Heldin des Heliodroms,False,766
161,Monsterjäger,Monsterjägerin,True,800
162,Glückssucher,Glückssucherin,True,801
163,Spurensucher,Spurensucherin,True,802
164,Kopfgeldjäger,Kopfgeldjägerin,True,803
165,Glücksritter,Glücksritterin,True,804
166,Jagdaufseher,Jagdaufseherin,True,805
167,Rafflesia-Richter,Rafflesia-Richterin,True,850
168,Melusine-Mäher,Melusine-Mäherin,True,851
169,Avatar,Avatar,True,852
170,Domitor,Domitrix,True,853
171,der Demontierer,die Demontiererin,False,900
172,der Wachsame,die Wachsame,False,1460
173,der Kistenträger,die Kistenträgerin,False,902
174,der Bewahrer Eorzeas,die Bewahrerin Eorzeas,False,950
175,Postbote,Postbotin,True,951
176,Überflieger,Überfliegerin,True,952
177,der Verhandlungskünstler,die Verhandlungskünstlerin,False,953
178,der letzte Zeuge,die letzte Zeugin,False,954
179,der Seedrachenbezwinger,die Seedrachenbezwingerin,False,955
180,Kapitalist,Kapitalistin,True,956
181,die neue Sonne,die neue Sonne,False,1461
182,der Schatten,der Schatten,False,958
183,Eisbrecher,Eisbrecher,True,959
184,Erleuchter der Dunkelheit,Erleuchterin der Dunkelheit,True,960
185,Chevalier cum laude,Chevalière cum laude,True,961
186,Liebeshelfer,Liebeshelferin,True,962
187,Rosszähmer,Rosszähmerin,True,963
188,der Unberührte,die Unberührte,False,964
189,der Schlächter,die Schlächterin,False,965
190,die barmherzige Hand,die barmherzige Hand,False,966
191,Lichtträger,Lichtträgerin,True,967
192,der Erleuchtete,die Erleuchtete,False,968
193,Sternenschmied,Sternenschmiedin,True,969
194,der Puppenspieler,die Puppenspielerin,False,970
195,der Spieler,die Spielerin,False,1000
196,Glückspilz,Glückspilz,True,1001
197,Chocobo-Züchter,Chocobo-Züchterin,True,1002
198,Chocobo-Trainer,Chocobo-Trainerin,True,1003
199,Stalljunge,Stallmädchen,True,1004
200,Profi-Jockey,Profi-Jockey,True,1005
201,Jockey-Veteran,Jockey-Veteranin,True,1006
202,der schnellste Mann von Thanalan,die schnellste Frau von Thanalan,False,1007
203,Stolzer Kartenbesitzer,Stolze Kartenbesitzerin,True,1008
204,der Kartenkönig,die Kartenkönigin,False,1009
205,Seine Dreifaltigkeit,Ihre Dreifaltigkeit,True,1010
206,der Duellant,die Duellantin,False,1011
207,der Schicksalsergebene,die Schicksalsergebene,False,1012
208,der Sturmfeste,die Sturmfeste,False,1013
209,Magnat,Magnatin,True,1014
210,Emsiger Sparer,Emsige Sparerin,True,1015
211,Licht der Hoffnung,Licht der Hoffnung,True,1050
212,Postmeister,Postmeisterin,True,1051
213,Eierlegende,Eierlegende,True,1052
214,Ungläubiger,Ungläubige,True,1053
215,der Freigesprochene,die Freigesprochene,False,1054
216,Nidhogg-Bezwinger,Nidhogg-Bezwingerin,True,1055
217,Silberklinge,Silberklinge,True,1056
218,die Geißel der Garlear,die Geißel der Garlear,False,1057
219,Jungexeget,Jungexegetin,True,1058
220,Askalons Ende,Askalons Ende,True,1059
221,von der Grenzwache Velodyna,von der Grenzwache Velodyna,False,1462
222,der Träger der Eidklinge,die Trägerin der Eidklinge,False,1100
223,Öffner der 14 Chakren,Öffnerin der 14 Chakren,True,1101
224,Mithrilherz,Mithrilherz,True,1102
225,Azur-Drachenreiter,Azur-Drachenreiterin,True,1103
226,Wolkensänger,Wolkensängerin,True,1104
227,der Besänftiger,die Besänftigerin,False,1105
228,der Vernichter,die Vernichterin,False,1106
229,Herr der Trance,Herrin der Trance,True,1107
230,Seesoldat,Seesoldatin,True,1108
231,der dunkelste Schatten,der dunkelste Schatten,False,1109
232,Schwarzblut,Schwarzblut,True,1110
233,der Erlöser,die Erlöserin,False,1111
234,Sternengucker,Sternenguckerin,True,1112
235,Indigodrescher,Indigodrescherin,True,1150
236,Finder falscher Götter,Finderin falscher Götter,True,1151
237,Luftikus,Luftikus,True,1152
238,,,False,0
239,der Großmeister des Krieges,die Großmeisterin des Krieges,False,1200
240,der Großmeister der Magie,die Großmeisterin der Magie,False,1201
241,die dunkle Bastion,die dunkle Bastion,False,1202
242,die unerschütterliche Klinge,die unerschütterliche Klinge,False,1203
243,der Hüter des Wissens,die Hüterin des Wissens,False,1204
244,der Erkunder der Kanäle,die Erkunderin der Kanäle,False,1445
245,Herr der Kanäle,Herrin der Kanäle,True,1446
246,der Nekromant,die Nekromantin,False,1447
247,,,False,0
248,der Großmeister des Handwerks,die Großmeisterin des Handwerks,False,1209
249,der Großmeister des Sammelns,die Großmeisterin des Sammelns,False,1210
250,Schöpfer der Meisterwerke,Schöpferin der Meisterwerke,True,1211
251,Hüter der Meisterwerke,Hüterin der Meisterwerke,True,1212
252,Geschäftspartner,Geschäftspartnerin,True,1213
253,Meisterzimmerer,Meisterzimmerin,True,1214
254,Meistergrobschmied,Meistergrobschmiedin,True,1215
255,Meisterplattner,Meisterplattnerin,True,1216
256,Meistergoldschmied,Meistergoldschmiedin,True,1217
257,Meistergerber,Meistergerberin,True,1218
258,Meisterweber,Meisterweberin,True,1219
259,Meisteralchemist,Meisteralchemistin,True,1220
260,Meistergourmet,Meistergourmet,True,1221
261,Meisterminenarbeiter,Meisterminenarbeiterin,True,1222
262,Meistergärtner,Meistergärtnerin,True,1223
263,Meisterfischer,Meisterfischerin,True,1224
264,der Glückliche,die Glückliche,False,1225
265,der barmherzige Samariter,die barmherzige Samariterin,False,1226
266,Begleitersammler,Begleitersammlerin,True,1227
267,Meister der Begleiter,Meisterin der Begleiter,True,1228
268,der Marionettenspieler,die Marionettenspielerin,False,1229
269,Prinz der Trabanten,Prinzessin der Trabanten,True,1230
270,König der Trabanten,Königin der Trabanten,True,1231
271,Fortemps-Ritter,Fortemps-Ritterin,True,1232
272,Luftpirat,Luftpiratin,True,1233
273,das Noumenon,das Noumenon,False,1234
274,Sonnentänzer,Sonnentänzerin,True,1235
275,Atheist,Atheistin,True,1236
276,Entdeckerveteran,Entdeckerveteranin,True,1237
277,Sonderberater,Sonderberaterin,True,1238
278,Notorischer Diademjäger,Notorische Diademjägerin,True,1239
279,Rudeltier,Rudeltier,True,1240
280,der Verschlinger,die Verschlingerin,False,1241
281,der Unbeugsame,die Unbeugsame,False,1242
282,der Unnachgiebige,die Unnachgiebige,False,1243
283,der Unnahbare,die Unnahbare,False,1244
284,der Ungezügelte,die Ungezügelte,False,1245
285,der Unbeirrbare,die Unbeirrbare,False,1246
286,Mentor,Mentorin,True,1247
287,Mentor der Mentoren,Mentorin der Mentoren,True,1248
288,Träger des Kessels,Trägerin des Kessels,True,1249
289,das Rad der Veränderung,das Rad der Veränderung,False,1250
290,Fixdenker,Fixdenkerin,True,1251
291,der Neuverbundene,die Neuverbundene,False,1252
292,Hordenrächer,Hordenrächerin,True,1253
293,Entdecker der Aquapolis,Entdeckerin der Aquapolis,True,1254
294,Plünderer der Aquapolis,Plünderin der Aquapolis,True,1255
295,Aquapolit,Aquapolitin,True,1256
296,Bommelfreund,Bommelfreundin,True,1257
297,Rudelführer,Rudelführerin,True,1258
298,Beta-Wolf,Beta-Wölfin,True,1259
299,Jagdwolf,Jagdwölfin,True,1260
300,Bronze-Wolf,Bronze-Wölfin,True,1261
301,Silber-Wolf,Silber-Wölfin,True,1262
302,Gold-Wolf,Gold-Wölfin,True,1263
303,Platin-Wolf,Platin-Wölfin,True,1264
304,Diamant-Wolf,Diamant-Wölfin,True,1265
305,des ersten Rudels,des ersten Rudels,False,1266
306,des zweiten Rudels,des zweiten Rudels,False,1267
307,des hungrigen Rudels,des hungrigen Rudels,False,1268
308,des Bronze-Rudels,des Bronze-Rudels,False,1269
309,des Silber-Rudels,des Silber-Rudels,False,1270
310,des Gold-Rudels,des Gold-Rudels,False,1271
311,des Platinum-Rudels,des Platinum-Rudels,False,1272
312,des Diamant-Rudels,des Diamant-Rudels,False,1273
313,Held der Ehre,Heldin der Ehre,True,1300
314,der Trauernde,die Trauernde,False,1310
315,der Zeitnomade,die Zeitnomadin,False,1311
316,der Seelenerbe,die Seelenerbin,False,1312
317,Khloes Freund,Khloes Freundin,True,1313
318,Khloes bester Freund,Khloes beste Freundin,True,1314
319,Held Gelmorras,Heldin Gelmorras,False,1315
320,der Licht­bringer,die Licht­bringerin,False,1316
321,Einsamer Erkunder,Einsame Erkunderin,True,1317
322,Heber verborgener Schätze,Heberin verborgener Schätze,True,1318
323,mit dem Sechsten Sinn,mit dem Sechsten Sinn,False,1319
324,Leichentänzer,Leichentänzerin,True,1320
325,Makai-Meister,Makai-Meisterin,True,1350
326,Garo,Garo,True,1351
327,Makai-Mönch,Makai-Mönch,True,1352
328,Barago,Barago,True,1353
329,Dan,Dan,True,1354
330,Makai-Barde,Makai-Bardin,True,1355
331,Makai-Schwarzmagier,Makai-Schwarzmagierin,True,1356
332,Makai-Weißmagier,Makai-Weißmagierin,True,1357
333,Zero,Zero,True,1358
334,Makai-Beschwörer,Makai-Beschwörerin,True,1359
335,Makai-Gelehrter,Makai-Gelehrte,True,1360
336,Kiba,Kiba,True,1361
337,Makai-Maschinist,Makai-Maschinistin,True,1362
338,Makai-Astrologe,Makai-Astrologin,True,1363
339,Sonne-und-Mond-Tänzer,Sonne-und-Mond-Tänzerin,True,1400
340,der Meisterschüler,die Meisterschülerin,False,1401
341,am Horizont der Bestimmung,am Horizont der Bestimmung,False,1402
342,Sonderbeauftragter,Sonderbeauftragte,True,1403
343,Gigis Patenonkel,Gigis Patentante,True,1404
344,Phönixbändiger,Phönixbändigerin,True,1405
345,die tödliche Faust,die tödliche Faust,False,1406
346,Rhalgrs rechte Faust,Rhalgrs rechte Faust,True,1407
347,Tafeldiener,Tafeldienerin,True,1408
348,Halones Hofschenk,Halones Hofschenkin,True,1409
349,Zhloes Freund,Zhloes Freundin,True,1410
350,Zhloes bester Freund,Zhloes beste Freundin,True,1411
351,Bezwinger der Sirenen-See,Bezwingerin der Sirenen-See,True,1412
352,der reisende Ijin,die reisende Ijin,False,1413
353,der Konföderierte,die Konföderierte,False,1414
354,Jäger des Jägers,Jägerin des Jägers,True,1415
355,Steppenkrieger,Steppenkriegerin,True,1416
356,der Heimkehrer,die Heimkehrerin,False,1417
357,Lyses rechte Faust,Lyses rechte Faust,True,1418
358,der Befreier,die Befreierin,False,1419
359,der Deltametrische,die Deltametrische,False,1420
360,Sieger des Sultan-Turniers,Siegerin des Sultan-Turniers,True,1421
361,die wiedergeborene Faust,die wiedergeborene Faust,False,1422
362,der Krieger der Herzen,die Kriegerin der Herzen,False,1423
363,der Blutdrache,der Blutdrache,False,1424
364,Purpurlaubkrieger,Purpurlaubkriegerin,True,1425
365,Beschützer der Padjal,Beschützerin der Padjal,True,1426
366,der Seelenzerstörer,die Seelenzerstörerin,False,1427
367,der mächtigste Beschwörer,die mächtigste Beschwörerin,False,1428
368,der Feenfänger,die Feenfängerin,False,1429
369,der eorzäische Ninja,die eorzäische Ninja,False,1430
370,der Einsame,die Einsame,False,1431
371,der mit den Himmelhunden heult,die mit den Himmelhunden heult,False,1432
372,Hüter ferner Himmel,Hüterin ferner Himmel,True,1433
373,der Rote,die Rote,False,1434
374,von der Sekiseigumi,von der Sekiseigumi,False,1435
375,Gott des Krieges,Göttin des Krieges,True,1436
376,Gott der Magie,Göttin der Magie,True,1437
377,Gott des Handwerks,Göttin des Handwerks,True,1438
378,Gott des Sammelns,Göttin des Sammelns,True,1439
379,von der langen Jagd,von der langen Jagd,False,1440
380,von der endlosen Jagd,von der endlosen Jagd,False,1441
381,Adrenalinjunkie,Adrenalinjunkie,True,1442
382,Ultimativer Adrenalinjunkie,Ultimativer Adrenalinjunkie,True,1443
383,Kanalratte,Kanalratte,True,1444
384,Besieger von Hiruko,Besiegerin von Hiruko,True,1472
385,Erklimmer der Himmelssäule,Erklimmerin der Himmelssäule,True,1473
386,die lebende Legende,die lebende Legende,False,1474
387,der himmlische Einzelgänger,die himmlische Einzelgängerin,False,1475
388,Sammler verborgener Schätze,Sammlerin verborgener Schätze,True,1476
389,Vorkämpfer,Vorkämpferin,True,1466
390,Kurenais Katalysator,Kurenais Katalysator,True,1467
391,Kurenais Kompagnon,Kurenais Kompagnon,True,1468
392,des fahlen Mondscheins,des fahlen Mondscheins,False,1469
393,der mit den Flossen tanzt,die mit den Flossen tanzt,False,1463
394,Mogry-Kuppler,Mogry-Kupplerin,True,1464
395,Feuermond-Parkourläufer,Feuermond-Parkourläuferin,True,1465
396,Katastrophologe,Katastrophologin,True,1471
397,Ultimative Legende,Ultimative Legende,True,1470
398,Meister-Monsterjäger,Meister-Monsterjägerin,True,1477
399,FRC2018 Champion,FRC2018 Champion,True,0
400,FRC2018 Finalist,FRC2018 Finalistin,True,0
401,FRC2018 Rangspieler,FRC2018 Rangspielerin,True,0
402,des violetten Auftakts,des violetten Auftakts,False,1478
403,Großspender,Großspenderin,True,1479
404,Messdiener des Glücks,Messdienerin des Glücks,True,1480
405,Beschwörer der Glückseligkeit,Beschwörerin der Glückseligkeit,True,1481
406,Hohepriester der Glückseligkeit,Hohepriesterin der Glückseligkeit,True,1482
407,Großkapitalist,Großkapitalistin,True,1497
408,Kamuy-Zähmer,Kamuy-Zähmerin,True,1483
409,Mahjong-Liebhaber,Mahjong-Liebhaberin,True,1484
410,Mahjong-Meister,Mahjong-Meisterin,True,1485
411,Schweinchen,Schweinchen,True,1486
412,Stammkunde,Stammkundin,True,1487
413,Blaublut,Blaublut,True,1488
414,Blaumaske,Blaumaske,True,1489
415,der Blaue,die Blaue,False,1490
416,Eureka-Forscher,Eureka-Forscherin,True,1491
417,Requiem der Helden,Requiem der Helden,True,1492
418,Soboro-Klinge,Soboro-Klinge,True,1493
419,Häscher von Kageyama,Häscherin von Kageyama,True,1494
420,Kingsglaive,Kingsglaive,True,1495
421,Engelstöter,Engelstöterin,True,1496
422,Seele des Krieges,Seele des Krieges,True,1498
423,Seele der Magie,Seele der Magie,True,1499
424,Seele des Handwerks,Seele des Handwerks,True,1500
425,Seele der Ernte,Seele der Ernte,True,1501
426,Weltenwanderer,Weltenwanderin,True,1502
427,der Feenfreund,die Feenfreundin,False,1503
428,der Sucher verborgener Wahrheiten,die Sucherin verborgener Wahrheiten,False,1504
429,aus dem Meer ohne Sonne,aus dem Meer ohne Sonne,False,1505
430,Bezwinger von Innozenz,Bezwingerin von Innozenz,True,1506
431,Schattenbringer,Schattenbringerin,True,1507
432,Löwenherz,Löwenherz,False,1508
433,der Klingentänzer,die Klingentänzerin,False,1509
434,Lebendige Erinnerung,Lebendige Erinnerung,True,1510
435,Bollwerk zwischen den Welten,Bollwerk zwischen den Welten,True,1511
436,der Transzendente,die Transzendente,False,1512
437,Weltenspalter,Weltenspalterin,True,1513
438,der schwarzen Schwingen,der schwarzen Schwingen,False,1514
439,das Lied im Wind,das Lied im Wind,False,1515
440,Erstgesegneter,Erstgesegnete,True,1516
441,aus den seltsamen Schatten,aus den seltsamen Schatten,False,1517
442,Fernrufer,Fernruferin,True,1518
443,Kenner der Zwillingswelten,Kennerin der Zwillingswelten,True,1519
444,der Schatten des Anderen,der Schatten des Anderen,False,1520
445,die Grenzenlose Dunkelheit,die Grenzenlose Dunkelheit,False,1521
446,der Schusswaffenpoet,die Schusswaffenpoetin,False,1522
447,Entdecker ferner Sterne,Entdeckerin ferner Sterne,True,1523
448,vom roten Sturm,vom roten Sturm,False,1524
449,der reisende Ronin,die reisende Ronin,False,1525
450,die Klinge mit dem Colt,die Klinge mit dem Colt,False,1526
451,Spaltenwandler,Spaltenwandlerin,True,1527
452,Schmied der Anderswelt,Schmiedin der Anderswelt,True,1528
453,Künstler der Anderswelt,Künstlerin der Anderswelt,True,1529
454,Heiler der Anderswelt,Heilerin der Anderswelt,True,1530
455,Sucher der Anderswelt,Sucherin der Anderswelt,True,1531
456,Angler der Anderswelt,Anglerin der Anderswelt,True,1532
457,Diener der Gemeinschaft,Dienerin der Gemeinschaft,True,1533
458,Vertrauter Freund,Vertraute Freundin,True,1534
459,die unsichtbare Hand,die unsichtbare Hand,False,1535
460,Charmanter Schläger,Charmante Schlägerin,True,1536
461,der fantastische Wilde,die fantastische Wilde,False,1537
462,des unbeugsamen Schwurs,des unbeugsamen Schwurs,False,1538
463,des unzerbrechlichen Stahls,des unzerbrechlichen Stahls,False,1539
464,der Getreue der schwarzen Klinge,die Getreue der schwarzen Klinge,False,1540
465,Wackeres Herz,Wackeres Herz,True,1541
466,Besucher der Verliese,Besucherin der Verliese,True,1542
467,Erkunder der Verliese,Erkunderin der Verliese,True,1543
468,Oberster Verliesmeister,Oberste Verliesmeisterin,True,1544
469,der Unenthauptete,die Unenthauptete,False,1545
470,,,False,0
471,,,False,0
472,,,False,0
473,,,False,0
474,,,False,0
475,,,False,0
476,der Schmied des Paktes,die Schmiedin des Paktes,False,1546
477,der Mystelflüsterer,die Mystelflüsterin,False,1547
478,Honigbienchen,Honigbienchen,True,1548
479,Meister der Träume,Meisterin der Träume,True,1549
480,die perfekte Legende,die perfekte Legende,False,1550
481,Blau bis auf die Knochen,Blau bis auf die Knochen,False,1551
482,Blaue Koryphäe,Blaue Koryphäe,True,1552
483,Maskierter der Runde,Maskierte der Runde,True,1553
484,der entfesselte Blaue,die entfesselte Blaue,False,1554
485,Blaue Gerechtigkeit,Blaue Gerechtigkeit,True,1555
486,der Kampfgestählte,die Kampfgestählte,False,1556
487,der Blauste von Allen,die Blauste von Allen,False,1557
488,Heiliger des Himmels,Heilige des Himmels,True,10000
489,Beatus des Himmels,Beata des Himmels,True,10010
490,Stütze des Himmels,Stütze des Himmels,True,1560
491,Schmiede des Himmels,Schmiede des Himmels,True,1561
492,Hammer des Himmels,Hammer des Himmels,True,1562
493,Juwel des Himmels,Juwel des Himmels,True,1563
494,Messer des Himmels,Messer des Himmels,True,1564
495,Gewebe des Himmels,Gewebe des Himmels,True,1565
496,Erlöser des Himmels,Erlöserin des Himmels,True,1566
497,Kessel des Himmels,Kessel des Himmels,True,1567
498,Meißel des Himmels,Meißel des Himmels,True,1568
499,Sichel des Himmels,Sichel des Himmels,True,1569
500,Rute des Himmels,Rute des Himmels,True,1570
501,die Hand der Schöpfung,die Hand der Schöpfung,False,1571
502,Göttlicher Ernährer,Göttliche Ernährerin,True,1572
503,der Zimmerer des Genists,die Zimmerin des Genists,False,1573
504,der Grobschmied des Genists,die Grobschmiedin des Genists,False,1574
505,der Plattner des Genists,die Plattnerin des Genists,False,1575
506,der Goldschmied des Genists,die Goldschmiedin des Genists,False,1576
507,der Gerber des Genists,die Gerberin des Genists,False,1577
508,der Weber des Genists,die Weberin des Genists,False,1578
509,der Alchemist des Genists,die Alchemistin des Genists,False,1579
510,der Gourmet des Genists,der Gourmet des Genists,False,1580
511,der Minenarbeiter des Genists,die Mi­nen­ar­bei­te­rin des Genists,False,1581
512,der Gärtner des Genists,die Gärtnerin des Genists,False,1582
513,der Fischer des Genists,die Fischerin des Genists,False,1583
