#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,Unknown3,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
14,Verzögerung,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,100,100,100,100,100,100,100,100,100,100,100,100,11,False
15,Zusatzeffekt: ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
16,Anzahl der Attacken: ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
17,Blockrate,,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,100,100,100,50,50,100,50,100,100,100,100,-1,False
18,Blockeffekt,,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,100,100,100,100,50,50,100,50,100,100,100,100,-1,False
19,Unbeugsamkeit,"Unbeugsamkeit: Je höher dieser Wert, desto höher der ausgeteilte Schaden durch physische und magische Attacken und regenerierte LP, und desto niedriger der erlittene Schaden. Nur bei Verteidigern wirksam.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,24,100,100,100,100,100,100,100,100,100,100,100,100,100,12,False
20,Attacke,"Attacke: Je höher dieser Wert, desto mehr Schaden verursachen deine physischen Attacken.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,100,100,100,100,100,100,100,100,100,100,100,100,13,False
21,Verteidigung,"Verteidigung: Je höher dieser Wert, desto weniger physischen Schaden erleidest du.",0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,472,5,66,100,70,55,55,40,40,100,40,33,55,55,55,14,False
22,Direkter Treffer,"Direkter Treffer: Je höher dieser Wert, desto wahrscheinlicher ist es, dass deine physischen oder magischen Attacken einen direkten Treffer landen und mehr Schaden anrichten. Bei Kommandos mit automatischen direkten Treffern wird der Schaden erhöht.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,23,100,100,100,100,100,100,100,100,100,100,100,100,100,15,False
23,Ausweichen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,100,100,100,100,100,100,100,100,100,100,100,100,100,16,False
24,Magieabwehr,"Magieabwehr: Je höher dieser Wert, desto weniger Magieschaden erleidest du.",0,0,176,236,176,0,236,176,0,0,0,0,0,0,412,824,0,412,1000,648,648,412,472,6,33,100,55,55,55,70,70,100,70,66,55,55,55,17,False
25,Kritischer Attackewert,not in use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
26,Abwehr kritischer Treffer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
27,Kritischer Treffer,"Kritischer Treffer: Je höher dieser Wert, desto wahrscheinlicher ist es, dass du einen kritischen Treffer landest, und desto höher ist der damit erzielte Schaden bzw. Heileffekt.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,19,100,100,100,100,100,100,100,100,100,100,100,100,100,18,False
28,Kritisches Ausweichen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
29,Hiebresistenz,Hiebresistenz: Vermindert den erlittenen Schaden durch Waffen mit dem Attribut „Hieb“.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,43,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
30,Stichresistenz,Stichresistenz: Vermindert den erlittenen Schaden durch Waffen mit dem Attribut „Stich“.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,44,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
31,Schlagresistenz,Schlagresistenz: Vermindert den erlittenen Schaden durch Waffen mit dem Attribut „Schlag“.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,45,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
32,Projektilresistenz,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
33,Offensivmagie,"Offensivmagie: Je höher dieser Wert, desto mehr Schaden verursachen deine magischen Attacken.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,100,100,100,100,100,100,100,100,100,100,100,100,19,False
34,Heilmagie,"Heilmagie: Je höher dieser Wert, desto höher die Menge der durch Heilmagie regenerierten LP.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,100,100,100,100,100,100,100,100,100,100,100,20,False
35,Stärkungsmagie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
36,Elementarbonus,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,36,100,100,100,100,100,100,100,100,100,100,100,100,100,21,False
37,Feuerresistenz,Feuerresistenz: Vermindert durch Feuer erlittenen Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,37,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
38,Eisresistenz,Eisresistenz: Vermindert durch Eis erlittenen Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,38,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
39,Windresistenz,Windresistenz: Vermindert durch Wind erlittenen Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,39,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
40,Erdresistenz,Erdresistenz: Vermindert durch Erde erlittenen Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,40,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
41,Blitzresistenz,Blitzresistenz: Vermindert durch Blitz erlittenen Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,41,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
42,Wasserresistenz,Wasserresistenz: Vermindert durch Wasser erlittenen Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,42,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
43,Magieresistenz,Magieresistenz: Vermindert durch Magie erlittenen Schaden.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
44,Entschlossenheit,"Ent­schlos­sen­heit: Je höher dieser Wert, desto höher der ausgeteilte physische und magische Schaden und die Höhe der durch Magie geheilten LP.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,20,100,100,100,100,100,100,100,100,100,100,100,100,100,22,False
45,Schnelligkeit,"Schnelligkeit: Je höher dieser Wert, desto kürzer die (Re-)aktivierungszeit von Waf­fen­fer­tig­kei­ten und desto höher der ausgeteilte physische Schaden über Zeit und physische Schaden durch Auto-Attacken.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,21,100,100,100,100,100,100,100,100,100,100,100,100,100,23,False
46,Zaubertempo,"Zaubertempo: Je höher dieser Wert, desto kürzer ist die Aktivierungs- und Re­ak­ti­vie­rungs­zeit von Magie, desto schneller ist also ein Zauber (wieder) einsatzbereit. Erhöht auch die Wirkung von Zaubern mit Schaden über Zeit und Heilung über Zeit.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,22,100,100,100,100,100,100,100,100,100,100,100,100,100,24,False
47,Hast,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,100,100,100,100,100,100,100,100,100,100,100,100,25,True
48,Moral,Moral: Ersetzt bei PvP-Kämpfen die physische und magische Verteidigung zur Berechnung des erlittenen Schadens und beeinflusst den ausgeteilten Schaden.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,73,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
49,Feindseligkeit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
50,Feindseligkeitsreduktion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
51,Verbessertes Verwertungsgeschick,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
52,Routinebonus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
53,Regena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
54,Spezialattribut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
55,Hauptattribut,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,11,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
56,Zweitattribut,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,18,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
57,Gemach-Resistenz,Resistenz gegen Gemach: Beschleunigt die Erholung vom Status Gemach.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,61,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
58,Stein-Resistenz,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,62,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
59,Paralyse-Resistenz,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,63,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
60,Schweigen-Resistenz,Resistenz gegen Schweigen: Beschleunigt die Erholung vom Status Schweigen.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,64,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
61,Blind-Resistenz,Resistenz gegen Blind: Beschleunigt die Erholung vom Status Blind.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,65,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
62,Gift-Resistenz,Resistenz gegen Gift: Beschleunigt die Erholung vom Status Gift.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,66,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
63,Betäubungs-Resistenz,Resistenz gegen Betäubung: Beschleunigt die Erholung vom Status Betäubung.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,67,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
64,Schlaf-Resistenz,Resistenz gegen Schlaf: Beschleunigt die Erholung vom Status Schlaf.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,68,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
65,Fessel-Resistenz,Resistenz gegen Fessel: Beschleunigt die Erholung vom Status Fessel.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,69,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
66,Gewicht-Resistenz,Resistenz gegen Gewicht: Beschleunigt die Erholung vom Status Gewicht.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,70,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
67,Verhängnis-Resistenz,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,71,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
68,Verschleißminderung,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
69,Erhöhte Bindung,,100,20,80,80,80,80,80,80,80,80,80,80,120,60,160,320,0,160,400,240,240,160,160,56,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
70,Kunstfertigkeit,"Kunst­fer­tig­keit: Beeinflusst den Fortschritt der Synthese. Je höher dieser Wert, desto schneller geht die Synthese voran.",350,350,20,300,20,20,20,20,20,20,20,30,350,350,320,360,0,40,380,340,340,320,320,30,100,100,100,100,100,100,100,100,100,100,100,100,100,26,False
71,Kontrolle,"Kontrolle: Beeinflusst die Qualität bei der Synthese. Je höher dieser Wert, desto schneller steigt die Qualität an.",200,200,120,120,120,100,120,120,30,30,30,40,200,200,200,400,0,200,500,300,300,240,240,31,100,100,100,100,100,100,100,100,100,100,100,100,100,27,False
72,Sammelgeschick,"Sammelgeschick: Beeinflusst die Sammelrate beim Sammeln. Je höher dieser Wert, desto wahrscheinlicher ist es, dass du einen Gegenstand erhältst.",350,200,20,200,150,0,100,10,10,10,10,10,350,350,210,460,0,110,470,450,310,350,300,33,100,100,100,100,100,100,100,100,100,100,100,100,100,28,False
73,Expertise,"Wahrnehmung: Beeinflusst das Sammeln. Je höher dieser Wert, desto mehr Gegenstände findest du. Bei Fischern erhöht sich stattdessen die Wahr­schein­lich­keit, einen großen Fisch zu fangen.",200,350,200,100,10,0,50,110,10,10,10,10,200,200,300,220,0,110,420,120,210,110,150,34,100,100,100,100,100,100,100,100,100,100,100,100,100,29,False
