#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
72,Details zu einem Gildengeheiß,640,0,0,0,0,0,0,0,0,0,12,8,True
73,Gefahrenzonen bei Gildengeheißen,650,0,0,0,0,0,0,0,0,0,13,8,True
74,K. o. bei einem Gildengeheiß,660,0,0,0,0,0,0,0,0,0,14,8,True
75,Vergütung von Gildengeheißen,670,0,0,0,0,0,0,0,0,0,15,8,True
76,Verbundscheine,600,0,0,0,0,0,0,0,0,0,9,9,True
77,,0,0,0,0,0,0,0,0,0,0,0,0,False
78,Einer Gruppe beitreten,180,181,182,183,184,180,181,185,183,184,5,2,True
79,Besondere Gefechtszonen,120,121,0,0,0,0,0,0,0,0,15,5,True
80,Wichtige Aufträge,125,126,0,0,0,0,0,0,0,0,6,5,True
81,Miet-Chocobos,300,0,0,0,0,0,0,0,0,0,6,3,True
82,Von Miet-Chocobos absteigen,310,0,0,0,0,311,0,0,0,0,7,3,True
83,Liniendienste,320,0,0,0,0,0,0,0,0,0,4,3,True
84,Liniendienst beenden,330,0,0,0,0,331,0,0,0,0,5,3,True
85,Persönlicher Chocobo,340,341,343,0,0,0,0,0,0,0,8,3,True
86,Vom persönlichen Chocobo absteigen,350,0,0,0,0,351,0,0,0,0,9,3,True
87,Staatliche Gesellschaften,410,411,412,0,0,0,0,0,0,0,1,10,True
88,Belohnungen für Gildenaufträge,130,0,0,0,0,0,0,0,0,0,14,5,True
89,Nachschub und Kriegsmaterial,420,421,0,0,0,0,0,0,0,0,3,10,True
90,Experteneinsätze,430,431,0,0,0,0,0,0,0,0,4,10,True
91,Freie Gesellschaften,440,441,442,0,0,0,0,0,0,0,1,11,True
92,Limitrausch,240,241,242,243,0,0,0,0,0,0,13,4,True
93,Stufenanpassung,250,251,252,0,0,0,0,0,0,0,5,8,True
94,Jobs,260,261,262,0,0,0,0,0,0,0,10,2,True
95,Färben,950,951,952,953,0,0,0,0,0,0,8,7,True
96,Mit deinem Chocobo kämpfen,360,361,0,0,0,0,0,0,0,0,21,4,True
97,Materia herstellen,960,961,962,0,0,0,0,0,0,0,21,7,True
98,Materia einsetzen,970,971,0,0,0,0,0,0,0,0,22,7,True
99,Mehr als eine Materia einsetzen,980,981,0,0,0,0,0,0,0,0,24,7,True
100,Materia einsetzen lassen,990,991,992,0,0,0,0,0,0,0,23,7,True
101,Persönlich gebundene Gegenstände,270,0,0,0,0,0,0,0,0,0,4,6,True
102,Gegenstände benutzen,280,281,0,0,0,280,283,0,0,0,1,6,True
103,,0,0,0,0,0,0,0,0,0,0,0,0,False
104,Ersatz aufnehmen,1190,0,0,0,0,0,0,0,0,0,23,8,True
105,Lagerstätten finden,1020,1021,1022,0,0,0,0,0,0,0,2,13,True
106,Bergbau,1030,1031,0,0,0,0,0,0,0,0,13,13,True
107,,0,0,0,0,0,0,0,0,0,0,0,0,False
108,Mitstreiter-Fähigkeiten,380,381,382,383,0,0,0,0,0,0,22,4,True
109,Deinen Chocobo befehligen,370,371,372,0,0,0,0,0,0,0,23,4,True
110,Schatztruhen öffnen,1110,0,0,0,0,0,0,0,0,0,7,9,True
111,Kopfgelder eintreiben,1120,0,0,0,0,0,0,0,0,0,8,9,True
112,Staatserlasse,1130,0,0,0,0,0,0,0,0,0,5,10,True
113,Gründung einer Freien Gesellschaft,450,0,0,0,0,0,0,0,0,0,2,11,True
114,Einer Freien Gesellschaft beitreten,460,461,462,463,0,0,0,0,0,0,3,11,True
115,Staatliche Gesellschaft ändern,680,0,0,0,0,0,0,0,0,0,2,10,True
116,Gesellschaftstruhe,470,471,0,0,0,0,0,0,0,0,4,11,True
117,Gesellschaftswappen,480,481,0,0,0,0,0,0,0,0,5,11,True
118,Gesellschaftskommandos,490,491,492,0,0,0,0,0,0,0,6,11,True
119,Die Leine vorbereiten,1040,1041,1042,0,0,0,0,0,0,0,1,14,True
120,Fischer-Notizbuch,1050,0,0,0,0,0,0,0,0,0,3,14,True
121,Köder benutzen,1060,1061,0,0,0,0,0,0,0,0,4,14,True
122,Köderfisch-Angeln,1070,1071,0,0,0,0,0,0,0,0,5,14,True
123,Wolkenfischen und Dünenfischen,1080,1081,0,0,0,0,0,0,0,0,6,14,True
124,Fischgröße,1090,0,0,0,0,0,0,0,0,0,7,14,True
125,Fischgründe,1100,0,0,0,0,0,0,0,0,0,8,14,True
126,Eilsynthese,690,691,692,0,0,0,0,0,0,0,6,12,True
127,Lichtfeuer und Schatteneis,1220,1221,1222,1223,0,0,0,0,0,0,6,4,True
128,Faustkämpfer-Formen,1230,1231,1232,1233,0,0,0,0,0,0,5,4,True
129,Familiare,1240,1241,1242,1244,0,1240,1245,1242,1244,0,7,4,True
130,Crystalline Conflict,1250,0,0,0,0,0,0,0,0,0,31,8,True
131,Auftragskämpfe,1260,1261,1262,0,0,0,0,0,0,0,15,4,True
132,Errungenschaften,1150,1151,1152,0,0,1150,1151,1153,0,0,14,2,True
133,Empfohlene Inhalte,1160,1161,0,0,0,0,0,0,0,0,16,5,True
134,,0,0,0,0,0,0,0,0,0,0,0,0,False
135,Angeln,1300,1301,0,0,0,0,0,0,0,0,2,14,True
136,Arsenal-Bonus,1280,1281,0,0,0,0,0,0,0,0,14,4,True
137,Allagische Steine,1310,1311,0,0,0,0,0,0,0,0,7,6,True
138,Zielgebiete,1290,0,0,0,0,1291,0,0,0,0,8,5,True
139,Schlüsselgegenstände gegen Feinde,1270,1271,0,0,0,1272,1273,0,0,0,9,5,True
140,,0,0,0,0,0,0,0,0,0,0,0,0,False
141,PvP-Vergütungen,1330,1331,1332,0,0,1330,1331,1333,0,0,32,8,True
142,,0,0,0,0,0,0,0,0,0,0,0,0,False
143,Unterkünfte,1350,1351,1352,1353,0,0,0,0,0,0,16,2,True
144,Informationstafel,1360,1361,0,0,0,0,0,0,0,0,17,2,True
145,Inhalte für Allianzen,1370,1371,0,0,0,0,0,0,0,0,40,8,True
146,Beschränktes Beute-Anrecht,1380,1381,1382,0,0,0,0,0,0,0,41,8,True
147,Die Gruppensuche,1390,1391,1392,0,0,1393,1391,1392,0,0,6,2,True
148,Versteckte Gegenstände,1400,1401,0,0,0,0,0,0,0,0,19,13,True
149,Vergilbte Landkarten,1410,1411,1412,0,0,0,0,0,0,0,31,6,True
150,Karten entziffern,1420,1421,0,0,0,0,0,0,0,0,32,6,True
151,Schätze suchen,1430,1431,1432,0,0,0,0,0,0,0,33,6,True
152,Die Welt der Freundesvölker,1440,1441,1442,0,0,0,0,0,0,0,21,5,True
153,Verbundenheit,1450,1451,1452,0,0,0,0,0,0,0,22,5,True
154,,0,0,0,0,0,0,0,0,0,0,0,0,False
155,,0,0,0,0,0,0,0,0,0,0,0,0,False
156,Helfer-Kommandomenü,1480,0,0,0,0,1481,0,0,0,0,25,5,True
157,Ein neues Aussehen,1490,1491,0,0,0,0,0,0,0,0,15,2,True
158,Zufallsinhalte,1500,1501,0,0,0,0,0,0,0,0,24,8,True
159,Mitglieder entfernen,1510,1511,1512,0,0,0,0,0,0,0,25,8,True
160,Der „Wertvollste Spieler“,1520,1521,1522,0,0,0,0,0,0,0,26,8,True
161,Einer Freien Gesellschaft beitreten,1530,1531,0,0,0,1530,1532,0,0,0,7,11,True
162,Die „Aktuelle Agenda“,1540,1542,0,0,0,1541,1542,0,0,0,6,8,True
163,Meisterrezepte,1550,2580,0,0,0,0,0,0,0,0,10,12,True
164,Ausrüstung projizieren,1560,1561,1562,0,0,0,0,0,0,0,25,7,True
165,Pflanzen setzen,1570,1571,0,0,0,0,0,0,0,0,18,2,True
166,Gartenpflege,1580,1581,0,0,0,0,0,0,0,0,20,2,True
167,Ernten,1590,1591,0,0,0,0,0,0,0,0,21,2,True
168,Gehilfen-Unternehmungen,1600,1601,1602,0,0,0,0,0,0,0,24,6,True
169,Gehilfen auf Erkundung schicken,1610,1611,0,0,0,0,0,0,0,0,25,6,True
170,Kommunikation mit anderen,1620,1622,1623,1624,0,1621,1622,1623,1624,0,25,2,True
171,Die Auto-Übersetzung,1630,1631,1633,1634,1635,1630,1632,1633,1634,1635,26,2,True
172,Die Wunschliste,1640,1641,0,0,0,0,0,0,0,0,15,6,True
173,Klasse des Gehilfen,1650,1651,0,0,0,0,0,0,0,0,26,6,True
174,Auf der Spur der Zodiak-Waffen,1660,1661,1662,0,0,0,0,0,0,0,31,7,True
175,Sphärentafeln,1670,1671,1672,1673,1674,0,0,0,0,0,32,7,True
176,Die Carteneauer Front,1680,0,0,0,0,0,0,0,0,0,34,8,True
177,Zustand selbst reparierter Ausrüstung,1690,1691,0,0,0,0,0,0,0,0,7,7,True
178,Eorzea Incognita,1700,1702,0,0,0,1701,1702,0,0,0,7,8,True
179,Jagdabzeichen,1710,1711,0,0,0,0,0,0,0,0,8,6,True
180,Spielkiste,1720,0,0,0,0,0,0,0,0,0,60,8,True
181,Artillerie,1730,1731,0,0,0,0,0,0,0,0,26,5,True
182,Fische freilassen,1740,1741,0,0,0,0,0,0,0,0,9,14,True
183,Materialverwertung,1750,1751,1752,0,0,0,0,0,0,0,13,12,True
184,Chocobo-Aufzucht,1760,1761,1762,0,0,0,0,0,0,0,24,4,True
185,Die Aufträge der Ixal,1780,1781,0,0,0,0,0,0,0,0,27,5,True
186,Ixal-Lieferaufträge,1790,1791,1792,0,0,0,0,0,0,0,28,5,True
187,,0,0,0,0,0,0,0,0,0,0,0,0,False
188,,0,0,0,0,0,0,0,0,0,0,0,0,False
189,Äther-Lasur,1820,1821,1822,1823,0,0,0,0,0,0,33,7,True
190,Fischbestände und seltene Fische,1830,1831,0,0,0,0,0,0,0,0,10,14,True
191,Wetterwechsel und seltene Fische,1840,0,0,0,0,0,0,0,0,0,11,14,True
192,Mudras und Ninjutsu,1850,1851,1852,1853,0,0,0,0,0,0,25,4,True
193,Die Zeremonie des Ewigen Bundes,1860,1861,1862,0,0,0,0,0,0,0,30,2,True
194,Ablauf der Zeremonie,1870,1871,1872,1873,0,0,0,0,0,0,31,2,True
195,Einladungen zur Zeremonie,1880,1881,0,0,0,0,0,0,0,0,32,2,True
196,Jung-Chocobos und Renn-Chocobos,1890,1891,1892,0,0,0,0,0,0,0,2,15,True
197,Renn-Fähigkeiten,1900,1901,1902,0,0,0,0,0,0,0,4,15,True
198,Ruhestand und Paarung,1910,1911,1912,1913,0,0,0,0,0,0,5,15,True
199,Meister-Duelle,1920,1921,0,0,0,0,0,0,0,0,6,15,True
200,Triple Triad,1930,1931,0,0,0,0,0,0,0,0,7,15,True
201,Der Manderville Gold Saucer,1940,1941,1942,0,0,0,0,0,0,0,1,15,True
202,An einem Chocobo-Rennen teilnehmen,1950,1951,1952,0,0,0,0,0,0,0,3,15,True
203,Spezialisten,1960,1961,0,0,0,0,0,0,0,0,21,12,True
204,,0,0,0,0,0,0,0,0,0,0,0,0,False
205,Fliegende Reittiere,1980,1981,0,0,0,1980,1982,0,0,0,20,3,True
206,,0,0,0,0,0,0,0,0,0,0,0,0,False
207,,0,0,0,0,0,0,0,0,0,0,0,0,False
208,Mentor werden,2010,2011,2012,2013,0,0,0,0,0,0,60,2,True
209,Vergängliche Sammelstellen,2020,0,0,0,0,0,0,0,0,0,49,13,True
210,Verborgene Merkmale,2030,2031,0,0,0,0,0,0,0,0,46,13,True
211,,0,0,0,0,0,0,0,0,0,0,0,0,False
212,Raffination,2050,0,0,0,0,0,0,0,0,0,52,13,True
213,Legendäre Fundstellen und regionale Folklore,2060,2061,0,0,0,0,0,0,0,0,40,13,True
214,,0,0,0,0,0,0,0,0,0,0,0,0,False
215,,0,0,0,0,0,0,0,0,0,0,0,0,False
216,Beuteregeln,2090,2091,2092,2093,0,2094,2091,2092,2093,0,11,4,True
217,Beuteregel festlegen,2100,2101,0,0,0,0,0,0,0,0,12,4,True
218,Ishgarder Freibriefe,2110,2111,0,0,0,0,0,0,0,0,20,9,True
219,Sammlerstücke,2120,2121,2122,0,0,0,0,0,0,0,40,6,True
220,,0,0,0,0,0,0,0,0,0,0,0,0,False
221,Sammlerstücke für Fischer,2140,2141,0,0,0,0,0,0,0,0,20,14,True
222,,0,0,0,0,0,0,0,0,0,0,0,0,False
223,,0,0,0,0,0,0,0,0,0,0,0,0,False
224,Kampf der Trabanten,2170,2171,2172,2173,2174,0,0,0,0,0,10,15,True
225,Typen von Trabanten,2180,2181,2182,2183,0,0,0,0,0,0,11,15,True
226,Trabanten-Arena,2190,2191,2192,2193,2194,0,0,0,0,0,12,15,True
227,Schwierigkeitsanpassung,2200,2201,0,0,0,0,0,0,0,0,30,5,True
228,Aufträge mit fester Klasse,2210,0,0,0,0,0,0,0,0,0,31,5,True
229,Das Orchestrion,2220,2221,2222,2223,2224,0,0,0,0,0,40,2,True
230,Pflanzen in Blumentöpfen,2230,0,0,0,0,0,0,0,0,0,19,2,True
231,Geheime Horte,2240,2241,2242,0,0,0,0,0,0,0,34,6,True
232,Aquarium,2250,2251,2252,2253,0,0,0,0,0,0,22,2,True
233,Aussehen der Familiare ändern,2260,2261,2262,2573,0,0,0,0,0,0,63,4,True
234,Gegenstandsstufe im Auge behalten,2270,2271,2272,0,0,0,0,0,0,0,70,4,True
235,Ø Gegenstandsstufe reicht nicht aus,2280,2281,2282,0,0,0,0,0,0,0,71,4,True
236,,0,0,0,0,0,0,0,0,0,0,0,0,False
237,,0,0,0,0,0,0,0,0,0,0,0,0,False
238,Schwimmen und Tauchen,2310,2311,2313,0,0,2310,2312,2313,0,0,21,3,True
239,Spezialkommandos,2320,2322,0,0,0,2321,2322,0,0,0,55,8,True
240,Stahlschwingen,2330,0,0,0,0,0,0,0,0,0,35,8,True
241,Speerfischen,2340,0,0,0,0,0,0,0,0,0,30,14,True
242,Speerfischgründe,2350,2351,2352,0,0,0,0,0,0,0,31,14,True
243,,0,0,0,0,0,0,0,0,0,0,0,0,False
244,Rollenkommandos,2370,2371,0,0,0,0,0,0,0,0,10,4,True
245,Kompositionen-Funktion,2380,0,0,0,0,0,0,0,0,0,45,2,True
246,Kleiderkritik,2390,2391,2392,2393,0,0,0,0,0,0,30,7,True
247,Projektionskommode,2400,2401,0,0,0,0,0,0,0,0,26,7,True
248,Projektionen,2410,0,0,0,0,0,0,0,0,0,27,7,True
249,Projektionsplatten,2420,0,0,0,0,0,0,0,0,0,28,7,True
250,Projektionsplatten anwenden,2430,0,0,0,0,0,0,0,0,0,29,7,True
251,Expeditionsgrundlagen,2440,2441,0,0,0,0,0,0,0,0,50,8,True
252,Satteltasche,2450,2451,0,0,0,0,0,0,0,0,18,6,True
253,Rückblenden,2460,2461,0,0,0,0,0,0,0,0,57,8,True
254,Rückblenden aufnehmen,2470,2471,2472,2473,0,2470,2471,2472,2474,0,58,8,True
255,Rückblenden wiedergeben,2480,0,0,0,0,0,0,0,0,0,59,8,True
256,Schatzsuche mit dem Glückshasen,2487,2488,0,0,0,0,0,0,0,0,51,8,True
257,Diarien,2481,2482,2483,2484,0,0,0,0,0,0,23,2,True
258,Projektionen auf NPCs anwenden,2485,2486,0,0,0,0,0,0,0,0,61,8,True
259,Mystischer Hort ,2489,2490,2491,2492,0,0,0,0,0,0,35,6,True
260,Kleiderpuppen,2493,2494,2495,0,0,0,0,0,0,0,24,2,True
261,Logos-Manipulator,2496,2497,2498,0,0,0,0,0,0,0,52,8,True
262,Verbesserter Logos-Manipulator,2499,2500,0,0,0,0,0,0,0,0,53,8,True
263,Reittiere für mehrere Reiter,2501,0,0,0,0,0,0,0,0,0,22,3,True
264,Weltenreisen,2506,2507,0,0,0,0,0,0,0,0,10,3,True
265,Blaumagie,2502,2503,2504,2505,2508,2502,2509,2504,2505,2508,64,4,True
266,Zweifarbige Edelsteine,2510,2511,2512,0,0,2510,2511,2513,0,0,3,8,True
267,Fischfang und regionale Folklore,1764,1765,0,0,0,0,0,0,0,0,13,14,True
268,Wasserwirbel,1767,1768,0,0,0,0,0,0,0,0,12,14,True
269,Kuriositäten,1770,0,0,0,0,1771,0,0,0,0,27,2,True
270,Expertenrezepte,2520,2521,0,0,0,0,0,0,0,0,11,12,True
271,Geduld,2530,2531,0,0,0,0,0,0,0,0,14,14,True
272,Modeaccessoires,2540,2541,0,0,0,0,0,0,0,0,28,2,True
273,,0,0,0,0,0,0,0,0,0,0,0,0,False
274,,0,0,0,0,0,0,0,0,0,0,0,0,False
275,Sammlerstücke,2552,0,0,0,0,0,0,0,0,0,43,13,True
276,Testsynthese,2550,2551,0,0,0,0,0,0,0,0,7,12,True
277,Mehr Gegenstände sammeln,2553,0,0,0,0,0,0,0,0,0,7,13,True
278,Gegenstände mit Expertise-Bedingung,2554,0,0,0,0,0,0,0,0,0,60,13,True
279,Wie man speerfischt,2555,2556,2557,0,0,0,0,0,0,0,32,14,True
280,Fischerfolg und seltene Fische,2558,2559,0,0,0,0,0,0,0,0,33,14,True
281,,0,0,0,0,0,0,0,0,0,0,0,0,False
282,Rezepte mit Qualitätsanforderungen,2566,0,0,0,0,0,0,0,0,0,12,12,True
283,Flüchtige und erhabene Sammlerstücke,2567,2568,2569,0,0,0,0,0,0,0,54,13,True
284,Sammler-Rollenkommandos,2570,2571,2572,0,0,0,0,0,0,0,1,13,True
285,Gesichtsaccessoires,2574,2575,0,0,0,0,0,0,0,0,29,2,True
286,Der Szenarioführer,2576,2577,0,0,0,0,0,0,0,0,7,5,True
287,Spezialrezepte,2578,2579,0,0,0,0,0,0,0,0,22,12,True
288,Phantomkommandos,2581,2582,2583,0,0,2581,2584,2583,0,0,56,8,True
289,Tresor Oneiron,2585,2586,2587,2588,0,0,0,0,0,0,36,6,True
290,Phönixfedern,2589,2590,2591,2592,0,0,0,0,0,0,5,6,True
291,,0,0,0,0,0,0,0,0,0,0,0,0,False
292,,0,0,0,0,0,0,0,0,0,0,0,0,False
293,,0,0,0,0,0,0,0,0,0,0,0,0,False
294,,0,0,0,0,0,0,0,0,0,0,0,0,False
295,,0,0,0,0,0,0,0,0,0,0,0,0,False
