#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
71,STR-Schub,0,9004,5,0,0,2,0,0,False
72,Erhöhte LP,0,9001,10,0,0,3,0,0,False
73,Erhöhte Präzision,0,9010,5,0,0,5,0,0,False
74,Verbesserte Kritische Treffer,0,9012,15,0,0,6,0,0,False
75,STR-Schub,0,9004,5,0,0,8,0,0,False
76,Erhöhte LP,0,9001,10,0,0,9,0,0,False
77,STR-Schub,0,9004,5,0,0,2,0,0,False
78,Erhöhte LP,0,9001,5,0,0,3,0,0,False
79,Erhöhte Präzision,0,9010,5,0,0,5,0,0,False
80,Verbesserte Kritische Treffer,0,9012,15,0,0,6,0,0,False
81,STR-Schub II,0,9004,10,0,0,8,0,0,False
82,An­griffs­ge­schwin­dig­keit +,0,9013,-10,0,0,9,0,0,False
83,WLK-Schub,0,9008,10,0,0,2,0,0,False
84,Erhöhte LP,0,9001,5,0,0,3,0,0,False
85,Erhöhte Präzision,0,9010,5,0,0,5,0,0,False
86,Verbesserte Kritische Treffer,0,9012,15,0,0,6,0,0,False
87,WLK-Schub II,0,9008,15,0,0,8,0,0,False
88,Erhöhte LP,0,9001,5,0,0,9,0,0,False
89,GESK-Schub,0,0,0,0,0,0,0,0,False
90,Alle Viere,0,5401,10,29,93,14,93,0,False
91,GESK-Schub II,0,0,0,0,0,0,0,0,False
92,GESK-Schub III,0,0,0,0,0,0,0,0,False
93,Be­we­gungs­ge­schwin­dig­keit +,0,5403,10,29,93,20,93,0,False
94,Nymeias Segen,0,5436,0,16,17,42,17,0,False
95,Steineflüsterer V,67617,5437,0,16,17,53,17,0,False
96,Verbesserte Coeurl-Pfoten IV,0,0,54,0,0,0,0,0,False
97,Verbesserte Coeurl-Pfoten V,0,0,57,0,0,0,0,0,False
98,Verbesserte Coeurl-Pfoten VI,0,0,60,0,0,0,0,0,False
99,Nymeias Segen,0,5461,0,17,18,42,18,0,False
100,Baumflüsterer V,67585,5462,0,17,18,53,18,0,False
101,Verbesserte Coeurl-Pfoten IV,0,0,54,0,0,0,0,0,False
102,Verbesserte Coeurl-Pfoten V,0,0,57,0,0,0,0,0,False
103,Verbesserte Coeurl-Pfoten VI,0,0,60,0,0,0,0,0,False
104,Möwenauge IV,0,0,55,0,0,0,0,0,False
105,Möwenauge V,0,0,60,0,0,0,0,0,False
106,Himmelsfischen,67622,5488,0,18,19,53,19,0,False
107,Verbesserte Coeurl-Pfoten IV,0,0,54,0,0,0,0,0,False
108,Verbesserte Coeurl-Pfoten V,0,0,57,0,0,0,0,0,False
109,Verbesserte Coeurl-Pfoten VI,0,0,60,0,0,0,0,0,False
110,Höllenfischen,67623,5489,0,18,19,55,19,0,False
111,Ätherfischen,67624,5490,0,18,19,58,19,0,False
112,KONS-Schub,0,0,0,0,0,0,0,0,False
113,KONS-Schub II,0,0,0,0,0,0,0,0,False
114,KONS-Schub III,0,0,0,0,0,0,0,0,False
115,GESK-Schub,0,0,0,0,0,0,0,0,False
116,GESK-Schub II,0,0,0,0,0,0,0,0,False
117,Verbesserte Kommandos,0,6002,10,31,96,20,96,0,False
118,GESK-Schub III,0,0,0,0,0,0,0,0,False
119,Verbesserte Kommandos II,0,6003,20,31,96,40,96,0,False
120,WLK-Schub,0,0,0,0,0,0,0,0,False
121,WLK-Schub II,0,0,0,0,0,0,0,0,False
122,Verbesserte Kommandos,0,6102,10,33,99,20,99,0,False
123,WLK-Schub III,0,0,0,0,0,0,0,0,False
124,Verbesserter Harmonieaspekt,0,6105,15,33,99,36,99,0,False
125,Verbesserte Kommandos II,0,6103,30,33,99,40,99,0,False
126,Verbesserte Coeurl-Pfoten VII,0,0,64,0,0,0,0,0,False
127,Verbesserte Coeurl-Pfoten VIII,0,0,67,0,0,0,0,0,False
128,Verbesserte Coeurl-Pfoten IX,0,0,70,0,0,0,0,0,False
129,Verbesserte Coeurl-Pfoten VII,0,0,64,0,0,0,0,0,False
130,Verbesserte Coeurl-Pfoten VIII,0,0,67,0,0,0,0,0,False
131,Verbesserte Coeurl-Pfoten IX,0,0,70,0,0,0,0,0,False
132,Verbesserte Coeurl-Pfoten VII,0,0,64,0,0,0,0,0,False
133,Verbesserte Coeurl-Pfoten VIII,0,0,67,0,0,0,0,0,False
134,Verbesserte Coeurl-Pfoten IX,0,0,70,0,0,0,0,0,False
135,Salzseefischen,0,5499,0,18,19,68,19,0,False
136,Möwenauge VI,0,0,65,0,0,0,0,0,False
137,Möwenauge VII,0,0,70,0,0,0,0,0,False
138,Materialprüfung,67978,6976,2,8,9,63,9,0,False
139,Materialprüfung,68152,6976,2,9,10,63,10,0,False
140,Materialprüfung,68131,6976,2,10,11,63,11,0,False
141,Materialprüfung,68136,6976,2,11,12,63,12,0,False
142,Materialprüfung,68146,6976,2,12,13,63,13,0,False
143,Materialprüfung,67968,6976,2,13,14,63,14,0,False
144,Materialprüfung,67973,6976,2,14,15,63,15,0,False
145,Materialprüfung,68141,6976,2,15,16,63,16,0,False
146,Genialer Funke,0,0,0,0,0,0,0,0,False
147,Genialer Funke,0,0,0,0,0,0,0,0,False
148,Genialer Funke,0,0,0,0,0,0,0,0,False
149,Genialer Funke,0,0,0,0,0,0,0,0,False
150,Genialer Funke,0,0,0,0,0,0,0,0,False
151,Genialer Funke,0,0,0,0,0,0,0,0,False
152,Genialer Funke,0,0,0,0,0,0,0,0,False
153,Genialer Funke,0,0,0,0,0,0,0,0,False
154,Auto-Ausloten,68458,5497,0,18,19,61,19,0,False
155,Fischflüsterer,0,0,0,0,0,0,0,0,False
156,Verbesserte Deckung,0,5209,-20,0,0,0,0,0,False
157,Verbesserter Schlachtruf,0,5259,0,21,22,66,22,0,False
158,Schwarzblut,0,6059,0,32,98,62,98,0,False
159,Schwarzblut II,0,6060,0,32,98,66,98,0,False
160,Tiefe Meditation,0,5234,80,20,21,38,21,0,False
161,Rakshasas Meister,0,5235,2,0,0,0,0,0,False
162,Meister der Lanze,0,5284,0,0,0,0,0,0,False
163,Drachengeist,68450,5289,0,22,23,70,23,0,False
164,Giftklinge,0,0,0,0,0,0,0,0,False
165,Shukiho,0,5411,6,30,92,62,92,0,False
166,Verbessertes Shukuchi,0,5412,0,30,92,64,92,0,False
167,Verbessertes Ausrauben,0,0,0,0,0,0,0,0,False
168,Meister der Bisse,0,5309,0,23,24,64,24,0,False
169,Verbesserter Empyreischer Pfeil,0,5310,0,23,24,68,24,0,False
170,Meisterschütze,0,0,0,0,0,0,0,0,False
171,Blitzmeister,66612,5357,0,25,26,45,26,0,False
172,Blitzmeister II,0,5358,0,25,26,64,26,0,False
173,Verbessertes Schattenherz,0,5359,-34,0,0,0,0,0,False
174,Verbessertes Henochisch,68128,5360,5,25,26,70,26,0,False
175,Biologischer Abbau,0,5376,0,0,0,0,0,0,False
176,Verbessertes Ruinra,0,5377,0,0,0,0,0,0,False
177,Biologischer Abbau II,0,5378,0,0,0,0,0,0,False
178,Verbesserte Bahamut-Trance,68165,5380,0,27,28,70,28,0,False
179,Steinmeister,0,5333,0,6,53,18,53,0,False
180,Windmeister,0,5334,0,6,53,46,53,0,False
181,Steinmeister II,67257,5336,0,24,25,54,25,0,False
182,Steinmeister III,0,5337,0,24,25,64,25,0,False
183,Geheimnis der Lilie II,0,5338,20,0,0,0,0,0,False
184,Meister der Bravade II,0,5392,0,28,29,64,29,0,False
185,Beschleunigter Ätherfluss,0,0,100,0,0,0,0,0,False
186,Meister der Konjunktion,0,6109,0,33,99,46,99,0,False
187,Meister des Spannungsaspekts,67558,6110,0,33,99,54,99,0,False
188,Meister des Spannungsaspekts II,0,6111,0,33,99,64,99,0,False
189,Über­licht­geschwindig­keit,0,6101,-300,33,99,68,99,0,False
190,Gespür des Minenarbeiters,0,0,60,0,0,0,0,0,False
191,Gespür des Gärtners,0,0,60,0,0,0,0,0,False
192,Sammelregeneration,68094,5444,1,16,17,70,17,0,False
193,Sammelregeneration,68160,5469,1,17,18,70,18,0,False
194,Sammelregeneration,68435,5498,1,18,19,70,19,0,False
195,Verbesserter Stoß,0,6201,0,35,112,62,112,0,False
196,Geheimnis der Lilie,67256,5335,0,24,25,52,25,0,False
197,INT-Schub,0,0,0,0,0,0,0,0,False
198,INT-Schub II,0,0,0,0,0,0,0,0,False
199,INT-Schub III,0,0,0,0,0,0,0,0,False
200,Hauen und Heilen,0,5185,10,35,112,20,112,0,False
201,Hauen und Heilen II,0,5186,30,35,112,40,112,0,False
202,STR-Schub,0,0,0,0,0,0,0,0,False
203,STR-Schub II,0,0,0,0,0,0,0,0,False
204,STR-Schub III,0,0,0,0,0,0,0,0,False
205,Giftklinge II,0,0,0,0,0,0,0,0,False
206,Verbesserter Stoß II,0,0,0,0,0,0,0,0,False
207,Meister der Göttlichen Magie,0,5210,-50,19,20,64,20,0,False
208,Kenki-Meister II,0,6151,5,34,111,62,111,0,False
209,Eidmeister,66592,5211,0,19,20,35,20,0,False
210,WLK-Schub,0,0,0,0,0,0,0,0,False
211,WLK-Schub II,0,0,0,0,0,0,0,0,False
212,WLK-Schub III,0,0,0,0,0,0,0,0,False
213,Verbesserte Entflammung,0,5379,-600,0,0,0,0,0,False
214,Meister der Bravade,67209,5394,0,28,29,54,29,0,False
215,Kenki-Meister,0,6152,0,34,111,52,111,0,False
216,Doppelzauber,0,6203,0,35,112,1,112,0,False
217,Meister des Ruins,65997,5395,0,26,69,30,69,0,False
218,Meister der Tollwut,68440,5260,0,21,22,70,22,0,False
219,Erlernen,0,6251,0,36,129,1,129,0,False
220,Verbesserte Kommandos,0,5185,10,36,129,10,129,0,False
221,Verbesserte Kommandos II,0,5186,20,36,129,20,129,0,False
222,Verbesserte Kommandos III,0,5187,30,36,129,30,129,0,False
223,Verbesserte Kommandos IV,0,5188,40,36,129,40,129,0,False
224,Verbesserte Kommandos V,0,5189,50,36,129,50,129,0,False
225,Verbesserte Coeurl-Pfoten X,0,0,74,0,0,0,0,0,False
226,Verbesserte Coeurl-Pfoten XI,0,0,77,0,0,0,0,0,False
227,Verbesserte Coeurl-Pfoten XII,0,0,80,0,0,0,0,0,False
228,Verbesserte Coeurl-Pfoten X,0,0,74,0,0,0,0,0,False
229,Verbesserte Coeurl-Pfoten XI,0,0,77,0,0,0,0,0,False
230,Verbesserte Coeurl-Pfoten XII,0,0,80,0,0,0,0,0,False
231,Verbesserte Coeurl-Pfoten X,0,0,74,0,0,0,0,0,False
232,Verbesserte Coeurl-Pfoten XI,0,0,77,0,0,0,0,0,False
233,Verbesserte Coeurl-Pfoten XII,0,0,80,0,0,0,0,0,False
234,Möwenauge VIII,0,0,75,0,0,0,0,0,False
235,Möwenauge IX,0,0,80,0,0,0,0,0,False
236,Sammelregeneration II,0,5449,2,16,17,80,17,0,False
237,Sammelregeneration II,0,5474,2,17,18,80,18,0,False
238,Sammelregeneration II,0,5496,2,18,19,80,19,0,False
239,Sammelregeneration III,0,5441,3,16,17,83,17,0,False
240,Sammelregeneration III,0,5466,3,17,18,83,18,0,False
241,Sammelregeneration III,0,5486,3,18,19,83,19,0,False
242,Verbesserte Felsenfeste Überzeugung,0,5442,50,16,17,90,17,0,False
243,Verbesserte Bauernschläue,0,5467,50,17,18,90,18,0,False
244,Fischversessen,0,5485,0,18,19,15,19,0,False
245,Tiefe Meditation II,0,5238,100,20,21,74,21,0,False
246,Ritterlichkeit,0,5212,0,19,20,58,20,0,False
247,Meister der Lanze,0,5284,0,22,23,76,23,0,False
248,,0,0,0,0,0,0,0,0,False
249,Wildes Geblüt,66586,5261,0,21,22,35,22,0,False
250,Verbessertes Kassatsu,0,5414,0,30,92,76,92,0,False
251,Verbesserte Kommandos,0,6351,10,38,150,50,150,0,False
252,Plume Burlesque,0,6352,0,38,150,30,150,0,False
253,Verbesserte Kommandos II,0,6353,20,38,150,60,150,0,False
254,Verbesserter En Avant,0,6354,2,38,150,68,150,0,False
255,Tanzfieber,0,6355,0,38,150,76,150,0,False
256,Verbesserter En Avant II,0,6356,3,38,150,78,150,0,False
257,Erda-Patronen,0,6301,0,37,149,30,149,0,False
258,Verbesserter Brutaler Einschlag,0,6302,0,37,149,52,149,0,False
259,Meister der Sprengzone,0,6303,0,37,149,80,149,0,False
260,Meister des Grolls,67573,5213,0,19,20,60,20,0,False
261,Verbesserte Protuberanz,0,5214,0,19,20,72,20,0,False
262,Verbessertes Schiltron,0,5215,0,19,20,74,20,0,False
263,Verbessertes Requiescat,0,5216,0,19,20,80,20,0,False
264,Schwert-Eid,0,5217,0,19,20,76,20,0,False
265,Meister der Urkraft,66124,5262,0,21,22,54,22,0,False
266,Meister der Kreiselklinge,66137,5263,0,21,22,60,22,0,False
267,Saat des Chaos,0,5264,0,21,22,72,22,0,False
268,Meister des Inneren Tiers,0,5265,0,21,22,74,22,0,False
269,Verbesserter Kampfrausch,0,5258,0,21,22,78,22,0,False
270,,0,0,0,0,0,0,0,0,False
271,Meister der Dunklen Seite,0,6062,0,32,98,74,98,0,False
272,Verbesserter Hiebsprung,0,6063,2,0,0,0,0,0,False
273,Stürmendes Enigma,0,0,0,0,0,0,0,0,False
274,Verbesserte Sengende Aura,0,5237,0,0,0,0,0,0,False
275,Meister der Sprünge,0,5286,0,22,23,74,23,0,False
276,Meister des Drachenbluts,0,5287,0,0,0,0,0,0,False
277,Verbessertes Iaijutsu,0,6153,0,34,111,74,111,0,False
278,Verbessertes Fugetsu und Fuka,0,6154,0,34,111,78,111,0,False
279,Verbessertes Shukuchi II,0,5415,2,30,92,74,92,0,False
280,Shukiho II,0,5416,0,30,92,78,92,0,False
281,,0,0,0,0,0,0,0,0,False
282,Meister des Direkten Schusses,68430,5311,0,23,24,70,24,0,False
283,Verbesserte Pfeilsalve,0,5304,0,5,50,25,50,0,False
284,Meister der Bisse II,0,5312,0,23,24,76,24,0,False
285,Meister des Gewaltigen Schusses,0,5306,0,23,24,76,24,0,False
286,Verbesserte Hymne der Krieger,0,5314,0,23,24,78,24,0,False
287,Klang der Seelenstimme,0,5315,0,23,24,80,24,0,False
288,Feuer Frei-Meis­ter­schaft,67243,6010,0,31,96,54,96,0,False
289,Flintenlaufgeschoss-Meis­ter­schaft,67248,6011,0,31,96,60,96,0,False
290,Sauberer Schuss-Meis­ter­schaft,0,6012,0,31,96,64,96,0,False
291,Explosivgeschoss-Meis­ter­schaft,0,6016,0,31,96,76,96,0,False
292,Verbesserte Ladungen,0,6013,3,31,96,74,96,0,False
293,Verbessertes Wildfeuer,0,6014,0,31,96,78,96,0,False
294,Umwandlung,0,6015,0,31,96,80,96,0,False
295,Schattenherz,0,5656,0,25,26,58,26,0,False
296,Elementare Meis­ter­schaft,0,5362,0,7,55,1,55,0,False
297,Verbessertes Polyglott,0,5363,0,25,26,80,26,0,False
298,Verbesserte Bahamut-Trance II,0,5676,0,0,0,0,0,0,False
299,Verbesserte Egi-Attacke,0,5677,0,0,0,0,0,0,False
300,Verbessertes Trisaster,0,5678,0,0,0,0,0,0,False
301,Verbesserter Bann,0,5679,0,0,0,0,0,0,False
302,Verbesserte Phönix-Trance,0,5680,0,0,0,0,0,0,False
303,Meister des Zerstreuens,0,6207,0,35,112,66,112,0,False
304,Meister der Körperparade,0,6204,0,35,112,72,112,0,False
305,Verbesserte Manafizierung,0,6205,-100,0,0,0,0,0,False
306,Meister der Rotmagie,0,6206,-100,35,112,74,112,0,False
307,Windmeister II,0,5339,0,24,25,72,25,0,False
308,Steinmeister IV,0,5340,0,24,25,72,25,0,False
309,Verbessertes Afflatus solatii,0,5341,0,24,25,74,25,0,False
310,Verbessertes Refugium,0,5342,0,24,25,78,25,0,False
311,Biologischer Abbau II,0,5701,0,28,29,72,29,0,False
312,Meister der Bravade III,0,5702,0,28,29,72,29,0,False
313,Verbesserte Geweihte Erde,0,5703,0,28,29,78,29,0,False
314,Meister der Konjunktion II,0,6112,0,33,99,72,99,0,False
315,Meister des Spannungsaspekts III,0,6113,0,33,99,72,99,0,False
316,Verbesserte Essenzielle Würde,0,6114,2,33,99,78,99,0,False
317,Meister der Verteidigung,0,5190,-20,1,38,1,38,0,False
318,Meister der Verteidigung,0,5190,-20,3,44,1,44,0,False
319,Meister der Verteidigung,0,5190,-20,32,98,1,98,0,False
320,Meister der Verteidigung,0,5190,-20,37,149,1,149,0,False
321,Verbesserte Augmentierung ,0,5364,-300,0,0,0,0,0,False
322,Verbessertes Henochisch II,0,5365,10,25,26,78,26,0,False
323,,0,0,0,0,0,0,0,0,False
324,Biologischer Abbau,0,5376,0,28,29,26,29,0,False
325,Tellurische Meis­ter­schaft,0,5427,0,16,17,60,17,0,False
326,Meis­ter­schaft der Flure,0,5452,0,17,18,60,18,0,False
327,Meis­ter­schaft der Meere,68458,5476,0,18,19,70,19,0,False
328,Auto-Verstohlenheit,0,5428,0,16,17,27,17,0,False
329,Auto-Verstohlenheit,0,5453,0,17,18,27,18,0,False
330,Auto-Verstohlenheit,0,5477,0,18,19,27,19,0,False
331,Verbesserte Gunst der Zwölf III,0,5440,0,16,17,71,17,0,False
332,Verbesserte Gunst der Zwölf III,0,5465,0,17,18,71,18,0,False
333,Reichste Ausbeute,68093,5429,0,16,17,68,17,0,False
334,Meister des Exkavierens,0,0,0,0,0,0,0,0,False
335,Meister der Spontanen Begutachtung,0,0,0,0,0,0,0,0,False
336,Reichste Ernte,68159,5454,0,17,18,68,18,0,False
337,Höchste Ziele,0,0,0,0,0,0,0,0,False
338,Meister der Spontanen Begutachtung,0,0,0,0,0,0,0,0,False
339,Meister der Bearbeitung,0,6979,0,8,9,31,9,0,False
340,Meister der Bearbeitung,0,6980,0,9,10,31,10,0,False
341,Meister der Bearbeitung,0,6981,0,10,11,31,11,0,False
342,Meister der Bearbeitung,0,6982,0,11,12,31,12,0,False
343,Meister der Bearbeitung,0,6983,0,12,13,31,13,0,False
344,Meister der Bearbeitung,0,6984,0,13,14,31,14,0,False
345,Meister der Bearbeitung,0,6985,0,14,15,31,15,0,False
346,Meister der Bearbeitung,0,6986,0,15,16,31,16,0,False
347,Meister der Schnellen Bearbeitung,0,6978,0,8,9,63,9,0,False
348,Meister der Schnellen Bearbeitung,0,6978,0,9,10,63,10,0,False
349,Meister der Schnellen Bearbeitung,0,6978,0,10,11,63,11,0,False
350,Meister der Schnellen Bearbeitung,0,6978,0,11,12,63,12,0,False
351,Meister der Schnellen Bearbeitung,0,6978,0,12,13,63,13,0,False
352,Meister der Schnellen Bearbeitung,0,6978,0,13,14,63,14,0,False
353,Meister der Schnellen Bearbeitung,0,6978,0,14,15,63,15,0,False
354,Meister der Schnellen Bearbeitung,0,6978,0,15,16,63,16,0,False
355,Verbesserte Elementarkorona,0,5681,0,0,0,0,0,0,False
356,Übung macht den Meister,0,6987,0,8,9,15,9,1,False
357,Übung macht den Meister,0,6987,0,9,10,15,10,1,False
358,Übung macht den Meister,0,6987,0,10,11,15,11,1,False
359,Übung macht den Meister,0,6987,0,11,12,15,12,1,False
360,Übung macht den Meister,0,6987,0,12,13,15,13,1,False
361,Übung macht den Meister,0,6987,0,13,14,15,14,1,False
362,Übung macht den Meister,0,6987,0,14,15,15,15,1,False
363,Übung macht den Meister,0,6987,0,15,16,15,16,1,False
364,Geölter Blitz,0,5239,0,2,41,1,41,0,False
365,Verbesserter Geölter Blitz,0,5230,0,2,41,20,41,0,False
366,Verbesserter Geölter Blitz II,0,5231,0,20,21,40,21,0,False
367,Verbesserter Geölter Blitz III,0,5240,0,20,21,76,21,0,False
368,Verbesserte Kommandos,0,5185,10,40,181,20,181,0,False
369,Verbesserte Kommandos II,0,5186,30,40,181,40,181,0,False
370,Humor,0,6451,0,40,181,45,181,0,False
371,Eid der Weisen,0,6452,0,40,181,54,181,0,False
372,Eid der Weisen II,0,6453,0,40,181,64,181,0,False
373,Komplexion,0,6454,0,40,181,66,181,0,False
374,Meister der Offensivmagie,0,6455,0,40,181,72,181,0,False
375,Verbessertes Kerachole,0,6456,0,40,181,78,181,0,False
376,Meister der Offensivmagie II,0,6457,0,40,181,82,181,0,False
377,Meister der Heilmagie,0,6826,0,40,181,85,181,0,False
378,Verbessertes Zoe,0,6458,-300,40,181,88,181,0,False
379,Erntereif,0,6401,0,39,180,50,180,0,False
380,Verbesserte Ernte,0,6801,0,39,180,60,180,0,False
381,Verbesserter Avatar,0,6403,0,39,180,70,180,0,False
382,Verbessertes Höllentor,0,6404,0,39,180,74,180,0,False
383,Verbesserte Seelenernte,0,6405,2,39,180,78,180,0,False
384,Verschleierung,69614,6406,0,39,180,80,180,0,False
385,Verbessertes Arkanes Wappen,0,6407,0,39,180,84,180,0,False
386,Nichtsseele,0,6408,0,39,180,86,180,0,False
387,Verbesserter Arkaner Kreis,0,6409,0,39,180,88,180,0,False
388,Innere Ruhe,0,6988,0,8,9,11,9,0,False
389,Innere Ruhe,0,6988,0,9,10,11,10,0,False
390,Innere Ruhe,0,6988,0,10,11,11,11,0,False
391,Innere Ruhe,0,6988,0,11,12,11,12,0,False
392,Innere Ruhe,0,6988,0,12,13,11,13,0,False
393,Innere Ruhe,0,6988,0,13,14,11,14,0,False
394,Innere Ruhe,0,6988,0,14,15,11,15,0,False
395,Innere Ruhe,0,6988,0,15,16,11,16,0,False
396,Meister der Sorgfältigen Bearbeitung,0,6989,0,8,9,82,9,0,False
397,Meister der Sorgfältigen Bearbeitung,0,6989,0,9,10,82,10,0,False
398,Meister der Sorgfältigen Bearbeitung,0,6989,0,10,11,82,11,0,False
399,Meister der Sorgfältigen Bearbeitung,0,6989,0,11,12,82,12,0,False
400,Meister der Sorgfältigen Bearbeitung,0,6989,0,12,13,82,13,0,False
401,Meister der Sorgfältigen Bearbeitung,0,6989,0,13,14,82,14,0,False
402,Meister der Sorgfältigen Bearbeitung,0,6989,0,14,15,82,15,0,False
403,Meister der Sorgfältigen Bearbeitung,0,6989,0,15,16,82,16,0,False
404,Meister der Vorarbeit,0,6990,0,8,9,86,9,0,False
405,Meister der Vorarbeit,0,6991,0,9,10,86,10,0,False
406,Meister der Vorarbeit,0,6992,0,10,11,86,11,0,False
407,Meister der Vorarbeit,0,6993,0,11,12,86,12,0,False
408,Meister der Vorarbeit,0,6994,0,12,13,86,13,0,False
409,Meister der Vorarbeit,0,6995,0,13,14,86,14,0,False
410,Meister der Vorarbeit,0,6996,0,14,15,86,15,0,False
411,Meister der Vorarbeit,0,6997,0,15,16,86,16,0,False
412,Meister des Schiltron,0,5218,0,19,20,82,20,0,False
413,Verbesserte Intervention,0,5219,0,19,20,82,20,0,False
414,Meister der Göttlichen Magie II,0,5220,0,19,20,84,20,0,False
415,Meister des Selbsterhaltungstriebs,0,5221,0,19,20,86,20,0,False
416,Verbesserter Heiliger Quell,0,5222,0,19,20,88,20,0,False
417,Verbessertes Abschütteln,0,5266,0,21,22,76,22,0,False
418,Meister des Urinstinkts,0,5267,0,21,22,82,22,0,False
419,Verbessertes Urflackern,0,5268,0,21,22,82,22,0,False
420,Verbessertes Äquilibrium,0,5269,0,21,22,84,22,0,False
421,Verbesserter Sturmlauf,0,5270,3,21,22,88,22,0,False
422,Verbesserter Zerfall,0,6064,0,32,98,84,98,0,False
