#,Description,Item,GatheringItemLevel,Unknown2,TerritoryType,Unknown0,FishingRecordType,Unknown1,IsVisible
20032,"Diese Krabbe vollzieht einen wahren Spießrutenlauf während ihres Lebens. Nach der Geburt in Küstennähe wandert sie in mittleren Jahren flussaufwärts, um schließlich wieder ins Meer zurückzukehren, wo sie ihren Nachwuchs austrägt.",20176,220,4000,6,0,13,False,True
20033,"Der Legende nach einst ein zurückgezogener Einzelgänger, der bis zum Siechtum fastend in einen Fluss stolperte, die Gnade der Götter erfuhr und als Fisch wiedergeboren wurde.",20177,220,4000,7,0,14,False,True
20034,"Ein Fisch, der für seine Langlebigkeit berühmt ist und den Einzig seit Urzeiten auf der Suche nach Erleuchtung durchstreift. Ein paar von ihnen haben womöglich den Weg in den Himmel gefunden.",20178,220,4000,8,0,15,False,True
20035,"Ein Tintenfisch, der viel herumkommt und entsprechend auf zahlreichen Tellern im Fernen Osten landet. Sowohl roh als auch frittiert äußerst schmackhaft.",20179,225,4000,1,0,11,False,True
20036,"Ist es nun eine Makrele oder nicht? Die Frage beschäftigt Gelehrte schon seit langem, während dieser undefinierbare Fisch sich einfach seines Lebens fern von Schubladen erfreut.",20180,225,4000,2,0,11,False,True
20037,"Es kommt immer wieder mal vor, dass der Entdecker einer Spezies diese nach der erstbesten Sache benennt, die er in dessen Umgebung vorfindet. So war es auch bei diesem Krustentier, das ein kühles Klima bevorzugt.",20181,225,4000,3,0,11,False,True
20038,Selbst in den dunklen Tiefen des Meers flackern die nachdenklichen roten Augen dieses Fisches wie ein helles Leuchtfeuer.,20182,225,4000,4,0,12,False,True
20039,"Nachdem die Eier im Herbst gelegt werde, kämpfen die Jungtiere im Winter ums Überleben, um schließlich ausgewachsen in den Frühling zu starten. Ein ganz gewöhnlicher Lebenszyklus, der eigentlich wenig Anlass zu Bitterkeit bietet.",20183,225,4000,6,0,14,False,True
20040,"Obwohl er sich weder mit Diäten rumschlägt noch Sport treibt, erlebt dieser langlebige Fisch eine beachtliche Anzahl an Sommern. Nicht selten mehr, als die Fischer, die ihn fangen wollen.",20184,225,4000,6,0,15,False,True
20041,"Die Herkunft dieses Fisches ist ziemlich dubios. Man erzählt sich von einer Schlange, die im Fluss schwimmen wollte, obwohl Schlangen und Fische in keinster Weise artverwandt sind. Andererseits lassen sich gewisse Ähnlichkeiten gerade bei dieser Spezies kaum abstreiten.",20185,225,4000,8,0,14,False,True
20042,"Dieser Fisch lebt in Gruppen und versteckt sich tagsüber im Schutz von Felsen, während er die Nacht zum Jagen nutzt.",20186,230,4000,5,0,11,False,True
20043,"Diese winzige Tigergarnele verdient sich ihre Streifen, indem sie Plankton mit katzenartigen Reflexen jagt. Ihr unersättlicher Hunger droht die Streifen jedoch zu Ringen werden zu lassen.",20187,230,4000,9,0,13,False,True
20044,"Ein heiliger Handfächer beschwor den Regen herauf, der die Feuer des Berges löschte, woraufhin der Tengu ihn kurzerhand in den Einzig warf. Dort verwandelte er sich in diesen stürmischen Rochen. Eine wahre Geschichte.",20188,230,4000,9,0,14,False,True
20045,Das geübte Auge erfreut sich an den lamellenartigen Rillen und den knotigen Falzungen der konzentrischen Wirbel über der schuppenartigen Basis mit der gekrümmten Kolumella und dem schimmernden Operkulum. Das ungeübte Auge sieht einfach nur eine hübsche Schale.,20189,230,4000,10,0,13,False,True
20046,"Unter den beliebten Fischen Domas derjenige mit dem düstersten Farbton. Nachdem er viele Generationen von Domanern ernährt hat, fand er schließlich auch seinen Weg in die lokale Folklore.",20190,230,4000,10,0,15,False,True
20047,"Diese freche nachtaktive Unke hat den Ruf, sich selbst in Teufels Küche zu bringen. Be­ziehungs­weise in die Küchen von Yanxia und Nagxia.",20191,230,4000,11,0,16,False,True
20048,"Das „Kavallerie“ im Namen dieser Spezies entstammt einem Gerücht, wonach ein gefräßiger Schwarm der Tiere ein Pferd auf seinem Weg über einen Fluss entzweigeteilt hat, woraufhin sich die Fische von innen nach außen durchgefressen haben. Nichts für Pferdeliebhaber und Leute mit schwachem Magen.",20192,230,4000,11,0,18,False,True
20049,"Xaela mit einer ausgeprägten Fantasie sind davon überzeugt, dass die namensgebenden Gliedmaßen des Fisches die Morgendämmerung verkünden und ein Zeichen der Verwandtschaft mit dem allmächtigen Azim sind. Für andere ist eine Rotflosse lediglich eine Rotflosse.",20193,230,4000,12,0,17,False,True
20050,"Als der Mond weinte, fiel diese fromme Scheibe mit seinen Tränen ins Meer. Seitdem betet sie bei jedem Vollmond zu Nymeia, in der Hoffnung, eines Tages heimkehren zu können.",20194,230,4000,13,0,19,False,True
20051,"Man könnte fälschlicherweise annehmen, dass dieser Knochenzüngler zu lange in der Sonne gelegen hat. Stattdessen ist die Pigmentierung seiner glitzernden Schuppen eher dem Salzgehalt seines Habitats verschuldet.",20195,230,4000,13,0,21,False,True
20052,"Dieser genadenlose Herrscher über den Seldsee regiert mit eiserner Flosse und fällt nachts über arglose Flut-Thunfische her, die den salzigen Tyrannen fürchten.",20196,230,4000,14,0,20,False,True
20053,"Der himmelblaue Schimmer im Auge dieses Fisches erinnert an die Insignien von Ala Mhigo. Doch der Mantel ist stets nur so gut wie der König, und so wurde der Fisch nach dem Fall von Theoderic massenhaft getötet.",20197,230,4000,15,0,21,False,True
20054,"Die Entdeckung dieser „neuen“ leuchtenden Spezies wurde von Gelehrten als Durchbruch gefeiert. Doch Kojin jedoch, die ihre Heimat seit unzähligen Generationen mit diesem Fisch teilen, verstehen den ganzen Wirbel darum nicht.",20198,245,4000,5,0,10,False,True
20055,"Obwohl er der größte Fisch seiner Gattung ist, ist dieser außer­ge­wöhn­liche Jäger erstaunlich schnell. Und genauso schnell verschwindet er auch beim Abendessen vom Teller.",20199,245,4000,5,0,12,False,True
20056,Der Masu-Lachs ernährt sich von Wasserinsekten und verdankt seinen Namen dem hinganischen Wort für „Forelle“.,20200,245,4000,9,0,15,False,True
20057,"Der Name dieses Krustentiers stammt von dem hinganischen Wort für die „Blumen“ in den Sedimenten heißer Quellen. Die Krabbe verfügt über die eigenartige Fähigkeit, das Wasser um sich herum zu erhitzen.",20201,245,4000,10,0,14,False,True
20058,"Der nach den Bewohnern der Nhaama-Wüste benannte Gründling teilt noch weitere Gemeinsamkeiten mit diesen. So meidet er das Tageslicht, indem er sich in den Schatten von Felsen aufhält, und kommt nur nachts zum Jagen hervor.",20202,245,4000,11,0,17,False,True
20059,"Die Meinungen zu dieser Muschelart gehen weit auseinander. Während die Xaela in den Steppen sie als stinkenden Unrat ansehen, betrachten die Bewohner Yanxias sie als Delikatesse.",20203,245,4000,12,0,16,False,True
20060,"Keine Angst - dieser pflanzenfressende Katfisch, der sich als Landhai ausgibt, ist lediglich ein Papiertiger.",20204,245,4000,12,0,18,False,True
20061,"Diese Garnelenart regnete förmlich vom Himmel über Gyr Abania, nachdem die verheerenden Meeresstürme während der Katastrophe sie durch die Luft wirbelten.",20205,245,4000,13,0,20,False,True
20062,Diese Rettung eines jeden Abendessens mit geladenen Gästen bringt ihren eigenen Teller gleich mit. Einfach kurz das Salz und den Sand entfernen und schon können diese Austern serviert werden.,20206,245,4000,14,0,19,False,True
20063,"Der ausbleichende Effekt durch die Absorption von Salz verbessert seine Über­lebens­chancen, während die Hochländer, die die Tiere gerne roh verzehren, die natürliche Würzigkeit zu schätzen wissen.",20207,245,4000,15,0,19,False,True
20064,"Ein Experte darin, natürliche Salzlecke zu Behausungen auszubauen. Die architektonische Schwäche seiner Bemühungen liegt darin, dass er keine Hintertür vorsieht, sodass er leicht von arglistigen Fischern in die Enge getrieben werden kann.",20208,245,4000,15,0,20,False,True
20065,"Für kleinere Meeresbewohner gibt dieser Wasserkrieger eine imposante Gestalt ab - gehüllt in einen beeindruckenden Chitinpanzer, mit bedrohlichen Scheren versehen und dicken, peitschenartigen Antennen ausgestattet. Zum Glück sind die Krustentiere winzig.",20209,260,4000,5,0,11,False,True
20066,"Dieser Hai trägt den Namen des verehrten fernöstlichen Gelehrten der Meereskunde, der ihn entdeckt hat. Die Ahnenforschung lässt allerdings vermuten, dass es sich bei ihm eigentlich um einen Verwandten des allagischen Klingenhais handelt.",20210,260,4000,28,0,12,False,True
20067,"Ursprünglich ein unbeabsichtigtes Nebenprodukt der Inzucht von Goldfischen auf Marktplätzen. Inzwischen hat sich jedoch eine eigene Spezies daraus entwickelt, die dank ihrer lebhaften Farbgebung und lustiger Gesichtszüge viele Liebhaber gefunden hat.",20211,260,4000,9,0,13,False,True
20068,"Eine alte domanische Legende erzählt von einem überheblichen Rückenschwimmer, der dorthin schwimmen wollte, wo nur Drachen verkehren. Als Strafe wurde er auf den Grund des Meeres verbannt, von wo er nie wieder auftauchte.",20212,260,4000,10,0,13,False,True
20069,"Bewohner der mittleren und unteren Flüsse von Othard, die den Xaela zufolge als Augen des Vaters der Morgendämmerung dienen.",20213,260,4000,11,0,16,False,True
20070,"Während einige lebende Exemplare im Seldsee zu finden sind, wird man der gewundenen Schale häufiger auf den Tischen von Ala Mhigo begegnen, wo sie sich zum Salzstreuer umfunktioniert wiederfindet.",20214,260,4000,13,0,19,False,True
20071,"Während Fischhändler häufiger Stücke dieses Störs anbieten, ist es der Kaviar, der in der Salzsohle des Seldsees bis zur Perfektion mariniert wird und sein Gewicht in Gold wert ist.",20215,260,4000,14,0,21,False,True
20072,"Das breite Grinsen dieses skrupellosen Killers mit dem langem Kiefer ist immer dann zu sehen, wenn er sich auf seine Beute stürzt. Einigen Leuten, die einen Kredit bei einer anderen Art von Hai aufgenommen haben, wird es durchaus bekannt vorkommen.",20216,260,4000,15,0,21,False,True
20073,"Dieser dunkle Kreuzritter gleitet mit flügelartigen Flossen durch das Meer. Ein Held, der für die kleinen Fische kämpft. Der Fledermausfisch bedient sich keiner Hexerei, sondern dominiert mit Heldenmut, Intelligenz und einem unzähmbaren Willen.",20217,275,4000,5,0,10,False,True
20074,Vom Brackwasser der Meeresarme bis zu den frischen Quellen flussaufwärts besuchen diese Fische im Laufen ihres Lebens so gut wie jeden Ilm eines Flusses.,20218,275,4000,9,0,14,False,True
20075,Unzählige sonderbare Geschichten über ertrunkene Seelen ranken sich um die unheimliche seilartige Erscheinung dieses ansonsten völlig harmlosen Aals. Dabei wollte er doch nur eine Umarmung.,20219,275,4000,10,0,15,False,True
20076,"Der prächtige Farbton dieses reizenden kleinen Engels ist eine wahre Augenweide, weshalb die gezähmten Fische in vielen Wassergärten zu finden sind.",20220,275,4000,30,0,14,False,True
20077,Dieser treue Diener von Nhaama ist etwas größer als die Morgenrot-Art und durchstreift die Gewässer des Nachts mit seinen silberblauen Schuppen.,20221,275,4000,11,0,17,False,True
20078,"Schon die Jungfische dieser Art verteidigen ihr Revier vehement und versuchen, jeden Eindringling einzuschüchtern. Eindeutig eine Eigenschaft, die sie mit den Oronir teilen.",20222,275,4000,12,0,18,False,True
20079,"Das Salzwasser-Habitat des Pipira verleiht ihm eine natürlich Würze, sodass Köche ihn im Prinzip direkt auf den Grill schmeißen können. Ein un­ver­gleich­li­ches Geschmackserlebnis in Ala Mhigo.",20223,275,4000,13,0,20,False,True
20080,"Bevor du die Hand ausstreckst, um über den glatten glänzenden Stahl dieser vermeintlich metallischen Spezies zu streichen, solltest du bedenken, dass es sich dabei um einen schleimigen, stinkenden Fisch handelt.",20224,275,4000,14,0,19,False,True
20081,"Dieser Fisch ist sehr gut darin, sich zwischen den Pflanzen am Grund eines Sees vor Raubfischen zu verstecken. Durch seinen elfenbeinernen Farbton ist er dort nur schwer auszumachen.",20225,275,4000,15,0,20,False,True
20082,"Ein beliebter Speisefisch an den Küsten Othards, der in der Nähe felsiger Riffe auf die Jagd nach kleinen Krusten- und Weichtieren geht.",20226,290,4000,5,0,12,False,True
20083,"Ein Raubfisch mit einem ausgeprägten Geruchssinn, der es ihm erleichtert, die Spur seiner Beute aufnehmen.",20227,290,4000,28,0,12,False,True
20084,"Gelehrte haben Jahrzehnte damit verbracht, darüber zu grübeln, ob diese Spezies zu den Fischen oder den Delfinen gehörte, bis sie kürzlich herausfanden, dass sie gar nicht ausgestorben ist.",20228,290,4000,9,0,15,False,True
20085,Die Segelflosse ist durch ihre Prahlerei im Einzig gelandet. Der mächtige Susano wollte den arroganten Fisch zurechtweisen und verbannte ihn kurzerhand aus der Rubinsee.,20229,290,4000,10,0,14,False,True
20086,"Der Fangshi verfügt über einen imposante Erscheinung und Barteln, die ihm eine Aura der Weisheit verleihen. Damit ist er ein lebendes Symbol der Balance zwischen Körper und Geist in der Natur.",20230,290,4000,30,0,14,False,True
20087,"Durch das Verschlingen der Sonne hat sich ein dauerhafter oranger Farbton in die Schuppen dieses hungrigen Feuerfressers gebrannt. Damit wäre dann auch geklärt, wie es zu dem astronomischen Phänomen der ersten Sonnenfinsternis kam.",20231,290,4000,11,0,18,False,True
20088,"Von der Öffentlichkeit gefürchet und verunglimpft für die Rolle, die das tödliche Gift dieser Schlange bei der Ermordung eines angesehen Herrschers spielte. Dabei hat sie eigentlich ein sehr ruhiges Temperament und beißt normalerweise nicht zu.",20232,290,4000,12,0,17,False,True
20089,"Ein unentwegter Wächter, der für den Vater der Morgendämmerung und die Mutter der Abend­dämmerung während deren Abwesenheit ein Auge auf die Xaela hat.",20233,275,4000,31,0,16,False,True
20090,"In der existenziellen Hierarchie der Xaela stehen die Fische auf einer gottgleichen Stufe. Pferde, die ihren Haltern gut dienen, gehen daher ins Wasser ein und nur die besten von ihnen werden mit reinen weißen Schuppen wiedergeboren.",20234,290,4000,31,0,16,False,True
20091,Dieser Fisch soll nach der von der Katastrophe verursachten großen Sintflut angeblich sogar auf den Gipfeln von Abalathias Rückgrat gefunden worden sein. Gelehrte stufen diese Berichte allerdings als höchst unglaubwürdig ein.,20235,290,4000,13,0,21,False,True
20092,"Die Söldnerkrabbe ist mir einem stabilen Helm und einem kräftigen Paar Scheren bewaffnet. Angeblich wurde sie einst zu taktischen Beratungen hinzugezogen, bei denen Orakel den Weg zum Sieg aus den Linien auf dem Rücken ihres Panzers zu lesen versuchten.",20236,290,4000,14,0,20,False,True
20093,"Die Sharlayaner nannten diesen Fisch scherzhaft „Schmetterling“, während er in Ala Mhigo den Beinamen „Gespenst“ erhielt. Ein Lehrbuchbeispiel für eine kulturelle Neigung, die immer wieder gerne angeführt wird, obwohl jeder sie schon hundertmal gehört hat.",20237,290,4000,15,0,19,False,True
20094,"Diese flachen flachsfarbenen Fische werden instinktiv von treibenden Objekten angezogen. Daher ist die Wahr­schein­lich­keit hoch, dass er auf Besucher im Wasser zuschwimmt. Ob diese Begrüßung eine Harpunierung nach sich zieht, liegt im Ermessen des Besuchers.",20238,275,4000,32,0,21,False,True
20095,"Interne Machtkämpfe sind bei dieser Spezies keine Seltenheit, da sich diese blutdürstigen Despoten nicht damit zufriedengeben, an der Spitze der Nahrungskette im Seldsee zu stehen, sondern stets vollständige Dominanz zu erlangen suchen.",20239,290,4000,32,0,21,False,True
20096,Der winzige Tatsunoko wird bald zu einem stattlichen Tatsunoko heranwachsen und Angst und Schrecken verbreiten.,20528,290,4000,28,0,10,False,True
20097,"Der lange, spitz zulaufende Kopf erinnerte den Namensgeber dieses Fisches an das berühmte Katana Kiku-Ichimonji. Wer sieht, wie dieser Räuber den Scheibenbauch-Fisch mit einem kräftigen Stoß erbeutet, versteht sofort, wie angemessen der Name ist.",21179,300,4000,5,0,12,False,True
20098,"Der fettbauchige Fisch wird von vielen großen Räubern gejagt, doch entwischt er oft dank seiner ölig-glitschigen Haut.",21180,300,4000,29,0,11,False,True
20099,"Im Seenland kommt dieser Fisch zuhauf vor. Köstlich sowohl gebacken als auch überm Feuer gegrillt erfreut er sich als Speisefisch größter Beliebtheit. In Crystarium wird der Ausruf „Ach, du Graukarpfen!“ allerdings auch für Langweiler der schlimmsten Kategorie verwendet.",27516,345,5000,17,0,22,False,True
20100,Mit ihren großen Flossen versucht die Grundel ihre fliegenden Fressfeinde zu verwirren und sich als Laubwerk zu tarnen. Die Pigmentierung hängt dabei von der Ernährung ab - im Seenland ist sie selbst­verständ­lich lila.,27517,345,5000,16,0,22,False,True
20101,Der Purpurgeist besitzt ein erschreckend effektives elektrisches Organ. Lautlos schwimmt er an fressende Fische heran und schockt den ganzen Schwarm in einem einzigen Wimpernschlag.,27518,345,5000,16,0,22,False,True
20102,"Rauchschwaden scheinen in dem glasartigen Körper dieser kugelrunden Kreatur zu treiben, die weder Augen noch Organe zu besitzen scheint. Sterndeuter des Seenland-Bündnisses nutzten sie einst zur Ausübung ihrer Zunft.",27520,345,5000,16,0,23,False,True
20103,"Diese Fischart scheut weder vor anderen Fischen noch zweibeinigen Fischern zurück - alles wird rückhaltlos angegriffen. Die Elfen, die einst über das Seenland herrschten, würdigten sie daher mit gebührendem Respekt und gaben ihnen ihren heutigen Namen.",27522,345,5000,16,0,24,False,True
20104,"Sieht man zwei Guramis ihre Kiemen in Vertrauen aneinanderreiben, so beobachtet man ein komplexes soziales Ritual, das Stand und Rang der individuellen Exemplare darstellt. Der Gurami, dem andere so ihre Aufwartung machen, ist der Anführer eines ganzen Schwarms.",27528,345,5000,18,0,22,False,True
20105,"Die Schale dieser Muschel ist so violett wie das Seenland selbst. Aber auch ihr Geschmack erinnert mit seiner subtilen Süße an die diversen Pflanzenarten, mit der sie sich ihren Lebensraum teilt.",27529,345,5000,18,0,22,False,True
20106,"Der ganze Körper strahlt in einem bleichen Weiß, was den Seenland-Dorsch zu einem beliebten Fang und noch beliebterem Gericht macht. Insbesondere auf Hochzeitsfeiern der Seenland-Gegend ist er stets auf der Speisekarte vertreten.",27533,345,5000,18,0,24,False,True
20107,"Ein köstlicher, aber kein sehr hübsch anzusehender Süßwasserfisch, der in vielen Gerichten der traditionellen Küche von Voeburt auftaucht. Um seinem eigenartigen Geruch Herr zu werden, wurde er grundsätzlich mit reichlich Kräutern serviert.",27536,390,5000,23,0,23,False,True
20108,"Eine sehr genügsame Riesenasselart, die sich hauptsächlich von Einzellern ernährt. Spannenderweise besitzt sie kein Ausscheidungsorgan, sondern führt jegliche aufgenommene Nahrung ihrem immer dicker werdenden Panzer zu.",27519,345,5000,16,0,23,False,True
20109,"Die eigene Oktopusart des malerischen Quellsees. Ihre fahle, lilafarbene Haut lässt sie mit der Was­ser­o­ber­flä­che verschmelzen, in der sich die bleichen Bäume des Seenlands reflektieren.",27521,350,5000,16,0,24,False,True
20110,"Eine aggressive Fischart, die stets in Grundnähe auf Jagd geht. Je älter diese Tiere werden, desto bleicher werden sie - das ist eine Folge der mikroskopisch kleinen Kristalle, sie sich in ihren Heimatgewässern tummeln.",27523,350,5000,17,0,22,False,True
20111,"Die Fliederlungen tummeln sich in seichten Gewässern, die stets kurz vorm Austrocknen sind. Kommt es dann tatsächlich zu einer Dürre, schließen sie sich in einen harten Kokon aus Sekret und fallen in eine Schlafstarre, bis das Wasser zurückkehrt. Dann sieht man die Schalen ihrer Kokons gespenstisch an der Oberfläche treiben.",27524,350,5000,17,0,23,False,True
20112,"Die Platinbrasse hat sich die Lichtflut zu eigen gemacht - sie speichert den überschüssigen Äther in ihren Schuppen und beginnt zu leuchten, um Artgenossen auf sich aufmerksam zu machen. Allerdings spielt sie aufmerksamen Fischern damit auch direkt in die Hände ...",27525,350,5000,17,0,23,False,True
20113,"Ihr praller, tiefvioletter Körper gab diesen Fischen ihren ulkigen Namen. Laut einer Bauernweisheit wird die nächste Ernte besonders ertragreich, wenn man viele dieser Fische in den nahe gelegenen Wassern sichtet. Ob das tatsächlich stimmt, konnte bislang allerdings nicht nachgewiesen werden.",27527,350,5000,17,0,24,False,True
20114,Diese Vielfraße sind ausgesprochen widerspenstig und ertragen selbst drastische Temperaturschwankungen klaglos. Deswegen konnte ihnen selbst die Lichtflut nichts anhaben - ganz im Gegenteil. Mit dem Aussterben diverser Fressfeinde vermehrten sich diese bunten Gesellen nur umso schneller.,27530,350,5000,18,0,23,False,True
20115,"Die Schuppen sind von edler Farbe, die Flossen wiegen sich graziös in den Wellen - die reichen Familien des Seenland-Bündnisses waren einst ganz versessen darauf, die Adelsflosser als Zierfische in Teichen und Aquarien zu halten.",27531,350,5000,18,0,23,False,True
20116,"Die kleinen Augen, die hinter dem Schein seiner Stirnlampe hervorlinsen, erinnern stark an einen grimmigen Wächter, der den Blick keinen Wimpernschlag lang von seinen Gefangenen lässt. Seine furchterregende Fischfratze passt ebenfalls perfekt in diesen Vergleich.",27526,355,5000,17,0,24,False,True
