#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
18,Gift,Erleidet schrittweise Schaden durch Gift.,215007,10,0,0,0,0,1,2,1,10,0,0,0,0,0,0,5,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
19,Giftpollen,Giftige Pollen in deiner Lunge verursachen schrittweise Schaden.,215517,100,0,0,0,0,1,2,1,10,0,0,0,0,0,0,5,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
20,TP-Verlust,TP nehmen schrittweise ab.,215025,0,0,0,0,0,1,2,17,10,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,LP-Bonus,Maximal-LP sind erhöht.,215075,10,0,0,6,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,LP-Malus,Maximal-LP sind verringert.,215076,-10,0,0,6,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,MP-Bonus,Maximal-MP sind erhöht.,215077,10,0,0,7,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,MP-Malus,Maximal-MP sind verringert.,215078,-10,0,0,7,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25,Attacke-Bonus,Der Attacke-Wert ist erhöht.,215050,10,0,0,8,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Attacke-Malus,Der Attacke-Wert ist verringert.,215051,-10,0,0,8,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27,Prä­zi­sions-Bo­nus,Die Präzision ist erhöht.,215060,10,0,0,9,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Prä­zi­sions-Ma­lus,Die Präzision ist verringert.,215061,-10,0,0,9,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
29,Ver­tei­di­gungs-Bo­nus,Die Verteidigung ist erhöht.,215052,10,0,0,10,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Ver­tei­di­gungs-Ma­lus,Die Verteidigung ist verringert.,215053,-10,0,0,10,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31,Ausweich-Bonus,Die Fähigkeit des Ausweichens ist verbessert.,215062,10,0,0,11,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Ausweich-Malus,Die Fähigkeit des Ausweichens ist verringert.,215063,-10,0,0,11,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,Offensivmagie-Bonus,Das magische Potenzial ist erhöht.,215054,10,0,0,12,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,Offensivmagie-Malus,Das magische Potenzial ist verringert.,215055,-10,0,0,12,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,Heilmagie-Bonus,Das Potenzial der Heilmagie ist erhöht.,215058,10,0,0,13,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Heilmagie-Malus,Das Potenzial der Heilmagie ist verringert.,215059,-10,0,0,13,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
37,Ma­gie­ab­wehr-Bo­nus,Die Magieabwehr ist erhöht.,215056,10,0,0,14,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,Ma­gie­ab­wehr-Ma­lus,Die Magieabwehr ist verringert.,215057,-10,0,0,14,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
39,Betäubungsresistenz,**Betäubung** wird aufgehoben.,215566,100,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
40,Stumm-Resistenz,**Stumm** wird aufgehoben.,215567,100,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
41,Werkstattstimmung,Die maximalen HP sind für Handwerker bis Stufe 90 erhöht.,216107,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,Kraft des Transzendierens,"Die maximalen LP, ausgeteilter Schaden und eigene Heilmagie-Wirkung sind erhöht.",216207,15,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
43,Schwäche,"STR, GSK, INT und WLK sind um 25 % verringert.",215010,0,0,0,16,0,1,2,0,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Sterbenselend,"STR, GSK, INT und WLK sind um 50 % verringert. ",215011,0,0,0,16,0,1,2,0,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Sternstunde der Handwerker,Disziplinen der Handwerker können mehr Routine als gewöhnlich erlangen.,216106,0,0,0,15,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Sternstunde der Sammler,Disziplinen der Sammler können mehr Routine als gewöhnlich erlangen.,216006,0,0,0,15,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Verstohlenheit,"Auf leisen Sohlen unterwegs. Gänzlich unaufspürbar für Gegner, deren Stufe bis zu vier höher ist als die eigene.",216015,0,138,0,0,0,1,1,16,2,0,0,0,36,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
48,Gut gesättigt,Genießt die Vorteile eines gut gefüllten Magens.,216202,1,0,0,0,0,1,1,16,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Stärkung,Erhöhte Leistung dank stärkender Medizin.,216203,2,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,Sprint,Be­we­gungs­ge­schwin­dig­keit ist erhöht.,210101,0,0,0,41,0,1,1,0,0,0,18,0,6,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Stärke-Malus,Stärke ist verringert.,215080,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
52,Konstitutions-Malus,Konstitution ist verringert.,215082,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
53,Schadenswert +,Ausgeteilter physischer Schaden ist erhöht.,215050,10,0,0,35,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,Schadenswert -,Ausgeteilter physischer Schaden ist verringert.,215051,-10,0,0,35,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
55,Verringerte physische Verwundbarkeit,Erlittener physischer Schaden ist verringert.,215052,-10,0,0,36,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Erhöhte physische Verwundbarkeit,Erlittener physischer Schaden ist erhöht.,215053,10,0,0,36,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
57,Magieschaden +,Ausgeteilter Magieschaden ist erhöht.,215054,10,0,0,37,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,Magieschaden -,Ausgeteilter Magieschaden ist verringert.,215055,-10,0,0,37,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59,Verringerte Magie-Verwundbarkeit,Erlittener Magieschaden ist verringert.,215056,-10,0,0,38,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,Erhöhte Magie-Verwundbarkeit,Erlittener Magieschaden ist erhöht.,215057,10,0,0,38,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
61,Schaden +,Ausgeteilter Schaden ist erhöht.,215519,10,0,0,39,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,Schaden -,Ausgeteilter Schaden ist verringert.,215520,-10,0,0,39,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
63,Verringerte Verwundbarkeit,Erlittener Schaden ist verringert.,215021,-10,0,0,40,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,Erhöhte Verwundbarkeit,Erlittener Schaden ist erhöht.,215020,10,0,0,40,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
65,Kritisches Potenzial,Nächste Waf­fen­fer­tig­keit verursacht kritischen Treffer.,215016,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Terror,Vor Angst be­we­gungs­un­fäh­ig.,215516,0,0,0,0,0,1,2,18,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,Bleischwere,Be­we­gungs­ge­schwin­dig­keit ist verringert.,215518,0,6,0,0,0,1,2,4,100,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
68,Auszehren,Auto-Attacke entzieht dem Gegner LP.,215504,10,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,Auslaugen,Auto-Attacke entzieht dem Gegner TP.,215505,100,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,Ausschalten,Auto-Attacke kann Gegner betäuben.,215506,176,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,Schutzwall,Erlittener Schaden ist verringert.,210152,-10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,Konvaleszenz,Heilmagie auf sich selbst regeneriert mehr LP.,210157,20,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,Achtsamkeit,Erleidet keine kritischen Treffer.,213916,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,Sentinel,Erlittener Schaden ist verringert.,210151,-20,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,Eherner Wille,Immun gegen fast alle Rückstoß- und Heranzieheffekte.,210153,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,Verwegenheit,Ausgeteilter Schaden ist erhöht.,210155,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,Bollwerk,Erlittene Attacken werden geblockt.,210156,100,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Schwert-Eid,Auto-Attacke ist verstärkt.,212505,100,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
79,Schild-Eid,Feindseligkeit ist erhöht.,212506,500,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
80,Deckung,Ein bestimmtes Grup­pen­mit­glied wird beschützt.,212501,0,0,0,0,0,1,1,16,100,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
81,Gedeckt,Steht unter dem Schutz eines Grup­pen­mit­glieds.,212502,0,0,0,0,0,20,1,16,100,0,0,0,35,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
82,Heiliger Boden,Immun gegen fast alle Attacken.,212504,0,0,0,0,0,1,1,16,70,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,Vorahnung,Die Verteidigung ist erhöht.,210252,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,Blutbad,Ein Teil des mit der nächsten Attacke ausgeteilten Schadens generiert eigene LP.,213913,25,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,Verstümmelung,Ausgeteilter Schaden ist erhöht.,210262,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,Tollwut,"Alle eigenen Waf­fen­fer­tig­kei­ten landen kritische und direkte Treffer. Ist ein Effekt aktiv, der die Rate kritischer oder direkter Treffer steigert, erhöht sich auch der Attacke-Wert.",217217,0,0,0,0,3,1,1,16,0,2,27,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,Kampfrausch,"Maximal-LP sind erhöht.
Zusatzeffekt bei Verbesserter Kampfrausch: Eigene LP-Regeneration durch Heilmagie ist erhöht.",210254,10,0,0,0,0,1,1,16,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Holmgang,Bewegungsunfähig. Schaden beendet den Effekt.,210255,0,0,0,0,0,1,2,17,100,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,Rache,Erlittener Schaden ist verringert und ein Teil des erlittenen physischen Schadens wird auf den Angreifer zurückgeworfen.,210256,-30,0,0,0,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,Sturmbrecher,Ausgeteilter Schaden ist erhöht.,210263,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,Verteidiger,Feindseligkeit ist erhöht.,212551,500,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
92,Entfesselt,Reduktion ausgeteilten Schadens bei „Verteidiger“ ist aufgehoben.,212552,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,Zorn,Paraderate ist erhöht.,210257,2,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,Zorn II,Paraderate ist erhöht.,210258,4,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,Zorn III,Paraderate ist erhöht.,210259,6,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,Zorn IV,Paraderate ist erhöht.,210260,8,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,Zorn V,Paraderate ist erhöht.,210261,10,7,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,Drachentritt,Schlagresistenz ist verringert.,210215,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
99,Leichtfuß,Ausweichrate ist erhöht.,210201,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,Innere Gelöstheit,Kritische Trefferrate ist erhöht.,210204,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,Doppelviper,Ausgeteilter Schaden ist erhöht.,210216,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,Mantra,Effekt von Heilkommandos ist verstärkt.,210206,5,0,0,0,0,41,1,16,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,Sengende Aura,Ausgeteilter Schaden ist erhöht.,210202,5,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
104,Steinerne Aura,Erlittener Schaden ist verringert.,210203,-10,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
105,Beflügelnde Aura,Be­we­gungs­ge­schwin­dig­keit ist erhöht.,212526,0,0,528,29,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
106,Hauch des Todes,Erleidet schrittweise Schaden.,210211,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,3,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
107,Opo-Opo-Form,Hat die Opo-Opo-Kampfhaltung eingenommen.,210212,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
108,Raptor-Form,Hat die Raptor-Kampfhaltung eingenommen.,210213,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
109,Coeurl-Form,Hat die Coeurl-Kampfhaltung eingenommen.,210214,0,0,528,31,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
110,Improvisation,"Kann flexibel sowohl **Opo-Opo-**, **Raptor-** als auch **Coeurl-Form** gleichermaßen einnehmen.",217564,0,0,528,31,3,1,1,16,0,2,27,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
111,Geölter Blitz,"Ausgeteilter Schaden ist erhöht und die Intervalle zwischen Auto-Attacken und die
(Re-)Ak­ti­vie­rungs­zei­ten von Waf­fen­fer­tig­kei­ten und Magie sind verkürzt. ",210207,10,8,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
112,Geölter Blitz II,"Ausgeteilter Schaden ist erhöht und die Intervalle zwischen Auto-Attacken und die
(Re-)Ak­ti­vie­rungs­zei­ten von Waf­fen­fer­tig­kei­ten und Magie sind verkürzt. ",210208,20,9,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
113,Geölter Blitz III,"Ausgeteilter Schaden ist erhöht und die Intervalle zwischen Auto-Attacken und die
(Re-)Ak­ti­vie­rungs­zei­ten von Waf­fen­fer­tig­kei­ten und Magie sind verkürzt. ",210209,30,10,0,32,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
114,Auge des Sturms,"Die Fähigkeit, einen Angriff zu parieren, ist verbessert.",210301,20,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,Gewaltiger Stoß,Ausgeteilter Schaden ist erhöht.,210306,5,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,Vitalwallung,"Die nächste Waf­fen­fer­tig­keit trifft kritisch und LP in Schadenshöhe werden regeneriert. Ist ein Effekt aktiv, der die Rate kritischer oder direkter Treffer steigert, erhöht sich auch der Attacke-Wert.",210302,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,Zahn um Zahn,Ausgeteilter und erlittener Schaden sind erhöht. ,210304,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,Chaotischer Tjost,Erleidet schrittweise Schaden.,210307,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
119,Phlebotomie,Erleidet schrittweise Schaden.,210305,10,0,0,0,0,1,2,17,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
120,Drachenklaue,Nächster **Sprung** oder **Wirbelsprenger** verursacht höheren Schaden.,210303,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,Drachengriff,Stichresistenz ist verringert.,212576,-5,0,0,0,0,1,2,17,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
122,Direktschussbereit,**Direkter Schuss** kann ausgeführt werden.,210365,0,0,0,0,0,1,1,16,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,Falkenauge,GESK ist erhöht und jede Attacke trifft garantiert.,210351,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,Infizierte Wunde,Erleidet schrittweise Schaden durch Gift.,210352,10,0,0,0,0,1,2,1,10,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
125,Wütende Attacke,Ausgeteilter Schaden ist erhöht.,210354,10,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
