#,InlineName,Name,Color,Shade,Unknown0,Unknown1,SubOrder,IsMetallic,IsHousingApplicable
102,Rabenschwarz,Rabenschwarz,1973790,13115,8733,10,2,False,True
103,Pastellrosa,Pastellrosa,16632006,13708,8734,10,3,False,True
104,Dunkelrot,Dunkelrot,3283225,13709,8735,10,4,False,True
105,Dunkelbraun,Dunkelbraun,2629916,13710,8736,10,5,False,True
106,Pastellgrün,Pastellgrün,12242858,13711,8737,10,6,False,True
107,Dunkelgrün,Dunkelgrün,1387564,13712,8738,10,7,False,True
108,Pastellblau,Pastellblau,9872601,13713,8739,10,8,False,True
109,Dunkelblau,Dunkelblau,1187629,13714,8740,10,9,False,True
110,Pastellviolett,Pastellviolett,12301786,13715,8741,10,10,False,True
111,Dunkelviolett,Dunkelviolett,2301990,13716,8742,10,11,False,True
112,Metallic Silber,Metallic Silber,10987431,13116,8743,10,12,True,False
113,Metallic Gold,Metallic Gold,15590973,13117,8744,10,13,True,False
114,Metallic Rot,Metallic Rot,11935051,13717,8745,10,14,True,False
115,Metallic Orange,Metallic Orange,14978095,13718,8746,10,15,True,False
116,Metallic Gelb,Metallic Gelb,16046662,13719,8747,10,16,True,False
117,Metallic Grün,Metallic Grün,2271063,13720,8748,10,17,True,False
118,Metallic Himmelblau,Metallic Himmelblau,6214886,13721,8749,10,18,True,False
119,Metallic Blau,Metallic Blau,5264089,13722,8750,10,19,True,False
120,Metallic Violett,Metallic Violett,10708674,13723,8751,10,20,True,False
121,Purpurviolett,Purpurviolett,6443151,52256,0,9,10,False,True
122,Metallic Pink,Metallic Pink,10639723,52256,0,10,24,True,False
123,Metallic Rubinrot,Metallic Rubinrot,2031616,52256,0,10,25,True,False
124,Metallic Kobaltgrün,Metallic Kobaltgrün,1393215,52256,0,10,26,True,False
125,Metallic Dunkelblau,Metallic Dunkelblau,524831,52256,0,10,27,True,False
126,,,0,0,0,0,0,False,False
127,,,0,0,0,0,0,False,False
128,,,0,0,0,0,0,False,False
