#,Description,Unknown1,RequiredQuest,PreviewIcon,Transformation,Festival,Expansion
29,"Einen einsamen Au Ra, der so stolz wie kühn ist.",2,68089,73829,213,76,2
30,Eine stolze Au Ra mit einem kämpferischen Herzen.,3,68089,73830,212,76,2
31,"Eine gottesfürchtige Au Ra, lieblich und doch von Zweifeln geplagt.",4,68089,73831,211,76,2
32,"Eine Hyuran in feuerroten Kleidern, die sich aufs Kämpfen versteht.",5,68089,73832,216,76,2
33,"Einen stolzen Roegadyn, der die Piraten der Rubinsee unter sich vereint.",6,68089,73833,536,152,2
34,"Einen loyalen Hyuran, der seinen Flottenkapitän als Stellvertreter unterstützt.",7,68089,73834,537,152,2
35,"Einen Hyuran, der während seiner Reise mit vier Tierheiligen zum Helden wurde.",11,68702,73835,361,91,2
36,"Einen gefühlskalten Hyuran, der als kaiserlicher Gesandter arbeitet.",8,68610,73836,360,91,2
37,Einen kampferfahrenen Garlear und seinen Rachefeldzug gegen die Ascians.,9,68717,73837,478,132,2
38,"Eine junge Au Ra, die weise über ihre Jahre hinaus und hoch gebildet ist.",12,68725,73838,479,132,2
39,"Einen Hyuran, Befreier von Unterdrückten, mit einer außergewöhnlichen Körperbeherrschung.",98,68089,73839,480,132,2
40,"Einen Hyuran, Befreier von Unterdrückten, der eins mit seinem Katana ist.",99,68089,73840,481,132,2
41," Eine überaus kluge Miqo'te, die sich selbst als Hexe ausgibt.",0,69190,73841,362,91,3
42,"Einen wortgewandten Elezen, der sein Glück in den Sternen gelesen hat.",1,69190,73842,364,91,3
43,"Einen draufgängerischen Hyuran, der mit einer Revolverklinge kämpft.",2,69190,73843,363,91,3
44,"Ein Mädchen mit kristallblauen Augen, das ein schweres Schicksal auf seinen Schultern trug.",3,69190,73844,365,91,3
45,"Einen hitzköpfigen Hyuran, der sich als Kapitän einer Piratenbande wähnt.",5,69552,73845,473,132,3
46,"Einen gefährlichen Hyuran, dem die wildesten Bestien folgen.",7,69487,73846,474,132,3
47,"Eine selbstsüchtige Lalafell, die aus einer alten Familie von Greifenmeistern stammt.",8,69620,73847,475,132,3
48,"Einen Garlear, der als Legat dem Kaiserreich diente und von Rachsucht und Ambitionen getrieben ist.",6,69568,73848,476,132,3
49,"Einen edelmütigen Hyuran, der einer Welt die Nacht zurückbrachte.",99,69190,73849,477,132,3
50,Einen tüchtigen Elezen vom Rat der Philosophen mit einem herausragenden Pflichtbewusstsein.,0,70000,73850,464,132,4
51,"Eine wohltätige Elezen, die aus dem Hintergrund den Bund der Morgenröte unterstützt.",1,70000,73851,469,132,4
52,"Einen jungen Garlear, der einst dem Reich treu als Offizier diente und nun den Neuanfang seiner Nation begleitet.",2,70000,73852,470,132,4
53,"Einen jungen Viera, der die Welt bereist und für seine Heimat gefragte Raritäten sammelt.",3,70000,73853,471,132,4
54,Einen gewitzten Hyuran mit einem Riecher für das Rare und Bare aus dem Fernen Osten.,7,70269,73854,509,142,4
55,Eine Miqo'te mit starker Verbindung zu alter Magie.,8,70199,73855,510,142,4
56,"Eine Marionette, die den unbeugsamen Willen eines Hohen Drachen beherbergt, der im Nichts mit seiner Schwester wiedervereint wurde.",4,70286,73856,538,152,4
57,"Einen schüchternen, aber durchaus pfiffigen und mathematisch begabten Klon eines weltberühmten Kriminologen.",9,70336,73857,539,152,4
58,"Einen Hyuran, der sich unbeugsam gegen das Ende der Welt stemmt.",99,70000,73858,472,132,4
59,"Eine Hrothgar, die die Stadt aus Gold entdeckte und die Krone des Mutes ergatterte.",0,70495,73859,570,164,5
60,"Einen Miqo'te, der seiner Schwester half und die Krone der Weisheit ergatterte.",1,70495,73860,571,164,5
61,"Einen Hyuran, dem die Farbe Gold gut steht.",99,70495,73861,572,164,5
62,"Eine Lalafell, die mit dem Pinsel kämpft und endlich ihre Herkunft erfuhr.",2,70495,73862,573,164,5
63,"Einen Hyuran, der im Glauben an die Zwölf die Welt bereist.",6,70328,73863,574,164,4
64,"Ein Mischwesen, das aus einer in Dunkelheit gehüllten Welt kommt und eine Sense trägt.",5,70286,73864,575,164,4
65,"Einen Hrothgar, der in der Dunkelheit des Waldes lebt und sich nach einer Hexe sehnt.",4,69190,73865,576,164,3
66,"Einen halbgarleischer Junge, den man den Helden der Schatten nannte.",13,68725,73866,577,164,2
67,"Ein halbgarleisches Mädchen, das man die Schwester des Helden nannte.",14,68725,73867,578,164,2
68,"Einen Garlear, der eine Theatergruppe anführt.",15,68725,73868,579,164,2
69,Eine temperamentvolle Halbschwergewichtskämpferin und zuverlässige Sekundantin.,3,70976,73869,582,176,5
70,Eine ehemalige Schwergewichtskämpferin und Hexe für ein neues Zeitalter.,6,70976,73870,583,176,5
71,"Einen grünen Nachtschwärmer, der jederzeit bereit ist, die Tanzfläche zu erobern.",7,70976,73871,584,176,5
72,"Eine bezaubernde Halbschwergewichtskämpferin und ein Nachwuchsstar, der sticht.",4,70976,73872,585,176,5
73,Einen Einzelgänger im Ring und Spitzenreiter der Schwergewichtsklasse.,9,70976,73873,586,176,5
74,"Einen unerschrockenen Kämpfer, der furchtlos durch die Sieben Höllen gegangen ist.",5,70976,73874,587,176,5
75,"Eine rebellische Künstlerin, die den Ring als ihre persönliche Galerie betrachtet.",8,70976,73875,588,176,5
76,"Einen gerissenen Superschwergewichtskämpfer, in tiefes Blau gehüllt und von den Gezeiten geleitet.",11,70976,73876,589,176,5
77,"Einen feurigen Superschwergewichtskämpfer, der mit Leichtigkeit Feuer entfacht.",12,70976,73877,590,176,5
78,"Eine teuflische Superschwergewichtskämpferin, die ihren Rivalen keine Gnade zeigt.",10,70976,73878,591,176,5
79,"Einen skrupellosen Superschwergewichtskämpfer, der das Arkadion mit eiserner Faust regiert.",13,70976,73879,592,176,5
80,"Einen gerissenen Kommentator, der als Stimme der ausgelassenen Schlägereien im Arkadion dient.",14,70976,73880,593,176,5
81,"Einen standhaften Garlear, der sein Vertrauen in die Popularen setzte.",10,68721,73881,594,176,2
82,"Eine eigensinnige Hyuran, die eine Bande von Luftpiraten anführt.",8,67740,73882,595,176,1
83,"Eine mitfühlende Elezen, die ihre örtliche Taverne mit Stolz führt.",6,0,73883,596,176,0
84,"Einen gut gelaunten Hyuran, der in seiner Schenke Gäste aus aller Welt willkommen heißt.",7,0,73884,597,176,0
85,"Eine kluge Lalafell, die sich an den Abenteuergeschichten ihrer Besucher erfreut.",8,0,73885,598,176,0
