#,Experience,Unknown0,RetainerTaskParameter,VentureCost,MaxTimemin,RequiredItemLevel,RequiredGathering,Unknown1,Task,ClassJobCategory,RetainerLevel,ConditionParam0,ConditionParam1,IsRandom
67,66400,0,49,1,60,29,0,0,67,34,49,0,0,False
68,66400,0,49,1,60,29,0,0,68,34,49,0,0,False
69,800,1,2,1,60,0,0,0,69,17,2,0,0,False
70,500,1,0,1,60,0,0,0,70,17,1,0,0,False
71,500,1,0,1,60,0,0,0,71,17,1,0,0,False
72,500,1,0,1,60,0,0,0,72,17,1,0,0,False
73,500,1,0,1,60,0,0,0,73,17,1,0,0,False
74,500,1,0,1,60,0,0,0,74,17,1,0,0,False
75,500,1,0,1,60,0,0,0,75,17,1,0,0,False
76,800,3,3,1,60,0,0,0,76,17,3,0,0,False
77,1400,5,5,1,60,0,0,0,77,17,5,0,0,False
78,3000,6,6,1,60,0,0,0,78,17,6,0,0,False
79,3000,7,7,1,60,0,0,0,79,17,7,0,0,False
80,3000,7,7,1,60,0,0,0,80,17,7,0,0,False
81,5000,8,8,1,60,0,0,0,81,17,8,0,0,False
82,5000,9,9,1,60,0,0,0,82,17,9,0,0,False
83,7400,10,10,1,60,0,30,0,83,17,10,72,0,False
84,7400,10,10,1,60,0,30,0,84,17,10,72,0,False
85,7400,11,11,1,60,0,40,0,85,17,11,72,0,False
86,7400,11,11,1,60,0,40,0,86,17,11,72,0,False
87,10200,12,12,1,60,0,41,0,87,17,12,72,0,False
88,10200,13,13,1,60,0,43,0,88,17,13,72,0,False
89,13100,14,14,1,60,0,44,0,89,17,14,72,0,False
90,13100,14,14,1,60,0,44,0,90,17,14,72,0,False
91,13100,15,15,1,60,0,45,0,91,17,15,72,0,False
92,17400,16,16,1,60,0,58,0,92,17,16,72,0,False
93,17400,17,17,1,60,0,60,0,93,17,17,72,0,False
94,17400,17,17,1,60,0,60,0,94,17,17,72,0,False
95,17400,17,17,1,60,0,60,0,95,17,17,72,0,False
96,21900,18,18,1,60,0,62,0,96,17,18,72,0,False
97,21900,19,19,1,60,0,63,0,97,17,19,72,0,False
98,21900,19,19,1,60,0,63,0,98,17,19,72,0,False
99,24900,20,20,1,60,0,65,0,0,17,20,72,0,False
100,24900,20,20,1,60,0,65,0,100,17,20,72,0,False
101,24900,21,21,1,60,0,75,0,101,17,21,72,0,False
102,26100,22,22,1,60,0,78,0,102,17,22,72,0,False
103,26100,23,23,1,60,0,81,0,103,17,23,72,0,False
104,26100,23,23,1,60,0,81,0,104,17,23,72,0,False
105,27200,24,24,1,60,0,84,0,105,17,24,72,0,False
106,27200,24,24,1,60,0,84,0,106,17,24,72,0,False
107,27200,24,24,1,60,0,84,0,107,17,24,72,0,False
108,27200,25,25,1,60,0,87,0,108,17,25,72,0,False
109,27200,25,25,1,60,0,87,0,109,17,25,72,0,False
110,32100,26,26,1,60,0,90,0,110,17,26,72,0,False
111,32100,26,0,1,60,0,90,0,111,17,26,72,0,False
112,32100,26,0,1,60,0,90,0,112,17,26,72,0,False
113,32100,26,0,1,60,0,90,0,113,17,26,72,0,False
114,32100,26,0,1,60,0,90,0,114,17,26,72,0,False
115,32100,26,0,1,60,0,90,0,115,17,26,72,0,False
116,32100,26,0,1,60,0,90,0,116,17,26,72,0,False
117,32100,27,27,1,60,0,92,0,117,17,27,72,0,False
118,34500,28,28,1,60,0,95,0,118,17,28,72,0,False
119,34500,28,28,1,60,0,95,0,119,17,28,72,0,False
120,34500,28,28,1,60,0,95,0,120,17,28,72,0,False
121,34500,28,28,1,60,0,95,0,121,17,28,72,0,False
122,34500,28,28,1,60,0,95,0,122,17,28,72,0,False
123,34500,28,28,1,60,0,95,0,123,17,28,72,0,False
124,34500,28,28,1,60,0,95,0,124,17,28,72,0,False
125,34500,28,28,1,60,0,95,0,125,17,28,72,0,False
126,34500,29,29,1,60,0,96,0,126,17,29,72,0,False
127,35200,30,30,1,60,0,99,0,0,17,30,72,0,False
128,35200,30,30,1,60,0,99,0,128,17,30,72,0,False
129,35200,30,30,1,60,0,99,0,129,17,30,72,0,False
130,35200,30,30,1,60,0,99,0,130,17,30,72,0,False
131,35200,30,30,1,60,0,99,0,131,17,30,72,0,False
132,35200,31,31,1,60,0,101,0,132,17,31,72,0,False
133,35200,31,31,1,60,0,101,0,133,17,31,72,0,False
134,38600,32,32,1,60,0,103,0,134,17,32,72,0,False
135,38600,33,33,1,60,0,105,0,135,17,33,72,0,False
136,38600,33,33,1,60,0,105,0,136,17,33,72,0,False
137,38600,33,33,1,60,0,105,0,137,17,33,72,0,False
138,40800,34,34,1,60,0,107,0,138,17,34,72,0,False
139,40800,34,34,1,60,0,107,0,139,17,34,72,0,False
140,40800,35,35,1,60,0,109,0,140,17,35,72,0,False
141,44800,36,36,1,60,0,112,0,141,17,36,72,0,False
142,44800,37,37,1,60,0,113,0,142,17,37,72,0,False
143,49000,38,38,1,60,0,116,0,143,17,38,72,0,False
144,49000,39,39,1,60,0,118,0,144,17,39,72,0,False
145,52600,40,40,1,60,0,120,0,145,17,40,72,0,False
146,52600,40,40,1,60,0,120,0,146,17,40,72,0,False
147,52600,46,40,1,60,0,120,0,147,17,40,72,0,False
148,52600,46,40,1,60,0,120,0,148,17,40,72,0,False
149,52600,46,40,1,60,0,120,0,149,17,40,72,0,False
150,52600,41,41,1,60,0,125,0,150,17,41,72,0,False
151,54200,42,42,1,60,0,127,0,151,17,42,72,0,False
152,54200,43,43,1,60,0,129,0,152,17,43,72,0,False
153,55700,44,44,1,60,0,131,0,153,17,44,72,0,False
154,55700,45,45,1,60,0,133,0,154,17,45,72,0,False
155,55700,45,45,1,60,0,133,0,155,17,45,72,0,False
156,61900,46,46,1,60,0,140,0,156,17,46,72,0,False
157,61900,47,47,1,60,0,142,0,157,17,47,72,0,False
158,66400,49,48,1,60,0,144,0,158,17,48,72,0,False
159,66400,50,49,1,60,0,147,0,159,17,49,72,0,False
160,122000,50,50,1,60,0,149,0,0,17,50,72,0,False
161,500,1,1,1,60,0,0,0,161,18,1,0,0,False
162,500,1,0,1,60,0,0,0,162,18,1,0,0,False
163,500,1,0,1,60,0,0,0,163,18,1,0,0,False
164,500,1,0,1,60,0,0,0,164,18,1,0,0,False
165,500,1,0,1,60,0,0,0,165,18,1,0,0,False
166,500,1,0,1,60,0,0,0,166,18,1,0,0,False
167,500,1,0,1,60,0,0,0,167,18,1,0,0,False
168,800,2,2,1,60,0,0,0,168,18,2,0,0,False
169,800,2,2,1,60,0,0,0,169,18,2,0,0,False
170,800,3,3,1,60,0,0,0,170,18,3,0,0,False
171,1400,4,4,1,60,0,0,0,171,18,4,0,0,False
172,1400,5,5,1,60,0,0,0,172,18,5,0,0,False
173,1400,5,5,1,60,0,0,0,173,18,5,0,0,False
174,3000,6,6,1,60,0,0,0,174,18,6,0,0,False
175,3000,6,6,1,60,0,0,0,175,18,6,0,0,False
176,3000,7,7,1,60,0,0,0,176,18,7,0,0,False
177,3000,7,7,1,60,0,0,0,177,18,7,0,0,False
178,5000,8,8,1,60,0,0,0,178,18,8,0,0,False
179,5000,9,9,1,60,0,0,0,179,18,9,0,0,False
180,5000,9,9,1,60,0,0,0,180,18,9,0,0,False
181,7400,10,10,1,60,0,30,0,181,18,10,72,0,False
182,7400,10,10,1,60,0,30,0,182,18,10,72,0,False
183,7400,11,11,1,60,0,40,0,183,18,11,72,0,False
184,7400,11,11,1,60,0,40,0,184,18,11,72,0,False
185,7400,11,11,1,60,0,40,0,185,18,11,72,0,False
186,7400,11,11,1,60,0,40,0,186,18,11,72,0,False
187,7400,11,11,1,60,0,40,0,187,18,11,72,0,False
188,7400,11,11,1,60,0,40,0,188,18,11,72,0,False
189,7400,11,11,1,60,0,40,0,189,18,11,72,0,False
190,10200,12,12,1,60,0,41,0,190,18,12,72,0,False
191,10200,12,12,1,60,0,41,0,191,18,12,72,0,False
192,10200,12,12,1,60,0,41,0,192,18,12,72,0,False
193,10200,12,12,1,60,0,41,0,193,18,12,72,0,False
194,10200,12,12,1,60,0,41,0,194,18,12,72,0,False
195,10200,13,13,1,60,0,43,0,195,18,13,72,0,False
196,10200,13,13,1,60,0,43,0,196,18,13,72,0,False
197,10200,13,13,1,60,0,43,0,197,18,13,72,0,False
198,10200,13,13,1,60,0,43,0,198,18,13,72,0,False
199,10200,13,13,1,60,0,43,0,199,18,13,72,0,False
200,10200,13,13,1,60,0,43,0,200,18,13,72,0,False
201,13100,14,14,1,60,0,44,0,201,18,14,72,0,False
202,13100,14,14,1,60,0,44,0,202,18,14,72,0,False
203,13100,14,14,1,60,0,44,0,203,18,14,72,0,False
204,13100,15,15,1,60,0,45,0,204,18,15,72,0,False
205,13100,15,15,1,60,0,45,0,205,18,15,72,0,False
206,13100,15,15,1,60,0,45,0,206,18,15,72,0,False
207,13100,15,15,1,60,0,45,0,207,18,15,72,0,False
208,17400,16,16,1,60,0,58,0,208,18,16,72,0,False
209,17400,16,16,1,60,0,58,0,209,18,16,72,0,False
210,17400,16,16,1,60,0,58,0,210,18,16,72,0,False
211,17400,16,16,1,60,0,58,0,211,18,16,72,0,False
212,17400,16,16,1,60,0,58,0,212,18,16,72,0,False
213,17400,17,17,1,60,0,60,0,213,18,17,72,0,False
214,17400,17,17,1,60,0,60,0,214,18,17,72,0,False
215,17400,17,17,1,60,0,60,0,215,18,17,72,0,False
216,21900,18,18,1,60,0,62,0,216,18,18,72,0,False
217,21900,18,18,1,60,0,62,0,217,18,18,72,0,False
218,21900,18,18,1,60,0,62,0,218,18,18,72,0,False
219,21900,18,18,1,60,0,62,0,219,18,18,72,0,False
220,21900,19,19,1,60,0,63,0,220,18,19,72,0,False
221,21900,19,19,1,60,0,63,0,221,18,19,72,0,False
222,24900,20,20,1,60,0,65,0,222,18,20,72,0,False
223,24900,20,20,1,60,0,65,0,223,18,20,72,0,False
224,24900,20,20,1,60,0,65,0,224,18,20,72,0,False
225,24900,20,20,1,60,0,65,0,225,18,20,72,0,False
226,24900,20,20,1,60,0,65,0,226,18,20,72,0,False
227,24900,20,20,1,60,0,65,0,0,18,20,72,0,False
228,24900,21,21,1,60,0,75,0,228,18,21,72,0,False
229,24900,21,21,1,60,0,75,0,229,18,21,72,0,False
230,24900,21,21,1,60,0,75,0,230,18,21,72,0,False
231,26100,22,22,1,60,0,78,0,231,18,22,72,0,False
232,26100,22,22,1,60,0,78,0,232,18,22,72,0,False
233,26100,23,23,1,60,0,81,0,233,18,23,72,0,False
234,26100,23,23,1,60,0,81,0,234,18,23,72,0,False
235,26100,23,23,1,60,0,81,0,235,18,23,72,0,False
236,27200,24,24,1,60,0,84,0,236,18,24,72,0,False
237,27200,24,24,1,60,0,84,0,237,18,24,72,0,False
238,27200,24,24,1,60,0,84,0,238,18,24,72,0,False
239,27200,24,24,1,60,0,84,0,239,18,24,72,0,False
240,27200,24,24,1,60,0,84,0,240,18,24,72,0,False
241,27200,25,25,1,60,0,87,0,241,18,25,72,0,False
242,27200,25,25,1,60,0,87,0,242,18,25,72,0,False
243,27200,25,25,1,60,0,87,0,243,18,25,72,0,False
244,32100,26,26,1,60,0,90,0,244,18,26,72,0,False
245,32100,26,0,1,60,0,90,0,245,18,26,72,0,False
246,32100,26,0,1,60,0,90,0,246,18,26,72,0,False
247,32100,26,0,1,60,0,90,0,247,18,26,72,0,False
248,32100,26,0,1,60,0,90,0,248,18,26,72,0,False
249,32100,26,0,1,60,0,90,0,249,18,26,72,0,False
250,32100,26,0,1,60,0,90,0,250,18,26,72,0,False
251,32100,27,27,1,60,0,92,0,251,18,27,72,0,False
252,32100,27,27,1,60,0,92,0,252,18,27,72,0,False
253,34500,28,28,1,60,0,95,0,253,18,28,72,0,False
254,34500,28,28,1,60,0,95,0,254,18,28,72,0,False
255,34500,28,28,1,60,0,95,0,255,18,28,72,0,False
256,34500,28,28,1,60,0,95,0,256,18,28,72,0,False
257,34500,28,28,1,60,0,95,0,257,18,28,72,0,False
258,34500,28,28,1,60,0,95,0,258,18,28,72,0,False
259,34500,28,28,1,60,0,95,0,259,18,28,72,0,False
260,34500,28,28,1,60,0,95,0,260,18,28,72,0,False
261,34500,28,28,1,60,0,95,0,261,18,28,72,0,False
262,34500,29,29,1,60,0,96,0,262,18,29,72,0,False
263,35200,30,30,1,60,0,99,0,263,18,30,72,0,False
264,35200,30,30,1,60,0,99,0,264,18,30,72,0,False
265,35200,30,30,1,60,0,99,0,0,18,30,72,0,False
266,35200,31,31,1,60,0,101,0,266,18,31,72,0,False
267,35200,31,31,1,60,0,101,0,267,18,31,72,0,False
268,35200,31,31,1,60,0,101,0,268,18,31,72,0,False
269,38600,32,32,1,60,0,103,0,269,18,32,72,0,False
270,38600,32,32,1,60,0,103,0,270,18,32,72,0,False
271,38600,32,32,1,60,0,103,0,271,18,32,72,0,False
272,38600,32,32,1,60,0,103,0,272,18,32,72,0,False
273,38600,33,33,1,60,0,105,0,273,18,33,72,0,False
274,38600,33,33,1,60,0,105,0,274,18,33,72,0,False
275,38600,33,33,1,60,0,105,0,275,18,33,72,0,False
276,38600,33,33,1,60,0,105,0,276,18,33,72,0,False
277,40800,34,34,1,60,0,107,0,277,18,34,72,0,False
278,40800,34,34,1,60,0,107,0,278,18,34,72,0,False
279,40800,34,34,1,60,0,107,0,279,18,34,72,0,False
280,40800,35,35,1,60,0,109,0,280,18,35,72,0,False
281,40800,35,35,1,60,0,109,0,281,18,35,72,0,False
282,40800,35,35,1,60,0,109,0,282,18,35,72,0,False
283,44800,36,36,1,60,0,112,0,283,18,36,72,0,False
284,44800,36,36,1,60,0,112,0,284,18,36,72,0,False
285,44800,36,36,1,60,0,112,0,285,18,36,72,0,False
286,44800,37,37,1,60,0,113,0,286,18,37,72,0,False
287,44800,37,37,1,60,0,113,0,287,18,37,72,0,False
288,49000,38,38,1,60,0,116,0,288,18,38,72,0,False
289,49000,39,39,1,60,0,118,0,289,18,39,72,0,False
290,49000,39,39,1,60,0,118,0,290,18,39,72,0,False
291,49000,39,39,1,60,0,118,0,291,18,39,72,0,False
292,52600,40,40,1,60,0,120,0,292,18,40,72,0,False
293,52600,40,40,1,60,0,120,0,293,18,40,72,0,False
294,52600,41,41,1,60,0,125,0,294,18,41,72,0,False
295,54200,42,42,1,60,0,127,0,295,18,42,72,0,False
296,54200,42,42,1,60,0,127,0,296,18,42,72,0,False
297,54200,42,42,1,60,0,127,0,297,18,42,72,0,False
298,54200,43,43,1,60,0,129,0,298,18,43,72,0,False
299,54200,43,43,1,60,0,129,0,299,18,43,72,0,False
300,55700,44,44,1,60,0,131,0,300,18,44,72,0,False
301,55700,45,45,1,60,0,133,0,301,18,45,72,0,False
302,61900,46,46,1,60,0,140,0,302,18,46,72,0,False
303,61900,47,47,1,60,0,142,0,303,18,47,72,0,False
304,66400,48,48,1,60,0,144,0,304,18,48,72,0,False
305,66400,49,49,1,60,0,147,0,305,18,49,72,0,False
306,66400,50,49,1,60,0,147,0,306,18,49,72,0,False
307,122000,50,50,1,60,0,149,0,0,18,50,72,0,False
308,500,0,1,1,60,0,0,0,308,19,1,0,0,False
309,1400,0,4,1,60,0,0,0,309,19,4,0,0,False
310,1400,0,5,1,60,0,0,0,310,19,5,0,0,False
311,1400,0,5,1,60,0,0,0,311,19,5,0,0,False
312,3000,0,6,1,60,0,0,0,312,19,6,0,0,False
313,3000,0,7,1,60,0,0,0,313,19,7,0,0,False
314,5000,0,8,1,60,0,0,0,314,19,8,0,0,False
315,5000,0,9,1,60,0,0,0,315,19,9,0,0,False
316,7400,0,10,1,60,0,21,0,316,19,10,72,0,False
317,7400,0,11,1,60,0,24,0,317,19,11,72,0,False
318,13100,0,14,1,60,0,31,0,318,19,14,72,0,False
319,17400,0,16,1,60,0,35,0,319,19,16,72,0,False
320,17400,0,17,1,60,0,38,0,320,19,17,72,0,False
321,21900,0,18,1,60,0,40,0,321,19,18,72,0,False
322,21900,0,19,1,60,0,43,0,322,19,19,72,0,False
323,24900,0,20,1,60,0,45,0,323,19,20,72,0,False
324,24900,0,21,1,60,0,56,0,324,19,21,72,0,False
325,26100,0,23,1,60,0,55,0,325,19,23,72,0,False
326,27200,0,24,1,60,0,56,0,326,19,24,72,0,False
327,27200,0,25,1,60,0,57,0,327,19,25,72,0,False
328,32100,0,26,1,60,0,59,0,328,19,26,72,0,False
329,32100,0,27,1,60,0,60,0,329,19,27,72,0,False
330,34500,0,28,1,60,0,62,0,330,19,28,72,0,False
331,34500,0,29,1,60,0,63,0,331,19,29,72,0,False
332,35200,0,31,1,60,0,71,0,332,19,31,72,0,False
333,38600,0,32,1,60,0,72,0,333,19,32,72,0,False
334,40800,0,34,1,60,0,75,0,334,19,34,72,0,False
335,44800,0,36,1,60,0,85,0,335,19,36,72,0,False
336,49000,0,38,1,60,0,89,0,336,19,38,72,0,False
337,52600,0,40,1,60,0,92,0,337,19,40,72,0,False
338,52600,0,41,1,60,0,97,0,338,19,41,72,0,False
339,54200,0,43,1,60,0,100,0,339,19,43,72,0,False
340,55700,0,44,1,60,0,102,0,340,19,44,72,0,False
341,61900,0,46,1,60,0,105,0,341,19,46,72,0,False
342,66400,0,48,1,60,0,109,0,342,19,48,72,0,False
343,4900,0,1,2,1080,0,0,0,30001,34,1,0,0,True
344,19900,0,1,2,1080,0,0,0,30002,34,5,0,0,True
345,45200,0,1,2,1080,0,0,0,30003,34,10,0,0,True
346,87600,0,1,2,1080,0,0,0,30004,34,15,0,0,True
347,106600,0,1,2,1080,0,0,0,30005,34,20,0,0,True
348,138100,0,1,2,1080,5,0,0,30006,34,25,0,0,True
349,158300,0,1,2,1080,20,0,0,30007,34,30,0,0,True
350,195900,0,1,2,1080,25,0,0,30008,34,35,0,0,True
351,220000,0,1,2,1080,30,0,0,30009,34,40,0,0,True
352,265600,0,1,2,1080,35,0,0,30010,34,45,0,0,True
353,421000,0,1,2,1080,40,0,0,30011,34,50,0,0,True
354,421000,0,1,2,1080,50,0,0,30012,34,50,0,0,True
355,421000,0,1,2,1080,60,0,0,30013,34,50,0,0,True
356,4900,0,1,2,1080,0,0,0,30014,17,1,0,0,True
357,19900,0,1,2,1080,0,0,0,30015,17,5,0,0,True
358,45200,0,1,2,1080,0,30,0,30016,17,10,72,0,True
359,87600,0,1,2,1080,0,45,0,30017,17,15,72,0,True
360,106600,0,1,2,1080,0,65,0,30018,17,20,72,0,True
361,138100,0,1,2,1080,0,87,0,30019,17,25,72,0,True
362,158300,0,1,2,1080,0,99,0,30020,17,30,72,0,True
363,195900,0,1,2,1080,0,109,0,30021,17,35,72,0,True
364,220000,0,1,2,1080,0,120,0,30022,17,40,72,0,True
365,265600,0,1,2,1080,0,133,0,30023,17,45,72,0,True
366,421000,0,1,2,1080,0,230,0,30024,17,50,72,0,True
367,421000,0,1,2,1080,0,238,0,30025,17,50,72,0,True
368,421000,0,1,2,1080,0,285,0,30026,17,50,72,0,True
369,4900,0,1,2,1080,0,0,0,30027,18,1,0,0,True
370,19900,0,1,2,1080,0,0,0,30028,18,5,0,0,True
371,45200,0,1,2,1080,0,30,0,30029,18,10,72,0,True
372,87600,0,1,2,1080,0,45,0,30030,18,15,72,0,True
373,106600,0,1,2,1080,0,65,0,30031,18,20,72,0,True
374,138100,0,1,2,1080,0,87,0,30032,18,25,72,0,True
375,158300,0,1,2,1080,0,99,0,30033,18,30,72,0,True
376,195900,0,1,2,1080,0,109,0,30034,18,35,72,0,True
377,220000,0,1,2,1080,0,120,0,30035,18,40,72,0,True
378,265600,0,1,2,1080,0,133,0,30036,18,45,72,0,True
379,421000,0,1,2,1080,0,230,0,30037,18,50,72,0,True
380,421000,0,1,2,1080,0,238,0,30038,18,50,72,0,True
381,421000,0,1,2,1080,0,285,0,30039,18,50,72,0,True
382,4900,0,1,2,1080,0,0,0,30040,19,1,0,0,True
383,19900,0,1,2,1080,0,0,0,30041,19,5,0,0,True
384,45200,0,1,2,1080,0,21,0,30042,19,10,72,0,True
385,87600,0,1,2,1080,0,33,0,30043,19,15,72,0,True
386,106600,0,1,2,1080,0,45,0,30044,19,20,72,0,True
387,138100,0,1,2,1080,0,57,0,30045,19,25,72,0,True
388,158300,0,1,2,1080,0,64,0,30046,19,30,72,0,True
389,195900,0,1,2,1080,0,77,0,30047,19,35,72,0,True
390,220000,0,1,2,1080,0,92,0,30048,19,40,72,0,True
391,265600,0,1,2,1080,0,104,0,30049,19,45,72,0,True
392,421000,0,1,2,1080,0,180,0,30050,19,50,72,0,True
393,421000,0,1,2,1080,0,184,0,30051,19,50,72,0,True
394,421000,0,1,2,1080,0,186,0,30052,19,50,72,0,True
395,-1,0,1,2,60,0,0,0,30053,0,0,0,0,True
396,421000,0,1,2,1080,70,0,0,30054,34,50,0,0,True
397,421000,0,1,2,1080,0,286,0,30055,17,50,72,0,True
398,421000,0,1,2,1080,0,286,0,30056,18,50,72,0,True
399,421000,0,1,2,1080,0,200,0,30057,19,50,72,0,True
400,421000,0,1,2,1080,80,0,0,30058,34,50,0,0,True
401,421000,0,1,2,1080,0,292,0,30059,17,50,72,0,True
402,421000,0,1,2,1080,0,292,0,30060,18,50,72,0,True
403,421000,0,1,2,1080,0,207,0,30061,19,50,72,0,True
404,421000,0,1,2,1080,90,0,0,30062,34,50,0,0,True
405,421000,0,1,2,1080,0,294,0,30063,17,50,72,0,True
406,421000,0,1,2,1080,0,294,0,30064,18,50,72,0,True
407,421000,0,1,2,1080,0,216,0,30065,19,50,72,0,True
408,680900,0,1,2,1080,100,0,0,30066,34,51,0,0,True
409,680900,0,1,2,1080,0,311,0,30067,17,51,72,0,True
410,680900,0,1,2,1080,0,311,0,30068,18,51,72,0,True
411,680900,0,1,2,1080,0,228,0,30069,19,51,72,0,True
412,988600,0,1,2,1080,116,0,0,30070,34,55,0,0,True
413,988600,0,1,2,1080,0,388,0,30071,17,55,72,0,True
414,988600,0,1,2,1080,0,388,0,30072,18,55,72,0,True
415,988600,0,1,2,1080,0,312,0,30073,19,55,72,0,True
416,122000,0,120,1,60,100,0,0,343,34,51,0,0,False
417,122000,0,120,1,60,100,0,0,344,34,51,0,0,False
418,122000,0,120,1,60,100,0,0,345,34,51,0,0,False
419,122000,0,120,1,60,100,0,0,346,34,51,0,0,False
420,122000,0,120,1,60,100,0,0,347,34,51,0,0,False
421,154200,0,125,1,60,105,0,0,348,34,52,0,0,False
422,154200,0,125,1,60,105,0,0,349,34,52,0,0,False
423,154200,0,125,1,60,105,0,0,350,34,52,0,0,False
424,154200,0,125,1,60,105,0,0,351,34,52,0,0,False
425,154200,0,130,1,60,110,0,0,352,34,53,0,0,False
426,154200,0,130,1,60,110,0,0,353,34,53,0,0,False
427,186000,0,136,1,60,116,0,0,354,34,55,0,0,False
428,186000,0,136,1,60,116,0,0,355,34,55,0,0,False
429,216800,0,139,1,60,119,0,0,356,34,56,0,0,False
430,186000,0,133,1,60,113,0,0,357,34,54,0,0,False
431,216800,0,139,1,60,119,0,0,358,34,56,0,0,False
432,216800,0,142,1,60,122,0,0,359,34,57,0,0,False
433,216800,0,142,1,60,122,0,0,360,34,57,0,0,False
434,216800,0,142,1,60,122,0,0,361,34,57,0,0,False
435,247100,0,145,1,60,125,0,0,362,34,58,0,0,False
436,247100,0,145,1,60,125,0,0,363,34,58,0,0,False
437,247100,0,145,1,60,125,0,0,364,34,58,0,0,False
438,247100,0,145,1,60,125,0,0,365,34,58,0,0,False
439,247100,0,145,1,60,125,0,0,366,34,58,0,0,False
440,247100,0,148,1,60,128,0,0,367,34,59,0,0,False
