#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
177,Pandæmonium,pandæmonisch,,,,,60228
178,Pandæmonium,pandæmonisch,,,,,60228
179,Dichterisch,dichterisch,,,,,60232
180,Leere,leer,,,,,60231
181,Verhangen,verhangen,,,,,60233
182,Verhangen,verhangen,,,,,60233
183,Imaginär,imaginär,,,,,60234
184,Imaginär,imaginär,,,,,60234
185,Imaginär,imaginär,,,,,60234
186,Imaginär,imaginär,,,,,60234
187,Reminiszenz,reminiszierend,,,,,60235
188,Gespenstisch,gespenstisch,,,,,60236
189,Virtuell,virtuell,,,,,60234
190,Phantasmagorien,phantasmagorisch,,,,,60238
191,Trugbilder,trügerisch,,,,,60239
192,Luftspiegelungen,illusionär,,,,,60240
193,Dünstig trüb,dünstig trüb,,,,,60237
194,Meteoritenschauer,einschlagend,,,,,60241
195,Meteoritenschauer,einschlagend,,,,,60241
196,Magnetsturm,magnetisch,,,,,60223
197,Sporennebel,sporig,,,,,60242
198,Fürchterlich,fürchterlich,,,,,60243
199,Fürchterlich,fürchterlich,,,,,60243
200,Fürchterlich,fürchterlich,,,,,60243
201,Kältefront,frostig,,,,,60244
202,Glasregen,glasregnerisch,,,,,60245
203,Gewittrig,gewittrig,,,,,60209
204,Gewittrig,gewittrig,,,,,60209
205,Gravitationsanomalie,antigravitativ,,,,,60246
206,Schaumsturm,schaumig,,,,,60247
