#,Id,DiscoveryFlag,MapMarkerRange,SizeFactor,PlaceNameRegion,PlaceName,PlaceNameSub,TerritoryType,OffsetX,OffsetY,DiscoveryIndex,MapCondition,PriorityCategoryUI,PriorityUI,MapType,Unknown2,MapReplace,MapIndex,DiscoveryArrayByte,IsEvent,Unknown1
22,w1f3/00,262142,41,100,24,44,0,145,0,0,4,0,3,8,1,0,0,0,False,False,False
23,w1f4/01,1048574,42,100,24,45,0,146,0,0,5,0,3,9,1,0,0,0,False,False,False
24,w1f5/00,510,43,100,24,46,0,147,0,0,9,0,3,10,1,0,0,0,True,False,False
25,l1f1/01,131070,108,100,26,67,0,156,0,0,6,0,5,2,1,0,0,0,False,False,False
26,s1ti/00,0,68,800,22,733,0,177,0,0,-1,0,0,0,1,0,0,0,True,False,False
27,w1ti/00,0,70,800,24,617,0,178,0,0,-1,0,0,0,1,0,0,0,True,False,False
28,f1ti/00,0,69,800,23,548,0,179,0,0,-1,0,0,0,1,0,0,0,True,False,False
29,default/00,0,0,200,0,0,0,22,0,0,-1,0,0,0,1,0,0,0,True,False,False
30,s1f6/00,510,79,100,22,350,0,180,0,0,10,0,1,11,1,0,0,0,True,False,False
31,s1d1/00,4094,80,200,22,35,0,1036,0,0,11,0,1,12,1,0,0,0,True,False,False
32,s1d3/00,1022,82,200,22,37,0,159,0,0,12,0,1,14,1,0,0,0,True,False,False
33,s1fa/00,0,0,400,22,359,0,1046,0,0,-1,0,0,0,1,0,0,0,True,False,False
34,w1d1/01,6,44,200,24,48,849,1038,0,0,13,0,3,11,1,0,0,1,True,False,False
35,w1fa/00,0,0,400,24,357,0,1045,0,0,-1,0,0,0,1,0,0,0,True,False,False
36,f1fa/00,0,0,400,23,360,0,1067,0,0,-1,0,0,0,1,0,0,0,True,False,False
37,r1d1/00,1022,103,200,25,401,0,1042,0,0,14,0,4,7,1,0,0,0,True,False,False
38,r1r2/00,2046,106,200,25,65,0,1331,0,0,15,0,4,9,1,0,0,0,True,False,False
39,r1fa/01,0,0,400,25,361,0,1047,0,0,-1,0,0,0,1,0,0,1,True,False,False
40,w1d1/02,16632,45,200,24,48,850,1038,0,0,13,0,3,11,1,0,0,2,True,False,False
41,w1d1/03,16128,46,200,24,48,372,1038,0,0,13,0,3,11,1,0,0,3,True,False,False
42,w1d3/01,2,48,200,24,50,854,163,0,0,7,0,3,13,1,0,0,1,False,False,False
43,w1d3/02,131068,49,200,24,50,855,163,0,0,7,0,3,13,1,0,0,2,False,False,False
44,w1d3/03,917504,50,200,24,50,856,163,0,0,7,0,3,13,1,0,0,3,False,False,False
45,s1d2/00,65534,81,200,22,36,0,1041,0,0,16,0,1,13,1,0,0,0,True,False,False
46,w1d2/00,1022,47,200,24,49,0,1245,0,0,17,0,3,12,1,0,0,0,True,False,False
47,w1d4/00,65534,516,200,24,260,0,1043,0,0,18,0,3,15,1,0,0,0,True,False,False
48,f1d2/01,510,12,200,23,59,599,1040,0,0,8,0,2,11,1,0,0,2,False,False,False
49,f1d3/01,14,14,200,23,128,873,167,0,0,19,0,2,12,1,0,0,1,True,False,False
50,r1r1/01,62,104,200,25,64,922,1330,0,0,25,0,4,8,1,0,0,1,True,False,False
51,s1p1/00,0,83,400,22,358,0,250,-77,0,-1,0,1,5,1,0,0,0,True,False,False
52,w1r1/01,158,63,200,24,47,838,1303,0,0,20,0,3,14,1,0,0,1,True,False,False
53,r1f1/00,8388606,102,100,25,63,0,155,0,0,9,0,4,5,1,0,0,0,False,False,False
54,f1d2/02,1966080,11,200,23,59,600,1040,0,0,8,0,2,11,1,0,0,1,False,False,False
55,f1d2/03,130560,13,200,23,59,601,1040,0,0,8,0,2,11,1,0,0,3,False,False,False
56,w1d5/01,2,517,200,24,440,441,1044,0,0,26,0,3,16,1,0,0,1,True,False,False
57,s1b1/00,254,87,200,22,464,0,241,0,0,21,0,0,0,1,0,0,0,True,False,False
58,s1b2/00,6,88,200,22,465,0,242,0,0,22,0,0,0,1,0,0,0,True,False,False
59,s1b4/00,0,92,200,22,467,0,244,0,0,-1,0,0,0,1,0,0,0,True,False,False
60,s1b5/00,14,93,200,22,468,0,245,0,0,23,0,0,0,1,0,0,0,True,False,False
61,default/00,0,94,100,22,469,0,247,0,0,-1,0,0,0,1,0,0,0,True,False,False
62,s1b3/01,2,89,200,22,466,924,243,0,0,24,0,0,0,1,0,0,1,True,False,False
63,s1b3/02,4,90,200,22,466,925,243,0,0,24,0,0,0,1,0,0,2,True,False,False
64,s1b3/03,8,91,200,22,466,926,243,0,0,24,0,0,0,1,0,0,3,True,False,False
65,f1b3/01,2,25,200,23,1303,1315,357,0,0,36,0,0,0,1,0,0,3,True,False,False
66,f1b3/02,52,26,200,23,1303,1314,357,0,0,36,0,0,0,1,0,0,2,True,False,False
67,f1b3/03,8,27,200,23,1303,1313,357,0,0,36,0,0,0,1,0,0,1,True,False,False
68,f1e4/00,0,29,800,23,346,0,204,0,0,-1,0,0,0,1,0,0,0,True,True,False
69,f1e5/00,0,30,400,23,347,0,205,0,0,-1,0,0,0,1,0,0,0,True,True,False
70,w1t1/02,0,61,200,24,40,654,130,0,0,-1,0,3,2,1,0,0,0,True,False,False
71,l1r1/01,16382,110,200,26,478,479,174,0,0,30,0,5,4,1,0,0,1,True,False,False
72,s1h1/01,0,86,200,22,425,1161,339,0,0,-1,0,1,4,1,0,0,1,True,False,False
73,w1t2/02,0,62,200,24,41,698,131,0,0,-1,0,3,3,1,0,0,2,True,False,False
74,s1t1/02,0,73,200,22,28,725,128,0,0,-1,0,1,2,1,0,0,0,True,False,False
75,s1e4/00,0,31,800,22,351,0,198,0,0,-1,0,0,0,1,0,0,0,True,True,False
76,w1fa/10,0,0,400,2405,4442,0,1166,0,0,-1,0,0,0,1,0,0,0,True,False,False
77,n4gw/00,0,0,400,2950,5137,0,1238,-100,-100,-1,0,0,0,1,0,0,0,True,False,False
78,w1e4/00,0,34,400,24,354,0,210,0,0,-1,0,0,0,1,0,0,0,True,True,False
79,,0,0,100,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,True,False,False
80,w1e6/00,0,36,400,24,356,0,212,0,0,-1,0,0,0,1,0,3,0,True,True,False
81,s1p2/00,0,84,400,22,154,0,175,0,0,-1,0,0,0,1,0,0,0,True,False,False
82,f1h1/01,0,66,200,23,426,1165,340,0,0,-1,0,2,4,1,0,0,1,True,False,False
83,w1h1/01,0,67,200,24,427,1163,341,0,0,-1,0,3,4,1,0,0,1,True,False,False
84,f1d3/02,240,15,200,23,128,874,167,0,0,19,0,2,12,1,0,0,2,True,False,False
85,f1d3/03,3840,16,200,23,128,875,167,0,0,19,0,2,12,1,0,0,3,True,False,False
86,r1r1/02,8128,105,200,25,64,923,1330,0,0,25,0,4,8,1,0,0,2,True,False,False
87,region/00,0,131,100,22,22,0,0,0,0,-1,0,1,1,3,0,0,0,True,False,False
88,region/02,0,132,100,24,24,0,0,0,0,-1,0,3,1,3,0,0,0,True,False,False
89,region/01,0,133,100,23,23,0,0,0,0,-1,0,2,1,3,0,0,0,True,False,False
90,region/03,0,134,100,25,25,0,0,0,0,-1,0,4,1,3,0,0,0,True,False,False
91,region/04,0,135,100,26,26,0,0,0,0,-1,0,5,1,3,0,0,0,True,False,False
92,world/00,0,136,100,21,21,0,0,0,0,-1,0,10,1,2,0,0,0,True,False,True
93,w1f4/02,0,291,100,24,45,255,146,0,0,-1,0,0,0,1,0,0,0,True,True,False
94,w1e6/00,0,37,400,24,356,0,212,0,0,-1,0,0,0,1,0,3,0,True,True,False
95,o1e2/00,0,85,400,22,462,0,0,0,0,-1,0,0,0,1,0,0,0,True,False,False
96,w1r1/02,96,64,200,24,47,839,1303,0,0,20,0,3,14,1,0,0,2,True,False,False
97,w1r1/03,1792,65,200,24,47,840,1303,0,0,20,0,3,14,1,0,0,3,True,False,False
98,r1fa/02,0,293,400,25,459,0,331,0,0,-1,0,0,0,1,0,0,2,True,True,False
99,w1d5/02,28,518,200,24,440,442,1044,0,0,26,0,3,16,1,0,0,2,True,False,False
100,w1d5/03,96,519,200,24,440,443,1044,0,0,26,0,3,16,1,0,0,3,True,False,False
101,w1d5/04,896,520,200,24,440,444,1044,0,0,26,0,3,16,1,0,0,4,True,False,False
102,w1d5/05,0,57,200,24,440,445,1044,0,0,-1,0,0,0,1,0,0,0,True,False,False
103,w1d5/06,63488,521,100,24,440,446,1044,0,0,26,0,3,16,1,0,0,5,True,True,False
104,w1d5/07,1024,0,100,24,440,453,1044,0,0,26,0,0,0,1,0,0,6,True,False,False
105,l1f1/02,0,0,400,26,67,19,156,0,0,-1,0,0,0,1,0,0,0,True,True,False
106,default/00,0,0,100,2405,152,0,338,0,0,-1,0,0,0,1,0,0,0,True,False,False
107,w1e6/00,0,38,400,24,356,0,212,0,0,-1,0,0,0,1,0,3,0,True,True,False
108,s1d4/01,6,95,200,22,230,940,160,0,0,27,0,1,15,1,0,0,1,True,False,False
109,s1i1/01,0,0,400,22,1100,1147,282,0,0,-1,0,0,0,1,0,0,1,True,False,False
110,s1i2/01,0,0,400,22,1101,1109,283,0,0,-1,0,0,0,1,0,0,2,True,False,False
111,s1i2/02,0,0,400,22,1101,1110,283,0,0,-1,0,0,0,1,0,0,1,True,False,False
112,s1i2/03,0,0,400,22,1101,1111,283,0,0,-1,0,0,0,1,0,0,3,True,False,False
113,s1i3/01,0,0,400,22,1102,1112,284,0,0,-1,0,0,0,1,0,0,2,True,False,False
114,s1i3/02,0,0,400,22,1102,1113,284,0,0,-1,0,0,0,1,0,0,1,True,False,False
115,s1i3/03,0,0,400,22,1102,1114,284,0,0,-1,0,0,0,1,0,0,3,True,False,False
116,f1i1/01,0,0,400,23,1106,1147,342,0,0,-1,0,0,0,1,0,0,1,True,False,False
117,f1i2/01,0,0,400,23,1107,1109,343,0,0,-1,0,0,0,1,0,0,2,True,False,False
118,f1i2/02,0,0,400,23,1107,1110,343,0,0,-1,0,0,0,1,0,0,1,True,False,False
119,f1i2/03,0,0,400,23,1107,1111,343,0,0,-1,0,0,0,1,0,0,3,True,False,False
120,f1i3/01,0,0,400,23,1108,1112,344,0,0,-1,0,0,0,1,0,0,2,True,False,False
121,f1i3/02,0,0,400,23,1108,1113,344,0,0,-1,0,0,0,1,0,0,1,True,False,False
122,f1i3/03,0,0,400,23,1108,1114,344,0,0,-1,0,0,0,1,0,0,3,True,False,False
123,w1i1/01,0,0,400,24,1103,1147,345,0,0,-1,0,0,0,1,0,0,1,True,False,False
124,w1i2/01,0,0,400,24,1104,1109,346,0,0,-1,0,0,0,1,0,0,2,True,False,False
125,w1i2/02,0,0,400,24,1104,1110,346,0,0,-1,0,0,0,1,0,0,1,True,False,False
126,w1i2/03,0,0,400,24,1104,1111,346,0,0,-1,0,0,0,1,0,0,3,True,False,False
127,w1i3/01,0,0,400,24,1105,1112,347,0,0,-1,0,0,0,1,0,0,2,True,False,False
128,w1i3/02,0,0,400,24,1105,1113,347,0,0,-1,0,0,0,1,0,0,1,True,False,False
129,w1i3/03,0,0,400,24,1105,1114,347,0,0,-1,0,0,0,1,0,0,3,True,False,False
130,s1d4/02,248,96,200,22,230,939,160,0,0,27,0,1,15,1,0,0,2,True,False,False
131,s1d4/03,768,97,200,22,230,938,160,0,0,27,0,1,15,1,0,0,3,True,False,False
132,s1d4/04,1024,98,200,22,230,937,160,0,0,27,0,1,15,1,0,0,4,True,False,False
133,s1d4/05,2048,99,200,22,230,936,160,0,0,27,0,1,15,1,0,0,5,True,False,False
134,s1d4/06,4096,100,200,22,230,935,160,0,0,27,0,1,15,1,0,0,6,True,False,False
135,l1r1/02,49152,111,200,26,478,480,174,0,0,30,0,5,4,1,0,0,2,True,False,False
136,l1e1/01,0,109,400,26,481,0,351,0,0,-1,0,0,0,1,0,0,0,True,True,False
137,f1d4/01,1922,18,200,23,484,599,350,0,0,28,0,2,13,1,0,0,2,True,False,False
138,f1d4/02,124,17,200,23,484,600,350,0,0,28,0,2,13,1,0,0,1,True,False,False
139,f1d4/03,63488,19,200,23,484,601,350,0,0,28,0,2,13,1,0,0,3,True,False,False
140,w1d6/01,6,119,200,24,483,849,349,0,0,29,0,3,17,1,0,0,1,True,False,False
141,w1d6/02,1016,120,200,24,483,850,349,0,0,29,0,3,17,1,0,0,2,True,False,False
142,w1d6/03,64512,121,200,24,483,372,349,0,0,29,0,3,17,1,0,0,3,True,False,False
143,w1fb/00,0,0,400,24,477,0,348,0,0,-1,0,0,0,1,0,0,0,True,False,False
144,r1fb/00,0,127,200,25,386,0,366,0,0,-1,0,0,0,1,0,0,0,True,False,False
145,w1d7/00,4094,58,200,24,1333,0,360,0,0,31,0,3,18,1,0,0,0,True,False,False
146,s1d6/00,2046,101,200,22,1351,0,362,0,0,32,0,1,16,1,0,0,0,True,False,False
147,o1fa/00,0,0,400,22,1334,0,281,0,0,-1,0,0,0,1,0,0,0,True,False,False
148,f1b1/00,126,22,200,23,1301,0,355,0,0,34,0,0,0,1,0,0,0,True,False,False
149,f1b2/01,6,23,200,23,1302,1353,356,0,0,35,0,0,0,1,0,0,1,True,False,False
150,f1b4/00,0,28,200,23,1304,0,358,0,0,-1,0,0,0,1,0,0,0,True,False,False
151,f1d5/01,510,122,200,23,125,1335,363,0,0,33,0,2,15,1,0,0,1,True,False,False
152,f1d5/02,7680,123,200,23,125,1336,363,0,0,33,0,2,15,1,0,0,2,True,False,False
153,s1i1/02,0,0,400,22,1100,1148,282,0,0,-1,0,0,0,1,0,0,2,True,False,False
154,f1i1/02,0,0,400,23,1106,1148,342,0,0,-1,0,0,0,1,0,0,2,True,False,False
155,w1i1/02,0,0,400,24,1103,1148,345,0,0,-1,0,0,0,1,0,0,2,True,False,False
156,f1b2/02,24,24,200,23,1302,1354,356,0,0,35,0,0,0,1,0,0,2,True,False,False
157,r1d2/00,16382,107,200,25,1376,0,365,0,0,37,0,4,10,1,0,0,0,True,False,False
158,l1r2/01,2,112,200,26,493,485,372,0,0,38,0,5,5,1,0,0,1,True,False,False
159,l1r2/02,12,113,200,26,493,486,372,0,0,38,0,5,5,1,0,0,2,True,False,False
160,l1r2/03,48,114,200,26,493,487,372,0,0,38,0,5,5,1,0,0,3,True,False,False
161,l1r2/04,192,115,200,26,493,488,372,0,0,38,0,5,5,1,0,0,4,True,False,False
162,l1r2/05,768,116,200,26,493,489,372,0,0,38,0,5,5,1,0,0,5,True,False,False
163,l1r2/06,3072,117,200,26,493,490,372,0,0,38,0,5,5,1,0,0,6,True,False,False
164,l1r2/07,28672,118,200,26,493,491,372,0,0,38,0,5,5,1,0,0,7,True,False,False
165,f1d6/00,16382,9,300,23,1375,0,373,0,0,39,0,2,16,1,0,0,0,True,False,False
166,f1fb/00,0,0,400,23,1363,0,374,0,0,-1,0,0,0,1,0,0,0,True,False,False
167,l1p3/00,0,124,100,26,1374,0,376,0,0,-1,0,0,0,1,0,0,0,True,False,False
168,s1d5/00,8190,125,200,22,1377,0,361,0,0,40,0,1,17,1,0,0,0,True,False,False
169,s1d7/00,1022,126,200,22,494,0,387,0,0,42,0,1,18,1,0,0,0,True,False,False
170,s1i4/00,0,0,400,22,1157,0,384,0,0,-1,0,0,0,1,0,0,0,True,False,False
171,f1i4/00,0,0,400,23,1159,0,385,0,0,-1,0,0,0,1,0,0,0,True,False,False
172,w1i4/00,0,0,400,24,1158,0,386,0,0,-1,0,0,0,1,0,0,0,True,False,False
173,r1fc/00,0,0,400,25,1399,0,377,0,0,-1,0,0,0,1,0,0,0,True,False,False
174,r1d3/00,2046,128,200,25,404,0,1062,0,0,41,0,4,11,1,0,0,0,True,False,False
175,w1b1/00,126,140,200,24,1406,0,193,0,0,45,0,0,0,1,0,0,0,True,False,False
176,w1b2/00,126,141,200,24,1407,0,194,0,0,46,0,0,0,1,0,0,0,True,False,False
177,w1b3/00,0,142,200,24,1408,0,195,0,0,-1,0,0,0,1,0,0,0,True,False,False
178,w1b4/00,0,143,200,24,1409,0,196,-448,0,-1,0,0,0,1,0,0,0,True,False,False
179,r1e2/00,0,0,400,25,1429,0,395,0,0,-1,0,0,0,1,0,0,0,True,True,False
180,f1e6/00,0,0,200,23,55,112,152,0,0,-1,0,0,0,1,0,0,0,True,True,False
181,,0,0,100,23,56,1428,137,0,0,-1,0,0,0,1,0,0,0,True,True,False
182,w1d8/01,65038,138,200,24,1403,855,367,0,0,43,0,3,19,1,0,0,1,True,False,False
183,w1d8/02,496,139,200,24,1403,856,367,0,0,43,0,3,19,1,0,0,2,True,False,False
184,l1r3/00,2046,130,200,26,1431,0,151,0,0,47,0,5,6,1,0,0,1,True,False,False
185,default/00,0,0,100,26,1432,0,151,0,0,-1,0,0,0,1,0,0,0,True,False,False
186,r1fd/00,0,152,200,25,406,0,1068,0,0,-1,0,0,0,1,0,0,0,True,False,False
187,default/00,0,0,100,23,56,133,394,0,0,-1,0,0,0,1,0,0,0,True,False,False
188,s1d8/00,4094,129,200,22,495,0,188,0,0,44,0,1,19,1,0,0,0,True,False,False
189,f1d7/01,62,149,200,23,1447,1528,189,0,0,48,0,2,17,1,0,0,1,True,False,False
190,f1d7/02,8128,150,200,23,1447,1529,189,0,0,48,0,2,17,1,0,0,2,True,False,False
191,f1d7/03,57344,151,200,23,1447,1530,189,0,0,48,0,2,17,1,0,0,3,True,False,False
192,s1h1/02,0,144,200,22,425,1162,339,704,704,-1,0,1,4,1,0,0,2,True,False,False
193,f1h1/02,0,145,200,23,426,1166,340,704,704,-1,0,2,4,1,0,0,2,True,False,False
194,w1h1/02,0,146,200,24,427,1164,341,704,704,-1,0,3,4,1,0,0,2,True,False,False
195,default/00,0,0,100,24,49,0,142,0,0,-1,0,0,0,1,0,0,0,True,False,False
196,w1eb/00,0,147,400,24,1484,1484,144,0,0,-1,0,3,5,1,0,0,1,True,False,False
197,w1ed/00,0,148,400,24,1484,1500,388,0,0,-1,0,3,5,1,0,0,2,True,False,False
198,s1fb/00,0,156,100,2405,1500,0,389,-472,-424,-1,0,0,0,1,0,0,0,True,False,False
199,w1fc/01,0,157,100,2405,1500,0,390,0,0,-1,0,0,0,1,0,0,0,True,False,False
200,f1fc/00,0,158,100,2405,1500,0,391,0,0,-1,0,0,0,1,0,0,0,True,False,False
201,l1d1/01,30,153,200,26,418,1525,1063,0,0,49,0,5,3,1,0,0,1,True,False,False
202,l1d1/02,480,154,200,26,418,1526,1063,0,0,49,0,5,3,1,0,0,2,True,False,False
203,l1d1/03,3584,155,200,26,418,1527,1063,0,0,49,0,5,3,1,0,0,3,True,False,False
204,s1i5/00,0,0,400,22,1227,0,423,0,0,-1,0,0,0,1,0,0,0,True,False,False
205,w1i5/00,0,0,400,24,1228,0,424,0,0,-1,0,0,0,1,0,0,0,True,False,False
206,f1i5/00,0,0,400,23,1229,0,425,0,0,-1,0,0,0,1,0,0,0,True,False,False
207,z1e9/00,0,0,400,26,1390,0,426,0,0,-1,0,0,0,1,0,0,0,True,False,False
208,default/00,0,0,100,26,1390,0,426,-220,0,-1,0,0,0,1,0,0,0,True,False,False
209,default/00,0,0,200,23,112,0,152,0,0,-1,0,0,0,1,0,0,0,True,True,False
210,default/00,0,0,200,23,128,0,167,0,0,-1,0,0,0,1,0,0,0,True,False,False
211,r2f1/00,2147483646,161,95,25,2200,0,397,0,0,16,0,4,6,1,0,0,0,False,False,False
212,d2f1/00,2147483646,162,95,498,2000,0,398,0,0,11,0,7,3,1,0,0,0,False,False,False
213,d2f2/00,2147483646,163,95,498,2001,0,399,0,0,12,0,7,4,1,0,0,0,False,False,False
214,d2f3/00,2147483646,164,95,498,2002,0,400,0,0,13,0,7,5,1,0,0,0,False,False,False
215,a2f1/00,2147483646,165,95,497,2100,0,401,0,0,14,0,6,2,1,0,0,0,False,False,False
216,a2f2/00,2147483646,166,95,497,2101,0,402,0,0,15,0,6,3,1,0,0,0,False,False,False
217,w1fc/02,0,0,100,2405,1500,0,417,0,-690,-1,0,0,0,1,0,0,0,True,False,False
218,r2t1/00,0,159,200,25,2300,0,418,0,0,-1,0,4,2,1,0,0,0,True,False,False
219,r2t2/00,0,160,200,25,2301,0,419,0,0,-1,0,4,3,1,0,0,0,True,False,False
220,r2e1/00,0,0,400,25,2337,0,427,0,0,-1,0,0,0,1,0,0,0,True,True,False
221,r2e3/00,0,0,400,25,2335,0,428,0,0,-1,0,0,0,1,0,0,0,True,True,False
222,r2e4/00,0,0,400,25,2320,0,433,0,0,-1,0,0,0,1,0,0,0,True,True,False
223,r2ti/00,0,389,800,25,2310,0,429,0,0,-1,0,0,0,1,0,0,0,True,False,False
224,r2e5/00,0,0,400,25,2313,0,439,0,0,-1,0,0,0,1,0,0,0,True,True,False
225,r2e6/00,0,0,400,25,2336,0,440,0,0,-1,0,0,0,1,0,0,0,True,True,False
226,d2e2/00,0,294,400,498,2083,0,462,0,0,-1,0,0,0,1,0,0,0,True,True,False
227,d2d1/01,30,167,200,498,2007,1616,1064,185,51,51,0,7,6,1,0,0,1,True,False,False
228,d2d1/02,992,168,200,498,2007,1615,1064,-162,55,51,0,7,6,1,0,0,2,True,False,False
229,d2d1/03,15360,169,200,498,2007,1614,1064,51,59,51,0,7,6,1,0,0,3,True,False,False
230,a2d2/00,62,174,200,497,2130,0,420,0,0,50,0,6,5,1,0,0,0,True,False,False
231,a2d1/01,254,170,200,497,2147,1603,1110,-18,149,10,0,6,4,1,0,0,1,False,False,False
232,a2d1/02,32512,171,200,497,2147,1604,1110,-18,-18,10,0,6,4,1,0,0,2,False,False,False
233,a2d1/03,32768,172,200,497,2147,1626,1110,359,250,10,0,6,4,1,0,0,3,False,False,False
234,a2d1/04,33488896,173,200,497,2147,1605,1110,-229,-62,10,0,6,4,1,0,0,4,False,False,False
235,a2fa/00,0,0,400,497,2151,0,436,0,0,-1,0,0,0,1,0,0,0,True,False,False
236,a2fb/00,0,0,400,497,2178,0,437,0,0,-1,0,0,0,1,0,0,0,True,False,False
237,d2a1/00,30,175,200,498,1628,0,442,0,0,57,0,0,0,1,0,0,0,True,False,False
238,d2a2/01,6,176,200,498,1633,1648,443,0,0,58,0,0,0,1,0,0,1,True,False,False
239,d2a3/00,62,178,200,498,1638,0,444,0,0,59,0,0,0,1,0,0,0,True,False,False
240,d2a4/00,0,179,200,498,1645,0,445,0,0,-1,0,0,0,1,0,0,0,True,False,False
241,d2d3/00,65534,187,200,498,2038,0,1109,0,0,55,0,7,8,1,0,0,0,True,False,False
242,s2p1/00,0,195,100,22,496,0,431,0,0,-1,0,0,0,1,0,0,0,True,False,False
243,r2d1/00,65534,188,200,25,2214,0,434,0,0,52,0,4,12,1,0,0,0,True,False,False
244,a2d3/01,2,189,200,497,2148,1555,430,0,-213,53,0,6,6,1,0,0,1,True,False,False
245,a2d3/02,124,190,200,497,2148,1556,430,-163,-75,53,0,6,6,1,0,0,2,True,False,False
246,a2d3/03,3968,191,200,497,2148,1557,430,237,-128,53,0,6,6,1,0,0,3,True,False,False
247,a2d3/04,61440,192,200,497,2148,1576,430,0,350,53,0,6,6,1,0,0,4,True,False,False
248,r2d2/01,126,183,200,25,2327,1558,1066,0,0,56,0,4,13,1,0,0,1,True,False,False
249,r2d2/02,384,184,200,25,2327,1559,1066,0,0,56,0,4,13,1,0,0,2,True,False,False
250,r2d2/03,3584,185,200,25,2327,1560,1066,0,0,56,0,4,13,1,0,0,3,True,False,False
251,r2d2/04,28672,186,200,25,2327,1561,1066,0,0,56,0,4,13,1,0,0,4,True,False,False
252,d2d2/00,16382,193,200,498,2050,0,1065,-40,55,54,0,7,7,1,0,0,0,True,False,False
253,d2e3/00,0,194,400,498,2036,0,463,0,0,-1,0,0,0,1,0,0,0,True,True,False
254,a2d1/04,33488896,173,200,497,2147,1605,1110,-229,-322,10,0,0,0,1,0,0,0,False,False,False
255,d2a2/02,24,177,200,498,1633,1649,443,0,0,58,0,0,0,1,0,0,2,True,False,False
256,d2fa/00,0,0,400,498,2081,0,432,0,0,-1,0,0,0,1,0,0,0,True,False,False
257,d2t1/00,0,182,400,498,2082,0,478,0,0,-1,0,7,2,1,0,0,0,True,False,False
258,region/05,0,181,100,497,497,0,0,0,0,-1,0,6,1,3,0,0,0,True,False,False
259,region/06,0,180,100,498,498,0,0,0,0,-1,0,7,1,3,0,0,0,True,False,False
260,default/00,0,0,100,498,1667,0,505,0,0,-1,0,0,0,1,0,0,0,True,True,False
261,a2e2/00,0,0,400,497,2179,0,507,0,0,-1,0,0,0,1,0,0,0,True,True,False
262,s1d9/01,14,196,200,22,499,1668,510,0,0,61,0,1,20,1,0,0,1,True,False,False
263,s1d9/02,48,197,200,22,499,1669,510,0,0,61,0,1,20,1,0,0,2,True,False,False
264,s1d9/03,448,198,200,22,499,1670,510,0,0,61,0,1,20,1,0,0,3,True,False,False
265,s1d9/04,1536,199,200,22,499,1671,510,0,0,61,0,1,20,1,0,0,4,True,False,False
266,s1d9/05,63488,200,200,22,499,1430,510,15,122,61,0,1,20,1,0,0,5,True,False,False
267,default/00,0,0,100,24,1660,0,504,0,0,-1,0,0,0,1,0,0,0,True,True,False
268,d2d4/01,510,205,200,498,2034,1685,511,40,6,62,0,7,10,1,0,0,1,True,False,False
269,z2r1/01,502,201,200,497,2181,2196,508,289,0,60,0,6,7,1,0,0,1,True,False,False
