#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
46,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Gourmets abschließen.,3,31,50,49,2
47,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Gourmets abschließen.,4,31,100,50,2
48,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Gourmets mit Goldwertung abschließen.,3,31,200,51,2
49,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Gärtner abschließen.,3,39,50,55,2
50,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Gärtner abschließen.,4,39,100,56,2
51,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Gärtner mit Goldwertung abschließen.,3,39,200,57,2
52,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Minenarbeiter abschließen.,3,35,50,52,2
53,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Minenarbeiter abschließen.,4,35,100,53,2
54,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Minenarbeiter mit Goldwertung abschließen.,3,35,200,54,2
55,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Fischer abschließen.,3,43,50,58,2
56,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Fischer abschließen.,4,43,100,59,2
57,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Fischer mit Goldwertung abschließen.,3,43,200,60,2
58,Sich auf dem Mond 5 Mal am Kosmo-Glück versuchen.,5,1,300,61,2
59,Sich auf dem Mond 30 Mal am Kosmo-Glück versuchen.,30,1,600,62,2
60,Sich auf dem Mond 100 Mal am Kosmo-Glück versuchen.,100,1,900,63,2
61,Auf dem Mond 5 verschiedene Notfallmissionen abschließen.,5,2,1000,19,2
62,Auf dem Mond 15 verschiedene Notfallmissionen abschließen.,15,2,2000,20,2
63,Auf dem Mond 33 verschiedene Notfallmissionen abschließen.,33,2,3000,21,2
64,10 Stellarmissionen auf Phaenna abschließen.,10,1,500,6,2
65,50 Stellarmissionen auf Phaenna abschließen.,50,1,800,7,2
66,100 Stellarmissionen auf Phaenna abschließen.,100,1,1600,8,2
67,500 Stellarmissionen auf Phaenna abschließen.,500,1,2500,9,2
68,10 verschiedene Stellarmissionen auf Phaenna abschließen.,10,1,500,10,2
69,50 verschiedene Stellarmissionen auf Phaenna abschließen.,50,1,1500,11,2
70,100 verschiedene Stellarmissionen auf Phaenna abschließen.,100,1,4000,12,2
71,In 10 verschiedenen Arten von Stellarmissionen auf Phaenna eine Goldwertung erzielen.,10,1,500,13,2
72,In 50 verschiedenen Arten von Stellarmissionen auf Phaenna eine Goldwertung erzielen.,50,1,1500,14,2
73,In 100 verschiedenen Arten von Stellarmissionen auf Phaenna eine Goldwertung erzielen.,100,1,4000,15,2
74,Eine Notfallmission auf Phaenna abschließen.,1,47,500,16,2
75,10 Notfallmissionen auf Phaenna abschließen.,10,47,1000,17,2
76,30 Notfallmissionen auf Phaenna abschließen.,30,47,3000,18,2
77,Als Pilot einen Mecha-Einsatz auf Phaenna abschließen.,1,1,1500,22,2
78,Als Pilot 5 Mecha-Einsätze auf Phaenna abschließen.,5,1,3000,23,2
79,Als Pilot 10 Mecha-Einsätze auf Phaenna abschließen.,10,1,4500,24,2
80,Als Bodenunterstützung 5 Mecha-Einsätze auf Phaenna abschließen.,5,1,300,25,2
81,Als Bodenunterstützung 20 Mecha-Einsätze auf Phaenna abschließen.,20,1,900,26,2
82,Als Bodenunterstützung 50 Mecha-Einsätze auf Phaenna abschließen.,50,1,2100,27,2
83,Auf Phaenna 5 verschiedene Missionen für Zimmerer abschließen.,5,3,75,28,2
84,Auf Phaenna 10 verschiedene Missionen für Zimmerer abschließen.,10,3,150,29,2
85,Auf Phaenna 15 verschiedene Missionen für Zimmerer abschließen.,15,3,300,30,2
86,Auf Phaenna 5 verschiedene Missionen für Grobschmiede abschließen.,5,7,75,31,2
87,Auf Phaenna 10 verschiedene Missionen für Grobschmiede abschließen.,10,7,150,32,2
88,Auf Phaenna 15 verschiedene Missionen für Grobschmiede abschließen.,15,7,300,33,2
89,Auf Phaenna 5 verschiedene Missionen für Plattner abschließen.,5,11,75,34,2
90,Auf Phaenna 10 verschiedene Missionen für Plattner abschließen.,10,11,150,35,2
91,Auf Phaenna 15 verschiedene Missionen für Plattner abschließen.,15,11,300,36,2
92,Auf Phaenna 5 verschiedene Missionen für Goldschmiede abschließen.,5,15,75,37,2
93,Auf Phaenna 10 verschiedene Missionen für Goldschmiede abschließen.,10,15,150,38,2
94,Auf Phaenna 15 verschiedene Missionen für Goldschmiede abschließen.,15,15,300,39,2
95,Auf Phaenna 5 verschiedene Missionen für Gerber abschließen.,5,19,75,40,2
96,Auf Phaenna 10 verschiedene Missionen für Gerber abschließen.,10,19,150,41,2
97,Auf Phaenna 15 verschiedene Missionen für Gerber abschließen.,15,19,300,42,2
98,Auf Phaenna 5 verschiedene Missionen für Weber abschließen.,5,23,75,43,2
99,Auf Phaenna 10 verschiedene Missionen für Weber abschließen.,10,23,150,44,2
100,Auf Phaenna 15 verschiedene Missionen für Weber abschließen.,15,23,300,45,2
101,Auf Phaenna 5 verschiedene Missionen für Alchemisten abschließen.,5,27,75,46,2
102,Auf Phaenna 10 verschiedene Missionen für Alchemisten abschließen.,10,27,150,47,2
103,Auf Phaenna 15 verschiedene Missionen für Alchemisten abschließen.,15,27,300,48,2
104,Auf Phaenna 5 verschiedene Missionen für Gourmets abschließen.,5,31,75,49,2
105,Auf Phaenna 10 verschiedene Missionen für Gourmets abschließen.,10,31,150,50,2
106,Auf Phaenna 15 verschiedene Missionen für Gourmets abschließen.,15,31,300,51,2
107,Auf Phaenna 5 verschiedene Missionen für Gärtner abschließen.,5,39,75,55,2
108,Auf Phaenna 10 verschiedene Missionen für Gärtner abschließen.,10,39,150,56,2
109,Auf Phaenna 15 verschiedene Missionen für Gärtner abschließen.,15,39,300,57,2
110,Auf Phaenna 5 verschiedene Missionen für Minenarbeiter abschließen.,5,35,75,52,2
111,Auf Phaenna 10 verschiedene Missionen für Minenarbeiter abschließen.,10,35,150,53,2
112,Auf Phaenna 15 verschiedene Missionen für Minenarbeiter abschließen.,15,35,300,54,2
113,Auf Phaenna 5 verschiedene Missionen für Fischer abschließen.,5,43,75,58,2
114,Auf Phaenna 10 verschiedene Missionen für Fischer abschließen.,10,43,150,59,2
115,Auf Phaenna 15 verschiedene Missionen für Fischer abschließen.,15,43,300,60,2
116,Sich auf Phaenna 5 Mal am Kosmo-Glück versuchen.,5,1,500,61,2
117,Sich auf Phaenna 30 Mal am Kosmo-Glück versuchen.,30,1,1000,62,2
118,Sich auf Phaenna 100 Mal am Kosmo-Glück versuchen.,100,1,1500,63,2
119,5 verschiedene Notfallmissionen auf Phaenna abschließen.,5,47,1000,19,2
120,15 verschiedene Notfallmissionen auf Phaenna abschließen.,15,47,2000,20,2
121,33 verschiedene Notfallmissionen auf Phaenna abschließen.,33,47,3000,21,2
122,10 Stellarmissionen auf Oizys abschließen.,10,1,500,6,2
123,50 Stellarmissionen auf Oizys abschließen.,50,1,800,7,2
124,100 Stellarmissionen auf Oizys abschließen.,100,1,1600,8,2
125,500 Stellarmissionen auf Oizys abschließen.,500,1,2500,9,2
126,10 verschiedene Stellarmissionen auf Oizys abschließen.,10,1,500,10,2
127,50 verschiedene Stellarmissionen auf Oizys abschließen.,50,1,1500,11,2
128,100 verschiedene Stellarmissionen auf Oizys abschließen.,100,1,4000,12,2
129,In 10 verschiedenen Arten von Stellarmissionen auf Oizys eine Goldwertung erzielen.,10,1,500,13,2
130,In 50 verschiedenen Arten von Stellarmissionen auf Oizys eine Goldwertung erzielen.,50,1,1500,14,2
131,In 100 verschiedenen Arten von Stellarmissionen auf Oizys eine Goldwertung erzielen.,100,1,4000,15,2
132,Eine Notfallmission auf Oizys abschließen.,1,48,500,16,2
133,10 Notfallmissionen auf Oizys abschließen.,10,48,1000,17,2
134,30 Notfallmissionen auf Oizys abschließen.,30,48,3000,18,2
135,Als Pilot einen Mecha-Einsatz auf Oizys abschließen.,1,1,1500,22,2
136,Als Pilot 5 Mecha-Einsätze auf Oizys abschließen.,5,1,3000,23,2
137,Als Pilot 10 Mecha-Einsätze auf Oizys abschließen.,10,1,4500,24,2
138,Als Bodenunterstützung 5 Mecha-Einsätze auf Oizys abschließen.,5,1,300,25,2
139,Als Bodenunterstützung 20 Mecha-Einsätze auf Oizys abschließen.,20,1,900,26,2
140,Als Bodenunterstützung 50 Mecha-Einsätze auf Oizys abschließen.,50,1,2100,27,2
141,Auf Oizys 5 verschiedene Missionen für Zimmerer abschließen.,5,3,75,28,2
142,Auf Oizys 10 verschiedene Missionen für Zimmerer abschließen.,10,3,150,29,2
143,Auf Oizys 15 verschiedene Missionen für Zimmerer abschließen.,15,3,300,30,2
144,Auf Oizys 5 verschiedene Missionen für Grobschmiede abschließen.,5,7,75,31,2
145,Auf Oizys 10 verschiedene Missionen für Grobschmiede abschließen.,10,7,150,32,2
146,Auf Oizys 15 verschiedene Missionen für Grobschmiede abschließen.,15,7,300,33,2
147,Auf Oizys 5 verschiedene Missionen für Plattner abschließen.,5,11,75,34,2
148,Auf Oizys 10 verschiedene Missionen für Plattner abschließen.,10,11,150,35,2
149,Auf Oizys 15 verschiedene Missionen für Plattner abschließen.,15,11,300,36,2
150,Auf Oizys 5 verschiedene Missionen für Goldschmiede abschließen.,5,15,75,37,2
151,Auf Oizys 10 verschiedene Missionen für Goldschmiede abschließen.,10,15,150,38,2
152,Auf Oizys 15 verschiedene Missionen für Goldschmiede abschließen.,15,15,300,39,2
153,Auf Oizys 5 verschiedene Missionen für Gerber abschließen.,5,19,75,40,2
154,Auf Oizys 10 verschiedene Missionen für Gerber abschließen.,10,19,150,41,2
155,Auf Oizys 15 verschiedene Missionen für Gerber abschließen.,15,19,300,42,2
156,Auf Oizys 5 verschiedene Missionen für Weber abschließen.,5,23,75,43,2
157,Auf Oizys 10 verschiedene Missionen für Weber abschließen.,10,23,150,44,2
158,Auf Oizys 15 verschiedene Missionen für Weber abschließen.,15,23,300,45,2
159,Auf Oizys 5 verschiedene Missionen für Alchemisten abschließen.,5,27,75,46,2
160,Auf Oizys 10 verschiedene Missionen für Alchemisten abschließen.,10,27,150,47,2
161,Auf Oizys 15 verschiedene Missionen für Alchemisten abschließen.,15,27,300,48,2
162,Auf Oizys 5 verschiedene Missionen für Gourmets abschließen.,5,31,75,49,2
163,Auf Oizys 10 verschiedene Missionen für Gourmets abschließen.,10,31,150,50,2
164,Auf Oizys 15 verschiedene Missionen für Gourmets abschließen.,15,31,300,51,2
165,Auf Oizys 5 verschiedene Missionen für Gärtner abschließen.,5,39,75,55,2
166,Auf Oizys 10 verschiedene Missionen für Gärtner abschließen.,10,39,150,56,2
167,Auf Oizys 15 verschiedene Missionen für Gärtner abschließen.,15,39,300,57,2
168,Auf Oizys 5 verschiedene Missionen für Minenarbeiter abschließen.,5,35,75,52,2
169,Auf Oizys 10 verschiedene Missionen für Minenarbeiter abschließen.,10,35,150,53,2
170,Auf Oizys 15 verschiedene Missionen für Minenarbeiter abschließen.,15,35,300,54,2
171,Auf Oizys 5 verschiedene Missionen für Fischer abschließen.,5,43,75,58,2
172,Auf Oizys 10 verschiedene Missionen für Fischer abschließen.,10,43,150,59,2
173,Auf Oizys 15 verschiedene Missionen für Fischer abschließen.,15,43,300,60,2
174,Sich auf Oizys 5 Mal am Kosmo-Glück versuchen.,5,1,500,61,2
175,Sich auf Oizys 30 Mal am Kosmo-Glück versuchen.,30,1,1000,62,2
176,Sich auf Oizys 100 Mal am Kosmo-Glück versuchen.,100,1,1500,63,2
177,5 verschiedene Notfallmissionen auf Oizys abschließen.,5,48,1000,19,2
178,12 verschiedene Notfallmissionen auf Oizys abschließen.,12,48,2000,20,2
179,22 verschiedene Notfallmissionen auf Oizys abschließen.,22,48,3000,21,2
180,Auf Oizys 10 Artefaktsuchen abschließen.,10,48,1000,64,2
181,Auf Oizys 30 Artefaktsuchen abschließen.,30,48,3000,65,2
182,Auf Oizys 100 Artefaktsuchen abschließen.,100,48,5000,66,2
