#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
35,Gebet der Alten,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
36,Gespeicherte Energie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
37,Hacken,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,Lichtflut,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,Energieladung,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,Dalamud-Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,Limitrausch,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,Macht der Muttersau,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,Gaias Erinnerungen,,35,50,0,0,2,3,1,1,1,False
44,Za Das Besessenheit,,-1,-1,0,0,3,0,0,1,1,False
45,Ätherladung,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,Chaos,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,Hoffnungslosigkeit,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,Errichtung des kosmischen Bannkreises,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,Wachsamkeit,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,Zodiarks Macht,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,Gesammelter Äther,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,Nidhoggs Einfluss,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,Fafnirs magische Macht,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,Feuer des Phoinix,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,Venats Äther,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,Gaius' Schwertenergie,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,Midgardsormrs Äther,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,Scarmigliones Verderbtheit,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,Lahabreas Magiekraft,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,Nidhoggs Magiekraft,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,Gesättigt,,30,50,0,0,2,3,1,1,1,False
64,Äußere magische Barriere,,30,70,0,0,2,3,1,1,1,False
65,Verteidigungstruppen,,30,70,0,0,2,3,1,1,1,False
66,Cagnazzos Magie,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,Mittlere magische Barriere,,30,70,0,0,2,3,1,1,1,False
68,Innere magische Barriere,,30,70,0,0,2,3,1,1,1,False
69,Rubicantes Feuer,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,Andromalius' Magie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,Macht des Prim-Ascian,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,Halones Frost,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,Menphinas Magie,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,Athenas Magie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,Gesammelte Energie,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,Ätherdichte,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,Kyubi-Yoki,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,60,180,0,1,0,0,0,1,1,True
79,Gwyddruds Blitzenergie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,Otis' Durchhaltevermögen,,30,70,0,0,2,3,1,1,1,False
81,Unheilvolles Omen,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,Iq Soq Xmajuns Macht,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,Macht des Siegels,,100,-1,0,0,3,1,0,1,1,True
84,Lichtklingen-Energie,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
85,Groove-Intensität,,-1,-1,0,0,1,0,0,1,1,True
86,Zelenias Äther,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
87,Todesfurcht,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
88,,,-1,-1,0,1,0,0,0,1,1,True
89,Ätherische Macht,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
90,Kriles magisches Potenzial,ContentGaugeMax_positive,-1,-1,0,0,1,0,0,1,1,True
91,Mähwut,,50,100,0,0,1,3,2,1,1,True
92,,,0,0,0,0,0,0,0,0,0,False
93,Riesen-Gravikugel,,-1,-1,0,0,2,0,0,1,1,False
94,,,0,0,0,0,0,0,0,0,0,False
