#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
31,Wasserschutz-System,Wasserschutz-Systeme,4,1,0,1,2,0,3816,2,8030,20,29,1,1,1
32,Rosarote Brille,Rosarote Brillen,3,2,0,1,1,0,3884,0,786,203,30,8,0,2
33,Tsukumogami-Sonnenschirm,Tsukumogami-Sonnenschirme,4,2,0,1,0,0,3885,2,8031,22,31,1,1,1
34,Bauderich-Schirm,Bauderich-Schirme,4,2,0,1,0,0,3886,2,8032,21,32,1,1,1
35,Rucksack,Rucksäcke,4,2,0,1,0,0,3928,0,8037,300,33,9,0,2
36,Statice-Flügel,Statice-Flügel,4,2,0,1,0,0,4016,0,8034,103,34,6,0,2
37,Blatt-Schirm,Blatt-Schirme,4,2,0,1,0,0,4017,2,8035,24,35,1,1,1
38,Karotten-Sonnenschirm,Karotten-Sonnenschirme,4,2,0,1,0,0,4018,2,8036,23,36,1,1,1
39,Neon-Schirm,Neon-Schirme,4,2,0,1,0,0,4240,2,8038,25,37,1,1,1
40,Schleifen-Sonnenschirm,Schleifen-Sonnenschirme,4,2,0,1,0,0,4241,2,8039,26,38,1,1,1
41,Bombenschirm,Bombenschirme,4,2,0,1,0,0,4242,2,8040,27,39,1,1,1
42,Mandragora-Schirm,Mandragora-Schirme,4,2,0,1,0,0,4406,2,8041,28,40,1,1,1
43,Wundereierschirm,Wundereierschirme,4,2,0,1,0,0,4407,2,8042,29,41,1,1,1
44,Pelupelu-Rückentrage,Pelupelu-Rückentragen,3,1,0,1,1,0,4408,0,8043,301,42,9,0,2
45,Schwarzer Spitzensonnenschirm,Schwarzer Spitzensonnenschirme,4,2,0,1,0,0,4512,2,8044,30,43,1,1,1
46,Weißer Spitzensonnenschirm,Weißer Spitzensonnenschirme,4,2,0,1,0,0,4511,2,8045,31,44,1,1,1
47,Loparasol,Loparasols,4,1,0,1,0,0,4513,2,8046,32,45,1,1,1
48,Fackel,Fackeln,3,1,0,1,1,0,4577,3,8047,400,46,10,2,0
49,Felyne-Mizutsune-Schirm,Felyne-Mizutsune-Schirme,4,2,0,1,0,0,4677,2,8048,33,47,1,1,1
50,Pixie-Sonnenschirm,Pixie-Sonnenschirme,4,2,0,1,0,0,4678,2,8049,34,48,1,1,1
51,Blauer Pixie-Sonnenschirm,Blauer Pixie-Sonnenschirme,4,2,0,1,0,0,4679,2,8050,35,49,1,1,1
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Spriggan-Sonnenschirm,Spriggan-Sonnenschirme,4,2,0,1,0,0,4817,2,8053,37,51,1,1,1
