#,Name,SeparateType,DataType,JournalSection,MapCondition
72,Aufträge Kholusia,3,1,3,0
73,Aufträge Amh Araeng,3,1,3,0
74,Aufträge Il Mheg,3,1,3,0
75,Aufträge Rak'tika,3,1,3,0
76,Aufträge Tempest,3,1,3,4
77,Aufträge Sharlayan,3,1,3,0
78,Aufträge Thavnair,3,1,3,0
79,Aufträge Garlemald,3,1,3,0
80,Aufträge Mare Lamentorum,3,1,3,7
81,Aufträge Elpis,3,1,3,9
82,Aufträge Ultima Thule,3,1,3,8
83,Aufträge Yok Tural,3,1,3,0
84,Aufträge Xak Tural,3,1,3,0
85,Aufträge Unverlorene Welt,3,1,3,27
86,Gildenaufträge der Krieger,2,1,6,0
87,Gildenaufträge der Magier,2,1,6,0
88,Gildenaufträge der Handwerker,2,1,6,0
89,Gildenaufträge der Sammler,2,1,6,0
90,Lieferaufträge der Manufaktur,2,1,6,0
91,Lieferaufträge der Magieakademie,2,1,6,0
92,Lieferaufträge des Marktes,2,1,6,0
93,Jobaufträge der Krieger,2,1,6,0
94,Jobaufträge der Magier,2,1,6,0
95,Rollenaufträge,2,1,6,0
96,Staatliche Gesellschaften,2,1,7,0
97,Saisonale Aufträge,2,1,7,0
98,Sonstige Aufträge,2,1,7,0
99,Gefechtserlasse,3,2,8,0
100,Minenarbeiter-Freibriefe,3,2,8,0
101,Gärtner-Freibriefe,3,2,8,0
102,Fischer-Freibriefe,3,2,8,0
103,Zimmerer-Freibriefe,3,2,8,0
104,Grobschmied-Freibriefe,3,2,8,0
105,Plattner-Freibriefe,3,2,8,0
106,Goldschmied-Freibriefe,3,2,8,0
107,Gerber-Freibriefe,3,2,8,0
108,Weber-Freibriefe,3,2,8,0
109,Alchemisten-Freibriefe,3,2,8,0
110,Gourmet-Freibriefe,3,2,8,0
111,Ishgarder Gefechtserlasse,3,2,8,0
112,Ishgarder Minenarbeiter-Freibriefe,3,2,8,0
113,Ishgarder Gärtner-Freibriefe,3,2,8,0
114,Ishgarder Fischer-Freibriefe,3,2,8,0
115,Ishgarder Zimmerer-Freibriefe,3,2,8,0
116,Ishgarder Grobschmied-Freibriefe,3,2,8,0
117,Ishgarder Plattner-Freibriefe,3,2,8,0
118,Ishgarder Goldschmied-Freibriefe,3,2,8,0
119,Ishgarder Gerber-Freibriefe,3,2,8,0
120,Ishgarder Weber-Freibriefe,3,2,8,0
121,Ishgarder Alchemisten-Freibriefe,3,2,8,0
122,Ishgarder Gourmet-Freibriefe,3,2,8,0
123,Fraktionserlasse,2,2,8,0
124,Staatserlasse,2,2,8,0
125,A Realm Reborn-Inhalte,2,3,9,0
126,Heavensward-Inhalte,2,3,9,0
127,Stormblood-Inhalte,2,3,9,0
128,Shadowbringers-Inhalte,2,3,9,0
129,Endwalker-Inhalte,2,3,9,0
130,Dawntrail-Inhalte,2,3,9,0
131,6. Ära des Lichts,2,4,7,0
