#,Key,WeaponTimeline,KillUpper,Unknown_70,Type,Priority,Stance,Slot,LookAtMode,ActionTimelineIDMode,LoadType,StartAttach,ResidentPap,Unknown6,Unknown1,Pause,Resident,IsMotionCanceledByMoving,Unknown2,Unknown3,IsLoop,Unknown4
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
50,battle/run,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
51,battle/run_l,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
52,battle/run_r,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
58,battle/sprint,1,0,0,0,0,0,0,0,0,1,2,0,0,0,True,False,False,True,False,True,False
59,battle/jump_start,1,0,0,1,0,0,0,0,0,1,2,0,0,0,False,False,False,True,False,True,False
60,battle/jump_falling,1,0,0,0,0,0,0,0,0,1,2,0,0,0,False,False,False,True,False,True,False
61,battle/jump_landing,1,0,0,1,0,0,0,0,0,1,2,0,0,0,False,False,False,True,False,True,False
62,normal/damage,0,0,0,1,0,3,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
63,normal/damage_continuous,0,0,0,1,0,3,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
64,normal/knockback_start,0,0,0,1,0,3,1,0,0,0,2,0,0,0,False,False,False,True,False,True,False
65,normal/knockback_end,0,0,0,1,0,3,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
66,normal/dead,4,2,0,7,0,0,1,0,0,2,2,0,0,0,False,False,True,True,False,True,False
67,normal/dead_pose,4,3,0,7,0,0,1,0,0,2,2,0,0,0,True,False,True,True,False,True,False
68,battle/damage,0,0,0,1,0,3,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
69,battle/damage_continuous,0,0,0,1,0,3,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
70,battle/knockback_start,0,0,0,1,0,3,1,0,0,0,2,0,0,0,False,False,False,True,False,True,False
71,battle/knockback_end,0,0,0,1,0,3,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
72,battle/dead,144,65,0,7,0,0,1,0,0,1,0,0,0,0,False,False,True,True,False,True,False
73,battle/dead_pose,3,66,0,7,0,0,1,0,0,1,0,0,0,0,True,False,True,True,False,True,False
74,battle/mon_float_dead_start,2,0,0,1,0,0,1,0,0,2,0,0,0,0,False,False,False,True,False,True,False
75,battle/mon_float_dead_loop,2,0,0,0,0,0,1,0,0,2,0,0,0,0,True,False,False,True,False,True,False
76,battle/mon_float_dead_landing,2,0,0,1,0,0,1,0,0,2,0,0,0,0,False,False,False,True,False,True,False
77,normal/revive,2,4,0,2,0,0,1,0,1,2,0,0,0,0,False,False,False,True,True,True,False
78,battle/weapon_guard,1,0,0,2,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
79,battle/shield_guard,1,0,0,2,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
80,normal/event_action_start,2,38,1,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
81,normal/event_action_loop,2,39,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
82,normal/event_action_end,2,40,0,1,0,0,1,0,1,2,0,0,0,0,False,False,False,False,True,True,False
83,normal/item_start,2,14,1,3,0,0,1,0,1,2,3,0,0,0,False,True,False,True,True,True,False
84,normal/item_loop,2,15,2,0,0,0,1,0,1,2,3,0,0,0,True,True,False,True,True,True,False
85,normal/item_end,2,16,0,3,0,0,1,0,1,2,0,0,0,0,False,True,False,True,False,True,False
86,normal/item_set,2,0,0,3,0,0,1,0,0,2,0,0,0,0,False,False,False,True,False,True,False
87,normal/item_eat,2,16,0,3,0,0,1,0,1,2,0,0,0,0,False,True,False,True,False,True,False
88,normal/item_drink,2,16,0,3,0,0,1,0,1,2,0,0,0,0,False,True,False,True,False,True,False
89,battle/item_start,1,0,1,3,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
90,battle/item_loop,1,0,2,0,0,0,1,0,0,0,0,0,0,0,True,True,True,True,False,True,False
91,battle/item_end,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,True,True,False,True,True,False
92,normal/magic_cmn_start,2,0,1,2,0,0,1,0,0,2,0,0,0,0,False,True,True,True,False,True,False
93,normal/magic_cmn_loop,2,0,2,0,0,0,1,0,0,2,0,0,0,0,True,True,True,True,False,True,False
94,battle/magic_blk_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
95,battle/magic_blk_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
96,battle/magic_sng_start,2,0,1,2,0,0,1,0,0,2,0,0,0,0,False,True,True,True,False,True,False
97,battle/magic_sng_loop,2,0,2,0,0,0,1,0,0,2,0,0,0,0,True,True,True,True,False,True,False
98,battle/magic_cnj_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
99,battle/magic_cnj_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
100,battle/magic_swl_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
101,battle/magic_swl_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
102,battle/magic_pld_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
103,battle/magic_pld_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
104,battle/magic_sum_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
105,battle/magic_sum_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
106,battle/magic_thm_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
107,battle/magic_thm_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
108,battle/magic_wht_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
109,battle/magic_wht_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
110,battle/magic_sch_start,1,0,1,2,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
111,battle/magic_sch_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
112,battle/auto_attack1,1,0,0,2,0,0,1,0,2,1,0,0,0,0,False,False,True,False,True,True,False
113,battle/auto_attack2,1,0,0,2,0,0,1,0,2,1,0,0,0,0,False,False,True,False,True,True,False
114,battle/auto_attack3,1,0,0,2,0,0,1,0,2,1,0,0,0,0,False,False,True,False,True,True,False
115,overlay/slot1_default,0,0,0,0,0,13,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
116,overlay/slot1_sp1,0,0,0,0,0,13,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
117,overlay/slot1_sp2,0,0,0,0,0,13,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
118,battle/auto_attack_shot1,1,0,0,2,0,1,2,0,2,1,0,2,0,0,False,False,True,False,True,True,False
119,battle/auto_attack_shot2,1,0,0,2,0,1,2,0,2,1,0,2,0,0,False,False,True,False,True,True,False
120,battle/auto_attack_shot3,1,0,0,2,0,1,2,0,2,1,0,2,0,0,False,False,True,False,True,True,False
121,battle/auto_attack1_mon_a,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
122,battle/auto_attack2_mon_a,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
123,battle/auto_attack3_mon_a,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
124,battle/auto_attack1_mon_b,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
125,battle/auto_attack2_mon_b,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
126,battle/auto_attack3_mon_b,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
127,battle/auto_attack_shot1_mon,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
128,battle/auto_attack_shot2_mon,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
129,battle/auto_attack_shot3_mon,1,0,0,2,0,0,1,0,0,1,0,0,0,0,False,False,False,True,False,True,False
130,battle/mon_sp_a_start,1,0,1,3,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
131,battle/mon_sp_a_loop,1,0,2,0,0,0,1,0,0,1,2,0,0,0,True,False,False,True,False,True,False
132,battle/mon_sp_b_start,1,0,1,3,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
133,battle/mon_sp_b_loop,1,0,2,0,0,0,1,0,0,1,2,0,0,0,True,False,False,True,False,True,False
134,battle/mon_sp_c_start,1,0,1,3,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
135,battle/mon_sp_c_loop,1,0,2,0,0,0,1,0,0,1,2,0,0,0,True,False,False,True,False,True,False
136,battle/mon_sp_d_start,1,0,1,3,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
137,battle/mon_sp_d_loop,1,0,2,0,0,0,1,0,0,1,2,0,0,0,True,False,False,True,False,True,False
138,battle/mon_sp_e_start,1,0,1,3,0,0,1,0,0,1,2,0,0,0,False,False,False,True,False,True,False
139,battle/mon_sp_e_loop,1,0,2,0,0,0,1,0,0,1,2,0,0,0,True,False,False,True,False,True,False
140,warp/warp_start,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,False
141,warp/warp_end,1,0,4,3,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,False
142,specialpop/specialpop,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,False
143,specialpop/specialdepop,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,False
144,overlay/default,0,0,0,0,0,12,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
145,overlay/sp1,0,0,0,0,0,12,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
146,overlay/sp2,0,0,0,0,0,12,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
147,overlay/sp3,0,0,0,0,0,12,0,0,0,0,2,0,0,0,True,False,False,True,False,False,False
148,battle/partsbreak,0,0,0,3,0,0,1,0,0,0,2,0,0,0,False,False,False,True,False,True,False
149,status/facial/sleep_demi,0,0,0,1,0,2,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
150,normal/event_action_default_end,2,0,0,1,0,0,0,0,0,2,0,0,0,0,False,False,False,False,False,True,False
151,normal/event_action_hwd_end,2,0,0,3,0,0,0,0,0,2,0,0,0,0,False,False,False,False,False,True,False
152,resident/case1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
153,resident/case2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
154,speak/stop,0,0,0,1,0,7,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False
155,normal/idle_bow_loop,2,0,0,0,0,0,0,0,1,2,3,0,0,0,True,True,False,False,False,True,False
156,battle/knockback_start_pc,0,0,0,3,0,0,1,0,0,0,2,0,0,0,False,False,False,True,False,True,False
157,battle/knockback_end_pc,0,0,0,3,0,0,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
158,specialpop/specialpop2,1,0,0,3,0,0,1,0,1,1,1,0,0,0,False,False,False,False,False,True,False
159,specialpop/specialdepop2,1,0,0,3,0,0,1,0,1,1,1,0,0,0,False,False,False,False,False,True,False
160,buddy/glad,2,0,0,2,0,0,1,0,1,2,0,0,0,0,False,False,False,False,False,True,False
161,normal/guildleave,2,0,0,1,0,0,1,0,0,2,2,0,0,0,False,False,False,False,False,True,False
162,normal/matering,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,False,True,False
163,normal/dejon,2,0,0,1,0,0,1,0,0,2,1,0,0,0,False,False,False,True,False,True,False
164,normal/telepo,2,0,0,1,0,0,1,0,0,2,1,0,0,0,False,False,False,True,False,True,False
165,mount/mount_start,2,61,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,False,True,False
166,mount/mount_idle,2,0,0,0,0,0,2,0,0,2,0,0,0,0,True,False,False,True,False,True,False
167,mount/mount_run,2,0,0,0,0,0,2,0,0,2,0,0,0,0,True,False,False,True,False,True,False
168,mount/mount_add_idle,0,0,0,0,0,3,0,0,0,0,0,0,0,0,True,False,False,True,False,True,False
169,normal/aettouch_start,2,0,1,1,0,0,1,0,1,2,0,2,0,0,False,True,False,False,True,True,False
170,normal/aettouch_loop,2,0,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
171,normal/aettouch_end,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,False,False,False,True,True,False
172,normal/touchaction_start,2,0,1,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
173,normal/touchaction_loop,2,0,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
174,normal/touchaction_end,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,False,False,False,True,True,False
175,normal/lookaction_start,2,5,1,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
176,normal/lookaction_loop,2,6,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
177,normal/lookaction_end,2,7,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
178,normal/fueaction_start,2,8,1,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
179,normal/fueaction_loop,2,9,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
180,normal/fueaction_end,2,10,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
181,normal/searchaction_start,2,11,1,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
182,normal/searchaction_loop,2,12,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
183,normal/searchaction_end,2,13,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
184,normal/opeaction_start,2,0,1,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
185,normal/opeaction_loop,2,0,2,0,0,0,1,0,1,2,0,0,0,0,True,True,False,False,True,True,False
186,normal/opeaction_end,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
187,normal/callpet_start,1,0,1,1,0,0,1,0,0,1,0,0,0,0,False,True,True,True,False,True,False
188,normal/callpet_loop,1,0,2,0,0,0,1,0,0,1,0,0,0,0,True,True,True,True,False,True,False
189,normal/callpet_end,1,0,0,3,0,0,1,0,0,1,2,0,0,0,False,True,True,True,False,True,False
190,mount/battle_mount_idle,1,0,0,0,0,0,2,0,0,1,0,0,0,0,True,False,False,True,False,True,False
191,mount/battle_mount_run,1,0,0,0,0,0,2,0,0,1,0,0,0,0,True,False,False,True,False,True,False
192,normal/cannon_1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,True,True,False
193,ws/bt_2bw_emp/wsh001_bow,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
194,ws/bt_2bw_emp/wsh002_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
195,ws/bt_2bw_emp/wsh003_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
196,specialdead/deadfall,0,0,0,7,0,0,1,0,1,0,0,0,0,0,False,False,False,True,False,True,False
197,normal/throw_firecrackers,2,0,0,1,0,0,2,0,1,2,0,0,0,0,False,True,False,False,False,True,False
198,minion/battle_loop,2,0,0,0,0,0,0,0,1,2,0,0,0,0,True,True,False,False,False,True,False
199,status/facial/sleep,0,0,0,1,0,2,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False
200,battle/knockback_start_pc,0,0,0,3,0,0,1,0,0,0,2,0,0,0,False,False,False,True,False,True,False
201,battle/knockback_end_pc,0,0,0,3,0,0,0,0,0,0,2,0,0,0,False,False,False,True,False,True,False
202,ws/bt_2ax_emp/wsh001_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
203,ws/bt_2ax_emp/wsh002_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
204,ws/bt_2ax_emp/wsh003_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
205,ws/bt_2sp_emp/wsh002_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
206,ws/bt_swd_sld/wsh002_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
207,ws/bt_clw_clw/wsh001_bow,1,0,0,3,0,1,2,0,2,1,0,2,0,0,False,False,True,False,False,True,False
208,normal/carry_upper_loop,2,63,0,3,0,1,2,0,1,2,0,2,0,0,True,False,False,False,False,True,False
209,normal/treasure_search,2,62,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,False,True,False
210,idle_sp/idle_sp_1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,True,False,False,False,False,True,False
211,idle_sp/idle_sp_2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,True,False,False,False,False,True,False
212,idle_sp/normal_idle_sp_1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,True,False,False,False,False,True,False
213,minion/loop,2,0,0,0,0,0,0,0,1,2,0,0,0,0,True,False,False,False,False,True,False
214,normal/katagami_action,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,False,True,False
215,normal_hit/slow_hit,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False
216,normal/materia_transcription,2,0,0,1,0,0,1,0,1,2,0,0,0,0,False,True,False,False,False,True,False
217,blownaway/attach_m0206,0,0,0,3,0,0,1,0,1,0,3,0,0,0,False,False,False,False,False,True,False
218,blownaway/falling,0,0,0,3,0,0,1,0,1,0,3,0,0,0,True,False,False,False,False,True,False
219,blownaway/landing,0,0,0,3,0,0,1,0,1,0,3,0,0,0,False,False,False,False,False,True,False
220,ws/bt_dgr_dgr/ws_s01,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
221,ws/bt_dgr_dgr/ws_s02,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
222,ws/bt_dgr_dgr/ws_s03,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
223,ws/bt_dgr_dgr/ws_s04,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
224,ws/bt_dgr_dgr/ws_s05,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
225,ws/bt_dgr_dgr/ws_s07,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
226,ws/bt_dgr_dgr/ws_s08,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
227,ws/bt_dgr_dgr/ws_s06,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
228,ws/bt_dgr_dgr/ws_s09,1,0,0,3,0,0,1,0,2,1,0,0,0,0,False,False,True,False,False,True,False
229,ability/dgr_ninja/abl018,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,True,False
230,ability/dgr_ninja/abl008,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,True,False
231,ability/dgr_ninja/abl009,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,True,False
232,ability/dgr_ninja/abl010,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,True,False
233,ability/dgr_ninja/abl011,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,True,True,False,False,True,False
234,ability/dgr_ninja/abl012,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,True,True,False,False,True,False
235,ability/dgr_ninja/abl013,1,0,0,3,0,0,1,0,1,1,0,0,0,0,False,True,True,False,False,True,False
236,craft/start,92,0,0,1,0,0,1,1,2,2,0,0,0,0,False,False,False,False,False,True,False
237,craft/idle,93,55,0,0,0,0,1,1,0,3,0,0,0,0,True,False,False,False,False,True,False
238,craft/end,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
239,craft/action_normal,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
240,craft/action_carefully,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
241,craft/action_fearlessly,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
242,craft/buff,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
243,craft/start_sub,2,0,0,1,0,0,1,1,2,2,0,0,0,0,False,False,False,False,False,True,False
244,craft/idle_sub,1,0,0,0,0,0,1,1,0,3,0,0,0,0,True,False,False,False,False,True,False
245,craft/end_sub,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
246,craft/action_normal_sub,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
247,craft/action_carefully_sub,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
248,craft/action_fearlessly_sub,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
249,craft/buff_sub,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
250,craft/repair,2,41,0,3,0,0,1,0,2,2,0,0,0,0,False,True,False,False,False,True,False
251,craft/hq_complete,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
252,craft/hq_complete_sub,1,0,0,1,0,0,1,1,2,3,0,0,0,0,False,False,False,False,False,True,False
253,craft/materia_joy,1,0,0,1,0,0,1,1,1,3,0,0,0,0,False,False,False,False,False,True,False
