#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
33,Tsukumogami Parasol,Tsukumogami Parasols,0,0,0,1,0,0,3885,2,8031,22,31,1,1,1
34,Tactful Taskmaster Umbrella,Tactful Taskmaster Umbrellas,0,0,0,1,0,0,3886,2,8032,21,32,1,1,1
35,Knapsack,Knapsacks,0,0,0,1,0,0,3928,0,8037,300,33,9,0,2
36,Statice's Wings,Statice's Wings,0,0,0,1,0,0,4016,0,8034,103,34,6,0,2
37,Giant Leaf Parasol,Giant Leaf Parasols,0,0,0,1,0,0,4017,2,8035,24,35,1,1,1
38,Colorful Carrotsol,Colorful Carrotsols,0,0,0,1,0,0,4018,2,8036,23,36,1,1,1
39,Neon Parasol,Neon Parasols,0,0,0,1,0,0,4240,2,8038,25,37,1,1,1
40,Ribboned Parasol,Ribboned Parasols,0,0,0,1,0,0,4241,2,8039,26,38,1,1,1
41,Bomb Parasol,Bomb Parasols,0,0,0,1,0,0,4242,2,8040,27,39,1,1,1
42,Mandragora Parasol,Mandragora Parasols,0,0,0,1,0,0,4406,2,8041,28,40,1,1,1
43,Archon Egg Parasol,Archon Egg Parasols,0,0,1,1,0,0,4407,2,8042,29,41,1,1,1
44,Pelupack,Pelupacks,0,0,0,1,0,0,4408,0,8043,301,42,9,0,2
45,Black Embroidered Parasol,Black Embroidered Parasols,0,0,0,1,0,0,4512,2,8044,30,43,1,1,1
46,White Embroidered Parasol,White Embroidered Parasols,0,0,0,1,0,0,4511,2,8045,31,44,1,1,1
47,Loparasol,Loparasols,0,0,0,1,0,0,4513,2,8046,32,45,1,1,1
48,Torch,Torches,0,0,0,1,0,0,4577,3,8047,400,46,10,2,0
49,Mizutsune Parasol,Mizutsune Parasols,0,0,0,1,0,0,4677,2,8048,33,47,1,1,1
50,Pixie Parasol,Pixie Parasols,0,0,0,1,0,0,4678,2,8049,34,48,1,1,1
51,Blue Pixie Parasol,Blue Pixie Parasols,0,0,0,1,0,0,4679,2,8050,35,49,1,1,1
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Spriggan Parasol,Spriggan Parasols,0,0,0,1,0,0,4817,2,8053,37,51,1,1,1
