#,Quest,BGM,BGMSystemDefine,Unknown0
50080.1,70847,20163,3,0
50081.0,0,1364,1,0
50081.1,70791,1388,3,0
50082.0,0,20200,1,0
50082.1,70907,1,3,0
50082.2,70907,1,4,5
50083.0,0,20061,1,0
50083.1,70907,20061,3,0
50083.2,70907,20061,4,6
50083.3,70906,20196,3,0
50083.4,70906,20196,4,3
50083.5,70906,20108,4,1
50084.0,0,20064,1,0
50084.1,70907,20064,3,0
50084.2,70907,20064,4,6
50084.3,70903,569,3,0
50084.4,70903,569,4,1
50085.0,0,20191,1,0
50085.1,70905,20191,3,0
50085.2,70905,190,4,8
50085.3,70905,20195,4,1
50086.0,0,20233,1,0
50086.1,70969,20233,3,0
50086.2,70969,20233,4,6
50086.3,70968,20196,3,0
50086.4,70968,20196,4,2
50087.0,0,20088,1,0
50087.1,70975,20088,3,0
50087.2,70975,20088,4,2
50087.3,70975,20240,4,1
