#,RewardItem[0],RewardItem[1],RewardItem[2],RewardItem[3],RequiredItem[0],RequiredItem[1],RequiredItem[2],RequiredItem[3],Unknown8,Unknown9,ClassJobCategory,RewardAmount[0],RewardAmount[1],RewardAmount[2],RewardAmount[3],RequiredAmount[0],RequiredAmount[1],RequiredAmount[2],RequiredAmount[3],Unknown10,Unknown11,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown12,Unknown13,Unknown14,Unknown15
4.4,13601,0,0,0,13615,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.5,13605,0,0,0,13619,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.6,13606,0,0,0,13620,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.7,13607,0,0,0,13621,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.8,13608,0,0,0,13622,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.9,13602,0,0,0,13616,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.10,13603,0,0,0,13617,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.11,13604,0,0,0,13618,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
4.12,13609,0,0,0,13623,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
5.0,13223,13236,0,0,13597,13610,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.1,13224,0,0,0,13598,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.2,13225,0,0,0,13599,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.3,13226,0,0,0,13600,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.4,13227,0,0,0,13601,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.5,13231,0,0,0,13605,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.6,13232,0,0,0,13606,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.7,13233,0,0,0,13607,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.8,13234,0,0,0,13608,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.9,13228,0,0,0,13602,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.10,13229,0,0,0,13603,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.11,13230,0,0,0,13604,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
5.12,13235,0,0,0,13609,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.0,14870,14883,0,0,13223,13236,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.1,14871,0,0,0,13224,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.2,14872,0,0,0,13225,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.3,14873,0,0,0,13226,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.4,14874,0,0,0,13227,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.5,14878,0,0,0,13231,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.6,14879,0,0,0,13232,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.7,14880,0,0,0,13233,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.8,14881,0,0,0,13234,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.9,14875,0,0,0,13228,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.10,14876,0,0,0,13229,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.11,14877,0,0,0,13230,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
6.12,14882,0,0,0,13235,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.0,15223,15236,0,0,14870,14883,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.1,15224,0,0,0,14871,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.2,15225,0,0,0,14872,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.3,15226,0,0,0,14873,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.4,15227,0,0,0,14874,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.5,15231,0,0,0,14878,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.6,15232,0,0,0,14879,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.7,15233,0,0,0,14880,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.8,15234,0,0,0,14881,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.9,15228,0,0,0,14875,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.10,15229,0,0,0,14876,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.11,15230,0,0,0,14877,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
7.12,15235,0,0,0,14882,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.0,15237,15250,0,0,15223,15236,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.1,15238,0,0,0,15224,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.2,15239,0,0,0,15225,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.3,15240,0,0,0,15226,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.4,15241,0,0,0,15227,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.5,15245,0,0,0,15231,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.6,15246,0,0,0,15232,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.7,15247,0,0,0,15233,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.8,15248,0,0,0,15234,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.9,15242,0,0,0,15228,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.10,15243,0,0,0,15229,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.11,15244,0,0,0,15230,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
8.12,15249,0,0,0,15235,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.0,15251,15264,0,0,15237,15250,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.1,15252,0,0,0,15238,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.2,15253,0,0,0,15239,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.3,15254,0,0,0,15240,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.4,15255,0,0,0,15241,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.5,15259,0,0,0,15245,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.6,15260,0,0,0,15246,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.7,15261,0,0,0,15247,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.8,15262,0,0,0,15248,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.9,15256,0,0,0,15242,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.10,15257,0,0,0,15243,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.11,15258,0,0,0,15244,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
9.12,15263,0,0,0,15249,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
10.0,16050,16063,0,0,15251,15264,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,True,True,False,False,False,False,True,True,True,True,True,True
10.1,16051,0,0,0,15252,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.2,16052,0,0,0,15253,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.3,16053,0,0,0,15254,0,0,0,0,0,23,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.4,16054,0,0,0,15255,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.5,16058,0,0,0,15259,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.6,16059,0,0,0,15260,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.7,16060,0,0,0,15261,0,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.8,16061,0,0,0,15262,0,0,0,0,0,29,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.9,16055,0,0,0,15256,0,0,0,0,0,92,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.10,16056,0,0,0,15257,0,0,0,0,0,98,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.11,16057,0,0,0,15258,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
10.12,16062,0,0,0,15263,0,0,0,0,0,99,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,True,True,True,True,True
11.0,22525,10,0,0,0,0,0,0,0,0,9,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.1,22525,8,0,0,0,0,0,0,0,0,10,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.2,22525,9,0,0,0,0,0,0,0,0,11,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.3,22525,10,0,0,0,0,0,0,0,0,12,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.4,22525,11,0,0,0,0,0,0,0,0,13,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.5,22525,12,0,0,0,0,0,0,0,0,14,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.6,22525,13,0,0,0,0,0,0,0,0,15,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.7,22525,8,0,0,0,0,0,0,0,0,16,1,20,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.8,22525,6141,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.9,22525,6141,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
11.10,22525,6141,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.0,30228,30245,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.1,30229,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.2,30230,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.3,30231,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.4,30232,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.5,30236,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.6,30237,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.7,30238,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.8,30239,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.9,30233,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.10,30234,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.11,30235,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.12,30240,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.13,30241,0,0,0,0,0,0,0,0,0,111,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.14,30242,0,0,0,0,0,0,0,0,0,112,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.15,30243,0,0,0,0,0,0,0,0,0,149,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
12.16,30244,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.0,30228,30245,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.1,30229,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.2,30230,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.3,30231,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.4,30232,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.5,30236,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.6,30237,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.7,30238,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.8,30239,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.9,30233,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.10,30234,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.11,30235,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.12,30240,0,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.13,30241,0,0,0,0,0,0,0,0,0,111,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.14,30242,0,0,0,0,0,0,0,0,0,112,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.15,30243,0,0,0,0,0,0,0,0,0,149,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
13.16,30244,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
14.0,30282,0,0,0,29634,30315,0,0,0,0,9,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.1,30283,0,0,0,29635,30317,0,0,0,0,10,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.2,30284,0,0,0,29636,30319,0,0,0,0,11,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.3,30285,0,0,0,29637,30321,0,0,0,0,12,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.4,30286,0,0,0,29638,30323,0,0,0,0,13,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.5,30287,0,0,0,29639,30325,0,0,0,0,14,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.6,30288,0,0,0,29640,30327,0,0,0,0,15,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.7,30289,0,0,0,29641,30329,0,0,0,0,16,1,0,0,0,1,90,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
14.8,30291,0,0,0,29643,30335,31128,0,0,0,17,1,0,0,0,1,50,180,0,0,0,False,False,False,False,False,False,True,False,False,True,True,True
14.9,30290,0,0,0,29642,30331,31126,0,0,0,18,1,0,0,0,1,50,180,0,0,0,False,False,False,False,False,False,True,False,False,True,True,True
14.10,30292,0,0,0,29644,30339,0,0,0,0,19,1,0,0,0,1,6,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.0,30293,0,0,0,30282,30316,0,0,0,0,9,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.1,30294,0,0,0,30283,30318,0,0,0,0,10,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.2,30295,0,0,0,30284,30320,0,0,0,0,11,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.3,30296,0,0,0,30285,30322,0,0,0,0,12,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.4,30297,0,0,0,30286,30324,0,0,0,0,13,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.5,30298,0,0,0,30287,30326,0,0,0,0,14,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.6,30299,0,0,0,30288,30328,0,0,0,0,15,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.7,30300,0,0,0,30289,30330,0,0,0,0,16,1,0,0,0,1,105,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
15.8,30302,0,0,0,30291,30337,31133,0,0,0,17,1,0,0,0,1,60,200,0,0,0,False,False,False,False,False,False,True,False,False,True,True,True
15.9,30301,0,0,0,30290,30333,31131,0,0,0,18,1,0,0,0,1,60,200,0,0,0,False,False,False,False,False,False,True,False,False,True,True,True
15.10,30303,0,0,0,30292,30340,0,0,0,0,19,1,0,0,0,1,7,0,0,0,0,False,False,False,False,False,False,True,False,True,True,True,True
16.0,28188,10,0,0,0,0,0,0,0,0,9,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.1,28188,8,0,0,0,0,0,0,0,0,10,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.2,28188,9,0,0,0,0,0,0,0,0,11,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.3,28188,10,0,0,0,0,0,0,0,0,12,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.4,28188,11,0,0,0,0,0,0,0,0,13,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.5,28188,12,0,0,0,0,0,0,0,0,14,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.6,28188,13,0,0,0,0,0,0,0,0,15,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
16.7,28188,8,0,0,0,0,0,0,0,0,16,1,25,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
17.0,30767,30784,0,0,30228,30245,0,0,0,0,20,1,1,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
17.1,30768,0,0,0,30229,0,0,0,0,0,21,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,True,True,True,True,True
