#,Race,Gender,BodyType,Height,Tribe,Face,HairStyle,HairHighlight,SkinColor,EyeHeterochromia,HairColor,HairHighlightColor,FacialFeature,FacialFeatureColor,Eyebrows,EyeColor,EyeShape,Nose,Jaw,Mouth,LipColor,BustOrTone1,ExtraFeature1,ExtraFeature2OrBust,FacePaint,FacePaintColor
23,1,0,1,50,1,1,4,1,17,5,6,0,0,0,5,5,5,2,3,0,0,50,0,50,0,0
24,1,0,1,50,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
25,1,0,1,50,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
26,2,0,1,100,4,1,9,129,34,66,70,135,0,0,0,66,0,0,0,0,0,50,1,50,0,7
27,2,1,1,75,4,2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
28,2,1,1,75,4,1,7,1,34,78,6,0,0,0,2,78,1,2,3,2,0,50,1,50,0,0
29,2,0,1,50,4,2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
30,2,1,1,50,4,1,1,1,34,76,36,0,0,0,0,76,0,0,0,0,0,50,1,0,0,0
31,2,0,1,75,4,2,5,129,40,76,4,0,30,0,2,76,130,1,1,1,0,50,1,50,16,54
32,2,0,1,50,4,3,4,1,40,38,5,0,0,0,2,38,133,1,1,2,0,50,1,50,0,0
33,2,0,1,50,4,2,5,1,113,69,15,0,0,0,1,69,129,1,3,2,0,50,1,25,0,0
34,1,0,1,75,1,1,3,1,152,59,55,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
35,4,1,1,75,8,3,6,129,97,12,31,147,0,0,0,12,0,0,0,0,0,50,1,50,0,0
36,1,0,1,50,1,2,4,1,17,5,5,0,0,0,3,5,128,4,1,1,0,25,0,50,0,0
37,1,0,1,50,1,1,2,1,170,146,6,0,0,0,2,146,2,0,3,2,0,50,0,50,0,7
38,2,0,1,50,3,2,3,1,60,146,54,0,0,0,1,146,1,5,3,0,0,50,1,50,0,7
39,1,0,1,50,1,1,7,1,152,71,6,0,0,0,2,71,1,2,3,2,0,50,0,50,0,7
40,2,0,1,50,3,3,4,1,28,5,5,0,0,0,2,5,133,1,1,2,0,50,1,50,0,7
41,1,0,1,50,1,5,3,1,17,59,39,0,0,0,4,59,133,1,3,0,0,50,0,75,0,7
42,1,0,1,50,1,1,1,1,152,57,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
43,4,1,1,50,8,3,2,1,97,12,13,0,0,0,0,12,0,0,0,0,0,50,1,50,0,0
44,1,1,1,50,1,201,1,1,170,146,12,0,0,0,0,146,0,0,0,0,0,50,0,0,0,0
45,3,0,1,75,5,201,1,1,0,1,50,0,0,0,0,1,0,0,0,0,0,50,1,50,0,0
46,4,1,1,50,8,1,1,1,111,12,13,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
47,4,1,1,50,8,3,2,1,21,12,5,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
48,4,1,1,50,8,1,6,1,137,36,30,0,0,0,3,36,3,4,3,1,0,50,1,50,0,0
49,5,0,1,50,9,1,1,1,26,1,1,0,0,1,0,1,0,0,0,0,0,50,0,50,16,69
50,5,0,1,50,9,2,9,1,171,21,4,0,0,1,1,21,131,3,0,2,0,100,0,75,16,69
51,5,0,1,50,9,1,1,1,82,1,1,0,0,1,0,1,0,0,0,0,0,50,0,50,18,69
52,5,0,1,50,9,1,12,1,20,146,3,0,0,1,2,146,2,2,2,2,0,100,0,50,20,69
53,5,0,1,75,9,1,6,1,115,93,37,0,0,1,2,93,0,5,0,0,0,100,0,50,18,69
54,1,0,1,50,1,5,6,1,98,59,50,0,0,1,1,59,131,1,1,2,0,75,0,75,0,1
55,1,0,1,50,1,4,12,1,48,3,5,0,0,1,1,3,4,4,3,2,0,75,0,50,0,1
56,1,0,1,75,1,3,4,1,107,59,43,0,0,1,2,59,131,0,2,0,0,100,0,50,0,1
57,3,0,1,50,6,3,2,1,86,79,4,0,0,1,0,79,0,1,3,2,0,50,1,50,0,1
58,3,0,1,50,6,4,1,1,61,122,6,0,0,1,1,122,5,3,3,3,0,50,1,50,0,1
59,3,0,1,50,6,3,3,1,44,71,6,0,0,1,0,71,0,1,3,2,0,50,1,50,0,1
60,3,0,1,75,6,2,5,1,6,15,5,0,0,1,3,15,4,2,3,3,0,50,1,50,0,1
61,1,0,1,50,2,1,1,1,29,1,6,0,0,1,0,1,0,0,0,0,0,50,0,50,0,1
62,1,0,1,50,2,1,3,1,131,6,5,0,0,1,0,6,0,0,0,0,0,100,0,50,0,1
63,1,0,1,50,2,2,8,1,82,182,4,0,0,1,0,182,0,0,0,0,0,50,0,50,0,1
64,1,0,1,75,2,1,4,1,86,111,5,0,0,1,0,111,1,3,1,1,0,50,0,25,0,1
65,1,0,1,50,1,6,8,1,13,71,55,0,0,1,1,71,131,3,2,3,0,50,0,75,0,1
66,1,0,1,50,1,5,3,1,102,64,7,0,0,1,0,64,0,3,0,0,0,50,0,50,0,1
67,3,0,1,50,6,2,10,1,5,99,7,0,0,1,3,99,131,2,1,3,0,50,1,50,0,1
68,1,0,1,75,1,4,7,1,157,2,156,0,0,1,2,2,2,1,2,0,0,100,0,50,0,1
69,1,0,1,50,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,50,0,50,0,1
70,1,0,1,50,1,6,2,1,5,44,55,0,0,1,0,44,3,1,3,1,0,50,0,50,0,1
71,1,0,1,50,1,2,4,1,85,59,5,0,0,1,5,59,4,4,1,2,0,50,0,75,0,1
72,1,0,1,75,1,3,5,1,91,15,6,0,0,1,1,15,5,4,3,2,0,50,0,50,0,1
73,1,0,1,50,1,1,1,1,152,71,5,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
74,2,0,1,50,3,2,4,0,162,63,6,0,0,0,0,63,2,0,0,0,0,0,0,0,0,0
75,1,0,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
76,2,1,1,75,3,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,0,0,50,0,0
77,1,1,1,50,1,1,1,0,152,71,5,0,0,0,0,71,0,0,0,0,0,0,0,50,0,0
78,1,1,1,50,1,1,1,0,152,71,5,0,0,0,0,71,0,0,0,0,0,0,0,50,0,0
79,2,1,1,75,3,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,0,0,50,0,0
80,1,0,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
81,1,0,1,50,1,200,1,1,152,57,4,0,0,0,0,57,0,0,0,0,0,0,0,50,1,7
82,1,0,1,50,1,200,1,1,152,57,4,0,0,0,0,57,0,0,0,0,0,0,0,50,1,7
83,2,0,1,50,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,50,0,0
84,1,0,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
85,2,0,1,75,3,2,7,1,27,5,14,0,0,146,1,5,133,2,1,0,0,50,1,25,0,0
86,2,0,1,50,3,3,4,1,52,63,4,0,0,0,4,63,2,5,2,1,0,50,1,50,0,0
87,1,0,1,50,1,5,1,1,17,71,4,0,0,0,1,71,2,1,2,2,0,50,0,75,0,0
88,1,0,1,50,1,3,6,1,17,71,55,0,0,0,4,71,2,3,1,1,0,25,0,25,0,0
89,1,0,1,50,1,2,7,1,35,15,6,0,0,0,5,15,129,5,2,2,0,50,0,50,0,0
90,1,0,1,75,1,4,7,1,17,71,6,0,0,0,2,71,2,5,3,3,0,50,0,25,0,0
91,1,0,1,50,1,4,2,1,17,59,4,0,0,0,4,59,0,0,1,3,0,50,0,50,0,0
92,1,0,1,50,1,4,8,1,17,38,55,0,0,0,4,38,0,0,1,3,0,50,0,50,0,0
93,2,0,1,25,3,2,1,1,27,38,6,0,0,0,0,38,3,1,1,0,0,75,1,50,0,0
94,2,0,1,25,3,2,4,1,52,73,7,0,0,0,1,73,2,0,2,2,0,50,1,50,0,0
95,2,0,1,25,3,2,5,1,27,38,6,0,0,0,0,38,132,3,1,1,0,50,1,50,0,0
96,2,0,1,50,3,2,4,1,52,38,6,0,0,0,3,38,1,4,3,0,0,50,1,50,0,0
97,1,0,1,50,1,4,3,1,35,44,6,0,0,0,5,44,4,3,1,3,0,25,0,50,0,0
98,2,0,1,50,3,1,1,1,27,5,6,0,0,0,1,5,2,1,3,0,0,50,1,75,0,0
99,1,0,1,50,1,4,1,1,35,5,5,0,0,0,4,5,3,2,0,3,0,50,0,25,0,0
100,1,0,1,25,1,5,1,1,17,59,6,0,0,0,2,59,129,5,3,1,0,50,0,25,0,0
101,2,0,1,75,3,2,6,1,52,38,4,0,0,0,3,38,4,1,1,0,0,50,1,50,0,0
102,2,0,1,50,3,2,4,1,52,6,5,0,0,0,0,6,132,1,0,3,0,50,1,50,0,0
103,1,0,1,75,1,4,2,1,17,38,5,0,0,0,5,38,130,4,2,0,0,75,0,50,0,0
104,2,0,1,25,3,2,5,1,27,38,6,0,0,0,0,38,129,3,1,3,0,50,1,50,0,0
105,4,1,1,25,8,1,2,1,6,14,31,0,0,0,2,14,129,5,1,0,0,50,1,75,0,0
106,2,0,1,50,3,1,1,1,52,38,4,0,0,0,2,38,4,3,0,3,0,50,1,50,0,0
107,2,0,1,50,3,3,4,1,27,6,6,0,0,0,5,6,128,5,0,0,0,50,1,50,0,0
108,1,0,1,50,1,4,3,1,35,44,6,0,0,0,5,44,4,3,1,3,0,25,0,50,0,0
109,4,1,1,25,8,4,1,1,74,157,7,0,0,0,2,157,133,1,1,1,0,50,1,50,0,0
110,1,0,1,50,1,5,1,1,17,71,4,0,0,0,1,71,2,1,2,2,0,50,0,75,0,0
111,1,0,1,50,1,4,1,1,35,5,5,0,0,0,4,5,3,2,0,3,0,50,0,25,0,0
112,4,1,1,50,8,1,8,1,6,68,182,0,0,0,3,68,133,0,0,1,0,50,1,50,0,0
113,4,1,1,25,8,1,2,1,6,14,31,0,0,0,2,14,129,5,1,0,0,50,1,75,0,0
114,1,0,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
115,1,0,1,50,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,0,50,0,0
116,1,1,4,50,1,1,1,1,96,160,26,0,0,0,1,160,129,0,1,128,169,50,0,50,4,168
117,5,0,1,75,10,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,0,0,50,0,0
118,2,0,1,100,4,3,6,1,41,61,70,0,0,0,2,61,128,2,0,2,0,50,1,25,0,0
119,1,0,1,50,1,3,6,1,17,71,55,0,0,0,4,71,2,3,1,1,0,25,0,25,0,0
120,1,0,1,75,1,3,8,1,178,59,22,0,0,0,1,59,0,0,3,0,0,75,0,25,4,44
121,2,1,1,75,4,3,4,1,40,38,5,0,0,0,2,38,133,1,1,2,0,50,1,50,0,0
122,2,1,1,75,4,2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
123,2,1,1,75,4,1,7,1,34,78,6,0,0,0,2,78,1,2,3,2,0,50,1,50,0,0
124,4,1,1,50,8,3,1,1,74,12,30,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
125,4,1,1,50,8,1,3,1,137,4,6,0,8,0,4,4,0,4,0,128,169,50,1,50,4,172
126,4,1,1,50,8,2,2,129,7,4,3,0,0,22,1,4,5,2,1,130,160,50,1,50,18,130
127,2,0,1,50,3,2,5,1,27,5,6,0,0,0,2,5,131,3,2,0,0,50,1,50,0,7
128,2,0,1,50,4,2,2,129,29,105,0,135,0,0,0,105,128,3,2,128,160,50,1,50,1,7
129,2,0,1,25,3,3,6,1,27,63,15,0,0,0,5,63,5,2,2,3,0,50,1,50,0,0
130,2,0,1,50,3,3,5,1,27,63,14,0,0,0,2,63,132,4,0,0,0,50,1,75,0,0
131,2,0,1,50,3,2,4,1,27,5,14,0,0,0,1,5,2,4,1,3,0,50,1,50,0,0
132,2,0,1,50,3,2,4,1,27,146,15,0,0,0,1,146,2,4,1,3,0,50,1,50,0,0
133,2,1,1,75,3,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,50,1,50,0,0
134,2,1,1,75,3,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,50,1,50,0,0
135,2,0,1,25,4,3,1,1,34,69,5,0,0,0,0,69,0,0,0,0,0,50,1,0,0,0
136,2,0,1,100,4,2,6,1,29,81,2,0,32,0,0,81,132,2,2,129,32,50,1,0,1,6
137,2,1,1,75,3,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,0,0,50,0,0
138,2,1,1,75,3,1,4,0,162,61,36,0,0,0,0,61,0,0,0,0,0,0,0,50,0,0
139,1,1,1,75,1,3,4,129,18,22,24,14,2,0,2,22,130,0,1,129,169,0,0,100,1,135
140,2,1,1,75,4,1,8,1,34,76,36,0,0,0,0,76,0,0,0,0,0,0,3,50,0,0
141,2,0,1,50,4,1,6,1,113,105,4,0,31,0,4,105,1,3,2,1,0,50,1,50,0,7
142,1,0,1,50,1,4,5,1,152,57,55,0,3,0,0,57,2,0,0,0,0,75,0,50,0,7
143,5,0,1,50,9,2,7,1,77,44,5,0,31,0,2,44,131,1,1,3,0,75,0,50,1,7
144,1,0,1,50,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0
145,2,0,1,100,4,1,3,1,13,69,7,0,31,0,4,69,128,0,0,0,0,50,1,50,1,4
146,4,0,1,50,8,2,6,129,17,4,7,90,1,0,0,4,5,2,3,130,32,100,1,50,1,7
147,4,1,1,100,8,3,6,1,111,12,7,0,5,0,3,12,133,2,3,1,0,50,1,25,0,7
148,2,1,1,50,3,3,2,1,27,38,6,0,0,0,0,38,129,3,1,3,0,50,1,50,0,0
149,1,0,1,50,1,1,8,1,17,15,6,0,0,0,3,15,131,5,1,1,0,50,0,50,0,0
150,2,0,1,50,3,1,4,0,162,61,6,0,0,0,0,61,0,0,0,0,0,50,1,50,0,0
151,4,1,1,50,8,3,1,1,74,12,30,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
152,1,1,1,50,1,4,5,1,17,38,6,0,0,0,0,38,129,3,1,3,0,50,1,50,0,0
153,2,0,1,50,3,4,5,1,27,6,180,0,0,0,3,6,2,4,3,0,0,50,1,25,0,0
154,2,0,1,100,4,4,3,1,34,69,5,0,0,0,0,69,0,0,0,0,0,50,1,0,0,0
155,4,1,1,50,8,3,6,129,137,38,35,58,0,0,1,38,130,5,2,3,0,50,1,50,0,7
156,1,0,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0
157,1,0,1,100,2,2,13,129,28,71,6,7,13,0,0,71,3,5,1,2,0,75,0,50,0,0
158,1,1,1,75,2,1,1,129,123,176,42,22,2,0,3,176,1,2,1,128,164,50,0,100,4,167
159,1,0,1,50,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,0,50,0,0
160,1,0,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0
161,2,0,1,100,4,4,3,1,85,58,140,0,127,151,4,58,0,2,1,128,190,50,3,50,1,71
162,4,1,1,50,7,201,4,1,12,169,49,0,0,0,0,169,0,0,0,128,159,50,1,50,0,0
163,1,0,1,50,1,201,4,1,97,44,34,0,0,0,0,44,0,0,0,0,0,50,0,50,0,7
164,3,1,1,50,5,2,1,129,16,168,173,182,13,0,2,168,2,2,1,1,0,0,1,100,0,184
165,1,0,3,75,1,1,8,129,61,71,0,32,3,0,4,71,4,4,2,0,0,100,0,50,4,7
166,3,0,1,0,6,4,8,129,0,94,44,146,0,0,1,94,5,0,0,0,0,50,1,50,0,0
167,3,0,1,75,6,4,12,1,0,83,42,0,0,0,1,83,1,5,3,3,0,50,1,25,5,46
168,3,0,1,100,6,2,7,1,24,83,44,0,0,0,2,83,130,0,3,2,0,50,3,50,19,53
169,3,0,1,75,6,3,3,1,0,83,49,0,0,0,3,83,133,5,0,0,0,50,1,50,17,62
170,3,0,1,75,6,1,8,1,0,83,49,0,0,0,5,83,4,5,1,1,0,50,1,50,14,7
171,3,0,1,100,6,3,12,129,44,153,49,49,3,0,3,153,129,4,1,3,0,50,1,25,0,0
172,5,1,1,50,9,2,7,129,1,179,27,149,0,0,0,179,128,2,2,3,0,50,0,50,0,0
173,5,0,1,50,9,3,11,1,35,156,25,0,0,0,2,156,2,3,0,2,0,50,0,50,0,0
174,4,1,1,50,7,2,6,129,1,179,16,149,0,0,0,179,133,5,2,3,0,50,1,50,0,0
175,1,0,1,50,1,1,1,1,152,38,39,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
176,4,1,1,50,7,4,2,1,1,12,5,0,0,0,1,12,131,5,1,0,0,50,1,75,0,0
177,5,0,1,50,9,1,1,1,42,38,6,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
178,1,0,1,75,1,2,9,129,36,0,160,152,0,0,3,0,129,1,0,0,0,100,0,50,1,7
179,1,0,1,50,1,6,1,1,35,59,149,0,0,0,4,59,130,0,0,2,0,25,0,50,0,0
180,1,0,1,50,1,5,3,1,5,71,55,0,0,0,0,71,131,3,1,1,0,50,0,75,0,0
181,3,0,1,50,6,3,5,1,149,121,6,0,0,0,4,121,1,0,1,0,0,50,1,50,0,0
182,1,0,1,50,1,2,4,1,5,38,6,0,0,0,2,38,128,3,1,3,0,50,0,50,0,0
183,1,0,1,50,1,3,5,1,186,12,4,0,0,0,2,12,0,2,0,0,0,50,1,50,0,0
184,5,0,1,50,9,1,5,1,83,145,41,0,0,1,0,145,0,0,0,0,0,100,0,75,16,69
185,5,0,1,50,9,3,3,1,155,29,41,0,0,1,0,29,0,0,0,0,0,100,0,75,18,69
186,5,0,1,75,9,2,1,1,76,89,74,0,0,1,0,89,0,0,0,0,0,100,0,75,22,69
187,4,1,1,25,7,4,5,1,1,6,6,0,0,0,3,6,1,5,0,1,0,50,1,50,16,69
188,5,0,1,50,9,1,1,1,42,137,183,0,1,0,2,137,0,1,0,0,0,0,0,0,18,69
189,1,0,1,100,2,1,1,1,76,1,1,0,28,1,0,1,0,0,0,0,0,50,0,50,0,1
190,1,0,1,50,1,1,4,1,35,5,6,0,0,0,3,5,131,5,3,3,0,25,0,50,0,0
191,1,0,1,50,1,1,4,1,35,5,6,0,0,0,3,5,131,5,3,3,0,25,0,50,0,0
192,3,0,1,50,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,1,50,0,0
193,3,0,1,50,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,1,50,0,0
194,4,1,1,50,7,1,5,1,186,13,43,0,0,0,0,13,130,1,3,3,0,50,1,50,6,69
195,5,0,1,50,9,2,12,129,20,57,5,167,0,0,0,57,129,2,0,0,0,25,0,50,6,69
196,5,0,1,50,10,1,1,1,42,38,6,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
197,1,0,1,50,1,4,2,1,85,44,55,0,0,0,3,44,128,5,3,2,0,25,0,25,0,0
198,1,0,1,50,1,4,2,1,85,44,55,0,0,0,3,44,128,5,3,2,0,25,0,25,0,0
199,3,0,1,100,6,1,10,129,60,145,0,0,0,0,2,145,130,2,1,129,4,50,1,75,1,7
200,5,0,1,100,9,1,4,129,110,44,33,26,102,0,2,44,2,1,2,2,0,100,0,50,0,0
201,5,1,1,50,9,2,7,129,147,30,89,56,3,0,3,30,2,2,0,3,0,25,0,100,0,0
202,1,0,1,100,1,1,2,1,152,38,27,0,3,0,0,38,0,0,0,0,0,100,0,50,0,0
203,1,0,1,50,1,3,4,1,152,4,22,0,0,0,5,4,131,5,1,2,0,50,0,50,0,0
204,2,1,1,50,3,2,6,1,162,27,70,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0
205,2,0,1,50,3,2,1,1,27,38,5,0,0,0,2,38,1,0,0,3,0,50,1,25,0,0
206,1,0,1,50,1,1,1,1,152,38,39,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
207,1,1,1,25,1,4,8,1,17,44,6,0,0,0,4,44,129,4,0,2,0,50,0,50,0,0
208,3,1,1,75,6,1,6,1,4,116,7,0,0,0,2,116,128,4,1,0,0,50,1,75,0,0
209,5,0,1,50,9,1,8,1,26,138,5,0,1,0,3,138,2,2,2,1,0,25,0,50,0,0
210,3,1,1,75,5,2,3,129,137,2,155,145,2,0,1,2,131,0,0,0,0,0,1,75,0,43
211,4,1,1,50,7,1,6,1,0,46,4,0,0,0,3,46,3,2,0,0,0,50,1,50,0,0
212,1,0,1,50,2,1,1,1,179,79,6,0,31,0,0,79,0,0,0,0,0,0,0,0,0,0
213,1,0,1,50,1,1,1,1,17,54,4,0,0,1,0,54,130,0,0,0,0,75,0,50,0,1
214,1,0,1,50,1,4,7,1,35,71,5,0,0,1,0,71,130,0,0,0,0,75,0,50,0,1
215,1,1,1,50,1,2,1,1,65,59,4,0,0,1,2,59,130,0,0,0,0,75,0,50,0,1
216,1,1,1,50,1,3,3,1,90,100,15,0,0,1,0,100,130,2,0,2,0,75,0,50,0,1
217,1,0,1,50,2,1,1,1,162,81,4,0,0,1,3,81,128,0,2,1,0,100,0,50,0,1
218,1,0,1,75,2,3,2,1,4,15,6,0,0,1,3,15,2,3,1,3,0,25,0,50,0,1
219,1,1,1,50,2,1,4,1,131,15,4,0,0,1,0,15,130,1,2,0,0,75,0,50,0,1
220,1,1,1,50,2,3,3,1,157,92,5,0,0,1,1,92,128,1,0,3,0,75,0,75,0,1
221,2,0,1,50,3,1,4,1,10,38,5,0,0,1,0,38,130,0,0,0,0,50,1,50,0,1
222,2,0,1,100,3,2,6,1,58,78,22,0,0,1,2,78,130,0,0,0,0,50,1,50,0,1
223,2,1,1,50,3,3,5,1,66,38,5,0,0,1,2,38,132,0,1,3,0,50,1,50,0,1
224,2,1,1,50,3,3,4,1,49,38,4,0,0,1,2,38,131,1,1,1,0,50,1,50,0,1
225,2,0,1,50,4,1,1,1,98,6,3,0,0,1,2,6,130,3,0,3,0,50,1,75,0,1
226,2,0,1,50,4,2,5,1,113,78,5,0,0,1,2,78,130,1,1,0,0,50,1,75,0,1
227,2,1,1,50,4,3,6,1,41,77,22,0,0,1,3,77,128,5,0,0,0,50,1,75,0,1
228,2,1,1,50,4,4,8,1,122,69,4,0,0,1,3,69,130,3,1,3,0,50,1,75,0,1
229,4,0,1,50,7,1,3,1,65,12,3,0,0,1,2,12,130,5,1,0,0,50,1,75,0,1
230,4,0,1,50,7,4,7,1,185,78,4,0,0,1,2,78,130,0,2,1,0,50,1,50,0,1
231,4,1,1,50,7,2,2,1,1,61,52,0,0,1,0,61,128,2,1,2,0,50,1,50,0,1
232,4,1,1,50,7,4,8,1,185,61,3,0,0,1,0,61,130,0,0,0,0,50,1,50,0,1
233,4,0,1,50,8,1,4,1,137,12,31,0,0,1,4,12,4,1,3,3,0,50,1,50,0,1
234,4,0,1,50,8,4,1,1,58,68,5,0,0,1,0,68,130,4,0,0,0,50,1,50,0,1
235,4,1,1,50,8,1,5,1,35,4,15,0,0,1,0,4,130,4,3,1,0,50,1,50,0,1
236,4,1,1,50,8,2,1,1,89,12,182,0,0,1,0,12,129,1,0,0,0,50,1,50,0,1
237,5,0,1,50,9,3,1,1,50,38,3,0,0,1,3,38,130,0,0,1,0,75,0,50,0,1
238,5,0,1,50,9,1,8,1,92,38,14,0,0,1,2,38,130,1,2,1,0,75,0,75,0,1
239,5,1,1,50,9,2,1,1,59,3,21,0,0,1,1,3,130,1,0,0,0,75,0,50,0,1
240,5,1,1,50,9,1,3,1,20,3,4,0,0,1,2,3,4,1,2,0,0,75,0,75,0,1
241,5,0,1,50,10,4,2,1,178,3,38,0,0,1,2,3,130,0,1,0,0,75,0,50,0,1
242,5,0,1,50,10,3,5,1,52,14,4,0,0,1,2,14,130,0,0,2,0,75,0,50,0,1
243,5,1,1,50,10,1,2,1,4,4,3,0,0,1,1,4,128,0,0,2,0,75,0,50,0,1
244,5,1,1,50,10,3,5,1,178,4,5,0,0,1,0,4,132,0,2,0,0,75,0,50,0,1
245,3,0,1,50,5,3,4,1,33,9,4,0,0,1,0,9,0,1,1,0,0,50,1,50,0,1
246,3,0,1,50,5,2,2,1,136,69,21,0,0,1,2,69,130,1,3,2,0,50,1,50,0,1
247,3,1,1,50,5,1,8,1,33,62,4,0,0,1,3,62,130,5,1,2,0,50,1,50,0,1
248,3,1,1,50,5,4,1,1,33,36,30,0,0,1,4,36,132,1,1,2,0,50,1,50,0,1
249,3,0,1,50,6,1,1,1,184,3,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
250,3,0,1,50,6,4,3,1,122,3,4,0,0,1,2,3,2,4,1,0,0,50,1,50,0,1
251,3,1,1,50,6,4,5,1,20,53,4,0,0,1,3,53,131,2,2,0,0,50,1,50,0,1
252,3,1,1,50,6,4,7,1,92,5,5,0,0,1,4,5,131,1,0,1,0,50,1,50,0,1
