#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
27,A Boon from Nature,Successfully trigger the Gatherer's Boon effect while gathering items of comparable level to your own 30 times.,0,61815,30,5,2000,0,0,0,5,5,5,3
28,Hooked on the Reeling,Catch 30 fish.,0,61815,30,5,1000,0,0,0,5,6,5,3
29,Catch of the Day,Catch 10 large-sized fish.,0,61815,10,5,2000,0,0,0,5,7,5,3
30,Crafting Up a Storm,Craft 30 items.,0,61816,30,10,1000,0,0,0,5,1,5,3
31,Crafting Up a Storm (HQ),Craft 20 high-quality items.,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,Venture Capital,Have a retainer complete 10 ventures.,0,61818,10,0,1000,0,0,168,9,1,0,3
34,Venture Bothers,Have a retainer complete 15 exploration ventures.,0,61818,15,0,4000,0,0,169,9,2,0,3
35,Line Up,Participate in 7 Frontline campaigns.,0,61806,7,0,1000,0,0,176,2,3,0,9
36,In the Line of Fire,Lead your company to victory in 3 Frontline campaigns.,0,61806,3,0,1000,0,0,176,2,4,0,9
37,Size Doesn't Matter,Complete 3 mini-games.,0,61820,3,0,1000,0,0,201,10,1,0,8
38,From Small Things,Earn 100 MGP from mini-games.,0,61820,100,0,1500,0,0,201,10,2,0,8
39,Open the Gates,Participate in 5 GATEs.,0,61820,5,0,5000,0,0,201,10,3,0,8
40,Close the Gates,Successfully complete 3 GATEs.,0,61820,3,0,8000,0,0,201,10,4,0,8
41,To the Races I,Enter 3 chocobo races.,0,61820,3,0,5000,0,0,196,10,5,0,8
42,To the Races II,Enter 20 chocobo races.,0,61820,20,0,8000,0,0,196,10,6,0,8
43,Victory Lap I,Win a chocobo race.,0,61820,1,0,5000,0,0,196,10,7,0,8
44,Victory Lap II,Win 10 chocobo races.,0,61820,10,0,8000,0,0,196,10,8,0,8
45,Always in Threes,Play Triple Triad 10 times.,0,61820,10,0,5000,0,0,199,10,9,0,8
46,A Winner Is You,Win 10 Triple Triad matches.,0,61820,10,0,8000,0,0,199,10,10,0,8
47,Come Play Lord II,Play Lord of Verminion 3 times.,0,61820,3,0,10000,0,0,224,10,15,0,8
48,Up for a Challenge V,Complete 30 unique challenges.,0,61810,30,0,15000,0,30,0,12,5,0,3
49,Cards in the Hall,Play 5 Triple Triad matches in the Battlehall.,0,61820,5,0,2500,0,0,200,10,11,0,8
50,Triple Tumble,Win 3 Triple Triad matches in the Battlehall.,0,61820,3,0,3000,0,0,200,10,12,0,8
51,The Customer Is Always Right,Complete 6 custom deliveries.,0,61827,6,0,1000,0,60,219,5,10,0,3
52,Spear Me,Spear 50 fish.,0,61815,50,5,1000,0,0,241,5,8,5,3
53,Spear No Effort,Spear 20 large-sized fish.,0,61815,20,5,2000,0,0,241,5,9,5,3
54,Prepare to Dice,Participate in 10 Rival Wings campaigns.,0,61806,10,0,1000,0,0,240,2,5,0,9
55,Luck Be a Lady Tonight,Lead your alliance to victory in 5 Rival Wings campaigns.,0,61806,5,0,1000,0,0,240,2,6,0,9
56,"Forbidden Ice, Forbidden Lightning I",Defeat 30 ice- or lightning-aspected enemies no more than two elemental levels below your own.,0,61833,30,5,1000,0,0,251,13,9,10,3
57,"Forbidden Ice, Forbidden Lightning II",Defeat 60 ice- or lightning-aspected enemies no more than two elemental levels below your own.,0,61833,60,15,1000,0,0,251,13,10,10,3
58,"Forbidden Fire, Forbidden Earth I",Defeat 30 fire- or earth-aspected enemies no more than two elemental levels below your own.,0,61833,30,5,1000,0,0,251,13,11,10,3
59,"Forbidden Fire, Forbidden Earth II",Defeat 60 fire- or earth-aspected enemies no more than two elemental levels below your own.,0,61833,60,15,1000,0,0,251,13,12,10,3
60,"Forbidden Water, Forbidden Wind I",Defeat 30 water- or wind-aspected enemies no more than two elemental levels below your own.,0,61833,30,5,1000,0,0,251,13,13,10,3
61,"Forbidden Water, Forbidden Wind II",Defeat 60 water- or wind-aspected enemies no more than two elemental levels below your own.,0,61833,60,15,1000,0,0,251,13,14,10,3
62,"Forbidden Bone, Forbidden Ash I",Defeat 20 ashkin in Eureka with an elemental level equal to or higher than your own.,0,61833,20,5,1000,0,0,251,13,15,10,3
63,"Forbidden Bone, Forbidden Ash II",Defeat 40 ashkin in Eureka with an elemental level equal to or higher than your own.,0,61833,40,15,1000,0,0,251,13,16,10,3
64,Forbidden Elements I,Defeat 10 sprites in Eureka with an elemental level equal to or higher than your own.,0,61833,10,5,1000,0,0,251,13,17,10,3
65,Forbidden Elements II,Defeat 20 sprites in Eureka with an elemental level equal to or higher than your own.,0,61833,20,15,1000,0,0,251,13,18,10,3
66,Come Play Lord I,Play Lord of Verminion 1 time.,0,61820,1,0,5000,0,0,224,10,14,0,8
67,Come Play Lord III,Play Lord of Verminion 5 times.,0,61820,5,0,12000,0,0,224,10,16,0,8
68,Master and Commander,Successfully complete 3 command missions.,372,61812,3,0,5000,0,0,0,8,3,0,6
69,Kiwami,Participate in 2 Doman Mahjong player matches.,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,In Your FATE I,Complete 5 FATEs with the highest rating possible.,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,In Your FATE II,Complete 10 FATEs with the highest rating possible.,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,My Big Break,"Successfully desynthesize 5 items.
※Experience points may only be earned by crafting classes.",95,61816,5,10,2000,0,0,0,5,3,5,3
73,"Come on in, It's Open",Participate in an Open tournament and receive your reward.,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,Living off the Land,Collect 100 materials in your island sanctuary.,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,Making a Living off the Land,Ship 20 isleworks handicrafts.,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,Occult Interloping I,Defeat 30 monsters with a knowledge level equal to or higher than your own.,70847,61851,30,30,140,0,0,0,13,1,12,13
77,Occult Interloping II,Defeat 60 monsters with a knowledge level equal to or higher than your own.,70847,61851,60,70,240,0,0,0,13,2,12,13
78,Critically Endangered I,Complete 8 critical encounters on the Occult Crescent.,70847,61851,8,30,140,0,0,0,13,3,12,13
79,Critically Endangered II,Complete 15 critical encounters on the Occult Crescent.,70847,61851,15,70,240,0,0,0,13,4,12,13
80,Fateful Contention I,Complete 10 FATEs on the Occult Crescent.,70847,61851,10,30,140,0,0,0,13,5,12,13
81,Fateful Contention II,Complete 20 FATEs on the Occult Crescent.,70847,61851,20,70,240,0,0,0,13,6,12,13
82,Make It Chain I,Achieve an EXP chain of 20 on the Occult Crescent.,70847,61851,1,30,140,0,0,0,13,7,12,13
83,Make It Chain II,Achieve an EXP chain of 40 on the Occult Crescent.,70847,61851,1,70,240,0,0,0,13,8,12,13
84,Take Me to Church I,Clear the area marked by stone 20 in Pilgrim's Traverse.,70941,61824,1,7,0,0,0,0,14,1,14,0
85,Take Me to Church II,Clear the area marked by stone 30 in Pilgrim's Traverse.,70941,61824,1,2,0,0,0,0,14,2,15,0
86,Take Me to Church III,Clear the area marked by stone 50 in Pilgrim's Traverse.,70942,61824,1,8,0,0,0,0,14,3,14,0
87,Take Me to Church IV,Clear the area marked by stone 70 in Pilgrim's Traverse.,70942,61824,1,3,0,0,0,0,14,4,15,0
88,Take Me to Church V,Clear the area marked by stone 100 in Pilgrim's Traverse.,70942,61824,1,10,0,0,0,0,14,5,14,0
89,,,0,0,0,0,0,0,0,0,0,0,0,0
90,,,0,0,0,0,0,0,0,0,0,0,0,0
91,,,0,0,0,0,0,0,0,0,0,0,0,0
92,,,0,0,0,0,0,0,0,0,0,0,0,0
93,,,0,0,0,0,0,0,0,0,0,0,0,0
94,,,0,0,0,0,0,0,0,0,0,0,0,0
95,,,0,0,0,0,0,0,0,0,0,0,0,0
96,,,0,0,0,0,0,0,0,0,0,0,0,0
97,,,0,0,0,0,0,0,0,0,0,0,0,0
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,0,0,0,0,0,0,0,0
100,,,0,0,0,0,0,0,0,0,0,0,0,0
101,,,0,0,0,0,0,0,0,0,0,0,0,0
102,,,0,0,0,0,0,0,0,0,0,0,0,0
103,,,0,0,0,0,0,0,0,0,0,0,0,0
