#,Quality,SuggestedCraftsmanship,Difficulty,Durability,ConditionsFlag,ClassJobLevel,Stars,ProgressDivider,QualityDivider,ProgressModifier,QualityModifier
80,2620,358,330,80,15,50,2,50,30,80,70
81,2633,362,339,80,15,50,2,50,30,80,70
82,2646,365,348,80,15,50,2,50,30,80,70
83,2659,368,357,80,15,50,2,50,30,80,70
84,2672,372,366,80,15,50,2,50,30,80,70
85,2685,375,375,80,15,50,2,50,30,80,70
86,2698,378,384,80,15,50,2,50,30,80,70
87,2711,382,393,80,15,50,2,50,30,80,70
88,2724,385,402,80,15,50,2,50,30,80,70
89,2737,388,411,80,15,50,2,50,30,80,70
90,2750,391,420,80,15,50,3,50,30,80,70
91,2757,394,423,80,15,50,3,50,30,80,70
92,2764,397,426,80,15,50,3,50,30,80,70
93,2771,400,429,80,15,50,3,50,30,80,70
94,2778,403,432,80,15,50,3,50,30,80,70
95,2785,406,435,80,15,50,3,50,30,80,70
96,2792,409,438,80,15,50,3,50,30,80,70
97,2799,412,441,80,15,50,3,50,30,80,70
98,2806,415,444,80,15,50,3,50,30,80,70
99,2813,418,447,80,15,50,3,50,30,80,70
100,2820,421,450,80,15,50,3,50,30,80,70
101,2828,424,453,80,15,50,3,50,30,80,70
102,2836,427,456,80,15,50,3,50,30,80,70
103,2844,430,459,80,15,50,3,50,30,80,70
104,2852,433,462,80,15,50,3,50,30,80,70
105,2860,436,465,80,15,50,3,50,30,80,70
106,2868,439,468,80,15,50,3,50,30,80,70
107,2876,442,471,80,15,50,3,50,30,80,70
108,2884,445,474,80,15,50,3,50,30,80,70
109,2892,448,477,80,15,50,3,50,30,80,70
110,2900,451,480,80,15,50,4,50,30,80,70
111,2900,455,480,80,15,50,4,50,30,80,70
112,2900,458,480,80,15,50,4,50,30,80,70
113,2900,462,480,80,15,50,4,50,30,80,70
114,2900,465,480,80,15,50,4,50,30,80,70
115,2070,468,220,80,15,51,0,61,39,100,100
116,2077,472,224,80,15,51,0,61,39,100,100
117,2084,475,228,80,15,51,0,61,39,100,100
118,2091,479,232,80,15,51,0,61,39,100,100
119,2098,482,236,80,15,51,0,61,39,100,100
120,2105,485,240,80,15,51,0,61,39,100,100
121,2112,489,244,80,15,51,0,61,39,100,100
122,2119,492,248,80,15,51,0,61,39,100,100
123,2126,495,252,80,15,51,0,61,39,100,100
124,2133,499,256,80,15,51,0,61,39,100,100
125,2140,502,260,80,15,52,0,62,43,100,100
126,2154,506,268,80,15,52,0,62,43,100,100
127,2168,509,276,80,15,52,0,62,43,100,100
128,2182,512,284,80,15,52,0,62,43,100,100
129,2196,516,292,80,15,52,0,62,43,100,100
130,2210,519,300,80,15,53,0,63,43,100,100
131,2233,522,313,80,15,53,0,63,43,100,100
132,2256,526,326,80,15,53,0,63,43,100,100
133,2280,529,340,80,15,54,0,64,44,100,100
134,2303,533,353,80,15,54,0,64,44,100,100
135,2326,536,366,80,15,54,0,64,44,100,100
136,2350,539,380,70,15,55,0,65,45,100,100
137,2373,543,393,70,15,55,0,65,45,100,100
138,2396,546,406,70,15,55,0,65,45,100,100
139,2420,550,420,70,15,56,0,66,46,100,100
140,2443,553,433,70,15,56,0,66,46,100,100
141,2466,556,446,70,15,56,0,66,46,100,100
142,2490,560,460,70,15,57,0,67,47,100,100
143,2513,563,473,70,15,57,0,67,47,100,100
144,2536,566,486,70,15,57,0,67,47,100,100
145,2560,570,500,70,15,58,0,68,48,100,100
146,2583,573,513,70,15,58,0,68,48,100,100
147,2606,577,526,70,15,58,0,68,48,100,100
148,2630,580,540,70,15,59,0,69,49,100,100
149,2665,583,560,70,15,59,0,69,49,100,100
150,2700,587,580,70,15,60,0,70,50,100,100
151,2710,590,588,70,15,60,0,70,50,100,100
152,2720,593,596,70,15,60,0,70,50,100,100
153,2730,597,604,70,15,60,0,70,50,100,100
154,2740,600,612,70,15,60,0,70,50,100,100
155,2750,604,620,70,15,60,0,70,50,100,100
156,2760,607,628,70,15,60,0,70,50,100,100
157,2770,610,636,70,15,60,0,70,50,100,100
158,2780,614,644,70,15,60,0,70,50,100,100
159,2790,617,652,70,15,60,0,70,50,100,100
160,2800,620,660,70,15,60,1,70,50,100,100
161,2805,625,664,70,15,60,1,70,50,100,100
162,2810,630,668,70,15,60,1,70,50,100,100
163,2815,635,672,70,15,60,1,70,50,100,100
164,2820,640,676,70,15,60,1,70,50,100,100
165,2825,645,680,70,15,60,1,70,50,100,100
166,2830,650,684,70,15,60,1,70,50,100,100
167,2835,655,688,70,15,60,1,70,50,100,100
168,2840,660,692,70,15,60,1,70,50,100,100
169,2845,665,696,70,15,60,1,70,50,100,100
170,2850,669,700,70,15,60,1,70,50,100,100
171,2855,674,704,70,15,60,1,70,50,100,100
172,2860,679,708,70,15,60,1,70,50,100,100
173,2865,684,712,70,15,60,1,70,50,100,100
174,2870,689,716,70,15,60,1,70,50,100,100
175,2875,694,720,70,15,60,1,70,50,100,100
176,2880,699,724,70,15,60,1,70,50,100,100
177,2885,704,728,70,15,60,1,70,50,100,100
178,2890,709,732,70,15,60,1,70,50,100,100
179,2895,714,736,70,15,60,1,70,50,100,100
180,2900,718,740,70,15,60,2,70,50,80,70
181,2913,723,744,70,15,60,2,70,50,80,70
182,2926,727,748,70,15,60,2,70,50,80,70
183,2939,732,752,70,15,60,2,70,50,80,70
184,2952,736,756,70,15,60,2,70,50,80,70
185,2965,740,760,70,15,60,2,70,50,80,70
186,2978,745,764,70,15,60,2,70,50,80,70
187,2991,749,768,70,15,60,2,70,50,80,70
188,3004,754,772,70,15,60,2,70,50,80,70
189,3017,758,776,70,15,60,2,70,50,80,70
190,3030,762,780,70,15,60,2,70,50,80,70
191,3043,767,785,70,15,60,2,70,50,80,70
192,3056,771,790,70,15,60,2,70,50,80,70
193,3069,776,795,70,15,60,2,70,50,80,70
194,3082,780,800,70,15,60,2,70,50,80,70
195,3095,784,805,70,15,60,2,70,50,80,70
196,3108,789,810,70,15,60,2,70,50,80,70
197,3121,793,815,70,15,60,2,70,50,80,70
198,3134,798,820,70,15,60,2,70,50,80,70
199,3147,802,825,70,15,60,2,70,50,80,70
200,3160,806,830,70,15,60,2,70,50,80,70
201,3174,811,835,70,15,60,2,70,50,80,70
202,3188,815,840,70,15,60,2,70,50,80,70
203,3202,820,845,70,15,60,2,70,50,80,70
204,3216,824,850,70,15,60,2,70,50,80,70
205,3230,828,855,70,15,60,2,70,50,80,70
206,3244,833,860,70,15,60,2,70,50,80,70
207,3258,837,865,70,15,60,2,70,50,80,70
208,3272,842,870,70,15,60,2,70,50,80,70
209,3286,846,875,70,15,60,2,70,50,80,70
210,3300,850,880,70,15,60,3,70,50,80,70
211,3309,852,882,70,15,60,3,70,50,80,70
212,3318,854,884,70,15,60,3,70,50,80,70
213,3327,856,886,70,15,60,3,70,50,80,70
214,3336,858,888,70,15,60,3,70,50,80,70
215,3345,860,890,70,15,60,3,70,50,80,70
216,3354,862,892,70,15,60,3,70,50,80,70
217,3363,864,894,70,15,60,3,70,50,80,70
218,3372,866,896,70,15,60,3,70,50,80,70
219,3381,868,898,70,15,60,3,70,50,80,70
220,3390,870,900,70,15,60,3,70,50,80,70
221,3403,875,903,70,15,60,3,70,50,80,70
222,3416,879,906,70,15,60,3,70,50,80,70
223,3429,883,909,70,15,60,3,70,50,80,70
224,3442,887,912,70,15,60,3,70,50,80,70
225,3455,891,915,70,15,60,3,70,50,80,70
226,3468,895,918,70,15,60,3,70,50,80,70
227,3481,900,921,70,15,60,3,70,50,80,70
228,3494,904,924,70,15,60,3,70,50,80,70
229,3507,908,927,70,15,60,3,70,50,80,70
230,3520,912,930,70,15,60,3,70,50,80,70
231,3534,916,933,70,15,60,3,70,50,80,70
232,3548,920,936,70,15,60,3,70,50,80,70
233,3562,925,939,70,15,60,3,70,50,80,70
234,3576,929,942,70,15,60,3,70,50,80,70
235,3590,933,945,70,15,60,3,70,50,80,70
236,3604,937,948,70,15,60,3,70,50,80,70
237,3618,941,951,70,15,60,3,70,50,80,70
238,3632,945,954,70,15,60,3,70,50,80,70
239,3646,950,957,70,15,60,3,70,50,80,70
240,3660,954,960,70,15,60,3,70,50,80,70
241,3674,958,964,70,15,60,3,70,50,80,70
242,3688,962,968,70,15,60,3,70,50,80,70
243,3702,966,972,70,15,60,3,70,50,80,70
244,3716,970,976,70,15,60,3,70,50,80,70
245,3730,975,980,70,15,60,3,70,50,80,70
246,3744,979,984,70,15,60,3,70,50,80,70
247,3758,983,988,70,15,60,3,70,50,80,70
248,3772,987,992,70,15,60,3,70,50,80,70
249,3786,991,996,70,15,60,3,70,50,80,70
250,3800,995,1000,70,15,60,4,70,50,80,70
251,3800,998,1000,80,15,60,4,70,50,80,70
252,3800,1000,1000,80,15,60,4,70,50,80,70
253,3800,1002,1000,80,15,60,4,70,50,80,70
254,3800,1004,1000,80,15,60,4,70,50,80,70
255,2790,1006,630,80,15,61,0,81,58,100,100
256,2799,1008,635,80,15,61,0,81,58,100,100
257,2808,1010,640,80,15,61,0,81,58,100,100
258,2817,1012,645,80,15,61,0,81,58,100,100
259,2826,1014,650,80,15,61,0,81,58,100,100
260,2835,1016,655,80,15,61,0,81,58,100,100
261,2844,1019,660,80,15,61,0,81,58,100,100
262,2853,1021,665,80,15,61,0,81,58,100,100
263,2862,1023,670,80,15,61,0,81,58,100,100
264,2871,1025,675,80,15,61,0,81,58,100,100
265,2880,1027,680,80,15,62,0,82,61,100,100
266,2898,1029,690,80,15,62,0,82,61,100,100
267,2916,1031,700,80,15,62,0,82,61,100,100
268,2934,1033,710,80,15,62,0,82,61,100,100
269,2952,1035,720,80,15,62,0,82,61,100,100
270,2970,1037,730,80,15,63,0,83,64,100,100
271,3000,1040,746,80,15,63,0,83,64,100,100
272,3030,1042,763,80,15,63,0,83,64,100,100
273,3060,1044,780,80,15,64,0,84,65,100,100
274,3090,1046,796,80,15,64,0,84,65,100,100
275,3120,1048,813,80,15,64,0,84,65,100,100
276,3150,1050,830,80,15,65,0,85,66,100,100
277,3180,1052,846,80,15,65,0,85,66,100,100
278,3210,1054,863,80,15,65,0,85,66,100,100
279,3240,1056,880,80,15,66,0,86,66,100,100
280,3270,1058,896,80,15,66,0,86,66,100,100
281,3300,1061,913,80,15,66,0,86,66,100,100
282,3330,1063,930,80,15,67,0,87,68,100,100
283,3360,1065,946,80,15,67,0,87,68,100,100
284,3390,1067,963,80,15,67,0,87,68,100,100
285,3420,1069,980,80,15,68,0,88,68,100,100
286,3450,1071,996,80,15,68,0,88,68,100,100
287,3480,1073,1013,80,15,68,0,88,68,100,100
288,3510,1075,1030,80,15,69,0,89,68,100,100
289,3555,1077,1055,80,15,69,0,89,68,100,100
290,3600,1079,1080,80,15,70,0,90,70,100,100
291,3660,1082,1086,80,15,70,0,90,70,100,100
292,3720,1084,1092,80,15,70,0,90,70,100,100
293,3780,1086,1098,80,15,70,0,90,70,100,100
294,3840,1088,1104,80,15,70,0,90,70,100,100
295,3900,1090,1110,80,15,70,0,90,70,100,100
296,3960,1092,1116,80,15,70,0,90,70,100,100
297,4020,1094,1122,80,15,70,0,90,70,100,100
298,4080,1096,1128,80,15,70,0,90,70,100,100
299,4140,1098,1134,80,15,70,0,90,70,100,100
300,4200,1100,1140,70,15,70,1,90,70,100,100
301,4230,1111,1143,70,15,70,1,90,70,100,100
302,4260,1122,1146,70,15,70,1,90,70,100,100
303,4290,1133,1149,70,15,70,1,90,70,100,100
304,4320,1144,1152,70,15,70,1,90,70,100,100
305,4350,1155,1155,70,15,70,1,90,70,100,100
306,4380,1166,1158,70,15,70,1,90,70,100,100
307,4410,1177,1161,70,15,70,1,90,70,100,100
308,4440,1188,1164,70,15,70,1,90,70,100,100
309,4470,1199,1167,70,15,70,1,90,70,100,100
310,4500,1210,1170,70,15,70,1,90,70,100,100
311,4530,1221,1173,70,15,70,1,90,70,100,100
312,4560,1232,1176,70,15,70,1,90,70,100,100
313,4590,1243,1179,70,15,70,1,90,70,100,100
314,4620,1254,1182,70,15,70,1,90,70,100,100
315,4650,1265,1185,70,15,70,1,90,70,100,100
316,4680,1276,1188,70,15,70,1,90,70,100,100
317,4710,1287,1191,70,15,70,1,90,70,100,100
318,4740,1298,1194,70,15,70,1,90,70,100,100
319,4770,1309,1197,70,15,70,1,90,70,100,100
320,4800,1320,1200,70,15,70,2,90,70,80,70
321,4813,1326,1205,70,15,70,2,90,70,80,70
322,4826,1332,1210,70,15,70,2,90,70,80,70
323,4839,1338,1215,70,15,70,2,90,70,80,70
324,4852,1344,1220,70,15,70,2,90,70,80,70
325,4865,1350,1225,70,15,70,2,90,70,80,70
326,4878,1356,1230,70,15,70,2,90,70,80,70
327,4891,1362,1235,70,15,70,2,90,70,80,70
328,4904,1368,1240,70,15,70,2,90,70,80,70
329,4917,1374,1245,70,15,70,2,90,70,80,70
330,4930,1380,1250,70,15,70,2,90,70,80,70
331,4943,1386,1255,70,15,70,2,90,70,80,70
332,4956,1392,1260,70,15,70,2,90,70,80,70
333,4969,1398,1265,70,15,70,2,90,70,80,70
334,4982,1404,1270,70,15,70,2,90,70,80,70
335,4995,1410,1275,70,15,70,2,90,70,80,70
336,5008,1416,1280,70,15,70,2,90,70,80,70
337,5021,1422,1285,70,15,70,2,90,70,80,70
338,5034,1428,1290,70,15,70,2,90,70,80,70
339,5047,1434,1295,70,15,70,2,90,70,80,70
340,5060,1440,1300,70,15,70,2,90,70,80,70
341,5074,1446,1305,70,15,70,2,90,70,80,70
342,5088,1452,1310,70,15,70,2,90,70,80,70
343,5102,1458,1315,70,15,70,2,90,70,80,70
344,5116,1464,1320,70,15,70,2,90,70,80,70
345,5130,1470,1325,70,15,70,2,90,70,80,70
346,5144,1476,1330,70,15,70,2,90,70,80,70
347,5158,1482,1335,70,15,70,2,90,70,80,70
348,5172,1488,1340,70,15,70,2,90,70,80,70
349,5186,1494,1345,70,15,70,2,90,70,80,70
350,5200,1500,1350,70,15,70,3,90,70,80,70
351,5230,1505,1355,70,15,70,3,90,70,80,70
352,5260,1510,1360,70,15,70,3,90,70,80,70
353,5290,1515,1365,70,15,70,3,90,70,80,70
354,5320,1520,1370,70,15,70,3,90,70,80,70
355,5350,1525,1375,70,15,70,3,90,70,80,70
356,5380,1530,1380,70,15,70,3,90,70,80,70
357,5410,1535,1385,70,15,70,3,90,70,80,70
358,5440,1540,1390,70,15,70,3,90,70,80,70
359,5470,1545,1395,70,15,70,3,90,70,80,70
360,5500,1550,1400,70,15,70,3,90,70,80,70
361,5530,1555,1405,70,15,70,3,90,70,80,70
362,5560,1560,1410,70,15,70,3,90,70,80,70
363,5590,1565,1415,70,15,70,3,90,70,80,70
364,5620,1570,1420,70,15,70,3,90,70,80,70
365,5650,1575,1425,70,15,70,3,90,70,80,70
366,5680,1580,1430,70,15,70,3,90,70,80,70
367,5710,1585,1435,70,15,70,3,90,70,80,70
368,5740,1590,1440,70,15,70,3,90,70,80,70
369,5770,1595,1445,70,15,70,3,90,70,80,70
370,5800,1600,1450,70,15,70,3,90,70,80,70
371,5830,1605,1455,70,15,70,3,90,70,80,70
372,5860,1610,1460,70,15,70,3,90,70,80,70
373,5890,1615,1465,70,15,70,3,90,70,80,70
374,5920,1620,1470,70,15,70,3,90,70,80,70
375,5950,1625,1475,70,15,70,3,90,70,80,70
376,5980,1630,1480,70,15,70,3,90,70,80,70
377,6010,1635,1485,70,15,70,3,90,70,80,70
378,6040,1640,1490,70,15,70,3,90,70,80,70
379,6070,1645,1495,70,15,70,3,90,70,80,70
380,6100,1650,1500,70,15,70,4,90,70,80,70
381,3700,1320,1150,80,15,71,0,101,81,100,100
382,3707,1320,1155,80,15,71,0,101,81,100,100
383,3714,1320,1160,80,15,71,0,101,81,100,100
384,3721,1320,1165,80,15,71,0,101,81,100,100
385,3728,1320,1170,80,15,71,0,101,81,100,100
386,3735,1320,1175,80,15,71,0,101,81,100,100
387,3742,1320,1180,80,15,71,0,101,81,100,100
388,3749,1320,1185,80,15,71,0,101,81,100,100
389,3756,1320,1190,80,15,71,0,101,81,100,100
390,3763,1320,1195,80,15,71,0,101,81,100,100
391,3770,1334,1200,80,15,71,0,101,81,100,100
392,3777,1347,1205,80,15,71,0,101,81,100,100
393,3784,1361,1210,80,15,71,0,101,81,100,100
394,3792,1375,1215,80,15,71,0,101,81,100,100
395,3800,1388,1220,80,15,72,0,102,82,100,100
396,3820,1402,1234,80,15,72,0,102,82,100,100
397,3840,1416,1248,80,15,72,0,102,82,100,100
398,3860,1429,1262,80,15,72,0,102,82,100,100
399,3880,1443,1276,80,15,72,0,102,82,100,100
400,3900,1457,1290,80,15,73,0,103,83,100,100
401,3933,1470,1313,80,15,73,0,103,83,100,100
402,3966,1484,1336,80,15,73,0,103,83,100,100
403,4000,1498,1360,80,15,74,0,104,84,100,100
404,4033,1511,1383,80,15,74,0,104,84,100,100
405,4066,1525,1406,80,15,74,0,104,84,100,100
406,4100,1539,1430,80,15,75,0,105,85,100,100
407,4133,1552,1453,80,15,75,0,105,85,100,100
408,4166,1566,1476,80,15,75,0,105,85,100,100
409,4200,1580,1500,80,15,76,0,106,86,100,100
410,4233,1593,1523,80,15,76,0,106,86,100,100
411,4266,1607,1546,80,15,76,0,106,86,100,100
412,4300,1621,1570,80,15,77,0,107,87,100,100
413,4333,1634,1593,80,15,77,0,107,87,100,100
414,4366,1648,1616,80,15,77,0,107,87,100,100
415,4400,1662,1640,80,15,78,0,108,88,100,100
416,4433,1675,1663,80,15,78,0,108,88,100,100
417,4466,1689,1686,80,15,78,0,108,88,100,100
418,4500,1702,1710,80,15,79,0,109,89,100,100
419,4508,1716,1715,80,15,79,0,109,89,100,100
420,4516,1730,1720,80,15,79,0,109,89,100,100
421,4524,1743,1726,80,15,79,0,109,89,100,100
422,4532,1757,1732,80,15,79,0,109,89,100,100
423,4540,1771,1738,80,15,79,0,109,89,100,100
424,4548,1784,1744,80,15,79,0,109,89,100,100
425,4556,1798,1750,80,15,79,0,109,89,100,100
426,4564,1812,1756,80,15,79,0,109,89,100,100
427,4573,1825,1762,80,15,79,0,109,89,100,100
428,4582,1839,1768,80,15,79,0,109,89,100,100
429,4591,1853,1774,80,15,79,0,109,89,100,100
430,4600,1866,1780,80,15,80,0,110,90,100,100
431,4614,1880,1792,70,15,80,0,110,90,100,100
432,4628,1894,1804,70,15,80,0,110,90,100,100
433,4642,1907,1816,70,15,80,0,110,90,100,100
434,4656,1921,1828,70,15,80,0,110,90,100,100
435,4670,1935,1840,70,15,80,0,110,90,100,100
436,4684,1948,1852,70,15,80,0,110,90,100,100
437,4698,1962,1864,70,15,80,0,110,90,100,100
438,4712,1976,1876,70,15,80,0,110,90,100,100
439,4726,1989,1888,70,15,80,0,110,90,100,100
440,6000,2000,1900,70,15,80,1,110,90,100,100
441,6190,2017,1915,70,15,80,1,110,90,100,100
442,6380,2030,1930,70,15,80,1,110,90,100,100
443,6570,2044,1945,70,15,80,1,110,90,100,100
444,6760,2058,1960,70,15,80,1,110,90,100,100
445,6950,2071,1975,70,15,80,1,110,90,100,100
446,7140,2085,1990,70,15,80,1,110,90,100,100
447,7330,2099,2005,70,15,80,1,110,90,100,100
448,7520,2112,2020,70,15,80,1,110,90,100,100
449,7710,2126,2035,70,15,80,1,110,90,100,100
450,7900,2140,2050,70,15,80,2,110,90,80,70
451,7920,2151,2075,70,15,80,2,110,90,80,70
452,7940,2162,2100,70,15,80,2,110,90,80,70
453,7960,2173,2125,70,15,80,2,110,90,80,70
454,7980,2184,2150,70,15,80,2,110,90,80,70
455,8000,2195,2175,70,15,80,2,110,90,80,70
456,8020,2206,2200,70,15,80,2,110,90,80,70
457,8040,2217,2225,70,15,80,2,110,90,80,70
458,8060,2228,2250,70,15,80,2,110,90,80,70
459,8080,2239,2275,70,15,80,2,110,90,80,70
460,8100,2250,2300,70,15,80,2,110,90,80,70
461,8120,2261,2325,70,15,80,2,110,90,80,70
462,8140,2272,2350,70,15,80,2,110,90,80,70
463,8160,2283,2375,70,15,80,2,110,90,80,70
464,8180,2294,2400,70,15,80,2,110,90,80,70
465,8200,2305,2425,70,15,80,2,110,90,80,70
466,8220,2316,2450,70,15,80,2,110,90,80,70
467,8240,2327,2475,70,15,80,2,110,90,80,70
468,8260,2338,2500,70,15,80,2,110,90,80,70
469,8280,2349,2525,70,15,80,2,110,90,80,70
470,8300,2360,2550,70,15,80,2,110,90,80,70
471,8320,2372,2575,70,15,80,2,140,90,100,100
472,8340,2384,2600,70,15,80,2,110,90,80,70
473,8360,2396,2625,70,15,80,2,110,90,80,70
474,8380,2408,2650,70,15,80,2,110,90,80,70
475,8400,2420,2675,70,15,80,2,110,90,80,70
476,8420,2432,2700,70,15,80,2,110,90,80,70
477,8440,2444,2725,70,15,80,2,110,90,80,70
478,8460,2456,2750,70,15,80,2,110,90,80,70
479,8480,2468,2775,70,15,80,2,110,90,80,70
480,8500,2480,2800,70,15,80,3,110,90,80,70
481,12323,2484,3856,70,115,80,3,140,130,100,100
482,8566,2488,2852,70,15,80,3,110,90,80,70
483,8599,2492,2878,70,15,80,3,110,90,80,70
484,8632,2496,2904,70,15,80,3,110,90,80,70
485,8665,2500,2930,70,15,80,3,110,90,80,70
486,8698,2504,2956,70,15,80,3,110,90,80,70
487,8731,2508,2982,70,15,80,3,110,90,80,70
488,8764,2512,3008,70,15,80,3,110,90,80,70
489,8797,2516,3034,70,15,80,3,110,90,80,70
490,8830,2520,3060,70,15,80,3,110,90,80,70
491,8863,2525,3087,70,15,80,3,110,90,80,70
492,8896,2530,3114,70,15,80,3,110,90,80,70
493,8929,2535,3141,70,15,80,3,110,90,80,70
494,8962,2540,3168,70,15,80,3,110,90,80,70
495,8995,2545,3195,70,15,80,3,110,90,80,70
496,9028,2550,3222,70,15,80,3,110,90,80,70
497,9061,2555,3249,70,15,80,3,110,90,80,70
498,9094,2560,3276,70,15,80,3,110,90,80,70
499,9127,2565,3303,70,15,80,3,110,90,80,70
500,9160,2570,3330,70,15,80,3,110,90,80,70
501,9194,2575,3357,70,15,80,3,110,90,80,70
502,9228,2580,3384,70,15,80,3,110,90,80,70
503,9262,2585,3411,70,15,80,3,110,90,80,70
504,9296,2590,3438,70,15,80,3,110,90,80,70
505,9330,2595,3465,70,15,80,3,110,90,80,70
506,9364,2600,3492,70,15,80,3,110,90,80,70
507,9398,2605,3519,70,15,80,3,110,90,80,70
508,9432,2610,3546,70,15,80,3,110,90,80,70
509,9466,2615,3573,70,15,80,3,110,90,80,70
510,9500,2620,3600,70,15,80,4,110,90,80,70
511,15656,2620,4672,70,115,80,4,140,130,100,100
512,14618,2620,4220,70,115,80,4,140,130,100,100
513,15474,2620,5059,70,483,80,4,140,130,100,100
514,14321,2620,5077,70,115,80,4,140,130,100,100
515,14854,2620,5095,70,483,80,4,140,130,100,100
516,16156,2620,5470,70,499,80,5,140,130,100,100
517,5200,2234,2000,80,15,81,0,121,105,100,100
518,5300,2234,2100,80,15,81,0,121,105,100,100
519,5500,2234,2200,80,15,81,0,121,105,100,100
520,5700,2336,2300,80,15,82,0,122,106,100,100
521,5800,2336,2350,80,15,82,0,122,106,100,100
522,5900,2336,2400,80,15,82,0,122,106,100,100
523,6000,2336,2450,80,15,82,0,122,106,100,100
524,6100,2336,2500,80,15,82,0,122,106,100,100
525,6200,2438,2600,80,15,83,0,123,107,100,100
526,6280,2438,2660,80,15,83,0,123,107,100,100
527,6360,2438,2720,80,15,83,0,123,107,100,100
528,6440,2438,2780,80,15,83,0,123,107,100,100
529,6520,2438,2840,80,15,83,0,123,107,100,100
530,6600,2507,2900,80,15,84,0,124,108,100,100
531,6620,2507,2920,80,15,84,0,124,108,100,100
532,6640,2507,2940,80,15,84,0,124,108,100,100
