#,Name,Description,Icon,Value,ChocoboRaceAbilityType
25,Choco Shock,"Creates a disconcerting aura which distracts nearby chocobos and prevents them from using items.
**Duration: ** 25s",70025,25,9
26,Choco Shock II,"Creates a disconcerting aura which distracts nearby chocobos and prevents them from using items.
**Duration: ** 30s",70026,30,9
27,Choco Shock III,"Creates a disconcerting aura which distracts nearby chocobos and prevents them from using items.
**Duration: ** 35s",70027,35,9
28,Increased Stamina,Reduces stamina depletion during acceleration by 9%.,70028,9,10
29,Increased Stamina II,Reduces stamina depletion during acceleration by 12%.,70029,12,10
30,Increased Stamina III,Reduces stamina depletion during acceleration by 15%.,70030,15,10
31,Heavy Resistance,Increases chances of resisting Heavy to 60%.,70031,60,11
32,Heavy Resistance II,Increases chances of resisting Heavy to 70%.,70032,70,11
33,Heavy Resistance III,Increases chances of resisting Heavy to 80%.,70033,80,11
34,Heavy Resistance IV,Increases chances of resisting Heavy to 90%.,70034,90,11
35,Heavy Resistance V,Increases chances of resisting Heavy to 100%.,70035,100,11
36,Level Head,Increases chances of resisting Frenzied status to 60%.,70036,60,12
37,Level Head II,Increases chances of resisting Frenzied status to 70%.,70037,70,12
38,Level Head III,Increases chances of resisting Frenzied status to 80%.,70038,80,12
39,Level Head IV,Increases chances of resisting Frenzied status to 90%.,70039,90,12
40,Level Head V,Increases chances of resisting Frenzied status to 100%.,70040,100,12
41,Speedy Recovery,Increases ability-induced stamina recovery by 50%.,70041,50,13
42,Speedy Recovery II,Increases ability-induced stamina recovery by 65%.,70042,65,13
43,Speedy Recovery III,Increases ability-induced stamina recovery by 80%.,70043,80,13
44,Dressage,Increases EXP earned in races by 10%.,70044,10,14
45,Dressage II,Increases EXP earned in races by 20%.,70045,20,14
46,Dressage III,Increases EXP earned in races by 30%.,70046,30,14
47,Head Start,Begin the race at maximum speed.,70047,1,15
48,Choco Drain,Generates a field which drains the stamina of nearby chocobos at a rate of 15 per second.,70048,15,16
49,Choco Drain II,Generates a field which drains the stamina of nearby chocobos at a rate of 25 per second.,70049,25,16
50,Choco Drain III,Generates a field which drains the stamina of nearby chocobos at a rate of 35 per second.,70050,35,16
51,Paradigm Shift,Swaps current item with a different one.,70051,0,17
52,Mimic,"Repeats any ability or item used by a forerunning chocobo.
**Duration: ** 7s",70052,7,18
53,Mimic II,"Repeats any ability or item used by a forerunning chocobo.
**Duration: ** 11s",70053,11,18
54,Mimic III,"Repeats any ability or item used by a forerunning chocobo.
**Duration: ** 15s",70054,15,18
55,Feather Field,"Nullifies the detrimental field effects of any nearby chocobos.
**Duration: ** 10s",70055,10,19
56,Feather Field II,"Nullifies the detrimental field effects of any nearby chocobos.
**Duration: ** 20s",70056,20,19
57,Feather Field III,"Nullifies the detrimental field effects of any nearby chocobos.
**Duration: ** 30s",70057,30,19
58,Super Sprint,Sprint without weather or terrain penalties until all stamina is spent.,70058,0,20
59,Choco Reraise,Instantly restores 60 stamina when stamina meter reaches zero.,70059,60,21
60,Choco Reraise II,Instantly restores 130 stamina when stamina meter reaches zero.,70060,130,21
61,Choco Reraise III,Instantly restores 200 stamina when stamina meter reaches zero.,70061,200,21
62,Enfeeblement Clause,Reduces enfeeblement duration by 20%.,70062,80,22
63,Enfeeblement Clause II,Reduces enfeeblement duration by 35%.,70063,65,22
64,Enfeeblement Clause III,Reduces enfeeblement duration by 50%.,70064,50,22
65,Breather,Restores stamina at a rate of 0.8% per second while decelerating.,70065,8,23
66,Breather II,Restores stamina at a rate of 1% per second while decelerating.,70066,10,23
67,Breather III,Restores stamina at a rate of 1.2% per second while decelerating.,70067,12,23
68,,,0,0,0
69,,,0,0,0
70,,,0,0,0
