#,MapOffsetX,MapOffsetY,Location
3.33,0,0,4515960
3.34,0,0,4520622
3.35,0,0,4520623
3.36,0,0,4515553
3.37,0,0,4520632
3.38,0,0,4520633
3.39,0,0,4515976
3.40,0,0,4520642
3.41,0,0,4520643
3.42,0,0,4517370
3.43,0,0,4520589
3.44,0,0,4520590
3.45,0,0,4517374
3.46,0,0,4520599
3.47,0,0,4520600
4.0,0,0,4515591
4.1,0,0,4520405
4.2,0,0,4520414
4.3,0,0,4515576
4.4,0,0,4520440
4.5,0,0,4520444
4.6,0,0,4515563
4.7,0,0,4520456
4.8,0,0,4520457
4.9,0,0,4515550
4.10,0,0,4520469
4.11,0,0,4520471
4.12,0,0,4517146
4.13,0,0,4520500
4.14,0,0,4520501
4.15,0,0,4517189
4.16,0,0,4520509
4.17,0,0,4520510
4.18,0,0,4517212
4.19,0,0,4520521
4.20,0,0,4520522
4.21,0,0,4517323
4.22,0,0,4520531
4.23,0,0,4520532
4.24,0,0,4517330
4.25,0,0,4520552
4.26,0,0,4520553
4.27,0,0,4517362
4.28,0,0,4520575
4.29,0,0,4520577
4.30,0,0,4515945
4.31,0,0,4520615
4.32,0,0,4520616
4.33,0,0,4515964
4.34,0,0,4520624
4.35,0,0,4520625
4.36,0,0,4515554
4.37,0,0,4520634
4.38,0,0,4520635
4.39,0,0,4515981
4.40,0,0,4520644
4.41,0,0,4520645
4.42,0,0,4516007
4.43,0,0,4520650
4.44,0,0,4520651
4.45,0,0,4517371
4.46,0,0,4520591
4.47,0,0,4520598
4.48,0,0,4517375
4.49,0,0,4520601
4.50,0,0,4520602
5.0,0,0,4515592
5.1,0,0,4520415
5.2,0,0,4520416
5.3,0,0,4515577
5.4,0,0,4520445
5.5,0,0,4520446
5.6,0,0,4515568
5.7,0,0,4520458
5.8,0,0,4520459
5.9,0,0,4515552
5.10,0,0,4520472
5.11,0,0,4520473
5.12,0,0,4517149
5.13,0,0,4520502
5.14,0,0,4520503
5.15,0,0,4517202
5.16,0,0,4520511
5.17,0,0,4520512
5.18,0,0,4517213
5.19,0,0,4520523
5.20,0,0,4520524
5.21,0,0,4517324
5.22,0,0,4520533
5.23,0,0,4520534
5.24,0,0,4517357
5.25,0,0,4520554
5.26,0,0,4520555
5.27,0,0,4517363
5.28,0,0,4520580
5.29,0,0,4520584
5.30,0,0,4515948
5.31,0,0,4520613
5.32,0,0,4520617
5.33,0,0,4515965
5.34,0,0,4520626
5.35,0,0,4520627
5.36,0,0,4515555
5.37,0,0,4520636
5.38,0,0,4520637
5.39,0,0,4515989
5.40,0,0,4520647
5.41,0,0,4520649
5.42,0,0,4516010
5.43,0,0,4520652
5.44,0,0,4520653
5.45,0,0,4517372
5.46,0,0,4520592
5.47,0,0,4520594
5.48,0,0,4517376
5.49,0,0,4520603
5.50,0,0,4520604
6.0,0,0,4629424
6.1,0,0,4745417
6.2,0,0,4629432
6.3,0,0,4745435
6.4,0,0,4629437
6.5,0,0,4745457
6.6,0,0,4629442
6.7,0,0,4745466
6.8,0,0,4629447
6.9,0,0,4745479
6.10,0,0,4629452
6.11,0,0,4745488
6.12,0,0,4629457
6.13,0,0,4745495
6.14,0,0,4629462
6.15,0,0,4745618
6.16,0,0,4629467
6.17,0,0,4745637
6.18,0,0,4629472
6.19,0,0,4745664
6.20,0,0,4629477
6.21,0,0,4745676
6.22,0,0,4629482
6.23,0,0,4745727
6.24,0,0,4629487
6.25,0,0,4745771
6.26,0,0,4629492
6.27,0,0,4745828
6.28,0,0,4629497
6.29,0,0,4745842
6.30,0,0,4629502
6.31,0,0,4745890
6.32,0,0,4629507
6.33,0,0,4745917
7.0,0,0,4868312
7.1,0,0,4868319
7.2,0,0,4868328
7.3,0,0,4868333
7.4,0,0,4868339
7.5,0,0,4868346
7.6,0,0,4868351
7.7,0,0,4868357
7.8,0,0,4868366
7.9,0,0,4868393
7.10,0,0,4868403
7.11,0,0,4868408
7.12,0,0,4868413
7.13,0,0,4868418
7.14,0,0,4868426
7.15,0,0,4868434
7.16,0,0,4868440
7.17,0,0,4868445
7.18,0,0,4868463
7.19,0,0,4868468
7.20,0,0,4868588
7.21,0,0,4868593
7.22,0,0,4868602
7.23,0,0,4868608
7.24,0,0,4868613
7.25,0,0,4868621
7.26,0,0,4868630
7.27,0,0,4868636
7.28,0,0,4868642
7.29,0,0,4868647
7.30,0,0,4868652
7.31,0,0,4868657
7.32,0,0,4868662
7.33,0,0,4868667
8.0,0,0,5650641
8.1,0,0,5650845
8.2,0,0,5650860
8.3,0,0,5650866
8.4,0,0,5650886
8.5,0,0,5650897
8.6,0,0,5650920
8.7,0,0,5650940
8.8,0,0,5651938
8.9,0,0,5651949
8.10,0,0,5651966
8.11,0,0,5651971
8.12,0,0,5651976
8.13,0,0,5651981
8.14,0,0,5652043
8.15,0,0,5652052
8.16,0,0,5652077
8.17,0,0,5652085
8.18,0,0,5652232
8.19,0,0,5652269
8.20,0,0,5650979
8.21,0,0,5651032
8.22,0,0,5651735
8.23,0,0,5651752
8.24,0,0,5651860
8.25,0,0,5651881
8.26,0,0,5651913
8.27,0,0,5651923
9.0,0,0,5907791
9.1,0,0,5918708
9.2,0,0,5918912
9.3,0,0,5918921
9.4,0,0,5918935
9.5,0,0,5918942
9.6,0,0,5958498
9.7,0,0,5919148
9.8,0,0,5919153
9.9,0,0,5919158
9.10,0,0,5919165
9.11,0,0,5919243
9.12,0,0,5919174
9.13,0,0,5957960
9.14,0,0,5958401
9.15,0,0,5912224
9.16,0,0,5912229
9.17,0,0,5912245
9.18,0,0,5912250
9.19,0,0,5912268
9.20,0,0,5912274
9.21,0,0,5958447
9.22,0,0,5958453
10.0,0,0,5907797
10.1,0,0,5918953
10.2,0,0,5918960
10.3,0,0,5918968
10.4,0,0,5918981
10.5,0,0,5919003
10.6,0,0,5958506
10.7,0,0,5958550
10.8,0,0,5919194
10.9,0,0,5919215
10.10,0,0,5919220
10.11,0,0,5919232
10.12,0,0,5919238
10.13,0,0,5919263
10.14,0,0,5957969
10.15,0,0,5957990
10.16,0,0,5958195
10.17,0,0,5912279
10.18,0,0,5912296
10.19,0,0,5912307
10.20,0,0,5912318
10.21,0,0,5912323
10.22,0,0,5912334
10.23,0,0,5958458
10.24,0,0,5958463
10.25,0,0,5958471
10.26,0,0,5919466
10.27,0,0,5919472
10.28,0,0,5919485
10.29,0,0,5919493
10.30,0,0,5919499
10.31,0,0,5919505
10.32,0,0,5957496
10.33,0,0,5957530
10.34,0,0,5957749
10.35,0,0,5957822
10.36,0,0,5919668
10.37,0,0,5919674
10.38,0,0,5919685
10.39,0,0,5919692
10.40,0,0,5919700
10.41,0,0,5919712
10.42,0,0,5958418
10.43,0,0,5958425
11.0,0,0,5907804
11.1,0,0,5919013
11.2,0,0,5919026
11.3,0,0,5919036
11.4,0,0,5919052
11.5,0,0,5918989
11.6,0,0,5958700
11.7,0,0,5919169
11.8,0,0,5919205
11.9,0,0,5919327
11.10,0,0,5919437
11.11,0,0,5919448
11.12,0,0,5919456
11.13,0,0,5958359
11.14,0,0,5958375
11.15,0,0,5958389
11.16,0,0,5912345
11.17,0,0,5912354
11.18,0,0,5912362
11.19,0,0,5912379
11.20,0,0,5921129
11.21,0,0,5912384
11.22,0,0,5958483
11.23,0,0,5958488
11.24,0,0,5958493
11.25,0,0,5919512
11.26,0,0,5919537
11.27,0,0,5919557
11.28,0,0,5919562
11.29,0,0,5919568
11.30,0,0,5919575
11.31,0,0,5957829
11.32,0,0,5957894
11.33,0,0,5957904
11.34,0,0,5957915
12.0,0,0,6905349
12.1,0,0,6905741
12.2,0,0,6905747
12.3,0,0,6905752
12.4,0,0,6905762
12.5,0,0,6905767
12.6,0,0,6905774
12.7,0,0,6905795
12.8,0,0,6907172
12.9,0,0,6907177
12.10,0,0,6907182
12.11,0,0,6907187
12.12,0,0,6907192
12.13,0,0,6907197
12.14,0,0,6907202
12.15,0,0,6907209
12.16,0,0,6910674
12.17,0,0,6910679
12.18,0,0,6910684
12.19,0,0,6910689
12.20,0,0,6910694
12.21,0,0,6910699
12.22,0,0,6910704
12.23,0,0,6910710
12.24,0,0,6910934
12.25,0,0,6910939
12.26,0,0,6910945
12.27,0,0,6910950
12.28,0,0,6910964
12.29,0,0,6910970
12.30,0,0,6910978
12.31,0,0,6910983
12.32,0,0,6911541
12.33,0,0,6911546
12.34,0,0,6911551
12.35,0,0,6911557
12.36,0,0,6911562
12.37,0,0,6911567
12.38,0,0,6911573
12.39,0,0,6911578
12.40,0,0,6911667
12.41,0,0,6911672
12.42,0,0,6911677
12.43,0,0,6911682
12.44,0,0,6911687
12.45,0,0,6911692
12.46,0,0,6911697
12.47,0,0,6911702
13.0,0,0,6907032
13.1,0,0,6907037
13.2,0,0,6907042
13.3,0,0,6907047
13.4,0,0,6907053
13.5,0,0,6907058
13.6,0,0,6907063
13.7,0,0,6907068
13.8,0,0,6907215
13.9,0,0,6907220
13.10,0,0,6907225
13.11,0,0,6907231
13.12,0,0,6907237
13.13,0,0,6907243
13.14,0,0,6907250
13.15,0,0,6907257
13.16,0,0,6910715
13.17,0,0,6910720
13.18,0,0,6910725
13.19,0,0,6910730
13.20,0,0,6910735
13.21,0,0,6910740
13.22,0,0,6910745
13.23,0,0,6910750
13.24,0,0,6910989
13.25,0,0,6910995
13.26,0,0,6911000
13.27,0,0,6911026
13.28,0,0,6911031
13.29,0,0,6911036
13.30,0,0,6911041
13.31,0,0,6911046
13.32,0,0,6911587
13.33,0,0,6911592
13.34,0,0,6911597
13.35,0,0,6911603
13.36,0,0,6911608
13.37,0,0,6911613
13.38,0,0,6911619
13.39,0,0,6911624
13.40,0,0,6911707
13.41,0,0,6911712
13.42,0,0,6911717
13.43,0,0,6911722
13.44,0,0,6911727
13.45,0,0,6911732
13.46,0,0,6911737
13.47,0,0,6911742
14.0,0,0,7030341
14.1,0,0,7036994
14.2,0,0,7036995
14.3,0,0,7036996
14.4,0,0,7037601
14.5,0,0,7037602
14.6,0,0,7037603
14.7,0,0,7037604
14.8,0,0,7037605
14.9,0,0,7037643
14.10,0,0,7037645
14.11,0,0,7037646
14.12,0,0,7037647
14.13,0,0,7037405
14.14,0,0,7037406
15.0,0,0,0
15.1,0,0,0
15.2,0,0,0
15.3,0,0,0
15.4,0,0,0
15.5,0,0,0
15.6,0,0,0
15.7,0,0,0
15.8,0,0,0
15.9,0,0,0
15.10,0,0,0
15.11,0,0,0
15.12,0,0,0
15.13,0,0,0
15.14,0,0,0
15.15,0,0,0
15.16,0,0,0
15.17,0,0,0
15.18,0,0,0
15.19,0,0,0
15.20,0,0,0
15.21,0,0,0
15.22,0,0,0
15.23,0,0,0
15.24,0,0,0
15.25,0,0,0
15.26,0,0,0
15.27,0,0,0
15.28,0,0,0
15.29,0,0,0
15.30,0,0,0
15.31,0,0,0
15.32,0,0,0
15.33,0,0,0
15.34,0,0,0
15.35,0,0,0
15.36,0,0,0
15.37,0,0,0
15.38,0,0,0
15.39,0,0,0
15.40,0,0,0
15.41,0,0,0
15.42,0,0,0
15.43,0,0,0
15.44,0,0,0
15.45,0,0,0
15.46,0,0,0
15.47,0,0,0
16.0,0,0,6907032
16.1,0,0,6907037
16.2,0,0,6907042
16.3,0,0,6907047
16.4,0,0,6907053
16.5,0,0,6907058
16.6,0,0,6907063
16.7,0,0,6907068
16.8,0,0,6907215
16.9,0,0,6907220
16.10,0,0,6907225
16.11,0,0,6907231
16.12,0,0,6907237
16.13,0,0,6907243
16.14,0,0,6907250
16.15,0,0,6907257
16.16,0,0,6910715
16.17,0,0,6910720
16.18,0,0,6910725
16.19,0,0,6910730
16.20,0,0,6910735
16.21,0,0,6910740
16.22,0,0,6910745
16.23,0,0,6910750
16.24,0,0,6910989
16.25,0,0,6910995
16.26,0,0,6911000
16.27,0,0,6911026
16.28,0,0,6911031
16.29,0,0,6911036
16.30,0,0,6911041
16.31,0,0,6911046
16.32,0,0,6911587
16.33,0,0,6911592
16.34,0,0,6911597
16.35,0,0,6911603
16.36,0,0,6911608
16.37,0,0,6911613
16.38,0,0,6911619
16.39,0,0,6911624
16.40,0,0,6911707
16.41,0,0,6911712
16.42,0,0,6911717
16.43,0,0,6911722
16.44,0,0,6911727
16.45,0,0,6911732
16.46,0,0,6911737
16.47,0,0,6911742
17.0,0,0,8010554
17.1,0,0,8010559
17.2,0,0,8010564
17.3,0,0,8010569
17.4,0,0,8010574
17.5,0,0,8010579
17.6,0,0,8010584
17.7,0,0,8010589
17.8,0,0,8010913
17.9,0,0,8010918
17.10,0,0,8010923
17.11,0,0,8010928
17.12,0,0,8010933
17.13,0,0,8010938
17.14,0,0,8010943
17.15,0,0,8010948
17.16,0,0,8011053
17.17,0,0,8011058
17.18,0,0,8011063
17.19,0,0,8011068
17.20,0,0,8011073
17.21,0,0,8011078
17.22,0,0,8011083
17.23,0,0,8011088
17.24,0,0,8011161
17.25,0,0,8011166
17.26,0,0,8011171
17.27,0,0,8011176
17.28,0,0,8011181
17.29,0,0,8011186
17.30,0,0,8011191
17.31,0,0,8011196
17.32,0,0,8011495
17.33,0,0,8011500
17.34,0,0,8011505
17.35,0,0,8011510
17.36,0,0,8011515
17.37,0,0,8011520
17.38,0,0,8011525
17.39,0,0,8011530
17.40,0,0,8011885
17.41,0,0,8011890
17.42,0,0,8011895
17.43,0,0,8011900
17.44,0,0,8011905
17.45,0,0,8011910
17.46,0,0,8011915
17.47,0,0,8011920
18.0,0,0,8010776
18.1,0,0,8010781
18.2,0,0,8010786
18.3,0,0,8010791
18.4,0,0,8010796
18.5,0,0,8010801
18.6,0,0,8010806
18.7,0,0,8010811
18.8,0,0,8010964
18.9,0,0,8010969
18.10,0,0,8010974
18.11,0,0,8010979
18.12,0,0,8010984
18.13,0,0,8010989
18.14,0,0,8010994
18.15,0,0,8010999
18.16,0,0,8011093
18.17,0,0,8011098
18.18,0,0,8011103
18.19,0,0,8011108
18.20,0,0,8011113
18.21,0,0,8011118
18.22,0,0,8011123
18.23,0,0,8011128
18.24,0,0,8011429
18.25,0,0,8011434
18.26,0,0,8011439
18.27,0,0,8011444
18.28,0,0,8011449
18.29,0,0,8011454
18.30,0,0,8011459
18.31,0,0,8011464
18.32,0,0,8011602
18.33,0,0,8011607
18.34,0,0,8011612
18.35,0,0,8011617
18.36,0,0,8011622
18.37,0,0,8011627
18.38,0,0,8011632
18.39,0,0,8011637
18.40,0,0,8011957
18.41,0,0,8011962
18.42,0,0,8011967
18.43,0,0,8011972
18.44,0,0,8011977
18.45,0,0,8011982
18.46,0,0,8011987
18.47,0,0,8011992
19.0,0,0,0
19.1,0,0,0
19.2,0,0,0
19.3,0,0,0
19.4,0,0,0
19.5,0,0,0
19.6,0,0,0
19.7,0,0,0
19.8,0,0,0
19.9,0,0,0
19.10,0,0,0
19.11,0,0,0
19.12,0,0,0
19.13,0,0,0
19.14,0,0,0
19.15,0,0,0
19.16,0,0,0
19.17,0,0,0
19.18,0,0,0
19.19,0,0,0
19.20,0,0,0
19.21,0,0,0
19.22,0,0,0
19.23,0,0,0
19.24,0,0,0
19.25,0,0,0
19.26,0,0,0
19.27,0,0,0
19.28,0,0,0
19.29,0,0,0
19.30,0,0,0
19.31,0,0,0
19.32,0,0,0
19.33,0,0,0
19.34,0,0,0
19.35,0,0,0
19.36,0,0,0
19.37,0,0,0
19.38,0,0,0
19.39,0,0,0
19.40,0,0,0
19.41,0,0,0
19.42,0,0,0
19.43,0,0,0
19.44,0,0,0
19.45,0,0,0
19.46,0,0,0
19.47,0,0,0
20.0,0,0,8010776
20.1,0,0,8010781
20.2,0,0,8010786
20.3,0,0,8010791
20.4,0,0,8010796
20.5,0,0,8010801
20.6,0,0,8010806
20.7,0,0,8010811
20.8,0,0,8010964
20.9,0,0,8010969
20.10,0,0,8010974
20.11,0,0,8010979
20.12,0,0,8010984
20.13,0,0,8010989
20.14,0,0,8010994
20.15,0,0,8010999
20.16,0,0,8011093
20.17,0,0,8011098
20.18,0,0,8011103
20.19,0,0,8011108
20.20,0,0,8011113
20.21,0,0,8011118
20.22,0,0,8011123
20.23,0,0,8011128
20.24,0,0,8011429
20.25,0,0,8011434
20.26,0,0,8011439
20.27,0,0,8011444
20.28,0,0,8011449
20.29,0,0,8011454
20.30,0,0,8011459
20.31,0,0,8011464
20.32,0,0,8011602
20.33,0,0,8011607
20.34,0,0,8011612
20.35,0,0,8011617
20.36,0,0,8011622
20.37,0,0,8011627
20.38,0,0,8011632
20.39,0,0,8011637
20.40,0,0,8011957
20.41,0,0,8011962
20.42,0,0,8011967
20.43,0,0,8011972
20.44,0,0,8011977
20.45,0,0,8011982
20.46,0,0,8011987
20.47,0,0,8011992
21.0,0,0,8949325
21.1,0,0,8949370
21.2,0,0,8949377
21.3,0,0,8949400
21.4,0,0,8949407
21.5,0,0,8949433
21.6,0,0,8949451
21.7,0,0,8949464
21.8,0,0,8950000
21.9,0,0,8950005
21.10,0,0,8950010
21.11,0,0,8950015
21.12,0,0,8950020
21.13,0,0,8950025
21.14,0,0,8950030
21.15,0,0,8950035
21.16,0,0,8950301
21.17,0,0,8950306
21.18,0,0,8950311
21.19,0,0,8950316
21.20,0,0,8950321
21.21,0,0,8950326
21.22,0,0,8950331
21.23,0,0,8950336
21.24,0,0,8950462
21.25,0,0,8950467
21.26,0,0,8950472
21.27,0,0,8950477
21.28,0,0,8950482
21.29,0,0,8950487
21.30,0,0,8950492
21.31,0,0,8950497
21.32,0,0,8950667
21.33,0,0,8950672
21.34,0,0,8950677
21.35,0,0,8950682
21.36,0,0,8950687
21.37,0,0,8950692
21.38,0,0,8950697
21.39,0,0,8950702
22.0,0,0,8949847
22.1,0,0,8949854
22.2,0,0,8949859
22.3,0,0,8949864
22.4,0,0,8949874
22.5,0,0,8949879
22.6,0,0,8949884
22.7,0,0,8949889
22.8,0,0,8950040
22.9,0,0,8950045
22.10,0,0,8950050
22.11,0,0,8950055
22.12,0,0,8950060
22.13,0,0,8950065
22.14,0,0,8950070
22.15,0,0,8950075
22.16,0,0,8950342
22.17,0,0,8950347
22.18,0,0,8950352
22.19,0,0,8950357
22.20,0,0,8950362
22.21,0,0,8950367
22.22,0,0,8950372
22.23,0,0,8950377
22.24,0,0,8950502
22.25,0,0,8950507
22.26,0,0,8950512
22.27,0,0,8950517
22.28,0,0,8950522
22.29,0,0,8950527
22.30,0,0,8950532
22.31,0,0,8950537
22.32,0,0,8950556
22.33,0,0,8950561
22.34,0,0,8950566
22.35,0,0,8950571
22.36,0,0,8950576
22.37,0,0,8950581
22.38,0,0,8950586
22.39,0,0,8950591
23.0,0,0,0
23.1,0,0,0
23.2,0,0,0
23.3,0,0,0
23.4,0,0,0
23.5,0,0,0
23.6,0,0,0
23.7,0,0,0
23.8,0,0,0
23.9,0,0,0
23.10,0,0,0
23.11,0,0,0
23.12,0,0,0
23.13,0,0,0
23.14,0,0,0
23.15,0,0,0
23.16,0,0,0
23.17,0,0,0
23.18,0,0,0
23.19,0,0,0
23.20,0,0,0
23.21,0,0,0
23.22,0,0,0
23.23,0,0,0
23.24,0,0,0
23.25,0,0,0
23.26,0,0,0
23.27,0,0,0
23.28,0,0,0
23.29,0,0,0
23.30,0,0,0
23.31,0,0,0
23.32,0,0,0
23.33,0,0,0
23.34,0,0,0
23.35,0,0,0
23.36,0,0,0
23.37,0,0,0
23.38,0,0,0
23.39,0,0,0
24.0,0,0,9686005
24.1,0,0,9713838
24.2,0,0,9713852
24.3,0,0,9713880
24.4,0,0,9713899
24.5,0,0,9713904
24.6,0,0,9713915
24.7,0,0,9713931
25.0,0,0,8949847
25.1,0,0,8949854
25.2,0,0,8949859
25.3,0,0,8949864
25.4,0,0,8949874
25.5,0,0,8949879
25.6,0,0,8949884
25.7,0,0,8949889
25.8,0,0,8950040
25.9,0,0,8950045
25.10,0,0,8950050
25.11,0,0,8950055
25.12,0,0,8950060
25.13,0,0,8950065
25.14,0,0,8950070
25.15,0,0,8950075
25.16,0,0,8950342
25.17,0,0,8950347
25.18,0,0,8950352
25.19,0,0,8950357
25.20,0,0,8950362
25.21,0,0,8950367
25.22,0,0,8950372
25.23,0,0,8950377
25.24,0,0,8950502
25.25,0,0,8950507
25.26,0,0,8950512
25.27,0,0,8950517
25.28,0,0,8950522
25.29,0,0,8950527
25.30,0,0,8950532
25.31,0,0,8950537
25.32,0,0,8950556
25.33,0,0,8950561
25.34,0,0,8950566
25.35,0,0,8950571
25.36,0,0,8950576
25.37,0,0,8950581
25.38,0,0,8950586
25.39,0,0,8950591
26.0,0,0,9686005
26.1,0,0,9713838
26.2,0,0,9713852
26.3,0,0,9713880
26.4,0,0,9713899
26.5,0,0,9713904
26.6,0,0,9713915
26.7,0,0,9713931
27.0,0,0,10416554
27.1,0,0,10416577
27.2,0,0,10416588
27.3,0,0,10416593
27.4,0,0,10416599
27.5,0,0,10416629
27.6,0,0,10416644
27.7,0,0,10416649
27.8,0,0,10417067
27.9,0,0,10417083
27.10,0,0,10417094
27.11,0,0,10417101
27.12,0,0,10417108
27.13,0,0,10417114
27.14,0,0,10417120
27.15,0,0,10417126
27.16,0,0,10419845
27.17,0,0,10419850
27.18,0,0,10419855
27.19,0,0,10419860
27.20,0,0,10419865
27.21,0,0,10419870
27.22,0,0,10419875
27.23,0,0,10419880
27.24,0,0,10420000
27.25,0,0,10420005
27.26,0,0,10420010
27.27,0,0,10420015
27.28,0,0,10420020
27.29,0,0,10420025
27.30,0,0,10420030
27.31,0,0,10420035
27.32,0,0,10420163
27.33,0,0,10420168
27.34,0,0,10420173
27.35,0,0,10420178
27.36,0,0,10420183
27.37,0,0,10420188
27.38,0,0,10420193
27.39,0,0,10420198
28.0,0,0,10416657
28.1,0,0,10416673
28.2,0,0,10416678
28.3,0,0,10416683
28.4,0,0,10416688
28.5,0,0,10416693
28.6,0,0,10416698
28.7,0,0,10416703
28.8,0,0,10417133
28.9,0,0,10417138
28.10,0,0,10417143
28.11,0,0,10417148
28.12,0,0,10417153
28.13,0,0,10417158
28.14,0,0,10417163
28.15,0,0,10417168
28.16,0,0,10419929
28.17,0,0,10419930
28.18,0,0,10419935
28.19,0,0,10419940
28.20,0,0,10419945
28.21,0,0,10419950
28.22,0,0,10419955
28.23,0,0,10419960
28.24,0,0,10420124
28.25,0,0,10420125
28.26,0,0,10420130
28.27,0,0,10420135
28.28,0,0,10420140
28.29,0,0,10420145
28.30,0,0,10420150
28.31,0,0,10420155
28.32,0,0,10420248
28.33,0,0,10420249
28.34,0,0,10420254
28.35,0,0,10420259
28.36,0,0,10420264
28.37,0,0,10420269
28.38,0,0,10420274
28.39,0,0,10420279
29.0,0,0,0
29.1,0,0,0
29.2,0,0,0
29.3,0,0,0
29.4,0,0,0
29.5,0,0,0
29.6,0,0,0
29.7,0,0,0
29.8,0,0,0
29.9,0,0,0
29.10,0,0,0
29.11,0,0,0
29.12,0,0,0
29.13,0,0,0
29.14,0,0,0
29.15,0,0,0
29.16,0,0,0
29.17,0,0,0
29.18,0,0,0
29.19,0,0,0
29.20,0,0,0
29.21,0,0,0
29.22,0,0,0
29.23,0,0,0
29.24,0,0,0
29.25,0,0,0
29.26,0,0,0
29.27,0,0,0
29.28,0,0,0
29.29,0,0,0
29.30,0,0,0
29.31,0,0,0
29.32,0,0,0
29.33,0,0,0
29.34,0,0,0
29.35,0,0,0
29.36,0,0,0
29.37,0,0,0
29.38,0,0,0
29.39,0,0,0
30.0,0,0,12024293
30.1,0,0,12024298
30.2,0,0,12024303
30.3,0,0,12024308
30.4,0,0,12024313
30.5,0,0,12024318
30.6,0,0,12024323
30.7,0,0,12024328
31.0,0,0,0
31.1,0,0,0
31.2,0,0,0
31.3,0,0,0
31.4,0,0,0
31.5,0,0,0
31.6,0,0,0
31.7,0,0,0
