#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
37,Hacking,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,Flood of Light,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,Charge,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,Dalamud Reborn,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,Limit Break,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,Mother Porxie's Magic,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,Gaia's Memories,,35,50,0,0,2,3,1,1,1,False
44,Za Da's Tempering,,-1,-1,0,0,3,0,0,1,1,False
45,Sovereignty ,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,Chaos,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,Despair,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,Summoning of the Irmin Hedge,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,Threat Awareness,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,Zodiark's Power,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,Conviction,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,Nidhogg's Influence,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,Profane Fafnir's Magic,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,Phoinix Fire,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,Venat's Aether,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,Blade Energy,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,Midgardsormr's Aether,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,Scarmiglione's Power,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,Lahabrea's Power,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,Nidhogg's Rancor,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,Satiety,,30,50,0,0,2,3,1,1,1,False
64,Barrier Strength,,30,70,0,0,2,3,1,1,1,False
65,Knights' Resolve,,30,70,0,0,2,3,1,1,1,False
66,Cagnazzo's Power,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,Barrier Strength,,30,70,0,0,2,3,1,1,1,False
68,Barrier Strength,,30,70,0,0,2,3,1,1,1,False
69,Rubicante's Power,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,Andromalius's Power,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,Ascian Prime's Power,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,The Fury's Frost,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,The Lover's Power,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,Athena's Power,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,Charge,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,Infernal Aether,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,Nine Tails' Yoki,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,60,180,0,1,0,0,0,1,1,True
79,Gwyddrud's Power,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,Otis's Condition,,30,70,0,0,2,3,1,1,1,False
81,Ruinous Power,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,Iq Soq Xmajun's Power,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,Seal Power,,100,-1,0,0,3,1,0,1,1,True
84,Saber Intensity,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
85,Grooviness,,-1,-1,0,0,1,0,0,1,1,True
86,Zelenia's Aether,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
87,Rising Fear of Death,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
88,,,-1,-1,0,1,0,0,0,1,1,True
89,Doom-engine Power,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
90,Channeled Aether,ContentGaugeMax_positive,-1,-1,0,0,1,0,0,1,1,True
91,Cleaning Spirit,,50,100,0,0,1,3,2,1,1,True
92,,,0,0,0,0,0,0,0,0,0,False
93,Massive Gravity Sphere Integrity,,-1,-1,0,0,2,0,0,1,1,False
94,,,0,0,0,0,0,0,0,0,0,False
