#,Item,Unknown0,Unknown1,Unknown2
102,28950,113,4,2
103,28951,113,4,3
104,28952,113,4,4
105,28953,113,4,5
106,28954,113,4,6
107,28955,113,4,7
108,28956,113,4,8
109,30366,115,4,0
110,30367,115,4,1
111,30368,115,4,2
112,30369,115,4,3
113,30370,115,4,4
114,30371,115,4,5
115,30372,115,4,6
116,30373,115,4,7
117,30374,115,4,8
118,32813,114,4,0
119,32814,114,4,1
120,32815,114,4,2
121,32816,114,4,3
122,32817,114,4,4
123,32818,114,4,5
124,32819,114,4,6
125,32820,114,4,7
126,32821,114,4,8
127,33307,116,4,0
128,33308,116,4,1
129,33309,116,4,2
130,33310,116,4,3
131,33311,116,4,4
132,33312,116,4,5
133,33313,116,4,6
134,33314,116,4,7
135,33315,116,4,8
136,35745,118,4,0
137,35746,118,4,1
138,35747,118,4,2
139,35748,118,4,3
140,35749,118,4,4
141,35750,118,4,5
142,35751,118,4,6
143,35752,118,4,7
144,35753,118,4,8
145,37303,119,4,0
146,37304,119,4,1
147,37305,119,4,2
148,37306,119,4,3
149,37307,119,4,4
150,37308,119,4,5
151,37309,119,4,6
152,37310,119,4,7
153,37311,119,4,8
154,38660,120,4,0
155,38661,120,4,1
156,38662,120,4,2
157,38663,120,4,3
158,38664,120,4,4
159,38665,120,4,5
160,38666,120,4,6
161,38667,120,4,7
162,38668,120,4,8
163,39461,121,4,0
164,39462,121,4,1
165,39463,121,4,2
166,39464,121,4,3
167,39465,121,4,4
168,39466,121,4,5
169,39467,121,4,6
170,39468,121,4,7
171,39469,121,4,8
172,40687,122,4,0
173,40688,122,4,1
174,40689,122,4,2
175,40690,122,4,3
176,40691,122,4,4
177,40692,122,4,5
178,40693,122,4,6
179,40694,122,4,7
180,40695,122,4,8
181,41161,117,4,0
182,41162,117,4,1
183,41163,117,4,2
184,41164,117,4,3
185,41165,117,4,4
186,41166,117,4,5
187,41167,117,4,6
188,41168,117,4,7
189,41169,117,4,8
190,43963,123,4,0
191,43964,123,4,1
192,43965,123,4,2
193,43966,123,4,3
194,43967,123,4,4
195,43968,123,4,5
196,43969,123,4,6
197,43970,123,4,7
198,43971,123,4,8
199,44833,124,4,0
200,44834,124,4,1
201,44835,124,4,2
202,44836,124,4,3
203,44837,124,4,4
204,44838,124,4,5
205,44839,124,4,6
206,44840,124,4,7
207,44841,124,4,8
208,47951,125,4,0
209,47952,125,4,1
210,47953,125,4,2
211,47954,125,4,3
212,47955,125,4,4
213,47956,125,4,5
214,47957,125,4,6
215,47958,125,4,7
216,47959,125,4,8
217,46804,126,4,0
218,46805,126,4,1
219,46806,126,4,2
220,46807,126,4,3
221,46808,126,4,4
222,46809,126,4,5
223,46810,126,4,6
224,46811,126,4,7
225,46812,126,4,8
226,49774,127,4,0
227,49775,127,4,1
228,49776,127,4,2
229,49777,127,4,3
230,49778,127,4,4
231,49779,127,4,5
232,49780,127,4,6
233,49781,127,4,7
234,49782,127,4,8
235,0,0,0,0
1000,0,0,0,0
1001,16938,1,0,0
1002,16939,2,0,0
1003,16940,3,0,0
1004,16941,4,0,0
1005,16942,5,0,0
1006,16943,6,0,0
1007,16944,7,0,0
1008,16945,8,0,0
1009,16946,9,0,0
1010,16947,10,0,0
1011,16948,11,0,0
1012,16949,12,0,0
1013,16950,13,0,0
1014,16951,14,0,0
1015,16952,15,0,0
1016,16953,16,0,0
1017,16954,17,0,0
1018,16955,18,0,0
1019,16956,19,0,0
1020,16957,20,0,0
1021,17057,21,0,0
1022,17058,22,0,0
1023,17059,23,0,0
1024,17060,24,0,0
1025,17061,25,0,0
1026,17062,26,0,0
1027,17063,27,0,0
1028,17064,28,0,0
1029,17065,29,0,0
1030,17066,30,0,0
1031,17067,31,0,0
1032,17120,32,0,0
1033,17068,33,0,0
1034,17069,34,0,0
1035,17070,35,0,0
1036,17071,36,0,0
1037,17072,37,0,0
1038,17073,38,0,0
1039,17074,39,0,0
1040,17075,40,0,0
1041,17076,41,0,0
1042,17077,42,0,0
1043,17078,43,0,0
1044,17079,44,0,0
1045,17080,45,0,0
1046,17081,46,0,0
1047,17082,47,0,0
1048,17083,48,0,0
1049,17084,49,0,0
1050,17085,50,0,0
1051,17086,51,0,0
1052,17087,52,0,0
1053,17088,53,0,0
1054,17089,54,0,0
1055,17090,55,0,0
1056,17091,56,0,0
1057,17092,57,0,0
1058,17093,58,0,0
1059,17094,59,0,0
1060,17095,60,0,0
1061,17096,61,0,0
1062,17097,62,0,0
1063,17098,63,0,0
1064,17099,64,0,0
1065,17100,65,0,0
1066,17101,66,0,0
1067,17102,67,0,0
1068,17103,68,0,0
1069,17104,69,0,0
1070,17105,70,0,0
1071,17106,71,0,0
1072,17107,72,0,0
1073,17108,73,0,0
1074,17109,74,0,0
1075,17110,75,0,0
1076,17111,76,0,0
1077,17112,77,0,0
1078,17113,78,0,0
1079,17114,79,0,0
1080,17115,80,0,0
1081,17116,1001,0,0
1082,17117,1002,0,0
1083,17118,1003,0,0
1084,17119,1004,0,0
1085,17136,1005,0,0
1086,17121,1006,0,0
1087,17122,1007,0,0
1088,17123,1008,0,0
1089,17124,1009,0,0
1090,17125,1010,0,0
1091,17126,1011,0,0
1092,17127,1012,0,0
1093,17128,1013,0,0
1094,17129,1014,0,0
1095,17130,1015,0,0
1096,17131,1016,0,0
1097,17132,1017,0,0
1098,17133,1018,0,0
1099,17134,1019,0,0
1100,17135,1020,0,0
1101,20311,143,0,0
1102,20312,144,0,0
1103,20313,145,0,0
1104,20314,146,0,0
1105,20315,147,0,0
1106,20316,148,0,0
1107,20317,149,0,0
1108,20318,150,0,0
1109,20319,151,0,0
1110,20320,152,0,0
1111,20321,153,0,0
1112,20322,154,0,0
1113,20323,155,0,0
1114,20324,156,0,0
1115,20325,157,0,0
1116,20326,158,0,0
1117,20327,159,0,0
1118,20328,160,0,0
1119,20329,161,0,0
1120,20330,162,0,0
1121,20331,163,0,0
1122,20332,164,0,0
1123,20333,165,0,0
1124,20334,166,0,0
1125,20335,167,0,0
1126,20336,168,0,0
1127,20337,169,0,0
1128,20338,170,0,0
1129,20339,171,0,0
1130,20340,172,0,0
1131,20341,173,0,0
1132,20342,174,0,0
1133,20343,175,0,0
1134,20344,176,0,0
1135,20345,177,0,0
1136,20346,178,0,0
1137,20347,179,0,0
1138,20348,180,0,0
1139,20349,181,0,0
1140,20350,182,0,0
1141,20351,183,0,0
1142,20352,184,0,0
1143,20353,185,0,0
1144,20354,186,0,0
1145,20355,187,0,0
1146,21110,81,0,0
1147,21111,82,0,0
1148,21112,83,0,0
1149,21113,84,0,0
1150,21114,85,0,0
1151,21115,86,0,0
1152,21116,87,0,0
1153,21117,88,0,0
1154,21118,89,0,0
1155,21119,90,0,0
1156,21120,91,0,0
1157,21121,92,0,0
1158,21122,93,0,0
1159,21123,94,0,0
1160,21124,95,0,0
1161,21125,96,0,0
1162,21126,97,0,0
1163,21127,98,0,0
1164,21128,99,0,0
1165,21129,100,0,0
1166,21130,101,0,0
1167,21131,102,0,0
1168,21132,103,0,0
1169,21133,104,0,0
1170,21134,105,0,0
1171,21135,106,0,0
1172,21136,107,0,0
1173,21137,108,0,0
1174,21138,109,0,0
1175,21139,110,0,0
1176,21140,111,0,0
1177,21141,112,0,0
1178,21142,113,0,0
1179,21143,114,0,0
1180,21144,115,0,0
1181,21145,116,0,0
1182,21146,117,0,0
1183,21147,118,0,0
1184,21148,119,0,0
1185,21149,120,0,0
1186,21150,121,0,0
1187,21151,122,0,0
1188,21152,123,0,0
1189,21153,124,0,0
1190,21154,125,0,0
1191,21155,126,0,0
1192,21156,127,0,0
1193,21157,128,0,0
1194,21158,129,0,0
1195,21159,130,0,0
1196,21160,131,0,0
1197,21161,132,0,0
1198,21162,133,0,0
1199,21163,134,0,0
1200,21164,135,0,0
1201,21165,136,0,0
1202,21166,137,0,0
1203,21167,138,0,0
1204,21168,139,0,0
1205,21169,140,0,0
1206,21170,141,0,0
1207,21171,142,0,0
1208,21885,188,0,0
1209,21886,189,0,0
1210,21887,190,0,0
1211,21888,191,0,0
1212,21889,192,0,0
1213,21890,193,0,0
1214,21891,194,0,0
1215,21892,195,0,0
1216,21893,196,0,0
1217,21894,197,0,0
1218,21895,198,0,0
1219,21896,199,0,0
1220,21897,200,0,0
1221,21898,201,0,0
1222,21899,202,0,0
1223,21900,203,0,0
1224,21901,204,0,0
1225,28663,205,0,0
1226,28664,206,0,0
1227,28665,207,0,0
1228,28666,208,0,0
1229,28667,209,0,0
1230,28668,210,0,0
1231,28669,211,0,0
1232,28670,212,0,0
1233,28671,213,0,0
1234,28672,214,0,0
1235,28673,215,0,0
1236,28674,216,0,0
1237,28675,217,0,0
1238,28676,218,0,0
1239,28677,219,0,0
1240,28678,220,0,0
1241,28679,221,0,0
1242,28680,222,0,0
1243,28681,223,0,0
1244,28682,224,0,0
1245,28683,225,0,0
1246,28684,226,0,0
1247,28685,227,0,0
1248,28686,228,0,0
1249,28687,229,0,0
1250,28688,230,0,0
1251,28689,231,0,0
1252,28690,232,0,0
1253,28691,233,0,0
1254,28692,234,0,0
1255,28693,235,0,0
1256,28694,236,0,0
1257,28695,237,0,0
1258,28696,238,0,0
1259,28697,239,0,0
1260,28698,240,0,0
1261,28699,241,0,0
1262,28700,242,0,0
1263,28701,243,0,0
1264,28702,244,0,0
1265,28703,245,0,0
1266,28704,246,0,0
1267,28705,247,0,0
1268,28706,248,0,0
1269,28707,249,0,0
1270,32871,1021,0,0
1271,32872,1022,0,0
1272,32873,1023,0,0
1273,32874,1024,0,0
1274,37085,250,0,0
1275,37086,251,0,0
1276,37087,252,0,0
1277,37088,253,0,0
1278,37089,254,0,0
1279,37090,255,0,0
1280,37091,256,0,0
1281,37092,257,0,0
1282,37093,258,0,0
1283,37094,259,0,0
1284,37095,260,0,0
1285,37096,261,0,0
1286,37097,262,0,0
1287,37098,295,0,0
1288,37099,263,0,0
1289,37100,264,0,0
1290,37101,265,0,0
1291,37102,266,0,0
1292,37103,267,0,0
1293,37104,268,0,0
1294,37105,269,0,0
1295,37106,270,0,0
1296,37107,271,0,0
1297,37108,272,0,0
1298,37109,273,0,0
1299,37110,274,0,0
1300,37111,275,0,0
1301,37112,276,0,0
1302,37113,277,0,0
1303,37114,278,0,0
1304,37115,279,0,0
1305,37116,280,0,0
1306,37117,281,0,0
1307,37118,282,0,0
1308,37119,283,0,0
1309,37120,284,0,0
1310,37121,285,0,0
1311,37122,286,0,0
1312,37123,287,0,0
1313,37124,288,0,0
1314,37125,289,0,0
1315,37126,290,0,0
1316,37127,291,0,0
1317,37128,292,0,0
1318,37129,293,0,0
1319,37130,294,0,0
1320,44365,296,0,0
1321,44366,297,0,0
1322,44367,298,0,0
1323,44368,299,0,0
1324,44369,300,0,0
1325,44370,301,0,0
1326,44371,302,0,0
1327,44372,303,0,0
1328,44373,304,0,0
1329,44374,305,0,0
1330,44375,306,0,0
1331,44376,307,0,0
1332,44377,308,0,0
1333,44378,309,0,0
1334,44379,310,0,0
1335,44380,311,0,0
1336,44381,312,0,0
1337,44382,313,0,0
1338,44383,314,0,0
1339,44384,315,0,0
1340,44385,316,0,0
1341,44386,317,0,0
1342,44387,318,0,0
1343,44388,319,0,0
1344,44389,320,0,0
1345,44390,321,0,0
1346,44391,322,0,0
1347,44392,323,0,0
1348,44393,324,0,0
1349,44394,325,0,0
1350,44395,326,0,0
1351,44396,327,0,0
1352,44397,328,0,0
1353,44398,329,0,0
1354,44399,330,0,0
1355,44400,331,0,0
1356,44401,332,0,0
1357,44402,333,0,0
1358,44403,334,0,0
1359,44404,335,0,0
1360,44405,336,0,0
1361,44406,337,0,0
1362,44407,338,0,0
1363,44408,339,0,0
1364,44409,340,0,0
1365,0,0,0,0
2000,0,0,0,0
2001,6455,1,0,0
2002,6456,2,0,0
2003,6457,3,0,0
2004,7131,4,0,0
2005,7132,5,0,0
2006,7133,6,0,0
2007,7134,7,0,0
2008,7135,8,0,0
2009,7136,9,0,0
2010,7137,10,0,0
2011,7138,11,0,0
2012,7139,12,0,0
2013,7140,13,0,0
2014,8007,14,0,0
2015,8008,15,0,0
2016,8009,16,0,0
2017,8010,17,0,0
2018,8011,18,0,0
2019,8012,19,0,0
2020,8829,20,0,0
2021,8830,21,0,0
2022,8831,22,0,0
2023,10345,23,0,0
2024,10346,24,0,0
2025,9766,25,0,0
2026,9767,26,0,0
2027,13095,27,0,0
2028,14070,28,0,0
2029,15165,29,0,0
2030,16009,20,0,0
2031,16010,21,0,0
2032,17032,30,0,0
2033,16015,31,0,0
2034,17033,32,0,0
2035,17034,33,0,0
2036,17988,34,0,0
2037,17989,35,0,0
2038,17990,36,0,0
2039,20716,37,0,0
2040,20717,38,0,0
2041,21867,39,0,0
2042,21874,32,0,0
2043,22530,40,0,0
2044,23902,41,0,0
2045,24184,42,0,0
2046,24185,43,0,0
2047,24539,44,0,0
2048,27268,46,0,0
2049,28126,47,0,0
2050,28960,48,0,0
2051,30378,49,0,0
2052,32254,50,0,0
2053,33248,51,0,0
2054,35809,53,0,0
2055,36887,52,0,0
2056,37408,54,0,0
2057,38674,55,0,0
2058,39429,56,0,0
2059,40620,57,0,0
2060,41082,58,0,0
2061,44110,59,0,0
2062,44870,60,0,0
2063,48097,61,0,0
2064,46087,62,0,0
2065,49836,63,0,0
2066,0,0,0,0
3000,0,0,0,0
3001,4960,1,0,0
3002,4937,2,0,0
3003,4983,3,0,0
3004,4989,4,0,0
3005,4925,5,0,0
3006,4875,6,0,0
3007,4944,7,0,0
3008,4998,8,0,0
3009,4927,9,0,0
3010,4961,10,0,0
3011,4870,11,0,0
3012,4931,12,0,0
3013,4938,13,0,0
3014,4871,14,0,0
3015,4929,15,0,0
3016,7925,16,0,0
3017,7946,17,0,0
3018,4776,18,0,0
3019,4926,19,0,0
3020,4935,20,0,0
3021,4970,21,0,0
3022,4869,22,0,0
3023,4928,23,0,0
3024,4873,24,0,0
3025,5460,25,0,0
3026,4930,26,0,0
3027,4934,27,0,0
3028,4941,28,0,0
3029,4881,29,0,0
3030,4954,30,0,0
3031,4933,31,0,0
3032,5544,32,0,0
3033,4932,33,0,0
3034,4872,34,0,0
3035,4942,35,0,0
3036,4972,36,0,0
3037,4939,37,0,0
3038,4945,38,0,0
3039,4936,39,0,0
3040,4948,40,0,0
3041,5003,41,0,0
3042,7692,42,0,0
3043,4878,43,0,0
3044,4884,44,0,0
3045,4950,45,0,0
3046,4874,46,0,0
3047,5002,47,0,0
3048,7703,48,0,0
3049,4876,49,0,0
3050,4947,50,0,0
3051,4977,51,0,0
3052,7679,52,0,0
3053,7698,53,0,0
3054,4877,54,0,0
3055,7681,55,0,0
3056,7688,56,0,0
3057,7711,57,0,0
3058,7907,58,0,0
3059,4971,59,0,0
3060,7933,60,0,0
3061,4940,61,0,0
3062,7696,62,0,0
3063,4879,63,0,0
3064,4978,64,0,0
3065,7683,65,0,0
3066,4966,66,0,0
3067,7694,67,0,0
3068,7702,68,0,0
3069,4880,69,0,0
3070,4962,70,0,0
3071,4943,71,0,0
3072,4949,72,0,0
3073,4952,73,0,0
3074,4900,74,0,0
3075,5035,75,0,0
3076,4995,76,0,0
3077,5038,77,0,0
3078,7708,78,0,0
3079,7714,79,0,0
3080,4957,80,0,0
3081,4946,81,0,0
3082,7706,82,0,0
3083,7712,83,0,0
3084,12715,84,0,0
3085,13728,85,0,0
3086,12757,86,0,0
3087,12809,87,0,0
3088,12762,88,0,0
3089,12733,89,0,0
3090,12731,90,0,0
3091,14215,91,0,0
3092,8758,92,0,0
3093,12790,93,0,0
3094,14212,94,0,0
3095,12720,95,0,0
3096,12796,96,0,0
3097,12753,97,0,0
3098,12783,98,0,0
3099,12811,99,0,0
3100,12837,100,0,0
3101,13729,101,0,0
3102,12734,102,0,0
3103,12778,103,0,0
3104,12836,104,0,0
3105,12723,105,0,0
3106,12725,106,0,0
3107,12758,107,0,0
3108,12713,108,0,0
3109,12718,109,0,0
3110,14217,110,0,0
3111,12730,111,0,0
3112,12794,112,0,0
3113,12823,113,0,0
3114,12773,114,0,0
3115,12779,115,0,0
3116,12780,116,0,0
3117,12742,117,0,0
3118,12739,118,0,0
3119,12777,119,0,0
3120,12812,120,0,0
3121,8761,121,0,0
3122,12732,122,0,0
3123,15626,123,0,0
3124,17590,125,0,0
3125,17591,126,0,0
3126,17592,127,0,0
3127,17563,128,0,0
3128,17565,129,0,0
3129,17566,130,0,0
3130,20019,131,0,0
3131,20021,132,0,0
3132,20023,133,0,0
3133,20024,134,0,0
3134,20025,135,0,0
3135,20026,136,0,0
3136,20028,137,0,0
3137,20029,138,0,0
3138,20030,139,0,0
3139,20031,140,0,0
3140,20033,141,0,0
3141,20035,142,0,0
3142,20036,143,0,0
3143,20050,144,0,0
3144,20042,145,0,0
3145,20043,146,0,0
3146,20044,147,0,0
3147,20046,149,0,0
3148,20047,150,0,0
3149,20048,151,0,0
3150,20136,152,0,0
3151,20055,153,0,0
3152,20056,154,0,0
3153,20057,155,0,0
3154,20059,156,0,0
3155,20062,157,0,0
3156,20063,158,0,0
3157,20064,159,0,0
3158,20065,160,0,0
3159,20066,161,0,0
3160,20067,162,0,0
3161,20069,163,0,0
3162,20071,164,0,0
3163,20077,165,0,0
3164,20081,166,0,0
3165,20082,167,0,0
3166,20083,168,0,0
3167,20084,169,0,0
3168,20085,170,0,0
3169,20088,171,0,0
3170,20091,172,0,0
3171,20092,173,0,0
3172,20093,174,0,0
3173,20094,175,0,0
3174,20098,176,0,0
3175,20102,177,0,0
3176,20111,178,0,0
3177,20112,179,0,0
3178,20113,180,0,0
3179,20117,181,0,0
3180,20121,182,0,0
3181,20122,183,0,0
3182,20125,184,0,0
3183,20126,185,0,0
3184,20127,186,0,0
3185,20128,187,0,0
3186,20129,188,0,0
3187,20131,189,0,0
3188,20132,190,0,0
3189,20133,191,0,0
3190,20135,192,0,0
3191,20524,193,0,0
3192,20144,194,0,0
3193,20147,195,0,0
3194,20149,196,0,0
3195,20153,197,0,0
3196,20158,198,0,0
3197,20160,199,0,0
3198,20162,200,0,0
3199,20164,201,0,0
3200,20165,202,0,0
3201,20168,203,0,0
3202,20170,204,0,0
3203,20174,205,0,0
3204,20175,206,0,0
3205,20176,207,0,0
3206,20187,208,0,0
3207,20189,209,0,0
3208,20191,210,0,0
3209,20194,211,0,0
3210,20198,212,0,0
3211,20203,213,0,0
3212,20206,214,0,0
3213,20207,215,0,0
3214,20211,216,0,0
3215,20212,217,0,0
3216,20213,218,0,0
3217,20214,219,0,0
3218,20217,220,0,0
3219,20224,221,0,0
3220,20233,222,0,0
3221,20234,223,0,0
3222,20237,224,0,0
3223,20528,225,0,0
3224,21175,226,0,0
3225,21178,227,0,0
3226,20785,228,0,0
3227,20786,229,0,0
3228,20787,230,0,0
3229,22395,233,0,0
3230,22390,234,0,0
3231,23056,235,0,0
3232,23057,236,0,0
3233,23058,237,0,0
3234,23064,238,0,0
3235,23065,239,0,0
3236,23067,240,0,0
3237,23069,241,0,0
3238,23070,242,0,0
3239,23074,243,0,0
3240,24203,244,0,0
3241,24204,245,0,0
3242,24211,246,0,0
3243,24213,247,0,0
3244,24216,248,0,0
3245,24218,249,0,0
3246,24881,250,0,0
3247,24885,251,0,0
3248,24892,252,0,0
3249,24557,253,0,0
3250,24558,254,0,0
3251,24995,255,0,0
3252,27412,256,0,0
3253,27425,257,0,0
3254,27427,258,0,0
3255,27429,259,0,0
3256,27426,260,0,0
3257,27438,261,0,0
3258,27439,262,0,0
3259,27446,263,0,0
3260,27451,264,0,0
3261,27462,265,0,0
3262,27414,266,0,0
3263,27410,267,0,0
3264,27413,268,0,0
3265,27419,269,0,0
3266,27420,270,0,0
3267,27433,271,0,0
3268,27435,272,0,0
3269,27434,273,0,0
3270,27445,274,0,0
3271,27450,275,0,0
3272,27455,276,0,0
3273,27458,277,0,0
3274,27459,278,0,0
3275,27416,279,0,0
3276,27418,280,0,0
3277,26747,281,0,0
3278,27461,282,0,0
3279,27470,283,0,0
3280,27471,284,0,0
3281,27469,285,0,0
3282,27473,286,0,0
3283,27423,287,0,0
3284,27472,288,0,0
3285,27468,289,0,0
3286,27475,290,0,0
3287,27476,291,0,0
3288,27477,292,0,0
3289,27482,293,0,0
3290,26748,294,0,0
3291,27478,295,0,0
3292,27465,296,0,0
3293,27493,297,0,0
3294,27483,298,0,0
3295,27496,299,0,0
3296,27442,300,0,0
3297,27511,301,0,0
3298,27513,302,0,0
3299,27495,303,0,0
3300,27432,304,0,0
3301,27481,305,0,0
3302,27494,306,0,0
3303,27501,307,0,0
3304,27507,308,0,0
3305,27510,309,0,0
3306,27516,310,0,0
3307,27517,311,0,0
3308,27518,312,0,0
3309,27528,313,0,0
3310,27529,314,0,0
3311,27523,315,0,0
3312,27537,316,0,0
3313,27538,317,0,0
3314,27544,318,0,0
3315,27543,319,0,0
3316,27549,320,0,0
3317,27550,321,0,0
3318,27555,322,0,0
3319,27556,323,0,0
3320,27568,324,0,0
3321,27569,325,0,0
3322,27561,326,0,0
3323,27562,327,0,0
3324,27574,328,0,0
3325,27575,329,0,0
3326,27581,330,0,0
3327,27580,331,0,0
3328,15439,332,0,0
3329,16749,333,0,0
3330,20123,334,0,0
3331,28065,335,0,0
3332,28066,336,0,0
3333,28070,337,0,0
3334,28189,338,0,0
3335,28190,339,0,0
3336,28191,340,0,0
3337,28719,341,0,0
3338,28937,342,0,0
3339,28941,343,0,0
3340,29718,344,0,0
3341,29721,345,0,0
3342,29724,346,0,0
3343,29726,347,0,0
3344,29729,348,0,0
3345,29732,349,0,0
3346,29736,350,0,0
3347,29739,351,0,0
3348,29740,352,0,0
3349,29747,353,0,0
3350,29749,354,0,0
3351,29753,355,0,0
3352,29756,356,0,0
3353,29757,333,0,0
3354,29761,358,0,0
3355,29764,359,0,0
3356,29768,360,0,0
3357,29771,361,0,0
3358,29774,362,0,0
3359,29777,363,0,0
3360,29778,364,0,0
3361,29786,365,0,0
3362,29678,198,0,0
3363,28928,366,0,0
3364,28929,367,0,0
3365,28930,368,0,0
3366,30437,369,0,0
3367,30438,370,0,0
3368,30487,371,0,0
3369,30490,372,0,0
3370,30491,373,0,0
3371,30492,374,0,0
3372,30593,375,0,0
3373,31129,376,0,0
3374,32049,377,0,0
3375,32052,378,0,0
3376,32056,379,0,0
3377,32057,380,0,0
3378,32075,381,0,0
3379,32076,382,0,0
3380,32095,383,0,0
3381,32096,384,0,0
3382,32079,385,0,0
3383,32098,386,0,0
3384,32082,387,0,0
3385,32104,388,0,0
3386,32066,389,0,0
3387,32085,390,0,0
3388,32088,391,0,0
3389,32090,392,0,0
3390,32105,393,0,0
3391,32107,394,0,0
3392,32112,395,0,0
3393,32063,396,0,0
3394,32094,397,0,0
3395,31771,398,0,0
3396,33219,399,0,0
3397,33221,400,0,0
3398,33222,401,0,0
3399,33223,402,0,0
3400,33316,403,0,0
3401,33317,404,0,0
3402,33318,405,0,0
3403,33321,406,0,0
3404,33322,407,0,0
3405,33323,408,0,0
3406,33326,409,0,0
3407,33241,410,0,0
3408,33242,411,0,0
3409,36385,412,0,0
3410,36386,413,0,0
3411,36387,414,0,0
3412,36390,415,0,0
3413,36395,416,0,0
3414,36396,417,0,0
3415,36397,418,0,0
3416,36399,419,0,0
3417,35604,420,0,0
3418,36403,421,0,0
3419,36409,422,0,0
3420,36410,423,0,0
3421,36420,424,0,0
3422,36421,425,0,0
3423,36431,426,0,0
3424,36436,427,0,0
3425,36444,428,0,0
3426,36447,429,0,0
3427,36450,430,0,0
3428,36451,431,0,0
3429,35606,432,0,0
3430,36457,433,0,0
3431,36460,434,0,0
3432,36463,435,0,0
3433,36465,436,0,0
3434,36466,437,0,0
3435,36470,438,0,0
3436,36476,439,0,0
3437,36478,440,0,0
3438,36481,441,0,0
3439,36484,442,0,0
3440,36487,443,0,0
3441,36492,444,0,0
3442,36495,445,0,0
3443,36501,446,0,0
3444,36503,447,0,0
3445,36506,448,0,0
3446,36507,449,0,0
3447,36509,450,0,0
3448,36514,451,0,0
3449,36522,452,0,0
3450,36523,453,0,0
3451,36548,454,0,0
3452,36549,455,0,0
3453,36554,456,0,0
3454,36555,457,0,0
3455,36560,458,0,0
3456,36561,459,0,0
3457,36528,460,0,0
3458,36529,461,0,0
3459,36534,462,0,0
3460,36537,463,0,0
3461,36540,464,0,0
3462,36541,465,0,0
3463,36566,466,0,0
3464,36567,467,0,0
3465,36572,468,0,0
3466,36575,469,0,0
3467,36582,470,0,0
3468,36583,471,0,0
3469,36573,472,0,0
3470,36535,473,0,0
3471,36660,474,0,0
3472,36661,475,0,0
3473,36663,476,0,0
3474,37849,477,0,0
3475,37852,478,0,0
3476,38830,479,0,0
3477,38836,480,0,0
3478,38810,481,0,0
3479,38812,482,0,0
3480,38814,483,0,0
3481,38935,484,0,0
3482,39240,485,0,0
3483,38813,486,0,0
3484,38939,487,0,0
3485,38837,488,0,0
3486,38792,489,0,0
3487,38798,490,0,0
3488,39883,491,0,0
3489,40522,492,0,0
3490,40542,493,0,0
3491,40543,494,0,0
3492,40561,495,0,0
3493,40563,496,0,0
3494,40581,497,0,0
3495,40526,498,0,0
3496,40567,499,0,0
3497,40584,500,0,0
3498,40586,501,0,0
3499,40527,502,0,0
3500,40547,503,0,0
3501,40565,504,0,0
3502,40550,505,0,0
3503,40531,506,0,0
3504,40535,507,0,0
3505,40552,508,0,0
3506,40555,509,0,0
3507,40557,510,0,0
3508,40572,511,0,0
3509,40573,512,0,0
3510,40574,513,0,0
3511,40577,514,0,0
