#,SupplyData[0].Item[0],SupplyData[0].Item[1],SupplyData[0].Item[2],SupplyData[0].ItemCount[0],SupplyData[0].ItemCount[1],SupplyData[0].ItemCount[2],SupplyData[1].Item[0],SupplyData[1].Item[1],SupplyData[1].Item[2],SupplyData[1].ItemCount[0],SupplyData[1].ItemCount[1],SupplyData[1].ItemCount[2],SupplyData[2].Item[0],SupplyData[2].Item[1],SupplyData[2].Item[2],SupplyData[2].ItemCount[0],SupplyData[2].ItemCount[1],SupplyData[2].ItemCount[2],SupplyData[3].Item[0],SupplyData[3].Item[1],SupplyData[3].Item[2],SupplyData[3].ItemCount[0],SupplyData[3].ItemCount[1],SupplyData[3].ItemCount[2],SupplyData[4].Item[0],SupplyData[4].Item[1],SupplyData[4].Item[2],SupplyData[4].ItemCount[0],SupplyData[4].ItemCount[1],SupplyData[4].ItemCount[2],SupplyData[5].Item[0],SupplyData[5].Item[1],SupplyData[5].Item[2],SupplyData[5].ItemCount[0],SupplyData[5].ItemCount[1],SupplyData[5].ItemCount[2],SupplyData[6].Item[0],SupplyData[6].Item[1],SupplyData[6].Item[2],SupplyData[6].ItemCount[0],SupplyData[6].ItemCount[1],SupplyData[6].ItemCount[2],SupplyData[7].Item[0],SupplyData[7].Item[1],SupplyData[7].Item[2],SupplyData[7].ItemCount[0],SupplyData[7].ItemCount[1],SupplyData[7].ItemCount[2],SupplyData[8].Item[0],SupplyData[8].Item[1],SupplyData[8].Item[2],SupplyData[8].ItemCount[0],SupplyData[8].ItemCount[1],SupplyData[8].ItemCount[2],SupplyData[9].Item[0],SupplyData[9].Item[1],SupplyData[9].Item[2],SupplyData[9].ItemCount[0],SupplyData[9].ItemCount[1],SupplyData[9].ItemCount[2],SupplyData[10].Item[0],SupplyData[10].Item[1],SupplyData[10].Item[2],SupplyData[10].ItemCount[0],SupplyData[10].ItemCount[1],SupplyData[10].ItemCount[2]
10,1604,1822,0,1,1,1,4726,4681,0,3,3,1,2145,0,0,1,1,1,2664,2230,0,1,1,1,3016,3537,0,1,1,1,4093,1683,2057,1,1,1,2661,3316,3015,1,1,1,2482,2356,2342,1,1,1,5124,0,0,10,1,1,4831,0,0,10,1,1,4936,0,0,1,1,1
11,2406,0,0,1,1,1,4640,0,0,3,1,1,1960,0,0,1,1,1,2495,0,0,1,1,1,2660,3771,0,1,1,1,4198,0,0,1,1,1,2658,3539,3538,1,1,1,2368,2431,2418,1,1,1,5268,0,0,10,1,1,5051,4823,4824,10,10,10,0,0,0,1,1,1
12,2457,2573,0,1,1,1,4735,4736,0,3,3,1,4551,0,0,3,1,1,2673,3026,0,1,1,1,3770,3773,3017,1,1,1,2058,2445,0,1,1,1,2663,3018,3020,1,1,1,2508,2534,2547,1,1,1,5518,0,0,10,1,1,5539,5560,5342,10,10,10,0,0,0,1,1,1
13,1823,1998,0,1,1,1,4641,4682,0,3,3,1,2146,0,0,1,1,1,3775,0,0,1,1,1,2229,3541,0,1,1,1,2108,0,0,1,1,1,2665,2666,3320,1,1,1,1684,1605,0,1,1,1,5228,0,0,10,1,1,5540,4778,4782,10,10,10,4939,0,0,1,1,1
14,3779,2675,0,1,1,1,4708,0,0,3,1,1,0,0,0,1,1,1,3544,0,0,1,1,1,3319,3772,3542,1,1,1,2668,2059,0,1,1,1,3022,3321,3327,1,1,1,1753,2419,0,1,1,1,5111,5269,0,10,10,1,4805,4783,4830,10,10,10,0,0,0,1,1,1
15,3779,1895,2233,1,1,1,4661,4666,0,3,3,1,4555,0,0,3,1,1,2231,2470,2496,1,1,1,3546,4308,3777,1,1,1,4204,4094,4309,1,1,1,3543,2670,3322,1,1,1,2343,2369,0,1,1,1,5519,0,0,10,1,1,4781,4784,4780,10,10,10,4940,4941,0,1,1,1
16,2574,0,0,1,1,1,4642,4651,0,3,3,1,2147,1961,4597,1,1,3,3550,2680,0,1,1,1,3547,0,0,1,1,1,4095,2444,0,1,1,1,3325,3023,3028,1,1,1,2522,1607,1686,1,1,1,5130,0,0,10,1,1,4810,4834,4785,10,10,10,4942,0,0,1,1,1
17,1825,0,0,1,1,1,4674,4683,4717,3,3,3,4595,0,0,3,1,1,2236,0,0,1,1,1,2672,3774,4099,1,1,1,2109,4311,4205,1,1,1,3332,3036,3038,1,1,1,1754,2548,1756,1,1,1,5132,0,0,10,1,1,4811,4820,0,10,10,1,4944,0,0,1,1,1
18,2000,0,0,1,1,1,4697,4709,0,3,3,1,4596,0,0,3,1,1,2497,2471,0,1,1,1,3549,3552,1688,1,1,1,2685,2687,2693,1,1,1,3041,3064,0,1,1,1,2370,2395,2344,1,1,1,5129,0,0,10,1,1,4786,5541,4787,10,10,10,4946,4882,0,1,1,1
19,1897,2459,2002,1,1,1,4667,0,0,3,1,1,4594,0,0,3,1,1,2708,3793,0,1,1,1,3784,2697,0,1,1,1,2691,2689,2695,1,1,1,3039,2699,2700,1,1,1,2549,2433,2536,1,1,1,5524,5465,0,10,10,1,5386,4796,0,10,10,1,4947,4883,0,1,1,1
20,2703,1827,2575,1,1,1,4690,4675,0,3,3,1,2149,4598,0,1,3,1,3563,2712,3045,1,1,1,4435,3562,0,1,1,1,2061,4430,4431,1,1,1,3341,3339,3561,1,1,1,1609,2318,2523,1,1,1,5229,0,0,10,1,1,5405,5563,0,10,10,1,4949,0,0,1,1,1
21,1899,2004,0,1,1,1,4722,4746,4643,3,3,3,1963,4574,4575,1,3,3,3557,2241,0,1,1,1,3788,3790,3795,1,1,1,4433,4313,4209,1,1,1,3568,0,0,1,1,1,1758,2484,2562,1,1,1,5155,0,0,10,1,1,4806,4812,0,10,10,1,4950,4951,0,1,1,1
22,2408,1833,0,1,1,1,4730,4684,4652,3,3,3,2151,4566,4576,1,3,3,3802,2723,0,1,1,1,3559,2714,3337,1,1,1,2446,2111,0,1,1,1,3050,3343,3800,1,1,1,2358,2383,1614,1,1,1,5270,0,0,10,1,1,4797,6145,0,10,10,1,4886,4953,0,1,1,1
23,2460,0,0,1,1,1,4710,4699,4662,3,3,3,0,0,0,1,1,1,2498,3057,2472,1,1,1,2710,3791,3572,1,1,1,2063,0,0,1,1,1,3053,3052,2719,1,1,1,2537,2434,1694,1,1,1,5153,5152,0,10,10,1,4835,5535,0,10,10,1,4954,4955,0,1,1,1
24,1905,3805,2011,1,1,1,4749,0,0,3,1,1,2156,0,0,1,1,1,2725,2242,0,1,1,1,3806,3347,0,1,1,1,2447,4211,2728,1,1,1,3345,3348,3575,1,1,1,2550,1764,2319,1,1,1,5156,5154,0,10,10,1,5388,4836,0,10,10,1,4956,4957,4887,1,1,1
25,2576,2409,0,1,1,1,4711,0,0,3,1,1,4552,0,0,3,1,1,3352,3579,3068,1,1,1,3799,3576,3578,1,1,1,2731,2118,2066,1,1,1,2727,3349,3351,1,1,1,2563,2511,1622,1,1,1,5157,0,0,10,1,1,4819,4821,0,10,10,1,4888,4885,0,1,1,1
26,2246,1908,0,1,1,1,4731,4718,4644,3,3,3,0,0,0,1,1,1,2473,0,0,1,1,1,4314,3808,0,1,1,1,4317,4439,4440,1,1,1,2729,3066,27638,1,1,1,2397,2372,2346,1,1,1,5528,0,0,10,1,1,4822,0,0,10,1,1,4960,4889,4890,1,1,1
27,1836,0,0,1,1,1,4723,4668,4653,3,3,3,1965,0,0,1,1,1,2248,2499,0,1,1,1,3810,3581,3821,1,1,1,4320,4322,4109,1,1,1,2733,3355,3090,1,1,1,2359,2525,2384,1,1,1,5523,0,0,10,1,1,4788,0,0,10,1,1,4962,4963,4891,1,1,1
28,1627,0,0,1,1,1,4732,4676,0,3,3,1,1967,0,0,1,1,1,3096,0,0,1,1,1,1697,0,0,1,1,1,4328,4330,4117,1,1,1,3092,2734,3365,1,1,1,1625,2320,1769,1,1,1,5125,0,0,10,1,1,4789,0,0,10,1,1,0,0,0,1,1,1
29,2577,1838,2015,1,1,1,4827,0,0,1,1,1,2160,0,0,1,1,1,2753,2474,2500,1,1,1,4106,2250,3367,1,1,1,4326,4115,4448,1,1,1,3077,3583,2750,1,1,1,2422,1699,2551,1,1,1,5527,0,0,10,1,1,5359,0,0,10,1,1,4965,4966,0,1,1,1
30,1845,2021,0,1,1,1,4669,0,0,3,1,1,4568,0,0,3,1,1,3599,3825,2755,1,1,1,3099,3597,3100,1,1,1,4324,4113,4446,1,1,1,3363,3601,3104,1,1,1,2398,2526,2539,1,1,1,5231,0,0,10,1,1,5559,0,0,10,1,1,4968,0,0,1,1,1
31,1915,0,0,1,1,1,4700,4685,0,3,3,1,4603,4600,0,3,3,1,3586,2257,2765,1,1,1,3829,3827,3369,1,1,1,4332,4121,4454,1,1,1,3603,27670,3372,1,1,1,1633,2436,2334,1,1,1,5134,0,0,10,1,1,5409,5346,0,10,10,1,0,0,0,1,1,1
32,2578,0,0,1,1,1,4691,4645,0,3,3,1,4601,4602,0,3,3,1,3605,3835,3118,1,1,1,4456,3377,0,1,1,1,2449,0,0,1,1,1,2763,3120,0,1,1,1,2487,2513,1776,1,1,1,5137,0,0,10,1,1,4790,4837,0,10,10,1,4969,4970,0,1,1,1
33,2462,3837,0,1,1,1,4712,4670,0,3,3,1,4599,0,0,3,1,1,2260,2501,0,1,1,1,2767,3611,1708,1,1,1,2745,2743,2735,1,1,1,3121,3379,3607,1,1,1,2565,2540,2527,1,1,1,5135,5136,5271,10,10,10,4798,5543,0,10,10,1,4971,4972,4975,1,1,1
34,2411,1637,0,1,1,1,4701,4654,0,3,3,1,1969,2166,0,1,1,1,2475,3614,3127,1,1,1,4333,3613,0,1,1,1,2071,2758,1706,1,1,1,2776,3125,3383,1,1,1,2361,2374,2349,1,1,1,5114,0,0,10,1,1,5360,4791,0,10,10,1,4973,4974,4899,1,1,1
35,2023,1847,0,1,1,1,4719,0,0,3,1,1,4556,4579,4583,3,3,3,3386,3619,2786,1,1,1,3844,3841,3843,1,1,1,2123,4231,2078,1,1,1,3397,3131,2779,1,1,1,2552,2386,1778,1,1,1,5139,0,0,10,1,1,5562,4838,4843,10,10,10,4977,0,0,1,1,1
36,1920,1850,0,1,1,1,4686,4724,0,3,3,1,4580,4582,4581,3,3,3,2502,0,0,1,1,1,3616,4130,4132,1,1,1,4337,4465,4349,1,1,1,2778,3140,3399,1,1,1,2335,2437,0,1,1,1,5142,0,0,10,1,1,4807,4814,0,10,10,1,4978,4979,5032,1,1,1
37,2026,2579,0,1,1,1,4677,0,0,3,1,1,2169,0,0,1,1,1,2268,0,0,1,1,1,3402,2788,27641,1,1,1,4349,4339,4343,1,1,1,2804,3849,3404,1,1,1,1639,0,0,1,1,1,5144,0,0,10,1,1,4840,0,0,10,1,1,4980,5033,4902,1,1,1
38,1855,0,0,1,1,1,4663,4702,0,3,3,1,1971,0,0,1,1,1,3622,2812,0,1,1,1,3851,3625,3405,1,1,1,4143,4135,4145,1,1,1,2805,3144,3621,1,1,1,2528,1643,2554,1,1,1,5141,0,0,10,1,1,4793,0,0,10,1,1,4982,4983,5034,1,1,1
39,3870,0,0,1,1,1,4687,4692,0,3,3,1,1976,1974,1978,1,1,1,3628,3149,3854,1,1,1,3860,3165,4482,1,1,1,4243,4241,4468,1,1,1,2806,2810,3411,1,1,1,1781,1711,2425,1,1,1,5168,0,0,10,1,1,4844,4841,0,10,10,1,5035,4985,0,1,1,1
40,1925,2464,2580,1,1,1,4747,4733,6143,3,3,3,4567,0,0,3,1,1,3142,2802,2476,1,1,1,3639,3856,0,1,1,1,4239,4472,4147,1,1,1,2808,3408,2814,1,1,1,2400,1786,2439,1,1,1,5525,5526,0,10,10,1,4842,0,0,10,1,1,4987,5036,0,1,1,1
41,1650,0,0,1,1,1,4646,0,0,3,1,1,0,0,0,1,1,1,3858,2817,3623,1,1,1,3416,3426,3423,1,1,1,2125,4480,4247,1,1,1,3413,3162,3640,1,1,1,2516,2490,0,1,1,1,5145,0,0,10,1,1,4845,0,0,10,1,1,5037,4903,0,1,1,1
42,2030,0,0,1,1,1,4671,0,0,3,1,1,2174,0,0,1,1,1,3861,2819,2827,1,1,1,3871,2270,0,1,1,1,2798,2790,1716,1,1,1,3415,3425,3176,1,1,1,2388,1723,2426,1,1,1,5272,0,0,10,1,1,6146,5564,0,10,10,1,4990,4991,0,1,1,1
43,2413,2581,0,1,1,1,4720,0,0,3,1,1,4553,0,0,3,1,1,3642,2503,3431,1,1,1,3177,4360,3660,1,1,1,2452,2094,4255,1,1,1,3647,3427,2835,1,1,1,1659,2555,2529,1,1,1,5115,0,0,10,1,1,4815,0,0,10,1,1,4992,4993,4904,1,1,1
44,1862,2039,0,1,1,1,4693,4679,0,3,3,1,4608,0,0,3,1,1,2830,2279,3180,1,1,1,3653,3447,3668,1,1,1,4497,2834,2130,1,1,1,3187,2852,3442,1,1,1,2440,2543,2338,1,1,1,5143,0,0,10,1,1,5536,0,0,10,1,1,4994,4995,0,1,1,1
45,2287,1932,2465,1,1,1,4664,4703,0,3,3,1,1983,4604,4607,1,3,3,3883,3183,3669,1,1,1,2862,3457,3909,1,1,1,4363,2878,4501,1,1,1,3456,2882,3454,1,1,1,1801,2364,2491,1,1,1,5140,0,0,10,1,1,5054,0,0,10,1,1,4996,4999,5038,1,1,1
46,1937,0,0,1,1,1,4655,0,0,3,1,1,4606,4605,4569,3,3,3,2859,3887,0,1,1,1,3885,3471,0,1,1,1,2870,4367,0,1,1,1,2886,3681,3914,1,1,1,2325,2427,2402,1,1,1,5263,0,0,10,1,1,5393,0,0,10,1,1,5000,5001,4907,1,1,1
47,1867,2414,0,1,1,1,4750,0,0,3,1,1,4584,4588,0,3,3,1,2504,0,0,1,1,1,3904,3206,0,1,1,1,4162,4164,4508,1,1,1,3467,2891,3469,1,1,1,2377,0,0,1,1,1,5116,0,0,10,1,1,5414,0,0,10,1,1,5002,5039,4908,1,1,1
48,3908,2582,0,1,1,1,4713,0,0,1,1,1,4587,2189,1987,3,1,1,3670,0,0,1,1,1,4516,2298,0,1,1,1,4369,4168,4156,1,1,1,3211,3473,3696,1,1,1,2530,2556,0,1,1,1,0,0,0,1,1,1,4846,0,0,10,1,1,5005,5041,4909,1,1,1
49,1942,0,0,1,1,1,4694,0,0,3,1,1,4585,0,0,3,1,1,2861,2893,2296,1,1,1,3213,27652,0,1,1,1,4510,4272,2097,1,1,1,2895,3698,0,1,1,1,1663,1733,0,1,1,1,5458,0,0,10,1,1,5055,0,0,10,1,1,5007,5008,5042,1,1,1
50,1872,0,0,1,1,1,4647,4678,4721,3,3,3,2047,0,0,1,1,1,3203,0,0,1,1,1,3916,0,0,1,1,1,2133,4266,4262,1,1,1,3918,3215,3475,1,1,1,1803,0,0,1,1,1,5439,5126,5108,10,10,10,5403,5384,0,10,10,1,5009,5043,5044,1,1,1
51,10604,10610,10634,1,1,1,12845,0,0,3,1,1,10646,10652,0,1,1,1,10684,10712,10719,1,1,1,10740,10873,11965,1,1,1,10640,11018,11955,1,1,1,10782,10838,10929,1,1,1,10598,10622,10628,1,1,1,12531,12553,5109,10,10,10,12597,0,0,10,1,1,12714,12715,12716,1,1,1
52,10605,10611,11911,1,1,1,12861,12866,0,3,3,1,10647,10653,10635,1,1,1,11895,11899,0,1,1,1,11988,11973,10937,1,1,1,10971,11891,12017,1,1,1,10699,10797,10909,1,1,1,11875,11887,11903,1,1,1,12552,5162,0,10,10,1,12883,0,0,10,1,1,12719,12721,12726,1,1,1
53,11927,11935,12014,1,1,1,12850,12853,0,3,3,1,12612,12613,0,3,3,1,10665,0,0,1,1,1,10671,10916,12026,1,1,1,10641,10989,11055,1,1,1,10720,10762,11994,1,1,1,10587,10593,10617,1,1,1,12551,12941,0,10,10,1,12880,0,0,10,1,1,12728,12737,12753,1,1,1
54,10606,10612,12011,1,1,1,12867,0,0,3,1,1,12614,12616,0,3,3,1,10798,10714,11896,1,1,1,10854,12002,11989,1,1,1,10642,10984,11892,1,1,1,10938,10966,11979,1,1,1,10600,10624,10630,1,1,1,12631,12559,5112,10,10,10,12598,12578,0,10,10,1,12738,12739,12743,1,1,1
55,11912,0,0,1,1,1,12890,0,0,1,1,1,10648,10654,0,1,1,1,10666,10679,10749,1,1,1,10763,10833,11967,1,1,1,10660,11002,11020,1,1,1,10868,10889,11957,1,1,1,11872,11884,11908,1,1,1,12555,12554,5161,10,10,10,12585,12885,0,10,10,1,12750,12760,12765,1,1,1
56,10613,10883,11936,1,1,1,12863,0,0,3,1,1,10649,10655,0,1,1,1,10673,10729,10841,1,1,1,10813,10897,12008,1,1,1,11057,11069,12018,1,1,1,11975,11962,12003,1,1,1,11924,11932,11948,1,1,1,12532,13761,0,10,10,1,12638,13764,0,10,10,1,12769,12770,12771,1,1,1
57,11913,12021,0,1,1,1,12859,12869,0,3,3,1,10637,0,0,1,1,1,10708,10764,11901,1,1,1,10701,10869,10960,1,1,1,10661,10967,12030,1,1,1,10806,10911,10932,1,1,1,10625,10631,11889,1,1,1,12556,12632,5117,10,10,10,12887,12639,0,10,10,1,12781,12787,12790,1,1,1
58,10608,10614,10638,1,1,1,12843,12856,0,3,3,1,10650,10656,12623,1,1,3,10688,10716,10751,1,1,1,10772,10926,12024,1,1,1,11022,11052,12706,1,1,1,10758,10898,10884,1,1,1,10590,10602,10620,1,1,1,12539,12560,12942,10,10,10,12586,12642,0,10,10,1,12793,12805,12811,1,1,1
59,11929,11937,12012,1,1,1,12851,0,0,3,1,1,12624,12625,12626,3,3,3,10668,10681,10744,1,1,1,10919,10793,11997,1,1,1,10644,11082,10993,1,1,1,10807,10870,10891,1,1,1,11941,11945,11953,1,1,1,12557,12533,13759,10,10,10,12643,12640,12891,10,10,10,12813,12817,12822,1,1,1
60,10615,10639,11914,1,1,1,12864,12868,0,3,3,1,10657,0,0,1,1,1,10689,10724,10920,1,1,1,10871,10962,11992,1,1,1,12707,10885,11047,1,1,1,10766,10927,11977,1,1,1,10597,10627,11906,1,1,1,12558,5127,13760,10,10,10,13763,12641,13762,10,10,10,12819,12826,12834,1,1,1
61,18036,18037,19516,1,1,1,19808,19811,0,3,3,1,18043,18044,0,1,1,1,18049,18057,19513,1,1,1,18052,18077,19614,1,1,1,18045,18096,18103,1,1,1,18080,19612,19620,1,1,1,18040,19506,19507,1,1,1,19871,5232,19950,10,10,10,19936,19851,19930,10,10,10,20058,0,0,1,1,1
62,18197,19520,19522,1,1,1,19809,19828,19838,3,3,3,18199,18200,19885,1,1,3,18204,18205,18211,1,1,1,18223,18237,18208,1,1,1,18258,18262,18266,1,1,1,18229,18243,18241,1,1,1,19519,19523,19526,1,1,1,19969,20007,0,10,10,1,19850,19861,19881,10,10,10,20095,0,0,1,1,1
63,19728,19729,19731,1,1,1,19816,19822,0,3,3,1,19892,19893,19895,3,3,3,18206,18207,18215,1,1,1,18233,19628,19734,1,1,1,18198,18203,18249,1,1,1,18226,18236,19622,1,1,1,18195,18196,18202,1,1,1,19951,20006,0,10,10,1,19931,19917,19979,10,10,10,20106,20166,0,1,4,1
64,18348,18349,18353,1,1,1,19833,19834,0,3,3,1,19882,19906,0,3,1,1,18365,18369,18363,1,1,1,18387,18381,18399,1,1,1,18414,18415,18421,1,1,1,18370,18391,18397,1,1,1,18345,19529,19535,1,1,1,19872,0,0,10,1,1,19908,19856,19879,10,10,10,20118,20177,0,1,4,1
65,19537,19541,19543,1,1,1,19817,19825,19831,3,3,3,18355,18356,19883,1,1,3,18360,18362,19533,1,1,1,18385,18395,19639,1,1,1,18357,18361,18403,1,1,1,18376,19635,19638,1,1,1,18350,19538,19545,1,1,1,19953,0,0,10,1,1,19863,19853,19864,10,10,10,20130,20182,0,1,4,1
66,18505,18509,19558,1,1,1,19826,19832,19837,3,3,3,19905,0,0,1,1,1,18525,18533,18543,1,1,1,18551,18529,18555,1,1,1,18572,18576,19553,1,1,1,18535,18547,18553,1,1,1,18503,19552,19556,1,1,1,19952,0,0,10,1,1,19870,19855,19867,10,10,10,20134,20188,0,1,4,1
67,19562,19564,19739,1,1,1,19813,19820,19835,3,3,3,18511,18512,19884,1,1,3,18518,18523,19555,1,1,1,18520,19648,19743,1,1,1,18412,18510,18515,1,1,1,18536,18556,19647,1,1,1,18508,19560,19565,1,1,1,19955,0,0,10,1,1,19869,19932,19880,10,10,10,20116,20202,0,1,4,1
68,18660,18661,18665,1,1,1,19807,19821,19823,3,3,3,18667,18668,0,1,1,1,18673,18679,0,1,1,1,18683,18689,18705,1,1,1,18718,18725,18731,1,1,1,18685,18697,18703,1,1,1,18657,18662,18670,1,1,1,19954,0,0,10,1,1,19911,19913,19914,10,10,10,20076,20216,0,1,4,1
69,19748,19750,19751,1,1,1,19814,19819,19829,3,3,3,19888,19890,0,3,3,1,18672,18677,18699,1,1,1,18674,18688,18711,1,1,1,18666,18671,18963,1,1,1,18676,18692,18694,1,1,1,19570,19572,19578,1,1,1,19956,0,0,10,1,1,19854,19989,0,10,10,1,20073,20217,0,1,4,1
70,19579,19583,19585,1,1,1,19824,19827,19830,3,3,3,19886,19887,19889,3,3,3,19575,19576,0,1,1,1,19654,19656,19756,1,1,1,18953,18956,18957,1,1,1,19655,19658,19659,1,1,1,19582,19586,19588,1,1,1,19957,0,0,10,1,1,19933,0,0,10,1,1,20035,20231,0,1,4,1
71,27202,27204,27205,1,1,1,27854,0,0,3,1,1,27765,0,0,1,1,1,25648,27083,25670,1,1,1,25656,25672,27207,1,1,1,25705,25707,25704,1,1,1,27161,27164,27166,1,1,1,27079,27088,27089,1,1,1,27801,27696,0,10,10,1,27816,27820,27683,10,10,10,27412,27519,0,1,4,1
72,25791,25792,0,1,1,1,27855,0,0,3,1,1,27960,0,0,3,1,1,25816,25814,25806,1,1,1,25820,25828,25832,1,1,1,25863,25866,25867,1,1,1,25812,25818,25824,1,1,1,25793,25788,25801,1,1,1,27697,0,0,10,1,1,27825,27684,27824,10,10,10,27433,27523,0,1,4,1
73,25796,25797,0,1,1,1,27858,27859,27857,3,3,3,27767,27770,27769,3,3,3,25805,25807,25813,1,1,1,25810,25815,25838,1,1,1,25800,25802,25860,1,1,1,25827,25839,25845,1,1,1,25795,25803,25804,1,1,1,27968,0,0,10,1,1,27750,27832,0,10,10,1,27460,27532,0,1,4,1
74,25956,27108,27114,1,1,1,27860,27862,27861,3,3,3,25958,25959,27772,1,1,1,25974,26002,25976,1,1,1,25994,26019,27178,1,1,1,25949,25960,25964,1,1,1,25980,27171,27179,1,1,1,25948,25955,27115,1,1,1,27698,0,0,10,1,1,27685,27753,0,10,10,1,27476,27538,0,1,4,1
75,26008,27218,27220,1,1,1,27863,27864,27865,3,3,3,27775,27957,0,1,3,1,25965,25967,27105,1,1,1,25985,26018,25969,1,1,1,27103,27212,26023,1,1,1,25993,25997,25979,1,1,1,27100,27106,27102,1,1,1,27699,0,0,10,1,1,27834,27829,27826,10,10,10,27478,27545,0,1,4,1
