#,Icon,Name,FATE,Map,PlaceName
152,84092,352,0,17,168
153,84093,91,0,4,72
154,84211,868,357,20,245
155,84212,51,126,4,69
156,84094,1836,0,30,238
157,84095,360,0,18,172
158,84096,69,0,5,77
159,84213,884,436,23,257
160,84214,1508,446,24,258
161,84097,29,0,7,86
162,84098,166,0,5,77
163,84099,565,0,18,172
164,84215,885,455,23,257
165,84216,871,374,21,248
166,84100,285,0,23,257
167,84101,787,0,53,382
168,84102,55,0,4,71
169,84217,1431,480,53,383
170,84218,1525,589,30,176
171,84103,132,0,23,257
172,84104,371,0,30,176
173,84086,1823,0,17,169
174,84219,1505,423,23,255
175,84220,878,407,22,252
176,84106,1833,0,30,238
177,84107,1612,0,53,380
178,84108,793,0,25,410
179,84221,1610,530,25,409
180,84222,1521,329,19,177
181,84109,165,0,5,77
182,84110,1840,0,23,320
183,84111,1813,0,25,409
184,84223,872,376,21,248
185,84224,1427,463,53,380
186,84112,233,0,5,76
187,84113,1852,0,18,173
188,84114,45,0,6,80
189,84225,1662,609,5,76
190,84226,1530,493,53,383
191,84115,112,0,6,82
192,84116,560,0,17,167
193,84117,662,0,53,380
194,84227,1429,475,53,381
195,84228,1428,464,53,380
196,84118,1832,0,30,238
197,84119,103,0,7,86
198,84120,414,0,19,177
199,84229,1664,616,5,77
200,84230,1441,516,25,409
201,84121,1839,0,23,320
202,84122,207,0,4,71
203,84123,170,0,6,80
204,84231,2354,558,23,320
205,84232,1668,632,7,86
206,84124,290,0,23,257
207,84125,341,0,17,167
208,84135,1846,0,53,393
209,84233,882,456,23,254
210,84234,877,401,22,250
211,84127,1815,0,20,246
212,84128,68,0,5,77
213,84129,1828,0,18,363
214,84235,1517,564,17,168
215,84236,2367,692,5,77
216,84130,389,0,18,172
217,84131,407,0,30,175
218,84135,1846,0,53,393
219,84237,1443,525,25,410
220,84238,1509,450,24,259
221,84133,114,0,53,380
222,84134,27,0,25,409
223,84126,264,0,23,257
224,84239,451,169,6,79
225,84240,1520,323,19,174
226,84136,15,0,6,82
227,84137,651,0,25,409
228,84138,659,0,53,380
229,84241,1666,622,5,77
230,84242,1515,561,17,168
231,84139,411,0,17,168
232,84140,1818,0,20,246
233,84141,1182,0,53,381
234,84243,861,306,18,170
235,84244,449,150,5,74
236,84142,174,0,7,86
237,84143,245,0,23,255
238,84132,412,0,30,175
239,84245,1523,581,30,175
240,84246,446,125,4,71
241,84145,377,0,30,176
242,84146,794,0,53,381
243,84144,237,0,5,76
244,84247,1503,542,22,253
245,84248,1437,0,53,393
246,84106,1833,0,30,238
247,84065,1853,0,18,173
248,84005,653,0,53,382
249,84249,1529,577,18,173
250,84250,860,295,18,170
251,84256,2919,0,4,0
252,84257,2920,0,5,0
253,84258,2921,0,6,0
254,84259,2922,0,7,0
255,84260,2923,0,20,0
256,84261,2924,0,21,0
257,84262,2925,0,22,0
258,84263,2926,0,23,0
259,84264,2927,0,24,0
260,84265,2928,0,15,0
261,84266,2929,0,16,0
262,84267,2930,0,17,0
263,84268,2931,0,18,0
264,84269,2932,0,19,0
265,84270,2933,0,30,0
266,84271,2934,0,53,0
267,84272,2935,0,25,0
268,84276,3470,0,211,2201
269,84277,3471,0,211,2201
270,84278,3472,0,211,2201
271,84279,3473,0,211,2201
272,84280,3474,0,211,2201
273,84281,3475,0,211,2201
274,84282,3476,0,211,2223
275,84283,3494,0,215,2102
276,84284,3495,0,215,2102
277,84285,3496,0,215,2103
278,84286,3497,0,215,2103
279,84287,3498,0,215,2103
280,84288,3499,0,215,2103
281,84289,3485,0,211,2202
282,84290,3479,0,211,2202
283,84291,3480,0,211,2202
284,84292,3481,0,211,2202
285,84293,3484,0,211,2202
286,84294,3482,0,211,2202
287,84295,3483,0,211,2203
288,84296,3500,0,215,2104
289,84297,3501,0,215,2104
290,84298,3502,0,215,2104
291,84299,3503,0,215,2104
292,84300,3563,0,212,2003
293,84301,3564,0,212,2003
294,84302,3565,0,212,2003
295,84303,3566,0,212,2019
296,84304,3567,0,212,2004
297,84305,3568,0,212,2004
298,84306,3569,0,212,2004
299,84307,3571,0,212,2004
300,84308,3572,0,212,2004
301,84309,3576,0,212,2006
302,84310,3577,0,212,2006
303,84311,3578,0,212,2006
304,84312,3579,0,212,2007
305,84313,3580,0,216,2112
306,84314,3581,0,212,2008
307,84315,3582,0,212,2008
308,84316,3613,0,214,2013
309,84317,3614,0,214,2013
310,84318,3615,0,214,2044
311,84319,3616,0,214,2014
312,84320,3617,0,214,2014
313,84321,3618,0,214,2015
314,84322,3619,0,214,2015
315,84323,3621,0,214,2016
316,84324,3622,0,214,2016
317,84325,3623,0,214,2016
318,84326,3624,0,214,2047
319,84327,3625,0,214,2016
320,84328,3626,0,214,2043
321,84329,3627,0,214,2013
322,84330,3487,0,211,2210
323,84331,3504,0,215,2152
324,84332,3505,0,215,2152
325,84333,3506,0,215,2152
326,84334,3629,0,214,2016
327,84335,3630,0,214,2049
328,84336,3631,0,214,2017
329,84337,3604,0,213,2052
330,84338,3509,0,215,2105
331,84339,3510,0,215,2105
332,84340,3511,0,215,2105
333,84341,3512,0,215,2105
334,84342,3513,0,215,2126
335,84343,3586,0,212,2019
336,84344,3590,0,212,2005
337,84345,3591,0,212,2005
338,84346,3592,0,212,2005
339,84347,3603,0,213,2052
340,84348,3508,0,213,2052
341,84349,3605,0,213,2052
342,84350,3593,0,213,2009
343,84351,3594,0,213,2009
344,84352,3595,0,213,2009
345,84353,3596,0,213,2009
346,84354,3597,0,213,2009
347,84355,3598,0,213,2009
348,84356,3599,0,213,2009
349,84357,3600,0,213,2009
350,84358,3601,0,213,2009
351,84359,3602,0,213,2009
352,84360,3523,0,215,2129
353,84361,3524,0,215,2106
354,84362,3525,0,215,2106
355,84363,3532,0,216,2109
356,84364,3533,0,216,2109
357,84365,3534,0,216,2109
358,84366,3535,0,216,2109
359,84367,3536,0,216,2109
360,84368,3538,0,216,2110
361,84369,3539,0,216,2110
362,84370,3540,0,216,2110
363,84371,3541,0,216,2137
364,84372,3542,0,216,2110
365,84373,3543,0,216,2110
366,84374,3544,0,216,2110
367,84375,3554,0,216,2112
368,84376,3555,0,212,2008
369,84377,3556,0,216,2112
370,84378,3557,0,216,2112
371,84379,3537,0,216,2109
372,84380,3558,0,216,2112
373,84381,3607,0,213,2035
374,84382,3608,0,213,2011
375,84383,3609,0,213,2011
376,84384,3610,0,213,2035
377,84385,3611,0,213,2035
378,84386,3612,0,213,2037
379,84388,4350,0,211,0
380,84389,4351,0,211,0
381,84390,4352,0,212,0
382,84391,4353,0,212,0
383,84392,4354,0,213,0
384,84393,4355,0,213,0
385,84394,4356,0,214,0
386,84395,4357,0,214,0
387,84396,4358,0,215,0
388,84397,4359,0,215,0
389,84398,4360,0,216,0
390,84399,4361,0,216,0
391,84401,5676,0,367,2600
392,84402,5671,0,367,2600
393,84403,5675,0,367,2600
394,84404,5680,0,367,2626
395,84405,5679,0,367,2631
396,84406,5677,0,367,2602
397,84407,5674,0,367,2602
398,84408,5678,0,367,2602
399,84409,5701,0,368,2604
400,84410,5703,0,368,2641
401,84411,5702,0,368,2604
402,84412,5683,0,367,2600
403,84413,5687,0,367,2600
404,84414,5686,0,367,2621
405,84415,5685,0,367,2621
406,84416,5705,0,368,2605
407,84417,5708,0,368,2605
408,84418,5707,0,368,2652
409,84419,5736,0,371,2771
410,84420,5738,0,371,2750
411,84421,5735,0,371,2767
412,84422,5740,0,371,2750
413,84423,5742,0,371,2762
414,84424,5737,0,371,2766
415,84425,5734,0,371,2750
416,84426,5739,0,371,2773
417,84427,5733,0,371,2766
418,84428,5750,0,371,2783
419,84429,5751,0,371,2783
420,84430,5746,0,371,2786
421,84431,5743,0,371,2786
422,84432,5744,0,371,2786
423,84433,5745,0,371,2786
424,84434,5763,0,354,2752
425,84435,5757,0,354,2752
426,84436,5762,0,354,2753
427,84437,5752,0,354,2753
428,84438,5753,0,354,2753
429,84439,5754,0,354,2753
430,84440,5764,0,354,2753
431,84441,5755,0,354,2753
432,84442,5765,0,354,2799
433,84443,5761,0,354,2753
434,84444,5778,0,372,2834
435,84445,5777,0,372,2757
436,84446,5775,0,372,2757
437,84447,5779,0,372,2829
438,84448,5781,0,372,2757
439,84449,5780,0,372,2756
440,84450,5776,0,372,2756
441,84451,5773,0,372,2756
442,84452,5782,0,372,2835
443,84453,5785,0,372,2759
444,84454,5788,0,372,2759
445,84455,5783,0,372,2759
446,84456,5693,0,367,2603
447,84457,5697,0,367,2603
448,84458,5689,0,367,2636
449,84459,5690,0,367,2636
450,84460,5691,0,367,2636
451,84461,5688,0,367,2636
452,84462,5769,0,354,2807
453,84463,5768,0,354,2808
454,84483,5714,0,368,2606
455,84464,5715,0,368,2606
456,84465,5711,0,368,2662
457,84466,5712,0,368,2607
458,84467,5713,0,368,2607
459,84468,5727,0,369,2692
460,84469,5728,0,369,2702
461,84470,5725,0,369,2611
462,84471,5716,0,369,2608
463,84472,5724,0,369,2609
464,84473,5720,0,369,2609
465,84474,5726,0,369,2609
466,84475,5730,0,369,2609
467,84476,5717,0,369,2609
468,84477,5721,0,369,2608
469,84478,5722,0,369,2690
470,84479,5719,0,369,2609
471,84480,5729,0,369,2681
472,84481,5732,0,369,2699
473,84482,5723,0,369,2608
474,84485,6008,0,367,0
475,84486,6009,0,367,0
476,84487,6010,0,368,0
477,84488,6011,0,368,0
478,84489,6012,0,369,0
479,84490,6013,0,369,0
480,84491,6002,0,371,0
481,84492,6003,0,371,0
482,84493,6004,0,354,0
483,84494,6005,0,354,0
484,84495,6006,0,372,0
485,84496,6007,0,372,0
486,84501,8518,0,492,3074
487,84502,8523,0,492,3070
488,84503,8525,0,492,3071
489,84504,8532,0,492,3071
490,84505,8533,0,492,3084
491,84506,8534,0,492,3071
492,84507,8536,0,492,3070
493,84508,8539,0,492,3093
494,84509,8542,0,492,3070
495,84510,8547,0,493,3115
496,84511,8550,0,493,3115
497,84512,8556,0,493,3115
498,84513,8558,0,493,3115
499,84514,8562,0,493,3115
500,84515,8498,0,491,3038
501,84516,8502,0,491,3036
502,84517,8503,0,491,3058
503,84518,8504,0,491,3036
504,84519,8505,0,491,3049
505,84520,8507,0,491,3036
506,84521,8508,0,491,3036
507,84522,8786,0,491,3067
508,84523,8511,0,491,3038
509,84524,8514,0,491,3038
510,84525,8515,0,491,3038
511,84526,8569,0,494,3144
512,84527,8155,0,494,3144
513,84528,8576,0,494,3144
514,84529,8581,0,494,3144
515,84530,8585,0,494,3144
516,84531,8590,0,494,3144
517,84532,8574,0,494,3160
518,84533,8575,0,494,3164
519,84534,8577,0,494,3146
520,84535,8578,0,494,3146
521,84536,8582,0,494,3146
522,84537,8583,0,494,3356
523,84538,8584,0,494,3146
524,84539,8586,0,494,3146
525,84540,8587,0,494,3146
526,84541,8596,0,495,3165
527,84542,8603,0,495,3167
528,84543,8604,0,495,3166
529,84544,8609,0,495,3165
530,84545,8611,0,495,3165
531,84546,8614,0,495,3190
532,84547,8597,0,495,3167
533,84548,8598,0,495,3185
534,84549,8599,0,495,3185
535,84550,8600,0,495,3165
536,84551,8601,0,495,3190
537,84552,8789,0,495,3168
538,84553,8606,0,495,3167
539,84554,8610,0,495,3373
540,84555,8612,0,495,3183
541,84556,8616,0,495,3167
542,84557,8545,0,493,3136
543,84558,8557,0,493,3117
544,84559,8559,0,493,3138
545,84560,8561,0,493,3117
546,84561,8565,0,493,3117
547,84562,8566,0,493,3132
548,84563,8544,0,493,3139
549,84564,8563,0,493,3118
550,84565,8567,0,493,3118
551,84566,8517,0,492,3073
552,84567,8520,0,492,3072
553,84568,8522,0,492,3112
554,84569,8524,0,492,3072
555,84570,8527,0,492,3072
556,84571,8528,0,492,3073
557,84572,8529,0,492,3072
558,84573,8538,0,492,3072
559,84574,8540,0,492,3072
560,84575,8541,0,492,3072
561,84576,8618,0,496,3192
562,84577,8619,0,496,3192
563,84578,8622,0,496,3369
564,84579,8623,0,496,3192
565,84580,8621,0,496,3194
566,84581,8625,0,496,3192
567,84582,8626,0,496,3192
568,84583,8629,0,496,3192
569,84584,8631,0,496,3199
570,84585,8630,0,496,3192
571,84587,8908,0,491,0
572,84588,8909,0,491,0
573,84589,8913,0,492,0
574,84590,8914,0,492,0
575,84591,8903,0,493,0
576,84592,8904,0,493,0
577,84593,8656,0,494,0
578,84594,8657,0,494,0
579,84595,8893,0,495,0
580,84596,8894,0,495,0
581,84597,8898,0,496,0
582,84598,8899,0,496,0
583,84601,10668,0,695,3839
584,84602,10670,0,695,3829
585,84603,10672,0,695,3836
586,84604,10677,0,695,3829
587,84605,10683,0,695,3838
588,84606,10697,0,696,3885
589,84607,10699,0,696,3879
590,84608,10700,0,696,3879
591,84609,10705,0,696,3879
592,84610,10712,0,696,3888
593,84611,10715,0,696,3879
594,84612,10669,0,695,3841
595,84613,10673,0,695,3841
596,84614,10674,0,695,3847
597,84615,10678,0,695,3841
598,84616,10679,0,695,3841
599,84617,10698,0,696,3885
600,84618,10704,0,696,3885
601,84619,10706,0,696,3885
602,84620,10709,0,696,3885
603,84621,10711,0,696,3885
604,84622,10716,0,696,3885
605,84623,10656,0,697,3907
606,84624,10657,0,697,3902
607,84625,10658,0,697,3910
608,84626,10659,0,697,3902
609,84627,10660,0,697,3913
610,84628,10661,0,697,3909
611,84629,10662,0,697,3907
612,84630,10663,0,697,3902
613,84631,10664,0,697,3902
614,84632,10648,0,697,3917
615,84633,10649,0,697,3917
616,84634,10650,0,697,3912
617,84635,10651,0,697,3917
618,84636,10652,0,697,3911
619,84637,10653,0,697,3917
620,84638,10654,0,697,3917
621,84639,10655,0,697,3912
622,84640,10460,0,698,3949
623,84641,10461,0,698,3961
624,84642,10462,0,698,3955
625,84643,10464,0,698,3951
626,84644,10465,0,698,3953
627,84645,10467,0,698,3949
628,84646,10469,0,698,3952
629,84647,10473,0,698,3965
630,84648,10474,0,698,3965
631,84649,10475,0,698,3965
632,84650,10458,0,698,3958
633,84651,10459,0,698,3960
634,84652,10463,0,698,3958
635,84653,10468,0,698,3962
636,84654,10470,0,698,3968
637,84655,10471,0,698,3959
638,84656,10476,0,698,3968
639,84657,10477,0,698,3969
640,84658,10701,0,696,3895
641,84659,10702,0,696,3892
642,84660,10703,0,696,3892
643,84661,10707,0,696,3892
644,84662,10713,0,696,3892
645,84663,10590,0,700,3927
646,84664,10591,0,700,3925
647,84665,10592,0,700,3925
648,84666,10594,0,700,3929
649,84667,10595,0,700,3925
650,84668,10597,0,700,3925
651,84669,10602,0,700,3945
652,84670,10607,0,700,3929
653,84671,10609,0,700,3941
654,84672,10596,0,700,3934
655,84673,10599,0,700,3947
656,84674,10600,0,700,3941
657,84675,10601,0,700,3946
658,84676,10603,0,700,3945
659,84677,10606,0,700,3945
660,84678,10608,0,700,3934
661,84679,10610,0,700,3934
662,84680,10611,0,700,3947
663,84681,10419,0,699,3981
664,84682,10420,0,699,3975
665,84683,10421,0,699,3981
666,84684,10422,0,699,3981
667,84685,10423,0,699,3985
668,84686,10424,0,699,3981
669,84687,10427,0,699,3970
670,84688,10430,0,699,3970
671,84689,10435,0,699,3975
672,84691,10635,0,695,0
673,84692,10636,0,695,0
674,84693,10637,0,696,0
675,84694,10638,0,696,0
676,84695,10639,0,697,0
677,84696,10640,0,697,0
678,84697,10641,0,698,0
679,84698,10642,0,698,0
680,84699,10643,0,700,0
681,84700,10644,0,700,0
682,84701,10645,0,699,0
683,84702,10646,0,699,0
684,84706,13079,0,857,4545
685,84707,13080,0,857,4546
686,84708,13081,0,857,4547
687,84709,13082,0,857,4545
688,84710,13083,0,857,4546
689,84711,13084,0,857,4568
690,84712,13085,0,857,4548
691,84713,13086,0,857,4545
692,84714,13087,0,857,4545
693,84715,13088,0,857,4545
694,84716,13089,0,857,4545
695,84717,13090,0,857,4546
696,84718,13091,0,857,4546
697,84719,13092,0,857,4546
698,84720,13093,0,857,4547
699,84721,13094,0,857,4548
700,84722,13095,0,857,4565
701,84723,13096,0,857,4564
702,84724,13097,0,857,4573
703,84725,13098,0,857,4547
704,84726,12943,0,858,4606
705,84727,12930,0,858,4575
706,84728,12944,0,858,4580
707,84729,12931,0,858,4575
708,84730,12939,0,858,4578
709,84731,12932,0,858,4575
710,84732,12933,0,858,4575
711,84733,12934,0,858,4576
712,84734,12935,0,858,4584
713,84735,12936,0,858,4575
714,84736,12937,0,858,4577
715,84737,12940,0,858,4578
716,84738,12941,0,858,4578
717,84739,12942,0,858,4578
718,84740,12945,0,858,4580
719,84741,12946,0,858,4580
720,84742,12947,0,858,4581
721,84743,12948,0,858,4579
722,84744,12949,0,858,4579
723,84745,12950,0,858,4600
724,84746,12951,0,858,4581
725,84747,12952,0,858,4581
726,84748,12938,0,858,4576
727,84749,12953,0,859,4608
728,84750,12964,0,859,4611
729,84751,12954,0,859,4608
730,84752,12965,0,859,4610
731,84753,12966,0,859,4611
732,84754,12956,0,859,4608
733,84755,12957,0,859,4608
734,84756,12958,0,859,4608
735,84757,12959,0,859,4620
736,84758,12960,0,859,4609
737,84759,12961,0,859,4609
738,84760,12962,0,859,4609
739,84761,12967,0,859,4610
740,84762,12969,0,859,4611
741,84763,12970,0,859,4610
742,84764,12971,0,859,4611
743,84765,12955,0,859,4608
744,84766,12972,0,860,4656
745,84767,12989,0,860,4657
746,84768,12975,0,860,4658
747,84769,12990,0,860,4658
748,84770,12991,0,860,4657
749,84771,12992,0,860,4656
750,84772,12976,0,860,4656
751,84773,12993,0,860,4657
752,84774,12994,0,860,4657
753,84775,12995,0,860,4657
754,84776,12996,0,860,4656
755,84777,12977,0,860,4661
756,84778,12978,0,860,4661
757,84779,12997,0,860,4658
758,84780,12986,0,860,4673
759,84781,12987,0,860,4658
760,84782,12988,0,860,4656
761,84783,13101,0,861,4674
762,84784,13102,0,861,4682
763,84785,13103,0,861,4675
764,84786,13104,0,861,4675
765,84787,13105,0,861,4676
766,84788,13106,0,861,4676
767,84789,13107,0,861,4676
768,84790,13108,0,861,4676
769,84791,13109,0,861,4674
770,84792,13110,0,861,4676
771,84793,13111,0,861,4680
772,84794,13112,0,861,4674
773,84795,13113,0,861,4674
774,84796,13114,0,861,4692
775,84797,13115,0,861,4675
776,84798,13116,0,861,4674
777,84799,13117,0,861,4674
778,84800,13118,0,862,4697
779,84801,13119,0,862,4697
780,84802,13120,0,862,4697
781,84803,13121,0,862,4697
782,84804,13122,0,862,4703
783,84805,13124,0,862,4696
784,84806,13125,0,862,4696
785,84807,13127,0,862,4711
786,84808,13129,0,862,4724
787,84809,13130,0,862,4722
788,84810,13131,0,862,4719
789,84811,13132,0,862,4723
790,84812,13133,0,862,4699
791,84813,13136,0,862,4714
792,84814,13137,0,862,4714
793,84815,13138,0,862,4717
794,84816,13139,0,862,4714
795,84821,13144,0,857,0
796,84822,13145,0,857,0
797,84823,13146,0,858,0
798,84824,13147,0,858,0
799,84825,13148,0,859,0
800,84826,13149,0,859,0
801,84827,13150,0,860,0
802,84828,13151,0,860,0
803,84829,13152,0,861,0
804,84830,13153,0,861,0
805,84831,13154,0,862,0
806,84832,13155,0,862,0
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,0,0,0
