#,PercentOfLevelLow,PercentOfLevelMid,PercentOfLevelHigh
4.76,12,12,12
4.77,12,12,12
4.78,12,12,12
4.79,12,12,12
4.80,12,12,12
4.81,12,12,12
4.82,12,12,12
4.83,12,12,12
4.84,12,12,12
4.85,12,12,12
4.86,12,12,12
4.87,12,12,12
4.88,12,12,12
4.89,12,12,12
4.90,12,12,12
4.91,12,12,12
4.92,12,12,12
4.93,12,12,12
4.94,12,12,12
4.95,12,12,12
4.96,12,12,12
4.97,12,12,12
4.98,12,12,12
4.99,12,12,12
5.70,12,12,12
5.71,12,12,12
5.72,12,12,12
5.73,12,12,12
5.74,12,12,12
5.75,12,12,12
5.76,12,12,12
5.77,12,12,12
5.78,12,12,12
5.79,12,12,12
5.80,12,12,12
5.81,12,12,12
5.82,12,12,12
5.83,12,12,12
5.84,12,12,12
5.85,12,12,12
5.86,12,12,12
5.87,12,12,12
5.88,12,12,12
5.89,12,12,12
5.90,12,12,12
5.91,12,12,12
5.92,12,12,12
5.93,12,12,12
5.94,12,12,12
5.95,12,12,12
5.96,12,12,12
5.97,12,12,12
5.98,12,12,12
5.99,12,12,12
6.70,12,12,12
6.71,12,12,12
6.72,12,12,12
6.73,12,12,12
6.74,12,12,12
6.75,12,12,12
6.76,12,12,12
6.77,12,12,12
6.78,12,12,12
6.79,12,12,12
6.80,12,12,12
6.81,12,12,12
6.82,12,12,12
6.83,12,12,12
6.84,12,12,12
6.85,12,12,12
6.86,12,12,12
6.87,12,12,12
6.88,12,12,12
6.89,12,12,12
6.90,12,12,12
6.91,12,12,12
6.92,12,12,12
6.93,12,12,12
6.94,12,12,12
6.95,12,12,12
6.96,12,12,12
6.97,12,12,12
6.98,12,12,12
6.99,12,12,12
7.70,12,12,12
7.71,12,12,12
7.72,12,12,12
7.73,12,12,12
7.74,12,12,12
7.75,12,12,12
7.76,12,12,12
7.77,12,12,12
7.78,12,12,12
7.79,12,12,12
7.80,12,12,12
7.81,12,12,12
7.82,12,12,12
7.83,12,12,12
7.84,12,12,12
7.85,12,12,12
7.86,12,12,12
7.87,12,12,12
7.88,12,12,12
7.89,12,12,12
7.90,12,12,12
7.91,12,12,12
7.92,12,12,12
7.93,12,12,12
7.94,12,12,12
7.95,12,12,12
7.96,12,12,12
7.97,12,12,12
7.98,12,12,12
7.99,12,12,12
8.80,12,12,12
8.81,12,12,12
8.82,12,12,12
8.83,12,12,12
8.84,12,12,12
8.85,12,12,12
8.86,12,12,12
8.87,12,12,12
8.88,12,12,12
8.89,12,12,12
8.90,12,12,12
8.91,12,12,12
8.92,12,12,12
8.93,12,12,12
8.94,12,12,12
8.95,12,12,12
8.96,12,12,12
8.97,12,12,12
8.98,12,12,12
8.99,12,12,12
9.80,12,12,12
9.81,12,12,12
9.82,12,12,12
9.83,12,12,12
9.84,12,12,12
9.85,12,12,12
9.86,12,12,12
9.87,12,12,12
9.88,12,12,12
9.89,12,12,12
9.90,12,12,12
9.91,12,12,12
9.92,12,12,12
9.93,12,12,12
9.94,12,12,12
9.95,12,12,12
9.96,12,12,12
9.97,12,12,12
9.98,12,12,12
9.99,12,12,12
10.80,12,12,12
10.81,12,12,12
10.82,12,12,12
10.83,12,12,12
10.84,12,12,12
10.85,12,12,12
10.86,12,12,12
10.87,12,12,12
10.88,12,12,12
10.89,12,12,12
10.90,12,12,12
10.91,12,12,12
10.92,12,12,12
10.93,12,12,12
10.94,12,12,12
10.95,12,12,12
10.96,12,12,12
10.97,12,12,12
10.98,12,12,12
10.99,12,12,12
11.90,12,12,12
11.91,12,12,12
11.92,12,12,12
11.93,12,12,12
11.94,12,12,12
11.95,12,12,12
11.96,12,12,12
11.97,12,12,12
11.98,12,12,12
11.99,12,12,12
12.90,12,12,12
12.91,12,12,12
12.92,12,12,12
12.93,12,12,12
12.94,12,12,12
12.95,12,12,12
12.96,12,12,12
12.97,12,12,12
12.98,12,12,12
12.99,12,12,12
