#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,Unknown0,Unknown1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown8
11,Trampled under Hoof,"Though it may seem no more than a rather large and unsightly bovine at first glance, the eale is in fact one of the deadliest creatures at the Empire's command. It also has an extraordinarily high threshold for pain, and is not afraid to dish out a fair share in return.",8377121,8511901,69484,0,0,0,0,0,0,1,2,24,20,0,0,True
12,And the Flames Went Higher,"Of all the mages assigned to the IVth Legion, Sartauvoir quo Soranus is one of the most experienced...and most sadistic. The Bozjan southern front has provided him with the perfect arena to demonstrate his remarkable control of flame and take part in his favorite pastime: burning people alive.",8374538,8511905,69484,0,0,0,0,0,0,2,3,1,20,0,3,True
13,Metal Fox Chaos,"While Sicinius mal Vellutus is known for restoring ancient machinery, he is not one to snub more recent technological advancements. One such example is the Dáinsleif, an impressive nine-tailed warmachina that resembles a fox in appearance and animalistic cunning.",8367337,8511910,69484,0,0,0,0,0,0,1,1,48,20,0,0,True
14,Rise of the Robots,"Sicinius mal Vellutus's apparent obsession with perfecting his series of constructs has given rise to his most dangerous creation yet. If you were to reduce this mechanical fiend to scrap metal, perhaps it would discourage your imperial adversary from any further dabbling. Or perhaps not.",8377886,8511912,69484,0,0,0,0,0,0,1,1,48,20,0,0,True
15,Where Strode the Behemoth,"Chlevnik is the result of experimental combat drugs being used on the corpse of a behemoth, forcing it back to life. Racked with agony, it seeks to exact its revenge on mankind for the terrible fate that has befallen it.",8367328,8511913,69484,0,0,0,0,0,0,1,5,48,20,0,0,True
16,The Battle of Castrum Lacus Litore,"At long last, the enemy stronghold is but a stone's throw away. With your Resistance comrades at your side, all that remains is the final assault.",0,0,69487,9626,0,0,0,0,0,4,6,48,20,1,0,True
17,On Serpents' Wings,A cadre of mages has summoned a knot of winged serpents to bar the Resistance's path. You must see their plans unraveled if you mean to overcome the IVth Legion.,8664684,8664761,69620,0,0,0,0,0,0,3,2,48,20,0,0,True
18,Feeling the Burn,"Heavily inspired by the technological marvel of the helldivers, the imperials have launched their latest prototype, the blackburn, in a desperate attempt to extinguish the Resistance's hopes of victory.",8664685,8664762,69629,0,0,0,0,0,0,1,1,48,20,0,0,True
19,The Broken Blade,"Dabog has been reforged into a foul new weapon, a creature malformed beyond recognition. This thinking, unfeeling biological weapon has but a singular purpose...",8664686,8664763,69620,0,0,0,0,0,0,2,3,1,20,0,4,True
20,From Beyond the Grave,"For the IVth Legion Zealots, death is a small price to pay to bring ruin to their enemies. A price they paid quite willingly to summon forth the dread spirit Shemhazai.",8664687,8664764,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
21,With Diremite and Main,The IVth Legion's beastmasters have a penchant for collecting the most fearsome creatures known to the realm. And now they have unleashed their prized catch from the Burn to turn back the Resistance.,8664688,8664765,69620,0,0,0,0,0,0,1,4,48,20,0,0,True
22,Here Comes the Cavalry,The IVth Legion's reinforcements have arrived in the form of unmanned magitek horsemen. They must be stopped if the Resistance is to advance.,8664689,8664766,69628,0,0,0,0,0,0,3,7,48,20,0,0,True
23,Head of the Snake,"You at last stand face-to-face with Menenius sas Lanatus, commanding officer of the IVth Legion's forces in Bozja. Defeat him, and you may deal the heaviest of blows to the imperials' morale.",8664690,8664767,69628,0,0,0,0,0,0,2,3,1,20,0,5,True
24,There Would Be Blood,"An imperial mage detachment has called down Hanbi, bringer of ruin, to expunge the Resistance from the plateaus of Zadnor. This otherworldly being demands a tribute of blood, and its thirst is insatiable.",8664691,8664768,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
25,Never Cry Wolf,"The mighty Hrodvitnir descends upon the battlefield, a beast of legend known to leave naught but icy ruin in its wake. Can the Resistance escape the grip of its gelid jaws?",8664692,8664769,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
26,Time to Burn,"A creature of flame, thought to exist outside the boundaries of time, this 4th-make Belias is bound to the IVth Legion's mages, and it is compelled now to reduce the Resistance to ashes.",8664693,8664770,69628,0,0,0,0,0,0,1,8,48,20,0,0,True
27,"Lean, Mean, Magitek Machines","Sicinius has a near-limitless supply of mechanical horrors to assail the Resistance, and it is clear he spared no effort in building this latest entourage of magitek weapons to bar their path.",8664694,8664771,69629,0,0,0,0,0,0,3,1,48,20,0,0,True
28,Worn to a Shadow,"The IVth Legion has grown woefully desperate to unleash this beast upon the Resistance. It is said the alkonost casts no shadow until it has killed a man and claims theirs as its own. Thankfully for the alkonost, it now has plenty to choose from.",8664695,8664772,69629,0,0,0,0,0,0,1,4,48,20,0,0,True
29,A Familiar Face,"Auracite taken from the High Seraph Ultima is said to grant its wielder their heart's desire...for a price. A price the IVth Legion Zealots paid gladly, confident this unspeakable horror will put an end to the Resistance.",8664696,8664773,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
30,Looks to Die For,"Ayida's scales are said to be so resplendent, so beautiful, that a man could die of bliss from the mere sight of them. Her victims, were they still alive, would assure you it was her bone-crushing strength and venomous bite that did them in.",8664697,8664774,69629,0,0,0,0,0,0,1,2,48,20,0,0,True
31,Taking the Lyon's Share,"Lyon has grown restless waiting in the wings, and would see the Resistance brought low by his own hands. Has anyone the strength to tame this feral beast once and for all?",8664698,8664775,69629,0,0,0,0,0,0,2,3,1,20,0,6,True
32,The Dalriada,"The Dalriada's engines have failed, forcing it to the ground. The Resistance would seize this opportunity to storm the warship, and at last put an end to the imperials' presence in Bozja.",0,0,69624,9678,0,0,222,302,-661,4,6,48,20,5,0,True
33,Scourge of the Mind,"A mindflayer stalks the land in search of a banquet of fresh brains─an organ to which most living things are, quite rightfully, rather attached. The fiend must be stopped before its grim feast begins.",10962704,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
34,The Black Regiment,"While the cause which has united the black chocobos of the Occult Crescent remains a mystery, the destruction left in their wake is plain to see. This uprising must be quelled or else the entire island might be swallowed in a sea of dark feathers.",10940977,0,0,0,0,0,0,0,0,3,4,72,20,0,0,True
35,The Unbridled,"Infused with undying rage by its creator, a walking monstrosity wreaks havoc upon its surroundings. If left unchecked, it may very well reduce the isle to smoke and ash.",10962716,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
36,Crawling Death,"Animated by forbidden magicks, the death claw serves no purpose but to snuff out the light of life. Bring an end to its endless hunt once and for all.",10940989,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
37,Calamity Bound,"Sealed away by the island's architect, a wicked voidsent now makes a desperate attempt to sunder its bonds. Were it to succeed, it may very well lay waste to the world.",10941018,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
38,Trial by Claw,"The architect employed fearsome creations to measure the strength of would-be intruders. Will you be judged a threat, or will your corpse be found wanting?",10962728,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
39,From Times Bygone,"A mysterious object blocks the way, filling all who gaze upon it with divine awe and sinister dread in equal measure. It might be best to destroy it first and ask questions later.",10937430,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
40,Company of Stone,"A legion of stone knights has stirred to life, bound to defend their charge until the very last of them is reduced to rubble. Can you outlast their indefatigable will?",11131960,0,0,0,0,0,0,0,0,3,4,72,20,0,0,True
41,Shark Attack,"Nymian legends tell of a monstrous shark that walks the land on two legs. It seems these tales were true, yet even the most lurid failed to capture the sheer terror of encountering such a creature.",11102245,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
42,On the Hunt,"Brought to life by white magicks, the statue of a great lion prowls the fortress. Hunt down the mighty predator or risk becoming its next prey.",10937461,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
43,With Extreme Prejudice,The adventurers plundering the Occult Crescent have been deemed a danger by these stone guardians. They are bound to purge the intruders by all means necessary.,11102367,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
44,Noise Complaint,The incessant chattering of the isle's birds has driven an even greater beast into a frenzy. Its mindless fury is bound to claim innocent lives if left unchecked.,10941033,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
45,Cursed Concern,"Gifted by magical means with a shrewd intellect, a shelled shopkeep plots to make its riches by hawking cursed objects to curious patrons. An ambitious enterprise, but perhaps one best cut short before it expands beyond the isle's shores.",10962741,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
46,Eternal Watch,"Once used to guard their overseers in the War of the Magi, these constructs now stand vigil for a new master. Any who seek the secrets they guard must withstand the full brunt of their fury.",10937473,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
47,Flame of Dusk,A voidsent has possessed an ancient avian statue and now hunts for prey to sate its unending appetite. Free the world of its terrorizing presence.,10962753,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
48,The Forked Tower: Blood,"An ominous tower looms on the horizon of the isle's South Horn, twisted spires shimmering in the haze. What revelations await within its uppermost chambers?",0,0,70853,0,63978,63978,0,0,0,4,6,48,30,0,0,False
49,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
57,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
61,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
62,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
63,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
64,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
