#,Action,ReplaceActions[0],ReplaceActions[1],ReplaceActions[2],ReplaceActions[3],Param1,Param2,Param3,Param4,Type1,Type2,Type3,Type4,ReplaceSettable,Unknown_70
14.2,25781,25782,0,0,0,1,0,0,0,8,0,0,0,-1,False
14.3,7483,25780,0,0,0,519,0,0,0,3,0,0,0,-1,False
14.4,7498,36962,0,0,0,589,0,0,0,3,0,0,0,-1,False
14.5,7477,36963,0,0,0,590,0,0,0,3,0,0,0,-1,False
14.6,16482,36964,0,0,0,3855,0,0,0,2,0,0,0,-1,False
15.0,7503,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
15.1,7504,7527,45960,0,0,1,3,0,0,8,8,0,0,-1,False
15.2,7512,7528,45961,0,0,1,3,0,0,8,8,0,0,-1,False
15.3,7516,7529,45962,0,0,1,3,0,0,8,8,0,0,-1,False
15.4,7513,7530,37002,37003,0,1,0,0,0,8,4,4,0,-1,False
15.5,16529,16528,0,0,0,1,0,0,0,8,0,0,0,-1,False
15.6,7509,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
15.7,7505,25855,7525,0,0,483,2,0,0,3,9,0,0,-1,False
15.8,7507,25856,7526,0,0,483,2,0,0,3,9,0,0,-1,False
15.9,16524,7525,0,0,0,2,0,0,0,9,0,0,0,-1,False
15.10,16525,7526,0,0,0,2,0,0,0,9,0,0,0,-1,False
15.11,7520,37005,0,0,0,3876,0,0,0,2,0,0,0,-1,False
15.12,7521,37007,0,0,0,3878,0,0,0,2,0,0,0,-1,False
16.0,16142,32068,0,0,0,1833,0,0,0,2,0,0,0,-1,False
16.1,16144,16165,0,0,0,259,0,0,0,3,0,0,0,-1,False
16.2,16155,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
16.3,16161,25758,0,0,0,424,0,0,0,3,0,0,0,-1,False
16.4,16146,16147,16150,0,0,1,1,0,0,8,8,0,0,-1,False
16.5,16148,36935,0,0,0,574,0,0,0,3,0,0,0,-1,False
16.6,16164,36937,36938,36939,0,3840,1,1,0,2,8,8,0,1,False
16.7,36937,36938,36939,0,0,1,1,0,0,8,8,0,0,-1,False
16.8,16138,16153,0,0,0,0,0,0,0,4,0,0,0,-1,False
17.0,15997,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
17.1,15998,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
17.2,15989,15999,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.3,15990,16000,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.4,15991,16001,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.5,15992,16002,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.6,15993,15999,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.7,15994,16000,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.8,15995,16001,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.9,15996,16002,0,0,0,1,0,0,0,8,0,0,0,-1,False
17.10,16006,18073,0,0,0,1823,0,0,0,2,0,0,0,-1,False
17.11,16014,25789,0,0,0,1827,0,0,0,2,0,0,0,-1,False
17.12,16005,36985,0,0,0,0,0,0,0,4,0,0,0,-1,False
17.13,16011,25792,0,0,0,2700,0,0,0,2,0,0,0,-1,False
17.14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
18.0,24387,24388,0,0,0,2594,0,0,0,2,0,0,0,-1,False
18.1,24389,24390,24391,24399,0,2588,2589,1,0,2,2,9,0,-1,False
18.2,24392,24400,0,0,0,1,0,0,0,9,0,0,0,-1,False
18.3,24401,24403,0,0,0,2,0,0,0,9,0,0,0,-1,False
18.4,24402,24403,0,0,0,3,0,0,0,9,0,0,0,-1,False
18.5,24382,36970,24395,0,0,3858,1,0,0,2,9,0,0,-1,False
18.6,24383,36971,24396,0,0,3858,1,0,0,2,9,0,0,-1,False
18.7,24384,36972,24397,0,0,3858,1,0,0,2,9,0,0,-1,False
18.8,24393,36969,0,0,0,3857,0,0,0,2,0,0,0,-1,False
18.9,24398,36973,0,0,0,3860,0,0,0,2,0,0,0,-1,False
19.0,24283,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
19.1,24284,24291,0,0,0,1,0,0,0,8,0,0,0,-1,False
19.2,24286,24292,37034,0,0,1,2,0,0,8,8,0,0,-1,False
19.3,24289,24307,24313,0,0,374,376,0,0,3,3,0,0,-1,False
19.4,24297,24315,37032,0,0,376,2,0,0,3,8,0,0,-1,False
19.5,24304,24316,0,0,0,376,0,0,0,3,0,0,0,-1,False
19.6,24288,24302,0,0,0,510,0,0,0,3,0,0,0,-1,False
19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
20.0,34606,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.1,34607,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.2,34614,34616,34618,34627,0,0,0,0,0,1,0,0,0,-1,False
20.3,34615,34617,34619,34628,0,0,0,0,0,1,0,0,0,-1,False
20.4,34621,34629,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.5,34622,34630,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.6,34624,34629,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.7,34625,34630,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.8,34626,34631,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.9,35920,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.10,35921,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
20.11,35922,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
21.0,34650,34651,34652,0,0,0,0,0,0,1,1,0,0,-1,False
21.1,34653,34654,34655,0,0,0,0,0,0,1,1,0,0,-1,False
21.2,34656,34657,34658,0,0,0,0,0,0,1,1,0,0,-1,False
21.3,34659,34660,34661,0,0,0,0,0,0,1,1,0,0,-1,False
21.4,34689,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
21.5,34690,34668,0,0,0,0,0,0,0,4,0,0,0,-1,False
21.6,34691,34669,0,0,0,0,0,0,0,4,0,0,0,-1,False
21.7,35347,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
21.8,35348,34674,0,0,0,1,0,0,0,8,0,0,0,-1,False
21.9,35349,34675,0,0,0,1,0,0,0,8,0,0,0,-1,False
21.10,34676,34677,0,0,0,0,0,0,0,4,0,0,0,-1,False
21.11,34678,34679,34680,0,0,0,0,0,0,4,4,0,0,-1,False
21.12,34685,34686,0,0,0,3686,0,0,0,7,0,0,0,-1,False
22.0,289,37047,0,0,0,0,0,0,0,1,0,0,0,-1,False
23.0,29058,29061,41428,41429,0,2015,4281,4282,0,2,2,2,0,-1,False
23.1,29059,29061,41428,41429,0,2015,4281,4282,0,2,2,2,0,-1,False
23.2,29060,29061,41428,41429,0,2015,4281,4282,0,2,2,2,0,-1,False
23.3,41431,42194,0,0,0,3028,0,0,0,2,0,0,0,-1,False
23.4,29069,29071,29072,29073,0,3250,0,0,0,2,10,10,0,-1,False
24.0,29482,29483,0,0,0,3171,0,0,0,2,0,0,0,-1,False
24.1,41447,41448,0,0,0,4301,0,0,0,2,0,0,0,-1,False
25.0,29074,29078,0,0,0,1303,0,0,0,2,0,0,0,-1,False
25.1,29075,29078,0,0,0,1303,0,0,0,2,0,0,0,-1,False
25.2,29076,29078,0,0,0,1303,0,0,0,2,0,0,0,-1,False
25.3,29084,41432,0,0,0,4285,0,0,0,2,0,0,0,-1,False
25.4,29081,29077,0,0,0,4284,0,0,0,2,0,0,0,-1,False
25.5,29082,29736,0,0,0,1992,0,0,0,2,0,0,0,-1,False
25.6,29083,41433,0,0,0,4286,0,0,0,2,0,0,0,-1,False
26.0,29486,29489,41450,0,0,3176,4302,0,0,2,2,0,0,-1,False
26.1,29487,29489,41450,0,0,3176,4302,0,0,2,2,0,0,-1,False
26.2,29488,29489,41450,0,0,3176,4302,0,0,2,2,0,0,-1,False
26.3,41449,29489,41450,0,0,3176,4302,0,0,2,2,0,0,-1,False
26.4,29491,29492,0,0,0,4404,0,0,0,2,0,0,0,-1,False
26.5,29494,29495,0,0,0,3178,0,0,0,2,0,0,0,-1,False
26.6,29497,29499,0,0,0,3180,0,0,0,2,0,0,0,-1,False
27.0,29391,29392,0,0,0,3137,0,0,0,2,0,0,0,-1,False
27.1,29393,29394,0,0,0,3142,0,0,0,2,0,0,0,-1,False
27.2,29401,41467,0,0,0,4312,0,0,0,2,0,0,0,-1,False
27.3,41464,41465,41466,41964,0,0,0,0,0,4,4,4,0,-1,False
28.0,29223,41499,0,0,0,4326,0,0,0,2,0,0,0,-1,False
28.1,29224,29225,0,0,0,3083,0,0,0,2,0,0,0,-1,False
29.0,29649,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
29.1,29653,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
29.2,41475,41476,41478,0,0,0,0,0,0,4,4,0,0,-1,False
29.3,29662,41480,41481,0,0,0,0,0,0,4,4,0,0,-1,False
29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
30.0,29664,29665,29666,41482,0,3228,3229,4399,0,2,2,2,0,-1,False
30.1,29673,41484,0,0,0,3228,0,0,0,2,0,0,0,-1,False
30.2,29678,41485,0,0,0,3229,0,0,0,2,0,0,0,-1,False
30.3,29667,29668,0,0,0,4400,0,0,0,2,0,0,0,-1,False
31.0,29231,41500,0,0,0,4327,0,0,0,2,0,0,0,-1,False
31.1,41502,41501,0,0,0,4327,0,0,0,2,0,0,0,-1,False
32.0,29500,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
32.1,29501,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
32.2,29502,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
32.3,29505,29506,0,0,0,1317,0,0,0,2,0,0,0,-1,False
32.4,29507,29508,0,0,0,1317,0,0,0,2,0,0,0,-1,False
32.5,41451,29504,0,0,0,1317,0,0,0,2,0,0,0,-1,False
32.6,29511,29512,0,0,0,1317,0,0,0,2,0,0,0,-1,False
32.7,29513,29514,0,0,0,1317,0,0,0,2,0,0,0,-1,False
32.8,29515,29516,0,0,0,3192,0,0,0,2,0,0,0,-1,False
33.0,29402,41468,0,0,0,3149,0,0,0,2,0,0,0,-1,False
33.1,29405,29406,29407,29408,0,3151,3152,3153,0,2,2,2,0,-1,False
33.2,29409,41470,0,0,0,2018,0,0,0,2,0,0,0,-1,False
34.0,29085,41434,41435,41436,0,0,0,0,0,4,4,4,0,-1,False
34.1,29086,41434,41435,41436,0,0,0,0,0,4,4,4,0,-1,False
34.2,29087,41434,41435,41436,0,0,0,0,0,4,4,4,0,-1,False
34.3,29737,41438,0,0,0,4291,0,0,0,2,0,0,0,-1,False
34.4,29094,29095,0,0,0,3036,0,0,0,2,0,0,0,-1,False
34.5,29091,29738,0,0,0,3034,0,0,0,2,0,0,0,-1,False
34.6,29097,41437,0,0,0,4290,0,0,0,2,0,0,0,-1,False
35.0,29245,29246,29247,29248,0,0,0,0,0,4,4,4,0,-1,False
35.1,41503,41504,41505,0,0,4328,4329,0,0,2,2,0,0,-1,False
35.2,29253,29254,0,0,0,3104,0,0,0,12,0,0,0,-1,False
35.3,41506,41507,0,0,0,4331,0,0,0,2,0,0,0,-1,False
35.4,29255,41508,0,0,0,4332,0,0,0,2,0,0,0,-1,False
36.0,29523,29526,0,0,0,3201,0,0,0,2,0,0,0,-1,False
36.1,29524,29527,0,0,0,3201,0,0,0,2,0,0,0,-1,False
36.2,29525,29528,0,0,0,3201,0,0,0,2,0,0,0,-1,False
36.3,29530,29531,0,0,0,0,0,0,0,4,0,0,0,-1,False
36.4,29536,41454,41455,0,0,3203,0,0,0,2,4,0,0,-1,False
36.5,29533,41577,0,0,0,1318,0,0,0,2,0,0,0,-1,False
36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
37.0,41486,41487,0,0,0,1393,0,0,0,2,0,0,0,-1,False
37.1,41488,41489,41490,41491,0,0,0,0,0,10,10,10,0,-1,False
37.2,41494,41495,0,0,0,4322,0,0,0,2,0,0,0,-1,False
37.3,41496,41493,0,0,0,4321,0,0,0,2,0,0,0,-1,False
37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
38.0,29102,29103,29104,0,0,1,1,0,0,8,8,0,0,-1,False
38.1,29098,29101,0,0,0,3043,0,0,0,2,0,0,0,-1,False
38.2,29099,29101,0,0,0,3043,0,0,0,2,0,0,0,-1,False
38.3,29100,29101,0,0,0,3043,0,0,0,2,0,0,0,-1,False
38.4,29106,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
38.5,29130,29469,0,0,0,3052,0,0,0,2,0,0,0,-1,False
38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
39.0,29416,29418,29420,41472,0,0,0,0,0,4,4,4,0,-1,False
39.1,29417,29419,29420,41472,0,0,0,0,0,4,4,4,0,-1,False
39.2,29422,29470,0,0,0,3162,0,0,0,2,0,0,0,-1,False
39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
40.0,29538,41456,29543,29544,0,4307,0,0,0,2,4,4,0,-1,False
40.1,29539,41456,29543,29544,0,4307,0,0,0,2,4,4,0,-1,False
40.2,29540,41456,29543,29544,0,4307,0,0,0,2,4,4,0,-1,False
40.3,29547,29548,0,0,0,2863,0,0,0,2,0,0,0,-1,False
40.4,29549,41457,0,0,0,4308,0,0,0,2,0,0,0,-1,False
40.5,29550,29551,0,0,0,2860,0,0,0,2,0,0,0,-1,False
40.6,29553,29554,41458,0,0,2863,4309,0,0,2,2,0,0,-1,False
40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
41.0,29256,29257,0,0,0,3107,0,0,0,2,0,0,0,-1,False
41.1,29262,29263,0,0,0,3115,0,0,0,2,0,0,0,-1,False
41.2,29266,29267,0,0,0,3118,0,0,0,2,0,0,0,-1,False
41.3,29259,41658,0,0,0,0,0,0,0,10,0,0,0,-1,False
42.0,39157,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.1,39158,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.2,39159,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.3,39160,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.4,39161,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.5,39163,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.6,39166,39167,39173,0,0,1,4094,0,0,8,2,0,0,-1,False
42.7,39183,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
42.8,39185,39186,0,0,0,4096,0,0,0,2,0,0,0,-1,False
43.0,39191,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
43.1,39198,39199,0,0,0,4102,0,0,0,2,0,0,0,-1,False
43.2,39204,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
43.3,39209,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
43.4,39211,39212,0,0,0,4114,0,0,0,2,0,0,0,-1,False
43.5,39213,39214,0,0,0,4102,0,0,0,2,0,0,0,-1,False
43.6,39215,39216,0,0,0,4118,0,0,0,2,0,0,0,-1,False
43.7,39782,39783,0,0,0,4104,0,0,0,2,0,0,0,-1,False
44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
