#,InlineName,Name,Color,Shade,Unknown0,Unknown1,SubOrder,IsMetallic,IsHousingApplicable
96,Neon Pink,Neon Pink,15536526,52256,0,4,13,False,True
97,Bright Orange,Bright Orange,16011281,52256,0,5,19,False,True
98,Neon Yellow,Neon Yellow,14674440,52256,0,6,12,False,True
99,Neon Green ,Neon Green ,11925264,52256,0,7,18,False,True
100,Azure Blue,Azure Blue,3820688,52256,0,8,20,False,True
101,Pure White,Pure White,16382196,13114,8732,10,1,False,True
102,Jet Black,Jet Black,1973790,13115,8733,10,2,False,True
103,Pastel Pink,Pastel Pink,16632006,13708,8734,10,3,False,True
104,Dark Red,Dark Red,3283225,13709,8735,10,4,False,True
105,Dark Brown,Dark Brown,2629916,13710,8736,10,5,False,True
106,Pastel Green,Pastel Green,12242858,13711,8737,10,6,False,True
107,Dark Green,Dark Green,1387564,13712,8738,10,7,False,True
108,Pastel Blue,Pastel Blue,9872601,13713,8739,10,8,False,True
109,Dark Blue,Dark Blue,1187629,13714,8740,10,9,False,True
110,Pastel Purple,Pastel Purple,12301786,13715,8741,10,10,False,True
111,Dark Purple,Dark Purple,2301990,13716,8742,10,11,False,True
112,Metallic Silver,Metallic Silver,10987431,13116,8743,10,12,True,False
113,Metallic Gold,Metallic Gold,15590973,13117,8744,10,13,True,False
114,Metallic Red,Metallic Red,11935051,13717,8745,10,14,True,False
115,Metallic Orange,Metallic Orange,14978095,13718,8746,10,15,True,False
116,Metallic Yellow,Metallic Yellow,16046662,13719,8747,10,16,True,False
117,Metallic Green,Metallic Green,2271063,13720,8748,10,17,True,False
118,Metallic Sky Blue,Metallic Sky Blue,6214886,13721,8749,10,18,True,False
119,Metallic Blue,Metallic Blue,5264089,13722,8750,10,19,True,False
120,Metallic Purple,Metallic Purple,10708674,13723,8751,10,20,True,False
121,Violet Purple,Violet Purple,6443151,52256,0,9,10,False,True
122,Metallic Pink ,Metallic Pink ,10639723,52256,0,10,24,True,False
123,Metallic Ruby Red ,Metallic Ruby Red ,2031616,52256,0,10,25,True,False
124,Metallic Cobalt Green,Metallic Cobalt Green,1393215,52256,0,10,26,True,False
125,Metallic Dark Blue,Metallic Dark Blue,524831,52256,0,10,27,True,False
126,,,0,0,0,0,0,False,False
127,,,0,0,0,0,0,False,False
128,,,0,0,0,0,0,False,False
