#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
48,Whaddaya treeslugs talkinbout!?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
49,Yehavn't seentha lassa Spessser! Hic!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
50,Gah hah hah! Who's next!?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
51,Ulp! I just wanted to drink my mead in peace!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
52,You's a probbluh...prob...prollem wif that!?,0,3,0,0,0,2,0,1,25,False,False,False,False,False
53,Thal's balls!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
54,This one has made ready!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
55,Listen! The forest speaks!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
56,These ones must suffer!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
57,This one will not perish!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
58,Come! The Wood Wailers seek volunteers!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
59,"Ye may've made it this far, but ye ain't gettin' out alive.",0,5,0,0,0,3,0,1,25,False,False,False,False,False
60,Hit me with all you have!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
61,Enough! You've done well today.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
62,There are too many of them!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
63,Tonight we shall poach the poachers!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
64,Are the resources of the city–state so thinly stretched that they must send adventurers to do their dirty work?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
65,Damn you all! The forest is not yours to claim!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
66,Lustyeye uplanders seek goodgobbies' gobbiepack goodies?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
67,Gobbiepack! Gobbiepack!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
68,Gobbiepack! Gobbiepack! Little room!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
69,Gobbiepack! Gobbiepack! Filled with boom!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
70,No! Gobbiekeep rumbles and overtumbles!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
71,"Backwalk with fastness, uplander! Or else...ba-boom!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
72,Fireboom! Fireboom!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
73,Fireboom! Fireboom! Uplander's doom!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
74,Fireboom! Fireboom! Uplander's tomb!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
75,Gobbiekeep crumbles and overtumbles!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
76,Gobbiekeep tumbles and undercrumbles!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
77,Narrowheart uplander seeks overtossing of good Gobbiekeep! Stikflix backpays with much fireboom!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
78,Gobbiekin! More fireboom! More fireboom!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
79,Oh! Such soreness of gut! Might we be making busydeal? No?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
80,Stikflix! Stikflix!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
81,Stikflix! Stikflix! Quickflicks gloom!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
82,Stikflix! Stikflix! Fireboom resumes!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
83,"Fellow creatures! Come, follow this one!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
84,This one angers...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
85,This one grows weary...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
86,This one will suffer at the hands of the grounded ones no more!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
87,Your Highness!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
88,Sit yer poxy arse down!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
89,Gah hah hah!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
90,I could have taken him... Honest!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
91,You have my thanks!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
92,Mercy!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
93,The Order has no need for milksops!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
94,Oh dear! Here he comes!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
95,High time I should check the crops...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
96,The ladybugs! They're attacking the bees!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
97,Someone help! The poor honeybees don't stand a chance!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
98,The harvest will be a good one this season. I can feel it! You have my thanks!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
99,Another harvest lost...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
100,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
101,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
102,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
103,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
104,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
105,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
106,0,0,3,0,0,0,2,0,1,25,False,False,False,False,False
107,This one requires aid!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
108,Many thanks!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
109,Hm? Do you hear something?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
110,"Why, you sneaky flying rat! I'll see you never eat another Lalafell!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
111,"Sod off, ye sack o' squirrel shite!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
112,Who invited this bastard!?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
113,How's about I escort ye off the premises?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
114,I spy a throat needs slittin'!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
115,Lookin' fer us?,0,3,0,0,0,2,0,1,25,False,False,False,False,False
116,Sneaky bastards.,0,3,0,0,0,2,0,1,25,False,False,False,False,False
117,Body feels...so heavy...,0,3,0,0,0,2,0,1,25,False,False,False,False,False
118,Curses! Not now!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
119,They are too quick for me... I am done for...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
120,I don't believe they will follow any further.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
121,You have done a great service for Ul'dah.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
122,<rumble> <rumble>,0,3,0,0,0,2,0,1,25,False,False,False,False,False
123,<rumble>,0,3,0,0,0,2,0,1,25,False,False,False,False,False
124,Sheep! Scores of them!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
125,Slay the rabid beasts before they can force their way to the Zephyr Gate!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
126,"I fear my pursuers may have circled around, and await us ahead.",0,5,0,0,0,3,0,1,25,False,False,False,False,False
127,"If the Amalj'aa have already made it this far, they will use this place to trap us.",0,5,0,0,0,3,0,1,25,False,False,False,False,False
128,"Little Ala Mhigo is close, but not close enough. Look alive, friend!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
129,We're discovered!,0,10,0,0,0,3,0,1,25,False,False,False,False,False
130,How did ye find this place!?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
131,Me loyal pups!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
132,Come closer. I'll slit yer throat and toss yer corpse to the mad serpent.,0,4,0,0,0,2,0,1,25,False,False,False,False,False
133,Wh-Where are me men!? Wh-Where are me maidens!?,0,4,0,0,0,2,0,1,25,False,False,False,False,False
134,"Try an' catch me, ye two-legged lubber!",0,6,0,0,0,2,0,1,25,False,False,False,False,False
135,"Back fer more, eh? I sharpened me blade, just fer this very occasion.",0,4,0,0,0,2,0,1,25,False,False,False,False,False
136,Eat 'em alive!,0,2,0,0,0,2,0,1,25,False,False,False,False,False
137,M-M-Might ye consider a parley?,0,4,0,0,0,2,0,1,25,False,False,False,False,False
138,The boss ain't goin' to like this one bit...,0,6,0,0,0,2,0,1,25,False,False,False,False,False
139,0,0,4,0,0,0,2,0,1,25,False,False,False,False,False
140,Die!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
141,Take the women alive!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
142,To the abyss with ye!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
143,Kindly uplander! Gobbieflock needs quick hand-lending!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
144,Pshkohhh... Overmany deepsores... Blood and bile! Blood and bile!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
145,Hand-lending! Hand-lending!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
146,Pshkohhh... Much soreness...,0,4,0,0,0,2,0,1,25,False,False,False,False,False
147,Uplander saves gobbieflock! Huzzah! Zah hah!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
148,Many thanks! Many thanks!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
149,Kindly uplander now taking gobbie jinglyshine!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
150,Shkoh! Shkoh! More fastness! More fastness!,0,6,0,0,0,3,0,1,25,False,False,False,False,False
151,Shkoh! Brayflox shall see to thunderfoot!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
152,Shkoh! Shkoh! More backstrike! More forestrike!,0,4,0,0,0,3,0,1,25,False,False,False,False,False
153,Psheew... Brayflox backwalks from foregate of deathpit!,0,4,0,0,0,2,0,1,25,False,False,False,False,False
154,Shkoh! Shkoh! Gobfists of Brayflox are having no match!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
155,Shkoh! Shkoh! Fireboom! Overboom!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
156,Gobbie...boom?,0,2,0,0,0,3,0,1,25,False,False,False,False,False
157,Shkoh! Shkoh! Present for kindly uplander!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
158,Shkoh! Shkoh! Victory for Brayflox! Longstop is not overturning!,0,8,0,0,0,2,0,1,25,False,False,False,False,False
159,Brayflox is come to give goodly uplander gobbie hand-lending!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
160,There! Thunderclaw is blood and bile!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
161,Othermore deednotch added to gobbiebelt!,0,6,0,0,0,2,0,1,25,False,False,False,False,False
162,"Oh, goodly Brayflox!",0,10,0,0,0,2,0,1,25,False,False,False,False,False
163,"Oh, mighty Brayflox!",0,10,0,0,0,2,0,1,25,False,False,False,False,False
164,"Yes, yes! More tongueflaps! More tongueflaps!",0,30,0,0,0,2,0,1,25,False,False,False,False,False
165,Help! Someone! I'm being chased by jackals!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
166,Get away!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
167,I was only joking!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
168,Please! I didn't mean any harm!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
169,I'm...still alive...? Thank the Twelve!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
170,What in the seven hells is that thing!?,0,3,0,0,0,2,0,1,25,False,False,False,False,False
171,No man in his right mind would fish here!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
172,You hear that?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
173,I need a drink...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
174,For the Admiral!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
175,"Look alive, privates!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
176,They're only bloody jackals!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
177,Must I do everything!?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
178,"You haven't had enough, have you!?",0,5,0,0,0,2,0,1,25,False,False,False,False,False
179,"Suck it up, lad! You're a storm soldier now!",0,5,0,0,0,2,0,1,25,False,False,False,False,False
180,Something's wrong... I can feel it...,0,5,0,0,0,3,0,1,25,False,False,False,False,False
181,Another victory for the Admiral!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
182,A disgrace! Each and every one of you!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
183,I suppose it's time I be makin' the rounds.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
184,I have a bad feelin' 'bout this.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
185,Bloody hells! Not again!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
186,"If I never see another cave bat, it'll be too soon.",0,5,0,0,0,3,0,1,25,False,False,False,False,False
187,"You stay the hells away from my stock, you filthy flyin' rat!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
188,Me dodos! Someone save me poor dodos!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
189,We cannot let these bats out to feed. Their bite'll drive both man and beast to madness!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
190,Today is the day! The miller's daughter will finally be mine!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
191,"Oh, wherever could he be?",0,3,0,0,0,3,0,1,25,False,False,False,False,False
192,"Many have visited the maiden's garden, yet her flower remains unplucked.",0,3,0,0,0,3,0,1,25,False,False,False,False,False
193,"Today, that changes!",0,3,0,0,0,3,0,1,25,False,False,False,False,False
194,"Ah, milady. Will you forgive me for my tardiness?",0,3,0,0,0,3,0,1,25,False,False,False,False,False
195,"Out here, all alone... I was so frightened! ",0,1,0,0,0,3,0,1,25,False,False,False,False,False
196,Why did you wish to see me so far from town?,0,2,0,0,0,3,0,1,25,False,False,False,False,False
197,"Ah yes, let me explain, my love...",0,2,0,0,0,3,0,1,25,False,False,False,False,False
198,Your love?,0,1,0,0,0,3,0,1,25,False,False,False,False,False
199,"Your eyes are like sapphires, your lips, rubies. And your breasts... Those br─",0,2,0,0,0,3,0,1,25,False,False,False,False,False
200,What was that!?,0,1,0,0,0,3,0,1,25,False,False,False,False,False
201,A-A-A monster! Save me!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
202,Save you!? Who's going to save me!?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
203,Do something! Anything!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
204,It's your fault we're out here in the first place!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
205,I'm going home.,0,2,0,0,0,3,0,1,25,False,False,False,False,False
206,W-Wait!,0,2,0,0,0,3,0,1,25,False,False,False,False,False
207,"Don't ever call on me again, coward!",0,2,0,0,0,3,0,1,25,False,False,False,False,False
208,B-But I never got the chance to tell you about your br─,0,2,0,0,0,3,0,1,25,False,False,False,False,False
209,Hmph!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
210,<sigh> I wonder if she has a sister...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
211,Did you hear that?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
212,Hah hah! Right into me hands!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
213,Freebooters! Keep them away!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
214,What does it look like I'm doing?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
215,Have at 'em lads! Ye keep what ye kill!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
216,The damned gobdaw's at it again!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
217,Quiet down before I shut you up myself!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
218,I told you to stop!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
219,I'll show you what we here at the Quay think of stowaways.,0,5,0,0,0,2,0,1,25,False,False,False,False,False
220,"Step aside, honeybee. I's no quarrel wiv yer ilk.",0,5,0,0,0,2,0,1,25,False,False,False,False,False
221,"I paid fer me passage, proper. The damn captain's fillin' yer ears with gobshite.",0,5,0,0,0,2,0,1,25,False,False,False,False,False
222,I ain't no stowaway!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
223,You're askin' for it!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
224,"I could use a little help over here, sir!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
225,"So it's a fight ye all want, eh?",0,5,0,0,0,3,0,1,25,False,False,False,False,False
226,"That quiet you down, did it?",0,5,0,0,0,3,0,1,25,False,False,False,False,False
227,May the mighty serpent drag yer arses all the way down to the abyss!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
228,"So, are you finally ready to talk?",0,5,0,0,0,3,0,1,25,False,False,False,False,False
229,I's less 'an naught to say to you and yers.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
230,"Then to the brig it is. Grab the shackles, men.",0,5,0,0,0,3,0,1,25,False,False,False,False,False
231,No... Not there again. Anywhere but there! Please! I'll tell you all you want to know! Honest!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
232,Godsdammit to the seventh hell and back!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
233,"Sod off, honeybees!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
234,"We'll find you, bastard!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
235,No man can rule Ahctstymm Shadowlurker!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
236,Get them gropers off me grog!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
237,Sod off! I drink what I want.,0,3,0,0,0,2,0,1,25,False,False,False,False,False
238,*I'll* cut ye a new gob so's that ye can drink all grog ye like!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
239,Not afore I cut ye a new piss'ole!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
240,"Get yer hands off me, honeybees!",0,5,0,0,0,2,0,1,25,False,False,False,False,False
241,Kill every last one of them!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
242,Cursed orobon!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
243,Coblyns sighted ahead!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
244,Don't let those ants take another child!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
245,The ore must get through!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
246,"Those accursed goats will see this desert reduced to a...well, a desert!",0,3,0,0,0,3,0,1,25,False,False,False,False,False
247,The lizards march west! We must intercept them!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
248,Amalj'aa raiders! Men! To your positions!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
249,Those bothersome imps are up to no good!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
250,The Amalj'aa approach! Meet them in field!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
251,What are landtraps doing in the desert!?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
252,I told those damn Ala Mhigans to cover their piss!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
253,They say the dead rise from the abyss each night to claim the souls of the living.,0,3,0,0,0,3,0,1,25,False,False,False,False,False
254,S-S-Souls of the l-l-l-living?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
255,You sound as if you believe that bilge!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
256,Believe it? No... It's just...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
257,Hah! You're worse than my skin and blister!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
258,Didn't your ma ever tell you!? There's no such thing as ghosts!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
259,Th-Th-Then what is that!?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
260,P-Probably just a firefly.,0,3,0,0,0,3,0,1,25,False,False,False,False,False
261,It l-l-l-looks awfully big to be a f-f-firefly...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
262,Then it's a ship...or a lighthouse...or a...uh...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
263,A GHOST!!!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
264,Mummy! Save me!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
265,Wait! D-D-Don't leave me here!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
266,P-P-Please don't claim m-m-my soul!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
267,B-B-B-B-Begone?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
268,It w-w-worked!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
269,Or not! Aaaaaahhh!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
270,It's the rats... I can hear their squeaking!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
271,The exercise is open to all who wish to join!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
272,Why flour? Why not millioncorn or ogre pumpkins or grapes?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
273,This place is simply crawling with yarzons!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
274,"The goblins'll be here any moment, and then, not a single cog'll be safe!",0,3,0,0,0,3,0,1,25,False,False,False,False,False
275,Need...cores...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
276,I wants 'em dead... All dead...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
277,My appointment! Whatever shall I tell them!?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
278,But how am I to get from *here* to *there*?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
279,A good beating─that's what these recruits need.,0,3,0,0,0,3,0,1,25,False,False,False,False,False
280,"One day, that wench'll be mine.",0,3,0,0,0,3,0,1,25,False,False,False,False,False
281,"One day, that wench'll be mine.",0,3,0,0,0,3,0,1,25,False,False,False,False,False
282,What did you say!?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
283,The wench is mine!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
284,And I say she's mine!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
285,And I say yer full of crab shite!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
286,And I say yer full of...of...more crab shite!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
287,"Alright, you two. Clap the traps. She ain't neither of yours.",0,3,0,0,0,3,0,1,25,False,False,False,False,False
288,This ain't none of your business.,0,3,0,0,0,3,0,1,25,False,False,False,False,False
289,"Aye, this is between me and this here sod.",0,3,0,0,0,3,0,1,25,False,False,False,False,False
290,<pant> <pant>,0,5,0,0,0,2,0,1,25,False,False,False,False,False
291,"Excellent work, men. The checkpoint is secure!",0,3,0,0,0,3,0,1,25,False,False,False,False,False
292,Thal's balls! You think it will be any easier when the imperials come!?,0,3,0,0,0,3,0,1,25,False,False,False,False,False
293,We did it! The day is ours!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
294,This bodes ill for the checkpoint...,0,3,0,0,0,2,0,1,25,False,False,False,False,False
295,Heh heh. That should teach the lads.,0,3,0,0,0,3,0,1,25,False,False,False,False,False
296,It seems my recruits aren't the only ones who are soft...,0,3,0,0,0,3,0,1,25,False,False,False,False,False
297,I should've become a culinarian!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
298,I see the caravans now. The oranges will be safe!,0,3,0,0,0,3,0,1,25,False,False,False,False,False
299,My harvest... It's gone...,0,3,0,0,0,2,0,1,25,False,False,False,False,False
300,"These oranges are off to the pleasure boats, you say? Might be I should see the crates there myself.",0,3,0,0,0,2,0,1,25,False,False,False,False,False
301,The bridge is ours once again!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
302,Bleedin' honeybees... You'd best sleep with one eye open!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
303,The galagos! They're gone! I can finally deliver my flour to market!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
304,"Pickman! Pickman! Worthy, we are not!",0,3,0,0,0,2,0,1,25,False,False,False,False,False
