#,Level[0],Level[1],Level[2],Level[3],Level[4]
1508,6535654,1,0,0,0
1509,6535655,0,1,0,0
1510,6535656,6434584,6434585,6434586,6434587
1511,6535657,6434612,6434613,0,0
1512,6535658,6434604,6434605,6434606,6434607
1513,6535659,1,0,0,0
1514,6535660,0,1,0,0
1515,6535661,6434598,6434596,6434597,6434599
1516,6535662,6434616,0,0,6434619
1517,6535663,0,6434600,6434601,6434603
1518,6535664,1,0,0,0
1519,6535665,0,0,1,0
1520,6535666,0,0,1,0
1521,6535667,0,0,1,0
1600,0,0,0,0,0
1601,6536173,0,0,0,1
1602,6536174,0,0,0,1
1603,6536175,0,0,0,1
1604,6536176,0,1,0,0
1605,6536177,6441690,6441756,6441757,0
1606,6536178,6441755,6441761,6441753,6441754
1607,6536179,6441758,6441759,6441760,0
1608,6536180,1,0,0,0
1609,6536181,0,1,0,0
1610,6536182,6441739,6441740,0,0
1611,6536183,6441735,6441736,6441738,6441737
1612,6536184,6441752,6441751,0,0
1613,6536185,1,0,0,0
1614,6536186,0,1,0,0
1615,6536187,6441741,6441742,0,6441743
1616,6536188,6441744,6441746,6441747,6441745
1617,6536189,6441750,6441749,0,6441748
1618,6536190,1,0,0,0
1619,6536191,0,0,1,0
1620,6536192,0,0,1,0
1621,6536193,0,0,1,0
1700,0,0,0,0,0
1701,6536215,0,0,0,1
1702,6536216,0,0,0,1
1703,6536217,0,0,0,1
1704,6536218,0,1,0,0
1705,6536219,6441703,6441704,6441706,6441705
1706,6536220,6441724,0,6441725,0
1707,6536221,0,6441708,6441710,6441709
1708,6536222,1,0,0,0
1709,6536223,0,1,0,0
1710,6536224,6441699,6441700,6441701,6441702
1711,6536225,6441727,6441728,0,0
1712,6536226,6441719,6441720,6441721,6441722
1713,6536227,1,0,0,0
1714,6536228,0,1,0,0
1715,6536229,6441713,0,6441712,6441714
1716,6536230,0,6441732,0,6441734
1717,6536231,6441717,6441715,6441716,6441718
1718,6536232,1,0,0,0
1719,6536233,0,0,1,0
1720,6536234,0,0,1,0
1721,6536235,0,0,1,0
1800,0,0,0,0,0
1801,7355263,0,0,0,1
1802,7355265,0,0,0,1
1803,7355266,0,0,0,1
1804,7355267,0,1,0,0
1805,7355268,7350976,7350977,7350975,0
1806,7355269,7350987,7350989,7350990,7350991
1807,7355270,7350994,7350995,7350993,0
1808,7355271,1,0,0,0
1809,7355272,0,1,0,0
1810,7355273,7350996,7350997,0,0
1811,7355274,7350998,7350999,7351000,7351001
1812,7355275,7351002,7351003,0,0
1813,7355276,1,0,0,0
1814,7355277,0,1,0,0
1815,7355278,7351004,7351006,0,7351005
1816,7355279,7351007,7351010,7351008,7351009
1817,7355280,7351011,7351013,0,7351012
1818,7355281,1,0,0,0
1819,7355282,0,0,1,0
1820,7355283,0,0,1,0
1821,7355284,0,0,1,0
1900,0,0,0,0,0
1901,7355370,0,0,0,1
1902,7355371,0,0,0,1
1903,7355372,0,0,0,1
1904,7355373,0,1,0,0
1905,7355374,7351014,0,7351015,7351016
1906,7355375,0,0,7351017,7351019
1907,7355376,0,7351022,7351020,7351021
1908,7355377,1,0,0,0
1909,7355378,0,1,0,0
1910,7355379,7351023,7351026,7351024,7351025
1911,7355380,7351027,7351030,7351028,7351029
1912,7355381,7351031,7351034,7351033,7351032
1913,7355382,1,0,0,0
1914,7355383,0,1,0,0
1915,7355384,7351035,0,7351036,7351037
1916,7355385,0,0,7351038,7351039
1917,7355386,0,7351042,7351041,7351040
1918,7355387,1,0,0,0
1919,7355388,0,0,1,0
1920,7355389,0,0,1,0
1921,7355390,0,0,1,0
2000,0,0,0,0,0
2001,7355416,0,1,0,1
2002,7355417,1,1,0,1
2003,7355418,1,0,0,1
2004,7355420,0,1,1,1
2005,7355421,1,1,1,1
2006,7355422,1,0,1,1
2007,7355425,0,1,1,1
2008,7355426,1,1,1,1
2009,7355427,1,0,1,1
2010,7355430,0,1,1,0
2011,7355431,1,1,1,0
2012,7355432,1,0,1,0
2100,0,0,0,0,0
2101,7376191,0,0,0,1
2102,7376192,0,0,0,1
2103,7376193,0,0,0,1
2104,7376194,0,1,0,0
2105,7376195,7354709,7354726,7354725,0
2106,7376196,7354710,7354724,7354722,7354723
2107,7376197,7354703,7354713,7354712,0
2108,7376198,1,0,0,0
2109,7376199,0,1,0,0
2110,7376200,7354708,7354727,0,0
2111,7376201,7354707,7354719,7354720,7354721
2112,7376202,7354702,7354711,0,0
2113,7376203,1,0,0,0
2114,7376204,0,1,0,0
2115,7376205,7354706,7354728,0,7354729
2116,7376206,7354705,7354718,7354716,7354717
2117,7376207,7354704,7354715,0,7354714
2118,7376208,1,0,0,0
2119,7376209,0,0,1,0
2120,7376210,0,0,1,0
2121,7376211,0,0,1,0
2200,0,0,0,0,0
2201,7376235,0,0,0,1
2202,7376236,0,0,0,1
2203,7376237,0,0,0,1
2204,7376238,0,1,0,0
2205,7376239,7354927,0,7354945,7354946
2206,7376240,0,0,7354929,7354944
2207,7376241,0,7354940,7354928,7354939
2208,7376242,1,0,0,0
2209,7376243,0,1,0,0
2210,7376244,7354933,7354949,7354947,7354948
2211,7376245,7354930,7354943,7354941,7354942
2212,7376246,7354926,7354938,7354936,7354937
2213,7376247,1,0,0,0
2214,7376248,0,1,0,0
2215,7376249,7354932,0,7354950,7354951
2216,7376250,0,0,7354931,7354952
2217,7376251,0,7354934,7354935,7354925
2218,7376252,1,0,0,0
2219,7376253,0,0,1,0
2220,7376254,0,0,1,0
2221,7376255,0,0,1,0
2300,0,0,0,0,0
2301,7376268,0,1,0,1
2302,7376269,1,1,0,1
2303,7376270,1,0,0,1
2304,7376271,0,1,1,1
2305,7376272,1,1,1,1
2306,7376273,1,0,1,1
2307,7376274,0,1,1,1
2308,7376275,1,1,1,1
2309,7376276,1,0,1,1
2310,7376277,0,1,1,0
2311,7376278,1,1,1,0
2312,7376279,1,0,1,0
2400,0,0,0,0,0
2401,7376623,0,0,0,1
2402,7376624,0,0,0,1
2403,7376625,0,0,0,1
2404,7376626,0,1,0,0
2405,7376627,7351596,7351613,7351612,0
2406,7376628,7351597,7351611,7351609,7351610
2407,7376629,7351590,7351600,7351599,0
2408,7376630,1,0,0,0
2409,7376631,0,1,0,0
2410,7376632,7351595,7351614,0,0
2411,7376633,7351594,7351606,7351607,7351608
2412,7376634,7351589,7351598,0,0
2413,7376635,1,0,0,0
2414,7376636,0,1,0,0
2415,7376637,7351593,7351615,0,7351616
2416,7376638,7351592,7351605,7351603,7351604
2417,7376639,7351591,7351602,0,7351601
2418,7376640,1,0,0,0
2419,7376641,0,0,1,0
2420,7376642,0,0,1,0
2421,7376643,0,0,1,0
2500,0,0,0,0,0
2501,7376582,0,0,0,1
2502,7376583,0,0,0,1
2503,7376584,0,0,0,1
2504,7376585,0,1,0,0
2505,7376586,7351622,0,7351637,7351638
2506,7376587,0,0,7351621,7351636
2507,7376588,0,7351632,7351623,7351631
2508,7376589,1,0,0,0
2509,7376590,0,1,0,0
2510,7376591,7351617,7351641,7351639,7351640
2511,7376592,7351620,7351635,7351633,7351634
2512,7376593,7351624,7351630,7351628,7351629
2513,7376594,1,0,0,0
2514,7376595,0,1,0,0
2515,7376596,7351618,0,7351642,7351643
2516,7376597,0,0,7351619,7351644
2517,7376598,0,7351626,7351627,7351625
2518,7376599,1,0,0,0
2519,7376600,0,0,1,0
2520,7376601,0,0,1,0
2521,7376602,0,0,1,0
2600,0,0,0,0,0
2601,7376549,0,1,0,1
2602,7376550,1,1,0,1
2603,7376551,1,0,0,1
2604,7376552,0,1,1,1
2605,7376553,1,1,1,1
2606,7376554,1,0,1,1
2607,7376555,0,1,1,1
2608,7376556,1,1,1,1
2609,7376557,1,0,1,1
2610,7376558,0,1,1,0
2611,7376559,1,1,1,0
2612,7376560,1,0,1,0
2700,0,0,0,0,0
2701,7371450,0,0,0,1
2702,7371455,0,0,0,1
2703,7371460,0,0,0,1
2704,7371447,0,1,0,0
2705,7371451,7350862,7350899,7350897,0
2706,7371456,7350900,7350902,7350901,7350904
2707,7371461,7350909,7350911,7350910,0
2708,7371465,1,0,0,0
2709,7371448,0,1,0,0
2710,7371452,7350912,7350913,0,0
2711,7371457,7350914,7350915,7350916,7350920
2712,7371462,7350922,7350925,0,0
2713,7371466,1,0,0,0
2714,7371449,0,1,0,0
2715,7371453,7350928,7350935,0,7350931
2716,7371458,7350940,7350946,7350942,7350945
2717,7371463,7350949,7350951,0,7350952
2718,7371467,1,0,0,0
2719,7371454,0,0,1,0
2720,7371459,0,0,1,0
2721,7371464,0,0,1,0
2800,0,0,0,0,0
2801,7371493,0,0,0,1
2802,7371494,0,0,0,1
2803,7371495,0,0,0,1
2804,7371496,0,1,0,0
2805,7371497,7351470,0,7351471,7351472
2806,7371498,0,0,7351477,7351478
2807,7371499,0,7351481,7351480,7351479
2808,7371500,1,0,0,0
2809,7371501,0,1,0,0
2810,7371502,7351474,7351476,7351473,7351475
2811,7371503,7351482,7351484,7351483,7351486
2812,7371504,7351487,7351489,7351488,7351490
2813,7371505,1,0,0,0
2814,7371506,0,1,0,0
2815,7371507,7351491,0,7351492,7351493
2816,7371508,0,0,7351494,7351495
2817,7371509,0,7351499,7351498,7351497
2818,7371510,1,0,0,0
2819,7371511,0,0,1,0
2820,7371512,0,0,1,0
2821,7371513,0,0,1,0
2900,0,0,0,0,0
2901,7371563,0,1,0,1
2902,7371564,1,1,0,1
2903,7371565,1,0,0,1
2904,7371566,0,1,1,1
2905,7371567,1,1,1,1
2906,7371568,1,0,1,1
2907,7371569,0,1,1,1
2908,7371570,1,1,1,1
2909,7371571,1,0,1,1
2910,7371572,0,1,1,0
2911,7371573,1,1,1,0
2912,7371574,1,0,1,0
3000,0,0,0,0,0
3001,7395927,0,0,0,1
3002,7395928,0,0,0,1
3003,7395929,0,0,0,1
3004,7395930,0,1,0,0
3005,7395931,7352510,7352512,7352511,0
3006,7395932,7352513,7352515,7352514,7352516
3007,7395933,7352517,7352519,7352518,0
3008,7395934,1,0,0,0
3009,7395935,0,1,0,0
3010,7395936,7352520,7352521,0,0
3011,7395937,7352522,7352523,7352524,7352525
3012,7395938,7352526,7352527,0,0
3013,7395939,1,0,0,0
3014,7395940,0,1,0,0
3015,7395941,7352528,7352530,0,7352529
3016,7395942,7352531,7352534,7352532,7352533
3017,7395943,7352535,7352536,0,7352537
3018,7395944,1,0,0,0
3019,7395945,0,0,1,0
3020,7395946,0,0,1,0
3021,7395947,0,0,1,0
3100,0,0,0,0,0
3101,7396011,0,0,0,1
3102,7396012,0,0,0,1
3103,7396013,0,0,0,1
3104,7396014,0,1,0,0
3105,7396015,7352538,0,7352539,7352540
3106,7396016,0,0,7352545,7352546
3107,7396017,0,7352549,7352548,7352547
3108,7396018,1,0,0,0
3109,7396019,0,1,0,0
3110,7396020,7352542,7352544,7352541,7352543
3111,7396021,7352550,7352552,7352551,7352553
3112,7396022,7352554,7352556,7352555,7352557
3113,7396023,1,0,0,0
3114,7396024,0,1,0,0
3115,7396025,7352558,0,7352559,7352560
3116,7396026,0,0,7352561,7352562
3117,7396027,0,7352565,7352564,7352563
3118,7396028,1,0,0,0
3119,7396029,0,0,1,0
3120,7396030,0,0,1,0
3121,7396031,0,0,1,0
3200,0,0,0,0,0
3201,7396086,0,1,0,1
3202,7396087,1,1,0,1
3203,7396088,1,0,0,1
3204,7396089,0,1,1,1
3205,7396090,1,1,1,1
3206,7396091,1,0,1,1
3207,7396092,0,1,1,1
3208,7396093,1,1,1,1
3209,7396094,1,0,1,1
3210,7396095,0,1,1,0
3211,7396096,1,1,1,0
3212,7396097,1,0,1,0
3300,0,0,0,0,0
3301,7395969,0,0,0,1
3302,7395970,0,0,0,1
3303,7395971,0,0,0,1
3304,7395972,0,1,0,0
3305,7395973,7343409,7343411,7343410,0
3306,7395974,7343412,7343414,7343413,7343415
3307,7395975,7343417,7343428,7343427,0
3308,7395976,1,0,0,0
3309,7395977,0,1,0,0
3310,7395978,7343429,7343430,0,0
3311,7395979,7343431,7343433,7343432,7343434
3312,7395980,7343435,7343436,0,0
3313,7395981,1,0,0,0
3314,7395982,0,1,0,0
3315,7395983,7343437,7343439,0,7343438
3316,7395984,7343440,7343443,7343442,7343441
3317,7395985,7343444,7343446,0,7343445
3318,7395986,1,0,0,0
3319,7395987,0,0,1,0
3320,7395988,0,0,1,0
3321,7395989,0,0,1,0
3400,0,0,0,0,0
3401,7396053,0,0,0,1
3402,7396054,0,0,0,1
3403,7396055,0,0,0,1
3404,7396056,0,1,0,0
3405,7396057,7351045,0,7351046,7351047
3406,7396058,0,0,7351049,7351048
3407,7396059,0,7351052,7351050,7351051
3408,7396060,1,0,0,0
3409,7396061,0,1,0,0
3410,7396062,7351053,7351056,7351054,7351055
3411,7396063,7351059,7351057,7351058,7351060
3412,7396064,7351062,7351064,7351063,7351061
3413,7396065,1,0,0,0
3414,7396066,0,1,0,0
3415,7396067,7351066,0,7351067,7351065
3416,7396068,0,0,7351069,7351068
3417,7396069,0,7351072,7351070,7351071
3418,7396070,1,0,0,0
3419,7396071,0,0,1,0
3420,7396072,0,0,1,0
3421,7396073,0,0,1,0
3500,0,0,0,0,0
3501,7396110,0,1,0,1
3502,7396111,1,1,0,1
3503,7396112,1,0,0,1
3504,7396113,0,1,1,1
3505,7396114,1,1,1,1
3506,7396115,1,0,1,1
3507,7396116,0,1,1,1
3508,7396117,1,1,1,1
3509,7396118,1,0,1,1
3510,7396119,0,1,1,0
3511,7396120,1,1,1,0
3512,7396121,1,0,1,0
3600,0,0,0,0,0
3601,9385179,0,0,0,1
3602,9385180,0,0,0,1
3603,9385181,0,0,0,1
3604,9385182,0,1,0,0
3605,9385183,9380302,9380335,9380303,0
3606,9385184,9380283,9380288,9380289,9380291
3607,9385185,9380331,9380332,9380334,0
3608,9385186,1,0,0,0
3609,9385187,0,1,0,0
3610,9385188,9380309,9380314,0,0
3611,9385189,9380273,9380279,9380276,9380277
3612,9385190,9380317,9380320,0,0
3613,9385191,1,0,0,0
3614,9385192,0,1,0,0
3615,9385193,9380326,9380329,0,9380328
3616,9385194,9380296,9380297,9380299,9380301
3617,9385195,9380321,9380324,0,9380323
3618,9385196,1,0,0,0
3619,9385197,0,0,1,0
3620,9385198,0,0,1,0
3621,9385199,0,0,1,0
3700,0,0,0,0,0
3701,9385222,0,0,0,1
3702,9385223,0,0,0,1
3703,9385224,0,0,0,1
3704,9385225,0,1,0,0
3705,9385226,9383328,0,9383346,9383347
3706,9385227,0,0,9383330,9383345
3707,9385228,0,9383341,9383329,9383340
3708,9385229,1,0,0,0
3709,9385230,0,1,0,0
3710,9385231,9383334,9383350,9383348,9383349
3711,9385232,9383331,9383344,9383342,9383343
3712,9385233,9383327,9383339,9383337,9383338
3713,9385234,1,0,0,0
3714,9385235,0,1,0,0
3715,9385236,9383333,0,9383351,9383352
3716,9385237,0,0,9383332,9383353
3717,9385238,0,9383335,9383336,9383326
3718,9385239,1,0,0,0
3719,9385240,0,0,1,0
3720,9385241,0,0,1,0
3721,9385242,0,0,1,0
3800,0,0,0,0,0
3801,9496467,0,0,0,1
3802,9496468,0,0,0,1
3803,9496469,0,0,0,1
3804,9496470,0,1,0,0
3805,9496471,9419357,9419372,9419358,0
3806,9496472,9419349,9419350,9419351,9419352
3807,9496473,9419369,9419370,9419371,0
3808,9496474,1,0,0,0
3809,9496475,0,1,0,0
3810,9496476,9419359,9419360,0,0
3811,9496477,9419345,9419348,9419346,9419347
3812,9496478,9419361,9419362,0,0
3813,9496479,1,0,0,0
3814,9496480,0,1,0,0
3815,9496481,9419366,9419368,0,9419367
3816,9496482,9419353,9419354,9419355,9419356
3817,9496483,9419363,9419365,0,9419364
3818,9496484,1,0,0,0
3819,9496485,0,0,1,0
3820,9496486,0,0,1,0
3821,9496487,0,0,1,0
3900,0,0,0,0,0
3901,9496510,0,0,0,1
3902,9496511,0,0,0,1
3903,9496512,0,0,0,1
3904,9496513,0,1,0,0
3905,9496514,9419375,0,9419393,9419394
3906,9496515,0,0,9419377,9419392
3907,9496516,0,9419388,9419376,9419387
3908,9496517,1,0,0,0
3909,9496518,0,1,0,0
3910,9496519,9419381,9419397,9419395,9419396
3911,9496520,9419378,9419391,9419389,9419390
3912,9496521,9419374,9419386,9419384,9419385
3913,9496522,1,0,0,0
3914,9496523,0,1,0,0
3915,9496524,9419380,0,9419398,9419399
3916,9496525,0,0,9419379,9419400
3917,9496526,0,9419382,9419383,9419373
