#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
93,the Crystal Font (T),T,6377382,1400,747,901,200,4,5,105,6,48,False
94,,,0,0,49,928,0,5,0,0,0,0,True
95,Weeping Trellis (A),A,6377382,1400,177,858,600,5,1,105,6,48,False
96,the Forsaken Isle (B),B,6377382,1400,189,713,100,5,1,105,6,48,False
97,Fortune's Ford (C),C,6377382,1400,494,744,300,5,1,105,6,48,False
98,Lilac Sea 1 (D),D,6536817,1420,90,514,300,5,1,106,6,48,False
99,Runners' Reach (E),E,6700238,1430,545,898,100,5,1,107,6,48,False
100,Bellflower Flood (F),F,6867744,1450,366,534,1000,5,2,108,6,49,False
101,Lilac Sea 2 (G),G,7215424,1480,741,797,300,5,2,110,6,49,False
102,Lilac Sea 3 (H),H,7395810,1490,901,898,300,5,3,111,6,50,False
103,northwest Bellflower (I),I,7580706,1510,174,394,1000,5,3,112,6,50,False
104,Corolla Isle (J),J,7770224,1520,533,457,100,5,3,113,6,50,False
105,southeast Bellflower (K),K,7964480,1540,646,677,1000,5,3,114,6,50,False
106,the floral reef (L),L,8163592,1550,562,320,600,5,4,115,6,51,False
107,Wingsreach (M),M,8163592,1550,806,570,100,5,4,115,6,51,False
108,the Floating Standard (N),N,8367682,1570,690,212,100,5,4,116,6,51,False
109,the Fluttering Bay (O),O,8576875,1580,737,433,600,5,4,117,6,51,False
110,Lilac Sea 4 (P),P,8791297,1600,62,88,600,5,5,118,6,52,False
111,Proudkeel (Q),Q,9011080,1610,374,296,100,5,5,119,6,52,False
112,east Dodie's Abyss (R),R,9011080,1610,922,340,1000,5,5,119,6,52,False
113,Lilac Sea 5 (S),S,9236357,1630,804,64,1000,5,5,120,6,52,False
114,west Dodie's Abyss (T),T,9236357,1630,485,62,1000,5,5,120,6,52,False
115,,,0,0,934,60,0,6,0,0,0,0,True
116,the Indigo Shallows (A),A,9236357,1630,822,159,100,6,1,120,6,52,False
117,Voyagers' Reprieve (B),B,9236357,1630,661,378,0,6,1,120,6,52,False
118,north Delphinium Seashelf (C),C,9236357,1630,624,168,400,6,1,120,6,52,False
119,Rainbringer Rift (D),D,9467266,1640,907,517,1000,6,1,121,6,52,False
120,south Indigo Deep 1 (E),E,9703948,1660,431,86,700,6,1,122,6,52,False
121,the Central Blue (F),F,9946547,1670,480,438,800,6,2,123,6,53,False
122,south Indigo Deep 2 (G),G,10450092,1700,393,257,700,6,2,125,6,53,False
123,the Talon (H),H,10711345,1720,286,364,0,6,3,126,6,54,False
124,southern Central Blue (I),I,10979129,1730,508,600,500,6,3,127,6,54,False
125,south Indigo Deep 3 (J),J,11253608,1750,85,93,500,6,3,128,6,54,False
126,the Talonspoint Depths (K),K,11534949,1760,76,316,700,6,3,129,6,54,False
127,Saltfarer's Eye (L),L,11823323,1780,728,764,100,6,4,130,6,55,False
128,Startail shallows (M),M,11823323,1780,331,660,400,6,4,130,6,55,False
129,Moonshadow Isle (N),N,12118907,1790,206,650,0,6,4,131,6,55,False
130,Emerald Drop (O),O,12421880,1810,895,919,1000,6,4,132,6,55,False
131,south Indigo Deep 4 (P),P,12732427,1820,86,494,800,6,5,133,6,56,False
132,south Delphinium Seashelf (Q),Q,13050738,1840,461,816,800,6,5,134,6,56,False
133,Startail shelf (R),R,13050738,1840,196,810,900,6,5,134,6,56,False
134,Cradle of the Winds (S),S,13377007,1850,520,926,1000,6,5,135,6,56,False
135,Startail Trench (T),T,13377007,1850,88,927,1000,6,5,135,6,56,False
136,,,0,0,933,940,0,7,0,0,0,0,True
137,eastern Blackblood Wells (A),A,13377007,1850,883,870,500,7,1,135,6,56,False
138,Sea Wolf Cove (B),B,13377007,1850,907,579,1000,7,1,135,6,56,False
139,southernmost Hanthbyrt (C),C,13377007,1850,803,779,0,7,1,135,6,56,False
140,Oeyaseik (D),D,13711433,1870,727,634,400,7,1,136,6,56,False
141,northeast Hanthbyrt (E),E,14054219,1880,850,360,0,7,1,137,6,56,False
142,Vyrstrant (F),F,14405575,1900,551,645,600,7,2,138,6,58,False
143,the Sunken Jawbone (G),G,15134858,1930,472,432,600,7,2,140,6,58,False
144,,,0,0,0,0,0,0,0,0,0,0,False
145,,,0,0,0,0,0,0,0,0,0,0,False
146,,,0,0,0,0,0,0,0,0,0,0,False
147,,,0,0,0,0,0,0,0,0,0,0,False
148,,,0,0,0,0,0,0,0,0,0,0,False
149,,,0,0,0,0,0,0,0,0,0,0,False
150,,,0,0,0,0,0,0,0,0,0,0,False
151,,,0,0,0,0,0,0,0,0,0,0,False
152,,,0,0,0,0,0,0,0,0,0,0,False
153,,,0,0,0,0,0,0,0,0,0,0,False
154,,,0,0,0,0,0,0,0,0,0,0,False
155,,,0,0,0,0,0,0,0,0,0,0,False
156,,,0,0,0,0,0,0,0,0,0,0,False
157,,,0,0,0,0,0,0,0,0,0,0,False
158,,,0,0,0,0,0,0,0,0,0,0,False
159,,,0,0,0,0,0,0,0,0,0,0,False
