#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100028,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100029,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100030,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1601,0,11,1,0,10,False
100031,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1602,0,11,5,18,10,False
100032,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,11,7,88,10,False
100033,Rapid Synthesis,"Increases progress.
**Efficiency:** 250%
**Success Rate:** 50%",0,100033,100033,100033,100033,100033,100033,100033,100033,241,248,786,0,0,1,0,-1,False
100034,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1616,0,11,18,32,10,False
100035,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100036,Brand of Ice,"Increases progress. Progress doubles when recipe affinity is ice.
**Efficiency:** 100% (200%)
**Success Rate:** 90%",0,100036,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100037,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100038,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100039,Piece by Piece,"Increases remaining progress by up to 33%. Increase to progress in a single step cannot exceed 1,000.
**Success Rate:** 90%",0,100039,100039,100039,100039,100039,100039,100039,100039,239,246,786,0,0,1,0,-1,False
100040,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,11,13,7,10,False
100041,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100042,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100043,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100044,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100045,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1701,0,13,1,0,12,False
100046,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1702,0,13,5,18,12,False
100047,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,13,7,88,12,False
100048,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1716,0,13,18,32,12,False
100049,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100050,Brand of Earth,"Increases progress. Progress doubles when recipe affinity is earth.
**Efficiency:** 100% (200%)
**Success Rate:** 90%",0,100050,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100051,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100052,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100053,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,13,13,7,12,False
100054,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100055,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100056,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100057,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100058,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100059,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100060,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1751,0,14,1,0,13,False
100061,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1752,0,14,5,18,13,False
100062,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,14,7,88,13,False
100063,Careful Synthesis,"Increases progress.
**Efficiency:** 90%
**Success Rate:** 100%",0,100063,100063,100063,100063,100063,100063,100063,100063,240,247,786,0,0,1,0,-1,False
100064,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1765,0,14,18,32,13,False
100065,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100066,Brand of Lightning,"Increases progress. Progress doubles when recipe affinity is lightning.
**Efficiency:** 100% (200%)
**Success Rate:** 90%",0,100066,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100067,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100068,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100069,Careful Synthesis II,"Increases progress.
**Efficiency:** 120%
**Success Rate:** 100%",0,100069,100069,100069,100069,100069,100069,100069,100069,240,247,786,0,0,1,0,-1,False
100070,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,14,13,7,13,False
100071,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100072,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100073,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100074,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100075,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1651,0,12,1,0,11,False
100076,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1652,0,12,5,18,11,False
100077,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,12,7,88,11,False
100078,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1665,0,12,18,32,11,False
100079,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100080,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100081,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100082,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,12,13,7,11,False
100083,Flawless Synthesis,"Increases progress by 40.
**Success Rate:** 90%",0,100083,100083,100083,100083,100083,100083,100083,100083,239,246,786,0,0,1,0,-1,False
100084,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100085,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100086,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100087,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100088,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100089,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100090,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1801,0,15,1,0,14,False
100091,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1802,0,15,5,18,14,False
100092,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,15,7,88,14,False
100093,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1816,0,15,18,32,14,False
100094,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100095,Brand of Water,"Increases progress. Progress doubles when recipe affinity is water.
**Efficiency:** 100% (200%)
**Success Rate:** 90%",0,100095,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100096,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100097,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100098,Tricks of the Trade,Restores 20 CP. Can only be used when material condition is **Good** or **Excellent**.,0,100098,100098,100098,100098,100098,100098,100098,100098,242,249,786,0,0,1,0,-1,False
100099,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,15,13,7,14,False
100100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100101,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100102,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100103,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100104,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100105,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1851,0,16,1,0,15,False
100106,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1852,0,16,5,18,15,False
100107,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,16,7,88,15,False
100108,Hasty Touch,"Increases quality and requires no CP.
**Efficiency:** 100%
**Success Rate:** 50%",0,100108,100108,100108,100108,100108,100108,100108,100108,241,248,786,0,0,1,0,-1,False
100109,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1865,0,16,18,32,15,False
100110,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100111,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100112,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100113,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,16,13,7,15,False
100114,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100115,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100116,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100117,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100118,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100119,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100120,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100121,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100122,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100123,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100124,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100125,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100126,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100127,Byregot's Brow,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 150% plus 10% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70% (Specialist 100%)",0,100120,100121,100122,100123,100124,100125,100126,100127,240,247,786,0,0,1,0,-1,False
100128,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1524,0,9,53,18,8,False
100129,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1574,0,10,53,18,9,False
100130,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1625,0,11,53,18,10,False
100131,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1676,0,12,53,18,11,False
100132,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1724,0,13,53,18,12,False
100133,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1774,0,14,53,18,13,False
100134,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1825,0,15,53,18,14,False
100135,Precise Touch,"Increases **quality**.
**Additional Effect:** Increases **Inner Quiet** stack by one (up to 10)
**Efficiency:** 150%
**Success Rate:** 100%

Available only when material condition is **Good** or **Excellent**.",0,100128,100129,100130,100131,100132,100133,100134,100135,240,247,1875,0,16,53,18,15,False
100136,Muscle Memory,"Increases progress by 33%.
**Success Rate:** 100%

Available only on the first step. Increase to progress cannot exceed 1,000.",0,100136,100136,100136,100136,100136,100136,100136,100136,239,246,786,0,0,1,0,-1,False
100137,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100138,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100139,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100140,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100141,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100142,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100143,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100144,Innovative Touch,"**Specialist Action**

Increases quality.
**Additional Effect:** Innovation
**Efficiency:** 100%
**Success Rate:** 40%",0,100137,100138,100139,100140,100141,100142,100143,100144,240,247,786,0,0,1,0,-1,False
100145,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100146,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100147,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100148,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100149,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100150,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100151,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100152,Byregot's Miracle,"**Specialist Action**

Increases quality. **Inner Quiet** stack is halved upon use.
**Efficiency:** 100% plus 15% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 70%",0,100145,100146,100147,100148,100149,100150,100151,100152,240,247,786,0,0,1,0,-1,False
100153,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100154,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100155,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100156,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100157,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100158,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
100159,Nymeia's Wheel,"**Specialist Action**

Restores item durability. Amount determined by current **Whistle** stack. Whistle effect ends upon use.
**Success Rate:** 100%",0,100153,100154,100155,100156,100157,100158,100159,100160,242,249,786,0,0,1,0,-1,False
