#,QuestRedoParam[0].Quest,QuestRedoParam[0].UnknownParam,QuestRedoParam[1].Quest,QuestRedoParam[1].UnknownParam,QuestRedoParam[2].Quest,QuestRedoParam[2].UnknownParam,QuestRedoParam[3].Quest,QuestRedoParam[3].UnknownParam,QuestRedoParam[4].Quest,QuestRedoParam[4].UnknownParam,QuestRedoParam[5].Quest,QuestRedoParam[5].UnknownParam,QuestRedoParam[6].Quest,QuestRedoParam[6].UnknownParam,QuestRedoParam[7].Quest,QuestRedoParam[7].UnknownParam,QuestRedoParam[8].Quest,QuestRedoParam[8].UnknownParam,QuestRedoParam[9].Quest,QuestRedoParam[9].UnknownParam,QuestRedoParam[10].Quest,QuestRedoParam[10].UnknownParam,QuestRedoParam[11].Quest,QuestRedoParam[11].UnknownParam,QuestRedoParam[12].Quest,QuestRedoParam[12].UnknownParam,QuestRedoParam[13].Quest,QuestRedoParam[13].UnknownParam,QuestRedoParam[14].Quest,QuestRedoParam[14].UnknownParam,QuestRedoParam[15].Quest,QuestRedoParam[15].UnknownParam,QuestRedoParam[16].Quest,QuestRedoParam[16].UnknownParam,QuestRedoParam[17].Quest,QuestRedoParam[17].UnknownParam,QuestRedoParam[18].Quest,QuestRedoParam[18].UnknownParam,QuestRedoParam[19].Quest,QuestRedoParam[19].UnknownParam,QuestRedoParam[20].Quest,QuestRedoParam[20].UnknownParam,QuestRedoParam[21].Quest,QuestRedoParam[21].UnknownParam,QuestRedoParam[22].Quest,QuestRedoParam[22].UnknownParam,QuestRedoParam[23].Quest,QuestRedoParam[23].UnknownParam,QuestRedoParam[24].Quest,QuestRedoParam[24].UnknownParam,QuestRedoParam[25].Quest,QuestRedoParam[25].UnknownParam,QuestRedoParam[26].Quest,QuestRedoParam[26].UnknownParam,QuestRedoParam[27].Quest,QuestRedoParam[27].UnknownParam,QuestRedoParam[28].Quest,QuestRedoParam[28].UnknownParam,QuestRedoParam[29].Quest,QuestRedoParam[29].UnknownParam,QuestRedoParam[30].Quest,QuestRedoParam[30].UnknownParam,QuestRedoParam[31].Quest,QuestRedoParam[31].UnknownParam,FinalQuest,Unknown0,Chapter,Unknown1
19,67138,0,67139,0,67140,0,67141,0,67142,0,67143,0,67144,0,67145,0,67146,0,67147,0,67148,0,67149,0,67150,0,67151,0,67152,0,67153,0,67154,0,67155,0,67156,1,67157,2,67158,4,67159,0,67160,0,67161,0,67162,0,67163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
20,67164,0,67165,0,67166,0,67167,0,67168,0,67169,0,67170,0,67171,0,67172,0,67173,0,67174,0,67529,0,67530,0,67531,0,67532,0,67175,0,67176,0,67177,0,67178,0,67179,0,67180,0,67181,0,67182,0,67183,0,67184,0,67185,0,0,0,0,0,0,0,0,0,0,0,0,0,67205,0,8,21
21,67186,0,67187,0,67188,0,67189,0,67190,0,67191,0,67192,0,67193,0,67194,0,67195,0,67196,0,67197,0,67198,0,67199,0,67200,0,67201,0,67202,0,67203,0,67204,0,67205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
22,67692,0,67693,0,67694,0,67695,0,67696,0,67697,0,67698,0,67699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67783,0,9,23
23,67767,0,67768,0,67769,0,67770,0,67771,0,67772,0,67773,0,67774,0,67775,0,67776,0,67777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
24,67778,0,67779,0,67780,0,67781,0,67782,0,67783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
25,67877,0,67878,0,67879,0,67880,0,67881,0,67882,0,67883,0,67884,0,67885,0,67886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67895,0,10,26
26,67887,0,67888,0,67889,0,67890,0,67891,0,67892,0,67893,0,67894,0,67895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
27,67982,0,67983,0,67984,0,67985,0,67986,0,67987,1,67988,1,67989,1,67990,1,67991,2,67992,2,68491,2,68490,2,67993,2,67994,2,67995,2,67996,2,67997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68089,0,11,167
28,68006,0,68007,0,68008,0,68009,0,68010,0,68011,0,68012,0,68013,0,68014,0,68015,0,68016,0,68217,1,68489,2,68215,4,68017,0,68018,0,68019,0,68020,0,68021,0,68022,0,68023,0,68024,0,68025,0,68026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29
29,68027,0,68028,0,68470,0,68029,0,68030,0,68031,0,68032,0,68033,0,68471,0,68034,0,68035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
30,68166,0,68036,0,68037,0,68038,0,68039,0,68040,0,68041,0,68042,0,68043,0,68044,0,68045,0,68046,0,68047,0,68048,0,68049,0,68050,0,68051,0,68052,0,68053,0,68054,0,68055,0,68482,0,68056,0,68057,0,68483,0,68058,0,68059,0,68060,0,68061,0,0,0,0,0,0,0,68089,0,12,31
31,68062,0,68063,0,68064,0,68065,0,68066,0,68067,0,68068,0,68069,0,68070,0,68071,0,68072,0,68073,0,68074,0,68075,0,68076,0,68077,0,68078,0,68079,0,68080,0,68081,0,68082,0,68083,0,68084,0,68085,0,68086,0,68087,0,68088,0,68089,0,0,0,0,0,0,0,0,0,0,0,12,0
32,68498,0,68499,0,68500,0,68501,0,68502,0,68503,0,68504,0,68505,0,68506,0,68507,0,68508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68612,0,13,33
33,68558,0,68559,0,68560,0,68561,0,68562,0,68563,0,68564,0,68565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34
34,68606,0,68607,0,68608,0,68609,0,68610,0,68611,0,68612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
35,68679,0,68680,0,68681,0,68682,0,68683,0,68684,0,68685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68721,0,14,36
36,68715,0,68716,0,68717,0,68718,0,68719,0,68720,0,68721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
37,68815,0,68816,0,68817,0,68818,1,68819,1,68820,1,68821,1,68822,1,68823,1,68824,1,68825,1,68826,1,68827,2,68828,2,68829,2,68830,2,68831,2,68832,2,68833,2,68834,2,68835,2,68836,0,68837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69190,0,15,38
38,68838,0,68839,0,68840,0,68841,0,68842,0,68844,1,68845,2,68843,4,68846,0,68847,0,68848,0,68849,0,68850,0,68851,0,68852,0,68853,0,68854,0,68855,0,68856,0,68857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39
39,68858,0,68859,0,68860,0,68861,0,68862,0,68863,0,68864,0,68865,0,68866,0,68867,0,68868,0,68869,0,68870,0,68871,0,68872,0,68873,0,68874,0,68875,0,68876,0,68877,0,68878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
40,69142,0,69143,0,69144,0,69145,0,69146,0,69147,0,69148,0,69149,0,69150,0,69151,0,69152,0,69153,0,69154,0,69155,0,69156,0,69157,0,69158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69190,0,16,41
41,69166,0,69167,0,69168,0,69169,0,69170,0,69171,0,69172,0,69173,0,69174,0,69175,0,69176,0,69177,0,69178,0,69179,0,69180,0,69181,0,69182,0,69183,0,69184,0,69185,0,69186,0,69187,0,69188,0,69189,0,69190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
42,66695,0,66696,0,66849,0,66850,0,65579,0,65580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65580,0,17,0
43,67245,0,66735,128,66736,0,66737,0,66738,0,66739,0,67010,0,66030,0,66031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66031,0,18,0
44,67626,0,67627,0,67628,0,67629,0,67630,0,67785,0,67786,0,67787,0,67788,0,67789,0,67871,0,67872,0,67873,0,67874,0,67875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67875,0,19,0
45,67740,0,67741,0,67821,0,67822,0,67909,0,67910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67910,0,20,0
46,67650,0,67766,0,67824,0,67868,0,67930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67930,0,21,0
47,68464,0,68465,0,68466,0,68467,0,68468,0,68469,0,68567,0,68568,0,68569,0,68570,0,68571,0,68690,0,68691,0,68692,0,68693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68693,0,22,0
48,68539,0,68540,0,68625,0,68627,0,68628,0,68723,0,68724,0,68725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68725,0,23,0
49,68551,0,68552,0,68688,0,68701,0,68702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68702,0,24,0
50,66740,0,66741,0,66742,0,66743,0,66851,0,66852,0,66853,0,66854,0,66974,0,66975,0,66976,0,66977,0,65702,0,65738,0,65739,0,65740,0,66026,0,66027,0,66028,0,66029,0,66038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66038,0,25,0
51,67762,0,67763,0,67764,0,67765,0,67905,0,67906,0,67907,0,67908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67908,0,26,0
52,68544,0,68556,0,68557,0,68630,0,68631,0,68686,0,68687,0,68703,0,68704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68704,0,27,0
53,67405,0,67688,0,67689,0,67690,0,67691,0,67743,0,67744,0,67745,0,67746,0,67897,0,67898,0,67899,0,67900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67900,0,28,0
54,67011,0,67012,0,67013,0,67014,0,67015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67015,0,29,0
55,65720,0,65674,0,65741,0,65675,0,65676,0,65677,0,65678,0,65704,0,65705,0,66072,0,66073,0,66074,0,66075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66075,0,30,0
56,67533,0,67534,0,67535,0,67536,0,67537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67537,0,31,0
57,67977,0,67978,0,67979,0,67980,0,67981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67981,0,32,0
58,65721,0,65827,0,65828,0,65829,0,65830,0,65831,0,65832,0,65833,0,65834,0,65835,0,65836,0,65837,0,65838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65838,0,33,0
59,67543,0,67544,0,67545,0,67546,0,67547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67547,0,34,0
60,68129,0,68152,0,68153,0,68154,0,68155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68155,0,35,0
61,65722,0,65809,0,65810,0,65811,0,65812,0,65813,0,65814,0,65815,0,65816,0,65817,0,65818,0,65819,0,65820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65820,0,36,0
62,67574,0,67575,0,67576,0,67577,0,67578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67578,0,37,0
63,68130,0,68131,0,68132,0,68133,0,68134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68134,0,38,0
64,65723,0,66144,0,66146,0,66147,0,66149,0,66150,0,66151,0,66152,0,66153,0,66191,0,66192,0,66193,0,66194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66194,0,39,0
65,67606,0,67607,0,67608,0,67609,0,67610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67610,0,40,0
66,68135,0,68136,0,68137,0,68138,0,68139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68139,0,41,0
67,65724,0,65641,0,65745,0,65642,0,65671,0,65672,0,65673,0,65587,0,65597,0,65599,0,65600,0,65601,0,65602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65602,0,42,0
68,67611,0,67612,0,67613,0,67614,0,67615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67615,0,43,0
69,68145,0,68146,0,68147,0,68150,0,68151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68151,0,44,0
70,65725,0,66070,0,66071,0,66123,0,66125,0,66126,0,66127,0,66128,0,66129,0,66187,0,66188,0,66189,0,66190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66190,0,45,0
71,67538,0,67539,0,67540,0,67541,0,67542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67542,0,46,0
72,67967,0,67968,0,67969,0,67970,0,67971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67971,0,47,0
73,65726,0,66111,0,66113,0,66114,0,66116,0,66117,0,66118,0,66119,0,66120,0,66183,0,66184,0,66185,0,66186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66186,0,48,0
74,67601,0,67602,0,67603,0,67604,0,67605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67605,0,49,0
75,67972,0,67973,0,67974,0,67975,0,67976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67976,0,50,0
76,65727,0,65807,0,65790,0,65791,0,65793,0,65794,0,65795,0,65796,0,65802,0,65803,0,65804,0,65805,0,65806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65806,0,51,0
77,67579,0,67580,0,67581,0,67582,0,67583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67583,0,52,0
