#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
16,Log 16,To Eternity and Beyond,"Our facilities are complete and upon our cosmoport stands a new starship begging to be piloted. This chapter, my friends, marks the crowning achievement of our lunar development initiative!

For me, these days have passed in the haze of a dream, but thanks to our fearless leader Searchingway and all our wonderful contributors from Etheirys, gazing into the velvety black sky reflects to me something...profound. The arduous work of transcription becomes but a trifle, and my exhaustion fades quietly into the calm.

Henceforth, our efforts will be focused anew, to distant exploration! Insofar as our dreams persist and my exotablet remains charged, I will ever remain your faithful scribe. To adventures both old and new─to eternity and beyond!"
17,Log 1,Phaenna Beckons,"It is with great trepidation that I, the humble Reportingway, record the next momentous hop of our endeavor. I trust my words prove a worthy substitute for the excitement of cosmic exploration itself!

Having departed Sinus Ardorum aboard the *Galactic Way*, we now find ourselves on the glassy wonder that is Phaenna. With its abundance of silicon and tantalizingly unique environment, we had little choice but to select this planet as our first destination!

Thanks to the steadfast efforts of our advance party and the base-building techniques we pioneered on the moon, Glassblowers' Beacon already bristles with activity. Of course, we will need plenty more resource shipments before it truly blossoms, but with such committed contributors propelling the initiative forward, the future of the base and our goals beyond is bright indeed!"
18,Log 2,A Growing Glassblowers' Beacon,"With the *Galactic Way* constantly shuttling supplies from Sinus Ardorum, and our ever-dependable contributors striving nigh without cease, Glassblowers' Beacon has certainly begun to shine!

Perhaps one of the most striking features of our glorious base is its location: nestled within an extensive cave system providing shelter from the shard showers that rain down upon Phaenna.

That being said, the cave does not guarantee complete protection. Indeed, the rocky canopy is riven with yawning gaps that let in light, but also the aforementioned environmental hazards. Thankfully, our engineers are busy crafting a solution─abuzz with excitement as they devise a plan for expansion in harmony with the surrounding terrain!"
19,Log 3,New Frontiers for the Cosmoliner,"Work has begun to bring that triumph of lunar locomotion, the Cosmoliner, to the crystalline expanses of Phaenna!

The technology was conceived as a reliable mode of transport on distant stars without stable aetheric confluences, and this new frontier represents the Cosmoliner's first concrete test.

I understand that our research and engineering crews in particular await this development with bated breath. Unlike our adventurer cohort─who are used to traipsing across adverse terrain both stellar and terrestrial─our scholarly colleagues favor the convenience of a fully functioning transportation network!

If all proceeds according to plan, we shall soon be zipping and zooming around the immediate environs of Glassblowers' Beacon."
20,Log 4,For Happier Inhabitants,"Phaenna now has its very own habitation module! Compared with accommodations in Sinus Ardorum, these facilities feature more expansive communal areas, and have been designed with the utmost comfort in mind. In fact, from the very outset, no effort has been spared to ensure the well-being of our Etheirys-born contributors on their interstellar sojourn.

On this occasion, we sought the opinions of our researchers and engineers regarding their prospective dwellings. The respondents─mostly quartered in makeshift tents at the time─insisted they would be happy so long as they had a decent place to sleep. Interpreting this as a yearning for living space free from unnecessary accoutrements, we ultimately decided to implement a dimensionally reduced design, specially tailored to contributors' preferences!"
21,Log 5,An Ode to Infrastructure,"Let the water flow and the power surge, for Phaenna is now replete with energization and hydrofication stations!

Much like the rest of the star, Phaenna's water sources are incredibly rich in silicon─a fact which, while fascinating, does not entail ready potability. Fortunately for the initiative, the hydrofication process removes all impurities, leaving nothing but life-sustaining water. Of course, without sufficient power, the hydrofication station would struggle to hydroficate, but with the energization station taking care of our energy needs, we have nothing to fear on that front!

With these two vital pillars of infrastructure in place, our exploration can proceed apace!"
22,Log 6,A Place to Rest One's Weary Mech,"Our arsenal of mechs continues to prove indispensable here on Phaenna. Indeed, multiple mechs are a must for the ever-expanding initiative, as this ensures projects can continue unabated, even when dastardly technical issues strike!

When determining where to house such an integral arm of our operation, we had to address a number of logistical concerns, ultimately opting for the present location: centrally positioned, and well protected from the elements.

We have high hopes this facility─perfectly optimized for the star─proves a boon to the safety and stability of our mechanized workforce!"
23,Log 7,The Fragile Float,"The Cosmoliner now extends ever further, joining together the western and southern banks of the Soda-lime Float!

This was no easy feat, however. Initiative researchers theorize that these valleys were carved out by erosion from the liquid glass. As such, the uneven terrain complicated the flow of supplies and workers to the sites in question.

We had initially planned to lay Cosmoliner rail with all due haste, but soon realized that the region's fragile surfaces would doubtless buckle under the weight of our facilities. Thus, we deemed it prudent to regroup and seek out stable construction sites before commencing the work in earnest.

To wit, we owe the success of this endeavor to our provident engineers and surveyors!"
24,Log 8,Of Chasm and Crane,"Capsule Chasm is as a gaping maw upon Phaenna's surface, where “waterfalls” from the Soda-lime Float tumble from its cliffs. Layers of enormous, colorful clusters piled atop each other over the ages, forming the chasm floor as we now know it. Having been isolated from the rest of the star for so long, we were all but certain a plethora of new discoveries awaited us there!

The Appliqué Crane would be our key to unlocking these myriad mysteries. By melding its segments onto sturdy surfaces at the chasm's edges─not unlike a clay appliqué placed onto a work of glass─we could safely descend the cliffs on a path of our own making.

Though we faced many a challenge during the descent, our wealth of construction experience from Sinus Ardorum remains an invaluable asset to our success here in Phaenna!"
25,Log 9,Cosmoliners in the Chasm,"Our dream of Cosmoliner stations at the base of Capsule Chasm is now a breathtaking reality!

Of course, manifesting this vision was not without its own challenges. Cluster-laden cliffs and terrain barred our Cosmoliner's paths, making precise coordination between applicable stations─a vital step in this process─much thornier than usual. As we've gleaned from our previous projects, building Cosmoliner stations on glass ground is less than ideal!

But once again, our trials and tribulations in Sinus Ardorum have taught us how to efficiently handle such conundrums! By redoubling our efforts on locating areas where glass and sediment levels were well-balanced, we succeeded in pinpointing stable locations to connect and build each station. I cannot help but beam with pride at the once-insurmountable challenges our initiative can now overcome!"
26,Log 10,Our Shining Beacon,"My heart swells as I watch Glassblowers' Beacon grow from a place of necessity to one of comfort... Our base is the embodiment of the initiative's unwavering determination, and I, for one, am eternally grateful for it.

But what makes a base “comfortable,” one might ask? This humble writer attributes it to the Beacon's flawlessly placed facilities, each and every one purposely positioned to snugly fit the natural formations within the cave. We couldn't simply build in a tidy little line and call it a day─heavens, no! There was much to consider during construction, from building accessible paths for our mechs to traverse, to wiring and storage for our supplies! I've been privy to countless complaints from our engineers who pioneered this project, and though they may grumble, I am not blind to the glint of satisfaction in their eyes as they recount their struggles and successes.

One day, we shall expand the initiative to other stars from this very base...though I suspect that glorious occasion is still quite a ways off. For the present, we must endeavor to grow, and never forget how far we've come!"
27,Log 11,Upgrading the Hangar,"The naturally occurring glass on Phaenna is a most formidable material! While it is, of course, aesthetically pleasing, its durability is nigh unmatched, functioning as an efficient agent for solar energy conversion as well. With it, we've begun plating walls at the base and modified our mech hangar all the while!

'Twould be remiss of me not to note the brilliant collaboration between glasswork specialists from Etheirys and our very own engineers─without whom many of our projects would have proven impossible! But the fruits of their labor are astounding, and we've drastically improved our methods of conserving solar power as a result!"
28,Log 12,The Cosmoport Overhaul,"It is my great pleasure to note that we've expanded cosmoport functions...and with it, our aspirations!

Round trips to Sinus Ardorum should no longer pose an issue─and we may potentially set our sights even further into the cosmos when the initiative demands it! Our new and specialized energization stations have significantly reduced our vehicles' charging times as well, enabling the efficient and expedient flow of supplies to those who require them!

Now, launching and landing from a cave may sound like a hazardous undertaking...and indeed it would be, under normal circumstances! However, I'm told our engineers are hard at work programming detailed takeoff and landing routes for a risk-free automatic piloting system! Reminded of the potential perils involved in manning a starfaring vessel, I am compelled to reflect upon Cruisingway's first landing in Phaenna─her proficiency as a pilot cannot be understated!"
29,Log 13,Mega Panels for Megapower,"What fuels our aspirations here in Glassblowers' Beacon? Why, two great megapower panels!

The aether conversions of our energization station have been instrumental, of course, but our brand-new panels can efficiently condense light from Phaenna's sun into just the sort of energy we need to power our base.

If you stop to count, we have ever so many things that require power here─mechs trundling near and far, facilities that keep us housed and watered. Having more than enough energy is just enough energy, in the humble opinion of this writer. At the very least, I no longer need to fret about my tablet flickering out mid-sentence!"
30,Log 14,Chilling-a-Way the Heat,"We have successfully and strategically overcome one of the more punishing environmental challenges here on Phaenna─to wit, the molten glass of Fusingway Vent.

This star is possessed of a volatile geothermal signature known to create volcanic craters even in the most unlikely areas. Fusingway Vent is one such example, and it was here that the highly ambitious and experimental Operation Chilling-a-Way was executed. Thanks to our brave contributors (and a mobilization station full of coolant-toting drones), we managed to ethically freeze safe passage across the flows of molten glass.

Once an angry red, the glass in question has hardened to a beautiful pale blue, not unlike the color of the Soda-lime Float. As our drones can now tend to any further chilling we require, our explorers are free to survey the unique and perplexing environment of Fusingway Vent without the threat of burnt toes or singed tails. I, for one, am eager to know what they discover about the fundamental workings of this fascinating planet!"
31,Log 15,The Cosmoliner: Ventpipe Filigree,"The Cosmoliner has been safely extended into Fusingway Vent, completing the full circuit of our transport and providing easy access to every corner of Phaenna!

We deployed the drones from Operation Chilling-a-Way to ensure the ground was fully solidified before beginning construction. Rest assured that the Ventpipe Filigree will carry you safely through the volcanic crater without dropping you into piping hot glass!

Our Cosmoliner may seem humble compared to our contributors' many modes of travel, but it is a triumph born of our engineers' skill and ingenuity. With no little pride do I encourage all our explorers to make use of this convenient and exhilarating public transportation!"
32,Log 16,Phaenna Stellascope,"Feast your eyes upon the ultimate addition to Glassblowers' Beacon: an astrological telescope made from Phaenna's unique glass!

The Phaenna Stellascope is capable not only of enhancing images of faraway stars, but also estimating the density of celestial currents surrounding them. As the initiative's primary goals are to discover intelligent life and alien civilizations, our astronomers are already hard at work analyzing the findings of our truly gargantuan telescope!

With construction completed, we have achieved all that we intended to develop upon this star. We owe all our accomplishments to the many contributors, specialists, and researchers that have worked tirelessly to see our dreams fulfilled. On behalf of the entire initiative, I extend to you my most profound thanks!"
33,Log 17,Beholding the Heavens,"The *Galactic Way* sits upon the cosmoport, awaiting the discovery of another eligible star. That her maiden voyage brought us here, to this planet of glass, feels like nothing less than providence. After all, it was by Phaenna's particular boons that we were able to polish and refine the grand lens of our telescope, a curious eye seeking bounties anew.

Regardless of where our next leap lands, I can say with certainty that our band of merry dreamers has proven its mettle as an initiative of indefatigable explorers. And yet, our journey leads on. This step outside Etheirys's star system necessitates another, and until the day of our next departure, we shall keep our gaze fixed upon the heavens."
34,Log 1,Our First Steps on Oizys,"Once again, I, Reportingway, am honored to put to pen the initiative's endeavors on a new frontier: Oizys. I can only hope to convey a fraction of the haunting and enigmatic beauty in the scenes before me!

Our research teams decided our next destination in conjunction with the Studium's Faculty of Astronomy, guided by observations from the Phaenna Stellascope. Oizys was eventually selected due to its singular natural environment─sculpted by some manner of gravitational anomaly─and, above all, the remnants of civilization detected upon its surface. What stories lie untold upon this star? As the initiative's ace reporter, my ears are aflutter with anticipation!

We have established our primary base, Terra Firma, around the exoskeleton of an ancient structure, which stands tall despite the ruptured earth around it. Having withstood the gravitational destruction for so long, it shall doubtless serve our purposes well as we expand and develop. As we are certain to do─for there are far too many mysteries waiting to be uncovered by our capable contributors!"
35,Log 2,A Habitation Module of One's Own,"As part of interior and exterior refurbishments of Terra Firma, Oizys is now outfitted with habitation modules!

Establishing the Sinus Ardorum and Phaenna bases of operation was oft a matter of carving out functional and relatively comfortable living space amidst harsh natural environments. One cannot help but be struck by the marked contrast of construction upon Oizys, where we find ourselves clearing rubble left by those who came before.

After several incidents involving contributors more focused on their exotablets than their surrounds, floating rocks and other head-height hazards have been removed from the base. Rest assured, though, that no precious data was lost─precise measurements were taken of both coordinates and mass of all floating objects.

And with the gravitational magick controls installed in habitation modules, we need not risk becoming an unintended floating object during moments of repose. The needs of each new base leads to breakthroughs in habitation module adaptability, and, we hope, to better-rested contributors!"
36,Log 3,Expanding the Cosmoliner's Reach,"The Cosmoliner network on Oizys now covers the wasteland surrounding the Megalithopolis, installed at a breakneck speed made possible by the bedrock of knowledge and experience our engineering crew have obtained from our previous forays!

Ask an engineer after a hard shift exactly *how* the Cosmoliner operates, and you'll be treated to a treatise on stations interlinked by aetherial tethers─akin to artificial aether currents, as this humble reporter understands it. Thus far, such pairings have relied upon precise coordinates at counterpart stations. However, gravitational anomalies on Oizys were discovered to cause minor fluctuations in coordinate data, necessitating an urgent and drastic overhaul to the system to permit a margin of error.

And now, with the Cosmoliner network covering the entire scope of current exploration, the engineering team's sleepless nights will save many sore feet!"
37,Log 4,Infrastructure to Rely On,"Hydrofication and energization stations have been successfully installed on Oizys, bringing us one step closer to a fully functional base!

A complex web of gravitational forces is at play on Oizys, and, naturally, any equipment brought to this star feels the effects of the anomalies that occur here in some way. Still, our key infrastructure underpins the entire venture─malfunctions and failure simply cannot be tolerated. Any and all challenges must be overcome, even if they be as mundane as keeping a reservoir of drinking water from floating away.

Once again, our answer lay in gravitational magicks. Their skillful application on complex mechanisms has ensured that, for now, our essential infrastructure remains reliably operational."
38,Log 5,A Generational Shift,"Gravity generators installed on the Unmoored Anchor have established a foothold on Shadefleet, that floating invitation to exploration!

The convenient contraptions amplify gravitational magicks and direct them towards the cliffs of Shadefleet, resulting in a beam of concentrated energy strong enough to amass all floating rocks within its range. As this debris firmly packs the chasm, an equilibrium is reached─and a perfectly functional bridge emerges.

Current theories suggest that Shadefleet once rested at the same elevation as the plains surrounding the Megalithopolis, before being violently wrested skywards. In other words, minerals that once lay deep underground now lie exposed. Who can say what discoveries await our intrepid explorers as they brave the bridge?"
39,Log 6,On the Rocks,"Shadefleet is now connected to the Cosmoliner network via the Unmoored Anchor station!

Though a marvel of engineering, the bridge created by the gravity generators presented certain hurdles. Quite apart from its limited load-bearing capacity, a group of researchers with a particularly pronounced fear of heights submitted a petition claiming it was not fit for purpose─which included impassioned personal accounts of crawling on their hands and knees, with eyes tightly shut, lest they topple into the abyss. With the Cosmoliner, we need suffer no such setbacks to productivity!

Being closer to the gravity spheres in the sky, the new stations will likely be more susceptible to gravity distortions. Early indications do not suggest this will result in passengers being torn into the sky─though the unusual conditions will doubtless prove valuable for future Cosmoliner research and development. All contributors are encouraged to ride with peace of mind!"
40,Log 7,Firmer Foundations for Terra Firma,"Work on the base exterior and interior to expand operations was performed in tandem with repairs to the original structure, ahead of planned restoration work on the crystalline mechanism in the center.

The energization station is primed to channel maximum output into Terra Firma and wiring to surrounding facilities is now complete, ensuring connectivity of all functions.

As more and more intrepid souls arrive on Oizys, it was the ideal opportunity to refurbish the mech hangar and related infrastructure. Newcomers can expect their introduction to the initiative to be a somewhat more comfortable experience.

With the base suitably prepared, we can finally shift our focus to the reawakening of the colossal structure at the heart of Terra Firma: the Euhedron."
41,Log 8,Euhedron Awakened,"With its aether restored, the Euhedron shines again in all its crystalline glory!

The research teams hypothesize that the Euhedron functions as some kind of immense data storage device, though the knowledge within appears to be incomplete. Decoding it will take time─likely in the form of many sleepless nights. There is evidence to suggest that the Euhedron once floated, and it seems safe to assume that its crashing to the ground may have resulted in some damage.

Though it continued to rest listlessly upon the ground despite its restored luster, the Cosmic Exploration Initiative is nothing if not ingenious. Yes, dear reader, the Euhedron was restored to its former position! Upon steel girders for now, perhaps─but do we not all need a little support every once in a while?

Elsewhere, expansion raised concerns regarding the environmental adaptations. To ensure our contributors can enjoy a long, comfortable stay on Oizys, habitation modules have been outfitted with panels to negate adverse gravitational effects, constructed from locally sourced materials."
42,Log 9,Cosmoport Support,"The cosmoport, gateway to Oizys, has been expanded!

A dedicated energization station accelerates the rate of charging, while installation of the anti-anomaly panels─similar to those of the habitation modules─provides greater stability during takeoff and landing procedures. Cosmoliner connections to key facilities have also been optimized, creating a smoother supply network for valuable resources!

Given the presence of gravity spheres above the base, strict limits were set in place on how much cargo could be loaded aboard inbound ships. With the improved functionality of the cosmoport, these limits can finally be lifted. This allows for increased shipments to Etheirys, and is a crucial step for further exploration of the cosmos! 

As ever, the impact of the gravitational anomalies continues to inform our direction on the ground─quite literally, it would seem. Minute changes have been recorded in the ground some distance from the rainbow crystal. While it may yet seem insignificant, this humble reporter senses a big discovery is not far off..."
43,Log 10,Knocking on Burrow's Door,"When Oizys's shifting gravity revealed a large ruin in Emerald Echoes, our tireless contributors came together to remove sand, rubble, and rock alike. And what should emerge but a door─undoubtedly the ingress point of a larger subterranean structure!

Noting the resemblance to a sand rat's nest, Namingway has bestowed the name “Desert Burrow” upon the ruin. What discoveries have the Voyagers left for us beyond the door, I wonder...?

To facilitate further exploration, the Cosmoliner network has been expanded to deposit you right by the front door, so to speak─now, all that remains is for our contributors and researchers to pick the proverbial lock!"
44,Log 11,Burrowing In,"Our restoration efforts have paid off, and the ruins now lie open. The glow of the door markings has shed light on the Voyagers' civilization, both figuratively and literally. Our investigations thus far have revealed that these facilities were once powered by dense currents of aether directed through crystals─our predecessors' advanced understanding of aetherology is most inspiring!

While surveys of the interior have yet to begin in earnest, we've placed simple lighting around the ruin to allow our hardworking teams to gawp in admiration without fear of stumbling in the dark.

Already, a crystalline structure has been discovered within. The base is alight with speculation on what its activation may reveal─further chambers? Or other long-buried truths?"
45,Log 12,A Stone to Guide Us,"The aforementioned structure in the ruins─which we've come to call the Guide Stone─has been successfully reactivated!

As if in response, crystals throughout the ancient corridors lit up with a soft, lamplike glow. As we uncover these small glimpses into the past, one cannot help but wonder what this place looked like in the age of the Voyagers. What purpose was it built to fulfill? And did these halls once teem with eager researchers as they do now?

The key to these mysteries, among others, likely lies within the Metahedron, a massive crystalline terminal discovered at the heart of the Burrow. Preliminary observations suggest it to be a small-scale replica of the Euhedron itself.

If, like the dormant giant of Terra Firma, the Metahedron can likewise be reawakened, then we may have our answers."
46,Log 13,Metahedron Awakened,"After ages of slumber, the Metahedron has reawakened!

Its great crystalline pillars glow with the same verdant shades of the Euhedron, calling the vibrant foliage of Etheirys to mind. Initiative findings suggest that the Euhedron and Metahedron are comprised of the same material as their Guide Stone counterpart, though the two larger terminals are of a far higher purity. Perhaps the deeper, more vibrant color is an indication.

Though I am no expert in aetherology, perhaps these larger structures required the removal of impurities that obstruct the flow of aether.

Putting aside this reporter's unfounded musings, there is much to be learned in the days to come. Our researchers have already found signs of aetherial resonance between the Euhedron and Metahedron, for one thing! It is only a matter of time before their connection is fully understood."
47,Log 14,On Emerald Tracks,"The Cosmoliner now extends to the deepest reaches of Desert Burrow!

The Guide Stone and Metahedron will require a consistent supply of aether-rich Oizys jasper to remain operational. As such, the Cosmoliner was deemed the most efficient method of transporting these materials.

While investigations are still ongoing, initial findings also suggest an added benefit of construction: the artificial aether currents between each station may prove instrumental in strengthening the connection between the Euhedron and the Metahedron.
 
This final expansion completes all planned Cosmoliner construction within the exploration zone. The next phase of the project will fall predominantly upon the shoulders of our research teams as they bring the secrets of the Metahedron to light!"
48,Log 15,Further Fortifying Terra Firma,"Further structural reinforcements have been carried out on Terra Firma!

Interior sectors undergoing maintenance have been finished in preparation for planned construction, and the base is in tip-top shape. Of course, in the spirit of the initiative, all installations are temporary, allowing us to return the ruin to its original, unaltered state should the time come for us to take our leave of Oizys. Though reversible reinforcements may sound like an unrealistic aim, the talent and perseverance of our contributors continue to make the impossible possible!

But, you may ask, why go to such trouble to reinforce Terra Firma?

Once again, our crystalline terminals hold the answers. Even now, plans are being finalized for the construction of a communications tower atop the base, which will amplify the resonance between the Metahedron and Euhedron and allow the transfer of aetheric information between them.

Ahead of the construction phase, elevators and exterior staircases have been installed to grant access to the roof. I must say, it's an excellent spot to gaze out over Oizys and admire the fruits of our labors thus far!"
49,Log 16,A Tower of Triumph,"With its twin spires reaching skywards atop Terra Firma, construction of the Orthostat Tower is now complete!

Even now, the mechanisms within are emitting great volumes of aetherial information. It shall serve as a resonator to join the Euhedron and Metahedron, despite the distance between them.

The Euhedron was missing vital aetheric information, making full reactivation impossible. However, if we can synchronize it with the pristine information banks of the Metahedron...we may finally have all the pieces to the puzzle!

All evidence seems to indicate that the Euhedron was an integral part of the Voyagers' activities here on Oizys. Once reactivated, we may be able to learn more about our enigmatic predecessors. Driven by the promise of discovery, our researchers are preparing to calibrate the Orthostat Tower for full operational status."
50,Log 17,Of Past and Future Voyages,"What secrets will the Euhedron reveal? Our research teams are hard at work even now, eager to pierce the veil. 

Any information we obtain about the Voyagers will greatly inform the initiative's next hop forward. Preparations are already underway on the *Galactic Way*─it will be ready, when the time comes.

When we discovered Oizys through the Phaenna Stellascope, we immediately observed traces of a bygone civilization. But from such a distance, we had no way of knowing what lay in store. Of knowing them.

Through our exploration of this star, I believe we have witnessed the Voyagers─and walked alongside them─in our own way. What were their ambitions? Their hopes? Their dreams?

To learn the answers, we must continue our voyage. For it was theirs, too."
