#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
44,You rearranged the furniture of .,4,8,0,5,11
45,You rearranged the furnishings of .,4,8,0,5,11
46,You deleted a message from the  message book.,4,8,0,5,11
47,Application received from you.,4,0,0,2,12
48,Application from you withdrawn.,4,0,0,2,12
49,The character “you” no longer exists.,4,0,0,2,12
50,Application from you declined.,4,0,0,2,12
51,Unable to accept additional applications at this time.,0,0,0,2,12
52,You planted  in the .,4,10,1,6,13
53,You applied  to a plant in the .,4,10,1,6,13
54,You tended a plant in the .,4,10,0,6,13
55,You harvested  from the .,4,11,1,6,13
56, was obtained through successful intercrossing.,0,11,1,6,13
57,"Due to your absence, the rank of “” was transferred.",4,5,0,2,3
58,You removed a crop in the .,4,10,0,6,13
59,You added room #UNKNOWN to the estate.,4,0,1,5,11
60,You demolished room #UNKNOWN.,4,0,1,5,11
61,You cleaned the chocobo stables.,4,0,0,7,11
62,You trained .,4,12,0,7,11
63,You placed  in wheel slot one.,16,14,1,5,11
64,You removed the unprimed  from wheel slot one.,16,14,1,5,11
65,You removed  from wheel slot one.,16,14,1,5,11
66,"You converted the energy of  into the company action “,” readying it for activation.",16,14,1,4,9
67,You added a workshop beneath the estate.,16,0,0,8,15
68,You demolished the workshop beneath the estate.,16,0,0,8,15
69,You set  as the company workshop project.,16,14,0,8,15
70,All materials required in 's next stage of creation have been readied.,0,14,0,8,15
71,Progress was made on .,0,14,1,8,15
72,Progress was made in completing .,0,14,1,8,15
73,You removed  from the company workshop.,16,14,0,8,15
74,You discontinued the company workshop project.,16,0,0,8,15
75,You created a new .,16,0,1,8,15
76,You registered company airship **No. UNKNOWN** - **.,16,15,1,9,14
77,You changed the name of company airship **No. UNKNOWN** to **.,16,15,1,9,14
78,You dismantled company airship **No. UNKNOWN** - **.,16,15,1,9,14
79,You deployed ** on an exploratory voyage.,16,15,0,9,14
80,You recalled ** from the exploratory voyage.,16,15,0,9,14
81,You finalized the exploratory voyage report for **.,16,15,0,9,14
82,** is now rank UNKNOWN.,16,15,1,9,14
83,Company airship **No. UNKNOWN** may now be registered.,16,15,1,9,14
84,You exchanged 0 company credit for UNKNOWN .,16,22,1,1,0
85,"In one delivery, You contributed more than 60% of the  required for .",16,22,1,8,15
86,You charted a new course to the Diadem (Hard)!,16,0,0,9,14
87,"The company estate was deemed abandoned and the deed to plot UNKNOWN, ward UNKNOWN,  was revoked. Several salvageable possessions were placed in the care of the area's resident caretaker.",0,7,0,5,11
88,"You visited the estate, canceling the auto-demolition process.",16,0,0,5,11
89,"Possessions placed into the care of the resident caretaker after the demolition of the estate on plot UNKNOWN, ward UNKNOWN,  were not collected within the allotted time and have been discarded.",0,7,0,5,11
90,You planted  in a flowerpot.,16,14,0,6,13
91,You tended the items in a flowerpot.,16,0,0,6,13
92,You harvested  from a flowerpot.,16,14,1,6,13
93,You destroyed the items in a flowerpot.,16,0,0,6,13
94,"You relocated the estate to plot UNKNOWN, ward UNKNOWN, .",4,7,0,5,11
95,You registered company submersible **No. UNKNOWN** - **.,16,15,1,9,14
96,You changed the name of company submersible **No. UNKNOWN** to **.,16,15,1,9,14
97,You dismantled company submersible **No. UNKNOWN** - **.,16,15,1,9,14
98,You deployed ** on a subaquatic voyage.,16,15,0,9,14
99,You recalled ** from the subaquatic voyage.,16,15,0,9,14
100,You finalized the subaquatic voyage report for **.,16,15,0,9,14
101,** is now rank UNKNOWN.,16,15,1,9,14
102,Company submersible **No. UNKNOWN** may now be registered.,16,15,1,9,14
103,You deleted 's entry from the message book.,16,23,0,5,11
104,You updated the message book settings.,16,0,0,5,11
105,You assigned the residence a tag.,16,0,0,5,11
106,You changed 's interior design.,16,15,0,5,11
107,,0,0,0,0,0
