#,Item,RequiredQuest,LevelMin,LevelMax,CollectablesShopRefine,CollectablesShopRewardScrip,CollectablesShopItemGroup,Stars,Key
14.31,20040,0,70,70,32,31,9,1,3
14.32,20051,0,70,70,33,32,9,1,3
14.33,20030,0,70,70,34,33,9,1,3
14.34,20100,0,70,70,35,34,9,1,3
14.35,20142,0,70,70,36,35,9,1,3
14.36,20074,0,70,70,37,36,9,1,3
14.37,20227,0,65,70,142,656,9,0,3
14.38,20230,0,65,70,143,657,9,0,3
14.39,20021,0,70,70,30,29,9,0,3
14.40,20019,0,70,70,31,30,9,0,3
14.41,20234,0,65,70,144,658,9,0,3
14.42,20239,0,65,70,145,659,9,0,3
14.43,27431,0,70,71,38,37,10,0,3
14.44,27455,0,72,72,39,38,10,0,3
14.45,27480,0,74,74,40,39,10,0,3
14.46,27534,0,70,74,146,660,10,0,3
14.47,27535,0,70,75,147,661,10,0,3
14.48,27491,0,76,76,41,40,10,0,3
14.49,27492,0,76,76,42,41,10,0,3
14.50,27442,0,78,78,43,42,10,0,3
14.51,27567,0,75,79,148,662,10,0,3
14.52,27581,0,75,79,149,663,10,0,3
14.53,27432,0,80,80,44,43,10,1,3
14.54,27456,0,80,80,45,44,10,1,3
14.55,27467,0,80,80,46,45,10,1,3
14.56,27481,0,80,80,47,46,10,1,3
14.57,27494,0,80,80,48,47,10,1,3
14.58,27508,0,80,80,49,48,10,1,3
14.59,27502,0,80,80,50,49,10,0,3
14.60,27510,0,80,80,51,50,10,0,3
14.61,27566,0,75,80,150,664,10,0,3
14.62,27580,0,75,80,151,665,10,0,3
14.63,36399,0,80,81,52,51,62,0,3
14.64,36417,0,82,82,53,52,62,0,3
14.65,36423,0,84,84,54,53,62,0,3
14.66,36441,0,86,86,55,54,62,0,3
14.67,36473,0,86,86,56,55,62,0,3
14.68,36446,0,88,88,57,56,62,0,3
14.69,36494,0,90,90,58,57,62,0,3
14.70,36515,0,90,90,59,58,62,0,3
14.71,36440,0,90,90,60,59,62,1,3
14.72,36480,0,90,90,61,60,62,1,3
14.73,36414,0,90,90,62,61,62,1,3
14.74,36521,0,90,90,63,62,62,1,3
14.75,36472,0,90,90,64,63,62,1,3
14.76,36454,0,90,90,65,64,62,1,3
14.77,36568,0,80,83,152,666,62,0,3
14.78,36578,0,80,84,153,667,62,0,3
14.79,36573,0,80,85,154,668,62,0,3
14.80,36546,0,85,89,155,669,62,0,3
14.81,36535,0,85,90,156,670,62,0,3
14.82,36580,0,85,90,157,671,62,0,3
14.83,43682,0,90,91,188,685,74,0,3
14.84,43694,0,92,92,189,686,74,0,3
14.85,43722,0,94,94,190,687,74,0,3
14.86,43737,0,96,96,191,688,74,0,3
14.87,43741,0,96,96,192,689,74,0,3
14.88,43755,0,98,98,193,690,74,0,3
14.89,43775,0,100,100,194,691,74,0,3
14.90,43761,0,100,100,195,692,74,0,3
14.91,43685,0,100,100,196,693,74,1,3
14.92,43713,0,100,100,197,694,74,1,3
14.93,43749,0,100,100,198,695,74,1,3
14.94,43762,0,100,100,199,696,74,1,3
14.95,43792,0,100,100,200,697,74,1,3
14.96,43795,0,100,100,201,698,74,1,3
14.97,43822,0,90,93,202,699,74,0,3
14.98,43821,0,90,95,203,700,74,0,3
14.99,43842,0,100,100,204,701,74,0,3
14.100,43841,0,100,100,205,702,74,0,3
15.0,10604,0,50,51,66,99,11,0,3
15.1,10610,0,50,51,66,87,11,0,3
15.2,10634,0,50,51,66,70,11,0,3
15.3,10605,0,52,52,67,161,11,0,3
15.4,10611,0,52,52,67,182,11,0,3
15.5,11911,0,52,52,67,116,11,0,3
15.6,11927,0,52,53,68,140,11,0,3
15.7,11935,0,52,53,68,246,11,0,3
15.8,12014,0,52,53,68,158,11,0,3
15.9,12020,0,52,53,68,133,11,0,3
15.10,10606,0,54,54,69,191,11,0,3
15.11,10612,0,54,54,69,191,11,0,3
15.12,10636,0,54,54,69,185,11,0,3
15.13,11912,0,54,55,71,225,11,0,3
15.14,12011,0,54,54,69,229,11,0,3
15.15,12581,0,56,56,72,69,11,0,3
15.16,10607,0,56,56,74,316,11,0,3
15.17,10613,0,56,56,74,349,11,0,3
15.18,10883,0,56,56,74,284,11,0,3
15.19,10925,0,56,56,74,291,11,0,3
15.20,11913,0,56,57,75,199,11,0,3
15.21,11928,0,56,56,74,201,11,0,3
15.22,11936,0,56,56,74,238,11,0,3
15.23,12021,0,56,57,75,120,11,0,3
15.24,10608,0,58,58,78,226,11,0,3
15.25,10614,0,58,58,78,343,11,0,3
15.26,10638,0,58,58,78,374,11,0,3
15.27,12015,0,58,58,78,168,11,0,3
15.28,11929,0,59,59,81,189,11,0,3
15.29,11937,0,59,59,81,265,11,0,3
15.30,12012,0,59,59,81,177,11,0,3
15.31,12583,0,60,60,82,89,11,0,3
15.32,10609,0,60,60,84,391,11,0,3
15.33,10615,0,60,60,84,452,11,0,3
15.34,10639,0,60,60,84,443,11,0,3
15.35,11914,0,60,60,84,390,11,0,3
15.36,18036,0,60,61,77,495,12,0,3
15.37,18037,0,60,61,77,495,12,0,3
15.38,18041,0,60,61,76,496,12,0,3
15.39,19516,0,60,61,77,416,12,0,3
15.40,18193,0,62,62,79,515,12,0,3
15.41,18197,0,62,62,79,463,12,0,3
15.42,19520,0,62,62,79,389,12,0,3
15.43,19522,0,62,62,79,417,12,0,3
15.44,19728,0,62,63,83,281,12,0,3
15.45,19729,0,62,63,83,373,12,0,3
15.46,19730,0,62,63,83,434,12,0,3
15.47,19731,0,62,63,83,154,12,0,3
15.48,18348,0,64,64,85,518,12,0,3
15.49,18349,0,64,64,85,518,12,0,3
15.50,18353,0,64,64,85,502,12,0,3
15.51,19537,0,64,65,86,431,12,0,3
15.52,19541,0,64,65,86,471,12,0,3
15.53,19543,0,64,65,86,427,12,0,3
15.54,18504,0,66,66,88,521,12,0,3
15.55,18509,0,66,66,88,522,12,0,3
15.56,19562,0,66,67,90,474,12,0,3
15.57,19564,0,66,67,90,438,12,0,3
15.58,19738,0,66,67,90,294,12,0,3
15.59,19739,0,66,67,90,384,12,0,3
15.60,19740,0,66,67,90,446,12,0,3
15.61,19741,0,66,67,90,163,12,0,3
15.62,18660,0,70,68,91,378,12,0,3
15.63,18661,0,70,68,91,400,12,0,3
15.64,18665,0,70,68,91,407,12,0,3
15.65,19748,0,70,69,93,192,12,0,3
15.66,19749,0,70,69,93,222,12,0,3
15.67,19750,0,70,69,93,321,12,0,3
15.68,19751,0,70,69,93,104,12,0,3
15.69,19579,0,70,70,94,394,12,0,3
15.70,19583,0,70,70,94,337,12,0,3
15.71,19585,0,70,70,94,280,12,0,3
15.72,25631,0,70,71,87,529,13,0,3
15.73,25632,0,70,71,87,536,13,0,3
15.74,25636,0,70,71,87,529,13,0,3
15.75,25637,0,70,71,87,529,13,0,3
15.76,27091,0,70,71,87,510,13,0,3
15.77,27093,0,70,71,87,510,13,0,3
15.78,27204,0,70,71,87,456,13,0,3
15.79,27205,0,70,71,87,250,13,0,3
15.80,27690,0,72,72,89,235,13,0,3
15.81,25797,0,72,73,92,539,13,0,3
15.82,25951,0,74,74,95,556,13,0,3
15.83,25956,0,74,74,95,562,13,0,3
15.84,26008,0,74,75,96,528,13,0,3
15.85,27108,0,74,74,95,537,13,0,3
15.86,27114,0,74,74,95,537,13,0,3
15.87,27218,0,74,75,96,528,13,0,3
15.88,27220,0,74,75,96,415,13,0,3
15.89,26011,0,74,75,96,528,13,0,3
15.90,27692,0,76,76,97,285,13,0,3
15.91,26111,0,76,76,97,566,13,0,3
15.92,26116,0,76,76,97,558,13,0,3
15.93,27129,0,76,77,98,548,13,0,3
15.94,27133,0,76,77,98,548,13,0,3
15.95,27693,0,80,78,99,577,13,0,3
15.96,26271,0,80,78,99,601,13,0,3
15.97,26272,0,80,78,99,601,13,0,3
15.98,26277,0,80,78,99,595,13,0,3
15.99,27228,0,80,79,100,586,13,0,3
15.100,27229,0,80,79,100,586,13,0,3
15.101,27150,0,80,80,101,588,13,0,3
15.102,27154,0,80,80,101,588,13,0,3
15.103,27156,0,80,80,101,588,13,0,3
16.0,10586,0,50,51,66,117,14,0,3
16.1,10592,0,50,51,66,130,14,0,3
16.2,10598,0,50,51,66,117,14,0,3
16.3,10616,0,50,51,66,131,14,0,3
16.4,10622,0,50,51,66,132,14,0,3
16.5,10628,0,50,51,66,136,14,0,3
16.6,11871,0,52,52,67,135,14,0,3
16.7,11883,0,52,52,67,106,14,0,3
16.8,10587,0,52,53,68,203,14,0,3
16.9,10593,0,52,53,68,204,14,0,3
16.10,10623,0,52,53,68,275,14,0,3
16.11,10629,0,52,53,68,274,14,0,3
16.12,11923,0,52,53,68,181,14,0,3
16.13,11951,0,52,53,68,151,14,0,3
16.14,10600,0,54,54,69,249,14,0,3
16.15,10618,0,54,54,69,249,14,0,3
16.16,11872,0,54,55,71,239,14,0,3
16.17,11876,0,54,55,71,208,14,0,3
16.18,11880,0,54,55,71,210,14,0,3
16.19,11884,0,54,55,71,224,14,0,3
16.20,11888,0,54,55,71,219,14,0,3
16.21,11904,0,54,55,71,258,14,0,3
16.22,12524,0,56,56,72,75,14,0,3
16.23,11940,0,56,56,74,190,14,0,3
16.24,11944,0,56,56,74,179,14,0,3
16.25,11948,0,56,56,74,171,14,0,3
16.26,10589,0,56,57,75,350,14,0,3
16.27,10595,0,56,57,75,316,14,0,3
16.28,10625,0,56,57,75,358,14,0,3
16.29,10631,0,56,57,75,322,14,0,3
16.30,11909,0,56,57,75,190,14,0,3
16.31,10590,0,58,58,78,301,14,0,3
16.32,10596,0,58,58,78,292,14,0,3
16.33,10602,0,58,58,78,300,14,0,3
16.34,10620,0,58,58,78,357,14,0,3
16.35,10626,0,58,58,78,398,14,0,3
16.36,10632,0,58,58,78,344,14,0,3
16.37,11917,0,59,59,81,223,14,0,3
16.38,11921,0,59,59,81,188,14,0,3
16.39,11925,0,59,59,81,230,14,0,3
16.40,11933,0,59,59,81,254,14,0,3
16.41,11941,0,59,59,81,262,14,0,3
16.42,11945,0,59,59,81,193,14,0,3
16.43,11949,0,59,59,81,298,14,0,3
16.44,11953,0,59,59,81,155,14,0,3
16.45,12525,0,60,60,80,100,14,0,3
16.46,10591,0,60,60,84,391,14,0,3
16.47,10603,0,60,60,84,391,14,0,3
16.48,10627,0,60,60,84,470,14,0,3
16.49,10633,0,60,60,84,485,14,0,3
16.50,11874,0,60,60,84,347,14,0,3
16.51,11890,0,60,60,84,341,14,0,3
16.52,11906,0,60,60,84,422,14,0,3
16.53,11910,0,60,60,84,340,14,0,3
16.54,18034,0,60,61,76,455,15,0,3
16.55,18035,0,60,61,76,509,15,0,3
16.56,18038,0,60,61,76,497,15,0,3
16.57,18039,0,60,61,76,526,15,0,3
16.58,18046,0,60,61,76,509,15,0,3
16.59,19508,0,60,61,77,418,15,0,3
16.60,19509,0,60,61,77,418,15,0,3
16.61,19514,0,60,61,77,418,15,0,3
16.62,18189,0,62,63,83,499,15,0,3
16.63,18190,0,62,63,83,517,15,0,3
16.64,18191,0,62,63,83,499,15,0,3
16.65,19517,0,62,62,79,367,15,0,3
16.66,19519,0,62,62,79,425,15,0,3
16.67,19521,0,62,62,79,425,15,0,3
16.68,19524,0,62,62,79,425,15,0,3
16.69,19526,0,62,62,79,425,15,0,3
16.70,18351,0,64,65,86,531,15,0,3
16.71,18352,0,64,65,86,488,15,0,3
16.72,18358,0,64,65,86,530,15,0,3
16.73,19527,0,64,64,85,432,15,0,3
16.74,19530,0,64,64,85,454,15,0,3
16.75,19536,0,64,64,85,518,15,0,3
16.76,19539,0,64,65,86,370,15,0,3
16.77,19542,0,64,65,86,431,15,0,3
16.78,18501,0,66,66,88,486,15,0,3
16.79,18502,0,66,66,88,486,15,0,3
16.80,18506,0,66,67,90,521,15,0,3
16.81,19550,0,66,66,88,486,15,0,3
16.82,19559,0,66,67,90,438,15,0,3
16.83,19561,0,66,67,90,438,15,0,3
16.84,19566,0,66,67,90,436,15,0,3
16.85,19567,0,66,67,90,438,15,0,3
16.86,18658,0,70,68,91,328,15,0,3
16.87,18659,0,70,68,91,396,15,0,3
16.88,18663,0,70,68,91,447,15,0,3
16.89,19569,0,70,69,93,362,15,0,3
16.90,19570,0,70,69,93,362,15,0,3
16.91,19573,0,70,69,93,353,15,0,3
16.92,19577,0,70,69,93,406,15,0,3
16.93,19580,0,70,70,94,309,15,0,3
16.94,19581,0,70,70,94,269,15,0,3
16.95,19582,0,70,70,94,309,15,0,3
16.96,19584,0,70,70,94,309,15,0,3
16.97,19586,0,70,70,94,213,15,0,3
16.98,19587,0,70,70,94,280,15,0,3
16.99,19588,0,70,70,94,309,15,0,3
16.100,19589,0,70,70,94,280,15,0,3
16.101,25628,0,70,71,87,511,16,0,3
16.102,25629,0,70,71,87,536,16,0,3
16.103,25630,0,70,71,87,536,16,0,3
16.104,27077,0,70,71,87,479,16,0,3
16.105,27078,0,70,71,87,479,16,0,3
16.106,27079,0,70,71,87,479,16,0,3
16.107,27092,0,70,71,87,479,16,0,3
16.108,27094,0,70,71,87,404,16,0,3
16.109,27708,0,72,72,89,236,16,0,3
16.110,25793,0,72,72,89,540,16,0,3
16.111,25794,0,72,72,89,555,16,0,3
16.112,25795,0,72,73,92,533,16,0,3
16.113,25801,0,72,72,89,554,16,0,3
16.114,25803,0,72,73,92,511,16,0,3
16.115,25804,0,72,73,92,557,16,0,3
16.116,25948,0,74,74,95,539,16,0,3
16.117,25950,0,74,74,95,560,16,0,3
16.118,25954,0,74,74,95,560,16,0,3
16.119,25955,0,74,74,95,563,16,0,3
16.120,25963,0,74,74,95,552,16,0,3
16.121,27106,0,74,75,96,537,16,0,3
16.122,27107,0,74,75,96,537,16,0,3
16.123,27116,0,74,74,95,537,16,0,3
16.124,26108,0,76,76,97,558,16,0,3
16.125,26109,0,76,76,97,566,16,0,3
16.126,26110,0,76,76,97,566,16,0,3
16.127,27122,0,76,77,98,548,16,0,3
16.128,27123,0,76,77,98,548,16,0,3
16.129,27127,0,76,77,98,550,16,0,3
16.130,27132,0,76,77,98,523,16,0,3
16.131,27136,0,76,77,98,523,16,0,3
16.132,26273,0,80,78,99,595,16,0,3
16.133,26280,0,80,78,99,595,16,0,3
16.134,26283,0,80,78,99,601,16,0,3
16.135,26284,0,80,78,99,600,16,0,3
16.136,27153,0,80,79,100,583,16,0,3
16.137,27155,0,80,79,100,586,16,0,3
16.138,27159,0,80,79,100,583,16,0,3
16.139,27160,0,80,79,100,586,16,0,3
16.140,27140,0,80,80,101,588,16,0,3
16.141,27141,0,80,80,101,588,16,0,3
16.142,27142,0,80,80,101,588,16,0,3
16.143,27143,0,80,80,101,588,16,0,3
16.144,27144,0,80,80,101,588,16,0,3
16.145,27148,0,80,80,101,588,16,0,3
16.146,27149,0,80,80,101,588,16,0,3
17.0,10670,0,50,51,66,94,17,0,3
17.1,10733,0,50,51,66,77,17,0,3
17.2,10664,0,50,51,66,108,17,0,3
17.3,10677,0,50,51,66,109,17,0,3
17.4,10705,0,50,51,66,94,17,0,3
17.5,10719,0,50,51,66,112,17,0,3
17.6,10726,0,50,51,66,94,17,0,3
17.7,10747,0,50,51,66,94,17,0,3
17.8,11895,0,52,52,67,123,17,0,3
17.9,11899,0,52,52,67,125,17,0,3
17.10,10665,0,52,53,68,240,17,0,3
17.11,10693,0,54,53,68,127,17,0,3
17.12,10714,0,54,54,69,196,17,0,3
17.13,10840,0,54,54,69,172,17,0,3
17.14,11896,0,54,54,69,186,17,0,3
17.15,11900,0,54,54,69,202,17,0,3
17.16,10666,0,54,55,71,273,17,0,3
17.17,10707,0,54,55,71,219,17,0,3
17.18,10721,0,54,55,71,247,17,0,3
17.19,12524,0,56,56,72,75,17,0,3
17.20,10694,0,56,56,74,276,17,0,3
17.21,10729,0,56,56,74,330,17,0,3
17.22,10757,0,56,56,74,303,17,0,3
17.23,10855,0,56,56,74,330,17,0,3
17.24,10667,0,56,57,75,291,17,0,3
17.25,10764,0,56,57,75,405,17,0,3
17.26,11897,0,56,57,75,305,17,0,3
17.27,11901,0,56,57,75,291,17,0,3
17.28,10674,0,58,58,78,302,17,0,3
17.29,10688,0,58,58,78,348,17,0,3
17.30,10695,0,58,58,78,290,17,0,3
17.31,10709,0,58,58,78,348,17,0,3
17.32,10716,0,58,58,78,335,17,0,3
17.33,10730,0,58,58,78,356,17,0,3
17.34,10737,0,58,58,78,290,17,0,3
17.35,10751,0,58,58,78,356,17,0,3
17.36,10668,0,59,59,81,315,17,0,3
17.37,10681,0,59,59,81,410,17,0,3
17.38,10702,0,59,59,81,409,17,0,3
17.39,10723,0,59,59,81,423,17,0,3
17.40,10744,0,59,59,81,409,17,0,3
17.41,10675,0,59,59,81,306,17,0,3
17.42,10696,0,59,59,81,237,17,0,3
17.43,12525,0,60,60,80,100,17,0,3
17.44,10669,0,60,60,84,391,17,0,3
17.45,10682,0,60,60,84,414,17,0,3
17.46,10689,0,60,60,84,341,17,0,3
17.47,10724,0,60,60,84,414,17,0,3
17.48,10752,0,60,60,84,341,17,0,3
17.49,10920,0,60,60,84,288,17,0,3
17.50,11898,0,60,60,84,391,17,0,3
17.51,11902,0,60,60,84,347,17,0,3
17.52,18048,0,60,61,76,392,18,0,3
17.53,18051,0,60,61,77,418,18,0,3
17.54,18056,0,60,61,77,460,18,0,3
17.55,19513,0,60,61,77,418,18,0,3
17.56,18205,0,62,62,79,463,18,0,3
17.57,18209,0,62,63,83,424,18,0,3
17.58,18212,0,62,63,83,462,18,0,3
17.59,18213,0,62,63,83,424,18,0,3
17.60,18216,0,62,62,79,421,18,0,3
17.61,18363,0,64,64,85,475,18,0,3
17.62,18365,0,64,64,85,477,18,0,3
17.63,18368,0,64,65,86,531,18,0,3
17.64,18372,0,64,64,85,473,18,0,3
17.65,19533,0,64,65,86,472,18,0,3
17.66,19534,0,64,65,86,472,18,0,3
17.67,18516,0,66,67,90,436,18,0,3
17.68,18517,0,66,67,90,486,18,0,3
17.69,18519,0,66,66,88,521,18,0,3
17.70,18524,0,66,67,90,546,18,0,3
17.71,18531,0,66,66,88,521,18,0,3
17.72,18545,0,66,66,88,486,18,0,3
17.73,19554,0,66,67,90,507,18,0,3
17.74,19555,0,66,67,90,486,18,0,3
17.75,18673,0,70,68,91,382,18,0,3
17.76,18677,0,70,69,93,395,18,0,3
17.77,18678,0,70,68,91,378,18,0,3
17.78,18679,0,70,68,91,363,18,0,3
17.79,18681,0,70,69,93,377,18,0,3
17.80,18684,0,70,68,91,355,18,0,3
17.81,18687,0,70,69,93,377,18,0,3
17.82,18912,0,70,70,94,376,18,0,3
17.83,18918,0,70,70,94,394,18,0,3
17.84,19575,0,70,70,94,331,18,0,3
17.85,19576,0,70,70,94,331,18,0,3
17.86,25647,0,70,71,87,529,19,0,3
17.87,25648,0,70,71,87,479,19,0,3
17.88,25650,0,70,71,87,501,19,0,3
17.89,25657,0,70,71,87,479,19,0,3
17.90,25663,0,70,71,87,479,19,0,3
17.91,25670,0,70,71,87,479,19,0,3
17.92,25681,0,70,71,87,479,19,0,3
17.93,27083,0,70,71,87,510,19,0,3
17.94,25805,0,72,73,92,500,19,0,3
17.95,25806,0,72,72,89,510,19,0,3
17.96,25807,0,72,73,92,533,19,0,3
17.97,25811,0,72,72,89,500,19,0,3
17.98,25816,0,72,72,89,511,19,0,3
17.99,25829,0,72,72,89,500,19,0,3
17.100,25835,0,72,72,89,500,19,0,3
17.101,25847,0,72,72,89,500,19,0,3
17.102,25970,0,74,74,95,541,19,0,3
17.103,25971,0,74,74,95,519,19,0,3
17.104,25972,0,74,74,95,541,19,0,3
17.105,25973,0,74,75,96,568,19,0,3
17.106,25974,0,74,74,95,541,19,0,3
17.107,25976,0,74,74,95,541,19,0,3
17.108,26006,0,74,74,95,541,19,0,3
17.109,27105,0,74,75,96,537,19,0,3
17.110,26137,0,76,76,97,534,19,0,3
17.111,26149,0,76,76,97,534,19,0,3
17.112,26150,0,76,76,97,558,19,0,3
17.113,26155,0,76,76,97,534,19,0,3
17.114,26161,0,76,76,97,534,19,0,3
17.115,26167,0,76,76,97,534,19,0,3
17.116,27125,0,76,77,98,548,19,0,3
17.117,27126,0,76,77,98,548,19,0,3
17.118,26285,0,80,79,100,586,19,0,3
17.119,26286,0,80,78,99,590,19,0,3
17.120,26292,0,80,78,99,590,19,0,3
17.121,26293,0,80,78,99,603,19,0,3
17.122,26297,0,80,78,99,586,19,0,3
17.123,26309,0,80,79,100,586,19,0,3
17.124,26315,0,80,79,100,586,19,0,3
17.125,26321,0,80,79,100,586,19,0,3
17.126,27146,0,80,80,101,588,19,0,3
17.127,27147,0,80,80,101,588,19,0,3
