#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
3.3,7693046,0,0,0,0,0,0,0,0,0,0,0,0,3
3.4,7885113,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5,7885114,0,0,0,0,0,0,0,0,0,0,0,0,1
3.6,7930335,0,0,0,0,0,0,0,0,0,0,0,0,3
3.7,7885116,0,0,0,0,0,0,0,0,0,0,0,0,1
3.8,7721171,0,0,0,0,0,0,0,0,0,0,0,0,3
3.9,7885117,0,0,0,0,0,0,0,0,0,0,0,0,1
3.10,7721336,0,0,0,0,0,0,0,0,0,0,0,0,3
3.11,2541,7,7886676,7886697,0,0,0,0,0,0,0,0,0,24
3.12,7927355,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,7924653,0,0,0,0,0,0,0,0,0,0,0,0,1
4.1,7924654,0,0,0,0,0,0,0,0,0,0,0,0,1
4.2,2566,0,0,0,0,0,0,0,0,0,0,0,0,20
4.3,2567,0,0,0,0,0,0,0,0,0,0,0,0,20
4.4,7924656,0,0,0,0,0,0,0,0,0,0,0,0,1
4.5,7924660,0,0,0,0,0,0,0,0,0,0,0,0,1
4.6,7924663,0,0,0,0,0,0,0,0,0,0,0,0,1
4.7,7924666,0,0,0,0,0,0,0,0,0,0,0,0,1
4.8,7875473,0,0,0,0,0,0,0,0,0,0,0,0,3
4.9,7924668,0,0,0,0,0,0,0,0,0,0,0,0,1
4.10,7878494,0,0,0,0,0,0,0,0,0,0,0,0,3
4.11,7936448,0,0,0,0,0,0,0,0,0,0,0,0,3
5.0,7725375,2,0,0,0,0,0,0,0,0,0,0,0,3
5.1,7934595,0,0,0,0,0,0,0,0,0,0,0,0,1
5.2,7725787,0,0,0,0,0,0,0,0,0,0,0,0,3
5.3,7934596,0,0,0,0,0,0,0,0,0,0,0,0,1
5.4,7725907,0,0,0,0,0,0,0,0,0,0,0,0,3
5.5,7934597,0,0,0,0,0,0,0,0,0,0,0,0,1
5.6,7733221,0,0,0,0,0,0,0,0,0,0,0,0,3
5.7,2585,0,0,0,0,0,0,0,0,0,0,0,0,20
5.8,2586,0,0,0,0,0,0,0,0,0,0,0,0,20
5.9,7971226,0,0,0,0,0,0,0,0,0,0,0,0,3
5.10,7971227,0,0,0,0,0,0,0,0,0,0,0,0,3
5.11,7934598,0,0,0,0,0,0,0,0,0,0,0,0,1
5.12,7733229,0,0,0,0,0,0,0,0,0,0,0,0,3
5.13,7926192,0,0,0,0,0,0,0,0,0,0,0,0,1
5.14,7935369,0,0,0,0,0,0,0,0,0,0,0,0,1
5.15,7704163,0,0,0,0,0,0,0,0,0,0,0,0,3
5.16,1,0,0,0,0,0,0,0,0,0,0,0,0,81
6.0,7952505,0,0,0,0,0,0,0,0,0,0,0,0,1
6.1,7902222,2,0,0,0,0,0,0,0,0,0,0,0,3
6.2,7920308,2,0,0,0,0,0,0,0,0,0,0,0,1
6.3,7879842,2,0,0,0,0,0,0,0,0,0,0,0,3
6.4,7920309,2,0,0,0,0,0,0,0,0,0,0,0,1
6.5,7883586,4,0,0,0,0,0,0,0,0,0,0,0,3
6.6,7884208,4,0,0,0,0,0,0,0,0,0,0,0,3
6.7,7888018,2,0,0,0,0,0,0,0,0,0,0,0,3
6.8,7920301,2,0,0,0,0,0,0,0,0,0,0,0,1
6.9,7893458,2,0,0,0,0,0,0,0,0,0,0,0,3
6.10,7920299,2,0,0,0,0,0,0,0,0,0,0,0,1
6.11,7881085,2,0,0,0,0,0,0,0,0,0,0,0,3
6.12,788,7953875,0,0,0,0,0,0,0,0,0,0,0,51
6.13,7932930,0,0,0,0,0,0,0,0,0,0,0,0,1
6.14,2617,0,0,0,0,0,0,0,0,0,0,0,0,20
6.15,7920237,0,0,0,0,0,0,0,0,0,0,0,0,1
6.16,2618,0,0,0,0,0,0,0,0,0,0,0,0,20
6.17,7920238,0,0,0,0,0,0,0,0,0,0,0,0,1
6.18,7936460,2,0,0,0,0,0,0,0,0,0,0,0,1
6.19,2619,0,0,0,0,0,0,0,0,0,0,0,0,20
6.20,7920239,0,0,0,0,0,0,0,0,0,0,0,0,1
6.21,7936473,2,0,0,0,0,0,0,0,0,0,0,0,1
6.22,8,1,0,0,0,0,0,0,0,0,0,0,0,82
6.23,9,1,0,0,0,0,0,0,0,0,0,0,0,82
6.24,10,1,0,0,0,0,0,0,0,0,0,0,0,82
6.25,11,1,0,0,0,0,0,0,0,0,0,0,0,82
6.26,12,1,0,0,0,0,0,0,0,0,0,0,0,82
6.27,13,1,0,0,0,0,0,0,0,0,0,0,0,82
6.28,14,1,0,0,0,0,0,0,0,0,0,0,0,82
6.29,8034701,2,0,0,0,0,0,0,0,0,0,0,0,1
6.30,8034702,2,0,0,0,0,0,0,0,0,0,0,0,1
7.0,7956822,0,0,0,0,0,0,0,0,0,0,0,0,1
7.1,7875578,0,0,0,0,0,0,0,0,0,0,0,0,3
7.2,2545,14,7928674,7875578,4,0,0,0,0,0,0,0,0,21
7.3,7880188,0,0,0,0,0,0,0,0,0,0,0,0,3
7.4,2546,14,7928680,7880188,4,0,0,0,0,0,0,0,0,21
7.5,7880206,0,0,0,0,0,0,0,0,0,0,0,0,3
7.6,2547,14,7928687,7880206,4,0,0,0,0,0,0,0,0,21
7.7,7875577,0,0,0,0,0,0,0,0,0,0,0,0,3
7.8,2548,14,7928695,7875577,4,0,0,0,0,0,0,0,0,21
7.9,7880204,2,0,0,0,0,0,0,0,0,0,0,0,3
7.10,7880205,2,0,0,0,0,0,0,0,0,0,0,0,3
7.11,7875576,2,0,0,0,0,0,0,0,0,0,0,0,3
7.12,7928699,0,0,0,0,0,0,0,0,0,0,0,0,1
7.13,2551,11,7928818,7928823,0,0,0,0,0,0,0,0,0,24
7.14,2552,11,7928825,7928826,0,0,0,0,0,0,0,0,0,24
7.15,2553,11,7928828,7928829,0,0,0,0,0,0,0,0,0,24
7.16,7928849,0,0,0,0,0,0,0,0,0,0,0,0,1
7.17,7928850,0,0,0,0,0,0,0,0,0,0,0,0,1
7.18,7984567,0,0,0,0,0,0,0,0,0,0,0,0,1
7.19,2556,1,7929140,7929141,18,7931744,0,0,0,0,0,0,0,26
7.20,7929904,0,0,0,0,0,0,0,0,0,0,0,0,1
7.21,2558,7,7929906,7929907,0,0,0,0,0,0,0,0,0,24
7.22,7984547,2,0,0,0,0,0,0,0,0,0,0,0,1
7.23,7984550,2,0,0,0,0,0,0,0,0,0,0,0,1
7.24,7929908,0,0,0,0,0,0,0,0,0,0,0,0,1
7.25,2559,7,7929910,7929911,0,0,0,0,0,0,0,0,0,24
7.26,7956826,0,0,0,0,0,0,0,0,0,0,0,0,1
7.27,7829471,0,0,0,0,0,0,0,0,0,0,0,0,2
7.28,7929917,0,0,0,0,0,0,0,0,0,0,0,0,1
7.29,7829499,0,0,0,0,0,0,0,0,0,0,0,0,2
7.30,7956828,0,0,0,0,0,0,0,0,0,0,0,0,1
7.31,7876546,0,0,0,0,0,0,0,0,0,0,0,0,2
7.32,7990245,2,0,0,0,0,0,0,0,0,0,0,0,1
8.0,7923092,0,0,0,0,0,0,0,0,0,0,0,0,1
8.1,7892753,0,0,0,0,0,0,0,0,0,0,0,0,3
8.2,7932932,0,0,0,0,0,0,0,0,0,0,0,0,1
8.3,2579,1,7932933,7932932,4,0,0,0,0,0,0,0,0,21
8.4,7966680,0,0,0,0,0,0,0,0,0,0,0,0,1
8.5,7932958,0,0,0,0,0,0,0,0,0,0,0,0,1
8.6,2580,1,7932938,7932958,4,0,0,0,0,0,0,0,0,21
8.7,7942230,0,0,0,0,0,0,0,0,0,0,0,0,1
8.8,7942231,0,0,0,0,0,0,0,0,0,0,0,0,1
8.9,7923093,0,0,0,0,0,0,0,0,0,0,0,0,1
8.10,7893252,0,0,0,0,0,0,0,0,0,0,0,0,3
8.11,7923094,0,0,0,0,0,0,0,0,0,0,0,0,1
8.12,7893301,0,0,0,0,0,0,0,0,0,0,0,0,3
8.13,7924477,0,0,0,0,0,0,0,0,0,0,0,0,1
8.14,7927226,0,0,0,0,0,0,0,0,0,0,0,0,3
8.15,7924478,0,0,0,0,0,0,0,0,0,0,0,0,1
8.16,7927227,0,0,0,0,0,0,0,0,0,0,0,0,3
8.17,2582,0,0,0,0,0,0,0,0,0,0,0,0,20
8.18,2583,0,0,0,0,0,0,0,0,0,0,0,0,20
9.0,8124824,0,0,0,0,0,0,0,0,0,0,0,0,1
9.1,8124861,0,0,0,0,0,0,0,0,0,0,0,0,1
9.2,8124862,0,0,0,0,0,0,0,0,0,0,0,0,1
9.3,8124863,0,0,0,0,0,0,0,0,0,0,0,0,1
9.4,8124864,0,0,0,0,0,0,0,0,0,0,0,0,1
9.5,8124865,0,0,0,0,0,0,0,0,0,0,0,0,1
9.6,8156449,0,0,0,0,0,0,0,0,0,0,0,0,1
9.7,8156450,0,0,0,0,0,0,0,0,0,0,0,0,1
9.8,8124866,0,0,0,0,0,0,0,0,0,0,0,0,1
9.9,8124858,0,0,0,0,0,0,0,0,0,0,0,0,1
9.10,8125605,0,0,0,0,0,0,0,0,0,0,0,0,1
9.11,8104348,0,0,0,0,0,0,0,0,0,0,0,0,3
9.12,8104399,0,0,0,0,0,0,0,0,0,0,0,0,3
9.13,8124860,0,0,0,0,0,0,0,0,0,0,0,0,1
9.14,8105901,0,0,0,0,0,0,0,0,0,0,0,0,3
9.15,8106026,0,0,0,0,0,0,0,0,0,0,0,0,3
9.16,8106080,0,0,0,0,0,0,0,0,0,0,0,0,3
9.17,8126299,0,0,0,0,0,0,0,0,0,0,0,0,1
9.18,8106159,0,0,0,0,0,0,0,0,0,0,0,0,3
9.19,8106100,0,0,0,0,0,0,0,0,0,0,0,0,3
9.20,8126300,0,0,0,0,0,0,0,0,0,0,0,0,1
9.21,8106160,0,0,0,0,0,0,0,0,0,0,0,0,3
9.22,8106193,0,0,0,0,0,0,0,0,0,0,0,0,3
9.23,8126361,0,0,0,0,0,0,0,0,0,0,0,0,1
9.24,8106202,0,0,0,0,0,0,0,0,0,0,0,0,3
9.25,8126356,0,0,0,0,0,0,0,0,0,0,0,0,1
9.26,8126362,0,0,0,0,0,0,0,0,0,0,0,0,1
9.27,8126363,0,0,0,0,0,0,0,0,0,0,0,0,1
9.28,8126364,0,0,0,0,0,0,0,0,0,0,0,0,1
9.29,8126365,0,0,0,0,0,0,0,0,0,0,0,0,1
9.30,8126366,0,0,0,0,0,0,0,0,0,0,0,0,1
9.31,8126357,0,0,0,0,0,0,0,0,0,0,0,0,1
9.32,8126358,0,0,0,0,0,0,0,0,0,0,0,0,1
9.33,8051854,8,0,0,0,0,0,0,0,0,0,0,0,3
9.34,8051855,8,0,0,0,0,0,0,0,0,0,0,0,3
9.35,8051856,8,0,0,0,0,0,0,0,0,0,0,0,3
9.36,8051859,8,0,0,0,0,0,0,0,0,0,0,0,3
9.37,8051860,8,0,0,0,0,0,0,0,0,0,0,0,3
9.38,8051861,8,0,0,0,0,0,0,0,0,0,0,0,3
9.39,8051867,10,0,0,0,0,0,0,0,0,0,0,0,3
9.40,8051868,10,0,0,0,0,0,0,0,0,0,0,0,3
9.41,8051869,10,0,0,0,0,0,0,0,0,0,0,0,3
9.42,8105941,8,0,0,0,0,0,0,0,0,0,0,0,3
9.43,8105942,8,0,0,0,0,0,0,0,0,0,0,0,3
10.0,8158955,1,0,0,0,0,0,0,0,0,0,0,0,3
10.1,8257910,4,0,0,0,0,0,0,0,0,0,0,0,3
10.2,8267776,2,0,0,0,0,0,0,0,0,0,0,0,3
10.3,8261029,0,0,0,0,0,0,0,0,0,0,0,0,1
10.4,105,0,0,0,0,0,0,0,0,0,0,0,0,80
10.5,8261030,0,0,0,0,0,0,0,0,0,0,0,0,1
10.6,8232945,0,0,0,0,0,0,0,0,0,0,0,0,3
10.7,8261031,0,0,0,0,0,0,0,0,0,0,0,0,1
10.8,8227828,0,0,0,0,0,0,0,0,0,0,0,0,3
10.9,8267954,0,0,0,0,0,0,0,0,0,0,0,0,3
10.10,8232505,0,0,0,0,0,0,0,0,0,0,0,0,3
10.11,8267955,2,0,0,0,0,0,0,0,0,0,0,0,3
10.12,8267956,2,0,0,0,0,0,0,0,0,0,0,0,3
10.13,8267957,2,0,0,0,0,0,0,0,0,0,0,0,3
10.14,8267958,2,0,0,0,0,0,0,0,0,0,0,0,3
10.15,8290009,2,0,0,0,0,0,0,0,0,0,0,0,3
10.16,8261032,0,0,0,0,0,0,0,0,0,0,0,0,1
10.17,8234512,0,0,0,0,0,0,0,0,0,0,0,0,3
10.18,2891,0,0,0,0,0,0,0,0,0,0,0,0,20
10.19,2892,0,0,0,0,0,0,0,0,0,0,0,0,20
11.0,8314478,0,0,0,0,0,0,0,0,0,0,0,0,3
11.1,8371915,0,0,0,0,0,0,0,0,0,0,0,0,1
11.2,8318459,0,0,0,0,0,0,0,0,0,0,0,0,3
11.3,8371916,0,0,0,0,0,0,0,0,0,0,0,0,1
11.4,862,8372239,0,0,0,0,0,0,0,0,0,0,0,51
11.5,8367429,0,0,0,0,0,0,0,0,0,0,0,0,1
11.6,8321557,0,0,0,0,0,0,0,0,0,0,0,0,3
11.7,8372323,0,0,0,0,0,0,0,0,0,0,0,0,1
11.8,8324045,0,0,0,0,0,0,0,0,0,0,0,0,3
11.9,8372327,0,0,0,0,0,0,0,0,0,0,0,0,1
11.10,8321831,0,0,0,0,0,0,0,0,0,0,0,0,3
11.11,8379427,2,0,0,0,0,0,0,0,0,0,0,0,3
11.12,8379428,2,0,0,0,0,0,0,0,0,0,0,0,3
11.13,8379429,2,0,0,0,0,0,0,0,0,0,0,0,3
11.14,8379430,2,0,0,0,0,0,0,0,0,0,0,0,3
11.15,2970,0,0,0,0,0,0,0,0,0,0,0,0,20
11.16,2971,0,0,0,0,0,0,0,0,0,0,0,0,20
11.17,8372331,0,0,0,0,0,0,0,0,0,0,0,0,1
11.18,8321191,0,0,0,0,0,0,0,0,0,0,0,0,3
11.19,8372753,0,0,0,0,0,0,0,0,0,0,0,0,1
11.20,8321882,0,0,0,0,0,0,0,0,0,0,0,0,3
11.21,8372754,0,0,0,0,0,0,0,0,0,0,0,0,1
12.0,7720007,2,0,0,0,0,0,0,0,0,0,0,0,1
12.1,7720008,2,0,0,0,0,0,0,0,0,0,0,0,1
12.2,7767552,2,0,0,0,0,0,0,0,0,0,0,0,1
12.3,7767553,2,0,0,0,0,0,0,0,0,0,0,0,1
12.4,7767554,2,0,0,0,0,0,0,0,0,0,0,0,1
12.5,7767555,2,0,0,0,0,0,0,0,0,0,0,0,1
12.6,7767556,2,0,0,0,0,0,0,0,0,0,0,0,1
12.7,7767557,2,0,0,0,0,0,0,0,0,0,0,0,1
12.8,7720279,2,0,0,0,0,0,0,0,0,0,0,0,1
12.9,7720280,2,0,0,0,0,0,0,0,0,0,0,0,1
12.10,7734658,2,0,0,0,0,0,0,0,0,0,0,0,1
12.11,7735866,2,0,0,0,0,0,0,0,0,0,0,0,1
12.12,7720283,2,0,0,0,0,0,0,0,0,0,0,0,1
12.13,7604856,2,0,0,0,0,0,0,0,0,0,0,0,2
12.14,4,0,0,0,0,0,0,0,0,0,0,0,0,80
13.0,8430599,8,0,0,0,0,0,0,0,0,0,0,0,3
13.1,895,0,0,0,0,0,0,0,0,0,0,0,0,50
13.2,8534754,0,0,0,0,0,0,0,0,0,0,0,0,1
13.3,3076,1,8534812,8534754,4,0,0,0,0,0,0,0,0,21
13.4,8453701,2,0,0,0,0,0,0,0,0,0,0,0,3
13.5,8534815,0,0,0,0,0,0,0,0,0,0,0,0,1
13.6,3077,1,8534816,8534815,4,0,0,0,0,0,0,0,0,21
13.7,898,0,0,0,0,0,0,0,0,0,0,0,0,50
13.8,896,0,0,0,0,0,0,0,0,0,0,0,0,50
13.9,8534962,0,0,0,0,0,0,0,0,0,0,0,0,1
13.10,8427795,0,0,0,0,0,0,0,0,0,0,0,0,3
13.11,8534968,4,0,0,0,0,0,0,0,0,0,0,0,1
13.12,3078,1,8534969,8553638,8538332,22511,0,0,0,0,0,0,0,22
13.13,8534963,0,0,0,0,0,0,0,0,0,0,0,0,1
13.14,8427796,0,0,0,0,0,0,0,0,0,0,0,0,3
13.15,8534972,4,0,0,0,0,0,0,0,0,0,0,0,1
13.16,3079,1,8534973,8553638,8538333,22511,0,0,0,0,0,0,0,22
13.17,8427871,0,0,0,0,0,0,0,0,0,0,0,0,3
13.18,8443159,4,0,0,0,0,0,0,0,0,0,0,0,3
13.19,899,0,0,0,0,0,0,0,0,0,0,0,0,50
13.20,897,0,0,0,0,0,0,0,0,0,0,0,0,50
13.21,8535139,0,0,0,0,0,0,0,0,0,0,0,0,1
13.22,8433342,0,0,0,0,0,0,0,0,0,0,0,0,3
13.23,8535324,0,0,0,0,0,0,0,0,0,0,0,0,1
13.24,8433338,0,0,0,0,0,0,0,0,0,0,0,0,3
13.25,8535325,0,0,0,0,0,0,0,0,0,0,0,0,1
13.26,8450487,0,0,0,0,0,0,0,0,0,0,0,0,3
13.27,8441623,0,0,0,0,0,0,0,0,0,0,0,0,3
13.28,8537542,2,0,0,0,0,0,0,0,0,0,0,0,3
13.29,8537894,2,0,0,0,0,0,0,0,0,0,0,0,3
13.30,8537764,2,0,0,0,0,0,0,0,0,0,0,0,3
13.31,900,0,0,0,0,0,0,0,0,0,0,0,0,50
14.0,9075331,0,0,0,0,0,0,0,0,0,0,0,0,3
14.1,9075329,0,0,0,0,0,0,0,0,0,0,0,0,3
14.2,9075330,0,0,0,0,0,0,0,0,0,0,0,0,3
14.3,9075334,0,0,0,0,0,0,0,0,0,0,0,0,3
14.4,9075332,0,0,0,0,0,0,0,0,0,0,0,0,3
14.5,9075328,0,0,0,0,0,0,0,0,0,0,0,0,3
15.0,4108044,0,0,0,0,0,0,0,0,0,0,0,0,101
15.1,3816929,2,0,0,0,0,0,0,0,0,0,0,0,2
15.2,1958519,0,0,0,0,0,0,0,0,0,0,0,0,101
15.3,4108049,0,0,0,0,0,0,0,0,0,0,0,0,101
15.4,3817025,2,0,0,0,0,0,0,0,0,0,0,0,2
15.5,1958523,0,0,0,0,0,0,0,0,0,0,0,0,101
15.6,1958529,0,0,0,0,0,0,0,0,0,0,0,0,101
15.7,1958528,0,0,0,0,0,0,0,0,0,0,0,0,101
15.8,3817052,2,0,0,0,0,0,0,0,0,0,0,0,2
15.9,2065783,2,1,0,0,0,0,0,0,0,0,0,0,2
15.10,3817039,2,0,0,0,0,0,0,0,0,0,0,0,2
15.11,1958530,0,0,0,0,0,0,0,0,0,0,0,0,101
15.12,1958536,0,0,0,0,0,0,0,0,0,0,0,0,101
16.0,2790160,0,0,0,0,0,0,0,0,0,0,0,0,101
16.1,2790163,78,4055428,79,4075277,4055460,80,2790166,81,4075279,2790162,10,1,141
16.2,2790172,0,0,0,0,0,0,0,0,0,0,0,0,101
16.3,2790176,0,0,0,0,0,0,0,0,0,0,0,0,101
16.4,2790180,0,0,0,0,0,0,0,0,0,0,0,0,101
16.5,4056732,0,0,0,0,0,0,0,0,0,0,0,0,101
16.6,2790178,0,0,0,0,0,0,0,0,0,0,0,0,101
16.7,2790177,0,0,0,0,0,0,0,0,0,0,0,0,101
16.8,2790239,0,0,0,0,0,0,0,0,0,0,0,0,101
16.9,2790181,0,0,0,0,0,0,0,0,0,0,0,0,101
16.10,2790184,106,2790185,107,4075280,2790225,108,2790226,109,4075282,4056538,10,1,141
16.11,4056734,0,0,0,0,0,0,0,0,0,0,0,0,101
16.12,2790242,0,0,0,0,0,0,0,0,0,0,0,0,101
16.13,2790241,0,0,0,0,0,0,0,0,0,0,0,0,101
16.14,4056659,0,0,0,0,0,0,0,0,0,0,0,0,101
16.15,4056699,0,0,0,0,0,0,0,0,0,0,0,0,101
16.16,4056736,0,0,0,0,0,0,0,0,0,0,0,0,101
16.17,4056716,0,0,0,0,0,0,0,0,0,0,0,0,101
16.18,4056715,0,0,0,0,0,0,0,0,0,0,0,0,101
16.19,2790295,0,0,0,0,0,0,0,0,0,0,0,0,101
17.0,4072691,0,0,0,0,0,0,0,0,0,0,0,0,101
17.1,4072692,0,0,0,0,0,0,0,0,0,0,0,0,101
17.2,4072693,0,0,0,0,0,0,0,0,0,0,0,0,100
17.3,3280868,0,0,0,0,0,0,0,0,0,0,0,0,101
17.4,3280879,0,0,0,0,0,0,0,0,0,0,0,0,101
17.5,3280932,0,0,0,0,0,0,0,0,0,0,0,0,101
17.6,3280959,0,0,0,0,0,0,0,0,0,0,0,0,101
17.7,3280956,0,0,0,0,0,0,0,0,0,0,0,0,101
17.8,3281037,0,0,0,0,0,0,0,0,0,0,0,0,101
17.9,3281045,0,0,0,0,0,0,0,0,0,0,0,0,101
17.10,3332313,0,0,0,0,0,0,0,0,0,0,0,0,101
17.11,3281161,0,0,0,0,0,0,0,0,0,0,0,0,101
17.12,4200772,0,0,0,0,0,0,0,0,0,0,0,0,101
17.13,3281133,0,0,0,0,0,0,0,0,0,0,0,0,101
17.14,3281178,0,0,0,0,0,0,0,0,0,0,0,0,101
17.15,3281175,0,0,0,0,0,0,0,0,0,0,0,0,101
17.16,3741845,0,0,0,0,0,0,0,0,0,0,0,0,101
17.17,3741894,0,0,0,0,0,0,0,0,0,0,0,0,101
17.18,3741895,0,0,0,0,0,0,0,0,0,0,0,0,101
17.19,3741897,0,0,0,0,0,0,0,0,0,0,0,0,101
18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
18.1,4259181,0,0,0,0,0,0,0,0,0,0,0,0,101
18.2,4248770,0,0,0,0,0,0,0,0,0,0,0,0,101
18.3,4259183,0,0,0,0,0,0,0,0,0,0,0,0,101
18.4,4248777,0,0,0,0,0,0,0,0,0,0,0,0,101
19.0,3633090,0,0,0,0,0,0,0,0,0,0,0,0,101
19.1,3633134,0,0,0,0,0,0,0,0,0,0,0,0,101
19.2,3633091,0,0,0,0,0,0,0,0,0,0,0,0,101
19.3,3633136,0,0,0,0,0,0,0,0,0,0,0,0,101
19.4,3633092,0,0,0,0,0,0,0,0,0,0,0,0,101
19.5,3633142,0,0,0,0,0,0,0,0,0,0,0,0,101
19.6,3909524,0,0,0,0,0,0,0,0,0,0,0,0,101
19.7,3633175,0,0,0,0,0,0,0,0,0,0,0,0,101
19.8,3633093,0,0,0,0,0,0,0,0,0,0,0,0,101
19.9,3633146,0,0,0,0,0,0,0,0,0,0,0,0,101
19.10,3633101,0,0,0,0,0,0,0,0,0,0,0,0,101
19.11,3633097,0,0,0,0,0,0,0,0,0,0,0,0,101
19.12,3633154,0,0,0,0,0,0,0,0,0,0,0,0,101
19.13,3633152,0,0,0,0,0,0,0,0,0,0,0,0,101
19.14,3633129,0,0,0,0,0,0,0,0,0,0,0,0,101
19.15,3633094,0,0,0,0,0,0,0,0,0,0,0,0,101
19.16,3633176,0,0,0,0,0,0,0,0,0,0,0,0,101
19.17,3909543,0,0,0,0,0,0,0,0,0,0,0,0,101
19.18,3633158,0,0,0,0,0,0,0,0,0,0,0,0,101
19.19,3633179,0,0,0,0,0,0,0,0,0,0,0,0,101
19.20,61,0,0,0,0,0,0,0,0,0,0,0,0,52
19.21,62,0,0,0,0,0,0,0,0,0,0,0,0,52
19.22,63,0,0,0,0,0,0,0,0,0,0,0,0,52
19.23,64,0,0,0,0,0,0,0,0,0,0,0,0,52
19.24,1050,0,0,0,0,0,0,0,0,0,0,0,0,50
20.0,4099275,0,0,0,0,0,0,0,0,0,0,0,0,101
20.1,4099273,0,0,0,0,0,0,0,0,0,0,0,0,101
20.2,4099271,0,0,0,0,0,0,0,0,0,0,0,0,101
20.3,4014394,1,0,0,0,0,0,0,0,0,0,0,0,3
20.4,179,0,0,0,0,0,0,0,0,0,0,0,0,50
20.5,4098855,0,0,0,0,0,0,0,0,0,0,0,0,101
20.6,4098857,0,0,0,0,0,0,0,0,0,0,0,0,101
20.7,4098860,0,0,0,0,0,0,0,0,0,0,0,0,101
20.8,4098864,0,0,0,0,0,0,0,0,0,0,0,0,101
20.9,4098867,0,0,0,0,0,0,0,0,0,0,0,0,101
20.10,4098838,0,0,0,0,0,0,0,0,0,0,0,0,101
20.11,180,0,0,0,0,0,0,0,0,0,0,0,0,50
20.12,4099223,0,0,0,0,0,0,0,0,0,0,0,0,101
20.13,4098848,0,0,0,0,0,0,0,0,0,0,0,0,101
21.0,3999853,1,0,0,0,0,0,0,0,0,0,0,0,1
21.1,3999853,0,0,0,0,0,0,0,0,0,0,0,0,101
21.2,3999858,1,0,0,0,0,0,0,0,0,0,0,0,1
