#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
77,True,False,True,True,False,False,True,True,True,True,False
78,True,True,True,False,True,False,False,True,True,True,True
79,False,False,False,True,False,False,True,False,True,False,False
80,False,True,False,False,False,False,False,True,True,False,False
81,False,True,True,True,True,False,False,True,True,True,True
82,True,True,True,True,True,True,False,True,True,True,True
83,True,True,True,True,False,False,False,True,True,True,False
84,False,True,True,False,False,True,True,True,True,True,False
85,False,True,True,True,False,False,False,True,True,False,False
86,False,True,True,True,False,False,True,True,False,False,True
87,False,True,True,True,True,False,True,True,True,True,True
88,False,False,True,False,False,False,False,True,True,True,True
89,False,False,True,False,False,False,False,True,False,False,True
90,False,True,True,False,False,False,True,True,False,False,True
91,False,True,True,True,False,False,True,True,True,False,True
92,False,True,False,False,False,False,False,True,False,False,False
93,True,True,False,False,False,False,False,False,False,False,False
94,True,True,True,False,True,False,False,True,True,True,False
95,False,True,False,False,False,False,False,False,False,False,False
96,False,False,False,False,False,False,True,True,False,False,False
97,False,False,False,False,False,False,False,False,True,True,False
98,True,True,True,True,True,False,False,True,True,False,True
99,False,True,True,False,False,False,False,True,True,False,True
100,False,True,True,False,False,False,False,True,True,False,False
101,False,False,False,True,False,False,True,True,True,False,False
102,False,True,True,True,True,False,True,True,True,True,False
103,False,False,False,True,False,False,True,True,False,False,True
104,True,True,True,False,False,False,True,False,True,True,True
105,False,False,False,False,False,False,True,True,True,False,False
106,True,False,True,False,True,False,False,True,True,True,False
107,False,False,True,False,False,False,False,False,False,False,True
108,False,True,True,True,False,False,True,True,True,False,False
109,False,True,False,True,False,False,True,True,True,True,False
110,False,True,False,False,False,False,False,False,True,False,False
111,False,False,True,False,False,False,True,False,False,False,False
112,False,False,True,False,False,False,True,True,False,False,True
113,False,False,False,False,False,False,True,True,True,True,True
114,True,True,True,False,True,True,True,False,True,True,True
115,False,True,False,False,False,False,False,False,False,False,True
116,False,False,True,True,False,False,True,True,False,False,False
117,True,False,True,False,False,False,True,True,True,False,False
118,True,False,True,False,False,False,False,True,True,True,False
119,False,True,True,False,False,False,True,True,True,False,False
120,False,False,True,False,False,False,True,True,False,False,False
121,False,True,True,False,False,False,False,False,True,True,False
122,True,True,True,False,True,False,False,True,True,False,True
123,True,True,True,True,True,False,True,True,False,True,True
124,False,False,True,False,False,False,True,True,True,True,True
125,True,False,True,True,True,False,False,True,True,True,False
126,False,False,False,False,False,False,True,False,False,False,False
127,False,True,False,False,False,False,True,True,False,True,False
128,True,True,True,False,True,True,True,True,True,True,False
129,True,True,False,True,True,False,True,True,True,True,False
130,True,False,True,True,True,False,True,True,True,True,True
131,False,False,False,True,False,False,False,True,True,True,False
132,False,False,False,True,False,False,True,True,True,True,False
133,False,True,False,False,False,False,True,True,True,True,False
134,True,True,True,True,True,False,True,True,False,False,False
135,False,True,False,False,False,False,True,True,True,False,False
136,False,False,True,False,False,False,True,True,True,False,False
137,False,False,True,False,False,False,False,False,True,False,True
138,True,True,True,False,True,False,True,False,True,True,False
139,True,False,False,False,False,False,False,True,False,True,True
140,True,True,False,False,True,False,True,True,True,True,False
141,True,True,True,True,True,False,True,True,True,False,False
142,False,False,False,True,False,False,False,True,True,False,False
143,True,False,True,True,True,False,False,True,False,False,False
144,True,True,True,False,True,False,True,True,True,False,False
145,True,True,True,False,False,True,True,True,True,True,False
146,False,False,False,False,True,False,False,False,False,False,False
147,False,True,True,False,True,False,False,True,True,True,True
148,False,False,False,False,True,False,False,False,True,True,False
149,False,True,True,True,True,False,True,True,True,False,True
150,False,False,True,False,False,False,False,False,False,True,False
151,False,False,True,False,False,False,True,False,True,False,False
152,False,False,True,False,False,False,False,False,True,True,True
153,False,False,True,True,True,False,True,True,True,True,False
154,False,False,False,False,True,False,False,True,False,False,False
155,False,False,True,False,False,False,True,True,True,False,True
156,False,True,False,True,True,False,True,True,True,True,False
157,True,True,True,True,True,False,False,True,True,False,False
158,True,True,True,False,False,False,False,False,True,True,False
159,True,True,False,True,True,False,True,True,True,True,True
160,True,True,True,False,False,False,False,False,False,True,True
161,True,True,False,False,False,False,False,False,False,True,False
162,False,True,True,False,True,False,True,True,False,False,True
163,True,True,False,True,True,False,True,True,True,False,True
164,True,False,False,False,False,False,True,False,False,True,False
165,True,True,False,True,False,False,True,False,True,False,True
166,False,False,False,True,False,False,False,False,False,False,False
167,True,True,True,False,False,False,False,True,True,False,True
168,True,True,True,False,False,False,True,True,False,True,True
169,True,True,True,True,False,False,True,True,False,False,True
170,True,False,False,True,False,False,True,True,True,True,False
171,True,True,True,False,False,False,True,True,True,False,True
172,True,False,True,True,False,False,True,True,True,False,False
173,True,True,False,False,False,False,False,True,False,True,False
174,True,True,True,False,True,False,False,True,True,False,False
175,True,False,True,False,False,False,True,True,True,True,False
176,True,True,True,True,False,False,True,True,False,False,False
177,False,True,True,False,False,False,False,False,True,True,True
178,False,False,False,False,True,False,True,True,False,False,False
179,False,True,True,False,True,False,False,True,True,True,False
180,True,True,True,True,True,False,False,True,False,False,True
181,False,False,False,False,False,False,False,True,False,True,False
182,False,False,False,False,False,False,True,True,False,False,True
183,False,False,False,False,True,False,False,False,True,False,False
184,False,False,False,False,False,False,False,False,True,False,True
185,False,False,False,True,False,False,False,True,False,False,False
186,False,False,False,False,False,False,False,True,True,True,True
187,False,False,False,True,False,False,True,True,True,False,True
188,True,True,True,True,True,False,False,True,False,False,False
189,True,True,True,True,True,True,True,False,True,True,False
190,False,True,True,False,False,False,True,True,False,True,True
191,False,True,False,False,False,False,False,True,False,False,True
192,False,True,True,True,False,False,False,True,True,False,True
193,True,True,True,True,True,False,True,False,True,True,False
194,False,False,True,True,False,False,True,True,True,False,True
195,False,True,True,True,True,True,True,True,True,False,True
196,True,True,True,False,True,True,False,True,False,False,False
197,False,True,True,True,False,False,True,False,False,False,True
198,False,True,False,True,False,False,True,False,False,True,False
199,False,True,False,True,False,False,True,False,False,True,True
200,False,True,True,False,False,False,False,False,False,True,True
201,False,False,False,False,False,False,True,True,True,True,False
202,False,True,False,False,False,False,True,True,True,True,True
203,True,False,False,False,False,False,False,False,True,True,False
204,False,False,False,True,False,False,True,False,True,True,False
205,False,False,False,False,False,False,False,False,True,True,True
206,True,False,True,True,False,False,True,True,False,True,True
207,True,True,True,False,True,False,True,True,False,True,True
208,True,True,True,False,True,False,True,True,False,False,True
209,True,False,True,False,True,False,True,True,True,True,False
210,True,True,True,True,True,False,True,True,True,False,True
211,False,False,True,False,True,False,False,True,True,False,True
212,True,False,False,False,False,False,True,True,True,True,False
213,True,False,True,False,False,False,True,True,True,True,True
214,True,False,True,False,True,False,True,True,True,True,True
215,False,True,False,False,True,False,True,True,True,True,True
216,True,False,False,False,False,False,False,True,True,True,False
217,True,False,False,False,True,False,False,True,True,True,True
218,True,True,False,False,False,False,False,True,True,True,True
219,False,False,True,False,True,False,True,True,True,True,False
220,False,False,True,False,True,False,False,True,True,True,False
221,True,True,True,True,False,False,True,True,True,False,False
222,True,True,True,True,False,False,True,True,True,False,True
223,False,False,False,True,False,False,False,False,False,False,True
224,True,True,True,True,False,True,True,True,True,False,False
225,True,True,True,True,True,True,True,True,False,False,True
226,False,True,True,True,True,True,False,True,False,False,False
227,True,False,True,True,False,False,True,False,True,False,False
228,False,True,True,True,False,True,True,True,False,False,False
229,True,True,True,True,True,False,False,True,False,True,False
230,False,False,True,True,True,True,False,True,True,True,True
231,True,False,False,True,False,False,False,False,True,True,True
232,True,True,True,True,False,True,True,True,True,True,False
233,True,True,True,True,True,True,False,True,True,True,False
234,True,True,True,True,False,True,True,True,True,True,True
235,False,False,True,True,False,True,False,False,False,False,False
236,True,True,False,True,True,True,False,True,False,False,False
237,True,True,False,True,False,True,False,True,False,False,False
238,True,True,False,True,False,True,False,True,True,True,True
239,False,True,False,True,False,True,False,True,True,True,False
240,True,False,True,True,False,False,False,False,False,False,False
241,True,True,True,True,False,True,True,False,False,False,False
242,False,True,False,True,False,False,False,False,False,False,False
243,True,True,True,False,False,True,True,True,True,True,True
244,False,True,True,True,True,True,False,True,True,True,False
245,True,True,True,True,False,True,True,True,True,False,True
246,True,True,True,True,True,False,False,True,False,True,True
247,False,True,True,False,True,True,True,True,True,True,True
248,True,True,True,True,True,True,True,True,True,False,True
249,False,False,False,True,False,True,False,False,False,False,False
250,False,True,True,False,True,True,True,True,True,True,False
251,False,False,False,True,True,True,False,False,True,True,False
252,False,True,False,True,False,True,False,False,True,True,True
253,False,False,True,True,True,True,True,True,False,False,False
254,False,False,False,True,True,True,False,False,False,False,False
255,False,True,False,True,True,True,False,True,True,True,False
