#,Scale,ArrayEventHandler,Behavior,ModelChara,BNpcCustomize,NpcEquip,Special,Unknown9,Battalion,LinkRace,Rank,SEPack,Unknown0,BNpcParts,Unknown1,Unknown2,Unknown3,Unknown10,Unknown4,IsOmnidirectional,Unknown6,IsTargetLine,IsDisplayLevel,Unknown7,Unknown_70,Unknown8
27,1.5,852157,0,127,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
28,1.5,852074,0,69,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
29,1.5,852658,0,125,0,422,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
30,2,852147,0,81,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
31,1,0,0,71,0,418,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
32,0.5,851988,0,35,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
33,1,852026,0,34,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
34,1,0,0,94,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
35,1.5,855003,0,89,0,656,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
36,2,0,0,56,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
37,2,851975,0,25,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
38,2,852021,0,98,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
39,2,851979,0,50,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
40,2,852108,0,51,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
41,1,852025,0,59,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
42,1.2,852032,0,75,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
43,2,851977,0,36,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
44,2,852022,0,37,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
45,1,851989,0,79,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
46,1,852155,0,80,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
47,1.5,851970,0,28,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
48,1.5,852140,0,29,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
49,2,851993,0,57,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
50,1.5,0,0,121,0,422,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
51,1.5,0,0,121,0,422,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
52,1,852000,0,6,0,319,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
53,1,852465,0,97,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
54,1,855016,0,0,2,366,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
55,1,852104,0,0,36,379,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
56,1,0,0,0,36,379,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
57,1,851974,0,60,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
58,1,852195,0,233,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
59,1,852046,0,385,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
60,1.1,0,0,0,36,379,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
61,1,852107,0,0,37,380,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
62,1,852105,0,0,38,381,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
63,1,852156,0,0,39,382,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
64,1,852106,0,0,41,384,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
65,2,0,0,131,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
66,1.5,0,0,201,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
67,1,0,0,7,0,320,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
68,1,852937,0,7,0,321,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
69,1,0,0,7,0,322,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
70,1,0,0,7,0,323,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
71,1,0,0,7,0,324,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
72,1,852394,0,7,0,325,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
73,1,0,0,7,0,326,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
74,1.5,0,0,7,0,327,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
75,2,0,0,121,0,422,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
76,1.5,0,0,71,0,418,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
77,1,0,0,94,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
78,1.5,0,0,35,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
79,1,852338,0,0,10,376,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
80,1,852500,0,0,11,377,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
81,1,852038,0,0,12,378,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
82,1.1,0,0,0,13,373,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
83,1.1,0,0,0,14,373,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
84,1,852135,0,0,16,366,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
85,1.2,0,0,0,17,474,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
86,1,852355,0,0,18,369,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
87,1,852354,0,0,19,370,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
88,1,0,0,0,20,371,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
89,1.2,0,0,0,21,411,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
90,1.1,0,0,0,22,412,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
91,1,0,0,0,23,413,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
92,1,0,0,0,24,414,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
93,1,0,0,0,25,415,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
94,1,0,0,107,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
95,1,0,0,108,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
96,1,0,0,110,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
97,1,0,0,109,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
98,2,0,0,107,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
99,2,0,0,108,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
100,2,0,0,110,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
101,2,0,0,109,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
102,2,0,0,21,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
103,2,0,0,21,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
104,2.5,0,0,22,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
105,1.5,0,0,6,0,319,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
106,2,0,0,204,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
107,1.3,0,0,12,0,355,0,0,11,0,6,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
108,1,0,0,12,0,355,0,0,11,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
109,1,0,0,12,0,357,0,0,11,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
110,1,0,0,12,0,356,0,0,11,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
111,1,0,0,12,0,358,0,0,11,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
112,1.6,0,0,12,0,359,3255,0,11,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
113,1.2,851990,0,4,0,306,0,0,6,2,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
114,1.2,852150,0,4,0,307,0,0,6,2,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
115,1.2,0,0,4,0,308,0,0,6,2,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
116,1.2,0,0,4,0,309,0,0,6,2,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
117,1.5,0,0,65,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
118,1,851986,0,297,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
119,1,589847,0,121,0,422,0,0,4,0,0,3,3,0,1,0,0,0,0,False,True,True,True,False,False,False
120,1.2,0,0,31,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
121,1.2,0,0,44,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
122,1,0,0,104,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
123,1,852649,0,197,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
124,1,0,0,229,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
125,1.5,0,0,63,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
126,1.5,0,0,17,0,416,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
127,1.5,0,0,20,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
128,1.5,0,0,20,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
129,1.5,0,0,21,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
130,2,852785,0,99,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
131,1,852007,0,386,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
132,1,852177,0,382,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
133,1,851982,0,383,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
134,1,852418,0,381,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
135,1,852015,0,384,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
136,1,852008,0,58,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
137,1.1,0,0,0,15,374,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
138,1.5,852027,0,160,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
139,1.2,852052,0,151,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
140,1,852173,0,145,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
141,1.5,0,0,163,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
142,0.8,851991,0,97,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
143,2,852382,0,27,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
144,1.1,0,0,0,26,475,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
145,0.9,0,0,0,27,370,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
146,0.9,0,0,0,28,368,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
147,0.9,0,0,0,29,372,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
148,0.9,0,0,0,30,476,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
149,2.5,0,0,48,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
150,1.5,0,0,48,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
151,2,0,0,53,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
152,1.1,0,0,0,31,477,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
153,0.9,0,0,0,32,370,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
154,0.9,0,0,0,33,372,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
155,1.1,852083,0,0,34,368,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
156,2,0,0,50,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
157,2,0,0,50,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
158,1.1,0,0,0,35,378,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
159,1.2,852010,0,76,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
160,0.8,852009,0,152,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
161,1.2,0,0,152,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
162,2.5,0,0,25,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
163,2.5,851998,0,57,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
164,2.5,0,0,36,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
165,1.1,0,0,0,43,376,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
166,1.2,852068,0,3,0,300,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
167,1.2,0,0,3,0,301,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
168,1.2,852144,0,3,0,302,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
169,1.2,852154,0,3,0,303,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
170,1,852031,0,14,0,360,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
171,1,0,0,14,0,361,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
172,1,852036,0,136,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
173,1,0,0,135,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
174,1,0,0,137,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
175,2,852100,0,141,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
176,2,852129,0,142,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
177,2,0,0,143,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
178,1.2,852358,0,154,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
179,1.2,852037,0,155,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
180,1.2,0,0,156,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
181,1.2,852112,0,157,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
182,1.5,852181,0,167,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
183,1.5,852278,0,168,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
184,1.5,852279,0,169,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
185,1.5,0,0,170,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
186,1.5,0,0,171,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
187,1.5,852017,0,176,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
188,1.5,852168,0,177,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
189,1.5,852514,0,178,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
190,1.5,852149,0,179,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
191,1.5,852389,0,180,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
192,1.5,0,0,181,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
193,1.2,852293,0,183,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
194,1.2,852056,0,184,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
195,1.2,0,0,185,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
196,1.3,0,0,192,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
197,1.3,0,0,193,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
198,1.3,0,0,194,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
199,1.3,0,0,195,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
200,2,0,0,213,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
201,2,853119,0,214,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
202,2,0,0,215,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
203,2,852109,0,266,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
204,2,852167,0,267,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
205,1.2,852019,0,282,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
206,1.2,852051,0,283,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
207,1,0,0,304,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
208,1,0,0,298,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,False,True,True,False,False,False
209,1,0,0,304,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
210,1,0,0,298,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,True,True,True,False,False,False
211,1,0,0,304,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
212,1,0,0,298,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,True,True,True,False,False,False
213,1,0,0,8,0,328,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
214,1,0,0,8,0,329,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
215,1,0,0,8,0,330,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
216,1,0,0,8,0,331,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
217,1,0,0,8,0,332,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
218,1,0,0,8,0,333,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
219,1,0,0,8,0,334,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
220,1,0,0,8,0,335,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
221,3,0,0,8,0,328,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
222,3,0,0,8,0,329,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
223,3,0,0,8,0,330,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
224,3,0,0,8,0,331,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
225,3,0,0,8,0,332,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
226,3,0,0,8,0,333,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
227,3,0,0,8,0,334,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
228,10,0,0,8,0,335,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
229,3,0,0,8,0,328,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
230,3,0,0,8,0,329,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
231,3,0,0,8,0,330,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
232,3,0,0,8,0,331,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
233,3,0,0,8,0,332,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
234,3,0,0,8,0,333,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
235,3,0,0,8,0,334,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
236,10,0,0,8,0,335,0,0,4,0,2,0,8,0,1,0,0,0,0,False,True,True,True,False,False,False
237,1,0,0,301,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,False,False,True,False,False,False
238,1,0,0,302,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
239,1,0,0,303,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
240,1,0,0,301,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,True,False,True,False,False,False
241,1,0,0,302,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
242,1,0,0,303,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
243,1,0,0,301,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,True,False,True,False,False,False
244,1,0,0,302,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
245,1,0,0,303,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
246,1.5,0,0,306,0,0,0,0,4,0,2,16,0,3,1,0,0,0,0,False,False,True,True,False,False,False
