#,Quest0,Quest1,DefaultTalk,Unknown0
2031680.2,66060,0,591367,0
2031680.3,66729,0,591368,0
2031680.4,67067,0,591539,0
2031680.5,66899,0,591369,0
2031680.6,65964,0,590100,0
2031680.7,67137,0,592815,0
2031681.0,0,0,590079,0
2031681.1,66311,0,591370,0
2031681.2,67884,0,593509,0
2031682.0,0,0,590792,0
2031682.1,66318,0,591371,0
2031682.2,66754,0,591372,0
2031682.3,66757,0,591373,0
2031682.4,65960,0,592039,0
2031682.5,67168,0,592834,0
2031682.6,67882,0,593497,0
2031682.7,67886,0,593527,0
2031682.8,67895,0,592922,0
2031682.9,68089,0,592923,0
2031683.0,0,0,590798,0
2031683.1,66347,0,591374,0
2031683.2,0,66393,591375,255
2031683.3,66896,0,591376,0
2031683.4,0,66897,591377,2
2031683.5,0,70310,599127,255
2031684.0,0,0,590799,0
2031684.1,66391,0,591378,0
2031684.2,0,66393,591379,255
2031684.3,20,0,591380,0
2031684.4,66899,0,591381,0
2031684.5,66974,0,591555,0
2031684.6,65964,0,591148,0
2031684.7,66032,0,590566,0
2031684.8,66121,0,592831,0
2031684.9,67168,0,592832,0
2031684.10,66137,0,592833,0
2031684.11,69652,0,597544,0
2031684.12,0,69655,597545,5
2031684.13,0,70364,599481,2
2031684.14,0,70365,599482,4
2031684.15,0,70724,600807,1
2031685.0,0,0,590668,0
2031685.1,66355,0,591382,0
2031685.2,0,66393,591383,255
2031685.3,66032,0,590565,0
2031685.4,68463,0,594216,0
2031685.5,69652,0,597546,0
2031685.6,0,69655,597547,5
2031686.0,0,0,591026,0
2031686.1,66358,0,591384,0
2031686.2,0,66393,591385,255
2031686.3,66559,0,591386,0
2031686.4,69652,0,597548,0
2031686.5,0,69655,597549,5
2031687.0,0,0,590801,0
2031687.1,66368,0,591387,0
2031687.2,0,66393,591388,255
2031687.3,20,0,591389,0
2031687.4,67193,0,592812,0
2031687.5,69652,0,597552,0
2031687.6,0,69655,597553,5
2031687.7,70365,0,599483,0
2031688.0,0,0,590755,0
2031688.1,66386,0,591390,0
2031688.2,0,66393,591391,255
2031688.3,66713,0,591392,0
2031688.4,66695,0,591393,0
2031688.5,66032,0,591595,0
2031688.6,69652,0,597550,0
2031688.7,0,69655,597551,5
2031689.0,0,0,590982,0
2031689.1,66054,0,591394,0
2031689.2,66060,0,591395,0
2031689.3,66740,0,591396,0
2031689.4,66712,0,591397,0
2031689.5,65963,0,592038,0
2031689.6,67167,0,592824,0
2031689.7,68508,0,594631,0
2031690.0,0,0,590855,0
2031690.1,66448,0,591398,0
2031690.2,66995,0,591594,0
2031690.3,65593,0,591751,0
2031690.4,65964,0,592203,0
2031690.5,67134,0,592840,0
2031690.6,67138,0,592841,0
2031690.7,67168,0,592842,0
2031691.0,0,0,590814,0
2031691.1,66448,0,591399,0
2031691.2,65964,0,592209,0
2031691.3,67176,0,592808,0
2031691.4,67205,0,592809,0
2031691.5,67783,0,593291,0
2031692.0,0,0,591000,0
2031692.1,66477,0,591400,0
2031692.2,67061,0,591536,0
2031692.3,65626,0,591855,0
2031692.4,67783,0,593302,0
2031693.0,0,0,590762,0
2031693.1,66503,0,591401,0
2031693.2,65630,0,591856,0
2031693.3,65780,0,591245,0
2031694.0,0,0,591019,0
2031694.1,66541,0,591402,0
2031694.2,66060,0,591403,0
2031694.3,66729,0,591404,0
2031694.4,66899,0,591405,0
2031694.5,66995,0,591593,0
2031694.6,65963,0,592210,0
2031694.7,67168,0,592791,0
2031694.8,67886,0,593528,0
2031694.9,67891,0,593620,0
2031694.10,70000,0,598646,0
2031695.0,0,0,591020,0
2031695.1,66541,0,591406,0
2031695.2,66729,0,591407,0
2031695.3,65963,0,592213,0
2031695.4,67168,0,592795,0
2031696.0,0,0,590686,0
2031696.1,66391,0,591408,0
2031696.2,66713,0,591409,0
2031696.3,67068,0,591540,0
2031696.4,66974,0,591556,0
2031696.5,0,70364,599480,2
2031697.0,0,0,590805,0
2031697.1,66270,0,591410,0
2031698.0,0,0,590780,0
2031698.1,66292,0,591411,0
2031698.2,67112,0,591857,0
2031699.0,0,0,590783,0
2031699.1,66493,0,591412,0
2031700.0,0,0,590697,0
2031700.1,66401,0,591413,0
2031700.2,67882,0,593496,0
2031700.3,69551,0,597311,0
2031701.0,0,0,590785,0
2031701.1,66492,0,591414,0
2031701.2,65780,0,591246,0
2031701.3,68715,0,595070,0
2031701.4,68817,0,596578,0
2031701.5,69318,0,597157,0
2031702.0,0,0,590683,0
2031702.1,66510,0,591415,0
2031702.2,65780,0,591247,0
2031703.0,0,0,590786,0
2031703.1,66492,0,591416,0
2031703.2,65780,0,591294,0
2031704.0,0,0,591038,0
2031704.1,66514,0,591417,0
2031704.2,67783,0,593289,0
2031705.0,0,0,590767,0
2031705.1,66563,0,591418,0
2031706.0,0,0,591032,0
2031706.1,0,66337,591419,3
2031706.2,19,0,591420,0
2031707.0,0,0,591168,0
2031707.1,66739,0,591421,0
2031707.2,67010,0,591563,0
2031708.0,0,0,591286,0
2031708.1,66695,0,591422,0
2031708.2,66696,0,591423,0
2031708.3,65580,0,591744,0
2031709.0,0,0,591128,0
2031709.1,66757,0,591424,0
2031709.2,67008,0,591651,0
2031709.3,67009,0,591652,0
2031710.0,0,0,591175,0
2031710.1,66792,0,591425,0
2031710.2,67004,0,591628,0
2031710.3,67009,0,591629,0
2031711.0,0,0,591138,0
2031711.1,66792,0,591426,0
2031711.2,67004,0,591626,0
2031711.3,67009,0,591627,0
2031712.0,0,0,591284,0
2031712.1,66860,0,591427,0
2031712.2,67006,0,591637,0
2031712.3,67009,0,591638,0
2031713.0,0,0,591287,0
2031713.1,66860,0,591428,0
2031713.2,67006,0,591635,0
2031713.3,67009,0,591636,0
2031714.0,0,0,591285,0
2031714.1,66914,0,591429,0
2031714.2,67005,0,591630,0
2031714.3,67009,0,591631,0
2031715.0,0,0,591155,0
2031715.1,19,0,591430,0
2031715.2,65966,0,591143,0
2031716.0,0,0,591133,0
2031716.1,18,0,591431,0
2031716.2,21,0,591432,0
2031716.3,65632,0,591858,0
2031717.0,0,0,591281,0
2031717.1,20,0,591433,0
2031717.2,65630,0,591859,0
2031718.0,0,0,590201,0
2031718.1,66503,0,591434,0
2031718.2,66745,0,591435,0
2031718.3,67737,0,593039,0
2031719.0,0,0,591127,0
2031719.1,66745,0,591436,0
2031719.2,67737,0,593040,0
2031720.0,0,0,591070,0
2031720.1,66899,0,591438,0
2031720.2,65625,0,591441,0
2031721.0,0,0,591439,0
2031721.1,66972,0,591440,0
2031722.0,0,0,591213,0
2031722.1,66978,0,591444,0
2031723.0,0,0,591445,0
2031723.1,66989,0,591446,0
2031723.2,66992,0,591447,0
2031723.3,66996,0,591448,0
2031723.4,65588,0,591762,0
2031723.5,65590,0,591763,0
2031723.6,65611,0,591764,0
2031723.7,65618,0,591765,0
2031723.8,65620,0,591766,0
2031723.9,65623,0,591767,0
2031723.10,65625,0,591768,0
2031723.11,65899,0,591929,0
2031723.12,65901,0,591930,0
2031723.13,65903,0,591931,0
2031723.14,65955,0,591935,0
2031724.0,0,0,591469,0
2031724.1,66992,0,591495,0
2031725.0,0,0,591470,0
2031725.1,66992,0,591496,0
2031726.0,0,0,591471,0
2031726.1,66992,0,591497,0
2031727.0,0,0,591472,0
2031727.1,66992,0,591498,0
2031728.0,0,0,591473,0
2031728.1,66992,0,591499,0
2031729.0,0,0,591474,0
2031729.1,66992,0,591500,0
2031730.0,0,0,591475,0
2031730.1,66992,0,591501,0
2031731.0,0,0,591476,0
2031731.1,66992,0,591502,0
2031732.0,0,0,591477,0
2031732.1,66992,0,591503,0
2031733.0,0,0,591478,0
2031733.1,66992,0,591504,0
2031734.0,0,0,591479,0
2031734.1,66992,0,591505,0
2031735.0,0,0,591480,0
2031735.1,66992,0,591506,0
2031736.0,0,0,591481,0
2031736.1,66992,0,591507,0
2031737.0,0,0,591482,0
2031737.1,66992,0,591508,0
2031738.0,0,0,591483,0
2031738.1,66992,0,591509,0
2031739.0,0,0,591071,0
2031739.1,66998,0,591531,0
2031740.0,0,0,591013,0
2031740.1,67061,0,591533,0
2031741.0,0,0,590743,0
2031741.1,67061,0,591534,0
2031742.0,0,0,590753,0
2031742.1,67061,0,591535,0
2031743.0,0,0,591537,0
2031743.1,67061,0,591538,0
2031744.0,0,0,591493,0
2031744.1,66992,0,591494,0
2031745.0,0,0,591541,0
2031745.1,67062,0,591542,0
2031745.2,67784,0,593351,0
2031746.0,0,0,590274,0
2031746.1,0,67066,591562,255
2031747.0,0,0,591165,0
2031747.1,67010,0,591564,0
2031747.2,66030,0,592005,0
2031748.0,0,0,591166,0
2031748.1,67010,0,591565,0
2031748.2,66030,0,592006,0
2031749.0,0,0,591167,0
2031749.1,67010,0,591566,0
2031749.2,66030,0,592007,0
2031750.0,0,0,590414,0
2031750.1,66226,0,591576,0
2031750.2,67017,0,591577,0
2031751.0,0,0,590719,0
2031751.1,67067,0,591578,0
2031752.0,0,0,589927,0
2031752.1,67067,0,591579,0
2031753.0,0,0,590106,0
2031753.1,67096,0,591581,0
2031754.0,0,0,590490,0
2031754.1,7,0,591582,0
2031754.2,66946,0,591583,0
2031755.0,0,0,590804,0
2031755.1,66974,0,591584,0
2031756.0,0,0,591570,0
2031756.1,67079,0,591585,0
2031757.0,0,0,590981,0
2031757.1,66979,0,591586,0
2031758.0,0,0,590324,0
2031758.1,66980,0,591587,0
2031758.2,65963,0,592274,0
2031758.3,67167,0,592822,0
2031759.0,0,0,590323,0
2031759.1,66980,0,591588,0
2031759.2,65963,0,592275,0
2031759.3,67167,0,592821,0
2031760.0,0,0,590284,0
2031760.1,66981,0,591590,0
2031760.2,65963,0,592202,0
2031760.3,67167,0,592819,0
2031760.4,68685,0,594931,0
2031760.5,68717,0,595177,0
2031760.6,68722,0,595042,0
2031761.0,0,0,590492,0
2031761.1,66982,0,591591,0
2031762.0,0,0,590425,0
2031762.1,65806,0,591614,0
2031763.0,0,0,591543,0
2031763.1,0,67066,591567,255
2031763.2,67001,0,591622,0
2031763.3,67009,0,591623,0
2031764.0,0,0,591551,0
2031764.1,67003,0,591624,0
2031764.2,67009,0,591625,0
2031765.0,0,0,591278,0
2031765.1,66914,0,591632,0
2031765.2,67005,0,591633,0
2031765.3,67009,0,591634,0
2031766.0,0,0,591615,0
2031766.1,67029,0,591639,0
2031766.2,67007,0,591640,0
2031766.3,67009,0,591641,0
2031767.0,0,0,591618,0
2031767.1,67029,0,591642,0
2031767.2,67007,0,591643,0
2031767.3,67009,0,591644,0
2031768.0,0,0,591603,0
2031768.1,67029,0,591645,0
2031769.0,0,0,591604,0
2031769.1,67029,0,591646,0
2031770.0,0,0,591605,0
2031770.1,67029,0,591647,0
2031771.0,0,0,591606,0
2031771.1,67029,0,591648,0
2031772.0,0,0,591607,0
2031772.1,67029,0,591649,0
2031773.0,0,0,591608,0
2031773.1,67029,0,591650,0
2031774.0,0,0,591131,0
2031774.1,66757,0,591653,0
2031774.2,67008,0,591654,0
2031774.3,67009,0,591655,0
2031775.0,0,0,591745,0
2031775.1,66849,0,591746,0
2031775.2,66850,0,591747,0
2031775.3,65580,0,591748,0
2031776.0,0,0,590049,0
2031776.1,65569,0,591749,0
2031777.0,0,0,591752,0
2031777.1,65620,0,591753,0
2031777.2,65907,0,591918,0
2031778.0,0,0,591756,0
2031778.1,65610,0,591758,0
2031779.0,0,0,591757,0
2031779.1,65610,0,591759,0
2031780.0,0,0,591783,0
2031780.1,65611,0,591801,0
2031781.0,0,0,591784,0
2031781.1,65611,0,591802,0
2031782.0,0,0,591785,0
2031782.1,65611,0,591803,0
2031783.0,0,0,591786,0
2031783.1,65611,0,591804,0
2031784.0,0,0,591787,0
2031784.1,65611,0,591805,0
2031785.0,0,0,591788,0
2031785.1,65611,0,591806,0
2031786.0,0,0,591789,0
2031786.1,65611,0,591807,0
2031787.0,0,0,591790,0
2031787.1,65611,0,591808,0
2031788.0,0,0,591791,0
2031788.1,65611,0,591809,0
2031789.0,0,0,591792,0
2031789.1,65611,0,591810,0
2031790.0,0,0,591793,0
2031790.1,65611,0,591811,0
2031791.0,0,0,591845,0
2031791.1,65772,0,591846,0
2031791.2,65774,0,591847,0
2031792.0,0,0,591848,0
2031792.1,65773,0,591849,0
2031792.2,65774,0,591850,0
2031793.0,0,0,591851,0
2031793.1,65774,0,591852,0
2031794.0,0,0,590724,0
2031794.1,67111,0,591860,0
2031795.0,0,0,590788,0
2031795.1,67112,0,591861,0
2031796.0,0,0,590191,0
2031796.1,65776,0,591862,0
2031797.0,0,0,590331,0
2031797.1,65776,0,591863,0
2031798.0,0,0,590285,0
2031798.1,65776,0,591864,0
2031799.0,0,0,591866,0
2031799.1,65680,0,591867,0
2031800.0,0,0,590736,0
2031800.1,65590,0,591872,0
2031800.2,65620,0,591873,0
2031800.3,65625,0,590736,0
2031800.4,65963,0,592221,0
2031800.5,67167,0,592837,0
2031800.6,67176,0,592838,0
2031800.7,67205,0,592839,0
2031801.0,0,0,591001,0
2031801.1,65593,0,591874,0
2031801.2,65620,0,591875,0
2031802.0,0,0,591876,0
2031802.1,65638,0,591877,0
2031802.2,65646,0,591878,0
2031802.3,65662,0,591879,0
2031802.4,65681,0,591880,0
2031802.5,65682,0,591881,0
2031802.6,65684,0,591882,0
2031802.7,65691,0,591883,0
2031803.0,0,0,591895,0
2031803.1,65825,0,591896,0
2031804.0,0,0,591897,0
2031804.1,65845,0,591898,0
2031805.0,0,0,591899,0
2031805.1,65826,0,591900,0
2031806.0,0,0,591901,0
2031806.1,65786,0,591902,0
2031807.0,0,0,591903,0
2031807.1,65787,0,591904,0
2031807.2,65890,0,591905,0
2031808.0,0,0,590760,0
2031808.1,65777,0,591907,0
2031809.0,0,0,591532,0
2031809.1,65896,0,591908,0
2031810.0,0,0,591909,0
2031810.1,65893,0,591910,0
2031811.0,0,0,591282,0
2031811.1,65894,0,591911,0
2031812.0,0,0,591884,0
2031812.1,65895,0,591885,0
2031813.0,0,0,591932,0
2031813.1,65906,0,591933,0
2031813.2,65909,0,591934,0
2031813.3,65955,0,591935,0
2031814.0,0,0,591936,0
2031814.1,65901,0,591946,0
2031815.0,0,0,591937,0
2031815.1,65901,0,591947,0
2031816.0,0,0,591938,0
2031816.1,65901,0,591948,0
2031817.0,0,0,591939,0
2031817.1,65901,0,591949,0
2031818.0,0,0,591940,0
2031818.1,65901,0,591950,0
2031819.0,0,0,591941,0
2031819.1,65901,0,591951,0
2031820.0,0,0,591942,0
2031820.1,65901,0,591952,0
2031821.0,0,0,591943,0
2031821.1,65901,0,591953,0
2031822.0,0,0,591944,0
2031822.1,65901,0,591954,0
2031823.0,0,0,591945,0
2031823.1,65901,0,591955,0
2031824.0,0,0,590658,0
2031824.1,66614,0,591442,0
2031824.2,67215,0,592787,0
2031824.3,67219,0,592788,0
2031824.4,68125,0,594210,0
2031824.5,68128,0,594211,0
2031825.0,0,0,591052,0
2031825.1,65779,0,591240,0
2031826.0,0,0,590237,0
2031826.1,65966,0,591144,0
2031827.0,0,0,590673,0
2031827.1,65966,0,591145,0
2031828.0,0,0,590696,0
2031828.1,65967,0,591146,0
2031829.0,0,0,592009,0
2031829.1,66959,0,592010,0
2031830.0,0,0,592013,0
2031830.1,66048,0,592014,0
2031830.2,66083,0,592015,0
2031831.0,0,0,592016,0
2031831.1,66048,0,592017,0
2031831.2,66083,0,592018,0
2031832.0,0,0,592019,0
2031832.1,66051,0,592020,0
2031832.2,66083,0,592021,0
2031833.0,0,0,592022,0
2031833.1,66059,0,592023,0
2031833.2,66083,0,592024,0
2031834.0,0,0,592025,0
2031834.1,66063,0,592026,0
2031834.2,66083,0,592027,0
2031835.0,0,0,592028,0
2031835.1,66035,0,592029,0
2031835.2,66037,0,592030,0
2031836.0,0,0,592031,0
2031836.1,66035,0,592032,0
2031836.2,66037,0,592033,0
2031837.0,0,0,590353,0
2031837.1,65964,0,590103,0
2031837.2,67168,0,592814,0
2031837.3,67886,0,597451,0
2031837.4,69601,0,597469,0
2031837.5,0,69602,597451,1
2031838.0,0,0,590946,0
2031838.1,65963,0,592034,0
2031838.2,67137,0,592825,0
2031838.3,67167,0,592826,0
2031838.4,70000,0,598642,0
2031839.0,0,0,590948,0
2031839.1,65963,0,592035,0
2031839.2,67137,0,592827,0
2031839.3,67167,0,592828,0
2031839.4,67886,0,593606,0
2031839.5,67891,0,593612,0
2031839.6,67895,0,593632,0
2031839.7,67997,0,593706,0
2031839.8,68089,0,593707,0
2031839.9,70000,0,598644,0
2031839.10,69649,0,598645,0
2031840.0,0,0,590923,0
2031840.1,65963,0,592036,0
2031840.2,67137,0,592829,0
2031840.3,67167,0,592830,0
2031840.4,67886,0,593605,0
2031840.5,67891,0,593611,0
2031840.6,67895,0,593633,0
2031841.0,0,0,590330,0
2031841.1,65963,0,592040,0
2031841.2,67167,0,592817,0
2031842.0,0,0,590595,0
2031842.1,65963,0,592041,0
2031842.2,67167,0,592818,0
2031842.3,70000,0,598641,0
2031843.0,0,0,590742,0
2031843.1,65906,0,592204,0
2031843.2,65955,0,592205,0
2031843.3,67780,0,593298,0
2031843.4,67781,0,592205,0
2031844.0,0,0,590741,0
2031844.1,65906,0,592206,0
2031844.2,65955,0,592207,0
2031844.3,67205,0,592807,0
2031844.4,67780,0,593296,0
2031844.5,67781,0,593297,0
2031845.0,0,0,590863,0
2031845.1,65964,0,592208,0
2031845.2,67167,0,592802,0
2031845.3,67176,0,592803,0
2031845.4,67205,0,592804,0
2031845.5,67783,0,593295,0
2031846.0,0,0,591142,0
2031846.1,65963,0,592211,0
2031846.2,67168,0,592792,0
2031846.3,67173,0,592793,0
2031847.0,0,0,591025,0
2031847.1,65963,0,592212,0
2031847.2,67168,0,592794,0
2031848.0,0,0,591957,0
2031848.1,65906,0,592219,0
2031849.0,0,0,591958,0
2031849.1,65906,0,592220,0
2031850.0,0,0,592230,0
2031850.1,66035,0,592231,0
2031850.2,66037,0,592232,0
2031851.0,0,0,592224,0
2031851.1,66095,0,592227,0
2031852.0,0,0,592225,0
2031852.1,66095,0,592228,0
2031853.0,0,0,592226,0
2031853.1,66095,0,592229,0
2031854.0,0,0,592233,0
2031854.1,66092,0,592236,0
2031855.0,0,0,592234,0
2031855.1,66092,0,592237,0
2031856.0,0,0,592235,0
2031856.1,66092,0,592238,0
2031857.0,0,0,590669,0
2031857.1,66032,0,592241,0
2031858.0,0,0,592244,0
2031858.1,66096,0,592245,0
2031859.0,0,0,592265,0
2031859.1,65579,0,592266,0
2031859.2,65580,0,592267,0
2031860.0,0,0,592332,0
2031860.1,67631,0,592333,0
2031861.0,0,0,592335,0
2031861.1,67634,0,592336,0
2031862.0,0,0,592338,0
2031862.1,67634,0,592339,0
2031863.0,0,0,592341,0
2031863.1,67631,0,592342,0
2031864.0,0,0,592553,0
2031864.1,67205,0,593229,0
2031865.0,0,0,592345,0
2031865.1,67634,0,592346,0
2031866.0,0,0,593897,0
2031866.1,68036,0,592665,0
2031866.2,68038,0,593897,0
2031867.0,0,0,592349,0
2031867.1,67634,0,592350,0
2031868.0,0,0,592351,0
2031868.1,67632,0,592352,0
2031869.0,0,0,592639,0
2031869.1,67626,0,592777,0
2031869.2,67627,0,592778,0
2031869.3,67628,0,592779,0
2031869.4,67629,0,592780,0
2031869.5,67630,0,592640,0
2031869.6,67875,0,593533,0
2031870.0,0,0,592286,0
2031870.1,67166,0,592641,0
2031870.2,67175,0,592642,0
2031871.0,0,0,592291,0
2031871.1,67172,0,592643,0
2031871.2,67176,0,592644,0
2031871.3,67199,0,592645,0
2031871.4,67205,0,592646,0
2031872.0,0,0,592292,0
2031872.1,67172,0,592647,0
2031872.2,67176,0,592648,0
2031872.3,67199,0,592649,0
2031872.4,67205,0,592650,0
2031872.5,67776,0,593123,0
2031872.6,67783,0,593276,0
2031873.0,0,0,592293,0
2031873.1,67172,0,592651,0
2031873.2,67176,0,592652,0
2031873.3,67199,0,592653,0
2031873.4,67205,0,592654,0
2031874.0,0,0,592294,0
2031874.1,67139,0,592655,0
2031874.2,67185,0,592656,0
2031874.3,67199,0,592657,0
2031874.4,67205,0,592658,0
2031874.5,67693,0,592925,0
2031874.6,67699,0,592926,0
2031874.7,67776,0,593121,0
2031874.8,67781,0,593249,0
2031874.9,67783,0,593250,0
2031875.0,0,0,592303,0
2031875.1,67133,0,592659,0
2031875.2,67139,0,592660,0
2031875.3,67172,0,592661,0
2031875.4,67176,0,592662,0
2031875.5,67205,0,592663,0
2031875.6,67697,0,592990,0
2031875.7,67699,0,592991,0
2031875.8,67773,0,593140,0
2031875.9,67776,0,593141,0
2031875.10,67780,0,593283,0
2031875.11,67781,0,593284,0
2031875.12,67783,0,593285,0
2031875.13,68721,0,595094,0
2031876.0,0,0,592444,0
2031876.1,67530,0,592664,0
2031876.2,67783,0,593273,0
2031877.0,0,0,592448,0
2031877.1,67283,0,592666,0
2031877.2,67172,0,592667,0
2031877.3,67772,0,593148,0
2031877.4,67776,0,593149,0
2031877.5,67780,0,593307,0
2031877.6,67781,0,593308,0
2031878.0,0,0,592450,0
2031878.1,67573,0,592668,0
2031878.2,67772,0,593152,0
2031878.3,67776,0,593153,0
2031878.4,67783,0,593311,0
2031879.0,0,0,592461,0
2031879.1,67297,0,592669,0
2031879.2,67143,0,592670,0
2031879.3,67770,0,593162,0
2031879.4,67776,0,593163,0
2031879.5,67783,0,593315,0
2031880.0,0,0,592463,0
2031880.1,67299,0,592671,0
