#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2045,Alexandrian Mining Folklore,11,43880,2017,1,16,0
2046,Alexandrian Botany Folklore,11,43883,2017,2,17,0
2047,Alexandrian Botany Folklore,11,43883,2017,2,17,0
2200,Geological Resources,74,0,2006,1,16,2
2201,Geological Resources,74,0,2006,1,16,2
2202,Botanical Resources,74,0,2006,2,17,2
2203,Botanical Resources,74,0,2006,2,17,2
2204,Geological Resources,74,0,2006,1,16,3
2205,Geological Resources,74,0,2006,1,16,3
2206,Botanical Resources,74,0,2006,2,17,3
2207,Botanical Resources,74,0,2006,2,17,3
2208,Geological Skysteel Resources I,69384,0,2007,1,16,0
2209,Geological Skysteel Resources I,69384,0,2007,1,16,0
2210,Botanical Skysteel Resources I,69384,0,2007,2,17,0
2211,Botanical Skysteel Resources I,69384,0,2007,2,17,0
2212,Geological Resources,74,0,2006,1,16,4
2213,Geological Resources,74,0,2006,1,16,4
2214,Botanical Resources,74,0,2006,2,17,4
2215,Botanical Resources,74,0,2006,2,17,4
2216,Geological Skysteel Resources II,69428,0,2007,1,16,0
2217,,69428,0,0,1,16,0
2218,Botanical Skysteel Resources II,69428,0,2007,2,17,0
2219,,69428,0,0,2,17,0
2220,Lv. 51,67631,0,2008,1,16,0
2221,Lv. 51,67631,0,2008,1,16,0
2222,Lv. 51,67631,0,2008,2,17,0
2223,Lv. 51,67631,0,2008,2,17,0
2224,Lv. 56,67631,0,2008,1,16,0
2225,Lv. 56,67631,0,2008,1,16,0
2226,Lv. 56,67631,0,2008,2,17,0
2227,Lv. 56,67631,0,2008,2,17,0
2228,Lv. 61,67631,0,2008,1,16,0
2229,Lv. 61,67631,0,2008,1,16,0
2230,Lv. 61,67631,0,2008,2,17,0
2231,Lv. 61,67631,0,2008,2,17,0
2232,Lv. 66,67631,0,2008,1,16,0
2233,Lv. 66,67631,0,2008,1,16,0
2234,Lv. 66,67631,0,2008,2,17,0
2235,Lv. 66,67631,0,2008,2,17,0
2236,Lv. 71,67631,0,2009,1,16,0
2237,Lv. 71,67631,0,2009,1,16,0
2238,Lv. 71,67631,0,2009,2,17,0
2239,Lv. 71,67631,0,2009,2,17,0
2240,Lv. 76,67631,0,2009,1,16,0
2241,Lv. 76,67631,0,2009,1,16,0
2242,Lv. 76,67631,0,2009,2,17,0
2243,Lv. 76,67631,0,2009,2,17,0
2244,Lv. 81,67631,0,2013,1,16,0
2245,Lv. 81,67631,0,2013,1,16,0
2246,Lv. 81,67631,0,2013,2,17,0
2247,Lv. 81,67631,0,2013,2,17,0
2248,Geological Resources,74,0,2006,1,16,5
2249,Geological Resources,74,0,2006,1,16,5
2250,Botanical Resources,74,0,2006,2,17,5
2251,Botanical Resources,74,0,2006,2,17,5
2252,Geological Skysteel Resources III,69518,0,2007,1,16,0
2253,,69518,0,0,1,16,0
2254,Botanical Skysteel Resources III,69518,0,2007,2,17,0
2255,,69518,0,0,2,17,0
2256,Lv. 86,67631,0,2013,1,16,0
2257,Lv. 86,67631,0,2013,1,16,0
2258,Lv. 86,67631,0,2013,2,17,0
2259,Lv. 86,67631,0,2013,2,17,0
2260,,70137,0,0,1,16,0
2261,,70137,0,0,1,16,0
2262,,70137,0,0,2,17,0
2263,,70137,0,0,2,17,0
2264,,70138,0,0,1,16,0
2265,,70138,0,0,1,16,0
2266,,70138,0,0,2,17,0
2267,,70138,0,0,2,17,0
2268,,70139,0,0,1,16,0
2269,,70139,0,0,1,16,0
2270,,70139,0,0,2,17,0
2271,,70139,0,0,2,17,0
2272,Geological Resources I,70266,0,2014,1,16,0
2273,,70266,0,2014,1,16,0
2274,Botanical Resources I,70266,0,2014,2,17,0
2275,,70266,0,2014,2,17,0
2276,Geological Resources II,70303,0,2014,1,16,0
2277,,70303,0,2014,1,16,0
2278,Botanical Resources II,70303,0,2014,2,17,0
2279,,70303,0,2014,2,17,0
2280,Geological Resources III,70338,0,2014,1,16,0
2281,,70338,0,2014,1,16,0
2282,Botanical Resources III,70338,0,2014,2,17,0
2283,,70338,0,2014,2,17,0
2284,Lv. 91,67631,0,2018,1,16,0
2285,Lv. 91,67631,0,2018,1,16,0
2286,Lv. 91,67631,0,2018,2,17,0
2287,Lv. 91,67631,0,2018,2,17,0
2288,Lv. 96,67631,0,2018,1,16,0
2289,Lv. 96,67631,0,2018,1,16,0
2290,Lv. 96,67631,0,2018,2,17,0
2291,Lv. 96,67631,0,2018,2,17,0
2292,,70495,0,0,1,16,0
2293,,70495,0,0,1,16,0
2294,,70495,0,0,2,17,0
2295,,70495,0,0,2,17,0
2296,,70791,0,0,1,16,0
2297,,70791,0,0,1,16,0
2298,,70791,0,0,2,17,0
2299,,70791,0,0,2,17,0
2300,,0,0,0,0,0,0
2301,,0,0,0,0,0,0
2302,,0,0,0,0,0,0
2303,,0,0,0,0,0,0
2304,,0,0,0,0,0,0
2305,,0,0,0,0,0,0
2306,,0,0,0,0,0,0
2307,,0,0,0,0,0,0
2308,,0,0,0,0,0,0
2309,,0,0,0,0,0,0
2310,,0,0,0,0,0,0
2311,,0,0,0,0,0,0
2312,,0,0,0,0,0,0
2313,,0,0,0,0,0,0
2314,,0,0,0,0,0,0
2315,,0,0,0,0,0,0
2316,,0,0,0,0,0,0
2317,,0,0,0,0,0,0
2318,,0,0,0,0,0,0
2319,,0,0,0,0,0,0
2320,,0,0,0,0,0,0
2321,,0,0,0,0,0,0
2322,,0,0,0,0,0,0
2323,,0,0,0,0,0,0
2324,,0,0,0,0,0,0
2325,,0,0,0,0,0,0
2326,,0,0,0,0,0,0
2327,,0,0,0,0,0,0
2328,,0,0,0,0,0,0
2329,,0,0,0,0,0,0
2330,,0,0,0,0,0,0
2331,,0,0,0,0,0,0
2332,,0,0,0,0,0,0
2333,,0,0,0,0,0,0
2334,,0,0,0,0,0,0
2335,,0,0,0,0,0,0
2336,,0,0,0,0,0,0
2337,,0,0,0,0,0,0
2338,,0,0,0,0,0,0
2339,,0,0,0,0,0,0
2340,,0,0,0,0,0,0
2341,,0,0,0,0,0,0
2342,,0,0,0,0,0,0
2343,,0,0,0,0,0,0
2344,,0,0,0,0,0,0
2345,,0,0,0,0,0,0
2346,,0,0,0,0,0,0
2347,,0,0,0,0,0,0
2348,,0,0,0,0,0,0
2349,,0,0,0,0,0,0
2350,,0,0,0,0,0,0
2500,Coerthan Fishing Folklore,0,12701,0,3,18,0
2501,Dravanian Fishing Folklore,1,12702,0,3,18,0
2502,Abalathian Fishing Folklore,2,12703,0,3,18,0
2503,Gyr Abanian Fishing Folklore,3,17842,0,3,18,0
2504,Gyr Abanian Fishing Folklore,3,17842,0,3,18,0
2505,Othardian Fishing Folklore,4,17843,0,3,18,0
2506,Othardian Fishing Folklore,4,17843,0,3,18,0
2507,Vrandtic Fishing Folklore,5,26810,0,3,18,0
2508,Vrandtic Fishing Folklore,5,26810,0,3,18,0
2509,Northern Fishing Folklore,6,36606,2010,3,18,0
2510,Northern Fishing Folklore,6,36606,2010,3,18,0
2511,Celestial Fishing Folklore,7,36608,2011,3,18,0
2512,Celestial Fishing Folklore,7,36608,2011,3,18,0
2513,Ancient Fishing Folklore,8,36609,2012,3,18,0
2514,Ancient Fishing Folklore,8,36609,2012,3,18,0
2515,Yok Turali Fishing Folklore,9,43884,2015,3,18,0
2516,Yok Turali Fishing Folklore,9,43884,2015,3,18,0
2517,Xak Turali Fishing Folklore,10,43885,2016,3,18,0
2518,Xak Turali Fishing Folklore,10,43885,2016,3,18,0
2519,Alexandrian Fishing Folklore,11,43886,2017,3,18,0
2520,Alexandrian Fishing Folklore,11,43886,2017,3,18,0
