#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
31,Gear Condition,750,751,752,0,0,0,0,0,0,0,5,7,True
32,Repairing Gear,760,761,0,0,0,0,0,0,0,0,6,7,True
33,Accepting Guildleves,500,501,0,0,0,0,0,0,0,0,1,9,True
34,Initiating Levequests,510,511,512,0,0,513,514,515,0,0,2,9,True
35,Levequest Difficulty,520,521,0,0,0,0,0,0,0,0,3,9,True
36,Sanctuaries,170,171,172,173,0,0,0,0,0,0,7,2,True
37,Armoury Chest,160,161,162,0,0,160,161,163,0,0,3,7,True
38,Unlocking Classes,115,116,0,0,0,0,0,0,0,0,4,2,True
39,Emotes,80,81,82,0,0,80,83,0,0,0,3,2,True
40,,0,0,0,0,0,0,0,0,0,0,0,0,False
41,,0,0,0,0,0,0,0,0,0,0,0,0,False
42,Levequest Duty,530,531,0,0,0,0,0,0,0,0,4,9,True
43,Collecting Levequest Rewards,540,0,0,0,0,0,0,0,0,0,5,9,True
44,Rechallenging Levequests,550,0,0,0,0,551,0,0,0,0,6,9,True
45,Hunting Log,400,401,402,0,0,403,404,405,0,0,9,4,True
46,Minions,940,941,942,943,0,940,944,945,943,0,12,2,True
47,Markets,800,801,802,0,0,0,0,0,0,0,11,6,True
48,Searching for an Item in the Markets,810,811,812,813,0,0,0,0,0,0,12,6,True
49,Purchasing an Item from the Markets,820,821,0,0,0,0,0,0,0,0,13,6,True
50,Selling an Item in the Markets,830,831,832,0,0,0,0,0,0,0,14,6,True
51,Retainers,840,841,0,0,0,0,0,0,0,0,21,6,True
52,Hiring a Retainer,850,851,0,0,0,0,0,0,0,0,22,6,True
53,A Retainer's Many Tasks,860,861,0,0,0,0,0,0,0,0,23,6,True
54,Gathering Point Characteristics,870,871,0,0,0,0,0,0,0,0,22,13,True
55,Unspoiled Locations,1000,1001,1002,0,0,0,0,0,0,0,30,13,True
56,,0,0,0,0,0,0,0,0,0,0,0,0,False
57,Clearing Instanced Raids,105,106,107,0,0,0,0,0,0,0,4,8,True
58,Material Condition,730,731,0,0,0,0,0,0,0,0,4,12,True
59,,0,0,0,0,0,0,0,0,0,0,0,0,False
60,High-quality Items,770,771,0,0,0,0,0,0,0,0,2,6,True
61,Unique Items,780,0,0,0,0,0,0,0,0,0,3,6,True
62,Binding Items,790,791,0,0,0,0,0,0,0,0,2,7,True
63,Player Search,210,211,212,213,214,210,211,215,213,216,13,2,True
64,The FATE System,610,611,612,613,0,0,0,0,0,0,1,8,True
65,Combos,1210,1211,1212,1213,0,0,0,0,0,0,4,4,True
66,FATE Rewards,620,621,0,0,0,0,0,0,0,0,2,8,True
67,Tradecraft Leves,560,0,0,0,0,0,0,0,0,0,11,9,True
68,Completing Leves,570,0,0,0,0,571,0,0,0,0,12,9,True
69,Fieldcraft Leves,580,581,0,0,0,0,0,0,0,0,13,9,True
70,Completing Fieldcraft Leves,590,591,0,0,0,0,0,0,0,0,14,9,True
71,Guildhests,630,631,0,0,0,0,0,0,0,0,11,8,True
72,Guildhest Objectives,640,0,0,0,0,0,0,0,0,0,12,8,True
73,Hazardous Zones,650,0,0,0,0,0,0,0,0,0,13,8,True
74,Being KO'd During a Guildhest,660,0,0,0,0,0,0,0,0,0,14,8,True
75,Guildhest Rewards,670,0,0,0,0,0,0,0,0,0,15,8,True
76,Leve Linking,600,0,0,0,0,0,0,0,0,0,9,9,True
77,,0,0,0,0,0,0,0,0,0,0,0,0,False
78,Joining a Party,180,181,182,183,184,180,181,185,183,184,5,2,True
79,Special Instances,120,121,0,0,0,0,0,0,0,0,15,5,True
80,Main Scenario Quests,125,126,0,0,0,0,0,0,0,0,6,5,True
81,Rental Chocobos,300,0,0,0,0,0,0,0,0,0,6,3,True
82,Dismounting Rental Chocobos,310,0,0,0,0,311,0,0,0,0,7,3,True
83,Porters,320,0,0,0,0,0,0,0,0,0,4,3,True
84,Dismounting Porters,330,0,0,0,0,331,0,0,0,0,5,3,True
85,Personal Chocobos,340,341,343,0,0,0,0,0,0,0,8,3,True
86,Dismounting Personal Chocobos,350,0,0,0,0,351,0,0,0,0,9,3,True
87,Grand Companies,410,411,412,0,0,0,0,0,0,0,1,10,True
88,Class Quest Rewards,130,0,0,0,0,0,0,0,0,0,14,5,True
89,Supply & Provisioning Missions,420,421,0,0,0,0,0,0,0,0,3,10,True
90,Expert Delivery Missions,430,431,0,0,0,0,0,0,0,0,4,10,True
91,Free Companies,440,441,442,0,0,0,0,0,0,0,1,11,True
92,Limit Break,240,241,242,243,0,0,0,0,0,0,13,4,True
93,Level Sync,250,251,252,0,0,0,0,0,0,0,5,8,True
94,Jobs,260,261,262,0,0,0,0,0,0,0,10,2,True
95,Dyeing,950,951,952,953,0,0,0,0,0,0,8,7,True
96,Fighting with Your Chocobo,360,361,0,0,0,0,0,0,0,0,21,4,True
97,Extracting Materia,960,961,962,0,0,0,0,0,0,0,21,7,True
98,Affixing Materia,970,971,0,0,0,0,0,0,0,0,22,7,True
99,Advanced Materia Melding,980,981,0,0,0,0,0,0,0,0,24,7,True
100,Meld Requests,990,991,992,0,0,0,0,0,0,0,23,7,True
101,Untradable Items,270,0,0,0,0,0,0,0,0,0,4,6,True
102,Using Items,280,281,0,0,0,280,283,0,0,0,1,6,True
103,,0,0,0,0,0,0,0,0,0,0,0,0,False
104,Adding Members,1190,0,0,0,0,0,0,0,0,0,23,8,True
105,Finding Mineral Deposits,1020,1021,1022,0,0,0,0,0,0,0,2,13,True
106,Quarrying,1030,1031,0,0,0,0,0,0,0,0,13,13,True
107,,0,0,0,0,0,0,0,0,0,0,0,0,False
108,Companion Skills,380,381,382,383,0,0,0,0,0,0,22,4,True
109,Ordering Your Chocobo,370,371,372,0,0,0,0,0,0,0,23,4,True
110,Opening Treasure Coffers,1110,0,0,0,0,0,0,0,0,0,7,9,True
111,Collecting Bounties,1120,0,0,0,0,0,0,0,0,0,8,9,True
112,Grand Company Leves,1130,0,0,0,0,0,0,0,0,0,5,10,True
113,Free Company Petitions,450,0,0,0,0,0,0,0,0,0,2,11,True
114,Joining a Free Company,460,461,462,463,0,0,0,0,0,0,3,11,True
115,Changing Affiliation,680,0,0,0,0,0,0,0,0,0,2,10,True
116,Company Chest,470,471,0,0,0,0,0,0,0,0,4,11,True
117,Company Crest,480,481,0,0,0,0,0,0,0,0,5,11,True
118,Company Actions,490,491,492,0,0,0,0,0,0,0,6,11,True
119,Readying Your Line,1040,1041,1042,0,0,0,0,0,0,0,1,14,True
120,Fishing Log,1050,0,0,0,0,0,0,0,0,0,3,14,True
121,Using Lures,1060,1061,0,0,0,0,0,0,0,0,4,14,True
122,Mooching,1070,1071,0,0,0,0,0,0,0,0,5,14,True
123,Skyfishing & Dunefishing,1080,1081,0,0,0,0,0,0,0,0,6,14,True
124,Fish Size,1090,0,0,0,0,0,0,0,0,0,7,14,True
125,Fishing Holes,1100,0,0,0,0,0,0,0,0,0,8,14,True
126,Quick Synthesis,690,691,692,0,0,0,0,0,0,0,6,12,True
127,Umbral Ice & Astral Fire,1220,1221,1222,1223,0,0,0,0,0,0,6,4,True
128,Pugilist Forms,1230,1231,1232,1233,0,0,0,0,0,0,5,4,True
129,Pets,1240,1241,1242,1244,0,1240,1245,1242,1244,0,7,4,True
130,Crystalline Conflict,1250,0,0,0,0,0,0,0,0,0,31,8,True
131,Quest Battles,1260,1261,1262,0,0,0,0,0,0,0,15,4,True
132,Achievements,1150,1151,1152,0,0,1150,1151,1153,0,0,14,2,True
133,Recommended Duties,1160,1161,0,0,0,0,0,0,0,0,16,5,True
134,,0,0,0,0,0,0,0,0,0,0,0,0,False
135,Fishing,1300,1301,0,0,0,0,0,0,0,0,2,14,True
136,Armoury Bonus,1280,1281,0,0,0,0,0,0,0,0,14,4,True
137,Allagan Tomestones,1310,1311,0,0,0,0,0,0,0,0,7,6,True
138,Using Items on Areas,1290,0,0,0,0,1291,0,0,0,0,8,5,True
139,Using Key Items on Targets,1270,1271,0,0,0,1272,1273,0,0,0,9,5,True
140,,0,0,0,0,0,0,0,0,0,0,0,0,False
141,PvP Rewards,1330,1331,1332,0,0,1330,1331,1333,0,0,32,8,True
142,,0,0,0,0,0,0,0,0,0,0,0,0,False
143,Housing,1350,1351,1352,1353,0,0,0,0,0,0,16,2,True
144,Placards,1360,1361,0,0,0,0,0,0,0,0,17,2,True
145,Duties for Alliances,1370,1371,0,0,0,0,0,0,0,0,40,8,True
146,Weekly Reward Limits,1380,1381,1382,0,0,0,0,0,0,0,41,8,True
147,The Party Finder,1390,1391,1392,0,0,1393,1391,1392,0,0,6,2,True
148,Hidden Items,1400,1401,0,0,0,0,0,0,0,0,19,13,True
149,Timeworn Maps,1410,1411,1412,0,0,0,0,0,0,0,31,6,True
150,Deciphering Timeworn Maps,1420,1421,0,0,0,0,0,0,0,0,32,6,True
151,Finding Treasure,1430,1431,1432,0,0,0,0,0,0,0,33,6,True
152,Allied Society Quests,1440,1441,1442,0,0,0,0,0,0,0,21,5,True
153,Reputation,1450,1451,1452,0,0,0,0,0,0,0,22,5,True
154,,0,0,0,0,0,0,0,0,0,0,0,0,False
155,,0,0,0,0,0,0,0,0,0,0,0,0,False
156,The Pet Hotbar,1480,0,0,0,0,1481,0,0,0,0,25,5,True
157,Aesthetician,1490,1491,0,0,0,0,0,0,0,0,15,2,True
158,The Duty Roulette,1500,1501,0,0,0,0,0,0,0,0,24,8,True
159,Vote Dismiss,1510,1511,1512,0,0,0,0,0,0,0,25,8,True
160,Player Commendation,1520,1521,1522,0,0,0,0,0,0,0,26,8,True
161,Applying to a Free Company,1530,1531,0,0,0,1530,1532,0,0,0,7,11,True
162,Challenge Log,1540,1542,0,0,0,1541,1542,0,0,0,6,8,True
163,Master Recipes,1550,2580,0,0,0,0,0,0,0,0,10,12,True
164,Glamours,1560,1561,1562,0,0,0,0,0,0,0,25,7,True
165,Gardening,1570,1571,0,0,0,0,0,0,0,0,18,2,True
166,Tending Your Garden,1580,1581,0,0,0,0,0,0,0,0,20,2,True
167,Harvesting Crops,1590,1591,0,0,0,0,0,0,0,0,21,2,True
168,Retainer Ventures,1600,1601,1602,0,0,0,0,0,0,0,24,6,True
169,Exploration Ventures,1610,1611,0,0,0,0,0,0,0,0,25,6,True
170,Communicating with Others,1620,1622,1623,1624,0,1621,1622,1623,1624,0,25,2,True
171,Auto-translation Dictionary,1630,1631,1633,1634,1635,1630,1632,1633,1634,1635,26,2,True
172,The Wish List,1640,1641,0,0,0,0,0,0,0,0,15,6,True
173,Retainer Class,1650,1651,0,0,0,0,0,0,0,0,26,6,True
174,Trials of the Braves,1660,1661,1662,0,0,0,0,0,0,0,31,7,True
175,Sphere Scrolls,1670,1671,1672,1673,1674,0,0,0,0,0,32,7,True
176,Frontline,1680,0,0,0,0,0,0,0,0,0,34,8,True
177,Repairing Your Own Gear,1690,1691,0,0,0,0,0,0,0,0,7,7,True
178,Sightseeing Log,1700,1702,0,0,0,1701,1702,0,0,0,7,8,True
179,Allied Seals,1710,1711,0,0,0,0,0,0,0,0,8,6,True
180,Toy Chest,1720,0,0,0,0,0,0,0,0,0,60,8,True
181,Artillery,1730,1731,0,0,0,0,0,0,0,0,26,5,True
182,Releasing Fish,1740,1741,0,0,0,0,0,0,0,0,9,14,True
183,Desynthesis,1750,1751,1752,0,0,0,0,0,0,0,13,12,True
184,Chocobo Raising,1760,1761,1762,0,0,0,0,0,0,0,24,4,True
185,Ixal Quests,1780,1781,0,0,0,0,0,0,0,0,27,5,True
186,Ehcatl Nine Delivery Quests,1790,1791,1792,0,0,0,0,0,0,0,28,5,True
187,,0,0,0,0,0,0,0,0,0,0,0,0,False
188,,0,0,0,0,0,0,0,0,0,0,0,0,False
189,Soulglazing,1820,1821,1822,1823,0,0,0,0,0,0,33,7,True
190,Fish Population,1830,1831,0,0,0,0,0,0,0,0,10,14,True
191,Fish and Weather,1840,0,0,0,0,0,0,0,0,0,11,14,True
192,Mudra and Ninjutsu,1850,1851,1852,1853,0,0,0,0,0,0,25,4,True
193,The Ceremony of Eternal Bonding,1860,1861,1862,0,0,0,0,0,0,0,30,2,True
194,Bonding Ceremony Etiquette,1870,1871,1872,1873,0,0,0,0,0,0,31,2,True
195,Bonding Ceremony Invitations,1880,1881,0,0,0,0,0,0,0,0,32,2,True
196,Fledgling and Race Chocobos,1890,1891,1892,0,0,0,0,0,0,0,2,15,True
197,Race Abilities,1900,1901,1902,0,0,0,0,0,0,0,4,15,True
198,Retirement and Covering,1910,1911,1912,1913,0,0,0,0,0,0,5,15,True
199,Challenging the Masters,1920,1921,0,0,0,0,0,0,0,0,6,15,True
200,Triple Triad,1930,1931,0,0,0,0,0,0,0,0,7,15,True
201,The Manderville Gold Saucer,1940,1941,1942,0,0,0,0,0,0,0,1,15,True
202,Entering a Chocobo Race,1950,1951,1952,0,0,0,0,0,0,0,3,15,True
203,Specialists,1960,1961,0,0,0,0,0,0,0,0,21,12,True
204,,0,0,0,0,0,0,0,0,0,0,0,0,False
205,Flying Mounts,1980,1981,0,0,0,1980,1982,0,0,0,20,3,True
206,,0,0,0,0,0,0,0,0,0,0,0,0,False
207,,0,0,0,0,0,0,0,0,0,0,0,0,False
208,The Mentor System,2010,2011,2012,2013,0,0,0,0,0,0,60,2,True
209,Ephemeral Gathering Points,2020,0,0,0,0,0,0,0,0,0,49,13,True
210,Hidden Characteristics,2030,2031,0,0,0,0,0,0,0,0,46,13,True
211,,0,0,0,0,0,0,0,0,0,0,0,0,False
212,Aetherial Reduction,2050,0,0,0,0,0,0,0,0,0,52,13,True
213,Legendary Nodes and Tomes of Regional Folklore,2060,2061,0,0,0,0,0,0,0,0,40,13,True
214,,0,0,0,0,0,0,0,0,0,0,0,0,False
215,,0,0,0,0,0,0,0,0,0,0,0,0,False
216,Loot Rules,2090,2091,2092,2093,0,2094,2091,2092,2093,0,11,4,True
217,Setting Loot Rules,2100,2101,0,0,0,0,0,0,0,0,12,4,True
218,Temple Leves,2110,2111,0,0,0,0,0,0,0,0,20,9,True
219,Collectables,2120,2121,2122,0,0,0,0,0,0,0,40,6,True
220,,0,0,0,0,0,0,0,0,0,0,0,0,False
221,Collectable Fish,2140,2141,0,0,0,0,0,0,0,0,20,14,True
222,,0,0,0,0,0,0,0,0,0,0,0,0,False
223,,0,0,0,0,0,0,0,0,0,0,0,0,False
224,Lord of Verminion,2170,2171,2172,2173,2174,0,0,0,0,0,10,15,True
225,Minion Types,2180,2181,2182,2183,0,0,0,0,0,0,11,15,True
226,Verminion Structures,2190,2191,2192,2193,2194,0,0,0,0,0,12,15,True
227,Quest Sync,2200,2201,0,0,0,0,0,0,0,0,30,5,True
228,Class/Job-specific Quests,2210,0,0,0,0,0,0,0,0,0,31,5,True
229,The Orchestrion,2220,2221,2222,2223,2224,0,0,0,0,0,40,2,True
230,Flowerpots,2230,0,0,0,0,0,0,0,0,0,19,2,True
231,Treasure Dungeons,2240,2241,2242,0,0,0,0,0,0,0,34,6,True
232,Aquariums,2250,2251,2252,2253,0,0,0,0,0,0,22,2,True
233,Pet Glamours,2260,2261,2262,2573,0,0,0,0,0,0,63,4,True
234,Item Level,2270,2271,2272,0,0,0,0,0,0,0,70,4,True
235,Increasing Item Level,2280,2281,2282,0,0,0,0,0,0,0,71,4,True
236,,0,0,0,0,0,0,0,0,0,0,0,0,False
237,,0,0,0,0,0,0,0,0,0,0,0,0,False
238,Swimming and Diving,2310,2311,2313,0,0,2310,2312,2313,0,0,21,3,True
239,Duty Actions,2320,2322,0,0,0,2321,2322,0,0,0,55,8,True
240,Rival Wings,2330,0,0,0,0,0,0,0,0,0,35,8,True
241,Spearfishing,2340,0,0,0,0,0,0,0,0,0,30,14,True
242,Teeming Waters,2350,2351,2352,0,0,0,0,0,0,0,31,14,True
243,,0,0,0,0,0,0,0,0,0,0,0,0,False
244,Role Actions,2370,2371,0,0,0,0,0,0,0,0,10,4,True
245,Performance Actions,2380,0,0,0,0,0,0,0,0,0,45,2,True
246,The Fashion Report,2390,2391,2392,2393,0,0,0,0,0,0,30,7,True
247,Glamour Dressers,2400,2401,0,0,0,0,0,0,0,0,26,7,True
248,Glamouring Gear,2410,0,0,0,0,0,0,0,0,0,27,7,True
249,Equipping Glamour Plates,2420,0,0,0,0,0,0,0,0,0,28,7,True
250,Using Glamour Plates,2430,0,0,0,0,0,0,0,0,0,29,7,True
251,Adventuring in Eureka,2440,2441,0,0,0,0,0,0,0,0,50,8,True
252,Chocobo Saddlebag,2450,2451,0,0,0,0,0,0,0,0,18,6,True
253,Duty Recorder,2460,2461,0,0,0,0,0,0,0,0,57,8,True
254,Recording Duties,2470,2471,2472,2473,0,2470,2471,2472,2474,0,58,8,True
255,Viewing Recorded Duties,2480,0,0,0,0,0,0,0,0,0,59,8,True
256,Happy Bunnies,2487,2488,0,0,0,0,0,0,0,0,51,8,True
257,Message Books,2481,2482,2483,2484,0,0,0,0,0,0,23,2,True
258,Companion Makeovers,2485,2486,0,0,0,0,0,0,0,0,61,8,True
259,Shifting Sanctums,2489,2490,2491,2492,0,0,0,0,0,0,35,6,True
260,Mannequins,2493,2494,2495,0,0,0,0,0,0,0,24,2,True
261,Logos Manipulator,2496,2497,2498,0,0,0,0,0,0,0,52,8,True
262,Upgraded Logos Manipulator,2499,2500,0,0,0,0,0,0,0,0,53,8,True
263,Multi-seat Mounts,2501,0,0,0,0,0,0,0,0,0,22,3,True
264,World Visit,2506,2507,0,0,0,0,0,0,0,0,10,3,True
265,Blue Magic,2502,2503,2504,2505,2508,2502,2509,2504,2505,2508,64,4,True
266,Bicolor Gemstones,2510,2511,2512,0,0,2510,2511,2513,0,0,3,8,True
267,Fishing and Regional Folklore,1764,1765,0,0,0,0,0,0,0,0,13,14,True
268,Swimming Shadows,1767,1768,0,0,0,0,0,0,0,0,12,14,True
269,Collection,1770,0,0,0,0,1771,0,0,0,0,27,2,True
270,Expert Recipes,2520,2521,0,0,0,0,0,0,0,0,11,12,True
271,Patience,2530,2531,0,0,0,0,0,0,0,0,14,14,True
272,Fashion Accessories,2540,2541,0,0,0,0,0,0,0,0,28,2,True
273,,0,0,0,0,0,0,0,0,0,0,0,0,False
274,,0,0,0,0,0,0,0,0,0,0,0,0,False
275,Gathering Collectables,2552,0,0,0,0,0,0,0,0,0,43,13,True
276,Trial Synthesis,2550,2551,0,0,0,0,0,0,0,0,7,12,True
277,Gatherer's Boon,2553,0,0,0,0,0,0,0,0,0,7,13,True
278,Perception Requirements,2554,0,0,0,0,0,0,0,0,0,60,13,True
279,Spearfishing Interface,2555,2556,2557,0,0,0,0,0,0,0,32,14,True
280,Fish Population (Spearfishing),2558,2559,0,0,0,0,0,0,0,0,33,14,True
281,,0,0,0,0,0,0,0,0,0,0,0,0,False
282,Quality Requirements,2566,0,0,0,0,0,0,0,0,0,12,12,True
283,Prime and Sublime Collectables,2567,2568,2569,0,0,0,0,0,0,0,54,13,True
284,Gatherer Role Actions,2570,2571,2572,0,0,0,0,0,0,0,1,13,True
285,Facewear,2574,2575,0,0,0,0,0,0,0,0,29,2,True
286,Scenario Guide,2576,2577,0,0,0,0,0,0,0,0,7,5,True
287,Special Recipes,2578,2579,0,0,0,0,0,0,0,0,22,12,True
288,Phantom Actions,2581,2582,2583,0,0,2581,2584,2583,0,0,56,8,True
289,Vault Oneiron,2585,2586,2587,2588,0,0,0,0,0,0,36,6,True
290,Phoenix Down,2589,2590,2591,2592,0,0,0,0,0,0,5,6,True
291,,0,0,0,0,0,0,0,0,0,0,0,0,False
292,,0,0,0,0,0,0,0,0,0,0,0,0,False
293,,0,0,0,0,0,0,0,0,0,0,0,0,False
294,,0,0,0,0,0,0,0,0,0,0,0,0,False
295,,0,0,0,0,0,0,0,0,0,0,0,0,False
