#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
39,Achieve a gold star rank on three unique class B missions for leatherworker on the moon.,3,19,200,42,2
40,Complete three unique class D missions for weaver on the moon.,3,23,50,43,2
41,Complete four unique class C missions for weaver on the moon.,4,23,100,44,2
42,Achieve a gold star rank on three unique class B missions for weaver on the moon.,3,23,200,45,2
43,Complete three unique class D missions for alchemist on the moon.,3,27,50,46,2
44,Complete four unique class C missions for alchemist on the moon.,4,27,100,47,2
45,Achieve a gold star rank on three unique class B missions for alchemist on the moon.,3,27,200,48,2
46,Complete three unique class D missions for culinarian on the moon.,3,31,50,49,2
47,Complete four unique class C missions for culinarian on the moon.,4,31,100,50,2
48,Achieve a gold star rank on three unique class B missions for culinarian on the moon.,3,31,200,51,2
49,Complete three unique class D missions for botanist on the moon.,3,39,50,55,2
50,Complete four unique class C missions for botanist on the moon.,4,39,100,56,2
51,Achieve a gold star rank on three unique class B missions for botanist on the moon.,3,39,200,57,2
52,Complete three unique class D missions for miner on the moon.,3,35,50,52,2
53,Complete four unique class C missions for miner on the moon.,4,35,100,53,2
54,Achieve a gold star rank on three unique class B missions for miner on the moon.,3,35,200,54,2
55,Complete three unique class D missions for fisher on the moon.,3,43,50,58,2
56,Complete four unique class C missions for fisher on the moon.,4,43,100,59,2
57,Achieve a gold star rank on three unique class B missions for fisher on the moon.,3,43,200,60,2
58,Draw 5 cosmic fortunes on the moon.,5,1,300,61,2
59,Draw 30 cosmic fortunes on the moon.,30,1,600,62,2
60,Draw 100 cosmic fortunes on the moon.,100,1,900,63,2
61,Complete 5 unique critical missions on the moon.,5,2,1000,19,2
62,Complete 15 unique critical missions on the moon.,15,2,2000,20,2
63,Complete 33 unique critical missions on the moon.,33,2,3000,21,2
64,Complete 10 stellar missions on Phaenna.,10,1,500,6,2
65,Complete 50 stellar missions on Phaenna.,50,1,800,7,2
66,Complete 100 stellar missions on Phaenna.,100,1,1600,8,2
67,Complete 500 stellar missions on Phaenna.,500,1,2500,9,2
68,Complete 10 unique stellar missions on Phaenna.,10,1,500,10,2
69,Complete 50 unique stellar missions on Phaenna.,50,1,1500,11,2
70,Complete 100 unique stellar missions on Phaenna.,100,1,4000,12,2
71,Complete 10 unique stellar missions on Phaenna with a Gold Star rating.,10,1,500,13,2
72,Complete 50 unique stellar missions on Phaenna with a Gold Star rating.,50,1,1500,14,2
73,Complete 100 unique stellar missions on Phaenna with a Gold Star rating.,100,1,4000,15,2
74,Complete 1 critical mission on Phaenna.,1,47,500,16,2
75,Complete 10 critical missions on Phaenna.,10,47,1000,17,2
76,Complete 30 critical missions on Phaenna.,30,47,3000,18,2
77,Complete 1 mech op as a pilot on Phaenna.,1,1,1500,22,2
78,Complete 5 mech ops as a pilot on Phaenna.,5,1,3000,23,2
79,Complete 10 mech ops as a pilot on Phaenna.,10,1,4500,24,2
80,Complete 5 mech ops as a ground supporter on Phaenna.,5,1,300,25,2
81,Complete 20 mech ops as a ground supporter on Phaenna.,20,1,900,26,2
82,Complete 50 mech ops as a ground supporter on Phaenna.,50,1,2100,27,2
83,Complete 5 unique carpenter missions on Phaenna.,5,3,75,28,2
84,Complete 10 unique carpenter missions on Phaenna.,10,3,150,29,2
85,Complete 15 unique carpenter missions on Phaenna.,15,3,300,30,2
86,Complete 5 unique blacksmith missions on Phaenna.,5,7,75,31,2
87,Complete 10 unique blacksmith missions on Phaenna.,10,7,150,32,2
88,Complete 15 unique blacksmith missions on Phaenna.,15,7,300,33,2
89,Complete 5 unique armorer missions on Phaenna.,5,11,75,34,2
90,Complete 10 unique armorer missions on Phaenna.,10,11,150,35,2
91,Complete 15 unique armorer missions on Phaenna.,15,11,300,36,2
92,Complete 5 unique goldsmith missions on Phaenna.,5,15,75,37,2
93,Complete 10 unique goldsmith missions on Phaenna.,10,15,150,38,2
94,Complete 15 unique goldsmith missions on Phaenna.,15,15,300,39,2
95,Complete 5 unique leatherworker missions on Phaenna.,5,19,75,40,2
96,Complete 10 unique leatherworker missions on Phaenna.,10,19,150,41,2
97,Complete 15 unique leatherworker missions on Phaenna.,15,19,300,42,2
98,Complete 5 unique weaver missions on Phaenna.,5,23,75,43,2
99,Complete 10 unique weaver missions on Phaenna.,10,23,150,44,2
100,Complete 15 unique weaver missions on Phaenna.,15,23,300,45,2
101,Complete 5 unique alchemist missions on Phaenna.,5,27,75,46,2
102,Complete 10 unique alchemist missions on Phaenna.,10,27,150,47,2
103,Complete 15 unique alchemist missions on Phaenna.,15,27,300,48,2
104,Complete 5 unique culinarian missions on Phaenna.,5,31,75,49,2
105,Complete 10 unique culinarian missions on Phaenna.,10,31,150,50,2
106,Complete 15 unique culinarian missions on Phaenna.,15,31,300,51,2
107,Complete 5 unique botanist missions on Phaenna.,5,39,75,55,2
108,Complete 10 unique botanist missions on Phaenna.,10,39,150,56,2
109,Complete 15 unique botanist missions on Phaenna.,15,39,300,57,2
110,Complete 5 unique miner missions on Phaenna.,5,35,75,52,2
111,Complete 10 unique miner missions on Phaenna.,10,35,150,53,2
112,Complete 15 unique miner missions on Phaenna.,15,35,300,54,2
113,Complete 5 unique fisher missions on Phaenna.,5,43,75,58,2
114,Complete 10 unique fisher missions on Phaenna.,10,43,150,59,2
115,Complete 15 unique fisher missions on Phaenna.,15,43,300,60,2
116,Draw 5 cosmic fortunes on Phaenna.,5,1,500,61,2
117,Draw 30 cosmic fortunes on Phaenna.,30,1,1000,62,2
118,Draw 100 cosmic fortunes on Phaenna.,100,1,1500,63,2
119,Complete 5 unique critical missions on Phaenna.,5,47,1000,19,2
120,Complete 15 unique critical missions on Phaenna.,15,47,2000,20,2
121,Complete 33 unique critical missions on Phaenna.,33,47,3000,21,2
122,Complete 10 stellar missions on Oizys.,10,1,500,6,2
123,Complete 50 stellar missions on Oizys.,50,1,800,7,2
124,Complete 100 stellar missions on Oizys.,100,1,1600,8,2
125,Complete 500 stellar missions on Oizys.,500,1,2500,9,2
126,Complete 10 unique stellar missions on Oizys.,10,1,500,10,2
127,Complete 50 unique stellar missions on Oizys.,50,1,1500,11,2
128,Complete 100 unique stellar missions on Oizys.,100,1,4000,12,2
129,Complete 10 unique stellar missions on Oizys with a Gold Star rating.,10,1,500,13,2
130,Complete 50 unique stellar missions on Oizys with a Gold Star rating.,50,1,1500,14,2
131,Complete 100 unique stellar missions on Oizys with a Gold Star rating.,100,1,4000,15,2
132,Complete 1 critical mission on Oizys.,1,48,500,16,2
133,Complete 10 critical missions on Oizys.,10,48,1000,17,2
134,Complete 30 critical missions on Oizys.,30,48,3000,18,2
135,Complete 1 mech op as a pilot on Oizys.,1,1,1500,22,2
136,Complete 5 mech ops as a pilot on Oizys.,5,1,3000,23,2
137,Complete 10 mech ops as a pilot on Oizys.,10,1,4500,24,2
138,Complete 5 mech ops as a ground supporter on Oizys.,5,1,300,25,2
139,Complete 20 mech ops as a ground supporter on Oizys.,20,1,900,26,2
140,Complete 50 mech ops as a ground supporter on Oizys.,50,1,2100,27,2
141,Complete 5 unique carpenter missions on Oizys.,5,3,75,28,2
142,Complete 10 unique carpenter missions on Oizys.,10,3,150,29,2
143,Complete 15 unique carpenter missions on Oizys.,15,3,300,30,2
144,Complete 5 unique blacksmith missions on Oizys.,5,7,75,31,2
145,Complete 10 unique blacksmith missions on Oizys.,10,7,150,32,2
146,Complete 15 unique blacksmith missions on Oizys.,15,7,300,33,2
147,Complete 5 unique armorer missions on Oizys.,5,11,75,34,2
148,Complete 10 unique armorer missions on Oizys.,10,11,150,35,2
149,Complete 15 unique armorer missions on Oizys.,15,11,300,36,2
150,Complete 5 unique goldsmith missions on Oizys.,5,15,75,37,2
151,Complete 10 unique goldsmith missions on Oizys.,10,15,150,38,2
152,Complete 15 unique goldsmith missions on Oizys.,15,15,300,39,2
153,Complete 5 unique leatherworker missions on Oizys.,5,19,75,40,2
154,Complete 10 unique leatherworker missions on Oizys.,10,19,150,41,2
155,Complete 15 unique leatherworker missions on Oizys.,15,19,300,42,2
156,Complete 5 unique weaver missions on Oizys.,5,23,75,43,2
157,Complete 10 unique weaver missions on Oizys.,10,23,150,44,2
158,Complete 15 unique weaver missions on Oizys.,15,23,300,45,2
159,Complete 5 unique alchemist missions on Oizys.,5,27,75,46,2
160,Complete 10 unique alchemist missions on Oizys.,10,27,150,47,2
161,Complete 15 unique alchemist missions on Oizys.,15,27,300,48,2
162,Complete 5 unique culinarian missions on Oizys.,5,31,75,49,2
163,Complete 10 unique culinarian missions on Oizys.,10,31,150,50,2
164,Complete 15 unique culinarian missions on Oizys.,15,31,300,51,2
165,Complete 5 unique botanist missions on Oizys.,5,39,75,55,2
166,Complete 10 unique botanist missions on Oizys.,10,39,150,56,2
167,Complete 15 unique botanist missions on Oizys.,15,39,300,57,2
168,Complete 5 unique miner missions on Oizys.,5,35,75,52,2
169,Complete 10 unique miner missions on Oizys.,10,35,150,53,2
170,Complete 15 unique miner missions on Oizys.,15,35,300,54,2
171,Complete 5 unique fisher missions on Oizys.,5,43,75,58,2
172,Complete 10 unique fisher missions on Oizys.,10,43,150,59,2
173,Complete 15 unique fisher missions on Oizys.,15,43,300,60,2
174,Draw 5 cosmic fortunes on Oizys.,5,1,500,61,2
175,Draw 30 cosmic fortunes on Oizys.,30,1,1000,62,2
176,Draw 100 cosmic fortunes on Oizys.,100,1,1500,63,2
177,Complete 5 unique critical missions on Oizys.,5,48,1000,19,2
178,Complete 12 unique critical missions on Oizys.,12,48,2000,20,2
179,Complete 22 unique critical missions on Oizys.,22,48,3000,21,2
180,Complete 10 artifact searches on Oizys.,10,48,1000,64,2
181,Complete 30 artifact searches on Oizys.,30,48,3000,65,2
182,Complete 100 artifact searches on Oizys.,100,48,5000,66,2
