#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown_70_4,Pronoun,Article,Model,Icon,Unknown_70_8,Style
101,pair of white thick-rimmed glasses,pairs of white thick-rimmed glasses,A piece of white facewear.,White Thick-rimmed Glasses,0,0,0,1,0,0,333189,200119,0,8
102,pair of grey thick-rimmed glasses,pairs of grey thick-rimmed glasses,A piece of grey facewear.,Grey Thick-rimmed Glasses,0,0,0,1,0,0,398725,200110,0,8
103,pair of red thick-rimmed glasses,pairs of red thick-rimmed glasses,A piece of red facewear.,Red Thick-rimmed Glasses,0,0,0,1,0,0,464261,200117,0,8
104,pair of blue thick-rimmed glasses,pairs of blue thick-rimmed glasses,A piece of blue facewear.,Blue Thick-rimmed Glasses,0,0,0,1,0,0,529797,200116,0,8
105,pair of green thick-rimmed glasses,pairs of green thick-rimmed glasses,A piece of green facewear.,Green Thick-rimmed Glasses,0,0,0,1,0,0,595333,200120,0,8
106,pair of brass thick-rimmed glasses,pairs of brass thick-rimmed glasses,A piece of brass facewear.,Brass Thick-rimmed Glasses,0,0,0,1,0,0,660869,200111,0,8
107,pair of purple thick-rimmed glasses,pairs of purple thick-rimmed glasses,A piece of purple facewear.,Purple Thick-rimmed Glasses,0,0,0,1,0,0,726405,200115,0,8
108,pair of brown thick-rimmed glasses,pairs of brown thick-rimmed glasses,A piece of brown facewear.,Brown Thick-rimmed Glasses,0,0,0,1,0,0,791941,200118,0,8
109,pair of minstrel's spectacles,pairs of minstrel's spectacles,A piece of undyed facewear.,Minstrel's Spectacles,0,0,0,1,0,0,71046,200073,0,9
110,pair of silver minstrel's spectacles,pairs of silver minstrel's spectacles,A piece of silver facewear.,Silver Minstrel's Spectacles,0,0,0,1,0,0,136582,200077,0,9
111,pair of gold minstrel's spectacles,pairs of gold minstrel's spectacles,A piece of gold facewear.,Gold Minstrel's Spectacles,0,0,0,1,0,0,202118,200076,0,9
112,pair of black minstrel's spectacles,pairs of black minstrel's spectacles,A piece of black facewear.,Black Minstrel's Spectacles,0,0,0,1,0,0,267654,200078,0,9
113,pair of white minstrel's spectacles,pairs of white minstrel's spectacles,A piece of white facewear.,White Minstrel's Spectacles,0,0,0,1,0,0,333190,200083,0,9
114,pair of grey minstrel's spectacles,pairs of grey minstrel's spectacles,A piece of grey facewear.,Grey Minstrel's Spectacles,0,0,0,1,0,0,398726,200074,0,9
115,pair of red minstrel's spectacles,pairs of red minstrel's spectacles,A piece of red facewear.,Red Minstrel's Spectacles,0,0,0,1,0,0,464262,200081,0,9
116,pair of blue minstrel's spectacles,pairs of blue minstrel's spectacles,A piece of blue facewear.,Blue Minstrel's Spectacles,0,0,0,1,0,0,529798,200080,0,9
117,pair of green minstrel's spectacles,pairs of green minstrel's spectacles,A piece of green facewear.,Green Minstrel's Spectacles,0,0,0,1,0,0,595334,200084,0,9
118,pair of brass minstrel's spectacles,pairs of brass minstrel's spectacles,A piece of brass facewear.,Brass Minstrel's Spectacles,0,0,0,1,0,0,660870,200075,0,9
119,pair of purple minstrel's spectacles,pairs of purple minstrel's spectacles,A piece of purple facewear.,Purple Minstrel's Spectacles,0,0,0,1,0,0,726406,200079,0,9
120,pair of brown minstrel's spectacles,pairs of brown minstrel's spectacles,A piece of brown facewear.,Brown Minstrel's Spectacles,0,0,0,1,0,0,791942,200082,0,9
121,pair of pince-nez,pairs of pince-nez,A piece of undyed facewear.,Pince-nez,0,0,0,1,0,0,71047,200121,0,10
122,pair of silver pince-nez,pairs of silver pince-nez,A piece of silver facewear.,Silver Pince-nez,0,0,0,1,0,0,136583,200122,0,10
123,pair of gold pince-nez,pairs of gold pince-nez,A piece of gold facewear.,Gold Pince-nez,0,0,0,1,0,0,202119,200123,0,10
124,pair of black pince-nez,pairs of black pince-nez,A piece of black facewear.,Black Pince-nez,0,0,0,1,0,0,267655,200124,0,10
125,pair of white pince-nez,pairs of white pince-nez,A piece of white facewear.,White Pince-nez,0,0,0,1,0,0,333191,200125,0,10
126,pair of grey pince-nez,pairs of grey pince-nez,A piece of grey facewear.,Grey Pince-nez,0,0,0,1,0,0,398727,200126,0,10
127,pair of red pince-nez,pairs of red pince-nez,A piece of red facewear.,Red Pince-nez,0,0,0,1,0,0,464263,200127,0,10
128,pair of blue pince-nez,pairs of blue pince-nez,A piece of blue facewear.,Blue Pince-nez,0,0,0,1,0,0,529799,200128,0,10
129,pair of green pince-nez,pairs of green pince-nez,A piece of green facewear.,Green Pince-nez,0,0,0,1,0,0,595335,200129,0,10
130,pair of brass pince-nez,pairs of brass pince-nez,A piece of brass facewear.,Brass Pince-nez,0,0,0,1,0,0,660871,200130,0,10
131,pair of purple pince-nez,pairs of purple pince-nez,A piece of purple facewear.,Purple Pince-nez,0,0,0,1,0,0,726407,200131,0,10
132,pair of brown pince-nez,pairs of brown pince-nez,A piece of brown facewear.,Brown Pince-nez,0,0,0,1,0,0,791943,200132,0,10
133,pair of magnifiers,pairs of magnifiers,A piece of undyed facewear.,Magnifiers,0,0,0,1,0,0,71048,200133,0,11
134,pair of silver magnifiers,pairs of silver magnifiers,A piece of silver facewear.,Silver Magnifiers,0,0,0,1,0,0,136584,200134,0,11
135,pair of gold magnifiers,pairs of gold magnifiers,A piece of gold facewear.,Gold Magnifiers,0,0,0,1,0,0,202120,200135,0,11
136,pair of black magnifiers,pairs of black magnifiers,A piece of black facewear.,Black Magnifiers,0,0,0,1,0,0,267656,200136,0,11
137,pair of white magnifiers,pairs of white magnifiers,A piece of white facewear.,White Magnifiers,0,0,0,1,0,0,333192,200137,0,11
138,pair of grey magnifiers,pairs of grey magnifiers,A piece of grey facewear.,Grey Magnifiers,0,0,0,1,0,0,398728,200138,0,11
139,pair of red magnifiers,pairs of red magnifiers,A piece of red facewear.,Red Magnifiers,0,0,0,1,0,0,464264,200139,0,11
140,pair of blue magnifiers,pairs of blue magnifiers,A piece of blue facewear.,Blue Magnifiers,0,0,0,1,0,0,529800,200140,0,11
141,pair of green magnifiers,pairs of green magnifiers,A piece of green facewear.,Green Magnifiers,0,0,0,1,0,0,595336,200141,0,11
142,pair of brass magnifiers,pairs of brass magnifiers,A piece of brass facewear.,Brass Magnifiers,0,0,0,1,0,0,660872,200142,0,11
143,pair of purple magnifiers,pairs of purple magnifiers,A piece of purple facewear.,Purple Magnifiers,0,0,0,1,0,0,726408,200143,0,11
144,pair of brown magnifiers,pairs of brown magnifiers,A piece of brown facewear.,Brown Magnifiers,0,0,0,1,0,0,791944,200144,0,11
145,pair of brass goggles,pairs of brass goggles,A piece of undyed facewear.,Brass Goggles,0,0,0,1,0,0,71049,200145,0,12
146,pair of silver brass goggles,pairs of silver brass goggles,A piece of silver facewear.,Silver Brass Goggles,0,0,0,1,0,0,136585,200146,0,12
147,pair of gold brass goggles,pairs of gold brass goggles,A piece of gold facewear.,Gold Brass Goggles,0,0,0,1,0,0,202121,200147,0,12
148,pair of black brass goggles,pairs of black brass goggles,A piece of black facewear.,Black Brass Goggles,0,0,0,1,0,0,267657,200148,0,12
149,pair of white brass goggles,pairs of white brass goggles,A piece of white facewear.,White Brass Goggles,0,0,0,1,0,0,333193,200149,0,12
150,pair of grey brass goggles,pairs of grey brass goggles,A piece of grey facewear.,Grey Brass Goggles,0,0,0,1,0,0,398729,200150,0,12
151,pair of red brass goggles,pairs of red brass goggles,A piece of red facewear.,Red Brass Goggles,0,0,0,1,0,0,464265,200151,0,12
152,pair of blue brass goggles,pairs of blue brass goggles,A piece of blue facewear.,Blue Brass Goggles,0,0,0,1,0,0,529801,200152,0,12
153,pair of green brass goggles,pairs of green brass goggles,A piece of green facewear.,Green Brass Goggles,0,0,0,1,0,0,595337,200153,0,12
154,pair of bronze brass goggles,pairs of bronze brass goggles,A piece of bronze facewear.,Bronze Brass Goggles,0,0,0,1,0,0,660873,200154,0,12
155,pair of purple brass goggles,pairs of purple brass goggles,A piece of purple facewear.,Purple Brass Goggles,0,0,0,1,0,0,726409,200155,0,12
156,pair of brown brass goggles,pairs of brown brass goggles,A piece of brown facewear.,Brown Brass Goggles,0,0,0,1,0,0,791945,200156,0,12
157,pair of under-rim glasses,pairs of under-rim glasses,A piece of undyed facewear.,Under-rim Glasses,0,0,0,1,0,0,71050,200157,0,13
158,pair of silver under-rim glasses,pairs of silver under-rim glasses,A piece of silver facewear.,Silver Under-rim Glasses,0,0,0,1,0,0,136586,200158,0,13
159,pair of gold under-rim glasses,pairs of gold under-rim glasses,A piece of gold facewear.,Gold Under-rim Glasses,0,0,0,1,0,0,202122,200159,0,13
160,pair of black under-rim glasses,pairs of black under-rim glasses,A piece of black facewear.,Black Under-rim Glasses,0,0,0,1,0,0,267658,200160,0,13
161,pair of white under-rim glasses,pairs of white under-rim glasses,A piece of white facewear.,White Under-rim Glasses,0,0,0,1,0,0,333194,200161,0,13
162,pair of grey under-rim glasses,pairs of grey under-rim glasses,A piece of grey facewear.,Grey Under-rim Glasses,0,0,0,1,0,0,398730,200162,0,13
163,pair of red under-rim glasses,pairs of red under-rim glasses,A piece of red facewear.,Red Under-rim Glasses,0,0,0,1,0,0,464266,200163,0,13
164,pair of blue under-rim glasses,pairs of blue under-rim glasses,A piece of blue facewear.,Blue Under-rim Glasses,0,0,0,1,0,0,529802,200164,0,13
165,pair of green under-rim glasses,pairs of green under-rim glasses,A piece of green facewear.,Green Under-rim Glasses,0,0,0,1,0,0,595338,200165,0,13
166,pair of brass under-rim glasses,pairs of brass under-rim glasses,A piece of brass facewear.,Brass Under-rim Glasses,0,0,0,1,0,0,660874,200166,0,13
167,pair of purple under-rim glasses,pairs of purple under-rim glasses,A piece of purple facewear.,Purple Under-rim Glasses,0,0,0,1,0,0,726410,200167,0,13
168,pair of brown under-rim glasses,pairs of brown under-rim glasses,A piece of brown facewear.,Brown Under-rim Glasses,0,0,0,1,0,0,791946,200168,0,13
169,pair of oval reading glasses,pairs of oval reading glasses,A piece of undyed facewear.,Oval Reading Glasses,0,0,0,1,0,0,71051,200169,0,14
170,pair of silver oval reading glasses,pairs of silver oval reading glasses,A piece of silver facewear.,Silver Oval Reading Glasses,0,0,0,1,0,0,136587,200170,0,14
171,pair of gold oval reading glasses,pairs of gold oval reading glasses,A piece of gold facewear.,Gold Oval Reading Glasses,0,0,0,1,0,0,202123,200171,0,14
172,pair of black oval reading glasses,pairs of black oval reading glasses,A piece of black facewear.,Black Oval Reading Glasses,0,0,0,1,0,0,267659,200172,0,14
173,pair of white oval reading glasses,pairs of white oval reading glasses,A piece of white facewear.,White Oval Reading Glasses,0,0,0,1,0,0,333195,200173,0,14
174,pair of grey oval reading glasses,pairs of grey oval reading glasses,A piece of grey facewear.,Grey Oval Reading Glasses,0,0,0,1,0,0,398731,200174,0,14
175,pair of red oval reading glasses,pairs of red oval reading glasses,A piece of red facewear.,Red Oval Reading Glasses,0,0,0,1,0,0,464267,200175,0,14
176,pair of blue oval reading glasses,pairs of blue oval reading glasses,A piece of blue facewear.,Blue Oval Reading Glasses,0,0,0,1,0,0,529803,200176,0,14
177,pair of green oval reading glasses,pairs of green oval reading glasses,A piece of green facewear.,Green Oval Reading Glasses,0,0,0,1,0,0,595339,200177,0,14
178,pair of brass oval reading glasses,pairs of brass oval reading glasses,A piece of brass facewear.,Brass Oval Reading Glasses,0,0,0,1,0,0,660875,200178,0,14
179,pair of purple oval reading glasses,pairs of purple oval reading glasses,A piece of purple facewear.,Purple Oval Reading Glasses,0,0,0,1,0,0,726411,200179,0,14
180,pair of brown oval reading glasses,pairs of brown oval reading glasses,A piece of brown facewear.,Brown Oval Reading Glasses,0,0,0,1,0,0,791947,200180,0,14
181,pair of elegant rimless glasses,pairs of elegant rimless glasses,A piece of undyed facewear.,Elegant Rimless Glasses,0,0,0,1,0,0,71052,200181,0,15
182,pair of silver elegant rimless glasses,pairs of silver elegant rimless glasses,A piece of silver facewear.,Silver Elegant Rimless Glasses,0,0,0,1,0,0,136588,200182,0,15
183,pair of gold elegant rimless glasses,pairs of gold elegant rimless glasses,A piece of gold facewear.,Gold Elegant Rimless Glasses,0,0,0,1,0,0,202124,200183,0,15
184,pair of black elegant rimless glasses,pairs of black elegant rimless glasses,A piece of black facewear.,Black Elegant Rimless Glasses,0,0,0,1,0,0,267660,200184,0,15
185,pair of white elegant rimless glasses,pairs of white elegant rimless glasses,A piece of white facewear.,White Elegant Rimless Glasses,0,0,0,1,0,0,333196,200185,0,15
186,pair of grey elegant rimless glasses,pairs of grey elegant rimless glasses,A piece of grey facewear.,Grey Elegant Rimless Glasses,0,0,0,1,0,0,398732,200186,0,15
187,pair of red elegant rimless glasses,pairs of red elegant rimless glasses,A piece of red facewear.,Red Elegant Rimless Glasses,0,0,0,1,0,0,464268,200187,0,15
188,pair of blue elegant rimless glasses,pairs of blue elegant rimless glasses,A piece of blue facewear.,Blue Elegant Rimless Glasses,0,0,0,1,0,0,529804,200188,0,15
189,pair of green elegant rimless glasses,pairs of green elegant rimless glasses,A piece of green facewear.,Green Elegant Rimless Glasses,0,0,0,1,0,0,595340,200189,0,15
190,pair of brass elegant rimless glasses,pairs of brass elegant rimless glasses,A piece of brass facewear.,Brass Elegant Rimless Glasses,0,0,0,1,0,0,660876,200190,0,15
191,pair of purple elegant rimless glasses,pairs of purple elegant rimless glasses,A piece of purple facewear.,Purple Elegant Rimless Glasses,0,0,0,1,0,0,726412,200191,0,15
192,pair of brown elegant rimless glasses,pairs of brown elegant rimless glasses,A piece of brown facewear.,Brown Elegant Rimless Glasses,0,0,0,1,0,0,791948,200192,0,15
