#,Masculine,Feminine,IsPrefix,Order
51,Lord Creator,Lady Creator,True,352
52,Peacemaker,Peacemaker,True,353
53,The Last Resort,The Last Resort,False,354
54,The Sword of La Noscea,The Sword of La Noscea,False,355
55,The Sword of the Shroud,The Sword of the Shroud,False,356
56,The Sword of Thanalan,The Sword of Thanalan,False,357
57,The Sword of Eorzea,The Sword of Eorzea,False,358
58,The Shield of La Noscea,The Shield of La Noscea,False,359
59,The Shield of the Shroud,The Shield of the Shroud,False,360
60,The Shield of Thanalan,The Shield of Thanalan,False,361
61,The Shield of Eorzea,The Shield of Eorzea,False,362
62,Brother of the Broken Blade,Sister of the Broken Blade,True,363
63,The Warden's Wall,The Warden's Wall,False,364
64,Bearer of the Horn,Bearer of the Horn,True,365
65,The Uncommitted,The Uncommitted,False,366
66,The Professional,The Professional,False,400
67,Inquisitor,Inquisitor,True,450
68,Divine Crusher,Divine Crusher,True,451
69,Stonesplitter,Stonesplitter,True,452
70,A Kobold's Worst Nightmare,A Kobold's Worst Nightmare,False,453
71,An Ixal's Worst Nightmare,An Ixal's Worst Nightmare,False,454
72,An Amalj'aa's Worst Nightmare,An Amalj'aa's Worst Nightmare,False,455
73,The Guardian of Aleport,The Guardian of Aleport,False,456
74,The Guardian of Hyrstmill,The Guardian of Hyrstmill,False,457
75,The Guardian of the Golden Bazaar,The Guardian of the Golden Bazaar,False,458
76,The Wind of Aleport,The Wind of Aleport,False,459
77,The Wind of Hyrstmill,The Wind of Hyrstmill,False,460
78,The Wind of the Golden Bazaar,The Wind of the Golden Bazaar,False,461
79,The Hand of Aleport,The Hand of Aleport,False,462
80,The Hand of Hyrstmill,The Hand of Hyrstmill,False,463
81,The Hand of the Golden Bazaar,The Hand of the Golden Bazaar,False,464
82,Wild Thing,Wild Thing,True,500
83,The Winter Wyrm,The Winter Wyrm,False,501
84,Messenger of Love,Messenger of Love,True,502
85,Royal Seneschal,Princess for a Day,True,503
86,Dreamseeker,Dreamseeker,True,504
87,Cascadier,Cascadier,True,505
88,Crystal Bearer,Crystal Bearer,True,506
89,Stormlord,Stormlady,True,550
90,Serpentlord,Serpentlady,True,551
91,Flamelord,Flamelady,True,552
92,The Stormsworn,The Stormsworn,False,553
93,The Serpentsworn,The Serpentsworn,False,554
94,The Flamesworn,The Flamesworn,False,555
95,Stormcarrier,Stormcarrier,True,556
96,Serpentcarrier,Serpentcarrier,True,557
97,Flamecarrier,Flamecarrier,True,558
98,Stormbringer,Stormbringer,True,559
99,Serpentbringer,Serpentbringer,True,560
100,Flamebringer,Flamebringer,True,561
101,Featherfoot,Featherfoot,True,600
102,A Bo's Best Friend,A Bo's Best Friend,True,601
103,Lightning,Lightning,True,602
104,Cavalier,Cavalier,True,603
105,The Wanderer's Shadow,The Wanderer's Shadow,False,604
106,Green Eyes,Green Eyes,False,605
107,The Strategist,The Strategist,False,606
108,The Reaper,The Reaper,False,607
109,Dungeon Master,Dungeon Master,True,608
110,Tempter of Fate,Temptress of Fate,False,609
111,Elite Cascadier,Elite Cascadier,True,610
112,Storm Puppy,Storm Puppy,True,650
113,Storm Howler,Storm Howler,True,651
114,Storm Growler,Storm Growler,True,652
115,Storm Hound,Storm Hound,True,653
116,Storm Stalker,Storm Stalker,True,654
117,Storm Chaser,Storm Chaser,True,655
118,Naago's Friend,Naago's Friend,True,1448
119,Naago's Partner,Naago's Partner,True,1449
120,Wings of Steel,Wings of Steel,False,1450
121,Wings of Fire,Wings of Fire,False,1451
122,Serpent Puppy,Serpent Puppy,True,660
123,Serpent Howler,Serpent Howler,True,661
124,Serpent Growler,Serpent Growler,True,662
125,Serpent Hound,Serpent Hound,True,663
126,Serpent Stalker,Serpent Stalker,True,664
127,Serpent Chaser,Serpent Chaser,True,665
128,Deep Canal Raider,Deep Canal Raider,True,1452
129,Deep Canal Dweller,Deep Canal Dweller,True,1453
130,The Luckiest of Lords,The Luckiest of Ladies,False,1454
131,Crimson Explorer,Crimson Explorer,True,1455
132,Flame Puppy,Flame Puppy,True,670
133,Flame Howler,Flame Howler,True,671
134,Flame Growler,Flame Growler,True,672
135,Flame Hound,Flame Hound,True,673
136,Flame Stalker,Flame Stalker,True,674
137,Flame Chaser,Flame Chaser,True,675
138,The Legend,The Legend,False,1456
139,Raubahn's Left Arm,Raubahn's Left Arm,True,1457
140,Of the Blue,Of the Blue,False,1458
141,Fashion Leader,Fashion Leader,False,1459
142,The Ravenous Wolf,The Ravenous Wolf,False,700
143,The Alpha Wolf,The Alpha Wolf,False,701
144,The Heart of the Party,The Heart of the Party,False,750
145,Brother of Ash,Sister of Ash,True,751
146,Sylph-Friend,Sylph-Friend,True,752
147,Treasure Hunter,Treasure Hunter,True,753
148,789th Order Champion,789th Order Champion,True,754
149,Novv Clutchmate,Novv Clutchmate,True,755
150,The Ambitious Angler,The Ambitious Angler,False,756
151,The Meat Shield,The Meat Shield,False,757
152,The Meat Axe,The Meat Axe,False,758
153,Of the Stalwart Shield,Of the Stalwart Shield,False,759
154,Of the Stalwart Axe,Of the Stalwart Axe,False,760
155,Frontline Forerunner,Frontline Forerunner,True,761
156,Storm Forerunner,Storm Forerunner,True,762
157,Flame Forerunner,Flame Forerunner,True,764
158,Serpent Forerunner,Serpent Forerunner,True,763
159,Drone Sniper,Drone Sniper,True,765
160,Heliodrome Hero,Heliodrome Hero,True,766
161,Hunter for Hire,Hunter for Hire,True,800
162,Seeker of Fortune,Seeker of Fortune,True,801
163,Seasoned Tracker,Seasoned Tracker,True,802
164,Bounty Hunter,Bounty Hunter,True,803
165,Soldier of Fortune,Soldier of Fortune,True,804
166,Captain of the Hunt,Captain of the Hunt,False,805
167,Rafflesia Reaper,Rafflesia Reaper,True,850
168,Melusine Mauler,Melusine Mauler,True,851
169,The Avatar,The Avatar,False,852
170,Domitor,Domitrix,False,853
171,The Disassembler,The Disassembler,True,900
172,Eversharp,Eversharp,False,1460
173,Bearer of the Coffer,Bearer of the Coffer,True,902
174,Defender of Eorzea,Defender of Eorzea,False,950
175,The Postman,The Postwoman,False,951
176,Ehcatl Blackguard,Ehcatl Blackguard,True,952
177,The Negotiator,The Negotiator,False,953
178,The Final Witness,The Final Witness,False,954
179,Of Dragons Deep,Of Dragons Deep,False,955
180,Master Caster,Master Caster,True,956
181,The New Sun,The New Sun,False,1461
182,The Shadow,The Shadow,False,958
183,Icebreaker,Icebreaker,True,959
184,Of the Silver Lining,Of the Silver Lining,False,960
185,Gentleman,Gentlewoman,True,961
186,Cupid,Cupid,True,962
187,Tamer of Steeds,Tamer of Steeds,False,963
188,The Unsevered,The Unsevered,False,964
189,Slaughterhouse,Slaughterhouse,True,965
190,The Hand of Mercy,The Hand of Mercy,False,966
191,The Light in Hand,The Light in Hand,False,967
192,The Light of the Land,The Light of the Land,False,968
193,Z,Z,False,969
194,Golemancer,Golemancer,True,970
195,Gambler,Gambler,True,1000
196,High Roller,High Roller,True,1001
197,Chocobo Breeder,Chocobo Breeder,True,1002
198,Chocobo Trainer,Chocobo Trainer,True,1003
199,Bug Boy,Bug Girl,True,1004
200,Senior Jockey,Senior Jockey,True,1005
201,Veteran Jockey,Veteran Jockey,True,1006
202,The First Across,The First Across,False,1007
203,Deck Holder,Deck Holder,True,1008
204,Deck Hoarder,Deck Hoarder,True,1009
205,The Trinity,The Trinity,False,1010
206,Duelist,Duelist,True,1011
207,Keymaster,Gatekeeper,True,1012
208,The Fungah,The Fungah,False,1013
209,Moneybags,Moneybags,True,1014
210,Raiser of Mountains,Raiser of Mountains,False,1015
211,Bearer of the Torch,Bearer of the Torch,False,1050
212,Postmaster,Postmaster,True,1051
213,Half-boiled Hero,Half-boiled Heroine,True,1052
214,Unbeliever,Unbeliever,True,1053
215,The Redeemed,The Redeemed,False,1054
216,Nidhogg Slayer,Nidhogg Slayer,True,1055
217,Of the Silver Fuller,Of the Silver Fuller,False,1056
218,Imperial Nuisance,Imperial Nuisance,False,1057
219,Under-archon,Under-archon,True,1058
220,The End of Ascalon,The End of Ascalon,True,1059
221,Snake in the Grass,Snake in the Grass,True,1462
222,The Oathkeeper,The Oathkeeper,False,1100
223,Of the 14th Chakra,Of the 14th Chakra,False,1101
224,The Mythril Heart,The Mythril Heart,False,1102
225,The Azure Dragoon,The Azure Dragoon,False,1103
226,Skysinger,Skysinger,False,1104
227,Pure White,Pure White,True,1105
228,Annihilator,Annihilator,True,1106
229,Dreadspawn,Dreadspawn,False,1107
230,Nymian Marine,Nymian Marine,True,1108
231,The Darkest Shadow,The Darkest Shadow,False,1109
232,Blackblood,Blackblood,False,1110
233,Liberator,Liberator,True,1111
234,Stargazer,Stargazer,True,1112
235,Illuminati Quencher,Illuminati Quencher,True,1150
236,Finder of False Gods,Finder of False Gods,False,1151
237,Lighter than Air,Lighter than Air,True,1152
238,,,False,0
239,Grandmaster of War,Grandmaster of War,True,1200
240,Grandmaster of Magic,Grandmaster of Magic,True,1201
241,Dark Driver,Dark Driver,True,1202
242,Of the Stalwart Sword,Of the Stalwart Sword,False,1203
243,Keeper of Knowledge,Keeper of Knowledge,True,1204
244,Canal Dweller,Canal Dweller,True,1445
245,Canal Lord,Canal Lady,True,1446
246,The Necromancer,The Necromancer,False,1447
247,,,False,0
248,Grandmaster of the Hand,Grandmaster of the Hand,True,1209
249,Grandmaster of the Land,Grandmaster of the Land,True,1210
250,Molder of Masterpieces,Molder of Masterpieces,True,1211
251,Amasser of Masterpieces,Amasser of Masterpieces,True,1212
252,Business Associate,Business Associate,True,1213
253,Master Carpenter,Master Carpenter,True,1214
254,Master Blacksmith,Master Blacksmith,True,1215
255,Master Armorer,Master Armorer,True,1216
256,Master Goldsmith,Master Goldsmith,True,1217
257,Master Leatherworker,Master Leatherworker,True,1218
258,Master Weaver,Master Weaver,True,1219
259,Master Alchemist,Master Alchemist,True,1220
260,Master Culinarian,Master Culinarian,True,1221
261,Master Miner,Master Miner,True,1222
262,Master Botanist,Master Botanist,True,1223
263,Master Fisher,Master Fisher,True,1224
264,The Fortunate,The Fortunate,False,1225
265,Good Samaritan,Good Samaritan,True,1226
266,Minion Collector,Minion Collector,True,1227
267,Minion Master,Minion Master,True,1228
268,Mammeteer,Mammeteer,True,1229
269,Prince of Verminion,Princess of Verminion,False,1230
270,Lord of Verminion,Lady of Verminion,False,1231
271,House Fortemps Knight,House Fortemps Knight,False,1232
272,Sky Pirate,Sky Pirate,True,1233
273,The Noumenon,The Noumenon,False,1234
274,Sundrop Dancer,Sundrop Dancer,True,1235
275,Myth Breaker,Myth Breaker,True,1236
276,Veteran Explorer,Veteran Explorer,True,1237
277,Special Advisor,Special Advisor,True,1238
278,Notorious Monster Slayer,Notorious Monster Slayer,True,1239
279,Hungry Wolf,Hungry Wolf,True,1240
280,The Devourer,The Devourer,False,1241
281,The Unmoving,The Unmoving,False,1242
282,The Unrelenting,The Unrelenting,False,1243
283,The Unseen,The Unseen,False,1244
284,The Unleashed,The Unleashed,False,1245
285,The Undamaged,The Undamaged,False,1246
286,Mentor,Mentor,True,1247
287,Mentor of Mentors,Mentor of Mentors,True,1248
288,Carrier of the Kettle,Carrier of the Kettle,True,1249
289,The Gear of Change,The Gear of Change,False,1250
290,Allthoughts,Allthoughts,False,1251
291,The Newmind,The Newmind,False,1252
292,The Dragonsong,The Dragonsong,False,1253
293,Polis Raider,Polis Raider,True,1254
294,Polis Dweller,Polis Dweller,True,1255
295,Polis Lord,Polis Lady,True,1256
296,Pom Friend,Pom Friend,True,1257
297,Leader of the Pack,Leader of the Pack,True,1258
298,Beta Wolf,Beta Wolf,True,1259
299,Hunter Wolf,Hunter Wolf,True,1260
300,Bronze Wolf,Bronze Wolf,True,1261
301,Silver Wolf,Silver Wolf,True,1262
302,Gold Wolf,Gold Wolf,True,1263
303,Platinum Wolf,Platinum Wolf,True,1264
304,Diamond Wolf,Diamond Wolf,True,1265
305,Of the First Pack,Of the First Pack,False,1266
306,Of the Second Pack,Of the Second Pack,False,1267
307,Of the Hungry Pack,Of the Hungry Pack,False,1268
308,Of the Bronze Pack,Of the Bronze Pack,False,1269
309,Of the Silver Pack,Of the Silver Pack,False,1270
310,Of the Gold Pack,Of the Gold Pack,False,1271
311,Of the Platinum Pack,Of the Platinum Pack,False,1272
312,Of the Diamond Pack,Of the Diamond Pack,False,1273
313,The Knight of Glory,The Knight of Glory,False,1300
314,The Chief Mourner,The Chief Mourner,False,1310
315,The Wings of Time,The Wings of Time,False,1311
316,Surrenderer of Souls,Surrenderer of Souls,False,1312
317,Khloe's Friend,Khloe's Friend,True,1313
318,Khloe's Best Friend,Khloe's Best Friend,True,1314
319,Hero of Gelmorra,Hero of Gelmorra,False,1315
320,Lightbringer,Lightbringer,False,1316
321,Lonely Explorer,Lonely Explorer,True,1317
322,The Lucky,The Lucky,False,1318
323,Of the Sixth Sense,Of the Sixth Sense,False,1319
324,Corpse Dancer,Corpse Dancer,True,1320
325,Makai Master,Makai Master,True,1350
326,Garo,Garo,True,1351
327,Makai Monk,Makai Monk,True,1352
328,Barago,Barago,True,1353
329,Dan,Dan,True,1354
330,Makai Bard,Makai Bard,True,1355
331,Makai Black Mage,Makai Black Mage,True,1356
332,Makai White Mage,Makai White Mage,True,1357
333,Zero,Zero,True,1358
334,Makai Summoner,Makai Summoner,True,1359
335,Makai Scholar,Makai Scholar,True,1360
336,Kiba,Kiba,True,1361
337,Makai Machinist,Makai Machinist,True,1362
338,Makai Astrologian,Makai Astrologian,True,1363
339,Moonlifter,Moonlifter,True,1400
340,The Finest Pupil's Ally,The Finest Pupil's Ally,False,1401
341,Fatewalker,Fatewalker,True,1402
342,Of the Holy Body,Of the Holy Body,False,1403
343,Gigi's Best Friend,Gigi's Best Friend,True,1404
344,Tamer of the Undying Flame,Tamer of the Undying Flame,False,1405
345,Mortal Fist,Mortal Fist,True,1406
346,Rhalgr's Right Fist,Rhalgr's Right Fist,False,1407
347,Tablesetter,Tablesetter,True,1408
348,Halone's Cup Bearer,Halone's Cup Bearer,False,1409
349,Zhloe's Friend,Zhloe's Friend,True,1410
350,Zhloe's Best Friend,Zhloe's Best Friend,True,1411
351,Survivor of the Song,Survivor of the Song,False,1412
352,Ijin Traveler,Ijin Traveler,True,1413
353,Confederate,Confederate,True,1414
354,Adversary,Adversary,True,1415
355,Steppe Warrior,Steppe Warrior,True,1416
356,The Returned,The Returned,False,1417
357,Lyse's Right Fist,Lyse's Right Fist,True,1418
358,The Liberator,The Liberator,False,1419
359,Deltascape Deleter,Deltascape Deleter,True,1420
360,Ul Cup Champion,Ul Cup Champion,True,1421
361,The Fistful,The Fistful,False,1422
362,Loved by the Axe,Loved by the Axe,False,1423
363,The Blood Dragoon,The Blood Dragoon,False,1424
364,Of the True Autumn,Of the True Autumn,False,1425
365,Padjal Protector,Padjal Protector,True,1426
366,Gembreaker,Gembreaker,True,1427
367,The First Caller,The First Caller,False,1428
368,Keeper of the Lilacs,Keeper of the Lilacs,True,1429
369,Eorzean Ninja,Eorzean Ninja,True,1430
370,Of the Swirling Abyss,Of the Swirling Abyss,False,1431
371,The Howler,The Howler,False,1432
372,Of the Eastern Skies,Of the Eastern Skies,False,1433
373,The Red,The Red,False,1434
374,Muso,Muso,False,1435
375,God of War,Goddess of War,True,1436
376,God of Magic,Goddess of Magic,True,1437
377,God of the Hand,Goddess of the Hand,True,1438
378,God of the Land,Goddess of the Land,True,1439
379,Of the Longest Hunt,Of the Longest Hunt,False,1440
380,Of the Endless Hunt,Of the Endless Hunt,False,1441
381,Thrillseeker,Thrillseeker,True,1442
382,Ultimate Thrillseeker,Ultimate Thrillseeker,True,1443
383,Canal Raider,Canal Raider,True,1444
384,Hiruko Hunter,Hiruko Hunter,True,1472
385,Heavenly Gate Crasher,Heavenly Gate Crasher,True,1473
386,True Hero,True Hero,True,1474
387,Lone Hero,Lone Hero,True,1475
388,Hoarder,Hoarder,True,1476
389,Vanguard,Vanguard,True,1466
390,Kurenai's Best Friend,Kurenai's Best Friend,True,1467
391,Kurenai's Partner,Kurenai's Partner,True,1468
392,Under the Moonlight,Under the Moonlight,False,1469
393,Siltwater Socialite,Siltwater Socialite,True,1463
394,Matchmaker,Matchmaker,True,1464
395,Eorzean Ninja Warrior,Eorzean Ninja Warrior,True,1465
396,Calamatologist,Calamatologist,True,1471
397,The Ultimate Legend,The Ultimate Legend,False,1470
398,Monster Hunter,Monster Hunter,True,1477
399,FRC 2018 Champion,FRC 2018 Champion,True,0
400,FRC 2018 Finalist,FRC 2018 Finalist,True,0
401,FRC 2018 Ranker,FRC 2018 Ranker,True,0
402,Prelude in Violet,Prelude in Violet,True,1478
403,Philanthropist,Philanthropist,False,1479
404,Altar Boy,Altar Girl,True,1480
405,The Devout,The Devout,False,1481
406,Invoker of Gods,Invoker of Gods,True,1482
407,Grandmaster Caster,Grandmaster Caster,True,1497
408,Kyubi Tamer,Kyubi Tamer,False,1483
409,Mahjong Enthusiast,Mahjong Enthusiast,True,1484
410,Mahjong Master,Mahjong Master,True,1485
411,Little Piggy,Little Piggy,True,1486
412,Tough Customer,Tough Customer,True,1487
413,Blue Blood,Blue Blood,True,1488
414,Mask of the Blue,Mask of the Blue,False,1489
415,Perfect Blue,Perfect Blue,True,1490
416,Eurekan Explorer,Eurekan Explorer,True,1491
417,A Requiem For Heroes,A Requiem For Heroes,False,1492
418,The Soboro,The Soboro,False,1493
419,Kageyama Killer,Kageyama Killer,False,1494
420,Kingsglaive,Kingsglaive,True,1495
421,Lord of the Fetch,Lady of the Fetch,False,1496
422,Soul of War,Soul of War,True,1498
423,Soul of Magic,Soul of Magic,True,1499
424,Soul of the Craft,Soul of the Craft,True,1500
425,Soul of the Harvest,Soul of the Harvest,True,1501
426,Outlander,Outlander,True,1502
427,The Fae-touched,The Fae-touched,False,1503
428,Seeker of Hidden Truths,Seeker of Hidden Truths,True,1504
429,Of the Sunless Sea,Of the Sunless Sea,False,1505
430,Enemy of Innocence,Enemy of Innocence,True,1506
431,Shadowbringer,Shadowbringer,True,1507
432,Sworn Protector,Sworn Protector,True,1508
433,The Heart's Beat,The Heart's Beat,False,1509
434,Living Memory,Living Memory,True,1510
435,Bulwark between Worlds,Bulwark between Worlds,True,1511
436,The Transcendent,The Transcendent,False,1512
437,Worldcleaver,Worldcleaver,True,1513
438,Bolt from the Black,Bolt from the Black,True,1514
439,The Song upon the Wind,The Song upon the Wind,False,1515
440,Firstblessed,Firstblessed,True,1516
441,Of Stranger Shadow,Of Stranger Shadow,False,1517
442,Farcaller,Farcaller,True,1518
443,Knower of Twin Worlds,Knower of Twin Worlds,True,1519
444,Shadow of the Other,Shadow of the Other,True,1520
445,The Boundless Dark,The Boundless Dark,False,1521
446,The Shot Heard Across Worlds,The Shot Heard Across Worlds,False,1522
447,Distant Stargazer,Distant Stargazer,True,1523
448,Dualistic Duelist,Dualistic Duelist,True,1524
449,Samurai in a Strange Land,Samurai in a Strange Land,True,1525
450,Wandering Vanguard,Wandering Vanguard,True,1526
451,Riftdancer,Riftdancer,True,1527
452,Otherworld Smith,Otherworld Smith,True,1528
453,Otherworld Artisan,Otherworld Artisan,True,1529
454,Otherworld Apothecary,Otherworld Apothecary,True,1530
455,Otherworld Seeker,Otherworld Seeker,True,1531
456,Otherworld Angler,Otherworld Angler,True,1532
457,The Multifaceted,The Multifaceted,False,1533
458,Trusted Friend,Trusted Friend,True,1534
459,The Invisible Hand,The Invisible Hand,False,1535
460,Charming Brute,Charming Brute,True,1536
461,The Fabulously Feral,The Fabulously Feral,False,1537
462,Of Unyielding Oath,Of Unyielding Oath,False,1538
463,Of Unyielding Steel,Of Unyielding Steel,False,1539
464,Of Unyielding Principle,Of Unyielding Principle,False,1540
465,Of Unyielding Lealty,Of Unyielding Lealty,False,1541
466,Dungeon Raider,Dungeon Raider,True,1542
467,Dungeon Dweller,Dungeon Dweller,True,1543
468,Dungeon Lord,Dungeon Lady,True,1544
469,Kindred Sword,Kindred Sword,True,1545
470,,,False,0
471,,,False,0
472,,,False,0
473,,,False,0
474,,,False,0
475,,,False,0
476,Of Virtuous Deeds,Of Virtuous Deeds,False,1546
477,Kai-Shirr's Best Mate,Kai-Shirr's Best Mate,True,1547
478,Honeybee,Honeybee,True,1548
479,Sweet Dreamer,Sweet Dreamer,True,1549
480,The Perfect Legend,The Perfect Legend,False,1550
481,Blue to the Bone,Blue to the Bone,True,1551
482,Blue Luminary,Blue Luminary,True,1552
483,Masked of the Round,Masked of the Round,True,1553
484,Unbound Blue,Unbound Blue,True,1554
485,Blue Justice,Blue Justice,True,1555
486,The Battleforged,The Battleforged,False,1556
487,Champion of the Blue,Champion of the Blue,True,1557
488,Saint of the Firmament,Saint of the Firmament,True,10000
489,Beatus of the Firmament,Beata of the Firmament,True,10010
490,Frame of the Firmament,Frame of the Firmament,True,1560
491,Forge of the Firmament,Forge of the Firmament,True,1561
492,Hammer of the Firmament,Hammer of the Firmament,True,1562
493,Jewel of the Firmament,Jewel of the Firmament,True,1563
494,Knife of the Firmament,Knife of the Firmament,True,1564
495,Weave of the Firmament,Weave of the Firmament,True,1565
496,Panacea of the Firmament,Panacea of the Firmament,True,1566
497,Pan of the Firmament,Pan of the Firmament,True,1567
498,Pick of the Firmament,Pick of the Firmament,True,1568
499,Hatchet of the Firmament,Hatchet of the Firmament,True,1569
500,Rod of the Firmament,Rod of the Firmament,True,1570
501,The Hand of Creation,The Hand of Creation,False,1571
502,Divine Provider,Divine Provider,True,1572
503,The Nest's Own Carpenter,The Nest's Own Carpenter,False,1573
504,The Nest's Own Blacksmith,The Nest's Own Blacksmith,False,1574
505,The Nest's Own Armorer,The Nest's Own Armorer,False,1575
506,The Nest's Own Goldsmith,The Nest's Own Goldsmith,False,1576
507,The Nest's Own Leatherworker,The Nest's Own Leatherworker,False,1577
508,The Nest's Own Weaver,The Nest's Own Weaver,False,1578
509,The Nest's Own Alchemist,The Nest's Own Alchemist,False,1579
510,The Nest's Own Culinarian,The Nest's Own Culinarian,False,1580
511,The Nest's Own Miner,The Nest's Own Miner,False,1581
512,The Nest's Own Botanist,The Nest's Own Botanist,False,1582
513,The Nest's Own Fisher,The Nest's Own Fisher,False,1583
514,Fortune's Favored Kupo,Fortune's Favored Kupo,True,1584
515,Ocean Fisher,Ocean Fisher,True,1585
516,Octopus Traveler,Octopus Traveler,True,1586
517,Shark Hunter,Shark Hunter,True,1587
518,Jellyfish Fanatic,Jellyfish Fanatic,True,1588
519,Sea Dragoon,Sea Dragoon,True,1589
520,Echo of a Fallen Star,Echo of a Fallen Star,True,1590
521,Ronkan Historian,Ronkan Historian,True,1591
522,A Dragon's Best Friend,A Dragon's Best Friend,True,1592
523,Tinker Tutor,Tinker Tutor,True,1593
524,Partner in Teatime,Partner in Teatime,True,1594
525,Vrai Ami,Vraie Amie,True,1595
526,Tank Technician,Tank Technician,True,1596
527,Shepherd to the Stars,Shepherd to the Stars,True,1597
528,Featherfall's Finest Carpenter,Featherfall's Finest Carpenter,True,1598
529,Featherfall's Finest Blacksmith,Featherfall's Finest Blacksmith,True,1599
530,Featherfall's Finest Armorer,Featherfall's Finest Armorer,True,1600
531,Featherfall's Finest Goldsmith,Featherfall's Finest Goldsmith,True,1601
532,Featherfall's Finest Leatherworker,Featherfall's Finest Leatherworker,True,1602
533,Featherfall's Finest Weaver,Featherfall's Finest Weaver,True,1603
534,Featherfall's Finest Alchemist,Featherfall's Finest Alchemist,True,1604
535,Featherfall's Finest Culinarian,Featherfall's Finest Culinarian,True,1605
536,Featherfall's Finest Miner,Featherfall's Finest Miner,True,1606
537,Featherfall's Finest Botanist,Featherfall's Finest Botanist,True,1607
538,Featherfall's Finest Fisher,Featherfall's Finest Fisher,True,1608
539,The Decisive Blow,The Decisive Blow,False,1609
540,Skirmisher,Skirmisher,True,1610
541,Siege Liege,Siege Liege,True,1611
542,Gabriel's Downfall,Gabriel's Downfall,True,1612
543,Queller of Beasts,Queller of Beasts,True,1613
544,The Death of Flame,The Death of Flame,False,1614
545,Sword of the South,Sword of the South,True,1615
546,Guardian Angel,Guardian Angel,True,1616
547,Saint of the Firmament,Saint of the Firmament,True,10001
548,Beatus of the Firmament,Beata of the Firmament,True,10011
549,Writer of Histories,Writer of Histories,True,1617
550,Of the Truest Blue,Of the Truest Blue,False,1618
551,Blue Ranger,Blue Ranger,True,1619
552,The Azure and Omega,The Azure and Omega,False,1620
553,Balloon Catcher,Balloon Catcher,True,1621
554,Deadliest Catcher,Deadliest Catcher,True,1622
555,Manta Maniac,Manta Maniac,True,1623
556,World-class Troller,World-class Troller,True,1624
557,Saint of the Firmament,Saint of the Firmament,True,10002
558,Beatus of the Firmament,Beata of the Firmament,True,10012
559,Tournament Leader,Tournament Leader,True,1625
560,Secret Finder,Secret Finder,True,1626
561,Secret Keeper,Secret Keeper,True,1627
562,Gaolbreaker,Gaolbreaker,True,1628
563,Master of the Sea,Master of the Sea,True,1629
564,Delubrum Delver,Delubrum Delver,True,1630
565,The Risensung Carpenter,The Risensung Carpenter,False,1631
566,The Risensung Blacksmith,The Risensung Blacksmith,False,1632
567,The Risensung Armorer,The Risensung Armorer,False,1633
568,The Risensung Goldsmith,The Risensung Goldsmith,False,1634
569,The Risensung Leatherworker,The Risensung Leatherworker,False,1635
570,The Risensung Weaver,The Risensung Weaver,False,1636
571,The Risensung Alchemist,The Risensung Alchemist,False,1637
572,The Risensung Culinarian,The Risensung Culinarian,False,1638
