#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
16,water shield,water shields,Water Shield,"Block Strength +50%
30% chance to absorb water damage as HP.
10% chance to grant **Reflect** upon blocking with shield.
**Reflect Effect:** Reflects most magic attacks back at the caster
**Duration:** 60s",Increases block strength. May absorb water damage. May grant Reflect upon shield block.,0,0,0,1,0,0,243016,214,1
17,force shield,force shields,Force Shield,"Block Strength +75%
Magic Vulnerability -10%",Increases block strength. Reduces magic damage taken.,0,0,0,1,0,0,243017,82,1
18,crimson ribbon,crimson ribbons,Crimson Ribbon,"Petrification Resistance +100%
Blind Resistance +100%
Paralysis Resistance +100%","Increases petrification, blind, and paralysis resistances.",0,0,0,1,0,0,243018,84,1
19,pair of Genji gloves,pairs of Genji gloves,Genji Gloves,"Damage Dealt +12%
Paralysis Resistance +100%
10% chance to recover TP upon completing a combo with a beastmaster instinctual skill.",Increases damage dealt and paralysis resistance. May recover TP upon familiar combo.,0,0,0,1,0,0,243019,238,1
20,Genji greatshield,Genji greatshields,Genji Greatshield,"Block Strength +30%
Evasion +10%",Increases block strength and evasion.,0,0,0,1,0,0,243020,94,1
21,suit of Genji armor,suits of Genji armor,Genji Armor,"Movement Speed -20%
Damage Taken -20%
Maximum HP +30%",Reduces movement speed and damage taken. Increases maximum HP.,0,0,0,1,0,0,243021,226,1
22,pair of silver specs,pairs of silver specs,Silver Specs,"Critical Hit Rate +15%
Blind Resistance +100%",Increases critical hit rate and blind resistance.,0,0,0,1,0,0,243022,112,1
23,angel robe,angel robes,Angel Robe,"Damage Taken -7%
Poison Resistance +100%
5% chance to grant one stack of **Rehabilitation** upon suffering damage.
**Rehabilitation Effect:** Restores 3% of maximum HP at regular intervals
**Duration:** 12s
**Maximum Stacks:** 8",Reduces damage taken. Increases poison resistance. May recover HP upon suffering damage.,0,0,1,1,0,0,243023,189,1
24,master shield,master shields,Master Shield,"Block Strength +125%
Damage Taken -25%
Maximum HP +35%",Increases block strength and maximum HP. Reduces damage taken.,0,0,0,1,0,0,243024,390,1
25,mystic veil,mystic veils,Mystic Veil,"Magic Damage Dealt +18%
Magic Vulnerability -15%
Increases HP recovery via actions and crucible items by 15%.",Increases magic damage dealt and HP recovery. Reduces magic damage taken.,0,0,0,1,0,0,243025,220,1
26,black cowl,black cowls,Black Cowl,"Maximum HP +6%
Evasion +8%
Sleep Resistance +100%","Increases maximum HP, evasion, and sleep resistance.",0,0,0,1,0,0,243026,122,1
27,hero's crown,hero's crowns,Hero's Crown,"Maximum HP +30%
Damage Dealt +18%
Grants **Excellence** upon completing a combo with a beastmaster instinctual skill.
**Excellence Effect:** Nullifies most attacks and increases damage dealt by 10%
**Duration:** 9s",Increases maximum HP and damage dealt. Grants Excellence upon familiar combo.,0,0,0,1,0,0,243027,420,1
28,mirage vest,mirage vests,Mirage Vest,"20% chance to grant one stack of **Blink** upon suffering damage.
**Blink Effect:** Nullifies most physical attacks, reducing one stack per nullification
**Duration:** 120s",May grant Blink upon suffering damage.,0,0,0,1,0,0,243028,150,1
29,suit of soulreaper's armor,suits of soulreaper's armor,Soulreaper's Armor,"Maximum HP +10%
Damage Taken -5%
Doom Resistance +100%",Increases maximum HP and doom resistance. Reduces damage taken.,0,0,0,1,0,0,243029,99,1
30,suit of briar armor,suits of briar armor,Briar Armor,"Deals unaspected damage with a potency of 360 each time you suffer physical damage.
Counter damage is affected by magic damage increase effects of other beast gear, items, and abilities.",Counters upon suffering physical damage.,0,0,0,1,0,0,243030,168,1
31,coward's knife,coward's knives,Coward's Knife,"Damage Dealt +1%
35% chance to offer escape from an enemy space, thus avoiding battle and forfeiting loot. Ineffective on elite enemy or boss spaces.
Grants one stack of **Guerrilla Tactics** upon fleeing.
**Guerrilla Tactics Effect:** Increases damage dealt by 18% and evasion by 4%",Increases damage dealt. May offer chance to flee enemy spaces.,0,0,0,1,0,0,243031,90,1
32,umbral mantle,umbral mantles,Umbral Mantle,"Maximum HP +12%
25% chance to recover TP upon completing a combo with a beastmaster instinctual skill.",Increases maximum HP. May recover TP upon familiar combo.,0,0,1,1,0,0,243032,167,1
33,umbral band,umbral bands,Umbral Band,"Physical Vulnerability -9%
10% chance to recover TP upon completing a combo with a beastmaster instinctual skill.",Reduces physical damage taken. May recover TP upon familiar combo.,0,0,1,1,0,0,243033,81,1
34,umbral wristlet,umbral wristlets,Umbral Wristlet,"Magic Vulnerability -15%
Maximum HP +5%
Stun Resistance +100%",Reduces magic damage taken. Increases maximum HP and stun resistance.,0,0,1,1,0,0,243034,112,1
35,astral mantle,astral mantles,Astral Mantle,"**Rapid Recast** +25%
Damage Taken -7%
Maximum HP +15%",Grants Rapid Recast. Reduces damage taken. Increases maximum HP.,0,0,1,1,0,0,243035,190,1
36,astral band,astral bands,Astral Band,"**Rapid Recast** +15%
Physical Vulnerability -8%",Grants Rapid Recast. Reduces physical damage taken.,0,0,1,1,0,0,243036,74,1
37,astral wristlet,astral wristlets,Astral Wristlet,"**Rapid Recast** +15%
Magic Vulnerability -8%",Grants Rapid Recast. Reduces magic damage taken.,0,0,1,1,0,0,243037,86,1
38,flame-wreathed axe,flame-wreathed axes,Flame-wreathed Axe,"Deals additional fire damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.",Adds fire damage to auto-attacks.,0,0,0,1,0,0,243038,168,1
39,icebitten axe,icebitten axes,Icebitten Axe,"Deals additional ice damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.",Adds ice damage to auto-attacks.,0,0,1,1,0,0,243039,168,1
40,thunderstruck axe,thunderstruck axes,Thunderstruck Axe,"Deals additional lightning damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.",Adds lightning damage to auto-attacks.,0,0,0,1,0,0,243040,168,1
41,earthcrushed axe,earthcrushed axes,Earthcrushed Axe,"Deals additional earth damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.",Adds earth damage to auto-attacks.,0,0,1,1,0,0,243041,168,1
42,deepdrowned axe,deepdrowned axes,Deepdrowned Axe,"Deals additional water damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.",Adds water damage to auto-attacks.,0,0,0,1,0,0,243042,168,1
43,windblown axe,windblown axes,Windblown Axe,"Deals additional wind damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.",Adds wind damage to auto-attacks.,0,0,0,1,0,0,243043,168,1
44,ninja suit,ninja suits,Ninja Suit,"Maximum HP +17%
Evasion +8%
Grants one stack of **Haste** for each attack evaded.
**Haste Effect:** Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 2%
**Duration:** 60s
**Maximum Stacks:** 5",Increases maximum HP and evasion. Grants Haste upon dodging.,0,0,0,1,0,0,243044,175,1
45,pair of ninja gloves,pairs of ninja gloves,Ninja Gloves,"**Haste** +2%
Physical Damage Dealt +3%",Grants Haste. Increases physical damage dealt.,0,0,0,1,0,0,243045,63,1
46,ninja eyepatch,ninja eyepatches,Ninja Eyepatch,"**Haste** +5%
Critical Hit Rate +5%",Grants Haste. Increases critical hit rate.,0,0,0,1,0,0,243046,91,1
47,wind shield,wind shields,Wind Shield,"30% chance to absorb wind damage as HP.
50% chance to grant **Blink** upon blocking with shield.
**Blink Effect:** Nullifies most physical attacks, reducing one stack per nullification
**Duration:** 120s",May absorb wind damage. May grant Blink upon shield block.,0,0,0,1,0,0,243047,224,1
48,wind mask,wind masks,Wind Mask,"Magic Vulnerability -10%
Increases HP recovery via actions and crucible items by 15%.
Grants **Keen Edge** upon evading an attack.
**Keen Edge Effect:** Inflicts damage over time on self in exchange for increasing damage dealt by 30%
**Duration:** 21s",Reduces magic damage taken. Increases HP recovery. Grants Keen Edge upon dodging.,0,0,0,1,0,0,243048,154,1
49,suit of wind armor,suits of wind armor,Wind Armor,"Damage Taken -15%
Magic Damage Dealt +20%
Increases HP recovery via actions and crucible items by 30%.",Reduces damage taken. Increases magic damage dealt and HP recovery.,0,0,0,1,0,0,243049,264,1
50,heavy axe,heavy axes,Heavy Axe,"Damage Dealt +25%
Movement Speed -20%",Increases damage dealt. Reduces movement speed.,0,0,0,1,0,0,243050,268,1
51,suit of mythril armor,suits of mythril armor,Mythril Armor,"Damage Taken -15%
Maximum HP +15%",Reduces damage taken. Increases maximum HP.,0,0,0,1,0,0,243051,172,1
52,pair of mythril gloves,pairs of mythril gloves,Mythril Gloves,"Damage Taken -5%
Physical Damage Dealt +5%
Maximum HP +5%",Reduces damage taken. Increases physical damage dealt and maximum HP.,0,0,0,1,0,0,243052,113,1
53,pair of mythril greaves,pairs of mythril greaves,Mythril Greaves,"Damage Taken -10%
Maximum HP +5%",Reduces damage taken. Increases maximum HP.,0,0,0,1,0,0,243053,85,1
54,beast mask,beast masks,Beast Mask,"Physical Vulnerability -10%
Critical Hit Rate +15%",Reduces physical damage taken. Increases critical hit rate.,0,0,0,1,0,0,243054,126,1
55,beastly knife,beastly knives,Beastly Knife,"Critical Hit Rate +8%
25% chance to grant one stack of **Damage Up** upon landing a critical hit.
**Damage Up Effect:** Increases damage dealt by 3%
**Duration:** 30s
**Maximum Stacks:** 8",Increases critical hit rate. May increase damage dealt upon critical hit.,0,0,0,1,0,0,243055,87,1
56,beast earring,beast earrings,Beast Earring,"Critical Hit Rate +15%
Maximum HP +2%",Increases critical hit rate and maximum HP.,0,0,0,1,0,0,243056,84,1
57,thief's knife,thief's knives,Thief's Knife,"**Haste** +1%
Grants two items on treasure spaces.",Grants Haste and two items on treasure spaces.,0,0,0,1,0,0,243057,200,1
58,set of thief's garb,sets of thief's garb,Thief's Garb,"Loot Drop Rate +80%
Damage Taken -8%
Maximum HP +18%",Increases loot drop rate and maximum HP. Reduces damage taken.,0,0,0,1,0,0,243058,172,1
59,pair of thief's gloves,pairs of thief's gloves,Thief's Gloves,"Loot Drop Rate +70%
**Haste** +2%",Increases loot drop rate. Grants Haste.,0,0,0,1,0,0,243059,50,1
60,pair of thief's boots,pairs of thief's boots,Thief's Boots,"Loot Drop Rate +40%
Evasion +2%",Increases loot drop rate and evasion.,0,0,0,1,0,0,243060,30,1
61,thunder axe,thunder axes,Thunder Axe,"Damage Dealt +30%
5% chance to inflict **Stun** on self upon suffering damage.
**Duration:** 3s",Increases damage dealt. May inflict Stun on self upon suffering damage.,0,0,0,1,0,0,243061,315,1
62,suit of thunder armor,suits of thunder armor,Thunder Armor,"30% chance to absorb lightning damage as HP.
5% chance of granting one stack of **High Wire** upon landing a critical hit.
**High Wire Effect:** Increases damage dealt by 10% and reduces damage taken by 5%
**Duration:** 180s
**Maximum Stacks:** 4",May absorb lightning damage. May grant High Wire upon critical hit.,0,0,0,1,0,0,243062,161,1
63,warded shield,warded shields,Warded Shield,"Grants one stack of **Magic Vulnerability Down** upon blocking with shield.
**Magic Vulnerability Down Effect:** Reduces magic damage taken by 5%
**Duration:** 60s
**Maximum Stacks:** 8",Reduces magic damage taken upon shield block.,0,0,0,1,0,0,243063,84,1
64,gold hairpin,gold hairpins,Gold Hairpin,"**Rapid Recast** +10%
25% chance to recover TP upon completing a combo with a beastmaster instinctual skill.",Grants Rapid Recast. May recover TP upon familiar combo.,0,0,0,1,0,0,243064,113,1
65,flame knife,flame knives,Flame Knife,"Damage Dealt +25%
**Haste** +5%
10% chance to inflict **Chains of Condemnation** on self upon landing a critical hit.
**Chains of Condemnation Effect:** Suffers magic damage upon moving
**Duration:** 9s",Increases damage dealt. Grants Haste. May inflict Chains of Condemnation on self upon critical hit.,0,0,0,1,0,0,243065,262,1
66,flame shield,flame shields,Flame Shield,"Block Strength +50%
Damage Dealt +3%
30% chance to absorb fire damage as HP.",Increases block strength and damage dealt. May absorb fire damage.,0,0,0,1,0,0,243066,116,1
67,merchant's cap,merchant's caps,Merchant's Cap,"Territory Tokens Earned +25%
Critical Hit Rate -10%
Damage Dealt +5%",Increases territory tokens earned and damage dealt. Reduces critical hit rate.,0,0,0,1,0,0,243067,24,1
68,set of merchant's garb,sets of merchant's garb,Merchant's Garb,"Territory Tokens Earned +25%
Physical Vulnerability -10%",Increases territory tokens earned. Reduces physical damage taken.,0,0,0,1,0,0,243068,52,1
69,pair of merchant's shoes,pairs of merchant's shoes,Merchant's Shoes,"Territory Tokens Earned +25%
Evasion +4%
Maximum HP +12%","Increases territory tokens earned, evasion, and maximum HP.",0,0,0,1,0,0,243069,101,1
70,spirited ring,spirited rings,Spirited Ring,"Maximum HP +3%
TP Accumulation +25%",Increases TP accumulation and maximum HP.,0,0,0,1,0,0,243070,113,1
71,demonic helm,demonic helms,Demonic Helm,"Damage Dealt +20%
TP Accumulation +20%
1% chance to inflict **Doom** on self upon suffering damage.
**Duration:** 2s",Increases damage dealt and TP accumulation. May inflict Doom on self upon suffering damage.,0,0,0,1,0,0,243071,264,1
72,suit of demonic armor,suits of demonic armor,Demonic Armor,"Maximum HP +5%
TP Accumulation +5%
Grants one stack of **High Wire** upon defeating an enemy.
**High Wire Effect:** Increases damage dealt by 10% and reduces damage taken by 5%
**Duration:** 180s
**Maximum Stacks:** 4",Increases maximum HP and TP accumulation. Grants High Wire upon defeating enemies.,0,0,0,1,0,0,243072,170,1
73,empress hairpin,empress hairpins,Empress Hairpin,"Evasion +10%
Maximum HP -8%
2% chance to grant one stack of **Rehabilitation** upon landing a critical hit.
**Rehabilitation Effect:** Restores 3% of maximum HP at regular intervals
**Duration:** 12s
**Maximum Stacks:** 8",Increases evasion. Reduces maximum HP. May recover HP upon critical hit.,0,0,1,1,0,0,243073,129,1
74,haste belt,haste belts,Haste Belt,**Haste** +6%,Grants Haste.,0,0,0,1,0,0,243074,76,1
75,warrior's buckler,warrior's bucklers,Warrior's Buckler,"Block Strength +100%
Physical Vulnerability -5%
Maximum HP +2%",Increases block strength and maximum HP. Reduces physical damage taken.,0,0,0,1,0,0,243075,64,1
76,G1 beast potion,G1 beast potions,G1 Beast Potion,Restores 10% of HP to self or familiar.,,0,0,0,1,0,0,243136,32,2
77,G2 beast potion,G2 beast potions,G2 Beast Potion,Restores 23% of HP to self or familiar.,,0,0,0,1,0,0,243137,72,2
78,G3 beast potion,G3 beast potions,G3 Beast Potion,Restores 36% of HP to self or familiar.,,0,0,0,1,0,0,243138,113,2
79,G4 beast potion,G4 beast potions,G4 Beast Potion,Restores 50% of HP to self or familiar.,,0,0,0,1,0,0,243139,158,2
80,pinch of G1 crucible ash,pinches of G1 crucible ash,G1 Crucible Ash,Restores 10% of HP to self and nearby allies.,,0,0,0,1,0,0,243140,63,2
81,pinch of G2 crucible ash,pinches of G2 crucible ash,G2 Crucible Ash,Restores 25% of HP to self and nearby allies.,,0,0,0,1,0,0,243141,158,2
82,pinch of G3 crucible ash,pinches of G3 crucible ash,G3 Crucible Ash,Restores 40% of HP to self and nearby allies.,,0,0,0,1,0,0,243142,252,2
83,bottle of crucible antidote,bottles of crucible antidote,Crucible Antidote,"Instantly cures most instances of poison for self or familiar, restoring 25% of maximum HP upon success.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243143,32,2
84,crucible needle,crucible needles,Crucible Needle,"Instantly cures most instances of petrification for familiar, restoring 50% of maximum HP upon success. Additionally grants **Stoneskin**.
**Stoneskin Effect:** Absorbs damage totaling 50% of maximum HP
**Duration:** 60s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243144,32,2
85,bottle of crucible eye drops,bottles of crucible eye drops,Crucible Eye Drops,"Instantly cures most instances of blindness for self or familiar, restoring 25% of maximum HP upon success.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243145,32,2
86,phial of G1 antipoison soul serum,phials of G1 antipoison soul serum,G1 Antipoison Soul Serum,"Increases poison resistance by 100% for self or familiar.
**Duration:** 180s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243146,32,2
87,phial of G2 antipoison soul serum,phials of G2 antipoison soul serum,G2 Antipoison Soul Serum,"Increases poison resistance by 100% for self and nearby allies.
**Duration:** 300s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243147,50,2
88,phial of G1 antiparalysis soul serum,phials of G1 antiparalysis soul serum,G1 Antiparalysis Soul Serum,"Increases paralysis resistance by 100% for self or familiar.
**Duration:** 180s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243148,32,2
89,phial of G2 antiparalysis soul serum,phials of G2 antiparalysis soul serum,G2 Antiparalysis Soul Serum,"Increases paralysis resistance by 100% for self and nearby allies.
**Duration:** 300s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243149,50,2
90,phial of G1 antiblind soul serum,phials of G1 antiblind soul serum,G1 Antiblind Soul Serum,"Increases blind resistance by 100% for self or familiar.
**Duration:** 180s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243150,32,2
91,phial of G2 antiblind soul serum,phials of G2 antiblind soul serum,G2 Antiblind Soul Serum,"Increases blind resistance by 100% for self and nearby allies.
**Duration:** 300s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243151,50,2
92,phial of G1 antipetrification soul serum,phials of G1 antipetrification soul serum,G1 Antipetrification Soul Serum,"Increases petrification resistance by 100% for self or familiar.
**Duration:** 180s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243152,32,2
93,phial of G2 antipetrification soul serum,phials of G2 antipetrification soul serum,G2 Antipetrification Soul Serum,"Increases petrification resistance by 100% for self and nearby allies.
**Duration:** 300s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243153,50,2
94,phial of G1 antisleep soul serum,phials of G1 antisleep soul serum,G1 Antisleep Soul Serum,"Increases sleep resistance by 100% for self or familiar.
**Duration:** 180s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243154,32,2
95,phial of G2 antisleep soul serum,phials of G2 antisleep soul serum,G2 Antisleep Soul Serum,"Increases sleep resistance by 100% for self and nearby allies.
**Duration:** 300s
**Additional Effect:** When carrying a crimson ribbon, restores 50% of target's total HP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243155,50,2
96,blessed horn,blessed horns,Blessed Horn,"Revives an incapacitated familiar.
※Can only be used while traversing a Crucible board.",,0,0,0,1,0,0,243156,135,2
97,beastly smokebomb,beastly smokebombs,Beastly Smokebomb,"Creates a distraction, allowing escape from battle. Ineffective against elite enemies and bosses.
Use by selecting “Flee” upon an enemy space.",,0,0,0,1,0,0,243157,85,2
98,G1 beastmaster reraiser,G1 beastmaster reraisers,G1 Beastmaster Reraiser,"Grants **Reraise** to self.
**Reraise Effect:** 70% chance of automatic revival upon KO",,0,0,0,1,0,0,243158,221,2
99,G2 beastmaster reraiser,G2 beastmaster reraisers,G2 Beastmaster Reraiser,"Grants **Reraise** to self.
**Reraise Effect:** 95% chance of automatic revival upon KO",,0,0,0,1,0,0,243159,299,2
100,thief's eye,thief's eyes,Thief's Eye,"Triples the loot drop rate for the next enemy space cleared.
**Duration:** 30m
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243160,32,2
101,merchant's eye,merchant's eyes,Merchant's Eye,"Doubles the territory tokens earned for the next enemy space cleared.
**Duration:** 30m
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243161,23,2
102,phial of crucible tannin,phials of crucible tannin,Crucible Tannin,"Grants **Tough Skin** to self or familiar.
**Tough Skin Effect:** Reduces damage taken by 20%
**Duration:** 60s
**Additional Effect:** When carrying an ice shield, duration increases to 90s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243162,47,2
103,phial of crucible stimulant,phials of crucible stimulant,Crucible Stimulant,"Grants **Hasty Spirit** to self or familiar.
**Hasty Spirit Effect:** Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 15%
**Duration:** 60s
**Additional Effect:** When carrying thief's gloves, duration increases to 90s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243163,43,2
104,potion of tempered strength,potions of tempered strength,Potion of Tempered Strength,"Grants **Liquid Strength** to self or familiar.
**Liquid Strength Effect:** Increases physical damage dealt by 30%
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243164,36,2
105,potion of feral strength,potions of feral strength,Potion of Feral Strength,"Inflicts **Stun** while also granting **Liquid Strength** to self or familiar.
**Stun Duration:** 15s
**Liquid Strength Effect:** Increases physical damage dealt by 45%
**Duration:** 30s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243165,88,2
106,potion of tempered magic,potions of tempered magic,Potion of Tempered Magic,"Grants **Liquid Magic** to self or familiar.
**Liquid Magic Effect:** Increases magic damage dealt by 30%
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243166,23,2
107,potion of feral magic,potions of feral magic,Potion of Feral Magic,"Inflicts **Nightmare** while also granting **Liquid Magic** to self or familiar.
**Nightmare Duration:** 30s
**Liquid Magic Effect:** Increases magic damage dealt by 50%
**Duration:** 30s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243167,50,2
108,potion of tempered intensity,potions of tempered intensity,Potion of Tempered Intensity,"Grants **Liquid Intensity** to self or familiar.
**Liquid Intensity Effect:** Increases critical hit rate by 30%
**Duration:** 30s
**Additional Effect:** When carrying silver specs, duration increases to 60s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243168,20,2
109,potion of feral intensity,potions of feral intensity,Potion of Feral Intensity,"Inflicts **Petrification** while also granting **Liquid Intensity** to self or familiar.
**Petrification Duration:** 15s
**Liquid Intensity Effect:** Increases critical hit rate by 50%
**Duration:** 30s
**Additional Effect:** When carrying silver specs, duration increases to 60s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243169,36,2
110,potion of tempered evasion,potions of tempered evasion,Potion of Tempered Evasion,"Grants **Liquid Evasion** to self or familiar.
**Liquid Evasion Effect:** Increases evasion by 25%
**Duration:** 30s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243170,21,2
111,potion of feral evasion,potions of feral evasion,Potion of Feral Evasion,"Inflicts **Blind** while also granting **Liquid Evasion** to self or familiar.
**Blind Duration:** 30s
**Liquid Evasion Effect:** Increases evasion by 25%
**Duration:** 60s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243171,36,2
112,potion of tempered constitution,potions of tempered constitution,Potion of Tempered Constitution,"Grants **Liquid Constitution** while also restoring 10% of HP to self or familiar.
**Liquid Constitution Effect:** Increases maximum HP by 20%
Effect ends upon combat completion.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243172,95,2
113,potion of feral constitution,potions of feral constitution,Potion of Feral Constitution,"Inflicts **Pollen** while also granting **Liquid Constitution** and restoring 10% of HP to self or familiar.
**Pollen Duration:** 180s
**Liquid Constitution Effect:** Increases maximum HP by 30%
Effect ends upon combat completion.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243173,140,2
114,potion of breathtaking swiftness,potions of breathtaking swiftness,Potion of Breathtaking Swiftness,"Grants **Spirit of the Breathtaker** to self.
**Spirit of the Breathtaker Effect:** Increases movement speed by 20%, evasion by 5%, and poison resistance by 100%
Effect ends upon combat completion.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243174,225,2
115,crucible feather,crucible feathers,Crucible Feather,"Grants 100 TP to self or familiar.
**Additional Effect:** When carrying a spirited ring, grants 250 TP
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243175,43,2
