#,BNpcName,BNpcBase,Unknown0,Rank
202,10641,14168,0,1
203,10642,13975,0,1
204,10630,13835,0,2
205,10629,13791,0,2
206,10620,13757,570,3
207,10616,13938,0,1
208,10616,13938,0,1
209,10616,13938,0,1
210,10616,13938,0,1
211,10615,13775,597,3
212,10643,13976,0,1
213,10644,13977,0,1
214,10632,13819,0,2
215,10631,13851,0,2
216,10621,13788,601,3
217,10616,13938,0,1
218,10616,13938,0,1
219,10616,13938,0,1
220,10616,13938,0,1
221,10615,13775,597,3
222,10645,13978,0,1
223,10646,13979,0,1
224,10634,13760,0,2
225,10633,13761,0,2
226,10622,13787,600,3
227,10616,13938,0,1
228,10616,13938,0,1
229,10616,13938,0,1
230,10616,13938,0,1
231,10615,13775,597,3
232,13144,17557,0,1
233,13145,17558,0,1
234,13361,17707,0,2
235,13362,17708,0,2
236,13360,17706,772,3
237,13407,17777,0,1
238,13407,17777,0,1
239,13407,17777,0,1
240,13407,17777,0,1
241,13406,17732,771,3
242,13146,17559,0,1
243,13147,17560,0,1
244,13442,17791,0,2
245,13443,17792,0,2
246,13444,17794,776,3
247,13407,17777,0,1
248,13407,17777,0,1
249,13407,17777,0,1
250,13407,17777,0,1
251,13406,17732,771,3
252,13148,17561,0,1
253,13149,17562,0,1
254,12753,16946,0,2
255,12692,16892,0,2
256,12754,16947,777,3
257,13407,17777,0,1
258,13407,17777,0,1
259,13407,17777,0,1
260,13407,17777,0,1
261,13406,17732,771,3
262,13150,17563,0,1
263,13151,17564,0,1
264,13400,17371,0,2
265,13401,17372,0,2
266,13399,17373,770,3
267,13407,17777,0,1
268,13407,17777,0,1
269,13407,17777,0,1
270,13407,17777,0,1
271,13406,17732,771,3
272,13152,17565,0,1
273,13153,17566,0,1
274,13157,16750,0,2
275,13158,16751,0,2
276,13156,16749,755,3
277,13407,17777,0,1
278,13407,17777,0,1
279,13407,17777,0,1
280,13407,17777,0,1
281,13406,17732,771,3
282,13154,17567,0,1
283,13155,17568,0,1
284,13435,17301,0,2
285,13436,17302,0,2
286,13437,17303,773,3
287,13407,17777,0,1
288,13407,17777,0,1
289,13407,17777,0,1
290,13407,17777,0,1
291,13406,17732,771,3
